-0.0014316+0.0003225i,-0.0012717-0.00016464i,-0.0016567+0.0009025i,-0.0019484+9.2794e-05i,-0.0012258-0.0010226i,-3.6917e-05-0.00011083i,-0.00040464+0.00062232i,-0.00053461+0.00049218i,9.6674e-06+0.00033391i,0.00066966-0.00013964i,0.0008078-0.0011302i,-2.0771e-05-0.0013295i,-0.00032669-0.00072093i,0.00045301+0.00033688i,0.00053039+0.00047428i,1.9201e-05+5.569e-05i,4.2416e-06-0.00018872i,0.00041562-0.00025869i,0.00023228-8.364e-05i,-0.00032754+0.00065176i,-0.00049276+0.0011698i,-0.0013379+0.00016825i,-0.0010689-0.00038973i
0.00084194+0.00086479i,0.001574+0.00064699i,0.0015327-0.00027799i,0.00013636-0.00077761i,-0.00035707-0.00096678i,-0.00027969-0.00068298i,0.00010049-0.00043708i,0.00084878-0.00034292i,0.00032556+0.00045653i,-0.00041465+0.00024241i,-0.00081307-0.000472i,-0.00057876-0.00076357i,0.00021776-0.0013053i,0.00065392-0.0012922i,0.00052846-0.00076477i,6.9144e-05-0.00019557i,-0.00016452+0.00037697i,-0.00039705+0.00035558i,-0.00053575+0.00066912i,-0.00046386+0.0002589i,8.129e-05-0.00062799i,0.00014249-0.0011521i,-0.00018363-0.00097351i
-0.00022508+7.5559e-05i,-0.0010339-0.00012383i,-0.0017481-8.5646e-05i,-0.0011383-0.00034059i,-0.00021272+0.0002148i,0.00012045+0.00076394i,0.00054562+0.00078027i,0.00096092+0.00090344i,0.00087437+0.00048181i,0.00056146-0.00032489i,-0.00045554-0.00043579i,-0.00048487-0.00024763i,-0.00038028-0.00020126i,-0.00061261-0.00046168i,-0.00042999-0.00015419i,-0.00015864+0.0003164i,-0.00073797+0.00037267i,-0.00067718+0.00057852i,0.00045059+0.00056435i,0.0009039+0.00044194i,0.00065839+0.00010944i,0.0002799-0.0005616i,0.0003343-0.00083055i
0.0014135-0.00055521i,0.0022251+0.00058891i,0.001499-0.000421i,0.00047231-0.00045381i,-0.00032064+0.00016342i,0.00057569+0.0006576i,0.0013259+0.00070219i,-1.6108e-05-0.00015248i,-0.00031562-0.00075952i,-0.00043347-0.00075091i,-0.00075333-0.00030155i,-0.00069772+0.00067224i,-0.00069965+0.00084559i,-4.6024e-05+0.0006202i,0.00026402+0.00031511i,3.6108e-05-0.00015568i,0.00015641-0.00040695i,0.00012881-0.00011332i,0.00057702-0.0004038i,0.00052667-0.00054462i,-0.00036793+6.8052e-05i,-0.00056765-0.0003985i,-5.1852e-05-0.00088822i
-0.00029803+0.00080381i,6.8885e-05+0.00081616i,-0.00068579+0.00078547i,4.2854e-06+0.00058649i,0.0012209+0.0006707i,0.0013641-0.00025691i,0.00083161-0.00097993i,0.00054368-0.00044345i,0.00033928+0.00052748i,0.0002231+0.000305i,0.0004236-0.00048028i,0.0011291-0.0006435i,0.00065908+0.00015064i,-0.00031041+0.00050305i,-0.00026045+0.00051409i,-1.8053e-05+0.00065227i,0.00029009+0.00096457i,0.00023581+0.00074125i,-0.00014891+8.1879e-05i,-0.00056563-0.00042149i,-0.00043012-0.00060214i,-0.000197-0.00015569i,0.0002078+8.1433e-05i
-0.00032764+0.00065254i,-0.0015628+0.0015547i,-0.0012484+0.0017074i,0.00072386+0.001011i,0.0012565+0.00038611i,0.0009936+0.00067946i,0.00033292+0.00084637i,7.8989e-05+0.00073514i,2.4985e-05+0.00055815i,-0.00011406-5.9772e-05i,0.00031233-0.00072742i,0.0010489-0.00077073i,0.00058428-0.00029392i,-0.00011782+0.00035781i,4.2173e-05+0.00052882i,0.00046839-3.2363e-06i,0.00062721-0.0003103i,-3.9141e-05-0.00040216i,-0.00065294-0.00056215i,-0.00040951-0.00010905i,0.000129+3.6363e-05i,0.00050396-0.00028062i,0.0004202-0.00027018i
-0.00029441+0.00060619i,-0.00055946+0.00013178i,-0.00028257+0.0001021i,-0.0005374+0.00091837i,-5.874e-05+0.0013353i,0.00048408+0.00048228i,0.00015915-0.00010769i,0.00069819-0.00023429i,0.00032186-0.00019797i,-0.00036334-0.00024949i,-0.00020018+0.00030635i,-1.1094e-05+0.00080372i,-0.00018735-0.00017158i,-0.00040526-0.00079504i,-0.00067729+6.8368e-05i,-0.00041715+0.00039423i,-4.4302e-05+0.00025952i,-0.00054959-5.842e-05i,-0.00059915-0.00069571i,0.00054031-0.00044114i,0.00068654-0.00024438i,0.00051736-0.00024706i,0.00057191+3.6801e-05i
0.0010116+0.00060243i,0.002226-4.5553e-05i,0.0031391-0.0011162i,0.0021678-0.0018673i,0.00021811-0.0019467i,-0.000575-0.001407i,3.3937e-05-0.00067836i,0.00017569-0.000257i,0.00018701-0.00051997i,1.265e-05-0.00046771i,-0.00018797-0.00059145i,0.00021546-0.0012365i,0.00060109-0.00027969i,1.6902e-05+0.00080577i,-0.00077227+0.00047779i,-0.00050438+0.00046821i,-0.00016171+0.0006293i,0.00032272+6.4061e-05i,0.00038889-0.00027505i,0.00018553-0.00023202i,-0.00026607-0.00041141i,-0.00044262-0.00033028i,-0.00035107-0.00040802i
0.00027972+0.00062895i,0.00054155+0.0013701i,0.00085244+0.00054615i,0.00045752+6.5775e-05i,-0.00022766-0.0002584i,-0.00019958-3.3518e-05i,0.00033809+0.00068348i,0.00013669+0.00051879i,-0.00040242+0.00028088i,-0.00058073-0.00010691i,-0.00063271-0.00038464i,-6.2665e-05-0.00082667i,0.00033597-0.00063595i,0.00072665+0.00052765i,0.00055248+0.00055814i,-9.7379e-06-3.3678e-05i,-0.00057843-0.0004971i,-0.000149-0.00091077i,0.00044491-0.00059039i,0.00019263-0.00016923i,-0.00089731+0.00014221i,-0.00049968+0.00044611i,0.00022416+0.00022054i
0.0009918+0.00064176i,0.00073102+0.00090715i,0.00085653+0.0012817i,0.00028983+0.00078841i,-2.4161e-05-0.000491i,0.00048975-0.00081552i,0.00018915-2.4772e-05i,6.2936e-05+0.0002524i,6.8664e-05+4.6913e-05i,0.00029193-2.3744e-05i,0.00040763+7.5859e-06i,-5.5149e-06-1.3439e-05i,-0.00030827-0.00080183i,-0.00032934-0.00020747i,-0.00061394+0.0010214i,-0.00077196+0.0009157i,-0.0002148+0.00054041i,-0.00043661+0.00035089i,-0.0015178+0.00067945i,-0.0013356+0.00041305i,-0.00023966+0.00038846i,-5.4309e-05+0.00051885i,-0.00039116+1.964e-05i
-0.00017317+0.00051255i,0.00078127+0.00011959i,0.001069+0.00077096i,0.00077038+0.00066094i,0.00019099-0.00041096i,-0.00079043-0.00072608i,-0.0006397-0.00059521i,-0.0005918-0.00020051i,-0.0010854-0.00023748i,-0.0007389-0.0008255i,0.00043801-0.00089593i,0.0016405-0.00067558i,0.0014963-0.00074871i,0.00022916-0.00062392i,-0.0005694-2.1209e-05i,-0.00055946+0.00054158i,-6.267e-05-5.1035e-06i,0.0003953-0.00019283i,0.00045864+0.00068173i,1.43e-05+0.00088383i,-0.00012894+5.1311e-05i,-0.00018783-0.0006771i,-0.00016639-0.0009031i
-0.00020094+0.00061561i,-3.3469e-05+0.001385i,-0.00079681+0.0017091i,-0.0012769+0.0017373i,-0.00055349+0.00027464i,0.00025005-0.00088607i,0.0006929-0.00082026i,0.00098095-0.00070028i,0.00043943-0.00017722i,-0.00031525+0.00020296i,-0.00014245+0.00023473i,0.00031462+0.00032837i,0.00011609-0.00023891i,-0.00014271-0.00069743i,0.00015524+3.9087e-06i,0.00042585+6.3965e-05i,-1.0096e-05-0.00057034i,-0.00023104-0.00055411i,3.6374e-05-0.00032826i,0.00011006+0.00046784i,0.00029108+0.0003282i,0.00046745-0.00034165i,0.00024188+0.00068332i
-0.00057972+0.00068843i,-0.00047+0.0016278i,0.0001644+0.0014334i,0.00018304+0.00042146i,-0.00040781+0.00015191i,-0.00071384-0.00034807i,-0.00073117-0.00087319i,-0.00034269-0.0001738i,-0.00018791+0.00088873i,8.9238e-06+0.00070195i,0.00036786-6.6687e-05i,-0.00016126-0.00027885i,-0.00077064-0.00017475i,-0.00071013-0.00065067i,-0.00051931-0.0014095i,-0.00015496-0.0013599i,-1.7171e-05+0.00030842i,-0.00026397+0.00089612i,0.00012959+0.00012246i,0.00064128+8.7602e-05i,0.00038476+0.00016944i,4.9893e-05+0.0001228i,3.63e-05-3.5182e-05i
-5.9235e-05+0.0010525i,-0.00043299+0.0012999i,0.00028024+0.00054814i,0.00040015+0.00068697i,0.00033388-7.2864e-05i,0.0001719-0.00080761i,-0.00021133-0.00038038i,-0.00041862+0.00041919i,-0.00065731+0.0011582i,-0.00029627+0.0010143i,7.7158e-05-4.5599e-05i,0.0001605-0.00080286i,0.00042193-0.00047024i,0.00018181+0.0002178i,-0.00038724+0.00017437i,-3.3676e-06+0.00026041i,0.00042438+0.00044733i,2.5569e-05+2.3804e-06i,-0.001221-0.00013821i,-0.001229+0.00031853i,-0.0003624-0.00017165i,1.129e-05-0.00058644i,0.000327-0.00046734i
0.0009536+0.0010217i,0.00080356-0.00012091i,0.0014519-0.00085578i,0.0012433-8.2357e-05i,0.00045755+0.00027228i,-0.00030779-0.00054467i,-0.00018916-0.0013496i,0.00019699-0.0012587i,0.00031462-0.00054188i,0.00017283-0.00029897i,0.00039197-0.00069434i,-0.00016195-0.00088622i,-0.00054172+0.00038822i,-0.00060162+0.0014436i,-0.00024729+0.00083297i,8.4192e-05+0.00021898i,0.00012069+0.00030033i,0.00013875+0.00026039i,0.00019165+0.00030318i,-0.00019053+0.00082672i,-0.00044782+0.00078267i,1.8391e-05+0.00036357i,-0.00035806+0.00020105i
-0.0002845+0.0017346i,0.00067141+0.0014569i,0.0013463+0.0012888i,0.00037836+0.0005785i,0.00019697-0.00046546i,0.00062067-0.0010571i,0.00028119-0.00034715i,-0.00011237+6.4222e-05i,-0.0001245-0.00017859i,0.00052554-9.6353e-05i,0.00031636+9.3689e-05i,-0.00050353+0.00046607i,-0.00031786+0.00036365i,-0.00024446-0.00066788i,-0.00048663-0.00087539i,-0.00038152-0.00017243i,-0.00074334-0.00013921i,-0.00043524-0.00032063i,0.0003063+0.00048332i,-8.593e-05+0.00061707i,-0.00020235-0.00024659i,-0.00032187-0.00094886i,-0.00020581-0.0014194i
-0.00088589+0.00070041i,-0.00066372+0.0011173i,0.00012247+0.0023423i,0.00043244+0.0019821i,0.00025718+0.00047821i,-1.3655e-05+6.7121e-05i,0.0002921+0.00018687i,0.00017282-2.1153e-05i,-0.00018129+8.5876e-05i,0.00047072-0.00024278i,0.00094193-0.0010077i,0.00068938-0.0009757i,0.00019284-0.00017009i,-0.00041498-2.696e-06i,-3.0002e-05-0.00012694i,-7.9132e-05+8.4071e-05i,-0.00034256-2.4519e-05i,-0.00014204-0.00039288i,-0.00036987-0.00038301i,-0.00044928+0.00020124i,-0.00058505+0.00099425i,-0.00022816+0.00089427i,9.9341e-05+0.00031054i
0.00072029+0.00096809i,-0.00073482+0.0014594i,-0.0015973+0.0012467i,-0.0016955+0.00079037i,-0.00070974+0.0006857i,-0.00018643+0.00057357i,0.00034357+0.00026482i,0.00082178+0.00011637i,0.00022137-0.00026076i,-5.2917e-05-5.7725e-05i,0.00020099+0.00022225i,0.0005857-7.417e-05i,0.00063411+9.9267e-05i,0.00072676+0.00064455i,0.00052377+0.00041165i,-0.00020054-0.00045396i,-0.0008681+5.7569e-05i,-0.0012387+0.00083458i,-0.001298+0.00028609i,-0.0013063-0.00020033i,-0.00091671-0.00039963i,-0.00042278-0.00029788i,-2.3635e-05-0.00015846i
1.6991e-06-0.00091647i,6.6159e-05-0.00047858i,0.0004171-0.00073279i,-0.00058385-0.0011649i,-0.00094932-0.00074969i,-0.00042829-0.00031857i,7.8138e-05-0.00017461i,0.00037646-0.00028833i,-0.00011939+0.00033295i,-0.00061402+0.00037652i,-0.00037208-0.00011642i,-0.00052591-0.00017435i,-0.00074529+9.4824e-05i,-0.00012968+0.00068409i,0.00033265+0.00060917i,0.00015854+0.00016931i,6.2291e-05+0.00081098i,7.4386e-05+0.00057841i,0.00011367-0.00016473i,-0.0002377-0.0011736i,-5.2398e-06-0.0014639i,-0.00019114-0.00051001i,-0.00058577-0.00016818i
0.00080533+0.00075813i,0.00065235+0.0004789i,0.00041184+7.6216e-05i,-0.00026301+0.00019421i,-0.0011766-0.00024358i,2.9939e-05-0.00049891i,0.0013594+0.00011116i,0.0013866+8.3699e-05i,0.00068854-3.1531e-05i,0.00026217-3.5252e-05i,0.00017261+0.00052844i,-1.4949e-05+0.00049855i,3.9745e-05-0.00070897i,0.00023404-0.001205i,0.00032564-0.00079323i,8.1493e-05-0.00043074i,-8.2191e-05-0.000455i,-0.0003802-0.00041604i,-0.0006286+0.00059531i,0.00016964+0.0015486i,0.00059503+0.00040783i,0.00027019-0.00072719i,8.3291e-05-0.00063792i
-0.0013178+0.00052017i,1.5271e-05+0.00087298i,0.00033229+6.3287e-05i,-0.00054694-0.00083669i,-0.0005982-0.00090502i,-8.5112e-05-0.00055997i,6.1244e-05-0.00022663i,6.6615e-05-0.00035286i,0.00032527-0.00069104i,0.00025922-0.0010009i,0.00038432-0.00037999i,0.00040493+0.00071438i,0.00033122+0.0007418i,0.00032621+0.00065007i,-0.00037453+0.00031942i,-0.00052416+6.5632e-05i,0.00018412-0.00043527i,0.00017571-0.00034835i,-0.00029152+3.5922e-05i,-0.00030953-0.0004842i,-0.0003449-0.0010973i,-0.00071056-0.001323i,-0.0008832-0.00052109i
-0.00019441+0.00059072i,0.0014542+0.0002679i,0.0018725+8.6404e-05i,0.0014883+5.7899e-06i,0.0013089-2.6231e-05i,0.00096892+7.4378e-05i,0.00067768-0.00070113i,0.00029399-0.0010204i,-0.00038041-0.00078983i,-0.00058234-0.00012799i,0.00020672+0.00023546i,0.00057311+0.00019086i,0.00019114-0.00050721i,0.00026755-0.0014722i,0.00021425-0.0012903i,7.5321e-05-0.00060051i,-8.9848e-05-0.00040702i,-0.00044998-0.00020792i,-0.0002441-0.00050145i,0.00061181-0.00088336i,0.00056228-0.0001173i,-0.00016941+0.00018784i,0.00017291+2.5809e-05i
0.00086023-0.00063817i,0.0012643-0.00023006i,0.0015755+9.7398e-05i,0.00047479+0.00040549i,-0.00057017+0.00063184i,-0.00052921-0.00038326i,1.8963e-05-0.0012665i,0.00017531-0.00063362i,-0.0010319+8.018e-05i,-0.0015774+0.00076798i,-0.00096941+0.00093i,-0.00016125+0.00053726i,-5.2262e-05-0.00012076i,-0.0002793-0.00054259i,-0.00070634-8.2971e-05i,-0.00029245+0.00012003i,4.7287e-05+0.00016791i,1.5423e-05+5.7875e-05i,6.128e-05-0.00072311i,-0.00023448-0.00024096i,-0.00015854-2.1037e-06i,0.00011968-5.6553e-05i,0.00010067+0.00054634i
-0.00049195+0.00062402i,-9.162e-05+0.0002337i,0.00026925-0.00013487i,0.00020189-8.7188e-05i,0.00019757+0.00049317i,0.00041381+0.0004221i,-0.00037766+7.3813e-05i,-0.0012859-4.084e-05i,-0.0013369+9.0152e-07i,-0.00095993-0.00033387i,-0.0008624-0.00019057i,-0.00024474+0.00046775i,0.00026502+0.0002377i,-0.00044766+0.00014771i,-0.0005315+0.00058616i,-9.4256e-05+0.00090887i,-4.6344e-05+0.0012095i,0.00014733+0.0010385i,0.00061405+3.8174e-05i,0.00027093-0.00017171i,0.00011233+0.00034318i,0.0002977+0.00031056i,0.00063565-4.6397e-05i
7.0254e-05+0.001111i,0.00016616-9.1427e-05i,0.00042104-0.00087195i,0.00076245-0.0007872i,0.0010818-0.00078123i,0.00097695-0.0016249i,0.00096263-0.0016545i,0.00064474-0.00064839i,8.57e-05-0.00030616i,-0.00011818-0.00065484i,0.00045431-0.00066219i,0.00046577+0.0003279i,0.00023921+0.00046378i,0.0001258+0.00028092i,0.000696+0.00039055i,0.00078176+0.00048939i,0.00042396+0.00023803i,0.00028754-7.2346e-05i,9.6846e-05+2.8621e-05i,0.00017281-0.0004313i,0.00032324-0.00098665i,0.00019065-7.0432e-05i,0.00012233+0.0010701i
-0.00024075+0.00071049i,0.00056273+0.0019534i,-3.8427e-05+0.00089711i,-0.00064263+0.00013912i,-0.001101+0.00099648i,-0.00061971+0.00054178i,-4.6806e-05-0.00013493i,-0.00038925+0.00021477i,-0.00043652-7.1148e-05i,-0.00029345+0.0001136i,-0.0002879+0.00021121i,6.2032e-05-0.00060076i,0.00025315-0.00081094i,0.00029967-5.9849e-05i,0.00032361+0.00025173i,0.00020817+0.00021912i,0.00048756+0.00039405i,0.00064788+0.0001967i,-8.8762e-05+3.8211e-06i,-0.00015199+0.0001815i,0.00057534+0.00017286i,0.00030658-0.00039218i,-9.9671e-06-0.00044255i
0.0010944+0.00024181i,0.0002704-0.0001349i,0.0007061-0.00041363i,0.0013109-0.00064685i,0.0014436-0.00077018i,0.0010083+0.00011776i,0.00054954+0.00080796i,0.00053774+0.00067718i,0.00030105-0.00032051i,-6.0584e-05-0.00097139i,-0.00013737-0.00019971i,5.9274e-05+0.00016618i,0.00013229-7.3152e-05i,0.00012039+7.0314e-05i,0.00010004-0.00064885i,-0.00031495-0.0010402i,-0.00031088-0.00050737i,-0.00049185+4.515e-05i,-0.00022913+0.00045733i,0.00024971+0.00041866i,0.00039998+0.00019983i,0.0002648-0.00010356i,-0.00022648-0.00069591i
-0.0002082-0.00052427i,-0.00013989-0.00067405i,-3.1568e-05-0.00053883i,-0.0014458+0.00023291i,-0.0014653-0.00016895i,-0.0004949-0.0011098i,-0.00049226-0.0005276i,-0.00059638+0.00055536i,-0.0005319+2.7389e-05i,-0.00030888-0.0003242i,0.00017021+0.00044255i,0.00069958+0.00092826i,1.7875e-05+0.00088317i,-0.00023301-0.00033929i,0.00076354-0.0008928i,0.00090553-0.00030159i,-1.2986e-05+0.00010728i,-0.00016707-7.9852e-05i,0.00071247+2.8998e-05i,0.0010371-0.00027442i,0.00065461-0.00058054i,0.00038217-0.00058329i,0.00070505-0.00033572i
0.0012947+0.00032657i,0.0010582+0.00095201i,0.00027871-8.0343e-05i,-0.00057119-0.00078161i,-0.00044221-0.00065484i,7.6848e-05-0.00014203i,0.00021833+1.9887e-05i,0.00017242-0.00059836i,0.00048346-0.00088316i,0.00071735-0.00080159i,0.00061041-0.00077758i,0.00074025-0.00060726i,0.00068997-0.0001685i,0.00047436-0.00013873i,0.0001283-0.00055744i,0.00040252-0.00078929i,0.00087553-0.00045252i,0.00014348+0.00045789i,-0.00071927+0.0013312i,-0.001332+0.0010652i,-0.00074108+0.00017724i,0.00069671+0.00019658i,0.00037956+0.0002685i
0.0010619+4.684e-05i,0.0010573+0.00059605i,0.00057356+0.00086176i,0.00038752+0.0011865i,0.00058483+0.0001512i,0.0011766-0.00031003i,0.0011271+0.00050891i,0.0013851+0.00034885i,0.0016239+0.00042365i,0.00088868+0.00073119i,0.00040636+0.00082431i,0.001241+0.00088341i,0.0010797+0.00074874i,0.00010758+0.00082944i,0.00013731+0.00078988i,0.00072406+0.00081673i,0.0005202+0.0006986i,0.00011485+0.0003946i,-0.00062559+0.00033403i,-0.00085845+0.00029015i,-5.188e-05-0.00023i,0.00035649-0.00020059i,0.00048967+0.00044046i
0.0010149+0.00027014i,0.00067124+0.0002414i,0.00052301+0.00033417i,0.00070184+0.00072704i,0.00082739+0.00078969i,0.00036023+0.00062899i,8.2802e-05+0.00047857i,0.00017442-0.00023711i,0.00020709-0.00051889i,0.00060582-0.00043898i,0.0009627-0.001088i,0.0010891-0.00049296i,0.00079588-0.00010298i,7.9642e-05-1.5889e-05i,-0.00018949+0.00019985i,0.00017867-0.00037721i,0.00037639-0.00070981i,-0.00010438-0.0002154i,-0.00072019-0.0001988i,-0.00025221-0.00018286i,0.00064222+0.0002364i,0.00065434+6.5231e-06i,-0.00014625+0.00068249i
0.00056544+0.0013739i,0.0016988+0.0010282i,0.0013007+0.00062762i,0.00045261-0.00018111i,-0.00012924-0.0011345i,-0.00055199-0.00092381i,9.0576e-05-0.00015126i,-0.00018325-0.00018591i,-0.0012316-0.00043304i,-0.0011445+3.5798e-05i,7.4966e-05+0.00096935i,0.00087068+0.0011353i,0.00071636+0.00078286i,0.00037911+0.00019947i,0.00066333-0.00028997i,0.00078824-0.00015906i,0.00025199-0.00022159i,-1.2598e-05-8.5363e-05i,-0.00047657+3.8351e-05i,-0.00083012-0.00050757i,-0.00056391-0.00035656i,0.00024949-0.00038186i,0.00056685-6.6194e-05i
