-0.0025401+0.00024132i,-0.0021168-0.00016973i,-0.0026092+0.0010311i,-0.0018582+0.0022805i,-0.00052916+0.0026983i,-0.00024801+0.0025312i,-0.00061542+0.0019915i,-0.00043024+0.0017556i,-2.1356e-05+0.0013748i,0.0006302+0.00098099i,0.00059514-0.00024189i,0.00037908-0.0012307i,0.00091332-0.0014057i,0.00064209-0.001346i,-0.0006499-0.00087324i,-0.0014661-0.00017877i,-0.0011729+0.00038134i,-0.0001567+0.00063171i,0.00071621+0.00075989i,0.00049196+0.00060079i,-0.00027713-5.3389e-05i,-0.00024523-0.00035887i,0.0004059-2.3736e-05i
0.0023324-0.00013503i,0.0022348-0.00096293i,0.0014161-0.0015965i,0.00098943-0.0015425i,0.0015073-0.0003952i,0.0010733+0.0002153i,0.00043923-0.00024659i,0.00075841-0.00043471i,0.00080086-0.00041684i,0.00085149+2.5471e-05i,0.00057469+0.0004007i,0.00031794+0.00067722i,0.00042286+0.00017943i,-0.00020365-0.00068149i,-0.00071931-0.0010753i,-0.00048513-0.00098016i,-0.00033139+0.00029275i,-0.00031683+0.0011999i,-0.00024462+0.00074939i,-0.00036879+0.00048124i,-0.00034803+0.00017916i,-0.00032178-7.3402e-05i,0.00028736+0.00041769i
-0.00073827+0.0018885i,-0.0014788+0.0018451i,-0.0006185+0.001556i,0.00071625+0.00095209i,0.0015295+0.00054021i,0.0021588+5.9683e-07i,0.0022594+0.00014163i,0.0015397+0.00017615i,0.00015708+8.4324e-05i,-0.00095871+8.8917e-05i,-0.00070975+0.00049956i,0.00017089+0.00045865i,0.00040112+3.6561e-05i,-0.00023363+0.00012306i,-0.00047986+0.00046592i,-0.00062443+0.00037128i,-0.00022067-0.0006792i,0.00030527-0.00050407i,-8.5207e-05+3.6935e-05i,-0.00020161-0.00055247i,0.00019427-0.00071751i,2.2705e-05-0.00049073i,-0.0004326+0.00038892i
-0.0011759-0.0013723i,-0.0014399-0.0005285i,-0.001328+0.00046844i,-0.0010818+0.0015219i,-0.00055375+0.0012912i,0.00065266+0.00022284i,0.00097935+0.00012772i,-0.00016633+8.0417e-05i,-0.00048732-0.00043862i,-0.00079986-0.00035822i,-0.00076986-0.00041892i,-0.00017964-0.00068833i,0.00029365+8.9441e-05i,0.00017492+0.00075366i,-0.00018923+0.00058419i,-0.00072254+0.0009674i,-0.00087753+0.00057231i,-0.00041764+0.00011886i,-2.4526e-05+0.00026991i,0.00056365+0.00056476i,0.00080778+0.00086211i,0.000318+0.00045697i,0.0002571-2.9652e-06i
-0.00089398+5.1635e-05i,-0.00044758+0.0017412i,-0.00011038+0.0032941i,0.00034636+0.0024723i,0.00046111+0.00083029i,-7.0414e-05-0.00051054i,0.00029462-0.00098615i,-0.00014743-0.00072758i,-0.0012947-8.1255e-05i,-0.0012014+0.00075774i,-0.00032663+0.00069332i,0.00035042+0.00048871i,0.00070049+3.921e-05i,0.00043087+0.00024592i,0.00035274+0.00061948i,0.00027407+0.00062502i,-0.0004078+0.00054831i,-0.00014158+0.00042264i,0.00061913+0.00062462i,0.00037788+0.00074038i,7.5505e-05+0.00056122i,0.00021241+0.00027611i,0.00050515+0.00032431i
0.00040371-0.00044468i,1.618e-05+0.00026592i,-1.0932e-05+9.556e-05i,0.00018599+0.00063172i,0.00030525+0.00097475i,0.0013392+0.00025766i,0.0019354-0.00039649i,0.0012404-0.00064257i,0.00065971-2.7637e-05i,3.5386e-05+0.00045954i,-0.00048972+0.0008726i,0.00034567+0.00089862i,0.0003732+0.00073011i,0.00035666+0.0006254i,0.00087247+0.00045391i,0.00036363+0.00055243i,-9.8209e-05+0.00020523i,-0.00064621+1.4886e-05i,-0.00080714-0.00018242i,-1.8979e-05-0.00061081i,0.00011742-0.00069839i,0.00026305-0.00067372i,0.0005648-0.00099184i
-0.00043292-0.00037349i,-7.0274e-05+0.00034608i,-0.00014673+0.0011941i,-0.00072611+0.0018247i,-0.00052778+0.0016413i,0.0010463+0.00025385i,0.0021782-0.0010227i,0.0014448-0.0011428i,0.00030516-0.00064589i,-0.00024393-0.00034046i,-0.00022087-0.00048591i,0.00022747-0.00099i,0.00031887-0.00075515i,0.00012997-0.00044464i,4.3514e-05-0.00041795i,5.0485e-05+0.00029575i,5.6161e-06+0.00091198i,0.00026013+0.00076341i,0.00021343+0.00045611i,0.00047736-0.00020754i,0.00086991-0.00058399i,0.00068041+1.2233e-05i,-0.00011632+0.00068199i
0.00028953+0.0001508i,-0.00036775-0.00061009i,-0.00023731-0.0005885i,0.0011068-0.00051341i,0.0023661-0.00037548i,0.0023696+0.00013301i,0.0012041+0.00016137i,0.00063562+0.00018885i,0.00033637-0.00010589i,-8.622e-05-0.00014842i,-0.00068454-2.0194e-05i,-0.0007626-0.00012037i,-0.00010773+9.2931e-05i,0.00018875-6.9812e-05i,-0.0001584-0.00037932i,-0.00058476-0.00048793i,-0.00083252-0.00047461i,-0.00014527-0.00023201i,0.00025323+0.0002892i,0.00021843+0.00020961i,0.0002976-0.00073935i,-0.0002448-0.0010044i,-4.7199e-05-0.00066546i
0.0010332+0.00079288i,0.00079761+0.00077017i,0.0012038+0.0016666i,0.0015956+0.0022088i,0.0010199+0.001408i,0.00029329+4.1386e-05i,0.00022293-0.00020194i,0.00028159+6.6854e-06i,0.00017256-0.0006093i,-0.00025872-0.00013114i,-0.00043693-0.00012754i,-0.00016289-0.0005025i,8.2587e-05-0.00031106i,0.00040179-0.00046654i,0.00030819-0.00024258i,-0.00043119+0.00085697i,-4.1867e-05+0.0012166i,-9.3226e-06+0.00083508i,-0.00028098+0.00040082i,-0.00016845+0.00045152i,4.2276e-06+0.0007559i,-3.8076e-05+0.00080268i,-0.00065793+0.00098376i
0.00076678-0.0010613i,-0.00049834-0.001818i,-0.0010958-0.0016696i,0.00049065-0.00102i,0.0022806-0.0004234i,0.001694+0.00030777i,0.00091753+0.00011752i,0.00097956-0.00062798i,3.9776e-05-0.00071636i,-0.00082805-0.00025957i,-0.00064851+0.0010112i,2.5477e-06+0.001222i,0.0004328+0.00012502i,0.00069711+1.9368e-05i,0.00033462+2.7567e-05i,0.00011777-0.00072941i,-0.0001306+3.4744e-05i,-0.00046324+0.00091566i,-9.0511e-05+0.00037176i,0.00039917-9.462e-05i,0.00031156-0.00033063i,0.00018898-0.00028498i,7.9357e-05-0.00018444i
-0.0028492-0.0002114i,-0.001661+0.0016468i,-0.0016605+0.0033465i,-0.0010547+0.0038574i,0.00012444+0.0023487i,0.0012254-6.2753e-05i,0.0012343-0.00079187i,0.00058929-0.00011573i,-0.00045277+0.00044581i,-0.0012647+0.00034529i,-0.00066275-1.1151e-05i,0.00027998-0.00038583i,0.00023273-0.00093347i,0.00077369-0.0009581i,0.00056334-0.00033705i,-0.00028584-0.00043163i,1.0037e-05-0.00028809i,0.00023613+8.9201e-05i,0.00027173-0.00052255i,0.00078682-0.00099842i,0.00083074-0.00056676i,0.00011859-0.00030049i,6.2172e-05+0.00015655i
0.00023377+0.0010553i,0.00053274+0.00070353i,0.0013536-0.00014299i,0.0028114-0.00038804i,0.0030258-0.00055888i,0.0018018-0.0011009i,0.0010176-0.00076266i,0.00014277-4.3241e-05i,-0.0006186-0.00011737i,-0.0007957-0.00029044i,-0.00048298+0.00017209i,-0.00028512+0.00016593i,-0.000552-0.00042862i,-0.00062823-0.00050959i,-0.00022757+0.0001149i,-0.00054692+0.00078349i,-0.00059748+0.00037981i,-0.00033832-0.00075783i,-0.00010208-0.00076346i,0.00014925-0.00064626i,0.00030042-0.00078234i,0.00038838-0.00050573i,0.00070941-8.7158e-05i
-0.0017298+0.00042401i,-0.0010817+0.0019344i,-0.0014243+0.0036399i,-0.00044848+0.0035627i,0.001956+0.0027854i,0.0023543+0.0011096i,0.0013519-0.00067217i,0.00014667-0.00086903i,-0.0003721+0.00011982i,-0.00013743+0.0008209i,2.6404e-05+0.00091792i,0.00031899+0.00048174i,0.00061979-0.00077551i,8.5533e-05-0.0012968i,-0.0010789-0.00085482i,-0.00099347-0.00083766i,-0.00046915-0.00015204i,-0.00029506+0.00081979i,0.00041302+0.00066662i,0.00069659+0.00073611i,5.2384e-05+0.00077145i,0.00071042+0.00036677i,0.0010523+0.00026638i
-0.00037856-0.0016297i,-0.0010302-0.0024069i,-0.001387-0.002564i,-0.0005749-0.0011412i,0.00099833+0.00026409i,0.001759-0.00027836i,0.0011593-0.0011029i,0.00044577-0.00094788i,-0.00070833-0.00098211i,-0.0012524-0.001014i,-0.00092247-0.00055134i,-0.00010227+0.00013136i,0.00025238+0.0006174i,-5.7301e-05-0.00034533i,0.00061114-0.00070498i,0.00085302+0.0003027i,0.00024354+0.0010274i,-0.00019261+0.0013119i,-5.1665e-05+0.0010702i,-1.1826e-05+0.00045792i,0.00038994+0.00027524i,0.00054833+0.00028073i,-0.00023462+9.8506e-05i
-7.3062e-05+0.0021381i,-0.00075091+0.0031885i,-7.4372e-05+0.0037807i,0.0012487+0.0022712i,0.0020435+0.00030419i,0.0021959-0.0010125i,0.0021604-0.0010848i,0.0014064-0.00075334i,-9.0309e-05-8.2014e-05i,-0.00026185+0.00084794i,5.0446e-06+0.0011769i,-0.00029109+0.00077394i,-0.00089253-0.00017237i,-0.0010533-0.00090073i,-0.00092186-0.00079109i,-0.00084013-0.0004856i,-0.00069216-6.0971e-05i,-0.0005306+0.00056293i,7.3494e-05+0.00047546i,0.00073119+0.00025289i,0.00038227+0.00041244i,0.00052178-0.00022322i,0.00047198-0.00043859i
0.00031506-0.00056585i,0.0003854-0.002505i,-0.00048082-0.0027574i,3.0891e-05-0.0016034i,0.0011228-0.00080784i,0.0011307-0.00042691i,0.00059122-0.00059949i,0.00016285-0.00090935i,-0.00038659-0.00061745i,-0.00056507-0.00072192i,-0.00020527-0.00092245i,0.00029013-0.00095156i,0.00075963-0.00044902i,0.00011739+0.00037865i,-0.00040784+0.00095426i,-0.00044634+0.00018908i,-0.00038971-0.00014638i,-0.00084134+0.00039528i,-0.00092747+0.00065826i,-0.00025405+0.00071383i,0.00015228+6.475e-06i,0.00013761-0.00073342i,0.00058844-0.00070269i
-1.0714e-05+0.0018336i,0.00065269+0.0019085i,0.0013256+0.0020851i,0.0015114+0.0019923i,0.0015171+0.00048271i,0.0002706-0.00051557i,1.3772e-06-0.00047261i,9.9233e-05-0.00024827i,0.00035078-0.00017572i,0.00094483-0.00057195i,0.00057494-0.00073207i,0.00073683-0.00086226i,0.00052534-0.00064417i,-0.00040471-0.00064909i,-0.00087412-0.00079056i,-0.00097624-0.00053946i,-0.00033893-0.0001377i,-4.3884e-05-4.9898e-05i,3.4584e-05-0.00014593i,0.00059776-2.3636e-05i,0.00050288-0.00015221i,-0.0001595-0.000285i,-0.00018774-0.00018307i
-0.001022+0.00043425i,-0.0015175+0.00019602i,-0.001175+0.00036702i,-0.0011783+0.00065454i,0.00033821+0.0010735i,0.0024032+0.00044796i,0.0021361-0.00037654i,0.00086095-0.00022216i,-1.1884e-05+7.0275e-05i,-0.00060228-6.7554e-05i,-1.6453e-05-6.583e-05i,0.00057839+0.00098513i,0.0002397+0.0011898i,-0.00042099+0.00036142i,-0.00035086-8.1101e-05i,7.7808e-05+0.00016489i,0.00021275+0.00069547i,8.0321e-05+0.00069155i,-0.00064708+6.2774e-05i,-0.00060064-0.00021817i,0.00049475+5.182e-06i,0.0004627+0.00070358i,-0.00028688+0.0010104i
0.0015467+0.00061811i,0.0032477+0.0001766i,0.0031611-2.5619e-05i,0.0018606+0.00052355i,0.0019828+0.00055339i,0.0022227-0.00041717i,0.0016766-0.0006829i,0.00078776+0.00020138i,-0.00029323+0.00044331i,-0.00085623+0.00029213i,-0.00053446+0.00048552i,-0.00021449+0.00027137i,3.5223e-05-3.847e-05i,-0.00025841-0.00021289i,-0.00055234+0.00030761i,-0.00018261+0.00086843i,-0.0002569+0.00031908i,-0.00019465+0.0001182i,-0.00014553+9.0005e-05i,-0.000295-0.00015606i,0.00010411+0.00052859i,0.00033694+0.00078359i,0.00019315+0.00031542i
0.00050706-3.2722e-05i,-0.00019447-0.0011024i,-0.00022214-0.001076i,0.00014445+0.00049135i,3.2604e-06-0.00023195i,0.00078628-0.0011439i,0.001515-0.00065281i,0.001001-0.0006408i,3.7833e-05-0.00032078i,-0.00038227+0.00015492i,-0.00057094+0.00031941i,-0.00024778-1.3149e-06i,-0.00047498-0.00094152i,-0.00071867-0.00099037i,-0.00098676+7.7629e-05i,-0.0011115+0.00043867i,-0.0003966-0.00019178i,-4.4659e-05+4.2708e-05i,-0.00020231+0.00021881i,7.0604e-06-0.00029131i,0.00053503-0.00051913i,0.00082798-0.00025818i,0.0009824-5.5694e-05i
-0.00030017-0.0014197i,-0.00084827-0.00061017i,-0.00094307+3.459e-05i,0.00040223+0.00030585i,0.0015198+0.00086391i,0.0011861+0.00032358i,0.00078957-0.00026864i,0.00062438-0.00039491i,-1.4514e-05-0.00076791i,-0.00036016-0.00054183i,-0.00034309+0.00034195i,-0.00063626+0.00068768i,-0.0002809+0.00022644i,-0.00057546-0.00084941i,-0.00096841-0.001436i,-0.00090217-0.00041855i,-0.00092795+0.00057031i,-0.00027291+0.0005865i,0.00081313-7.6566e-05i,0.00094696-0.0002138i,0.0010153+0.0003949i,0.00091247+0.00034415i,0.00011171+0.00062356i
-0.0019206+0.001231i,-0.0024952+0.0014855i,-0.0026266+0.0017158i,-0.0014436+0.0018662i,0.0003969+0.0012538i,0.0019056+0.00055101i,0.0015938-0.00054866i,0.00028538-0.0013205i,-0.00056758-0.00096835i,-0.0010864+0.00030288i,-0.00032199+0.0004579i,0.00028772-8.3367e-05i,-0.00020173-0.00079533i,-0.00033206-0.00059633i,-0.00072205-0.00053833i,-0.00081099-0.0013462i,-0.00071111-0.0011834i,-0.0010209-0.00039412i,-0.00062116-0.00090854i,1e-05-0.0018262i,0.00058635-0.0016498i,0.00097769-0.00015869i,0.00057687+0.00057983i
0.00086825+0.0013141i,0.00070235+0.00072511i,0.00068387+0.00083691i,0.0012069+0.0010029i,0.0018074+0.00047599i,0.0016003-0.00050021i,0.0012548-0.0010006i,0.00033746-0.00055427i,8.1339e-05-0.00038091i,0.00070563+0.00055573i,0.00068063+0.0011878i,0.0007001+0.0005872i,0.00054273+0.00017051i,0.00012991-3.7763e-05i,-5.7927e-05-0.00049447i,-0.00070656-0.00041335i,-0.0005327+0.00024354i,0.00015853+0.00056089i,-0.00036028-0.00022294i,-0.00061857-0.0008488i,-0.00044913-0.00021257i,-0.00011359+0.00032769i,8.2749e-05-0.00016073i
-0.0010891-0.0012703i,-0.0015526-0.0012723i,-0.0015847-0.00018114i,-0.00023652+0.0011217i,0.0011836+0.0013882i,0.0015942+0.0004805i,0.0017229-0.00040263i,0.00075664-0.00055167i,-0.00011357-0.00088733i,-0.0001573-0.00044773i,3.0234e-05+0.00039095i,0.00018444+0.00038246i,0.00018671+0.00019559i,-0.00014988+0.00020343i,5.7732e-05-8.8426e-05i,0.00036747-0.00029612i,-0.00026608-0.00034963i,-0.00023152-0.00088347i,0.00031462-0.00061488i,0.00050655-0.00013794i,0.00080091-0.00012128i,3.8534e-05-0.00028431i,-0.00091582-0.0007199i
0.00066885+0.0014732i,0.0014065+0.00078034i,0.0019647+0.0010287i,0.0018079+0.0007202i,0.0015132-0.00098865i,0.00086075-0.0023592i,0.00046879-0.0020617i,-0.00016096-0.00060892i,-1.6405e-05+0.00055249i,0.00055146+0.00026297i,8.9977e-05+0.00031606i,-0.00043303+8.226e-05i,-0.00055661-0.00063174i,-0.00012704+5.8569e-06i,0.00031254+0.00016135i,-0.00013153+0.00080012i,-0.00010925+0.0012406i,4.0564e-05+0.00043881i,-0.00010812-6.4634e-05i,0.00012494+2.9044e-05i,0.00053707+7.0715e-05i,0.00028367+9.6912e-05i,0.00040035+0.00028024i
-0.00014323-0.00038322i,-0.0010679-2.1404e-05i,-0.0012098-8.5783e-05i,0.00044479+0.00010424i,0.0017935+0.0006479i,0.0016527+0.00024286i,0.0014232-0.00055055i,0.0010048-0.0007272i,0.00041275-0.00047142i,0.00030818-0.00045768i,0.00025432-1.9584e-07i,-0.00015794+0.00031191i,-0.00074798+0.00022778i,-0.00093893-2.5789e-05i,-2.2524e-05-0.00066737i,0.00019403-0.00026334i,-0.00030039+0.00040179i,-0.0011175+0.00050425i,-0.0012-0.00021192i,4.2164e-05-0.00043336i,0.00030392-1.2583e-05i,-0.00013621-0.00012982i,0.00040923+0.0003783i
0.0017587+0.0023555i,0.0031424+0.0015976i,0.0032251+0.0014956i,0.0014887+0.00057286i,0.00097851-0.00068999i,0.001242-0.00026722i,0.0010122+0.00012414i,0.00055525-0.00010965i,0.0002523+8.2012e-05i,0.00039939+0.00052377i,7.5718e-05+0.00025561i,-0.00039903-0.00031983i,-1.6817e-05+5.5946e-05i,0.00034431+0.00038276i,-9.4102e-05+0.00037334i,-0.00030197+5.1697e-05i,-0.00013767-0.00081484i,-0.0004729-0.00059528i,-0.00089591-3.6876e-05i,-0.0011745-0.00022093i,-0.0011186-0.00040028i,-0.00016447+0.00023545i,-6.8943e-05+0.00079274i
-0.00057214+0.0010295i,-0.00044094+0.0006964i,0.00097113+0.0012881i,0.0025715+0.0016222i,0.0028572+0.00065172i,0.0025454-0.00078366i,0.0017963-0.00096992i,0.0014693-0.00044898i,0.0012553+0.00027549i,-3.0497e-05+0.00028332i,-0.00055383+0.00061112i,-0.00057389+0.00089715i,0.00011135+0.00030988i,0.00019371-0.00021631i,-0.00059955-0.00045765i,-0.00068254-0.00097615i,-0.00019163-0.0013499i,0.00011297-0.00034294i,5.4208e-05+5.6866e-05i,0.00044887-0.0010003i,0.0003109-0.00094797i,-0.0004248-0.00013063i,-0.0007904+0.00023249i
0.0016163+0.0005144i,0.0024557+0.00052919i,0.0027471+0.00054226i,0.0020526+0.00025678i,0.0014031-0.00015709i,0.00050393-0.00017764i,0.00028248-0.00024319i,0.00064404-0.00041082i,0.00035267+0.00034007i,-0.00016811+0.00092506i,-0.00034218+0.00055642i,-0.00013924+0.00034271i,0.00031948+0.00076265i,4.6915e-05+0.0007074i,-0.00020497+0.00029024i,-0.00055216+0.00015191i,-0.00033065+0.00024961i,0.00026224+0.00047628i,-3.0313e-05+4.5525e-05i,-0.0006709-0.0011004i,-0.00046636-0.0012301i,0.00016015-0.00045648i,0.00022968-0.00046126i
-0.00034973+0.0014975i,3.7033e-05+0.0012259i,0.0010036+0.0014882i,0.0024175+0.00081924i,0.0031076+0.00024472i,0.0022303-0.00041085i,0.0014418-0.00098806i,0.0010304-0.0011752i,0.00062291-0.00090575i,0.00037205-0.00043788i,-8.6412e-05-0.00028265i,-5.0656e-06+0.0001655i,0.00017892+0.00022751i,-0.00046126+0.00020688i,-0.00017318+0.00072188i,0.00064449+0.00099866i,0.00050066+0.00057466i,-0.00042492+0.00022983i,-0.0011715+0.00051592i,-0.00071107+8.4862e-05i,-2.6804e-05-0.00061408i,0.00025545-0.00016867i,-0.00035502+0.00044028i
-5.4657e-05+0.00068314i,-0.00026825+0.00045486i,0.00034237+0.00044101i,0.00075708+0.00061629i,0.0018141+0.0013712i,0.0010546+0.00089176i,0.00033162+8.2248e-05i,0.00054671+0.0001465i,0.00080162+0.00012216i,0.00021285+0.00022574i,-0.00032386+0.00055233i,0.00017445+3.6503e-05i,0.00093823-0.00092252i,0.0007971-0.0007842i,9.1768e-05-0.00046228i,0.00032658-0.00047837i,0.00047288-7.9617e-05i,-0.00053885+0.00062408i,-0.00066101+0.00027857i,-3.0184e-05-0.00029398i,-0.00016732+5.9999e-06i,-0.00084388-1.1962e-05i,-0.00069316+5.1748e-05i
-0.003221-0.00017091i,-0.0020484+0.0010777i,-0.00086894+0.0032103i,0.0002486+0.0031719i,0.0015201+0.0014294i,0.0026321+0.00038977i,0.0024939-0.0001514i,0.0010711-0.00053958i,-0.00012328-3.0775e-05i,-0.00066355+0.00051318i,-0.0003163+0.00035759i,0.00065454-4.3714e-05i,0.00066351-0.00035133i,-0.00025158-0.00032127i,-0.0010627-0.00025297i,-0.00083524-0.00039788i,-0.00013378-0.0002318i,0.00029777-0.00024242i,2.2379e-05-0.00056424i,-0.0001055-0.00039684i,-0.00027399-0.00065251i,-0.00019039-0.0014555i,0.00020853-0.00090095i
