-0.0018912+0.0016958i,-0.0012541+0.00024244i,-0.0011998-0.0004606i,-0.00019199-0.00086902i,3.9651e-05-0.00059833i,-0.00069996+0.00091162i,-0.0012628+0.0016665i,-0.000786+0.0013414i,0.00029567+0.00065781i,0.00090171-0.0001011i,0.00060533-0.00064366i,0.00016278-0.0012322i,-0.00031123-0.0010529i,-8.287e-05-0.0008056i,0.00024771-0.001162i,0.00018805-0.00077223i,0.00030285-7.0835e-05i,0.00025159+0.00011195i,-0.00020692+0.00024853i,0.00025342+0.0004992i,0.000539+0.00057284i,-0.00016868-0.0004802i,-9.4053e-05-0.0015263i
0.0021168+0.00077079i,0.0013018-3.8697e-05i,0.002343-0.00051538i,0.0028603-0.0014582i,0.00090587-0.002302i,6.4988e-06-0.0012007i,0.00040675+6.685e-05i,-3.7667e-05-7.047e-05i,-0.00074453-0.00077448i,-0.00080256-0.0012702i,-0.00051712-0.0012896i,-0.00019957-0.0011671i,0.0001286-0.0010031i,-0.00017902-0.0001624i,-0.00091269+0.00037472i,-0.00092343+0.00065954i,-0.00061695+0.00051104i,-0.00065469+0.00050919i,-0.00072308+0.00060024i,-0.00032771-0.00053874i,7.2393e-05-0.0011755i,-7.1798e-05-0.00058216i,-0.00014156+0.00042455i
0.00092133-0.00051674i,0.00064467-0.00054126i,0.0018634-0.00068239i,0.0026318-0.0010551i,0.0017328-0.0018387i,0.00031494-0.0016191i,-0.00025463-0.0009738i,0.00035848-0.00048676i,0.0002026-4.1978e-06i,3.8239e-05-2.9197e-05i,-0.00035398-0.00023525i,-0.00081089-0.00040493i,-0.00091168-0.00044209i,-0.00089105-0.00094017i,-0.00037635-0.00090773i,1.7987e-05-0.00072339i,0.00067345-0.00071159i,0.000586-0.00059167i,0.00040045-0.00021282i,0.00038911+0.00021879i,0.00074173+0.000109i,0.00089497-0.00028681i,0.00049118-0.00029688i
-0.00079644-0.00037966i,-0.00050682-0.00065348i,-0.00055543+0.00043172i,-0.00078642+0.00097592i,-0.0008224-6.5495e-05i,-0.0010033-0.00059212i,-0.00049643+0.00011241i,0.00015939-0.00042957i,0.00066921-0.0011976i,0.00094114-0.00084295i,0.00070109+0.00019166i,0.00017074+0.00068084i,-0.00025645+0.00017687i,1.0548e-05+9.09e-05i,0.00077285+0.00035394i,0.0011027+0.00056758i,0.00089289+0.00022798i,0.0006875-0.00056002i,0.00059413-0.00049091i,0.00012175+0.00045866i,-0.00027008+0.0011972i,-0.00033643+0.0009549i,-0.00033246+2.1025e-05i
0.00089194+0.00080808i,0.00026204-0.00053188i,0.00077364-0.0013665i,0.0015778-0.0023383i,0.0011159-0.0028909i,0.00017906-0.0021916i,-8.8895e-05-0.00088691i,-0.00047353+0.00026132i,-0.00093492+0.0002184i,-0.0010064-0.00024597i,-0.00056736-0.00062052i,-0.00015743-0.00033134i,-7.5005e-05+2.3068e-05i,-0.00022837-0.00035088i,2.9958e-05+1.5481e-05i,0.00012889+0.00061273i,-7.3423e-05+0.00056466i,0.00064576+0.00047459i,0.0010369+0.00016126i,0.00058688-0.00051723i,-0.00073987-0.00073337i,-0.00079365-0.0010403i,0.00053169-0.00062979i
0.00067026+0.0023065i,0.0015587+0.0021384i,0.0025271+0.00038269i,0.0026599-0.00044217i,0.0012716-0.00035906i,-0.0010344-0.00019584i,-0.0010355+0.0002984i,-0.00022249-0.00020479i,-0.00076014-0.00076046i,-0.00085112-0.00079749i,-0.00024834-0.00058812i,-0.0001077-0.00060929i,-0.00037926-0.00062065i,-0.0010201+2.6142e-05i,-0.00097945+0.00031834i,-0.00013821+0.0004379i,-0.00017723+0.00011356i,-0.00021373+3.7616e-05i,6.2145e-05+0.00052183i,-8.8212e-05+0.00065921i,0.0002827-0.00018131i,0.00048648-0.0010636i,0.00022414-0.00046472i
-0.00048914+4.1313e-05i,0.00020998+0.0011461i,0.00055911+0.0010558i,0.00074354-0.00012211i,0.00067808-0.00069792i,-0.00020626-0.00087741i,-0.00017001-0.00069527i,0.00036472-0.000482i,0.00010783-0.00064024i,-0.00067641-0.00065329i,-0.00081848-0.00043357i,-0.00032148-0.00045922i,0.00023478-0.0011539i,5.4412e-07-0.0016012i,-0.00021241-0.0010487i,0.00098972-0.00051268i,0.0015935+0.00010695i,0.0011808+0.00058598i,0.00091861+0.00030992i,0.00029328-0.00026881i,-0.0002864-0.00047912i,-7.5279e-05-0.00037618i,-0.0002485-3.5932e-05i
0.00028311+9.4436e-05i,-0.00010278-1.5189e-05i,0.00092815-0.001079i,0.0017393-0.0014198i,0.0013501-0.0007818i,0.0012874+0.00021955i,0.00074355+3.54e-05i,0.00018304-0.00095707i,0.00031118-0.0013578i,-0.00015926-0.0011654i,-0.00095727-0.00085253i,-0.001002-1.5872e-05i,-0.00087913+0.00071575i,-0.00077505-8.6013e-05i,-0.0011222-0.00075282i,-0.0010436+0.00022194i,-6.6378e-05+0.0011918i,0.00020765+0.00078726i,-0.00049433+0.0001173i,-0.00031672+8.6156e-05i,-0.00046315-0.00010515i,-0.00082184-0.00053206i,-0.00018333-0.00020148i
0.00045774-0.00086859i,0.0013679-0.0017174i,0.0011922-0.00061542i,0.00095839+0.00037889i,0.00039368-0.00016763i,-0.00069828-8.2306e-05i,-0.00038104-0.00011469i,0.00014943-0.00023683i,-0.00011884-4.6095e-05i,-0.00058668-0.00037444i,-0.0010506-0.00025411i,-0.001085-0.00018766i,-0.00078548-0.00083765i,-0.00022011-0.00051485i,-0.00036162-3.6268e-05i,-0.00022287+0.00025337i,0.00083006+0.00081225i,0.0015026+0.00057189i,0.0009355-0.00016915i,0.00034429+0.00034683i,0.0007531-0.00013911i,0.00031624-0.00071754i,-0.00010932-0.00048103i
0.0011482+0.0016034i,0.0018022+0.0024657i,0.0018469+0.0010191i,0.0013233-0.0010057i,0.00084698-0.0017706i,0.00091221-0.0019719i,0.00090047-0.0011261i,0.00050966+6.5128e-05i,0.00052136+0.00030381i,0.00059466-0.0001031i,0.00048859-0.000506i,0.00042837-0.00034968i,0.0006379-0.00048503i,0.00055937-0.00028242i,0.00017345-0.00017364i,2.5485e-05-0.00021322i,-0.00032767-2.1243e-05i,-0.00032569+0.00040471i,-0.00026485+9.4467e-05i,-0.00013985-0.00049362i,-0.00028424-0.0011785i,-0.00024766-0.0014629i,0.00015696-0.00052227i
0.0030607-0.00043448i,0.0031718+1.7386e-05i,0.0028321-0.0017404i,0.0015849-0.0026346i,-0.00023992-0.0022054i,-0.00040056-0.00095415i,0.0001176-1.016e-05i,0.00019737+1.4553e-05i,-8.9494e-05-0.00080349i,-0.00032224-0.00093222i,-0.00057627-0.00072457i,-0.00031631-0.00074848i,-3.5892e-05-0.00070014i,-0.00029785-0.0002792i,-0.00059328+2.4095e-06i,-0.00098424-0.00026872i,-0.00050265+0.0002129i,6.7811e-05+0.00074994i,0.00029654+0.00056914i,0.00071886-0.00011426i,0.00023965-0.00054284i,-0.00085457-0.00021297i,-0.0010433+0.00060465i
0.00015613+0.0011822i,0.00098407+0.0016223i,0.0014529+0.00034818i,0.001691-0.0012159i,0.0010243-0.0010504i,0.0001698-0.00038374i,0.00012714-0.00028169i,-9.4227e-05-0.00019749i,-0.00068343-2.4789e-05i,-0.00096233-8.3532e-05i,-0.00050585-0.00056252i,-0.00047362-0.00082366i,-0.0011125-0.0010961i,-0.0010546-0.00081976i,-0.00023176+0.00010147i,0.00031578+6.5848e-05i,0.00029952-0.00025748i,0.0009958-0.00014256i,0.0010783+6.5563e-06i,0.00040511-0.00016275i,0.00012623-0.00036987i,-0.000491+9.9796e-05i,-0.00063979+0.00062128i
-0.0018698-0.0016894i,-0.0012891-0.0012099i,-0.00078968-0.0017937i,-0.0007051-0.0014436i,-0.0012988-0.00013036i,-0.00095009+0.00050374i,-0.00039736+0.00044285i,0.00019373-0.00015365i,0.00027606-0.00089436i,-0.00052324-0.00066564i,-0.00060878-0.00021802i,-7.7678e-05-7.4643e-05i,-0.0001969-0.00058844i,-0.00048555-0.0010746i,-0.00018184-0.00024323i,0.00090615+0.00081923i,0.0015158+0.00061i,0.00047182+0.00023368i,-0.00056363+7.6254e-05i,-0.00063062-0.00045733i,-0.00019734-0.0011646i,0.00026079-0.00067547i,1.4189e-05+0.00020153i
-0.0016528-0.0019281i,-0.001505-0.0015171i,-0.0017727-0.00079657i,-0.00081157-0.00080149i,-7.3942e-05-0.00019968i,-4.2674e-05+0.00072944i,-0.00029645+0.00013088i,-8.1554e-05-0.00073885i,8.3125e-05-0.00023452i,-0.0011044+0.00077206i,-0.0012946+0.00025101i,0.00032379+0.00032136i,0.0010435-0.0001511i,0.0011692-0.0009042i,0.0018452+4.5039e-05i,0.0015872+0.00040111i,0.00087526-0.00014642i,0.00073133+2.865e-05i,0.0005878-0.00016898i,0.00016232-0.00045354i,-0.00015701-0.00013815i,0.00024493+0.00037403i,0.00091791+0.00026581i
-0.00013537+0.00020841i,0.00065752+0.0008288i,0.00042274+0.0017783i,0.00058854+0.0020775i,0.00010338+0.00078544i,-0.00027537-0.00082264i,-0.00012735-0.00090693i,0.00026026-0.0001315i,0.00033928+0.00069792i,2.6294e-05+0.00088564i,-0.00047206+0.00013537i,-0.00041981-0.00052286i,-0.00041021-0.00025568i,7.632e-05+0.00013009i,0.00024048-0.00012096i,-0.00076419+0.0001609i,-0.00095782+0.00022456i,-0.00033542+0.00028455i,-0.00036854+0.00056686i,-6.35e-05+0.00077198i,0.00033256+0.001152i,0.00015786+0.0012356i,-0.00045996+0.00086097i
-0.0041509+0.0010229i,-0.0030591+0.00093942i,-0.0019263-8.6036e-05i,-0.001177-0.00080929i,-0.00023847-0.00047399i,0.00059394-0.00021276i,0.00057568-0.00026208i,0.00056123-0.00030924i,6.1082e-05-0.00050952i,-0.00054122+0.00040303i,-0.00066833+0.0012113i,-0.00050211+0.0010327i,-1.3554e-05+0.00051199i,0.000526+0.00012544i,0.00053373-0.00020235i,0.00063624-0.00016487i,0.0012668+3.0244e-05i,0.0011038+0.00025811i,0.00027476+0.00047506i,3.3413e-05+0.0006764i,0.00019782+0.00070587i,5.4031e-05-0.00014225i,0.00028759-0.00048197i
0.00028401+0.00023709i,0.000665-0.0011135i,0.0017304-0.0015639i,0.00268-0.0016613i,0.0020865-0.0016345i,0.00037589-0.00087231i,5.2983e-05-0.00019319i,9.9874e-05-0.0007478i,-0.00089073-0.00083249i,-0.0012664-0.00079573i,-0.0010264-0.00071642i,-0.00030202-0.00042178i,0.00027074-0.00011061i,-0.00018467+9.6522e-05i,-0.0004249+0.00091898i,0.00022262+0.0012868i,-8.1385e-05+0.00099637i,-0.00055556+0.0006269i,-0.00038014+0.0011866i,-0.00020359+0.0016186i,6.3856e-05+0.00076487i,-0.0003766-0.00029632i,-0.00040127-0.00032601i
-0.0016109+0.0013723i,-0.00097521+0.00096853i,-0.00084887+0.0021453i,0.00041724+0.0018196i,0.0016213+0.00044747i,0.0012035-4.8719e-06i,-7.5755e-05+0.00015099i,-0.00022259-0.00020784i,2.6086e-05-0.0008271i,-4.272e-05-0.00094653i,0.00084679-0.00036709i,0.00094942+9.9107e-05i,3.9738e-05-0.00027107i,-0.00054262-0.00012181i,-0.00036952+0.00031834i,0.0001202+0.00038106i,0.00053916+0.00020138i,0.00090209-0.00031928i,0.0008869-0.00032921i,0.00045476+0.00032891i,-0.00045528+0.00090562i,-0.00075226+0.00065567i,-0.00044947+0.00030664i
0.0018175+0.00031138i,0.0026176+0.001216i,0.0034659+0.00016348i,0.0029203-0.0019541i,0.0014967-0.0018644i,0.00041346-0.00053646i,0.00023707-0.00049555i,0.00052103-0.00065617i,0.00045224-0.00061625i,0.00039464-0.0010967i,0.00021017-0.00051845i,-0.00012007+0.0004446i,-0.00079081+0.00069058i,-0.0015096+0.00094479i,-0.0013394+0.0006894i,-0.00076465-0.00012243i,-0.00012795-0.00034812i,-0.00022313-0.00023297i,-0.00042958+0.00019984i,-0.00043236+0.00024624i,-0.00049982-0.00011994i,-0.00030788-0.00052814i,-1.8943e-05-0.00080012i
0.00099641-0.0007286i,0.0013769-0.0001443i,0.0017437-0.00033442i,0.00088012-0.00057432i,-0.00035569-0.0012321i,-0.00081045-0.00085915i,-0.00076624+0.00018258i,-0.0005094+0.00038798i,0.00030118-0.00011946i,0.00043285+7.1187e-05i,-0.0005623-4.0655e-06i,-0.00056334-0.00037013i,-0.00013001-0.00047692i,-0.00036171-0.00028874i,-0.00010751+0.00011259i,0.00047949+0.00032926i,0.00075913+0.00050751i,7.908e-05+0.00067825i,-2.817e-05+0.0010239i,-2.2448e-06+0.0012292i,-0.00023292+0.00012508i,-0.00071053-0.00087035i,-0.0013823-0.00071481i
-0.00025169-0.0010831i,4.5399e-05-0.00039636i,-0.00030217+5.6831e-06i,0.00050666-0.0010454i,-0.00019385-0.0014205i,-0.001166-0.00062909i,-0.00050053+1.2926e-06i,0.000287+3.8252e-05i,7.7844e-05-0.0001269i,-0.00065279-7.8205e-05i,-0.0013277+4.8866e-05i,-0.0010524-0.00045224i,-0.0010139-0.00030354i,-0.00065165+0.0001118i,0.00033495+0.00023186i,0.00059167+0.00050079i,0.00031799+0.00014749i,1.5116e-05+0.00020338i,-0.00027662+0.00026725i,-0.00013076-0.00053003i,0.00037313-0.0014117i,-8.5991e-05-0.0013225i,-0.0013574-0.00035179i
0.0015406+0.00040626i,0.0021804-0.0012086i,0.002816-0.0016113i,0.0030126-0.0019629i,0.00088911-0.0019049i,-0.0016022-0.00050338i,-0.0013911+3.8863e-05i,-9.4777e-05+0.00028365i,-0.00028272+0.00048252i,-0.00049046-0.00014998i,0.00011425-0.00026139i,0.00011447-0.00010555i,4.3792e-05-0.00017099i,-9.5988e-05-4.1448e-05i,-0.00011084-2.6381e-05i,0.00052403+0.00034896i,0.0004573+0.00082167i,0.00010036+0.00088241i,-4.6663e-05+0.00064678i,-0.00065624+0.00038977i,-0.00056549+1.862e-05i,0.00010086+3.2449e-05i,0.00072993+0.00030565i
-0.0034584+0.00069332i,-0.0014332+0.0005085i,0.00022439+0.0010306i,0.00084175+0.00066128i,0.000774-0.00012594i,0.00064861-0.0004722i,0.00012906-0.00064142i,-0.00040789-0.0012501i,-0.00062454-0.00073853i,-0.00098799+4.0033e-05i,-0.00069714+7.2478e-05i,0.00052441-9.2165e-05i,0.0012809+5.5506e-06i,0.00049146-0.00045255i,-0.00064789-0.00081535i,-0.00098614-0.00047455i,-4.6754e-05-0.0001414i,0.00029306+4.8104e-05i,-0.00048465+2.5842e-05i,-0.0007131+0.00028817i,0.00035809+0.00077364i,0.00070346+0.00090271i,-1.4621e-05+0.0004293i
0.002901+0.00011552i,0.0015546+0.00061567i,0.0023355+0.00044503i,0.0026483-0.0014171i,0.0015455-0.0020979i,0.00048523-0.0010891i,0.00015175-0.00073849i,0.0013533-0.00075135i,0.0012599-6.972e-05i,-0.00045919+0.00037198i,-0.00068949-0.00033127i,-0.00043998-0.00093303i,-0.00079957-0.00074638i,-0.00075179-0.00042093i,-0.00014463-0.00013797i,9.0841e-05+0.00019444i,-0.00016722+0.00043129i,-0.00016636+0.00036429i,7.8591e-05-0.0001612i,-0.00018896-0.00056273i,-0.00039408-0.00034032i,-0.00020323-0.00011176i,-0.00071514+0.00052686i
0.00028288+0.00091852i,0.0006075+0.0015892i,0.0012717+0.0011459i,0.0010076+0.0005342i,0.00011136-0.00057499i,-0.00082651-0.0013587i,-0.0012235-0.001301i,-0.00145-0.0010705i,-0.0018893-0.00082755i,-0.0017182-0.0009867i,-0.00054312-0.00031437i,0.00053114+0.00043349i,0.00060819+0.00075999i,-0.00035491+0.00087035i,-0.00032344+0.00079307i,0.00076236+0.00081648i,0.0016064+0.001124i,0.0015293+0.00057339i,0.00062374+0.0001116i,-0.00011062+0.00081761i,-0.00036829+0.00095501i,5.5517e-05+0.00051749i,0.00054569+0.00075492i
0.00026823-0.0018343i,0.00048256-0.0033253i,0.0014474-0.0033871i,0.0010142-0.0022752i,-1.3578e-05-0.0022547i,-0.00044258-0.0017885i,-6.493e-05-0.00029567i,0.0003536+0.00040431i,-0.00012049-0.00031691i,-0.00085015-0.00031526i,-0.00071111+0.00067368i,-0.00049557+0.0011407i,-0.00042824+0.00062503i,0.00027028+0.00097227i,0.00089921+0.001369i,0.0010159+0.00099848i,0.000789-9.9271e-06i,0.0008844-0.00049347i,0.00052374+0.00040924i,-0.0005115+0.0013146i,-0.00097339+0.00094377i,-3.8001e-05+0.00041372i,0.00056045+0.00056456i
0.00066004+0.00050437i,0.0024766+0.00065953i,0.003372+0.0017421i,0.0030138+0.00039546i,0.0018254-0.0015588i,0.00033168-0.0017875i,3.644e-06-0.00099416i,0.00044088-0.00016083i,0.00055948-8.1e-05i,0.00037922-0.00043611i,-0.00016379-0.00015592i,0.00027301-0.00016844i,0.00013827-0.00035689i,-0.00030154+0.0002462i,-0.00031581-0.0001532i,-0.00026681-0.00070222i,-1.5686e-05-0.00083309i,0.00081501-0.00094786i,0.00098266-0.00015383i,0.000728+0.00039966i,0.00066157+0.00031424i,-0.00026758+0.00027998i,-0.00050631-2.9869e-05i
-0.00085831+0.0026081i,-0.00081743+0.0020746i,-0.00023425+0.001808i,0.0019898+0.00076811i,0.0027943-0.00055293i,0.0010601-0.0017138i,-0.00049303-0.0015959i,-0.0010382-0.00051144i,-0.0014078-0.00016255i,-0.001163-0.00065562i,-0.0007092-0.00065701i,5.5716e-05+1.1936e-05i,0.0011038+0.00091068i,0.0010756+0.00089092i,0.00021025-0.00018304i,-0.00028852-0.00043069i,-0.00036052+0.00066659i,-0.00010444+0.0014338i,0.00032541+0.0014351i,9.694e-06+0.00094752i,-0.00050172+0.00058964i,-5.3534e-05-6.9435e-05i,9.4314e-08-0.00017095i
-0.0018125+0.00015385i,-0.0014403+0.00042157i,-0.00026141+0.00097433i,0.00032986+0.00062427i,0.00083668-0.0007341i,0.00066408-0.000899i,-0.00024189-0.00027107i,-0.00037816+6.2311e-05i,-0.00049-0.00039763i,-0.00063144+5.4679e-05i,-0.00025563+0.00037222i,0.00051235+1.6261e-05i,0.00086544-5.2958e-05i,3.1825e-05-0.0003591i,-0.0001485-0.00011294i,0.00041142+0.00011915i,0.00046052+0.00034731i,0.00013092+0.00030382i,-0.00010471+0.00021884i,0.00010799+0.0011709i,-0.00026968+0.00030479i,-0.0012097-0.00057404i,-0.001008-0.00030385i
