-0.0018726+0.00028385i,-0.0011713-0.0013042i,-0.0014943-0.00014624i,-0.0015829+0.0010482i,-0.0012952+0.001193i,-0.0006849+0.0019171i,-0.00034607+0.0027956i,-0.00034475+0.0028042i,0.0010816+0.0019771i,0.0024625+0.001207i,0.0014884+0.00047256i,-0.00034032+0.00020668i,-0.00035338+0.00034224i,0.00035267+0.00026059i,0.00026669-0.00068738i,-0.00019201-0.0014298i,-0.0001691-0.001014i,0.00012912-0.00025127i,0.00060864-0.00018664i,0.00040694+0.00010945i,-0.00032275+0.00030016i,-0.00065254+7.4998e-06i,-0.0010634+0.00035825i
-0.000734+0.0002726i,-0.00050746-5.7135e-05i,-0.0004735-0.00086515i,-0.00091439-0.0011489i,-0.0010792-0.0010747i,-0.00019301-0.0005656i,1.3633e-06-0.0005501i,-0.0007127-0.00065023i,-0.00092492-2.1009e-05i,-0.00098905+0.00052942i,-0.00097405+0.00053966i,-0.00023263+0.00032151i,0.000452-0.00050378i,0.00079961-0.00063847i,0.00099493+4.86e-05i,0.00025893-7.9043e-06i,1.281e-05-0.00036333i,-0.00030753-0.00025143i,-0.00019716+0.00018395i,-4.4797e-05+0.00017452i,2.7268e-05+4.2248e-05i,1.771e-05-0.0003901i,-5.6422e-06-5.5724e-05i
0.0029195+0.00050923i,0.0015623-0.00021326i,0.00013672-4.5386e-05i,-0.00082289-0.00017846i,-0.0002639-0.0002635i,0.00023044+0.00018309i,-4.0772e-05+0.00039998i,-9.0364e-05+0.00027699i,-0.00017062-7.8596e-05i,-0.00060925-0.00020834i,-0.00073512-0.00067548i,-0.00034451-0.00036368i,-0.00013101+0.00031186i,-0.00025944+0.00014531i,-0.00013952-3.3012e-05i,-0.00016196-0.00013662i,-0.00023422-0.00035186i,-0.00029902-9.3999e-06i,-0.00029263+0.00069515i,-5.992e-05+0.00087368i,0.00058629+0.00085606i,0.00066874+0.000347i,-0.00014174+9.702e-05i
-0.00062462+0.0014402i,-0.00022102+0.00037692i,3.2121e-05-0.00074629i,-0.00028626-0.00082118i,-0.00036726-0.00078652i,-0.00052947-0.0010294i,-0.00022123-0.0014481i,-0.00017783-0.00077855i,-0.00039092+0.0003582i,-0.00013947+0.00058023i,4.9233e-05+0.00032788i,-0.00042065+0.00069056i,-0.00064226+0.00045449i,-2.2123e-06-0.00016934i,0.00046317-0.0002234i,0.0004203+0.00021853i,0.00014753+0.00013275i,0.00049233+0.00013289i,0.0001156+3.5991e-05i,-0.0004311-0.00048851i,-0.00043324-0.00019639i,-0.00027015+0.00017034i,0.00024235+0.0001283i
-0.001529-0.00037557i,-3.3447e-05+2.6954e-05i,0.00094966+0.0008646i,7.8619e-05+0.002313i,-0.00012291+0.0018904i,0.0005648+3.7474e-05i,0.00064179-0.00086919i,0.00031571-0.00017072i,0.00015118+0.00069344i,0.00028248+0.00075008i,0.00017745+0.00027216i,-0.0002159+3.7537e-05i,-3.1409e-05+8.9677e-05i,0.00028394+0.00020013i,-7.7936e-05+4.8037e-06i,-0.00071258-0.00011203i,-0.00057084-0.00015163i,8.0464e-05-0.00015969i,0.00014351-3.3106e-05i,0.00031509+0.00069828i,-0.00022051+0.00052344i,-0.00058081-0.00024493i,0.00045071+2.4646e-05i
0.00088965-0.00060128i,-0.00035705-8.7369e-05i,-0.0018375+5.6337e-05i,-0.0021512+0.0001739i,-0.001583+0.00076965i,-0.00099754+0.00016527i,-0.00030935-0.00058876i,0.00013331-0.00071735i,-0.00027101-0.00052696i,-0.00061905-0.00012727i,-0.00023664+0.00042881i,0.00013326+0.0002956i,0.0010235-0.00013945i,0.001434-0.00071339i,0.00064867-0.0010828i,-1.7213e-05-0.00058897i,-0.00051866+0.00058603i,-0.0010682+0.0010658i,-0.00062497-4.4679e-06i,0.00029736-0.00031543i,0.00034519+0.00046608i,0.00064915+0.00015259i,0.00099074+0.00022988i
0.00031597-0.00025152i,0.00041795-0.0006145i,-0.00011168-0.0010006i,-0.0010418+9.0595e-05i,-0.0011007+0.0013756i,-0.00045812+0.00084665i,0.00019436-0.00054665i,0.0006139-0.00035918i,0.00032478+0.00012573i,-0.00015353+0.00012477i,0.00011857+0.00033199i,0.0006847-8.2066e-06i,0.0007311-0.00014351i,0.00076345-0.00027373i,0.00031637-0.00034232i,-0.00053726-0.00069674i,-0.00037814-0.00095349i,0.00017944-0.00039265i,-9.7993e-05+7.5862e-05i,-0.00019246+0.00079998i,-0.00048794+0.001109i,-0.00068504+0.0007081i,-0.00036249+0.00035792i
-0.0020087-0.00069525i,-0.0023728-0.00093332i,-0.0019402-0.0013531i,-0.0021073-0.0018718i,-0.001569-0.0019157i,-0.00057906-0.0011451i,-0.00034555-0.00056512i,-0.00039528-0.00081204i,0.00039814-0.00047952i,0.00047464+0.00034721i,0.0001323-3.5419e-05i,0.00035171-0.00013345i,0.00035332-0.00046926i,0.00023813-0.00023531i,5.6436e-05-9.8695e-05i,0.00050684-0.00087725i,0.00097419-0.00075718i,0.00060262-0.00028265i,0.00033808-6.8099e-05i,0.0003766+0.00018964i,0.00063272+0.00014996i,0.0002614+8.2617e-05i,-0.00055728+0.00041439i
0.00054577-0.0010765i,-0.00021713-0.00075396i,-0.0017432-0.0012264i,-0.0018002-0.00068333i,-0.00059158+1.2721e-05i,0.00052541-0.00076286i,0.00028881-0.0011643i,-0.00033388-0.0011828i,-0.00029915-0.0006085i,0.00013787+0.00059337i,0.00013065+0.0010361i,0.00054931+0.00072869i,0.0011261+0.00053116i,0.0010866-0.00020025i,0.00048512-0.00054733i,-0.00036067-0.00017386i,-0.00075148-0.00033033i,-0.00020541-8.7452e-05i,0.00063203-0.00047669i,0.00042248-0.00074133i,-0.00042486+4.4358e-05i,-0.00031547+0.00013998i,0.00010311-4.3758e-05i
-0.00020244+0.00059631i,0.0014415+0.0011958i,0.0017002+0.0018255i,0.0014534+0.0012212i,0.0015569+0.00019816i,0.0012485-0.00033685i,-0.00040913-0.00050919i,-0.00074054-0.00047911i,-0.00013189-3.0671e-06i,0.00036225+0.00045988i,0.0010042+0.00016314i,0.00083663-2.6251e-05i,0.00030836-5.775e-05i,-0.0002908-0.00046925i,-8.8841e-05-0.00026534i,0.00038435+0.00024445i,0.00013249+0.00050366i,-0.00036132+0.00049807i,-0.00052282+0.00046777i,-0.00031344-0.00014325i,-0.00032363-0.00054884i,-0.00018408-0.00066927i,-5.5158e-05-0.00027666i
-0.00046854+0.0011278i,0.00010369+0.00060785i,0.00048993-0.00071316i,7.0938e-05-0.00086475i,-0.00067221-0.0010272i,-0.00093655-0.0015163i,-0.00063139-0.0013097i,0.00014394-0.00069849i,0.00065142+5.9287e-05i,0.00061065+0.00035694i,0.0005093-0.00046766i,0.00056398-0.00046231i,0.0005425+0.00067135i,2.6845e-05+0.00084124i,-0.00013941-0.00058519i,0.00020052-0.00078962i,-7.2022e-05-0.00046985i,-0.00047101-0.0006254i,-0.00069409+0.00029764i,-0.0014636+0.0007917i,-0.0013472+0.00015297i,-0.00036212-0.00028752i,0.00042437+0.00034148i
-0.0014775+0.0010554i,-0.00055026+0.001926i,-0.00086445+0.0023966i,-0.00095811+0.0025294i,0.00037857+0.0016136i,0.0007725-0.00017663i,0.00044174-0.0016962i,4.4617e-05-0.0014735i,-0.00052765+4.2587e-05i,2.1519e-05+0.0013663i,0.00046278+0.00088865i,9.9675e-05+0.00029857i,0.00016917+0.00040933i,0.00018634-0.00053788i,0.00026875-0.00082542i,0.00021085-0.00051404i,-0.00026086-0.00011617i,-0.00016892+0.00037394i,0.00045891-0.00023355i,0.00034936-0.00051461i,-1.5612e-05-0.00024845i,-0.00037445+0.00027334i,5.1708e-05+0.0002644i
-0.00057774-0.0011555i,-0.00057822-0.001391i,-0.0015279-5.5304e-05i,-0.0016632+0.00012701i,-0.00085753+7.9436e-05i,0.00022289+0.00015171i,0.00029931-0.0010319i,7.9041e-05-0.0013509i,-0.00046955-0.00067238i,-0.00065333+0.00053882i,-0.00022143+0.0012426i,2.5139e-05+0.00093845i,-0.00025101+0.00048767i,-0.00024456-0.00032573i,-0.00040053-0.0012572i,-0.00046393-0.0011859i,-0.00029036-0.00066798i,0.00010495-0.00034689i,0.00042518-3.3722e-05i,0.00010735+0.00035438i,-0.0006236+0.00051983i,-0.00080117+0.00074335i,-2.9309e-05+0.00057033i
0.00016489-0.0001207i,6.0243e-05-0.0006158i,-0.0007185-0.00078617i,-0.0013841-0.00031133i,-0.00059237-0.00029325i,-0.00040349-0.00011565i,-0.00079018-0.00031964i,-0.00011363+8.1982e-06i,-8.839e-05+0.0010555i,-0.00095577+0.0013869i,-0.00053571+0.00073847i,0.00036561+0.00078286i,-0.00014015+0.00096284i,-0.0002803-0.00033132i,0.00033107-0.00063651i,0.00049061-2.6683e-05i,0.00023307-9.0122e-05i,0.0001794-9.4534e-05i,2.5131e-07-0.00010911i,-0.0008984+0.00037186i,-0.00079073+0.00040595i,-0.00060986-0.00013956i,-0.00060526-0.00010301i
0.0001073+0.000102i,0.00082448-0.0005224i,0.00015047-0.00048812i,0.00031747-0.00075077i,0.00026233-0.00033924i,-0.00070093-0.00066739i,-0.00042999-0.0013998i,0.00012351-0.0010399i,0.00023478-0.00026762i,0.00043468+0.00022473i,0.0003053+0.0010374i,-4.4505e-05+0.0011094i,0.00037592+0.00014415i,0.00022761-0.00066573i,-8.7156e-05-0.00092717i,3.8054e-05-0.00067324i,-0.00066313-0.00068482i,-0.0012385-0.00047345i,-0.0013078-0.00030521i,-0.0012899-0.00041244i,-0.00087149-0.00062156i,-0.0005205-0.00052703i,-0.00029442+8.8922e-05i
-0.00050551-0.0013142i,-0.0012877-0.00056789i,-0.0020633-0.001247i,-0.0016816-0.00097427i,-0.00064033+8.0199e-05i,-0.0001078+3.1369e-07i,0.00012686-0.00012057i,0.00057503+0.00061387i,0.00084658+0.0016185i,0.0010057+0.00077572i,0.0003956-0.00029522i,-3.5643e-05-0.0007457i,0.0006322-0.0011653i,0.00086974-0.00073837i,-2.3313e-05+1.0967e-05i,-9.444e-05-9.0817e-05i,5.6917e-05-0.00062852i,-0.00016273-0.0010121i,3.3288e-05-0.00026473i,0.00039446+0.00012853i,0.00048308-2.4397e-05i,5.3011e-05-1.1218e-05i,0.00044521-2.2076e-05i
0.00012838-0.000943i,-0.00066385-0.00074488i,-0.00068667+0.00025568i,-0.00080612+0.0010518i,-0.00060972+0.00026563i,-0.00023379+4.9605e-05i,-0.0004166-2.0197e-05i,-0.00024177-0.00042914i,0.00029178-0.00037179i,0.00059295-0.00027216i,0.00022943-0.0005935i,2.4134e-05-0.00072439i,-0.00018365-0.00028495i,-0.00091465-0.00020453i,-0.0010009-0.00058325i,-0.00034395-0.00069356i,-8.3603e-05-0.00071795i,-3.9603e-05-0.00095072i,-0.00022927-0.00075548i,-0.0010386-2.112e-05i,-0.00069393+0.00025834i,-3.0978e-05+0.00012804i,-0.00020363+5.1989e-05i
0.001049-0.0011866i,-0.00033626-0.00095659i,-0.0014675-0.0011538i,-0.000547-0.0015077i,0.00023889-0.0011648i,0.00020035-0.00044848i,-0.00010883-0.00042736i,-1.3739e-05+0.00023542i,-2.3813e-05+0.00069065i,-0.00014162+0.0003163i,3.292e-05+0.00026568i,0.00014992+0.00058845i,-3.7738e-06+0.00036478i,0.00043988+0.00017262i,0.00083651+1.6697e-05i,0.00068701-0.00052869i,0.00038685-0.00062296i,-0.0005437-0.00014082i,-0.00052228-0.00010868i,-0.00012653-0.00016665i,-0.00028544-0.00029209i,0.00010624+0.00026866i,0.0007492+0.00082488i
-0.00056923-0.00024788i,-0.0014257-4.5206e-05i,-0.0019708+5.6431e-05i,-0.0011799-0.00079599i,-0.00040238-0.00029836i,-0.00069437+0.00041892i,-0.00060315-0.00018906i,-0.00049256-0.00047835i,-0.00056383+2.0227e-05i,-0.00085782+0.0002151i,-0.00081467+0.0010524i,3.6661e-05+0.0012762i,7.4211e-05+0.00051584i,-0.00033235-0.0002601i,-0.0006516-0.0010748i,-0.00026207-0.00072858i,0.00013645-0.00049735i,5.1015e-06-0.00055056i,0.00013084-0.0006298i,0.00041024-0.00086494i,0.00015187-0.0014813i,-9.0224e-05-0.00182i,0.00023957-0.0011597i
-0.0014726+0.00046734i,-0.0015658+0.0011859i,-0.0010243+0.0011561i,-0.00033323-1.6604e-05i,0.00018544-0.00071037i,0.00034171-0.00080264i,0.00057394-0.00030693i,8.9092e-05+0.0005152i,-0.00018048+0.00082716i,0.00018719+0.00077058i,-3.558e-05-0.00015212i,0.00025178-0.00050244i,2.4222e-05+0.00038108i,-0.00032851+0.00056762i,0.00046732-0.00028795i,0.00067605-0.00046681i,3.5998e-05-9.9011e-05i,-0.00027313+0.00020298i,-0.00041599-0.00014417i,-6.8784e-05-0.00044175i,-0.00028336-0.0002017i,-0.00034778+0.00025411i,-0.00040837+0.00044764i
-3.6938e-05+0.0010328i,-0.0010785+0.0013015i,-0.0017712+0.0014254i,-0.0014773+0.0016017i,-0.00082724+0.0012336i,-2.2709e-05+0.00052694i,0.00022833-1.4969e-05i,0.0001925-0.0005216i,-0.00026271-0.00073771i,-0.00022112-9.9469e-05i,0.00094769+0.00075879i,0.0010986+0.0008178i,0.00041593+0.00024467i,0.0008489-0.00046407i,0.00048659-0.00058329i,-0.00043092-0.00046746i,-0.00017891-0.00085781i,0.00050405-0.0013293i,0.00092914-0.00085883i,0.00084127-0.00051571i,-0.00052741-0.00065807i,-0.0010963-0.00079856i,-0.0002943-0.00041802i
0.0012975-0.00023278i,0.001624+0.00022817i,0.00071129+0.00020104i,0.00028112+1.9473e-05i,0.00062629+0.00019251i,0.0012276-0.00099211i,0.0018768-0.0013941i,0.0011741-0.00065833i,0.00014224-0.00037363i,-0.00016853-2.4463e-05i,-0.00025726+0.00026405i,-0.00018181+0.00038566i,0.00010021+0.00038394i,0.00041375+0.00016508i,0.0006475+0.0001205i,0.00035175+7.2264e-05i,-0.00028251-0.00029054i,-0.00013037-0.00066637i,-3.713e-05-0.00059606i,-5.5016e-05-0.00058123i,0.00028893-0.00060813i,5.9391e-05-7.4577e-05i,-0.00019546+0.00062698i
-0.0044575-0.00032659i,-0.0035536+0.00078425i,-0.0019613+0.0012862i,-0.00041659+0.00082888i,0.0010354+0.00072795i,0.0017677-0.00021013i,0.00062255-0.00089028i,-0.00022886-6.7024e-06i,-0.00045161+0.00048969i,4.8362e-06+0.00023821i,0.00059817+0.00062013i,0.0007359+0.0012086i,0.00018054+0.00044326i,-0.00031008-0.00042009i,-0.00019411-0.00029536i,0.00032142-0.00037677i,0.001148-0.00038999i,0.00065843-0.00025668i,-0.000227-0.00078688i,-0.0002092-0.00043573i,-0.00047824+9.2631e-05i,-0.00048613-0.00038932i,-0.00014771-0.00033021i
0.00022743-0.00043259i,0.00090835-0.00020922i,0.00052641+0.00040806i,-0.00015374+0.0010981i,-0.00036029+0.00056969i,-9.2203e-05-1.0322e-06i,0.00039631-0.00020356i,0.00037768-0.00014362i,0.00046068+5.2499e-05i,0.00065069+0.0010167i,-9.9673e-06+0.0013245i,-0.00062916+0.0005559i,-0.00077571-0.00033594i,-0.00057966-0.00041849i,-0.00039626-0.00024988i,-0.00045863-0.00076329i,-0.00083081-0.00012883i,-0.00091569+0.00054922i,9.237e-05+0.00029018i,0.00089993+0.00010115i,0.0011551-2.1868e-05i,0.00026149-8.9673e-05i,-0.00030223+4.1229e-05i
0.0011445+0.0020582i,0.0011673+0.00057306i,0.0025535-0.0013706i,0.0012351-0.0017346i,-0.00039635-0.0013742i,-0.00072464-0.0013285i,9.24e-05-0.00040801i,0.00045779+0.00043356i,0.00041914+0.00079111i,0.0002468+0.00070505i,-0.00010733+0.00069287i,-0.00015754+0.00020272i,4.8539e-05-0.00021731i,-7.4663e-06+0.00062085i,-0.00036519+0.00074951i,-0.00030741+7.9092e-05i,-5.2355e-05-0.00057799i,-0.00010785-0.00053389i,-0.00036886-0.0002479i,-0.00030144+0.00038798i,-0.0004555+0.00080391i,-0.00038128-1.5116e-05i,-0.00045165-0.0003438i
-0.0011993-0.00033581i,-0.0013065-0.00032627i,-0.0021414-0.00011346i,-0.002179+9.89e-05i,-0.0015768+0.00014708i,-0.00029723+0.0003887i,-7.3416e-05-2.5701e-05i,-0.00056129-0.00012051i,-8.6551e-05+0.00010719i,0.00031846+0.00027882i,0.0010954+0.00082682i,0.0012905+0.00062624i,0.00067696+2.8289e-05i,-0.00011275+1.1136e-05i,-0.00054994+6.3425e-05i,-0.00019604-0.00021629i,0.00021863-3.7717e-05i,6.2617e-05+0.00074303i,-7.1184e-06+0.00047674i,-0.0003479-0.00021714i,-0.0010132+3.4006e-05i,-0.0011627+0.0004495i,-0.00073443+0.00021756i
0.00088785-0.00099517i,0.00069684-0.0012086i,0.00013569-0.0017i,-0.0010955-0.00095108i,-0.0011502-8.9724e-05i,-0.0001216-0.00052688i,9.9276e-05-0.00015742i,-0.00028607-0.00010781i,-1.4326e-06-0.00027103i,4.1734e-05+0.0005466i,0.00031123+0.00090336i,0.00031316+0.0004944i,0.00030757+1.2793e-05i,0.00084179-4.5087e-05i,0.000454+0.00052519i,0.00036594+0.00032506i,0.00044037-0.00021874i,0.00052124-0.00031371i,0.00056408+8.1988e-05i,0.00058002+0.0005578i,-6.6634e-05+0.00077846i,-0.0009345+0.00024817i,-0.0010583+0.00025414i
-0.0016249+0.00099008i,-0.0012818+0.0015337i,-0.0019203+0.0015911i,-0.0021145+0.0008727i,-0.0015985-0.00018265i,-2.7896e-05-0.0010916i,0.00067919-0.0011933i,6.8492e-05-0.00061343i,-0.0004409+8.8218e-05i,-0.00010654+0.00047517i,0.00027048+0.00042069i,0.00043483+0.00054245i,0.00055164+0.00053028i,-0.00010321-9.8434e-05i,-0.00055015-0.00091379i,-0.00041436-0.0012641i,1.3918e-05-0.00047461i,-0.00065766-0.00021827i,-0.00078524-0.00033077i,-0.0003949-5.0354e-05i,-0.00015109-0.00063839i,0.00013069+0.00021704i,-1.9215e-05+0.00081697i
0.00019946-0.00010922i,-0.00074502-0.00030893i,-0.0019701-0.00093505i,-0.0016983-0.00082425i,-0.00044691-0.00054532i,-0.00020952+0.00018157i,-0.00089976+0.00022356i,-0.0008612+0.00018527i,-0.00021552+0.00017455i,0.00034097-0.00026025i,-0.00028957-0.0007101i,-0.0010946-0.00031143i,-0.00042313+0.00078592i,0.00037639+0.00074357i,0.00094113-0.00039989i,0.00022733-0.0009005i,6.6786e-06-0.00073963i,0.00021618-4.1436e-05i,9.1678e-06-9.454e-05i,-0.00039584+6.0979e-05i,-0.00053008+0.00028535i,0.00064179+0.00068228i,0.0010442+0.0010107i
0.0010601-0.00020525i,0.00091121-0.0007328i,0.00072924-0.00094009i,-0.0009457-0.00094117i,-0.0017665-0.0015665i,-0.00057118-0.0011749i,0.00042274-0.00013305i,5.0023e-05-0.0010182i,-6.1624e-05-0.0020114i,0.00022167-0.00094763i,-0.0001421-9.601e-05i,-0.00094712-0.00029275i,-0.0012278+0.00024042i,-0.00038956+0.00088724i,0.00080473+0.00029012i,0.0010667-0.0014388i,0.00041359-0.0018438i,-0.0001686-0.00059873i,0.00018012+5.5749e-05i,0.00082557-0.00018051i,0.00062634-0.00020929i,0.00065283-0.00031792i,0.0012918-0.00030048i
-0.00019743-0.00029709i,-0.00082759-0.00015278i,-0.0010606-0.00036571i,-0.00080706-0.00030582i,-0.00058679-6.9142e-05i,-0.00077305+3.116e-05i,-0.00072427-0.00013304i,6.8733e-05-9.9961e-05i,-0.00025802+0.00022397i,-0.00049497-5.6015e-05i,0.00042383-0.00030027i,0.00096696-0.00057315i,0.0011058-0.00030285i,0.00095093+8.4661e-05i,0.00056478-0.00027778i,-0.00013356-0.00076402i,-0.00025901-0.00073524i,0.00010037-0.00052973i,0.00063607-0.00031527i,0.00073841-1.5922e-05i,0.00035534-0.00027007i,1.5385e-05-0.00038503i,-0.00031261+0.0001865i
-0.00017299-0.0011284i,-0.00029599-0.0008152i,-0.0016348-0.00069941i,-0.0013017-0.00034347i,-0.00033178+0.00017232i,6.8824e-05+0.00037845i,0.00038367+0.00027315i,-0.00022775+0.0001382i,-0.0006945-0.00041259i,-0.00071409-0.00070783i,-0.00066475+0.001054i,-2.9266e-05+0.0019543i,0.00066972+0.0012965i,0.00055517+0.00062012i,0.00018848-0.00062079i,0.00017705-0.0012757i,0.00069979-0.001289i,0.00087256-0.00088357i,0.0007318-2.9902e-05i,-2.176e-05-0.00014466i,-0.00068114-0.0011516i,-3.5784e-05-0.00085194i,0.00010951+0.00029857i
