-0.0022362+0.00023333i,-0.0015734+0.00043094i,-0.0015637+0.00038113i,-0.00054966+0.0010249i,-0.00063067+0.0018278i,-0.00093738+0.0021225i,9.59e-05+0.0024482i,0.00063344+0.0019623i,0.00084427+0.0011542i,0.00052787+0.00010951i,8.227e-05-3.0012e-05i,0.00021463+0.00040464i,-0.00014485+0.00018643i,-0.00050788-0.00024171i,-0.0002053-0.00032395i,-0.00057235-0.000297i,-0.0010759-0.00032242i,-0.001073-0.00073303i,-0.0010485-0.00087064i,-0.00098023-0.00049893i,-0.00059259-0.00046205i,-0.00021455-0.00088711i,-0.00051836-0.00039618i
4.2053e-05+0.00087187i,-9.0133e-05+0.00015799i,0.0014045+4.9808e-05i,0.0025639+0.00090203i,0.0020168+0.0008795i,0.0003766+0.00058655i,-0.00053851+0.00088649i,-0.00031109+0.0017232i,-0.00016085+0.00223i,-9.6428e-05+0.0022585i,-9.8127e-05+0.0019952i,0.00015505+0.00067287i,0.00075136-0.000716i,0.00051024-0.00085626i,8.4796e-05+9.7475e-05i,0.00069221-9.3979e-05i,0.0011753-0.00064473i,0.00079252-0.00031724i,-8.1819e-05-0.00014295i,-0.00069775+0.00029096i,-0.00036929+0.00025765i,0.00039459+0.00045527i,0.00062528+0.00063282i
-0.00047827+0.00019136i,0.00071055-0.00015304i,0.0013818+0.00020278i,0.0015882-4.224e-05i,0.0017987-0.00010484i,0.0013726+0.00048011i,0.00072933+0.00068556i,0.00051545+0.00049963i,0.001145+0.00042898i,0.0013281+0.00036811i,0.00098294+0.00028607i,0.00018458-0.00022465i,3.3791e-05-0.00040185i,0.00016618+4.7189e-05i,-0.00013052+0.00025727i,-3.6915e-05+0.0002545i,0.00039371+3.1004e-05i,0.00040794-0.00058432i,0.00062004-0.00085772i,0.00010997-0.00058809i,-0.00051776-0.00048379i,-0.00011397-0.00042956i,8.1952e-05-0.0003461i
-0.0013315-0.00070482i,-0.0012863-0.0009467i,-0.0010638-0.0012876i,-0.00011952-0.00081474i,0.00014083+0.00052912i,0.00065841+0.0016417i,0.0013025+0.0018744i,0.0011571+0.0020107i,0.0005297+0.0019315i,-0.0001633+0.001103i,-0.00036183+0.0005506i,-3.5772e-05+0.00062692i,-0.00016298+0.00080802i,-0.00089967+0.00089788i,-0.00066487+0.00039083i,-0.00067153-0.0004081i,-0.00065189-0.00042397i,-0.00011351-0.00040759i,2.5697e-05-0.00054077i,0.00034356-0.00058572i,0.00023387-0.00019176i,-0.00023707-8.6088e-05i,0.00050112-0.00079238i
-0.00049612+0.00033924i,0.00048435+0.0012406i,0.0012738+0.0004532i,0.00083923-0.0003925i,0.00054193-0.00034869i,0.00079039+0.00070218i,0.0011054+0.0017574i,0.00072486+0.0019084i,0.00040315+0.0013953i,0.00062276+0.0012964i,-0.0001004+0.00054313i,-0.00019335-0.00041185i,0.00035078-0.00090958i,-0.00023659-0.0012278i,-0.00065931-0.0012941i,-0.00062433-0.00057099i,-0.000443-0.00028844i,1.1356e-05-0.00031671i,-9.2023e-07-0.00025445i,-0.00028316-0.00017596i,-0.00043107-2.6365e-05i,-0.0011626+0.00021174i,-0.0012026+0.0011985i
-0.00026767-0.00024352i,0.00082795+0.00011916i,0.0012537+0.0002608i,0.0012186+0.00081092i,0.001401+0.0021371i,0.0011472+0.0022898i,0.00040078+0.001365i,0.00037199+0.0011838i,0.00020158+0.0013041i,-0.0002186+0.00024079i,-0.00026685-0.00019018i,0.00060058+0.00033883i,0.0010002+0.00081951i,0.00023349+0.00024479i,-0.00023865-0.00023308i,-0.00058988+0.00038647i,-0.0012571+0.0010333i,-0.00065963+0.00066561i,-8.3551e-05+0.00023881i,-0.00013496+0.00046018i,-5.5411e-05+0.00064635i,0.00010863+0.00062911i,0.00026189+0.00020541i
0.0020548+0.0013346i,0.0014037+0.00034191i,0.0022739+0.00060528i,0.0026538+2.6278e-06i,0.0020847-0.00038678i,0.00099149+0.00080458i,-0.00015932+0.0011107i,-0.00036262+0.0014802i,0.00020641+0.0014592i,0.0006008+0.00095846i,0.00015068+0.00067753i,-0.00038205+0.00027321i,-7.7466e-05+0.0002698i,-7.3113e-05+0.0006427i,-0.00054637+0.00051498i,-0.0010015+8.0697e-05i,-0.0014245+0.00014184i,-0.00097222+0.00037854i,-0.00010651+5.6628e-05i,2.8754e-05-0.0004505i,1.7942e-05-0.00030234i,-1.5088e-05-0.00039489i,-0.00037049-0.00052723i
-0.0033539+0.0011845i,-0.0012135+0.0019778i,0.00012483+0.0018725i,8.3873e-06+0.0010345i,3.4971e-05+0.00091136i,0.00033718+0.0010855i,-8.3784e-05+0.00084597i,-0.00021663+0.00077625i,-0.00032194+0.0011008i,-0.0007073+0.00092005i,-0.00026246+0.00053451i,0.00016306+0.00037357i,0.00022474-4.8678e-05i,0.0001946-0.00038604i,-1.8679e-05-0.0001587i,-0.00029809-0.00027635i,-0.00066187-0.0010838i,-0.0010876-0.00052908i,-0.00051767+0.00035831i,0.00055698-3.2882e-05i,0.00013779-0.00051599i,-0.00057395+0.00038604i,-0.00097676+0.0015282i
-0.0023044-0.00141i,-0.0012846+3.4536e-05i,0.00099702+0.00031515i,0.00214-0.00032477i,0.0010652-0.00022829i,0.00023345-0.0004709i,0.00093345-0.00044508i,0.0012556+0.00099071i,0.00074141+0.0015229i,5.2594e-05+0.00079375i,-0.00016426+0.00013455i,2.1231e-05-0.00024797i,-5.2306e-05-0.00029635i,0.00032438+0.00018323i,0.00081839+0.00013356i,-0.00014595-0.00032331i,-0.00055702-0.00025049i,-0.00022818+9.2836e-05i,-0.00032272+0.00025674i,-0.0010837+0.00061348i,-0.00074143+0.00028251i,-5.641e-05+0.00026078i,-0.00010735+0.0005784i
0.0020783+1.1938e-05i,0.0024593-0.0010245i,0.0032079-0.0018791i,0.002313-0.00058178i,0.0013691+0.00084224i,0.00089678+0.0010952i,0.00014652+0.0013606i,6.0032e-05+0.0020714i,0.00010003+0.0019527i,-0.00033117+0.00059248i,-0.00041053+0.00014416i,-0.00061217+0.00017223i,-0.00024786+0.00024748i,-0.00021062+0.001074i,-0.00016908+0.00086452i,-6.0359e-05+0.00057672i,-0.0002896+0.00082601i,-0.00011711+0.00038555i,0.00042173+0.00036512i,0.00068923+0.00064405i,0.00039685+0.00044541i,-1.3311e-05-9.4658e-05i,2.0793e-05-0.00066691i
0.0011479+0.0026222i,0.0012522+0.0019801i,0.0019025+0.0016857i,0.0021796+0.0018127i,0.0017275+0.001276i,0.001112+0.0010404i,0.0001903+0.0012771i,8.916e-05+0.0014291i,0.00057621+0.0014581i,0.00045745+0.00020455i,0.00019348-0.00058119i,-0.00017638-5.8281e-05i,-0.00068697-3.1339e-05i,-0.00065381-0.00012571i,-0.00067808-0.00024338i,0.00030958-0.00070939i,0.00068698-0.00062821i,3.689e-05+0.0003666i,-1.2263e-05+0.00062604i,-0.00049395+1.4726e-06i,-0.0001402-0.00051867i,0.00082336-0.00026577i,0.00081352+0.00054532i
-0.0012927+0.00078976i,-0.00028194+0.000338i,-0.00050938+0.00081254i,0.00045858+0.00032138i,0.0011623+7.6394e-06i,0.00017528+0.00024793i,-0.00099122+0.0014068i,-0.0009779+0.0020886i,-0.00036812+0.001665i,-0.00022297+0.0010026i,-0.00039153-0.00012408i,-0.00017736-1.2668e-05i,0.00024736-0.00011612i,0.00024045-0.00069716i,-0.00033181-0.00044226i,-0.00098021-0.00024513i,-0.0010859+8.7094e-05i,-4.0651e-05+0.00079606i,0.00056741-0.00016788i,0.00045783-0.0010684i,0.00048289-0.00053567i,0.00044641-0.00030966i,0.00010874+0.00055469i
0.00060183-0.00015184i,0.0011669+0.00015087i,0.0012815+0.00030042i,0.00091342+0.00054139i,0.00017763+0.00053685i,0.0005865+0.00085392i,0.00049991+0.00062273i,-8.0446e-05+0.00032933i,-0.00017532+0.00071077i,-2.6859e-05+0.001306i,0.00028954+0.0012429i,-0.00013523+0.00085462i,-0.00056157+0.00022321i,-0.00050105-0.0004455i,-0.0008133-0.00052509i,-0.0004117-0.00024053i,-5.6208e-06+0.00011232i,-0.00014671-0.00010575i,-0.0002353-0.00010335i,-0.00071776-5.3144e-05i,-0.00055305-3.1972e-05i,-0.00025672+0.00040443i,0.0001697-0.00021628i
-0.00048017+0.0014037i,0.00070211+0.0015919i,0.0011822+0.00059186i,0.0013355+1.8682e-05i,0.0011261+0.00096188i,0.00026079+0.0014957i,-0.00026506+0.00083454i,-0.00036409+0.00036803i,0.00013602+0.00045823i,1.6251e-05+0.00098222i,-0.0013925+0.0011021i,-0.0012343+0.00049097i,0.00021275-0.00027103i,0.00041295-0.00081202i,-0.00020551-0.00056284i,-0.00089059-0.00054524i,-0.00059745-0.0001362i,-0.00045477+0.00083691i,-0.00047448+0.00067584i,0.00011455-7.9786e-05i,0.00084999+0.00014063i,0.00034874+0.00023486i,-2.3306e-05+0.0007053i
-0.00039857+0.00060716i,-6.011e-05+0.00055169i,0.0014321+0.00052712i,0.0018533-0.00011032i,0.0012363-0.00088806i,-0.00053018-0.00070096i,-0.0009611+0.00074307i,-6.0467e-05+0.00207i,0.00072515+0.0020144i,0.0011151+0.00081572i,0.0004942+0.00039442i,-0.00020471+0.00010399i,-0.00013027-0.00073996i,0.00013272-0.00091599i,0.00036943-0.00017338i,0.00054601+0.0002295i,0.00037683+0.00047182i,-0.00037573+0.00032195i,-0.0004661+0.00019875i,-0.00038499+0.00022828i,-0.00040423-0.00016935i,-0.00026233+6.8143e-05i,-0.00037126+0.00041417i
0.0017303+0.00037776i,0.0016031-0.00014002i,0.0019385+0.00055975i,0.0022482+0.0012719i,0.0017241+0.00082031i,0.00022955+0.00076548i,-0.00036766+0.00087661i,0.00019149+0.0016951i,0.00052237+0.0024552i,-3.6142e-05+0.0012161i,-0.00061738-0.00069447i,-0.00049086-0.00095278i,-0.00012581-0.00088142i,-0.00019098-0.00090331i,0.00028509-0.00057612i,0.0010128-0.00025775i,0.00078037+0.0003566i,0.00079358+0.00016018i,0.00013069+3.5009e-05i,-0.00079327+0.00049354i,-0.00030028+0.00068269i,-0.00016336+0.00020461i,-0.00025439-0.0002506i
0.00017253+0.0010333i,-0.00074705+0.0012171i,-0.00078298+0.00079121i,-0.00086895+0.00041404i,-0.00043008+0.00087733i,0.00071255+0.0018562i,0.0013155+0.00181i,0.00077791+0.0011718i,-0.00065064+0.0012192i,-0.0010014+0.0014826i,-0.00077764+0.0014763i,-0.0005811+0.00060363i,-0.00099974-0.00068154i,-0.00099112-0.00027219i,-0.0008477+0.00063031i,-0.0011257+0.00047736i,-0.00063364+0.00018925i,0.00045504+2.0426e-05i,0.00090965+8.5755e-05i,0.00021479-6.9227e-06i,-0.00013757+1.339e-05i,-0.00032499-8.8563e-05i,-0.0007374-0.00025247i
-0.00092365+0.00073476i,-0.0010052+0.00012247i,-0.00055949+0.00010055i,0.00021875+0.00069549i,0.00077183+0.0015203i,0.00018361+0.0018885i,-0.00030424+0.0017344i,0.00029318+0.0015432i,0.00069908+0.001231i,0.00024776+0.0010169i,-0.00043023+0.00027301i,-0.00071963-8.3362e-05i,0.00020868-7.124e-05i,0.00035083+0.00035614i,-0.0012943+0.00069709i,-0.0011148+0.0002183i,0.0003078+0.00042848i,0.00096816+0.00045694i,0.00091863-0.00020714i,0.00094248-0.00025403i,0.00094435-0.00013676i,-0.00010657-4.8616e-05i,-0.0011687+0.00023091i
-0.00048495-0.00074i,-0.00027116-0.0016706i,0.0007805-0.0013474i,0.00090768-0.00047353i,0.00064903+0.0013228i,0.00026572+0.0025571i,6.7108e-05+0.0017703i,-0.00055272+0.0011601i,-0.0011337+0.00098544i,-0.00055157+0.00057017i,0.00027931+0.00058973i,0.0006063+0.00090058i,0.00037028+0.00051229i,-3.6039e-05+0.00015816i,-0.00041738+0.00045412i,-4.7352e-05+0.0012562i,0.00026097+0.0011793i,0.00032546+0.0005665i,0.00072394+5.5068e-05i,0.00034582-0.00024089i,-1.7993e-05-0.00039042i,-0.00010048-0.0003624i,0.00013633-2.0943e-05i
0.00054834-9.2819e-05i,0.0010165-9.2827e-05i,0.0020617+0.0003158i,0.0018049+0.00069495i,0.0012764+0.0010985i,0.0009622+0.0015173i,0.0003502+0.0015825i,-4.0499e-05+0.0016557i,-0.0001896+0.0018212i,-0.00023427+0.0017862i,8.7488e-05+0.0011262i,0.00039456+0.00019455i,0.0001698+0.00064552i,-9.3157e-05+0.00076669i,-7.7708e-05-0.00037257i,0.00010691-0.00076574i,-0.00047822-0.00058042i,-0.00052374-0.00069229i,-0.00041603-0.00060375i,-0.00041866-0.00063329i,0.00011657-0.0010835i,9.8644e-05-0.00078262i,0.00019253-0.00020569i
-0.0013003+0.00030776i,-0.0012429+0.00013081i,-0.0012091-0.00032223i,-0.00030442-0.00023145i,0.00068719+0.00050358i,0.0012728+0.00096662i,0.00058054+0.00038624i,9.3583e-05+7.1576e-05i,-3.9234e-05+0.00061648i,-0.00027491+0.00061027i,0.00015075+0.00047417i,0.00026658+0.00029684i,0.00045474-0.00034781i,0.00055803-0.00012753i,0.0001443+0.00030645i,-0.00033628+0.0004971i,-0.00045626+0.00030396i,-0.00013476-0.00035272i,0.00020187-0.00052697i,0.00031667+0.0002684i,0.00041621+0.00043968i,-8.1539e-05-0.00021554i,-0.00045134-0.00081646i
0.00064416-0.00034169i,0.00094011-0.00072785i,0.00091451+8.4958e-05i,0.00044946+0.001237i,0.00086012+0.001375i,0.0012125+0.0010388i,0.00068397+0.0011025i,2.0547e-05+0.0013254i,-0.00033493+0.0010209i,-0.00050457+0.00071735i,-0.00051074+0.00023455i,-0.00044588-0.00026094i,2.9768e-05-0.00019414i,2.1609e-05-0.00016996i,-0.00031924+1.7581e-05i,-0.00043071-0.00020472i,0.00032645-0.00090015i,0.00057374-0.00090914i,-0.00034254-0.00044839i,-0.001083+6.4281e-05i,-0.00069466+0.00038145i,-0.00064566+0.0001208i,-9.2311e-05-6.0157e-05i
0.0004759+0.0014642i,0.0020962+0.0013328i,0.002341+0.0018066i,0.001947+0.0022747i,0.0014354+0.0019852i,0.00074053+0.0012872i,-0.00034764+0.0011017i,-0.00081307+0.0011916i,0.00013626+0.0012319i,0.00093375+0.00099622i,0.00099309+0.001074i,0.00073912+0.00069919i,-0.00046803+7.2893e-05i,-0.00085302-0.00017211i,-0.00029053-0.00038882i,-0.0004009-0.00020409i,-0.00039711+0.00030943i,-0.00037468-8.4549e-05i,0.00010781-0.00085152i,0.00021077-0.00018225i,-0.0006308+0.00057691i,-0.00066966+1.0331e-05i,-0.00010876-0.00010708i
-0.0012587+0.0017125i,-0.00020141+0.0014225i,0.0010062+0.0012593i,0.0022174+0.00041589i,0.0014507+0.00015809i,0.00028589+0.00037334i,-0.00038187+0.00055985i,-0.00086913+0.00053166i,-0.00078709+0.00098431i,-0.00041762+0.001123i,-0.00025589+0.0010538i,0.00046762+0.0010983i,0.00043269+0.00054116i,-0.00028395+8.7791e-05i,4.8069e-05-0.00028498i,0.00048131+0.00014957i,-0.00012489+0.00060876i,-0.00069669+0.00053037i,-0.0006111+0.00052688i,-0.00010458+0.00036557i,0.0004069-0.00026302i,0.00023261-0.00081049i,-0.0004237-0.0005037i
0.00022181-0.00062428i,0.00043113-0.00019866i,0.00052857-0.00031529i,0.0006641-7.5342e-05i,0.00079818+0.00071384i,0.0013839+0.0009395i,0.0004032+0.0011368i,-0.00064072+0.0013125i,-8.6824e-05+0.0016199i,0.00023056+0.0017595i,-6.9264e-05+0.0019002i,-0.00032063+0.0012591i,-0.0002908+1.695e-05i,-0.00043558-0.00025707i,-0.00038162-0.00034045i,-1.3348e-05-0.00079279i,8.8355e-05-0.00048266i,-3.3273e-05-0.00022183i,8.5506e-05+1.3795e-05i,7.0971e-05-1.9968e-05i,0.00026798-0.00015195i,0.00052363-0.00011549i,0.00045028+9.7077e-05i
0.001141+0.0014768i,0.0018222+0.0011805i,0.0017276+0.0011223i,0.0017105+0.00050341i,0.0018977+0.00048436i,0.0011767+0.00064328i,-4.7256e-05+0.00020017i,-0.0006378+0.00076247i,-0.00043136+0.0013077i,0.00025644+0.0006301i,0.00025918+0.00023859i,-2.2585e-05+3.3169e-06i,-0.00018217+6.2159e-05i,-0.00038471-6.7037e-07i,9.0223e-05-0.00014705i,-0.00016331+9.7775e-05i,-0.00039837+0.00028106i,-0.00015377+0.00033357i,3.868e-05-0.00011948i,0.00054133-0.00084847i,0.00075925-0.00050159i,6.8219e-05+0.00042077i,-0.00058735+0.00066063i
-0.0014765+0.0011707i,-0.0012945+0.0035263i,0.00051701+0.003499i,0.00040981+0.0019453i,-6.3728e-05+0.0015733i,0.00077347+0.0018413i,0.00062271+0.0015214i,0.0005137+0.0013905i,0.00036204+0.0012571i,-0.00011283+0.00091893i,-0.00014524+0.00063901i,0.00028822+0.00054519i,0.00028089+0.00039245i,-0.00040333+0.00059982i,-0.0012333+0.00047223i,-0.00096124-0.0001102i,-0.00073062-0.00013522i,-0.00022412-0.00046688i,0.00037761-0.00046386i,0.00042446+0.00024349i,-0.00034957-5.8201e-05i,-0.0011343-0.00060143i,-0.00075883-0.00084438i
-0.0011926-0.0006536i,-0.00082702-0.00024079i,7.6823e-05-0.00043486i,0.0011803-0.00015799i,0.00082842-0.00018925i,0.00036094+0.00069976i,8.398e-05+0.0015798i,-0.00047074+0.0011505i,-0.00025175+0.0012147i,-0.00011114+0.0016131i,-0.00058403+0.00068499i,-0.00023319-0.00032308i,-0.00049406+0.0001675i,-0.0012983+0.00067812i,-0.00065038+0.0003041i,0.0005065-0.00021759i,0.0006059-0.00098675i,0.00072123-0.0012096i,0.0013996-0.00029444i,0.00087863+0.00029564i,3.1248e-05+0.00076452i,-0.00024729+0.0010714i,-0.00044959+0.00055909i
0.0012073-0.00069158i,0.0023153-0.00076283i,0.0028058-0.00048732i,0.0022181-0.00016807i,0.00059509+0.00037516i,9.6676e-05+0.0010784i,-0.00015642+0.0012014i,-0.00053683+0.001118i,0.00017703+0.0012861i,0.000378+0.00049678i,-0.00051248-0.00044762i,-0.0010673-0.00059i,-0.00070018-0.00061818i,-0.00071259-0.00027126i,-0.00064548+0.00010242i,-0.00035734+0.00064096i,-0.00052514+0.00087781i,-0.00018703+0.0003924i,0.00031952+0.00061748i,0.00044847+0.0011961i,0.00038754+0.00043701i,0.0005434+4.7565e-05i,0.00014362+0.0011897i
