0.00029968+0.00099141i,0.00071523-0.00023433i,-0.00095754-0.00013546i,-0.0018427+5.9771e-05i,-0.00070229+0.00052073i,-0.00027212+0.0011904i,-0.00087251+0.00088254i,0.0001591+0.0011642i,0.0019311+0.0013985i,0.0015842+0.0014218i,-0.00029651+0.00091877i,-0.00082474+0.00020697i,-0.00027318+0.00012496i,0.00020067+0.00043957i,0.00019701+0.00038347i,0.00043858+0.00032761i,0.00042377+0.00086869i,0.00029632+0.00020966i,0.00057293-0.00052645i,-4.0318e-05-0.00013609i,-0.0005732+0.00048992i,-0.00036562+0.00096606i,-0.00051198+0.0010357i
-0.00039052-9.1723e-05i,-7.8011e-05-0.00072322i,6.169e-05-0.00049194i,0.00032058+6.2498e-05i,0.0010356+0.00016808i,0.0014317-0.00061236i,0.0012376-0.00091593i,0.00041855-0.00019648i,-0.00024607+0.00044755i,-0.00035308+0.00060912i,-7.5168e-05+0.00074929i,-0.00034134+0.0005894i,-0.00056829-8.4188e-06i,7.1473e-05+0.0001221i,0.00026343+0.00058607i,-7.1641e-05+0.00067483i,-0.00039938+0.00026636i,-0.00017286-0.00059769i,0.00048761-0.00086678i,0.00075982-0.00085515i,0.00066369-0.001693i,0.00039139-0.0014398i,0.00078257-3.5355e-05i
-0.0011735+0.0019429i,0.00083281+0.001755i,0.0005645+0.0013541i,-3.1695e-05+0.00055098i,0.0010367-0.00024668i,0.0011098-0.0013159i,-0.00049098-0.0023092i,-0.001183-0.0010842i,-0.00019216+0.00080876i,0.00016441+0.00015928i,0.0004884-0.00035847i,0.00096833+0.00050237i,0.00054865+0.0003499i,3.2168e-05+3.3249e-05i,-0.00081173+0.00019236i,-0.00056094+0.00043616i,2.5793e-05+0.00026549i,-0.00024574+0.00052734i,0.00021133+0.00063813i,0.0007869+0.00058991i,0.00053554+0.00080559i,0.0009132+0.00028463i,0.00058514+0.00061874i
0.0010691-0.0005185i,0.00033813-0.00076978i,-0.00022114-0.001075i,0.00051471-0.0007035i,0.0010956-0.00074701i,0.0015958-0.00073081i,0.0015522-0.0004041i,0.0007341-0.00055305i,3.2068e-05-0.00025138i,-0.00097716+0.00053747i,-0.0017295+0.00093971i,-0.00017606+0.00059228i,0.00087294+0.00037872i,0.00022867+0.00039196i,-0.00037062+1.9401e-05i,-0.0005601-7.0617e-05i,-0.00016235+0.00047718i,-2.966e-05+0.0011091i,-5.6807e-05+0.00096188i,-0.00021242+0.00048756i,-0.0003451+0.00083579i,-0.00058227+0.00060426i,-0.0009468-7.7835e-05i
0.0019853+0.00096313i,0.0017739+5.2363e-06i,0.00044085-0.00089953i,-0.00048536-0.00081919i,0.00053402+2.1055e-05i,0.00026701-0.00012702i,-0.00025185-0.00097259i,0.00010289-0.00092279i,0.00016626-0.00061284i,0.00016135-0.00066723i,0.00057016-0.00023363i,0.00086565+0.00047755i,0.00065066+0.00046709i,0.00066156+0.00052899i,-5.6772e-05+0.00056532i,-0.00027212+3.665e-05i,0.00013968-0.00016942i,0.00019807+7.1072e-05i,0.00011182+0.00030561i,0.00052829+0.00027729i,0.00066028+0.00023676i,-0.00044321-0.00061019i,-0.00069108-0.00036643i
-0.0015398+0.0015779i,-0.0010898+0.0026981i,-0.0011663+0.0025882i,-0.0011896+0.0020728i,-0.0009597+0.0012563i,0.00015889-0.00027422i,0.00052266-0.0011442i,5.7389e-05-0.00029274i,-0.00022102+0.00074588i,-0.00075219+0.00032002i,-0.00084825+0.00021919i,-0.001233+0.00056642i,-0.0016164+0.00032037i,-0.0005617+0.00014068i,-1.3918e-05+0.000192i,0.00040645+0.00015795i,0.00053027+0.00031729i,-3.7288e-06+5.1251e-05i,-0.00025021-1.1428e-05i,-0.0003952+0.00040505i,6.9237e-05+0.00065786i,-1.2276e-05+0.00059285i,-0.00025104+0.00085379i
-4.9006e-05+0.0001173i,-0.00047523+4.5192e-05i,0.00017962-0.00022049i,0.0011406-0.00058603i,0.0014684-0.00040664i,0.0011557-0.00091457i,0.00046112-0.00080977i,-0.00041883-7.6126e-05i,-0.00032092+0.00094383i,0.00036313+0.0012103i,0.00047674+0.00022509i,4.7683e-05-0.00061649i,-0.00020754-0.00084897i,-0.00017965-0.00043873i,-7.3752e-05+0.00027849i,-0.00023959+0.00051791i,-0.00032494+0.00011866i,2.9314e-05-0.00012549i,2.8696e-05+0.00052623i,-4.6659e-05+0.00089977i,0.00048721+0.00063541i,0.00048982-7.207e-05i,0.00063461-0.00036411i
5.6575e-05+0.0032568i,-0.00011117+0.001816i,-0.00086922+0.001591i,0.00048066+0.0018725i,0.0015952+0.00055054i,0.00054325-0.0007704i,-0.00029701-0.0013715i,0.00017648-0.00012193i,0.00085602+0.00074319i,0.00045978+0.00072332i,-0.00030329+0.00061838i,-0.00016673-5.1306e-05i,0.00034463-0.00043121i,0.00024827-0.00077154i,-0.00031892-0.00056066i,3.6633e-05-3.6323e-05i,3.6364e-05+0.00010894i,-0.00013248+0.00032613i,0.00057103+9.4312e-05i,-5.4388e-05+0.00051252i,-0.00042957+0.00058148i,-0.00012194+0.00031755i,-0.00045935+0.00033898i
-0.0020959+0.00040983i,-0.0020663-0.00048296i,-0.0015282-0.001073i,-0.0017833+0.0001791i,-0.00084103+0.00014757i,0.00035946-0.0008279i,-0.00033859-0.00075544i,-0.001154-0.00035943i,-0.00090519+8.5364e-05i,0.00019865+0.00030365i,0.00093194+0.0006095i,0.00052823+0.00066058i,0.00062016-0.0002137i,0.0011885-0.00041883i,0.0005778-0.00054959i,0.00030792-0.00071454i,0.00050603-0.00029684i,0.0002196+0.00037119i,1.1209e-06+0.00025977i,-0.0001249+0.0002894i,9.0455e-05-7.7116e-05i,0.00084445-0.00030328i,0.00075929-4.9372e-05i
0.00052911-0.0003882i,0.00031072-0.00092871i,0.00039072-0.001119i,0.00058324-0.0008293i,0.00068495-0.00087186i,0.00057261-0.0010926i,0.00018852-0.0016353i,-5.2222e-05-0.00061544i,2.1147e-05+0.0010058i,0.00033635+0.00094557i,0.00015492+0.0004145i,0.00035179+0.00034322i,-3.4238e-05-0.00036076i,-0.00067109-0.001002i,-0.00035125-0.00083257i,3.083e-05-0.00029329i,8.5322e-05-2.7482e-05i,0.00076046+0.00019892i,0.00047016+0.00068477i,-0.00020542+0.0005139i,0.00030468+9.5549e-05i,4.3585e-05-0.00031503i,-0.00081295-0.00061274i
-0.00044769+0.0021906i,-0.00018832+0.0012262i,-0.00038901+0.0011161i,0.00017517+0.00071812i,0.00077737-0.00040742i,0.00049961-0.0011845i,-0.00016731-0.0011626i,-0.0010368+0.00010971i,-0.00080908+0.0009973i,0.00018971+0.0013273i,0.00061258+0.0012562i,3.795e-05+0.00090179i,0.00031807+0.00038925i,0.00067307+7.3708e-05i,8.6383e-05-0.00052967i,0.00064149-0.00049391i,0.0012198+0.00025182i,0.000666+0.00081874i,-0.00033186+0.00035281i,-0.00058759-1.3456e-05i,-0.00041444+0.00041509i,-0.00051393+0.00070394i,-0.00043646+0.00013159i
0.0001498+0.00061081i,-7.0911e-05+0.00043344i,0.00016379+0.0008535i,0.00020012+0.00087372i,0.00041251+4.3945e-05i,0.0001244-0.00035463i,-0.00052543-0.00076419i,-0.00017166+1.437e-05i,0.00013135+0.0017841i,1.1031e-05+0.0016211i,-0.00025634+0.00022818i,-0.00011945-0.00051898i,0.00076198-0.00099131i,0.00095703-0.0010076i,0.00062323-0.00050109i,0.00042785-0.00040891i,-6.5062e-05-0.00061814i,-0.00089064-0.0002168i,-0.00074996+0.00054039i,0.00024117+0.00067759i,0.00059677+0.00032212i,0.00067693-0.00043194i,0.00024671-0.00058501i
0.00081351+0.00069639i,0.0022574+0.00024225i,0.0024652+0.00079927i,0.0018736+0.0015362i,0.0014292+0.0010643i,0.00041185-1.3547e-05i,-0.00033184-0.00013829i,-0.00062341-0.00048958i,-0.00026803-0.00049494i,5.4737e-05+0.0002177i,-9.1324e-05+0.00036082i,8.2118e-05-0.00018453i,0.00019139-0.00014701i,-0.00017511+6.3805e-05i,-2.1588e-05-0.00034786i,1.883e-05-0.00073873i,-0.00038198-0.00076143i,0.00029187-0.00073353i,0.00078809-7.9893e-05i,0.00044928+0.0013271i,-0.00013674+0.0013792i,-3.7769e-05+0.00069996i,0.00033539+0.00037328i
0.0010517-0.00051271i,0.0016431-0.001007i,0.0010323-0.001506i,2.4373e-05-0.0008697i,-0.00041562+0.000453i,-0.00062212+0.00047242i,-0.00097218-0.00031485i,-0.00064117-0.00029146i,-0.00039823-0.00011127i,-0.00054179+0.00032477i,-7.8657e-05+0.001172i,0.00042966+0.00084987i,0.00058217+0.00034752i,0.00027153+0.00071824i,7.7511e-05+0.00012292i,0.00033325-0.00046302i,0.00051917-0.00016768i,-0.00016273+9.236e-05i,0.00011704+0.0010751i,0.00045952+0.00098904i,-0.00036198+0.00045467i,-0.0001632+0.00057378i,6.3963e-05+0.00037451i
-0.00042776+7.5722e-07i,0.00039042-0.00032745i,0.0010372-0.00049926i,0.00089734-0.0010573i,0.00116-0.00066782i,0.0011336+0.00053457i,0.00053365-0.00022045i,0.00044515-0.00073689i,0.00054725-0.00028173i,0.00049862+0.00023466i,0.0008424+0.00026561i,0.00065548-2.342e-05i,0.00021835-5.9072e-05i,0.0012235+0.00035548i,0.0013619+0.0001305i,0.00023513-0.0003161i,-0.00016965-9.5618e-05i,-7.9479e-07+0.000203i,0.00035905-9.0596e-05i,0.00040178-0.00070623i,0.00022411-0.00045848i,0.00021376-0.00041148i,-8.0853e-05-0.00098024i
-4.1649e-05+0.0001897i,-0.00038994+0.00045306i,-0.00019335+0.0004994i,0.00079655+0.00021192i,0.00066408+0.00031829i,0.00012824-0.00020425i,-4.7759e-05-0.0014235i,-0.00010238-0.0009025i,0.00061041+0.00062556i,0.0010792+0.0010195i,0.0010515+0.00073352i,0.00055368+0.0010249i,7.2406e-05+0.00049497i,-0.0001905+6.1408e-05i,0.00017444+0.0001148i,0.00071137+0.00014026i,0.00034546+0.00021362i,-7.2647e-05+0.00069105i,9.5801e-06+0.00080018i,0.00058732+0.00016624i,0.00087484-6.0007e-05i,0.00019944+0.00019601i,-0.00028964+0.00024934i
0.00024685+0.00056473i,0.00058351-0.00068712i,0.00053551-0.0012202i,0.00055051-0.00071031i,0.00044932-0.00032882i,0.00087895-0.00092198i,0.0013083-0.0018285i,4.6712e-05-0.001011i,-0.0012181+0.00010483i,-0.00066136+0.0005766i,-2.5186e-05+0.0006441i,0.00019888+0.0003668i,0.00046311+5.8622e-05i,-5.7452e-05+0.00018565i,-0.00082939+0.0010678i,-0.0011241+0.0013887i,-0.00049669+0.00045837i,0.0001564-5.337e-05i,0.00052741-6.8222e-05i,9.1996e-05+0.00037123i,-0.00059848+0.00051407i,0.00012377+0.00057562i,0.0002981+0.00076308i
0.00023976+9.535e-06i,0.0013174-0.00073391i,0.0019943-0.00095085i,0.0014432-0.0012595i,0.00027341-0.0014905i,-0.000417-0.0012729i,-0.00025526-0.001553i,-0.00017335-0.0014572i,0.00026389-9.2671e-06i,0.0015438+0.00086532i,0.0016318+0.0010546i,0.00070302+0.0010984i,-0.00045377+0.00068905i,-0.0011038-3.1704e-05i,-8.7982e-05-0.00064107i,1.3708e-05-0.00048024i,-0.00094448-0.00032714i,0.00010524-0.00061904i,0.0010229-0.0006116i,0.0007438-5.5545e-05i,0.00084892-6.4738e-05i,0.0007572-0.00036279i,-1.3453e-05-0.00042628i
0.00023655-0.0024414i,-0.00029818-0.0026108i,-0.00031505-0.0014305i,-0.00045553-0.00047334i,-0.00025542-0.00012315i,0.00038772-0.00066591i,1.0065e-05-0.00082138i,-0.00095899-0.00034085i,-0.00034784+0.00012326i,1.1713e-05+0.0007392i,-0.00028228+0.00054925i,-0.00048057-0.00051177i,5.3951e-05-0.0010116i,0.00063846-0.00044034i,0.00019902+0.00010985i,-0.00084376+0.00022126i,-0.00068841+0.00044745i,0.00057704+0.00064507i,0.00081745+5.5837e-05i,0.00044853-0.00074622i,0.00010279-0.0006664i,6.2194e-05+0.00010222i,0.00020324+0.00052313i
0.00028149+0.002178i,0.00067345+0.0020255i,0.00057289+0.0018939i,-0.00012718+0.00075232i,-0.00066351+9.1272e-06i,-0.00017518+0.00017617i,7.1521e-05-0.00022841i,-2.5878e-05+0.00016493i,0.00032936+0.0013216i,-5.3048e-05+0.001449i,-0.00086471+0.00027018i,-0.0003731+8.0201e-05i,0.00012+0.00034841i,-0.00043516+0.00026144i,-0.0011154-3.7699e-05i,-0.00033354+0.0003955i,0.00061254+0.00096958i,0.00052247+0.00055705i,0.00045961-0.00038902i,0.00020433-0.00061056i,0.00011186-0.00024203i,-0.00038469-0.00024196i,-0.00080375-0.00076818i
-0.00085384-0.0021983i,-0.0011635-0.0015852i,-0.00072954-0.00068776i,-0.00086067+0.0001746i,-0.00073185-0.00018161i,0.00038467-0.00087214i,0.0010276-0.00093436i,0.00075927-0.00015007i,0.00071394+0.00027105i,0.00056072+0.00043916i,-0.00064784+0.00025662i,-0.001024-0.00033227i,-0.00058434-0.00035152i,-0.00052836+0.00035001i,-0.0005883+0.00048712i,-0.0002694-0.00053531i,0.0002565-0.00028105i,0.00018052+0.00033141i,-0.00015817+0.00046729i,-0.00027574+0.0003204i,0.00051309-8.3947e-05i,0.0011086+0.00023894i,0.00024266+0.00053198i
0.0015926+0.0013979i,0.0012046-0.0010704i,0.000393-0.0016864i,0.00068103-0.00069383i,0.00095716+0.00065892i,0.00042717+0.00033947i,-0.00066207-9.5246e-05i,-0.001175+0.00083993i,-0.00060813+0.0015141i,-0.00049481+0.00051279i,-0.00026627+0.00056746i,4.1836e-05+0.00076512i,-8.9394e-05+0.00035147i,-0.00076471+0.00071296i,-0.00082748+0.0011179i,-0.00069073+0.00052192i,-0.0012291-3.2035e-05i,-0.0016777-0.00033344i,-0.0012526-0.00099727i,-0.00048301-0.0007846i,1.1365e-05-0.0011179i,0.00025547-0.00058442i,-0.00051115+1.786e-05i
-0.0023275+0.0007225i,-0.0015513-0.00015592i,-0.00060979+0.00026832i,-4.8329e-05+0.0016975i,0.00073223+0.0021098i,0.00077653+0.0010033i,0.00052647+0.0002546i,0.00010099+0.00021644i,-0.00061187-0.00015656i,-0.00038879+0.00038064i,0.00044031+0.0017127i,0.00078769+0.0010056i,0.00075093+0.00030942i,0.00057444+0.00091123i,0.00062121+0.0010279i,0.00057926+0.00080947i,0.00013673+0.0001762i,-0.00097296-0.0001639i,-0.00091026-0.00026832i,-0.00014633-0.00021282i,0.00020938-7.8968e-05i,0.00031274+0.0001521i,0.00043568+5.995e-05i
-0.0002795+0.00079864i,0.00077057+0.00058242i,-0.00092117+0.00092647i,2.5425e-05+0.00017039i,0.0018983-4.9885e-05i,0.0019823-0.00021157i,0.00052726-0.00068553i,-0.00034616-0.00033822i,-0.00076319+0.000822i,-0.0008077+0.00096674i,-0.00037013+9.7352e-05i,-1.0145e-05+3.586e-05i,0.00015349+0.0003694i,0.00025502+6.0888e-05i,0.00044756-9.5811e-05i,-0.0001769-8.6947e-05i,-0.00055952-0.00025634i,-0.00052192+9.0918e-05i,8.9572e-05+0.00015187i,0.00021634-0.00016734i,-0.00024023-0.00061666i,-0.0001146-0.00043612i,0.0002903+0.00043523i
-0.0013177+0.00049732i,-2.5052e-05-0.00011233i,-0.00085776-0.00013146i,-0.0017427+0.0013216i,-0.00083453+0.0018578i,0.00051183+0.00044097i,0.0006397-0.0011611i,-0.00018848-0.00072741i,-0.0010847+0.00031261i,-0.0011251+0.00039652i,-0.0010595+0.00046025i,-0.0014393+6.2947e-05i,-0.00080582+1.7033e-05i,0.00046292-5.2356e-05i,0.00041967+3.2738e-05i,-0.00035908+0.00054459i,-0.00052908+0.00067829i,0.00035148+0.00094925i,0.00060204+0.00089734i,-0.00022653+0.00010823i,0.0002369-0.00033i,0.00047222-0.00015534i,-0.00048963+0.00018351i
-0.0034024-0.00011139i,-0.0026651-0.00071751i,-0.0032979+0.00025786i,-0.002843+0.0013851i,-0.00072055+0.0011885i,-0.00013648+0.00047277i,-0.00022439-0.00035677i,0.00059924-0.00064381i,0.00032801-0.00012802i,-0.00027669+0.00045004i,-6.5331e-05+0.00082285i,-0.00012518+0.001117i,-0.00053194+0.0013057i,-0.0009066+0.00093252i,-0.00081894+0.00013318i,-0.00085589-8.7607e-05i,-0.00069997+5.3555e-05i,-0.0003278-5.6658e-05i,0.00016339-0.00025673i,-4.3972e-05-0.00019189i,-0.00073112+0.00011822i,-0.00027099+0.00011343i,0.00046996+2.363e-05i
0.0029136-0.00085432i,0.0017731-0.0011841i,0.0014809-0.0008046i,0.001207-0.0012697i,0.000577-0.0016051i,-0.00010952-0.0012846i,-0.00080948-0.00074287i,-0.0009294+8.9801e-05i,-0.00026685+0.00033715i,0.00018676-6.0347e-05i,-0.00010091+1.9179e-05i,1.9513e-05+0.00078658i,0.00053346+0.00095914i,0.00033666+0.00027126i,-0.00053657-0.00026238i,-0.00036438-0.00032606i,-0.00039902-0.00060431i,-0.00013081-0.00096096i,0.00023683-0.00073875i,6.5372e-05-0.00014263i,0.00048054+0.0002532i,0.00037866+0.0002388i,0.00012317+8.7874e-06i
-0.0017781+0.00067398i,2.9951e-05+0.0005432i,-0.00038563+0.00060855i,-0.0015556+0.0007184i,-0.00090973+0.00035533i,4.1441e-05-0.00062873i,0.00024079-0.0010869i,5.5749e-05-0.00075701i,-6.4466e-05-0.00046031i,-0.0003156-0.0003928i,-0.00053975-0.00036274i,-0.00031099+8.2154e-05i,-0.00032782+0.00017454i,-0.00012085-0.00011459i,-0.00024687-0.00019812i,-0.00063882+0.00018075i,-0.00031192+0.00042097i,0.00037077+6.9712e-05i,0.00078155-0.00030367i,0.00057589-0.00023469i,1.3889e-05-0.00030368i,-0.00043418-0.00064056i,-0.00044893-0.00022219i
-0.0006174+0.00063002i,-0.00046722+0.00040667i,-0.00036659+0.00016134i,0.00018074-0.00047636i,0.001101-0.00090893i,0.0010161-0.0016217i,0.00058461-0.001354i,0.00027803+0.00010222i,7.2223e-05+0.0011013i,-0.0007387+0.0010605i,-0.0011611+0.00071572i,-0.00032579+0.00044917i,-0.0002694-0.00049016i,-0.00025306-0.0016136i,0.00022752-0.0015266i,0.00028434-0.001303i,-2.9932e-06-0.00090777i,-0.00062266-0.00025502i,-0.00052867+0.00072252i,0.00033863+0.00049254i,0.00025176-0.00018272i,-8.211e-06+0.00011125i,-0.00066975+0.00036704i
-0.00060755+0.0005783i,1.2416e-06+0.00012615i,-0.00072426+0.00016546i,-0.0010683+0.001155i,-0.00027583+0.00078158i,0.00064525-0.00027566i,5.2748e-05-0.00073667i,-0.00025499+0.0001483i,0.00040948+0.0006959i,0.000245+0.00031141i,-0.00054766+0.00056028i,-0.00066793-4.6819e-06i,0.00021836-0.0003637i,0.00034137-0.0003803i,-0.00023985+6.0783e-05i,-0.00019341+0.0001692i,0.00072063-0.00033075i,0.00020266-0.00011325i,-0.00070569+0.00059337i,-0.00076803+0.00076073i,-0.00028734+0.00048198i,0.00071884+0.0003369i,0.00054586+0.00074718i
-0.00019765+0.0018102i,0.00079611+0.0025161i,0.0011369+0.0030746i,0.0011066+0.0020455i,0.00099336+0.00051628i,0.00030571-0.00072345i,-0.00046793-0.00092931i,1.0313e-06-0.00076929i,0.00058053+0.00017454i,-5.026e-05+0.00082986i,-0.00017867+0.00054856i,3.1633e-05-0.00028996i,-0.00057717-0.00057665i,-0.00057294-0.00028583i,0.00057619-0.00034646i,0.00035536+8.6254e-05i,-0.00044355+0.00054545i,-0.00055824+0.00042012i,-0.0004096+5.1852e-05i,-2.5806e-05+3.8237e-05i,0.00022118-0.00013896i,0.00063885-0.00087814i,0.00028126-0.00017314i
-0.0028954-0.00089195i,-0.0024301-0.0010642i,-0.0021379+8.2145e-05i,-0.0018972+0.0014906i,-0.0011007+0.0013199i,0.00043175-0.00049318i,0.0010495-0.0011227i,0.00039071-0.00059594i,0.00030664+0.00026804i,0.00062141+0.0011466i,0.00054062+0.0010659i,0.00050833+0.00054524i,0.00038348+0.00060589i,0.00039494+0.00024533i,0.00068976-0.00061862i,0.0010572-0.00024151i,0.00071994+7.8355e-05i,0.00011857+0.00028795i,-0.00023236+0.0010256i,4.6946e-05+0.00094492i,0.00044437+5.4703e-05i,0.00020399-0.00056244i,0.00021623-0.00047158i
