-0.00020649+0.00033112i,0.00036968+0.00048932i,0.000891-3.2558e-05i,-0.00015699-0.00073295i,-0.0019606-3.7484e-06i,-0.0024244+0.00089512i,-0.0012606+0.00079829i,3.6355e-05+0.00044395i,0.00091957+0.0004327i,0.0010311+0.00011107i,0.00095614-0.00032809i,0.00044729-0.00047547i,-0.00048857+7.8335e-05i,-0.0011708+0.00061156i,-0.0013239+0.00099312i,-0.00084101+0.00080973i,-0.00028687+0.0004523i,0.00016182+0.00074192i,-0.0002328+0.00088101i,-0.0004726+0.00049907i,0.00032649-0.00022239i,0.00029974-0.00017854i,-0.00061001-6.0504e-05i
0.0021876-5.9927e-05i,0.0027217+2.8012e-05i,0.0017691-0.00042654i,-0.00046445-0.00099306i,-0.0016475-0.0012209i,-0.0016139-0.0013022i,-0.00086885-0.0013254i,-0.00061343-0.0012338i,-0.00021656-0.00066208i,0.00028567-0.00040738i,0.00015767-0.00036508i,-0.00060853+0.00089826i,-0.00077715+0.0016223i,-0.00051337+0.00094709i,-0.00061803+0.00063632i,-0.0013864+0.00044627i,-0.0012559+0.00014579i,-0.00043537+0.00045129i,-0.0003983+0.00047481i,-0.0003988-5.7988e-05i,3.3846e-05+5.0784e-05i,8.216e-05-0.00020085i,-0.00031081-0.00046543i
0.00056701+0.003192i,0.0013817+0.0026055i,0.0019489+0.0012892i,0.0018615+0.0012492i,0.00098948+0.00066923i,0.00024493-0.00056352i,-0.00041035-0.0015228i,-0.00047607-0.00087254i,-0.00018944+6.3276e-05i,6.2389e-05-8.0014e-06i,0.00028797-0.00020478i,0.00011801-4.1887e-05i,0.00027688-0.00030311i,0.00034433-0.00056002i,-5.7678e-05-0.00025033i,0.00034181+0.00024335i,0.000891+0.00078386i,0.00030209+0.0010608i,-0.00055613+0.00077095i,-0.00037296+1.242e-05i,0.0002747-0.0001576i,0.00063018-0.00091977i,0.00066005-0.0016996i
-0.001384+8.0715e-05i,-0.00043742+6.92e-06i,0.00044399-0.0004183i,-0.00036419-0.00093531i,-0.00055471-0.0013104i,0.00019478-0.0010481i,-0.00017316-0.00062301i,-0.00094096-4.9868e-06i,-0.00054216+0.00022548i,-0.00017314-2.2821e-05i,-0.00055607-0.00074095i,-0.00047911-0.00052188i,-1.8038e-05-0.00040142i,-0.00057172-0.00015434i,-0.0014248+0.00036969i,-0.0014638-8.8141e-05i,-0.00074716-0.00029348i,-0.00024618+2.1174e-05i,-6.743e-05+0.0001327i,-0.00018984+4.2723e-05i,-0.00051994+0.00043858i,0.00050224+0.00089664i,0.0015845+0.00060941i
0.00058938+1.1292e-05i,-0.00010752+0.00023747i,0.00015799+0.00048009i,0.0010298-0.00045325i,0.00025145-0.0015488i,-0.0012982-0.0016075i,-0.0014048-0.0010639i,-0.00051124-0.00034235i,-0.00034868+0.00041725i,-0.00059105+0.00055838i,-0.00031608+0.00034428i,-0.0003429+0.00016515i,-9.428e-05-0.00011098i,-0.00020202-0.00033029i,-0.00099098-0.00066904i,-0.0002154-0.00073236i,0.00052346+0.00034241i,0.00012983+0.00034909i,-0.00034998+4.7939e-06i,-0.00023112+0.0003998i,0.00044955-0.0001912i,0.00049642-0.00082825i,0.00061403-0.00081694i
0.0019564+0.00094511i,0.00074844+0.00087244i,-0.00066281+0.00055029i,-0.0010926-0.00012621i,-0.0010495-0.00091429i,-0.0011523-0.0015868i,-0.0013381-0.0018503i,-0.0016685-0.00033512i,-0.0013361+0.00089515i,-0.00023949+0.00090394i,-0.0002302+0.00043222i,-0.00047959-0.00049829i,8.0019e-05-0.00059553i,0.00038621-0.00022208i,0.00016464+0.0002241i,5.6062e-05+0.00041104i,-0.00020557+0.00031034i,-0.00084326-7.9104e-06i,-0.00043325-0.00074247i,-0.00019809-0.00074534i,-0.00055003-3.053e-05i,-0.00074169+4.43e-05i,-0.00021241-0.00063716i
0.0018337+0.0019828i,0.0024484+0.0010071i,0.0024767+0.00092939i,0.0024328+0.0006826i,0.0016073-0.00067076i,0.00086975-0.0019075i,-0.00017029-0.0015188i,-0.0008288-0.00015075i,3.8095e-05+0.00012978i,0.00057188-0.0001202i,0.00039553+0.00019443i,-0.00035949+0.00093157i,-0.0012696+0.00037311i,-0.0017084-0.00014413i,-0.0019066+0.00012622i,-0.00081595-0.00013411i,-0.00045746-0.00048067i,-0.00017403-0.00060398i,0.00039507-0.00029472i,-0.0001906+6.3996e-05i,-0.00048077+0.00026749i,-6.8649e-05+8.1399e-05i,-0.00022158-0.00069609i
-0.00039377-0.0006512i,-0.0001762-0.0012182i,-4.1669e-05-0.0012934i,0.000151-0.00092998i,-0.00026375-0.00051236i,-0.00032667-0.00059141i,-0.00057509-0.00073816i,-0.0012894-0.00067005i,-0.000883+7.3025e-06i,-0.00036134+0.00053789i,-0.00032827+0.00027309i,-0.00045962+0.00013886i,-0.00083372+0.00036913i,-0.0014689+0.00098827i,-0.0015542+0.00033575i,-0.0011524-0.00013928i,-0.00063053+0.00067383i,8.2996e-05+0.0010843i,0.00019536-0.00023579i,0.00089262-0.00053911i,0.0019059-2.4446e-05i,0.001306-0.00013649i,0.00010157-1.3918e-05i
-9.3191e-05-0.00029219i,1.2856e-05+0.00042851i,0.00037367+0.0012792i,0.0010888+0.0017735i,0.0011221+0.0015009i,0.00014418+4.7535e-05i,-0.00092467-0.00062029i,-0.0017516-0.00011618i,-0.0016397+0.00035413i,-0.00062906+0.00048053i,0.00034196+0.00041159i,0.0012322+6.9772e-05i,0.00060151-0.00029438i,-0.00026115-0.00035503i,-0.00010372-0.0011004i,-8.1545e-05-0.0012126i,-0.00054538-0.00051373i,-0.00080488-0.00036941i,-0.00091908-0.00025714i,-0.0002887-5.1767e-05i,-0.00035109-9.9307e-05i,-0.00080285+5.3141e-05i,-0.00040601+0.00015374i
0.0028054-0.0010311i,0.00145+0.00066564i,0.0015136+0.00075562i,0.00074026-0.00034924i,5.3769e-05-0.00083236i,-8.2743e-05-0.0010063i,7.7203e-05-0.001055i,0.00058001-0.0010028i,0.00059311-0.00097605i,0.00032999-0.00046461i,0.00032998+0.00022396i,0.00028186+0.00045565i,0.00035742+0.00055383i,-0.0001151+0.0005482i,-0.00072549+0.0008576i,7.8809e-05+0.0010064i,0.00024215+0.00011978i,-8.3999e-05-3.7236e-05i,0.00014014+0.00023932i,0.00018284-0.00030518i,0.00021212-8.4818e-05i,0.00029109+0.00041773i,-2.5529e-05+0.00026837i
0.00070788-0.00034781i,0.00065082-0.00062916i,0.0007668-0.0003059i,0.00082035-0.0013826i,0.00020286-0.002757i,0.00019649-0.002666i,0.00029081-0.0014547i,0.00050526-0.00042497i,0.00019267-0.00021885i,-0.0001691-9.7644e-05i,-0.00036537+0.00011131i,-0.00062609+0.00037964i,-0.00047566+0.00024012i,-0.00026091+0.00018785i,-0.00013483+0.0003027i,-0.00024673+8.2726e-05i,-0.00016944+0.00047647i,0.00020788+0.0012276i,0.00035186+0.001149i,0.00054282+0.00074678i,0.00062061+0.00028421i,-5.3887e-05-9.8434e-05i,-0.00070395+0.00014149i
-0.0016768+0.001842i,-0.0022423+0.0015259i,-0.0014661+0.0017882i,0.00043639+0.0012712i,0.0010063+0.00010547i,0.00088806-0.00097399i,0.00051194-0.0011668i,-0.00044612-0.00030021i,-0.00076401+0.00089651i,3.3554e-05+0.00078816i,0.00054958-0.00026594i,0.00051311-0.0004894i,-0.00017693-0.00042287i,-0.00048554-0.00084352i,0.00015828-0.00057229i,0.0003863+0.00021238i,1.1693e-05+8.3879e-05i,-0.00016579-4.8429e-05i,-3.7714e-05-0.00055511i,-0.00048743-0.00030294i,-0.00051546-0.0002421i,0.00011206-0.00019563i,0.00019712-0.00011902i
-0.0025631+0.0011763i,-0.0014683+0.0020781i,-0.0010894+0.0019988i,-0.00028398+0.0021208i,0.00085857+0.0019384i,0.0013076+0.0010178i,0.0011578+0.00023061i,0.0004499+0.00014994i,1.8794e-05+0.00041344i,9.1785e-05-0.00038817i,0.00025674-0.00089312i,0.00025731-0.000936i,0.00062475-0.0010346i,-4.6908e-05-0.0010823i,-0.00028622-0.0012931i,8.2622e-05-0.00082374i,0.00025664-0.00054192i,0.00019169-0.00068983i,-0.0004081+0.00026538i,-0.00084067+0.0011806i,-0.00066037+0.00079508i,7.0377e-05+3.5202e-05i,0.00020342-0.00017172i
-0.0012102-0.00093302i,-0.00067555-0.00095647i,-0.0013558-0.0001548i,-0.0014486+0.00067032i,-0.00087387+0.00016461i,-0.00051246-0.00019965i,-0.00040555-0.0004893i,-0.00025246-0.00059517i,0.00010617+0.00028091i,-0.00026532+0.00040385i,-4.8281e-05-0.00015977i,0.00068304-0.00023762i,0.00031468-8.8374e-05i,2.2228e-06+0.00012451i,0.00049051+3.5366e-05i,0.00098758+0.00037021i,0.00061372+0.00040217i,-5.4797e-05+0.00038696i,0.00036847+0.00054288i,0.00077039+0.00064053i,0.0002238+0.00053799i,-0.00017771+0.00032957i,0.00023516-4.6011e-05i
0.00012662-0.0044254i,-0.0012947-0.0041251i,-0.0020647-0.0034022i,-0.0013899-0.0021839i,-0.00036475-0.0014094i,0.00037591-0.0012416i,0.00057611-0.0020126i,0.00024694-0.0025764i,0.00015066-0.0015376i,-1.0369e-05-0.00031117i,-0.00041716+0.00012214i,-0.00079677+0.00085136i,-0.00044106+0.0015373i,0.00027605+0.00062441i,0.00051862+0.00068274i,0.0010563+0.0012341i,0.00066881+0.00033004i,0.00091992-0.00017504i,0.0017344+0.00044264i,0.0011186+0.00079295i,0.00027672+0.00056148i,0.00049363-0.00012293i,0.00086373-0.00062945i
0.00050725+0.0029718i,-0.00028802+0.0025655i,0.00015494+0.0016931i,0.00023272+0.0014084i,0.00018933+0.0005725i,3.8736e-05-0.0015389i,0.00014055-0.0024398i,0.00021896-0.0010267i,0.0002181-2.7132e-05i,0.00041298-9.7847e-05i,3.6686e-05-0.00056456i,-0.00046354-0.00056658i,-0.00021292+5.5168e-05i,-0.00071761+0.0005298i,-0.001227+0.00014661i,-0.00058048-0.00010875i,-0.00029541+0.00045578i,-0.00054481+0.00044022i,-0.0010003-2.385e-05i,-0.00086718-0.0002016i,6.6695e-05+5.2574e-05i,0.00016253-0.00027067i,-0.00018814-4.9949e-05i
-0.0014717+0.0019417i,-0.00085288+0.0017023i,-0.00021839+0.0018045i,-0.00014119+0.0013381i,-6.146e-05+0.00030014i,0.00058248-0.0010576i,0.00058151-0.0019285i,7.3276e-05-0.00082447i,-0.00056114+0.00034921i,-0.00063743-0.00087236i,-0.00089959-0.0012735i,-0.00085405-0.00041429i,0.00032217-6.2431e-05i,0.0009754-7.8553e-05i,0.00041357+0.0002996i,-0.00029532+0.00079063i,-0.00011225+6.0638e-06i,0.00019424-0.0010301i,0.00029212-0.00090658i,0.00022113-0.00073201i,0.00015857-0.0010968i,0.00022915-0.00059166i,-0.00043013-0.0006994i
-7.0619e-05-0.00057467i,8.3394e-05-0.001127i,0.00055223-0.0013887i,-2.8276e-05-0.0015732i,-0.00054705-0.0020098i,-0.00013158-0.0027857i,0.0002969-0.0031685i,-2.2222e-05-0.0020629i,-3.9949e-06-0.00051487i,0.00050966+0.00043006i,0.00099264+0.00043101i,0.00024673+0.0001714i,-5.9696e-05+0.00015794i,-6.7677e-05+0.00013873i,-0.00022919-0.00038556i,-0.00017909+0.00016336i,-0.00025493+0.00061896i,0.00050796+8.5311e-06i,0.00078689-0.00076227i,0.00024645-0.0010295i,-0.00039692-0.00029637i,-0.0011856-0.00011901i,-0.00085735-0.00032149i
-0.00075245-0.00076777i,-6.5437e-05-0.00067888i,0.00015923-0.00094812i,-0.0013039-0.00085813i,-0.0021111+4.2716e-06i,-0.0011648-0.00037091i,-0.00047071-0.0016504i,-0.00047212-0.0011168i,-0.00020688+0.00033313i,0.00017949+0.00061099i,0.00011937+4.578e-05i,6.1926e-05-0.00015304i,-2.596e-06-8.4374e-05i,-0.00026666+0.00028071i,-0.00061133+0.00069752i,-0.00043553+0.00037194i,6.167e-05-0.00064499i,0.00052999-0.0014691i,0.00057758-0.00042419i,-8.4991e-05+0.0002097i,-0.00049486-0.00043416i,7.232e-05-0.0004644i,0.00030698-0.00053733i
0.00018691+0.0022328i,0.00080056+0.002979i,0.00033138+0.0022913i,-0.00022975+0.0009369i,0.00031812-6.1479e-05i,0.00036678-0.00050621i,0.00014149-0.001309i,-0.0002587-0.0014946i,-0.00079056-0.0013164i,-0.0010681-0.00025608i,-0.00067679+3.7469e-05i,2.7708e-05-0.00021378i,-0.00022967-0.00027987i,-0.00044281-0.00059066i,-0.00026649-6.4007e-06i,0.00027763+0.00076285i,0.00071229+0.00055424i,0.0003497+0.00017339i,-8.8657e-06+0.00028895i,4.0274e-05+0.00025457i,-6.2819e-05-0.0002831i,-1.9515e-05+4.4594e-05i,4.704e-06+0.00063612i
-0.0019074-0.0017971i,-0.0020071-0.0015544i,-0.0013028+0.00017721i,-0.0013676+0.0011088i,-0.0014121+0.00074515i,-0.00045925-0.00038962i,-0.00040454-0.0015155i,-0.00041497-0.001103i,-0.00022268+0.00020503i,-0.00014445+0.00072159i,-0.00016629+0.00080416i,-0.00039188+0.00070863i,-0.00040704+0.00046257i,-0.00032325+0.00061052i,0.0002173+0.0005829i,0.00038386+0.00078464i,0.00028638+0.00085384i,0.0003177+0.00056678i,0.0001305+2.2107e-05i,0.0004309+0.00011874i,0.00012478+0.00037876i,0.00023425-0.00035335i,0.00053326-0.00080742i
-0.0011219+0.00070812i,-0.001476+0.0013553i,-0.00034115+0.0012874i,0.00038709+0.0003198i,0.00089156-0.00062002i,0.0008099-0.0018036i,-0.00035339-0.0023368i,-0.00157-0.0015917i,-0.0017207-0.00050466i,-0.00082923-5.3933e-05i,-0.00034552-0.00023293i,-0.00082981-0.00071578i,-0.00074278-0.00049035i,-0.00060918+6.2549e-05i,-0.00068355-0.00017289i,-0.00033235-0.00057388i,-7.2445e-05-0.0006847i,-0.00011278-0.00054867i,-0.00068446+0.00018099i,-0.00078688+0.00013261i,-0.0001002+0.00016528i,3.6329e-05+0.000334i,0.00030345-0.00035934i
0.00081537+0.00021128i,0.0011109+0.001329i,0.0015108+0.0022104i,0.0014148+0.0013465i,0.00028664-0.00068621i,-0.00094425-0.0024063i,-0.0016095-0.0022449i,-0.0015281-0.0010061i,-0.00076869+0.00018625i,4.7676e-05+0.00072583i,-9.0235e-05+0.00022076i,-0.0002871+1.7879e-06i,-0.00018371+7.2397e-05i,0.00016411-0.00026337i,0.00079401-0.00070068i,0.00029051-0.00036276i,-0.00041076+0.00031553i,-0.00011726+0.00036739i,-7.8795e-05-8.7805e-05i,-0.00085222-0.00022224i,-0.0010471-0.00061354i,-0.00019467-0.00042454i,8.6808e-05+0.00071998i
0.0027688-0.0014951i,0.0028014-0.0022609i,0.00054061-0.0018528i,-0.0010716-0.00066958i,-0.00098393-0.0010808i,-0.00058349-0.001143i,0.00054403-0.00089291i,0.0012946-0.00064088i,0.00091086-6.4504e-05i,0.00018823-0.00036236i,-2.3091e-05-0.00069694i,0.00022714-0.00058155i,0.00032392+0.00048161i,0.00023784+0.0012839i,-0.00023829+0.0015374i,-0.00017502+0.0011509i,0.00063066+0.00044802i,0.00064857+2.7182e-05i,0.00033943-0.00025533i,-4.3216e-05+0.00013414i,0.00038253+0.00041708i,0.00036166-0.00032655i,0.00034844-0.00072607i
-0.00044775+0.0032017i,0.00047926+0.0027857i,0.00046323+0.0018937i,0.00038293+0.00017726i,0.00058265-0.0012049i,-0.00033922-0.0017778i,-0.0014191-0.0018606i,-0.0010535-0.00082585i,-0.00017625-0.0003799i,0.00066778-0.00045765i,0.00011311-0.00032016i,-0.0003188-0.00042507i,-0.000223-0.00037571i,-0.00071368-0.00078126i,-0.00089696-0.00079674i,-0.00027439-0.00011689i,0.00033299+0.00029405i,-6.2791e-05+0.00021576i,0.00026219+0.00053317i,0.00075282+0.000425i,0.00032297+0.00078249i,-0.00015639+0.00093286i,-0.00030361+0.00018739i
-0.0017656-2.0543e-05i,-0.0025339+0.00097066i,-0.0020811+0.00089117i,-0.0013567+0.00052685i,-0.00086265-0.00040642i,-0.00026155-0.0010869i,-0.00040031-0.0014959i,-0.00036022-0.00099019i,-0.00045385-0.00026965i,-0.00028715+0.0001231i,-7.2514e-05+0.00031647i,0.00011906+1.3445e-05i,0.00031056-0.00032489i,-6.8823e-05-6.3268e-05i,-0.00070769+0.00022036i,-0.00065998+0.00023015i,-0.00029957+0.00022321i,0.00044089+0.00083639i,0.00043458+0.00090706i,-8.9455e-05-9.7527e-05i,-9.9996e-05-0.00028452i,-0.00097865+0.00023228i,-0.001083+0.00023403i
-0.00016928-5.1533e-05i,0.00070273-2.5413e-05i,0.0011791-0.00018359i,0.00074538-0.00042856i,0.00053607-0.00057259i,0.00041417-0.00046508i,0.00016684-0.00057925i,-0.00064759-0.00091559i,-0.0010147-0.00062786i,-0.00028366-0.00011379i,-0.00050825-0.0002925i,-0.00054402-0.00039487i,-0.00046216-9.1139e-05i,-0.0012674-0.00036841i,-0.0012693-0.00027976i,-8.1779e-05-0.00028824i,0.00071227+0.00012909i,0.00061918+0.00082076i,0.00013705+0.00081733i,-0.00014528+0.00033393i,7.8265e-05+4.1926e-05i,0.00011346-0.00038133i,-0.00010168-0.00045668i
0.00052817-0.0012152i,0.0005694-0.00040504i,0.0021432+3.7213e-07i,0.0014469-0.00094151i,0.00012091-0.0023092i,0.0001573-0.0024465i,-0.00055412-0.0015051i,-0.0017639-0.00073268i,-0.001364-0.00047548i,-0.00026208+0.00012532i,0.0005084+0.00046216i,0.00040792+0.00028905i,4.3397e-05-2.5753e-05i,4.831e-05-0.00082398i,2.0404e-05-0.0012651i,-0.00014621-0.00050791i,0.00020825-0.00013203i,0.00033653-0.00012406i,-0.00042737-0.00019243i,-0.0012096-0.00012312i,-0.00072073+0.00028204i,0.00015165-3.1059e-06i,0.00039034+0.0002973i
0.0024582+0.00031655i,0.0023089+0.0011115i,0.0022513+0.0015487i,0.0012665+0.0003591i,0.00040986+0.00043656i,-0.0003477+0.0003731i,-0.0010346-0.0002047i,-0.001396-0.00049354i,-0.0015257-0.00033892i,-1.8764e-05+0.00014065i,0.00038895+0.00063349i,-0.00041063+0.00083837i,-0.00018496+0.00070893i,0.00056693+0.00050411i,0.00073716+0.0013403i,0.0010427+0.0014283i,0.0010209+0.00094319i,0.0010542+0.00079604i,0.00093875+0.00034374i,0.00070169-0.00016069i,0.00058931-0.00016167i,-0.0002429-0.00050452i,-0.00029636-0.0007935i
-0.00021946+0.0019118i,-0.00013776+0.0019366i,7.9337e-05+0.0016651i,0.00032128+0.00096616i,0.0004439+0.00024413i,-0.00014475-0.0012684i,-8.8879e-05-0.0019179i,3.3217e-05-0.00099243i,-0.00027692-0.00048073i,-0.00018174-0.00035667i,-9.358e-05+0.00077019i,-0.00040182+0.0012817i,-0.00061824+0.00080336i,-0.00033262+0.0007157i,0.00039134+0.00042275i,0.00068901-7.2919e-05i,0.00031565-0.00056281i,-0.00028652-0.00044343i,-0.00035593+0.00023107i,-0.00025713+0.00071196i,-0.00011362+0.00075074i,-0.00013855+0.00093452i,-0.0004726+0.00050177i
-0.0043006+0.0015681i,-0.004109+0.0017718i,-0.0023987+0.0010768i,-0.0011473+0.00090129i,-0.00033199+0.00092429i,0.00026693-0.0005723i,0.00031608-0.0015838i,6.5618e-05-0.00123i,-0.00010691-3.4814e-06i,7.0425e-05+0.0010154i,0.00059765+0.0011717i,0.001002+0.0011136i,0.00096012+6.4469e-05i,0.0011567-0.00066823i,0.0012108-0.00050484i,0.00018583+2.2138e-05i,-0.00078851+0.00057139i,-0.00060527-2.8883e-05i,-0.00019147-0.00098859i,-6.6486e-06-0.00077312i,-3.7629e-06+2.6131e-05i,-0.00030595+0.00037959i,-0.00019962+0.00026526i
-0.0017047-0.0010941i,-0.001951+1.2205e-05i,-0.0022393+0.00015121i,-0.0021785+2.0086e-05i,-0.0017279+0.00044279i,-0.00037599-0.00033348i,0.00096792-0.0014793i,0.00072553-0.0015715i,2.5025e-05-0.0013609i,-0.00025231-0.00045776i,-0.00034896+7.1962e-05i,-9.5674e-05+0.00054879i,-5.4853e-05+0.0010481i,0.00017143+0.00099716i,0.00055226+0.0011114i,2.961e-05+0.00098048i,-0.00059479+0.00032462i,-0.00057864-0.00078939i,-0.00058368-0.0012891i,5.4528e-06-0.0012428i,0.00028885-0.00095361i,0.00014989+0.00030616i,-9.5445e-05+0.0003526i
