-0.00075411+0.0010241i,-0.0010309+0.00025602i,-0.0022785-0.00041652i,-0.0020917-0.0002776i,-0.0020212+0.00098911i,-0.0022488+0.0019995i,-0.0012561+0.0024432i,0.00075798+0.0016118i,0.0018365+0.00035289i,0.0011001-0.00022022i,-7.0064e-05-0.00051711i,-0.0002951-0.0012422i,-0.00022195-0.00078755i,-0.00027794+0.00066637i,-0.00021901+0.0014319i,-0.00031161+0.001117i,-0.0001086+0.00049594i,-6.1171e-06+0.00041178i,-9.1047e-05+0.0010865i,-0.00044937+0.00096539i,-0.00018256+0.00021661i,-0.00023096-0.00067568i,-0.00057957-0.00039193i
-0.0012505-0.0010795i,-0.0020913-0.0013927i,-0.0017059-0.0018476i,-0.00066538-0.0011032i,-0.0017321+0.00040648i,-0.0016989+0.0017538i,-0.00065921+0.002329i,0.00053152+0.0016343i,0.0011498+0.00015721i,0.00070125-0.00071599i,-0.00014939-0.0012132i,-0.00077719-0.0015471i,-0.00099513-0.001087i,-0.0012434-0.00059602i,-0.00094794+0.00033221i,-0.00019998+0.00025703i,-0.00037179+7.0953e-05i,-0.00021981+0.00083653i,0.00059028+0.00051411i,0.00093743-0.00017804i,0.0011635-0.00026951i,0.0003206-0.00016678i,-0.00047425-0.00064509i
-0.00015151-0.0014166i,0.00043086-0.0016993i,0.00022874-0.0017926i,-0.00024222-0.00099591i,-0.0011578-0.00014015i,-0.0013725+0.0010187i,-0.00086672+0.0010655i,-8.4286e-05+0.00037005i,0.00016827-0.00066126i,-0.00013521-0.0013763i,-0.00077469-0.0015136i,-0.0010986-0.0022838i,-0.00121-0.0015919i,-0.00063491-0.00099273i,0.00082179-0.0005778i,0.0010291+8.9435e-05i,-0.00014198+0.00043434i,-0.00088679+0.00073157i,2.6142e-06+0.00064759i,0.00072141+0.00044668i,0.00022689+0.00084841i,-0.00046631+0.0010343i,-0.00014998+0.00069007i
0.00089639+0.0020397i,0.00078461+0.0020193i,0.00099587+0.0015119i,0.00042236+0.00027979i,-0.00044817-0.00064088i,-0.00095141-9.503e-05i,-0.00062201+0.00078942i,0.00031364+0.00044777i,0.00070167-0.00057421i,0.00066078-0.00057844i,0.00019089-0.00055201i,-0.00047963-0.0015164i,-0.00062271-0.0011038i,-0.00046835+0.00017782i,-0.00044584-0.00014579i,-2.9331e-05-2.7187e-05i,0.00018861+0.00012771i,-3.5741e-05-0.00025724i,0.00020206-2.0866e-05i,0.00045315+0.00040503i,0.00053342-5.6541e-05i,0.00021462-0.00054886i,-0.00011339-9.4473e-05i
0.0013967+0.00012346i,0.0021567+0.0017742i,0.0018372+0.00087231i,0.00050301+0.00020203i,-0.0001525-3.7386e-05i,-0.00080548-0.00055002i,-0.0005866-0.00025167i,0.00059498+0.00018785i,0.0013436-5.8335e-05i,0.00065745-0.00018458i,-0.00060911-0.00057468i,-0.0011203-0.0018269i,-0.0010132-0.0019839i,-0.00081083-0.001335i,-0.00010894-0.0015844i,-0.00013334-0.0010016i,-0.00049272+0.00014942i,-0.00042063+0.00094983i,-4.1646e-05+0.00029491i,0.00060783+0.0001156i,0.0007589+0.00090084i,0.00037703+0.00073365i,0.00064914+0.00039767i
0.00064467-0.00077104i,0.00028156-0.00073328i,0.00020256-3.0265e-05i,0.00026009-0.00014437i,0.00043048-3.7818e-05i,0.00033331+0.0010018i,-0.0002339+0.0015119i,0.00017043+0.00072932i,0.00081609-4.3885e-05i,0.00033897+0.00044525i,-0.00023969-0.00012782i,-0.00028408-0.00064172i,-0.00086766-0.00013554i,-0.001021+0.0001852i,-0.00035094+4.2146e-06i,0.00036094-0.00042856i,0.00078556-0.00019369i,0.0007012-0.00010156i,0.00059754-6.226e-05i,0.00083138-0.00025986i,0.00081953-0.00057142i,-0.00024218-0.0005571i,-0.00041147-0.00062276i
-0.0016915+0.0014162i,-0.0016558+0.0016513i,-0.001399+0.00076974i,-0.0010121-0.0003346i,-0.001061+0.00015554i,-0.0013729+0.0012664i,-0.00064888+0.00073884i,0.00015365+0.00024816i,-0.000243+0.00024253i,-5.8172e-05-0.00035352i,0.00019964-0.0013064i,-5.5465e-05-0.0012258i,9.7389e-06-0.0011073i,-0.00078168-0.00053395i,-0.0012151+0.00016807i,-0.00027361+0.00026122i,0.00012486+0.0001395i,0.00013711-0.00034199i,-1.8126e-05-0.00054518i,-0.0001244+0.00011345i,3.9531e-05+0.00044456i,-0.00034405+0.00063532i,-0.00018388+0.00045727i
0.0004773-0.00064808i,0.00024182-0.00079569i,-0.00071666+9.5478e-05i,-0.00092697+0.00051057i,-0.00078082+7.8186e-05i,-0.00095116+0.00015142i,-0.00036416+0.00074789i,0.0004958+0.00070345i,0.00080001-1.0248e-05i,0.00050265+1.4776e-05i,-5.1931e-05+0.00038512i,-0.00026391-2.3437e-05i,-0.0011144-0.00020633i,-0.0011854-4.0286e-05i,-0.00036679+0.00013052i,-0.00014734+0.00080116i,-0.00033624+0.00053607i,-0.00010663-0.00036217i,-0.0001842-0.00076755i,-0.00088381-0.00019829i,-0.00089357+0.00062367i,-0.00021328+0.00059407i,9.9966e-05+0.00034096i
0.00058064+0.0024246i,0.00069299+0.00079778i,-6.07e-05+2.6704e-05i,-0.00033036-0.00098731i,-3.331e-07-0.0011405i,-0.00061243-0.00032798i,-0.00075319+0.00061229i,0.00055182+0.00030981i,0.0013802-0.00064388i,0.00089193-0.0013181i,0.0006796-0.0010034i,-0.00030148-0.00075817i,-0.00063016-0.00034093i,-3.985e-05+0.00073376i,4.9924e-05+0.00078271i,-0.00011667+0.00016844i,-0.00069298+0.00035595i,-0.00073537+0.00039563i,0.00014819+2.0101e-05i,0.00056564+0.00022097i,0.00060813+0.00054849i,0.00065955+0.00010352i,0.00042753-0.00011329i
-0.00092987+0.0012865i,-0.00034138+0.00037411i,0.00072007+0.00014426i,0.00056749+0.00039206i,9.131e-06+0.00010424i,-0.0001935+0.00022083i,7.2123e-05+0.00076894i,0.00036832+0.00064722i,-0.00016043-0.00043511i,-0.00059645-0.0017687i,-0.00051069-0.0013378i,-0.00011301+8.2425e-05i,-0.0010583+0.0007987i,-0.0018787+0.00063557i,-0.00091972-0.00012641i,0.00035067+9.0073e-06i,0.00026681+0.00035781i,0.00026734+0.00045168i,0.00053424-5.41e-05i,-0.00042045-0.00067903i,-0.00083276-0.0011402i,-0.00057554-0.0011448i,-0.000211-0.00035682i
-0.00088757-0.00072637i,-0.0010199-0.00067469i,-0.00095536-0.00092825i,-0.00097406-0.0013185i,-0.00076689-0.0006808i,6.9229e-05+0.0009547i,0.00068175+0.0014823i,0.00072586+0.0010924i,1.4489e-05+0.00070524i,-5.7175e-05+0.00024307i,7.8918e-05-0.0012726i,-0.00042149-0.00152i,-0.0008504-0.00013375i,-0.00051468+0.00023787i,-2.0684e-05+0.00012087i,0.00025211+0.0001922i,0.00045886+0.00029958i,0.00047352+0.00033099i,-0.00024309+0.00053355i,-0.00051048-6.3547e-05i,-0.00013268-0.00043271i,-0.00014135+0.00032658i,0.00025359+0.00086906i
0.0014207+0.001116i,0.001188+0.001461i,0.0012151+0.0013937i,0.0012665+0.0013214i,0.00074841+0.0012195i,-6.2994e-05+0.00038793i,1.0963e-05+0.00081347i,1.0071e-05+0.00073048i,-1.0029e-05-0.00065358i,0.0011485-0.0010009i,0.0012187-0.0012416i,-0.00020458-0.0012857i,-0.00075233-0.00059663i,8.3887e-05-0.00018613i,0.00058558-0.00012923i,0.00053541-0.00027708i,0.00031927-0.00038627i,0.00023325-0.00045698i,0.00017127+0.00020864i,0.00019632+0.00071578i,0.00025641+0.00036441i,0.00040182-0.00021724i,0.00014595-0.00090912i
-0.0013319+4.0672e-05i,-0.0012538-0.00037543i,-0.0014406-0.00047302i,-0.0022876+0.00017634i,-0.0019557+0.00019361i,-0.0013854+0.00026944i,-0.0005629+0.0014006i,0.00093837+0.0014514i,0.0014314-7.8816e-05i,0.00090349-0.001608i,0.00047821-0.0025637i,1.7177e-05-0.0021467i,-0.00070041-0.00081184i,-0.00067442+0.00033884i,-0.00035742+0.0006541i,0.00023886+0.00054241i,0.00018256+0.00029623i,0.00032009+0.00063868i,-8.3538e-05+0.0011018i,-0.001143+0.0010366i,-0.00089034+0.0011139i,-0.0001788+0.001017i,0.00055346+0.0010587i
