0.0016075-0.00011194i,0.0022112-0.0014828i,0.0014859-0.0031476i,-0.00047904-0.0030658i,-0.0020896-0.0017635i,-0.0025894-3.3707e-05i,-0.0015994+0.001464i,-0.00065048+0.0013343i,8.0742e-05+0.0013427i,0.00013049+8.5902e-06i,-0.00030725-0.0013862i,0.00021368-0.0010533i,0.00068778-0.00045728i,0.0003124-5.4293e-05i,9.1739e-06+1.4613e-05i,-0.00033934+9.4478e-05i,-0.00078225+0.00018545i,-0.00075936-4.0571e-05i,0.00017103-0.00011263i,0.00067397-6.3402e-05i,0.00011125-0.00036293i,-1.6901e-05-3.9121e-05i,-0.00025461-0.00051407i
0.00073748+0.00032524i,0.00062812+0.00073071i,0.00027969+0.00024126i,0.00083782+1.9674e-05i,0.00066157+0.00063337i,0.00019687+0.00072989i,-0.00038485-0.00028469i,-0.00091839-0.00046239i,-0.00078973+0.00032837i,-2.4136e-06+0.001203i,0.00054279+0.00088323i,0.00038705-0.00016259i,0.0002556-0.0012215i,0.00064016-0.0011106i,0.00054412-0.00032413i,0.00017178+0.00038809i,0.00018823+0.00082393i,-0.00022135+5.4747e-05i,-0.0010642-0.00060205i,-0.00090013+2.297e-05i,0.00035706+0.00013905i,0.0011576-0.00027981i,0.00086404-0.00027778i
-0.00054315+0.00030824i,-0.0010675+0.0013072i,-0.00039506+0.00084716i,0.001092-0.00088092i,0.0011027-0.00090988i,-0.00020159-0.0011049i,-0.00053331-0.001833i,-0.00066875-0.0013075i,-0.00078362-0.00039018i,-0.00026148-0.00021263i,0.00082292+0.00015093i,0.0011571+0.0005895i,0.0011301+0.00029936i,0.001364-1.523e-05i,0.0011299+2.6411e-05i,0.00014564-0.00020112i,-0.00026888-0.00024525i,-0.00033478-0.0004953i,-0.0005132-0.0007916i,-0.00026512-0.001449i,-0.00069025-0.00081341i,-0.001344+0.00012807i,-0.00095306+7.2304e-05i
-0.0011961-0.0011841i,-0.00015712-0.0014044i,0.00017728-0.00054473i,-1.7815e-05+0.00032544i,-0.00078867+0.00026163i,-0.0012874+0.00015519i,-0.00045557+0.00027202i,-0.0003294+0.00030169i,-0.00082618+0.0009232i,-0.00014468+0.00057802i,0.00057345-3.5816e-05i,0.00046451+0.00044327i,0.00015191+1.7795e-05i,0.00018845-0.00080482i,0.00027094-0.00068293i,-0.00039549-0.00049959i,-0.0003963-0.00056821i,-0.00028257-0.00066466i,-0.00056433-0.00060683i,-0.00072293-0.00049736i,-0.00071641-0.00036608i,-2.7427e-05+0.00024644i,0.00027781+0.00088815i
0.00014983-0.0010071i,0.00035372-0.00042906i,6.2767e-05-0.0014923i,-0.00025571-0.0012029i,-0.00055411-0.00013545i,-0.00033862+0.00048688i,-6.3418e-05+5.9484e-06i,-0.00037009-0.00096316i,-0.00058533-0.00022708i,-0.00078359+0.00026577i,-0.000601+0.00015141i,-0.00042605+0.0010469i,-0.00034715+0.0014282i,-0.00026023+0.00087828i,0.00032584-0.00010523i,0.00052695-0.00044187i,0.00051464+0.00012873i,-3.6125e-05+0.00053237i,-0.00040314-0.00013052i,3.7428e-05-0.00039031i,-9.4899e-05-0.00023127i,0.00012224-0.00048764i,0.00030246+0.0001384i
-0.00033892-0.00058794i,3.0712e-05-0.00040973i,0.0010877-0.0013271i,0.00092854-0.0011205i,0.00071805-0.00086958i,0.00060488-0.00041296i,-0.00065249-0.0004253i,-0.00098426-0.0010847i,0.00015584-0.001158i,0.00071547-0.00094035i,6.5594e-05-0.00069333i,-0.00040224+7.4744e-05i,-6.0662e-05-0.0001738i,-1.6765e-05-0.00085774i,0.00030565+3.0678e-05i,-8.4379e-06+0.00035676i,-0.0011802-0.00013514i,-0.0015464-0.00039667i,-0.00069975-0.00023461i,-0.00022046-0.00012751i,-0.00053775-0.00010062i,-0.00034667-0.00025689i,-0.00010197-0.00047399i
-0.0015188+9.3516e-05i,-0.0015417-0.00046052i,0.00011903-0.00023968i,0.0011698-0.00022791i,0.00097721-0.00027549i,-0.0005066+4.581e-05i,-0.001325+0.0002099i,-0.000522+6.1064e-05i,-0.00012309+8.5715e-05i,-7.1439e-05+3.5184e-05i,0.00044214-0.00012897i,0.00046643-0.00042278i,-9.6267e-05-0.00014619i,-0.00053532+0.00048654i,-0.00063989+0.00086297i,-0.00043326+0.00027326i,-0.00010659-0.00011601i,0.00033921+8.0207e-05i,0.00035713+3.0206e-05i,5.2395e-05-0.00050771i,-0.00036197-0.00054233i,0.00024239-0.00031212i,0.00086564-0.00058489i
0.00083776+0.00045618i,0.0010456-3.8461e-05i,0.0016669-0.00039915i,0.00154-0.00066197i,0.00010669-0.0016016i,-0.00064018-0.0013881i,-0.00034961+0.00015951i,-0.00032245+0.00072864i,-0.00012043+0.00088914i,8.8962e-05+0.00054326i,0.0003381-0.00030501i,0.00025406-0.00010144i,0.00020475-0.00074163i,0.00052527-0.0012709i,-0.0003206-0.000935i,-0.00083657-0.00015333i,-0.00082345+0.0008065i,-0.00077612+0.00073038i,-0.00015231+0.00040473i,-1.3185e-05-0.00011207i,7.9025e-05-0.00013664i,-0.00025635+7.5119e-05i,-0.00062483+1.0902e-05i
-0.0013465+0.00089739i,-0.00051595+0.00093053i,0.00070524+0.00089192i,0.0016825+0.00051828i,0.0017562+0.00032194i,0.00035598+1.0907e-05i,-0.0010125+1.7421e-05i,-0.00104+0.00032238i,-0.0010665+0.00023305i,-0.00017208+0.00061538i,0.00062343+0.0012982i,0.00023015+0.00040117i,0.00052514-0.00053617i,0.00075771-0.0002218i,0.0011715+0.00072989i,0.00059571+0.001407i,-0.00050771+0.00091518i,-0.00041675+0.00090324i,-0.00025542-6.1888e-05i,-0.00036152-0.0011672i,-0.00063532-0.0015133i,-0.00054789-0.00039948i,-0.00048389+0.00034624i
0.0017658-0.00067319i,0.0017427+0.00010437i,0.0013101-0.00058107i,0.00027749-0.0010089i,-0.00031132-0.0008385i,-2.7085e-05-0.00037102i,0.00045289-0.00045894i,6.206e-05-0.00066473i,0.00014562+0.00034347i,0.00039772+0.00082561i,0.0001464+0.00038997i,-0.00029524+0.00081429i,-0.0006985+0.00079625i,-0.00036665-0.00026933i,-0.00031466-0.0002216i,-0.00073573+0.0009424i,-0.00043576+0.00049342i,0.00042828-0.00051976i,0.00039143-0.00053063i,-0.00025382-0.00064881i,-0.00049541-0.00055499i,-0.00049317+0.00020653i,-0.00033774+0.00053685i
-0.0015524-8.4056e-05i,-0.0011686+0.00055943i,-0.0007137+0.0001389i,0.0003683-0.0010193i,0.00059407-0.0011607i,0.00054884+8.9031e-05i,0.00033643+0.00068071i,-0.00049979-8.6876e-05i,-0.00053698-0.00072256i,2.2573e-05+0.00035067i,0.00040456+0.00083524i,0.00061967+0.00017866i,-0.0001215-9.222e-05i,-0.00014276-5.7383e-05i,0.00019186-0.00014174i,0.00035132+0.00014036i,0.00028367+0.00058528i,0.00023691+0.00043219i,0.00050324-4.2032e-05i,0.00086421-0.0001929i,0.001001+8.3423e-05i,0.00079206+0.00034999i,0.00016356+0.00093829i
-0.0005931+0.00053078i,0.0002744-0.00025993i,0.00067479-0.00064022i,0.00063761-0.00050147i,0.0012234-0.00019732i,0.00091801+0.00048904i,0.00040745+0.00018071i,-3.9136e-05-0.00083042i,-0.00029833-0.00080266i,0.00028824-9.0543e-05i,0.0002646+0.00039102i,7.2888e-05+0.00020698i,0.00010346-0.00040515i,-0.00026648+0.00018149i,-0.00060901+0.0013543i,0.00010049+0.0012698i,0.00059471+0.000646i,0.00030901+0.0006534i,4.2474e-06-1.323e-05i,-0.00041607-0.00025672i,-0.00046498-0.00051701i,9.6051e-05-0.0012535i,2.2823e-05-0.0010613i
0.00049302-0.0005555i,0.0014759-7.0269e-05i,0.0016546-0.00018033i,0.00077551-0.00035567i,0.00026293+0.00028644i,0.00049843+0.00096304i,0.00016561+0.00038663i,-0.00061269-0.00050739i,-0.00077057-0.0001753i,-0.00026432+6.9166e-05i,-0.00032218+0.00012206i,-0.00046037-0.00036033i,-0.00031277-0.00066332i,-1.3062e-05+0.00040428i,-0.00032958+0.00093892i,-0.00047683+0.00024736i,4.6232e-05-0.00016566i,0.00043524+0.00021169i,0.00023019+0.00043471i,-0.00010137+0.00044026i,-9.7377e-05+0.00082084i,0.00027545+0.00094774i,0.00021376+0.00083812i
-0.0012543+1.8812e-05i,-0.0014719-9.6934e-05i,-0.00065665-0.00013093i,0.0003764-0.00090461i,0.0010531-0.0009415i,0.00058111-0.00082137i,-0.00015408-0.0012031i,-0.00048605-0.00050356i,-0.00021619+0.00041338i,0.00018219+0.00053878i,0.00028279+0.0004199i,0.00082984-0.00019181i,0.00080947+0.00021621i,1.0421e-05+0.00059241i,-0.00012856-0.00022064i,0.00091023-0.0011073i,0.00050043-0.00055633i,-0.00052899-0.0001588i,-0.0010223-0.00046272i,-0.0016468-0.00031899i,-0.0013925-0.0002617i,-0.00043058-2.8237e-05i,0.00055324+0.00015657i
0.00050465-0.00067726i,0.00037925+0.00079065i,0.00079153+0.0012334i,0.00055714+0.00044602i,-0.00041651-0.00022414i,-0.00033051+0.00011024i,0.00041099+0.00022498i,0.00027577-0.00035004i,0.00017519-0.00023619i,-0.00011101+0.00033971i,-0.0005442-8.7475e-05i,-0.00048266-0.00037848i,-0.00051966-0.0002666i,-0.00053317+6.5789e-05i,-0.0008103+0.00014134i,-0.0011599+0.00017531i,-0.00058145+0.00092037i,-0.00039627+0.00079312i,-0.0004322+0.0001734i,-0.00061427+4.2272e-05i,-0.0010132+0.0005589i,-0.00059644+3.4771e-05i,7.8009e-05-0.0001029i
0.00044902-0.00079164i,0.001132-0.00073966i,0.0011935-0.00086163i,0.0011306-0.00077658i,0.00049839-0.00046491i,0.00030279-0.00056318i,0.00087609-0.00011827i,0.00042851+0.00063304i,-0.00022399+3.8237e-05i,0.00036094-0.00040256i,0.00024818+1.4841e-05i,0.00036592-5.497e-05i,0.0008445-0.00019964i,0.00055058+0.00017887i,-8.5621e-05+0.00051746i,7.2697e-05+0.00044847i,9.5832e-05-0.00021493i,-0.00021866-0.00029747i,-0.00049118-0.00015966i,-0.00037943-0.00027354i,-2.9571e-05-0.00014928i,-0.00032182+0.00024117i,-0.00058981+0.00054818i
-0.0016375-0.00071799i,-0.00062475-0.001092i,0.00010576-0.0012785i,0.00060664-0.0004407i,0.00031991-0.00025334i,-0.0002158-0.00076929i,-7.0505e-06-0.00076647i,0.0003502-0.00026095i,0.000421+0.00045562i,0.00022023+0.0011531i,0.00066097+0.00063809i,0.00043597+0.00044692i,-0.00022967+0.00088803i,0.00014448+0.00093544i,3.1135e-05+0.00044202i,0.00030771+0.00034354i,0.00063244-0.00027214i,0.00022294-0.0006655i,-8.8867e-05-9.2277e-05i,-0.00060637+0.00029686i,-0.00071043+0.0010337i,-0.00022285+0.00037243i,-2.2135e-05-0.00075766i
4.3351e-05-0.0011653i,-0.00044511-0.00025758i,-0.00086508+0.00012031i,-0.001053+2.4019e-05i,-0.0010781-0.00012115i,-0.00053204+9.9867e-05i,-0.00071452+9.3868e-05i,-0.0004273-8.1376e-05i,0.00043342-0.00028035i,0.00059162-4.55e-06i,-7.816e-05+0.0003927i,-0.00029953+7.9831e-05i,-0.00010563+0.00054965i,-0.0002055+0.00073207i,-0.00065108+0.00028347i,-0.00063652+0.00025736i,-0.00029805-0.00039204i,-0.00060511-0.00018355i,-0.0011992+0.00014156i,-0.0002592-0.0001458i,0.00020631+0.00018232i,-0.0001836+0.00071184i,-0.00065228+0.00020628i
-0.00076327-0.00021069i,-0.00067492+0.00034048i,-0.00030221+0.00055912i,9.6827e-06+0.00036093i,0.00041748+0.0005721i,0.00077483+0.000555i,0.00039578+0.00011206i,0.0001469+0.00037025i,0.00036469+0.00028731i,0.00012231+0.00015886i,0.0001458+0.00083379i,0.00073783+0.0012907i,0.0013185+0.0012353i,0.00071074+0.00072518i,0.00023254-0.00034366i,0.00076242+0.00018907i,0.0011495+0.00064275i,0.0016866-0.00023832i,0.0015257-0.00063716i,0.00038255-8.3366e-05i,-6.1561e-05-0.00017121i,0.00013841-0.00036437i,-0.00012726-9.3894e-05i
-0.00067682-0.00018008i,-0.00049175+0.00075942i,-0.0001688+0.00051513i,0.00031564-0.00036827i,0.0001446-0.0011627i,-0.00074554-0.00080691i,-0.00046416+4.9044e-05i,0.00054313+0.00058182i,0.0004029+0.00089262i,-1.0356e-05+0.00048783i,-0.00040903+0.00020544i,-0.000487+0.00013731i,-0.00037876-0.0001055i,-0.00073904-0.00042637i,7.4892e-05-8.734e-05i,0.00088332+5.9022e-05i,-0.00036083-9.1652e-05i,-0.0014198-0.00016515i,-0.0010197+0.00017141i,-0.0002429+0.00023226i,-0.00038373+0.00014393i,-0.0003473+0.00032725i,0.00058044+0.00036769i
-0.00015121+5.677e-06i,-0.00029055+0.00083819i,0.00049388+0.00050794i,0.00068103-0.00074709i,0.00041941-0.0015533i,0.00010213-0.00094965i,0.00028897+0.00024182i,0.00057558-0.00047653i,5.9783e-05-0.0012459i,-0.00046971-0.00034737i,-0.00028423+3.4755e-05i,-0.00037703-0.00035268i,-0.0006639-0.0001055i,-0.00015138+0.00030209i,5.7679e-05+4.2413e-05i,-0.00052456-0.00033535i,-0.00044437-0.00011582i,0.00022981+0.00025588i,0.0010331-6.7864e-05i,0.00071927-0.00031792i,-9.0064e-05-7.6635e-05i,0.00030589-0.00014737i,0.00017548+0.00017104i
0.0011056-4.3256e-05i,0.0014363-0.00049846i,0.0014834-0.0012585i,0.00023805-0.0020795i,-0.00041895-0.0018226i,-0.00097975+8.9478e-05i,-0.0012521+0.00048004i,-0.00035084-0.00041495i,0.00060471-0.00025471i,0.00074513+0.0006496i,0.00063741+0.00065398i,0.00092236+6.6557e-05i,0.0004476+0.00020601i,-0.00019767+0.00069963i,-0.00056311+0.00069552i,0.00034312+0.00014576i,0.0010412-0.00027366i,0.00085496-0.00058014i,0.00097599-0.0006331i,0.00052461-0.0003594i,-0.00018585-0.00016495i,-3.9773e-05-0.00035214i,0.0006914-0.00029602i
-0.000357-0.0012888i,-0.00037526-0.00097476i,-0.0012927-0.0012504i,-0.00099559-0.00030773i,-0.00064737-0.00035533i,-0.00029375-0.00086762i,-0.00020753-0.00049244i,-0.00062526-0.00061267i,-6.9413e-05-0.0010829i,0.00028475-0.00035532i,-0.0003154+0.00076939i,-0.0003475+0.00059024i,-3.795e-05+0.00047057i,-0.00044392+0.00024758i,-0.00057587-0.00050953i,-0.00093399+0.00015446i,-0.00080598+4.9021e-05i,-0.00012524-3.9872e-05i,-0.00045545+0.00018827i,6.6105e-05-0.00079017i,0.0006688-0.0013299i,0.00018264-0.00080871i,-0.00037454-0.00037396i
0.0020155-0.00071266i,0.0012833-0.00061551i,0.00091523-0.00099924i,-6.1907e-05-0.0016336i,-0.0011425-0.0018158i,-0.0014748-0.00099586i,-0.0014042-0.00059677i,-0.00067136-0.00028389i,-5.6895e-05-0.00033472i,3.5246e-05-0.00065387i,-0.00018194+0.00024192i,-0.00088936+0.0011026i,-0.00042897+0.0006039i,9.5766e-05-1.3971e-05i,-0.00018525+0.00038093i,-0.00060972+0.0007978i,-0.00049469+0.00046978i,-0.00070393+0.00037243i,-0.00080887+0.00014381i,-0.00028105-4.1403e-05i,-4.0325e-05-0.00015267i,-0.00029004-0.00051633i,-0.00031613+0.0004176i
0.0013423-0.00020661i,0.00050407-0.0011945i,0.00015559-0.0021014i,0.00056633-0.0020858i,0.00083346-0.0012543i,0.00039728-0.00012827i,-0.00064925-0.00045393i,-0.00071094-0.001131i,0.00018636-0.0015452i,0.00046328-0.0010704i,0.0006869+0.0001448i,0.00074512+0.00065344i,-0.00029859+0.00061392i,-0.0015058+0.00047121i,-0.0015489+0.00073024i,-0.00097412+0.00035169i,-0.00038193-0.00019338i,0.00017629-0.0001753i,0.00033873-0.00020905i,-0.00055207-0.00041645i,-0.00061863+0.00010707i,0.00029501+0.00059159i,0.00054921-6.4718e-05i
0.00028339-0.0009634i,-0.00019686-0.0013212i,-0.00033578-0.0010913i,-0.00050522-0.00072042i,-0.00090462-0.00083257i,-0.00052091-0.00026428i,1.5624e-06+0.00038928i,0.00033476+0.00029976i,0.00060818+0.00019907i,0.00042336+0.00072739i,-8.1227e-05+0.00092322i,-0.00032423+0.00064201i,-0.00019554-1.9911e-05i,0.00047802-0.00033367i,0.0011872-0.00017214i,0.00097919+0.0006681i,0.00021885+9.361e-06i,-0.00063817-0.0013765i,-0.00089153-0.001064i,-0.00023801-0.00049858i,7.2324e-05-0.00021734i,-0.00022228-0.00052935i,0.00015479-0.00025803i
0.0010006+0.00049492i,0.00081781+0.00027916i,0.00078715+9.3421e-05i,0.0011602+0.0007195i,0.0014592+0.0005413i,0.001031+7.4886e-05i,0.00025127+0.00033373i,-0.00033343+0.0013277i,-0.00047765+0.0019977i,0.00093909+0.0012763i,0.0018261+0.00038914i,0.0011791+0.00045508i,0.00018383+0.00028425i,-0.00013266+8.086e-05i,0.00013198+0.00034174i,0.00018482+0.00032819i,-0.00013242-0.00035731i,0.00022843-0.00086031i,-5.1242e-05-0.00055202i,-0.00090922-0.00034907i,-0.0010269-0.0004063i,-0.00059251+0.00042367i,0.00010779+0.0010666i
0.00036539+0.00020884i,0.00028461+0.00082093i,0.00071897-9.2473e-05i,0.00075608-0.0010507i,0.00039407-0.00081822i,-0.00039202-0.00062126i,-0.00057457-0.00091194i,-0.0009237-0.00034371i,-0.00076824+0.0001066i,-0.00013268+0.00016142i,-0.00011407-0.00039471i,-0.00052749-0.00049151i,-0.0004607+0.00024144i,-0.00015024+0.00025822i,-0.0001531+5.2557e-05i,-0.00037498+1.1521e-06i,-0.00027307-0.00015962i,0.00051181-0.00036329i,0.00059942-0.00063649i,0.00025854-0.0009112i,-5.2457e-05-0.00028521i,-0.00017888+4.68e-05i,-0.00010027-4.3572e-05i
-8.984e-05-0.00086616i,0.00020825-0.0008526i,0.00054791-0.00079108i,0.00025846-0.00038565i,2.8357e-05-0.00034129i,-0.00044997-0.00063564i,-9.2339e-05-0.00018183i,0.00020273+0.00010827i,-0.00030702+4.0547e-05i,-0.00010253-7.6479e-06i,0.00016495-2.5749e-05i,-0.00019635+0.0003218i,0.00019907+0.00039932i,0.00067868+0.00070128i,0.00042095+0.00091256i,0.00023344+0.00095401i,0.00018332+0.00065833i,-0.00029151+0.00026404i,-0.00014704-2.1687e-05i,6.354e-05-0.00026712i,-0.00038935-0.00023973i,-0.000238-0.00033693i,-0.00026957+9.2715e-05i
-0.00013575+0.00074288i,-0.00044454+0.00052869i,0.00018554-0.00028045i,9.7137e-05-0.0010958i,-0.00040756-0.0010025i,-0.00044535-0.00095395i,0.00042892-0.00027047i,0.00056575+0.00040781i,0.00070211+9.83e-05i,0.0014262+0.00012566i,0.0011597-6.2087e-06i,0.00019588-0.00022745i,-0.00047666-0.00031475i,-0.0001421-4.2073e-05i,0.00097597+6.1447e-05i,0.00090343+0.00012367i,0.00063842+0.00017215i,0.00082419-0.00046168i,0.0011313-0.00029936i,0.0010498-0.00033489i,0.00032726-0.0012403i,0.00018652-0.0011018i,0.00021844-0.00065125i
-0.00062096-0.00012967i,-0.00047752+0.00091091i,0.0001574+0.00047221i,0.00040325+0.00014557i,9.3668e-05+0.00081237i,1.4273e-05+0.00028175i,-0.00039237-7.2089e-05i,-0.00068922+0.00055281i,-0.00088264+0.00092418i,-1.2362e-05+0.00079928i,0.00089542+0.00046562i,0.0008441-0.00094838i,0.0012104-0.0008858i,0.0015568+0.00016118i,7.0838e-05+0.00023956i,-0.00069629-9.0463e-05i,0.00018896-0.0001353i,9.6785e-05-0.00051432i,-3.4723e-05-0.00050601i,0.00034131-0.0002812i,0.00095481-0.0003276i,0.0010127-0.00070898i,0.00013844-0.00064995i
0.0010933+0.0022121i,0.0012257+0.0013354i,0.0018752+0.00048377i,0.0016561-0.00070313i,0.0012574-0.0011309i,0.00063768-0.00087348i,-4.3312e-05-0.00083094i,-0.00024903-0.00050709i,-0.00019077+0.00028596i,0.00013125+0.00040813i,0.00035709-0.00034093i,0.00012228-0.0008698i,9.8499e-05-0.00073703i,3.3788e-05-0.00085296i,-0.00011433-0.00049513i,2.682e-05+0.00016026i,-0.00023813-0.00036034i,-0.00020249-0.00059722i,0.00079899-0.00027371i,0.00072736-0.00024926i,0.0001456-0.00037051i,-0.00042962+0.00074488i,-0.0012129+0.0011745i
