-0.0032377+0.00042889i,-0.0020541+0.00019174i,-0.0026382+0.0012835i,-0.0018914+0.0022175i,-0.00043769+0.0035321i,0.00016496+0.0032795i,0.00022938+0.0027787i,0.0002566+0.0025105i,0.00051493+0.0017451i,0.0010837+0.001119i,0.0007277+0.00063149i,-0.00043641-0.00021131i,-0.00071748-0.0010976i,-0.00015841-0.0011579i,-0.00015841-0.0012084i,-0.0010665-0.00072727i,-0.0012373+0.00021229i,-0.00041314+0.00022362i,0.00044756+0.0005207i,0.00071787-0.00027777i,0.00071334-0.0010524i,0.00049167+0.00032875i,0.00075774+0.00059945i
-0.00019734-0.001213i,-0.00030905-0.0017246i,-0.00093906-0.0019818i,-0.001554-0.0012225i,-0.00062384+0.00010327i,0.00068668+0.0011845i,0.00063215+0.0012897i,0.00014604+0.00042495i,-0.00042422+8.2398e-05i,-0.00095356+0.00014644i,-0.00087045+9.5489e-05i,-0.0003731+4.9581e-05i,-0.00021739-0.00012459i,-0.00042015-0.00026993i,-0.00060897-0.00048556i,-0.00072618-0.00046805i,-0.00080484-0.00041033i,-0.00044262-0.00059441i,-0.00018843-0.00060626i,3.1037e-05+8.3003e-05i,0.00026681+0.0009256i,-0.00025514+0.00099523i,-0.0010983+9.0021e-06i
0.0012172-0.00099413i,-3.0452e-05-0.0013869i,-5.5493e-05-0.0010411i,0.00011725-0.00035037i,-0.00017516+0.00052266i,-5.3386e-06+0.00095763i,0.00040489+0.00063046i,0.00048769+0.00091103i,0.00045231+0.00093489i,0.00038541+6.0843e-05i,-1.2767e-05-0.0004215i,-0.00026595-0.00051365i,-0.00060202-0.00012439i,-0.00066827+0.00013186i,-0.00013987+1.2381e-05i,-0.00054761+0.00018685i,-0.0011338+0.00040492i,-0.0010165+0.00071766i,-0.00074301+0.00066598i,-0.00059152+0.00032051i,-0.00049365+0.00021028i,5.3418e-05-4.5747e-05i,0.00073876+3.9828e-05i
0.00029076+0.0025161i,0.00050657+0.0022969i,0.00074462+0.00017671i,-0.00015637-0.00072175i,-0.00035621+2.9723e-06i,0.00015749+0.00042544i,0.00038188-0.00029187i,0.00065807-0.00092552i,-0.00041695-0.00071737i,-0.0010344-0.00029233i,-0.0005883-1.7018e-05i,-0.00045971+0.00034453i,-0.00089719+0.00025327i,-0.0010736+0.00020828i,-0.0014905+9.6936e-05i,-0.0016247+0.0006571i,-0.0011763+0.00065789i,-0.0010001+0.00031137i,-0.00020619+7.8133e-05i,-0.00023907+0.00037151i,-0.0004267+0.00055304i,-0.00015859-0.00014281i,-0.00043365-0.00034447i
-0.00015986-0.0024513i,5.7749e-05-0.0022003i,-8.6553e-05-0.0018452i,-0.00066198-0.00049938i,-0.0013205+0.0011823i,-0.00062272+0.0021557i,0.0015049+0.0013636i,0.0020865+5.0998e-05i,0.00093105-0.00032197i,0.00014114-0.00046894i,-0.00062651-0.00032882i,-0.00095316+0.00051243i,-0.00079628+0.0010085i,-1.3247e-05+0.00071546i,-0.00010834+0.00032767i,-0.00091018+0.00033195i,-0.00089941-0.00024206i,-0.00054661-0.00076704i,-0.00035049-0.00022363i,0.00018958-0.00020112i,0.00044399-0.00017747i,-0.00020489+0.00037996i,-0.00050198+0.00053228i
0.00028462+0.00098356i,0.00054098-0.00074681i,0.00094773-0.0019534i,0.0012141-0.0017793i,0.0010406-0.0011201i,0.001002-0.0010129i,0.00066046-0.00083558i,3.6621e-05-0.00052742i,-0.00092969-0.00030241i,-0.0010936-7.7948e-05i,-0.00046814-6.1673e-05i,-0.00041704-0.0001905i,-2.9633e-05-0.00012934i,9.8595e-05-0.0004034i,-0.00018608+0.00019508i,-0.00023843+0.00069892i,-0.00031389+0.00048462i,-0.0012816+0.00047539i,-0.0014484-0.00010454i,-0.00062461-0.00042221i,-3.15e-05+0.00018707i,-0.00015797+0.00066866i,-0.00029923+0.0010523i
-0.0011458+9.4417e-05i,-0.0018502+0.00046983i,-0.0017885-0.00013469i,-0.00052891+1.1293e-05i,-0.0002073+0.0006055i,5.138e-05+0.00057053i,-1.8833e-05+8.2481e-06i,-0.00045268-0.0003646i,-0.00035824-0.00045771i,-4.8285e-05-0.00036843i,0.00013749+4.4657e-05i,-2.7279e-05+0.00037954i,-0.00063861+0.00037059i,-0.0011875+3.9155e-05i,-0.0013241-0.00043427i,-0.0010794-0.00064978i,-0.00061419-0.00049681i,0.0006093-0.000178i,0.001097+6.4888e-05i,0.00096171-0.00042719i,-1.3346e-05-0.00065496i,-0.00018022-0.00014131i,0.0008582+6.365e-05i
-0.0016228+0.00053788i,-0.00048028+0.0013283i,-7.8702e-05+0.001146i,-0.00031693+0.0016941i,-0.0002566+0.0026133i,0.00049007+0.0028237i,0.00058948+0.0024485i,-0.00046614+0.00077808i,-0.00081675-0.00025433i,-6.0886e-05+0.00036664i,0.00029296+0.00099085i,-1.5988e-05+0.00068265i,3.0208e-05-0.00013732i,0.00011151-0.0002722i,9.1917e-05-0.0002672i,0.00015838-0.00075194i,7.303e-05-0.00038133i,0.00027775+0.0002668i,3.1534e-05+0.0011388i,0.00012503+0.0015552i,0.00035147+0.0012375i,-0.00014036+0.00030873i,-0.00057185-0.00067337i
0.00052132+0.00013042i,0.0016603-0.00058152i,0.0017273-0.00075591i,0.00030861-0.0010117i,0.00033246-0.0011257i,0.00097846-0.00032158i,0.00062457+0.00060893i,-2.2447e-05+0.00091986i,-0.00013595+0.00055882i,-0.0008472-0.00036678i,-0.0017926-0.00064771i,-0.0013645-9.2087e-05i,-0.00055244+6.2829e-05i,-8.3686e-05-0.00028045i,0.00025315-0.00012033i,6.8427e-05+7.1498e-05i,-0.00010859-0.00029744i,-9.211e-05+0.0006787i,-2.8923e-05+0.00074869i,7.2912e-05-9.8203e-05i,0.00013525-0.00025804i,-0.00063068+0.00021768i,-0.00043365+0.00068118i
-0.0019221+0.0011729i,-0.0022346+0.000832i,-0.0018905+0.00042336i,-0.00064738+0.0011819i,0.00021641+0.0015621i,0.00094482+0.001227i,0.00055743+0.0010358i,-0.0003258+0.00064892i,-0.00046228-5.5308e-05i,-0.00032195-0.0010019i,-0.00062219-0.00036369i,-0.0011579+0.00079733i,-0.0012856+0.00026954i,-0.00048724+0.00047805i,-0.00042727+0.00090225i,-0.00071538+0.00090015i,-0.00060044+0.00087006i,-0.00076432-0.00034028i,-0.00095696-0.0013319i,-0.00049897-0.0011429i,0.00021785-0.00019138i,0.00044405+0.00050774i,-0.00021991-0.00033353i
-0.00043398-9.0003e-05i,-0.00054885-0.00011928i,-0.00033283-0.0003046i,7.9568e-05+0.00031003i,0.0010949+0.0018776i,0.0005538+0.0017961i,-0.00033799+0.00048833i,0.0002236+0.00020791i,0.00065687+0.00058803i,-0.00045258+0.000763i,-0.0011405+0.00098341i,-0.00033331+0.0010343i,5.2846e-05+0.00026399i,-0.00022199-2.5389e-06i,-0.00032571+6.9237e-05i,-0.00099437-0.00059315i,-0.0013148-0.0010017i,-0.00060129-0.00089242i,-0.0003421-0.00072194i,-0.00010752-0.00064887i,0.0003249-0.0013577i,0.00054935-0.00072863i,0.00028573+0.00010367i
0.00041506+0.0010497i,0.0013816+0.00098723i,0.00081399+0.0005603i,-0.00024444+0.00038291i,-0.00076444+0.00033893i,-0.00092599+0.00064405i,-0.00062081+0.00081934i,-0.00049741+0.00027212i,-0.00028409-0.00073982i,-3.0869e-05-0.00033086i,-0.00024829-0.00017067i,-0.00010245-0.0011233i,0.00015625-0.0014284i,-9.8241e-05-0.00035548i,0.00016481+0.00095724i,0.00062119+0.00082709i,0.00058801-0.00050097i,-0.00012262-0.0010606i,-0.00021794-0.0002691i,-0.00024428-0.00025784i,-0.00021167-0.00083747i,3.0818e-05-0.00053544i,-0.00071134+2.5933e-05i
-0.00035711-0.0015848i,0.00055885-0.0017111i,-6.6228e-05-0.0016798i,-0.0010571-0.00028672i,-0.00071939+0.0013781i,-0.00075919+0.0017874i,-0.00058832+0.0010909i,-0.00019298+4.4584e-06i,-0.00056175-0.00054475i,-0.00048592-0.00038344i,-0.00027249-0.00048993i,0.00030329-0.00035054i,0.00033689-0.00076974i,-0.00047989-0.00093503i,-0.000379-0.00045714i,-0.00041305-0.00022401i,-0.0011337-0.00036697i,-0.0013625-0.00015416i,-0.0012705-0.000384i,-0.00074509-0.00030668i,-0.00040074+0.00057367i,-0.00046823+0.00068804i,-0.00043882-1.8198e-06i
0.0008231+0.00017035i,0.0012038-0.0010508i,0.0010515-0.0014128i,0.00025013-0.00066893i,-0.00087906+0.00036747i,-0.0011275+0.0018932i,-0.00085593+0.0023893i,-0.0008212+0.0011326i,-0.00044786-0.00040959i,-0.00059878-0.00060008i,-0.00081168-0.00088529i,-0.00029356-0.00088202i,8.3102e-05-0.00020957i,-0.00022784-0.00026161i,-0.00088733+1.0525e-05i,-0.0010881+0.00033687i,-0.00085699-0.00050153i,-0.00040808-0.00076471i,0.00060315+7.8815e-06i,0.00073801+2.317e-05i,0.00056791+6.1635e-05i,8.0176e-05-0.00017072i,-0.00026486-0.00016612i
-0.00066502+0.0015507i,-0.00020019+0.00078919i,0.00014153+0.00034096i,0.00017741+5.3706e-05i,0.00020348-0.00038055i,0.00046482-0.00050871i,0.000381-0.00025971i,-0.00025018-1.0274e-05i,-0.00022517-0.00033804i,-0.00017592-0.0008027i,-0.00043908-0.00032505i,-0.00069203+1.6485e-05i,-0.00025028-0.0001092i,1.2585e-05-9.9501e-05i,0.00020058+0.00017788i,2.1776e-05+0.00031021i,-0.00083118+5.8185e-05i,-0.00029727+0.00024887i,0.0006949+0.0010846i,0.00074237+0.00080473i,0.00064663+0.00029215i,0.00017811-9.1593e-08i,-0.00029038+0.00035357i
-0.00021987+0.00064703i,-0.00021507+0.00037301i,-0.00096893-0.00039021i,-0.0013145+0.0003746i,-0.0010369+0.0022795i,-7.3924e-05+0.0026774i,0.0012651+0.0016891i,0.0014016+0.00085227i,0.00047683+0.00014693i,-0.0012248-0.00028245i,-0.0017429+0.00016449i,-0.0010471+0.00071333i,-0.00093743+0.0003507i,-0.00054141-8.1817e-05i,-0.0001593-0.0002205i,-0.00050183-0.00028358i,-0.00087306-0.00019888i,-0.00096184-0.00049902i,-0.00038937-0.00071136i,-7.7482e-05-0.00018598i,-0.00020727+0.00031539i,-6.0089e-05+0.00019164i,0.00011058-0.00016347i
0.00031615-0.00058434i,0.00022613-0.0010023i,0.00017433-0.00045444i,0.00023487-0.00026985i,0.00076732+4.8331e-05i,0.0016038+0.00018393i,0.001249-0.00047539i,-6.0098e-05-0.00086522i,-0.0009595-0.00081379i,-0.0010191-0.00064523i,-0.00078298-0.0007299i,-0.00034877-0.00050843i,8.698e-05-0.00039475i,9.2751e-05-0.00015527i,-0.00015256-3.0443e-05i,-0.0007361-0.00047834i,-0.0008421-0.00049068i,-0.00022433-0.00053121i,0.00032715-0.00091266i,-4.9294e-05-0.00082084i,-0.00033853-0.00035311i,-0.00050662+0.00021917i,-0.00087748-0.00037117i
-0.00050435-0.00045628i,-0.00012535+0.00017538i,0.00057986-0.0004464i,-0.00033831-0.00044969i,-0.0008967+0.00058939i,-0.00061293+0.0015785i,-0.00087806+0.0013235i,-0.00080095+0.00023616i,-0.00070292-0.00032249i,-0.0013257-8.8587e-05i,-0.0013997+0.0004699i,-0.00047675+0.0007142i,0.00026284+0.00011338i,0.0010103+0.00029477i,0.00075167+0.00037751i,-2.0247e-06-0.00025832i,-0.00046612-0.0010479i,-0.00057746-0.00070722i,-0.00057924+0.00025047i,-0.00017433+5.7854e-05i,-6.3436e-05-0.0009473i,0.00013629-0.00073182i,0.00051805-0.00032823i
0.0015221-0.0014153i,0.0019091-0.0025331i,0.0012936-0.0018882i,0.00018534-0.00071693i,3.921e-06-0.00054277i,0.00063169-9.4786e-05i,0.0010622+0.0013321i,0.00050428+0.0015273i,-0.0005977+0.00015334i,-0.00057145-0.00062642i,-0.00059291-9.9744e-05i,-0.00065332+0.00043475i,0.0004036+7.7455e-05i,0.0008575-0.00019528i,0.00013228+0.00011554i,-0.00077745-0.00012471i,-0.00027061-0.00030222i,0.00023875+0.00013496i,3.8547e-05+0.00059814i,0.00037885+0.00011987i,0.0004382+0.00018164i,0.00064069+0.00049829i,0.00013826+0.00027753i
-0.00087884-0.00084328i,-0.0016274-4.536e-05i,-0.0017628+0.00027901i,-0.0016556-0.00067805i,-0.0010012-0.00064914i,0.00056231+0.00070259i,0.0009013+0.0011145i,0.00025462+0.00057456i,-0.0002216+1.5419e-05i,-0.00070559-0.000395i,-0.00059399-0.00016454i,4.6442e-05+0.00039758i,-4.0449e-05+0.00067717i,-0.00028823-1.6842e-05i,-0.00058948-0.00076238i,-0.001211-0.00065423i,-0.0010445-0.00035956i,-3.5528e-05-0.00010424i,0.00049594+0.00029096i,-0.00011677+0.00015354i,-0.00028504-0.00026471i,-0.00039356-0.00031773i,9.307e-05+0.0001179i
-0.00057485-0.001896i,-0.0011598-0.00089872i,-0.00020826-0.00020442i,4.3832e-05-0.00075764i,-5.1633e-05-5.2201e-05i,1.5331e-05+0.0013697i,-0.00042826+0.001076i,-0.0005376+0.00017101i,-0.00031349-0.00047527i,2.3195e-05-0.00089562i,-0.00062126+9.3119e-05i,-0.0002524+0.00099284i,0.0002789+0.0010144i,-0.00032603+0.00084614i,-0.00055043+0.00075608i,-0.0009221+0.00065386i,-0.0010007+0.00089786i,-0.00069143+0.0012378i,-0.00042083+0.00075193i,3.2902e-05+0.0005311i,0.00023216+0.00015011i,-0.0003441-0.00027029i,0.00015941-0.00019707i
0.0017187+0.00097256i,0.0017922+0.0016815i,0.0012423+0.0016077i,0.00068522+0.0014202i,0.00038959+0.0020675i,-0.00010973+0.0015496i,-0.00062433+0.00031053i,8.7906e-05-0.00071897i,0.00043279-0.0012402i,5.5031e-05-0.0010534i,-0.00031519-0.00031413i,-0.00039149-6.1905e-05i,-0.00023436-0.00030864i,-0.00047901-0.0001008i,-0.0001565+0.00052403i,-9.9041e-05+0.00022462i,-0.0004041-0.00074803i,-0.00045898-0.00055033i,-0.00039344+6.0403e-05i,-0.00015901+0.00060107i,0.00025568+0.0011384i,0.00025068+0.0011684i,9.4635e-05+0.00040994i
-0.0009526-0.00068819i,-0.00010934-0.0029979i,0.00040918-0.0036576i,-0.00018823-0.0029295i,-0.00018062-0.0021243i,0.0002728-0.0012857i,0.00045365-0.00066143i,0.00059828-6.5549e-06i,0.00043185+7.481e-05i,0.00036899-0.0002541i,0.00026771+8.7807e-05i,1.0404e-05+0.00096319i,-0.0007259+0.00086024i,-0.0011018+0.00041433i,-0.0014821+0.00032354i,-0.0014772-0.00020581i,-0.0011786-0.001072i,-0.00088994-0.00061008i,-0.00017063+0.00054119i,0.0003682+0.00074533i,0.00098319+0.00041633i,0.00040183-7.2085e-05i,-0.00048654-0.00038936i
0.0015295-0.0019511i,0.0011639-0.0017785i,-3.8484e-05-0.00011953i,-0.00048958+0.00018196i,-0.00028454+0.00036024i,-0.00020521+0.00080477i,-0.00011944+0.00053665i,5.7823e-05+0.00016457i,4.4328e-05-0.00014459i,-0.00019986-0.00060446i,-0.00057734-0.00041318i,-0.00074456+6.3463e-05i,-0.00047468+0.00015775i,-0.00090773+0.00022802i,-0.00070253+0.00047704i,-0.00037301+0.0004457i,-5.2121e-05+2.5648e-05i,0.00051527+0.00024269i,0.00069857+0.00046046i,0.00034507-0.0001522i,0.00083774-0.00099822i,0.0013682-0.00065134i,0.00028381+0.00030125i
-0.00068958+0.0026904i,-0.00027635+0.0019053i,0.00070125+0.00061447i,0.0010823+0.00013663i,0.00080736-8.4611e-05i,0.00010262-0.00020931i,0.00010827+0.00049875i,0.00024342+0.00099751i,0.00028181+0.00059805i,0.00050495+8.9093e-05i,0.00066277+9.954e-06i,-0.00020522+0.00011486i,-0.0011947+7.0654e-05i,-0.00084079+0.00044391i,-0.00067411+0.0007991i,-0.00069989+0.00042274i,-0.00030717+0.00044677i,-0.00036263+0.00056847i,5.954e-05+0.00056789i,0.00044257+0.00070814i,0.00026948+0.00017627i,-5.7181e-05-0.00014305i,-0.00012757+0.00069216i
-0.0011553-0.00056459i,-0.00040883-0.00044865i,6.1293e-06+0.00030227i,-0.00079179+0.001042i,-0.00081523+0.0013402i,0.00044334+0.0019305i,0.00084917+0.0015548i,0.0007985+0.00027583i,0.00036464-0.00046244i,-0.00019414-0.00032699i,-5.1371e-05+0.00079098i,-0.0002689+0.0019503i,-0.00063373+0.00061801i,-0.00035269-0.0011016i,0.00052694-0.00052619i,0.00053204+0.00042339i,0.00022484-5.1592e-05i,0.00041577-0.0010064i,0.00052172-0.0008194i,0.00065414-5.1413e-05i,0.0002518+0.0010598i,-9.1966e-05+0.0013419i,2.9317e-05+0.00049299i
0.00096802+0.0004383i,0.0020513+0.00077928i,0.0024738+0.00085409i,0.0018904+0.00033695i,0.001233+0.0007787i,0.00012127+0.0012342i,-0.00060004+0.00045562i,-0.00043489+0.00051371i,-0.00012996+0.00045177i,-8.9099e-05-5.5403e-05i,-0.00071925-0.0001446i,-0.00095586-0.00028077i,-0.00070295+8.3644e-05i,-0.00088298+0.00013977i,-0.0004877-1.1373e-05i,-0.000355-0.00012917i,-0.00033232+1.3056e-05i,0.00043397+0.00015431i,0.00060963-0.00061002i,0.0006975-0.00067105i,0.00074496+0.00020415i,6.7372e-05+0.0001171i,-0.00028176-0.00054692i
0.0019312-0.00037101i,0.0014152-0.00024613i,0.0001447-0.00050274i,-0.00034946-0.000628i,0.0004334-0.00029374i,0.001166+0.00053647i,0.00068622+0.00096226i,-0.00026795+0.00011945i,-0.00051689-0.00087068i,-5.7778e-05-0.0011705i,0.00036386-0.00047659i,6.8634e-05+5.8784e-05i,-0.00055926-0.0007259i,-0.001113-0.00086774i,-0.0011684-0.00027793i,-0.00058914+0.00021697i,-0.00043271+0.0001493i,-0.0006912+0.00036289i,-0.00080983+0.00068043i,-0.00092656+0.00027277i,-0.00061503+3.1987e-05i,0.00033002+0.00038996i,0.000625+0.00042511i
-0.001511+0.00052313i,-0.0012181+0.00089043i,-0.00048768+0.0010516i,0.00078003+0.0010431i,0.00079972+0.0007437i,0.00014999+0.00039026i,-0.00038311+0.00027032i,-0.00078943+0.00035715i,-0.00071237+0.00044968i,-0.00070907+0.0007461i,-0.00086722+0.00031109i,-0.0012113+8.5762e-05i,-0.0010276+0.00015514i,-0.00019797+0.00017369i,3.0691e-05+0.00035943i,-0.00053347-7.3405e-05i,-0.00033058+0.00012832i,4.4495e-05+0.00095161i,-0.00012224+0.00091664i,0.0001599+0.0010644i,0.0001652+0.001017i,3.662e-05+0.00063657i,7.542e-05+0.00048664i
0.0017443+0.0011163i,0.0021341+0.00087924i,0.0012091+0.00076644i,6.4722e-05+0.00079885i,-0.00012963+0.0010245i,0.00043873+0.00072467i,0.00036498+0.00022727i,0.00020486+0.00013566i,0.00030989+0.00020809i,9.7893e-05-0.0003118i,-0.0002109-0.00085648i,-0.00020416-0.0014918i,0.00021137-0.001371i,-9.431e-05-0.00024636i,-0.00035722+7.525e-05i,-0.00021109+0.00037353i,-0.00039812+6.6919e-05i,-0.00080192-0.00046346i,9.2073e-05-0.00058152i,0.00082902-0.00030046i,0.0011007+0.00010619i,0.0011108+0.00025488i,2.6972e-05-0.00014066i
