0.00052337+0.0011867i,-0.00048372+0.0012387i,-0.0013009+0.0017176i,-0.0017069+0.0018469i,-0.0014397+0.0014922i,-0.0012964+0.0010511i,-0.0015244+0.00095079i,-0.0012641+0.00068431i,-0.00097574-0.00015198i,-0.00085389-0.00015033i,-0.00036097+0.00015495i,0.00018905-0.00022331i,0.00066355-0.00089683i,0.00098371-0.00036622i,0.00070045-9.0222e-06i,0.00077447-9.5611e-05i,0.00095937+0.00016346i,0.0012494-8.4885e-05i,0.0011352-0.00015145i,-6.357e-05-0.00026631i,-0.00044835-0.00060867i,3.8831e-06-0.00079552i,-0.00013161-0.00035017i
1.0532e-05+0.00036261i,-0.00064641+0.0013493i,-0.00047668+0.0021528i,-0.00094782+0.0025553i,-0.00090495+0.0027462i,-6.2329e-05+0.0023463i,-8.3804e-06+0.0014326i,-0.00050699+0.00013692i,-0.00063258-0.00087266i,-0.0010694-0.0011428i,-0.0011129-0.0013204i,-0.0006318-0.0014463i,-0.00039167-0.0015409i,0.00018779-0.00072231i,0.0010291+0.00029315i,0.0011103+0.00028469i,0.0009112-7.2621e-05i,0.00052824-0.0005219i,-0.00066117-0.00052222i,-0.0014794-0.00055054i,-0.00069548-0.0002393i,0.00029694-3.4394e-06i,0.00068931-5.3439e-05i
-0.001373+0.0004998i,-0.0012895+0.00040928i,-0.0017635+0.00030285i,-0.0019967+0.0013029i,-0.001477+0.0019236i,-0.0011795+0.00080622i,-0.0012602+0.00058222i,-0.0010796+0.0012459i,-0.00065019+0.0012432i,-0.00043026+0.00088048i,-0.00037855+0.00080727i,-0.00023458+0.00081128i,7.0487e-06+0.00017972i,-0.00017879-0.00023i,-3.0624e-05+1.7218e-05i,0.00028178-0.00027202i,0.00096902-0.0012138i,0.00097391-0.0012452i,0.00023558-0.00040748i,0.00041358-0.00032816i,0.00051856-0.00038019i,-3.8041e-05+0.00020198i,-0.0009062+0.00038526i
-0.0007736-0.0012884i,-0.0029291-0.0010673i,-0.0035204-0.0008963i,-0.0024049-5.598e-05i,-0.0012043+0.00039451i,-0.00046501+0.00046435i,-0.00067629+0.00034282i,-0.0012361+0.00016662i,-0.001304-0.00037246i,-0.0011697-0.00039788i,-0.00036566-3.2467e-06i,0.00012306+0.000411i,0.00050948+0.00058535i,0.00099387+0.00010849i,0.00048044-0.00026423i,0.00052362+3.8188e-05i,0.00067524+7.6134e-05i,0.00016853-0.00019279i,3.0737e-06-0.00039604i,-0.00047527-0.00043242i,-0.0012955+1.2141e-05i,-0.00056766-3.8077e-05i,0.00041159+0.00011568i
-0.0028733+0.0013941i,-0.002407+0.002079i,-0.0026095+0.0025357i,-0.0020465+0.0029681i,-0.0006361+0.0031533i,-0.00019787+0.0021124i,-0.0006597+0.0016789i,-0.00081402+0.00096733i,-0.0010249+0.00037896i,-0.00048663+0.00088856i,-0.00022127+0.00074358i,-0.0003887+0.00035418i,0.00021452+0.00027995i,0.00047538+0.00089593i,0.00061577+0.0010201i,0.00020162+0.00054237i,-0.00036359-8.4053e-05i,-0.00013946-0.00061084i,-0.00044719-0.00080945i,-0.0013646-0.00089932i,-0.0011294+8.0331e-05i,-0.00021265+0.00061413i,0.00052281+0.0004622i
-2.2044e-05+0.001432i,-0.00062596+0.0014257i,-0.00049462+0.002647i,0.00057851+0.0031624i,0.0010233+0.0020283i,-0.00014277+0.00071984i,-0.00070607+0.00089024i,-0.00068752+0.00095439i,-0.0010076-1.9012e-05i,-0.00050004-0.00055451i,0.00036207-0.00011866i,0.0005302+0.00042489i,0.0004109+0.0010389i,-0.00022242+0.00076088i,-0.00022131+2.1552e-05i,0.00047546-7.9047e-05i,0.0013228-0.0002413i,0.0013721-0.0002623i,-5.1712e-05+0.00053896i,-0.00035238+0.00024294i,0.0001026-0.00052838i,-8.0954e-06-5.1259e-05i,0.00049699+2.8306e-05i
-0.0024343+0.0014394i,-0.0019662+0.0011639i,-1.1816e-06+0.0018135i,0.00086583+0.0026245i,0.00034933+0.0025988i,-0.0005152+0.0013928i,-0.0010959+0.00057532i,-0.00093391+0.00040614i,-0.00051278+0.00087985i,-0.00041724+0.00077773i,0.00031121+4.6791e-05i,0.0012769+0.00016934i,0.00090733+0.00032223i,0.00030043+0.00033218i,0.00043037+0.00030919i,7.0875e-05-0.00018408i,-0.00024837-2.6009e-05i,-0.0001612+9.779e-05i,-0.00041483-0.00048398i,-0.00065202-0.00087073i,-0.000552-0.0003701i,0.00019954-0.00019404i,0.00077633-0.00016246i
-0.00084796+0.00016338i,-0.00080426-0.00081879i,-0.0015204-0.00077261i,-0.0012627+0.0012038i,-0.00046991+0.0014719i,0.00021092+0.00022811i,-0.00038699-0.00040225i,-0.0010388-0.0010822i,4.8545e-05-0.00080995i,0.00027312+0.00034544i,-0.00092859+0.00050427i,-0.00042144+0.00040686i,0.00093066+4.5792e-05i,0.0013251-6.5513e-05i,0.00092513+0.00015157i,0.0010199+0.00022279i,0.001392+4.3934e-05i,0.0014377-0.00022448i,0.0011582-0.00031621i,0.00026511-0.00020235i,-0.00060429-0.00047228i,-0.00067082-0.00062905i,-0.00039035-0.00064089i
0.00083929+0.0012634i,0.0013018+0.0010575i,0.00011797+0.00083061i,-0.0016296+0.0011991i,-0.0012631+0.001668i,-0.0011555+0.0017496i,-0.0018525+0.0016029i,-0.0017641+0.00090602i,-0.0010159+0.00055543i,-0.00064916+0.00083938i,-0.00026141+9.9689e-05i,0.00016161-0.00085772i,0.00011717-0.00052148i,0.00062562-2.1678e-05i,0.0013587+0.00079037i,0.0015908+0.00071293i,0.0013926+0.00025748i,0.0012686-8.9039e-05i,0.0010219-0.0011434i,0.00063212-0.0014405i,0.00025899-0.00082782i,0.00058283-0.00028474i,0.00059711-2.9483e-05i
-0.0024357-0.0034598i,-0.0033425-0.0029646i,-0.004287-0.0015813i,-0.0044483-0.0004074i,-0.0035001-0.00012426i,-0.0022016-9.9131e-06i,-0.0012782+0.00059367i,-0.0011302+0.0010056i,-0.001562+0.00055925i,-0.0017947+0.00092502i,-0.001695+0.0017091i,-0.00055651+0.0012758i,0.00050345+0.001074i,0.00083759+0.0009539i,0.00087523+6.5395e-05i,0.00089583-0.00047215i,0.00084112-0.00029378i,0.00079697-0.00068443i,0.00028488-0.0012761i,-0.00021263-0.00081452i,0.00028739+0.00021569i,0.00021806+0.00027498i,-0.0006068-2.3501e-05i
