-0.00079042+0.0006139i,0.00041623+0.0013005i,0.0020016+0.0016778i,0.0018764+0.0011795i,0.00045211+0.00021861i,-9.3376e-05+4.5157e-05i,-0.00022208-0.00013838i,-5.713e-05-0.00093586i,0.00014525-0.0011755i,0.0003073-0.00069838i,0.00036851+5.1389e-05i,0.00038041+0.00078013i,0.00046998+0.00048929i,0.00099804+0.00017378i,0.00059084+0.00033823i,-0.00015001-0.00037064i,-5.1453e-05-0.00063688i,-6.0277e-05-0.00018072i,-0.00063697+3.4621e-05i,-0.00090594+3.6285e-05i,-0.00074381-0.0004993i,-6.1579e-05-0.00046083i,0.00021115+0.00047508i
-0.0026962+0.00095255i,-0.0023264+0.0014037i,-0.002627+0.001944i,-0.0012277+0.00057826i,0.00018116-0.0013121i,0.00038761-0.0014377i,-0.00010607-0.0012407i,-0.00082011-0.0012436i,-0.00079364-0.0007923i,-0.00025713-0.00062767i,0.00012656-0.00063054i,0.00018761-0.00035392i,0.00021061-8.0606e-05i,0.00073125-9.5893e-05i,0.00063461-0.00025609i,0.00032991-0.00036812i,0.00048323-0.00061131i,0.00058526-6.5716e-05i,0.00045907-0.00028485i,-0.00015301-0.00025943i,-0.00043599+0.00015976i,0.00055629+0.00051069i,0.00098267+0.00078318i
0.00072915-0.00029894i,0.00068519+0.00066733i,-0.0011512+0.00093926i,-0.0026824+0.0010149i,-0.0023561+0.001631i,-0.00075114+0.0013195i,0.00019259+0.00082739i,0.00023387+0.00092131i,-0.00017068+0.0002526i,-0.00056568-0.00047009i,-0.00078814-0.00043677i,-0.00022276+8.5005e-05i,0.00013471+0.00053072i,-0.00024734+0.00074399i,-0.00068732+0.00098228i,-0.00017712+0.0009847i,0.00017044+0.00023204i,0.00013212-0.00032795i,0.00076971+0.00029134i,0.00072457+0.0011842i,-0.00049893-0.00030339i,-0.0014587-0.0013988i,-0.0011031-0.00044799i
0.00016191-0.00081978i,0.0007428-0.0007157i,0.00090289-0.0014018i,0.00099843-0.0020903i,0.0010767-0.0012976i,0.0013946-0.00084372i,0.0013604-0.00090386i,0.00077679-0.00025551i,-0.00012068+0.00034252i,-0.00016758+0.00058561i,-3.3914e-05+0.00067907i,-0.00039064+0.00022654i,-0.00059478-0.00042021i,-0.00057614-0.00042213i,-0.00018101-0.00059014i,0.00047058-0.00059188i,0.00062698-0.00058362i,0.00026172-0.0011654i,-0.00076844-0.00085397i,-0.0010619+0.00042338i,-4.4969e-05+0.00073784i,0.00083884+5.5733e-05i,0.00031677-0.00021464i
0.0015308+0.00017365i,0.0012133-0.00033279i,0.00022641-0.00081155i,-0.00081807-0.00073236i,-0.0004747-0.00031806i,-0.00043908-8.0921e-05i,-0.00044344-0.0004629i,-0.00030929-0.00093291i,-0.00075214-0.00037804i,-0.00035478+0.00051208i,-1.1717e-05+0.0009486i,-0.00085626+0.00066063i,-0.00093914+0.00052628i,-0.0006052+0.00040474i,7.771e-05-0.00012687i,0.00073226+0.00021886i,0.00097137+0.00024685i,0.0015468-0.00014949i,0.0010075-0.00021327i,-5.6159e-05-5.7508e-05i,-0.00071616+0.000294i,-0.00040716+0.00027428i,-4.842e-05+0.000464i
-0.00018485-0.0012082i,0.00012095-0.001235i,-0.00021443-0.00079485i,-0.00054986-0.00010617i,7.2317e-06-0.00087303i,0.00054863-0.0012759i,0.00021882-0.00058575i,-0.00051172-0.00030802i,-0.00074541-0.00080059i,-0.00057865-6.2096e-05i,-0.00044475+0.00074753i,-0.00045685+0.0006503i,0.00018845+5.8865e-05i,0.00067355-0.00020999i,0.00054698-0.00026218i,0.00034544-0.00034904i,-0.00022273+9.0996e-05i,-9.3762e-05+0.00034707i,-0.00042343+3.3247e-05i,-0.00047752-0.00075117i,-8.8848e-05+0.00023675i,8.3107e-05+0.00099145i,-2.1474e-05+0.00039158i
-0.00048356-0.0014825i,-0.0012555-0.0012953i,-0.0024577-0.0017264i,-0.0028334-0.0011597i,-0.0022951-0.00027582i,-0.001447+0.00011865i,-0.00065596-6.3035e-05i,-0.00058794-0.00050098i,-0.00042088-0.00044109i,-9.5578e-05-0.00055051i,5.7118e-05-0.0004098i,0.00015369-3.5622e-05i,4.1816e-05+0.00017493i,-0.00027243+7.4112e-05i,0.0003954+0.00013656i,0.0010149+0.00053363i,7.0985e-05+0.00063768i,-0.0006248+0.00068052i,-0.00018067-6.9097e-05i,0.00024705-0.00041341i,0.000238-0.00055453i,0.00012523-0.00098751i,0.00024426-0.00038348i
-0.0017625-0.00032898i,-0.00052574+0.0008484i,0.0010468+0.0021683i,0.0019453+0.0018713i,0.0025973+0.00099321i,0.0025958+0.00014689i,0.0017216-0.00077477i,0.0010195-0.0010487i,0.00072424-0.00036444i,0.0010969-0.00017523i,0.0012796-4.0419e-05i,0.00078661+0.00032629i,0.00035575-0.00027161i,0.00077129-0.00081594i,0.0011876-0.00042111i,0.00061162+0.00042004i,-0.0001274+0.00038932i,-0.0002078-0.00040564i,0.00013834-0.00035468i,0.00018892+0.00029112i,0.00049263+0.00031487i,0.0004215+0.00045689i,0.00034413+0.00037783i
-0.00063202-0.00040407i,-0.00085467-0.001506i,-0.00055033-0.0019162i,4.475e-05-0.0016925i,0.00062388-0.0011071i,0.00047178-0.00096015i,0.00033298-0.0014624i,0.00060776-0.0013354i,0.00067916-0.00084145i,0.0004279-0.0011503i,0.0001556-0.00091345i,0.00027372+0.00047706i,0.0009806+0.0006848i,0.0011423+0.00015256i,0.00082307+0.00017507i,0.00057848+0.00055468i,0.00083019+0.00051582i,0.0010541+0.00062058i,0.00059171+0.00093938i,4.5291e-05+7.0817e-05i,-0.00046699-0.00070393i,-0.00089423-0.00017483i,-0.00026118+0.00042739i
4.2658e-05+0.0018475i,-0.00061577+0.0016764i,-0.00028259+0.0023108i,0.00050979+0.0022738i,0.00077183+0.0014166i,0.00035005+0.00034145i,0.00015614-0.00019343i,0.00025248+0.00051862i,0.00081108+0.00093932i,0.0011858+0.00022284i,0.00023577-0.00019519i,-0.00034563-0.00032521i,0.00071217-5.0693e-05i,0.0010024-0.00057726i,0.00024001-0.0017423i,9.0141e-05-0.0012293i,0.00028265-0.00029537i,0.00029457+0.0003151i,-0.0001815+0.0007183i,-0.0003254+0.00079548i,4.3428e-05+0.00035472i,0.00021583+0.00021701i,0.00034835-0.00032996i
