-0.0020988-0.00035189i,-0.0036171-0.00089888i,-0.0046756-0.00053389i,-0.0036379-0.00033941i,-0.0033273+0.00031006i,-0.0026652+0.00089341i,-0.00067907+0.001179i,0.00058583+0.0013959i,0.00090182+0.0011432i,0.00051989+0.00046071i,-2.6456e-06-0.0003598i,-0.00034811-0.00014436i,-0.00090408+0.0006016i,-0.00057899+0.00071943i,-5.9531e-05+0.00052131i,9.1246e-05+0.00012446i,0.00023401-0.00040086i,-0.00015577+8.1792e-05i,-0.00039315+9.0827e-06i,-0.000266-0.00017422i,-0.00030458-0.00038017i,-0.00035697-0.00050492i,-9.2816e-05-0.00057006i
-0.00056552+0.0016724i,0.00034831+0.0017512i,0.00060347+0.0025495i,0.00041311+0.0024659i,0.00039085+0.0010875i,0.00051979+0.0001433i,0.00041702+0.00019339i,0.00080658+0.00071341i,0.0013467+0.0010714i,0.0010271+0.00029728i,0.00041735-0.00040457i,0.00038308-0.00054706i,0.0007379-0.00069214i,0.0012124+0.00017695i,0.00082009+0.00030496i,-0.00022618-0.00052654i,-0.00022079-0.00016831i,-0.00050128+0.00025165i,-0.00067519+0.00021924i,-0.00049543+2.1125e-05i,-0.00057512-0.00014219i,-0.00051588-0.00014724i,-0.00048968+0.00017183i
-0.002108+0.0014835i,-0.00073387+0.00026879i,-0.00019497+0.00043704i,-0.00052811+0.00074054i,-0.00096392-5.7985e-05i,-0.0011104-0.00038809i,-0.00019193+0.00058501i,0.0010463+0.00099486i,0.0013623+0.00084919i,0.00097898+0.00071364i,0.00015097+0.00026563i,0.00022568-0.00014394i,0.00042143-0.00037817i,0.00052162+2.898e-05i,0.00073692+0.00069477i,0.00035834-3.2076e-05i,-0.00062524-0.00075737i,-0.0008716-0.00068337i,-0.00032768-0.00049877i,-0.0005038+3.1346e-05i,-0.00024078+0.00030269i,4.6299e-05+0.00031076i,0.00042457+4.3095e-06i
-0.00087967-0.00086085i,-0.0014677-0.0014987i,-0.0013121-0.0027244i,-0.00084392-0.0026136i,-0.00072719-0.0015108i,-0.0001603-0.00011724i,0.00055116+0.0014674i,0.00038024+0.00148i,-0.00016647+6.4606e-05i,-0.00078006-0.00036475i,-0.0013396+0.0005731i,-0.00078077+0.00014416i,0.00022631-0.0012223i,0.00040467-0.00085032i,-3.188e-05-0.00030543i,1.3622e-05-0.00048192i,-0.00048695-0.00028709i,-0.0013112-0.00043608i,-0.00082993-0.00037006i,-0.00041889-0.0003294i,0.00017673-0.00014136i,0.00024758+0.00078204i,0.00030151+0.00061328i
0.00062309-0.00093158i,0.00040123-0.0012139i,0.00041062-9.4739e-05i,0.00018352+0.0016168i,-0.00051475+0.0012779i,-0.0012584+0.00031211i,-0.0014016-0.00011189i,-0.00046219-0.00053534i,0.00059301-0.00094194i,0.00080711-0.00051465i,0.00020787-9.4383e-05i,-8.3659e-05-0.00050943i,-0.0002313-0.00080116i,-0.0004531-0.00038936i,-0.00050057-0.00034361i,-0.00025595-0.00030248i,-0.0007661-0.00025959i,-0.0011021-0.00036879i,-0.00093888+9.2766e-05i,-0.0011672-0.00021442i,-0.0012327-0.0007439i,-0.0007928-0.00057222i,2.1591e-05-0.00047249i
0.00010517-0.00013015i,0.00038511-0.00032381i,0.0020204-9.5611e-05i,0.0023442-0.00013335i,0.001598-0.00042448i,0.00018897-0.00071089i,-0.0003157-0.00052057i,0.00088028-0.00039827i,0.0011534-0.00029667i,2.7225e-05+6.8546e-05i,-0.0006269+0.00010314i,-0.00022464-0.00045826i,0.000404-0.00042369i,-3.584e-05+0.0001481i,-0.00087675-0.00010998i,-0.0011335-0.00051875i,-0.00033081-0.00058284i,0.00036782-0.00053141i,5.794e-05-0.00027651i,-0.00072025-0.00031204i,-0.0010217+0.00026865i,-0.00039358+0.00080228i,7.4977e-05+0.00017286i
0.0010956+0.00087013i,0.00088725+0.0016609i,-9.9377e-05+0.0018677i,-0.00054839+0.0014485i,-0.0010556+0.0006447i,-0.0018497+0.00070002i,-0.001498+0.00056026i,-0.00051972+0.000547i,-0.0007996+9.5129e-05i,-0.00034706-0.00095919i,0.00060108-0.00088457i,0.00030522-0.0010608i,0.00041406-0.00088595i,0.00061181-0.00016652i,0.00035544-0.00096234i,0.00036777-0.0010725i,0.00036306-0.00024296i,0.0001611+0.00038718i,-0.00027632-0.00017194i,-8.261e-05-0.00040834i,0.00066057-2.579e-05i,0.00048964-0.00037814i,0.00067202-0.00093268i
0.00076666+0.0020803i,0.001283+0.0021426i,0.0013708+0.0013433i,0.00034486+0.00079822i,0.00037204+0.00013964i,0.00051655+0.00015749i,5.243e-05+0.00048719i,0.0004118+1.4916e-05i,0.00033536-0.00076264i,-0.00086421-0.00062195i,-0.00072429-0.00057247i,0.00041214-0.0006177i,0.0003615-0.0002859i,0.00071377+0.00015592i,0.00054701+0.00033498i,2.1711e-05+7.5491e-05i,-0.00013441-0.00036027i,-0.00034474-0.00023997i,-0.00071284-0.00014712i,-0.00072054+6.3901e-05i,-0.00041066+0.00088831i,0.00015182+0.00097703i,0.0006432+0.000821i
-0.00099937+0.0010956i,-0.0007314+0.0013846i,-0.0013454+0.0011057i,-0.00061752+0.00046964i,0.00038042-0.00018062i,0.00042924-0.00038798i,-6.2003e-06+0.00038305i,-0.00044209+0.00069971i,0.00043535+0.00068319i,0.00037889+0.00087191i,-0.00028316+0.00061664i,0.0003172+0.00015609i,0.0008365-0.00036135i,0.00040162-0.0010788i,-0.00028229-0.00086314i,-0.00037255-0.00046609i,-0.00036924+0.00010964i,-0.00056545+0.00067679i,-0.00056361+0.00077435i,-0.00080069+0.00053763i,-0.0011511+1.975e-05i,-0.0010246+0.00014066i,-0.00033933+0.00079323i
0.0028107-0.00095352i,0.0035305-0.0023063i,0.002807-0.0021458i,0.00099323-0.0016591i,-0.00084631-0.0017348i,-0.0010702-0.00062891i,-0.00080223+0.00059308i,0.00015849+0.00086864i,0.00051146+2.2051e-05i,-0.00032506-0.0008276i,-0.00092842-0.00092344i,-0.00052297-0.00092994i,-0.00022636-0.00083446i,-0.00053548-0.00082418i,-0.00040088-0.00080416i,2.8211e-05-0.00039507i,-1.4749e-05-5.651e-06i,-0.00043528-0.00035602i,-0.00090949-0.00084823i,-0.00023167-0.00039216i,-0.00027246+0.00051379i,-0.0017688+0.00050589i,-0.0014915-0.00021926i
-0.00054828+0.00072294i,-6.2156e-05+0.00027726i,2.9256e-05+0.0002027i,-0.00034697+0.00040304i,-0.0010782-0.0005711i,-0.0013499-0.0011665i,-0.00072553-0.00067851i,-0.00012216-0.00050326i,0.00038495-0.0004156i,0.00014094-2.0261e-06i,-0.0003542-0.00042671i,-0.00035813-0.00097959i,-0.00016169-0.00072983i,-0.0011274-0.00048046i,-0.0016928-0.00014186i,-0.0014494+0.00047931i,-0.00084884+1.1378e-06i,-0.0001408-0.00053788i,-0.00019849-0.0001154i,-0.00037679+0.00012951i,-0.00073195+0.00022366i,-0.00025936+0.00039318i,0.00012134+0.00027732i
