-0.0020988-0.00035189i,-0.0036171-0.00089888i,-0.0046756-0.00053389i,-0.0036379-0.00033941i,-0.0033273+0.00031006i,-0.0026652+0.00089341i,-0.00067907+0.001179i,0.00058583+0.0013959i,0.00090182+0.0011432i,0.00051989+0.00046071i,-2.6456e-06-0.0003598i,-0.00034811-0.00014436i,-0.00090408+0.0006016i,-0.00057899+0.00071943i,-5.9531e-05+0.00052131i,9.1246e-05+0.00012446i,0.00023401-0.00040086i,-0.00015577+8.1792e-05i,-0.00039315+9.0827e-06i,-0.000266-0.00017422i,-0.00030458-0.00038017i,-0.00035697-0.00050492i,-9.2816e-05-0.00057006i
-0.00080222+0.0021715i,-0.0011539+0.0012358i,0.00073117+0.00058796i,0.0015212+0.00034795i,0.0003549-0.00022426i,-0.00017428-0.0010258i,0.00026427-5.4145e-05i,0.00075232+0.00089054i,0.00074103+0.00013108i,0.0006111-0.00031611i,0.00029021-4.202e-05i,0.00028268-0.00031718i,-0.00022443-0.00083908i,-0.00080935-0.00071993i,-0.00050559-0.00036282i,-0.0002137-0.0008436i,0.00031053-0.0007971i,-1.9534e-06-6.9172e-05i,-0.00038848-0.00019791i,-0.00017192-0.00018392i,0.00021637-6.3115e-05i,0.00086984+4.932e-05i,0.00037161+0.00025971i
-0.0014712-0.0016897i,-0.0011828-0.0025348i,-0.0024157-0.0025887i,-0.0025834-0.0014249i,-0.00088858-2.4077e-05i,-0.00043786+0.00059964i,-0.0006062+0.00061151i,-0.00017199+0.00061202i,1.7768e-05+0.00017119i,-0.00029538-0.00037542i,-0.0011516-0.00059017i,-0.00094197-0.00071328i,-0.00010959-0.00064836i,0.00046644-0.0004402i,0.0002819+0.00062254i,-0.00068464+0.0013477i,-4.12e-05+0.00034788i,0.00019543-0.00092532i,-0.00018739-0.0011585i,0.00048297-0.00052202i,0.00055715+0.00080934i,0.00035553+0.0016356i,-0.00020228+0.0010289i
-4.4581e-06-0.0026095i,-0.00034798-0.0020685i,-0.00013449-0.001786i,-0.00052343-0.0020413i,-0.0011213-0.0016845i,-0.00051901-0.0005325i,1.9707e-05+0.00056695i,0.00025381+0.00082044i,0.00092754+0.00066869i,-0.00028738+0.00037886i,-0.0015458+0.00059376i,-0.00045233+0.00080172i,0.00032002+0.00022732i,-0.00013987+4.1292e-05i,-0.0006172+0.00086605i,-7.4444e-05+0.0010375i,0.00017216+0.00042673i,0.0002511+7.2442e-05i,0.00019143+0.00021218i,-0.00042713+5.5916e-05i,-0.00063115-0.0003763i,-0.0010314-0.00054355i,-0.00090791-0.00058179i
0.0011878+0.0008656i,0.0014425+0.00084767i,0.0015351+0.00055304i,0.00081176+1.5841e-05i,-0.00028739-0.00011683i,-0.00048189+0.00030951i,0.00014569+0.00063584i,0.0012104+0.0004705i,0.0014106+7.8181e-05i,0.00074105-0.00015942i,9.1482e-05-0.00036135i,0.00023503-0.00027286i,0.00081375-0.00012734i,0.00088879-0.000133i,0.0010302-0.00072696i,0.0010646-0.00086727i,0.00010833-0.0010565i,-0.0007172-0.00070819i,-0.00082727-0.00023408i,-0.00036316-0.00041233i,-0.0001073-0.00048028i,3.3083e-07-0.00086717i,0.00012269-0.00069685i
0.00069317+1.3313e-05i,-0.0002307-0.00052218i,0.00018006-0.00068432i,0.00048645-0.0011753i,0.00042819-0.0013922i,-1.3173e-05-0.00082786i,-0.00028871-8.6144e-05i,0.00013802+0.00054594i,0.00065835+0.00045097i,0.00056253+8.0518e-05i,-1.854e-05-0.00069367i,-0.00014657-0.0012056i,0.00046662-0.00081983i,0.00048804-0.0010738i,-0.00062405-0.0013057i,-0.00080568-0.00051931i,-0.00030058-0.00081317i,-0.00015292-0.00045802i,-0.00042284+0.00023655i,-0.00077836-9.8946e-05i,-0.00086362-0.00033442i,-0.00070105-0.00044772i,-0.00051121-0.00038365i
0.0014729+0.00095287i,0.00058186+0.0014591i,0.00068626+0.0012524i,0.00032997+0.00037382i,-0.00073463-0.00054167i,-0.00027543-0.0002534i,-0.00026901+0.00030464i,-0.00073817+0.00032912i,-0.00016188+3.9217e-05i,4.606e-05+5.1322e-05i,-0.00028966+0.00035879i,-0.00062815-0.00082074i,-0.0010708-0.0021218i,-0.00042962-0.0023299i,0.00061468-0.0015929i,0.0011231-0.00024084i,0.00095517+0.00018695i,0.00065119+9.1302e-05i,0.00080845-0.00041436i,0.0010426-0.0010396i,0.00044743-0.00083693i,-0.00085422-0.00029484i,-0.00084645-0.00018279i
0.0019753+0.0010273i,0.0016732+0.0010311i,0.0010798+0.00063684i,2.6975e-05+0.00034117i,-6.1687e-05+0.00033585i,0.00015512-1.0958e-05i,0.00025199+0.00035521i,0.0010772+0.00040167i,0.0010197+3.8644e-05i,-7.8227e-05-0.000544i,-7.0611e-07-0.0010088i,-0.00033269-0.00073387i,-0.00066558-0.00060379i,-0.00012914-0.0010066i,0.00060233-0.00091913i,0.0010916-0.00014918i,0.0010077+0.00075324i,0.00058317+0.0010915i,0.00045894+0.00062447i,3.5667e-05-0.00019988i,-0.00041029-0.00065717i,-0.0001422-0.00043713i,-0.00081334-0.00019224i
0.00079088-0.0027125i,0.0008797-0.0025418i,0.00047801-0.0030885i,7.6864e-05-0.002483i,-0.00072049-0.0014003i,-0.0010839-6.1093e-05i,-0.00027855+0.0017592i,0.00049173+0.00085238i,0.00061083-0.00053625i,0.00020274-0.00071308i,-0.00067664-0.00047875i,0.00011316+0.00043913i,0.00065748+0.00068474i,-0.00019083+0.00071413i,-0.0004775+0.00095323i,-0.00070937+0.00060075i,-0.00053787+0.00011544i,-5.3684e-05+0.00065696i,-0.00027712+0.0010219i,-0.00048798+0.00045426i,-0.00016959-0.00032901i,6.8617e-05-0.00064869i,-7.6092e-05-0.00043863i
-0.00097753+0.0024368i,-0.00075712+0.0020198i,-0.0010653+0.002413i,-0.0008537+0.0014094i,-0.00051109+0.00052122i,-0.00087452+0.00056058i,-0.00028853+0.00068304i,0.00050794+0.00092656i,0.00040449+0.00064341i,-2.3799e-05-0.00031695i,0.00026702-0.00052723i,0.00011705-8.1572e-05i,0.00021024-0.00031707i,0.00081724-5.5738e-05i,0.00068488+0.00040229i,0.00077708-0.0001053i,0.00097818-0.00069379i,0.0004276-0.00073523i,-0.00040443-4.345e-05i,-0.00055107+0.000158i,-0.00031441-6.1996e-05i,0.00010185-0.0003419i,0.00056272+0.00042413i
-0.00094153+0.0016596i,-0.00016876+0.001084i,-3.1702e-05+0.0016844i,0.00031345+0.0007447i,0.0009367-0.00013079i,0.00090053+0.00072806i,0.0003491+0.0013487i,0.00067692+0.001317i,0.0011291+0.00044852i,0.00065992-0.00022127i,0.00068735+2.6524e-05i,0.0010735-2.0758e-05i,0.001338-0.00059692i,0.0015022-0.00039751i,0.0009038-0.00080827i,0.00026536-0.0015261i,0.00032499-0.00085013i,0.00035265-0.00060309i,-0.0002199-0.0012888i,-0.00064037-0.001135i,-0.00037989-0.0010225i,0.00016252-0.00067953i,0.00083134+0.00018034i
-0.0010213-0.0014057i,-0.00048305-0.0015009i,-0.0012281-0.0008692i,-0.0013292-0.0010027i,-0.0011122-0.0011588i,-0.0014927-0.00030966i,-0.0013725+2.4827e-05i,-0.00037448+0.00043141i,0.00066834+0.00044481i,0.0008032-5.1759e-05i,0.00032236-0.00060964i,0.00098441-0.00099435i,0.0012284-0.00060539i,0.00031266+3.2174e-06i,-0.0003359+0.00030116i,0.00017544+0.00035883i,0.00084366-0.00079935i,0.00036557-0.00043369i,-0.0004215+0.00037859i,-0.00076996-0.00024386i,-0.00054833-0.00055139i,1.5124e-05-0.00019799i,0.00030338-0.00078428i
-0.00015922+0.00083543i,0.0010589+0.00067812i,0.0016193+0.00013356i,0.00093341-0.00055252i,-0.00019975+0.00049243i,-0.00079795+0.00050207i,-0.00097387-0.0001273i,-0.00066408-0.00010916i,1.7171e-06-0.00073693i,-2.4059e-05-0.00111i,-1.2227e-06-0.00093855i,0.00025138-0.0010394i,0.00046501-0.0015576i,0.00028873-0.0014399i,-0.00026033-0.0005949i,-0.00045001+9.2011e-05i,-0.00063462-9.336e-05i,-0.00098605-0.00033591i,-0.00088832-1.5549e-05i,-0.00051717+0.0002324i,-0.00073985+0.00023541i,-0.00015388+0.0002585i,0.00069848+0.00050599i
-0.00048086+0.00077856i,0.00027095+0.0012972i,0.00067983+0.0013265i,0.0002359+0.00022642i,0.00065754-0.0012891i,1.522e-05-0.0015434i,-0.00062194-0.00080939i,0.00024959-1.4442e-07i,0.00014042+0.00012111i,-0.0007122-0.00013216i,-0.001251-0.00035055i,-0.0015602-0.00050051i,-0.00089379-0.00098614i,-0.00074008-0.0011307i,-0.00088487-0.00096524i,-0.00048404-0.0012045i,-0.00099158-0.0014402i,-0.0017436-0.00078785i,-0.00098174-0.0001272i,-0.00027539-0.00052718i,-2.6303e-05-0.00029006i,9.9945e-05+0.00021761i,-0.00020293-3.1883e-05i
0.00062289-0.0011185i,-6.8611e-05-0.0011738i,-0.00015568-0.00023907i,-7.8406e-05-0.00049845i,-0.00044678-0.0010837i,-0.00093663-0.00069434i,-0.0010703+0.00023041i,-0.00029834+0.00094615i,0.00019091+8.7591e-05i,-0.00014884-0.00077978i,-0.00058381-0.00075928i,-0.00058757-0.00016745i,-0.00067472-0.00044319i,-0.00093117-0.0007699i,-0.00060678+0.00020467i,-0.00056692+0.00023897i,-0.00054637-0.000818i,-0.00010393-0.00033605i,-0.00026194+0.00042365i,-0.00037223+0.00063506i,6.5161e-05+0.00051654i,0.00012655+0.00031437i,0.00029764+0.00049442i
-0.00021185-0.001869i,-0.00033396-0.0019931i,-0.00021947-0.0027135i,-0.001058-0.0012044i,-0.0011253-2.6022e-05i,-0.00061078+0.00027464i,-0.00072023+0.00040243i,-0.00071668+0.00012876i,-3.7928e-05+0.00021187i,6.4974e-05+0.00079162i,-0.00053603+0.0016294i,-0.0007+0.0015999i,-0.00059991+0.00052629i,-6.0303e-05-0.00016214i,0.00028417+0.00075568i,0.00081438+0.00123i,0.00071385+0.00072546i,-1.737e-05+0.000133i,-0.00052844-0.00088619i,-0.00063657-0.0006198i,-0.00031661+0.00025315i,-0.00029246+0.00037902i,-0.00047264-0.00028906i
-0.0013158+0.00074723i,-0.0017453+0.0010113i,-0.0019192+0.00011165i,-0.00036439-2.8467e-05i,0.0014332+0.00032746i,0.00032735-0.000452i,-0.00026299-0.00036395i,0.00084431-0.00037943i,0.00094981-0.00063232i,7.9844e-05-0.00057085i,0.00050633-0.00060949i,0.0013535-0.00048844i,0.0010078-0.00025864i,0.00093051-4.2313e-07i,0.00056718+0.00085161i,0.00085632+0.0012676i,0.0005649+0.00015944i,-0.00078108-0.00043628i,-0.00053043-0.00052725i,2.7916e-05-0.00081635i,-0.000514-0.00042257i,-0.0009931+0.00018315i,-0.00028265-3.8036e-05i
0.00074901-0.003179i,-7.1604e-05-0.003099i,-0.00071584-0.0034661i,-0.0010591-0.0027126i,-0.00077999-0.0014736i,-0.0004595+0.0004327i,-6.0733e-05+0.0017581i,0.00032944+0.001185i,0.00026956+0.00053007i,-0.00038837+0.00014565i,-0.00063876+0.00038073i,4.5913e-05+0.0003502i,0.00017578-8.3277e-05i,-7.6701e-05-0.00087588i,0.00025699-0.00090952i,0.0010521-0.00040302i,0.001372-0.00044312i,0.00079655-0.00037566i,0.00015506-0.00015965i,-0.00016477+0.00027553i,-0.00052174+0.00087658i,-0.0016428+0.001058i,-0.0019876+0.00032018i
0.0023504+0.00016633i,0.0030079-0.00075143i,0.0031562-0.0016428i,0.0022976-0.0016473i,-0.00029412-0.0017087i,-0.0016832-0.0011093i,-0.00063774-0.00027988i,0.00048134+0.0001316i,0.00052596-0.00011193i,0.00041036-0.00090355i,-7.6268e-05-0.0017052i,-0.00076096-0.0023879i,-0.00099023-0.0023498i,-0.00077009-0.0019556i,-0.00012082-0.00096624i,-0.00022366-0.00012924i,-5.3023e-05-0.00084842i,6.7753e-05-0.0015417i,-0.00012189-0.0016038i,-0.00078652-0.00088414i,-0.0014531+0.00070679i,-0.00085209+0.001239i,0.00047617+0.00066225i
-5.8029e-05+0.0005572i,-0.00055902+0.00094196i,-0.001567+0.001756i,-0.0012717+0.00086282i,-0.00071116+0.00013412i,-1.6557e-05+0.00035358i,0.00046137+0.00042741i,-3.494e-05+0.00036507i,-6.6737e-05-0.00054946i,0.00015053-0.0014171i,-0.00050275-0.0019657i,-0.00069637-0.0019537i,-0.0008962-0.0010812i,-0.0017369-0.0011111i,-0.0019946-0.0013214i,-0.0013965-0.00065329i,-0.00083755+0.00035505i,9.4308e-05+0.0010835i,0.00048248+0.00087187i,-0.00027425+0.00050562i,-0.00092396+0.00054922i,-0.00081374+0.00065954i,-0.00035734+0.00071625i
-0.0028303-0.0013177i,-0.0029118-0.00037267i,-0.004005+0.00060086i,-0.0023296+4.1621e-05i,0.00016237+0.00024752i,-0.00014883+0.001261i,-0.0006644+0.0014601i,3.5256e-06+0.0010097i,0.00061463+0.00070728i,2.3765e-05+0.00099999i,-0.0011439+0.0010362i,-0.0014646+0.00067276i,-0.0011518+0.00026234i,-0.00057464-0.00022465i,-0.00020474+0.0001052i,-0.00048506+0.00034048i,-0.0012025-0.0001353i,-0.00065574-0.00058501i,0.00017047-0.00031999i,-0.00043237-0.00015771i,-0.00042858-9.1716e-05i,-0.00021146+0.00037551i,-0.00029797+0.0007508i
0.0013891+0.001155i,0.0016212+0.00069833i,0.0016703-4.3808e-05i,0.0010659-0.00051072i,0.00033034-0.00066366i,7.8803e-05-0.00050985i,4.1081e-05-0.00017151i,0.00020243-8.7955e-05i,4.2365e-05-0.00023425i,-0.00027776+0.0001239i,-0.00088105+0.00095622i,-0.00048953+0.0014448i,0.00075377+0.001163i,0.00095255+0.00065377i,0.00049051+0.00010422i,0.00075096-0.00041703i,0.0006958-0.0006762i,-1.2132e-05-0.00047035i,-1.0615e-05+0.000182i,-7.2826e-05-0.00035156i,-0.00043091-0.00083602i,-0.00026256-2.3111e-05i,0.00026496-3.7043e-05i
-0.00028799+0.00079035i,0.00038622-8.5262e-05i,0.00066513-0.00081283i,-0.00031875-2.611e-05i,-0.00064156+0.00026766i,-8.4422e-05-0.00078505i,0.00034832-3.9562e-06i,0.00057211+0.0012466i,0.00056496+0.0010634i,0.00037217+0.0002041i,0.00074491+0.0002308i,0.0013227+0.00052519i,0.0011094+0.0004036i,0.00045941+0.00055238i,0.00065801+0.00030244i,0.0015174-0.00034964i,0.0013756-0.00034498i,0.00056679+0.00036227i,0.00053627+0.00057137i,0.0011054+0.00019908i,0.00090584+0.0001849i,-0.0002919+0.00015323i,-0.0008673-7.5027e-05i
0.00092936-0.00038296i,0.0013051-0.00038109i,0.0014744-2.7088e-05i,0.0014493-0.00037479i,0.0007178+0.00028241i,-0.00073491+0.0010374i,-0.0011129+1.9553e-05i,-0.00076393-0.00060935i,-0.00012702-0.00015076i,0.00013986+0.00013544i,2.8141e-06+3.0908e-05i,0.0005569-0.00086349i,0.00098275-0.0013837i,0.00044734-0.0010463i,-0.00015278-7.5587e-05i,-0.00028092+0.00096058i,-0.00020063+0.0013228i,-0.00080746+0.00065919i,-0.0013453+0.00077411i,-0.00099241+0.00096052i,-0.00061536+0.00018859i,-0.00041029+0.00028646i,-3.1629e-05+0.0004681i
-0.00093418+0.0016835i,-0.00051894+0.0015949i,0.00067824+0.001681i,0.0007691+0.0013018i,0.00026682+0.00079528i,0.00015972+0.000508i,-0.00019209+0.00086544i,-9.0741e-05+0.00124i,-0.0001403+0.00052119i,-0.00058074-0.0001719i,-0.0001407-0.00012552i,0.00062973-0.0003102i,0.00081443-0.00090615i,5.7248e-05-0.00096626i,-0.0011369-0.00065397i,-0.0017977-0.00088496i,-0.0013536-0.0011207i,-0.00062504-0.00055182i,-0.0006832+0.00019769i,-0.0011933+0.00034571i,-0.0012131+0.00047867i,-0.00047501+0.00067663i,0.00046613+0.00017982i
-0.00050626+0.0016793i,-0.00022613+0.0029674i,0.00058992+0.0019911i,0.00033364+0.00075626i,6.0732e-07+0.0010972i,-5.1297e-05+0.00059438i,-0.00042805+0.00027441i,-0.0004512+0.00084253i,-0.00015295+0.00098241i,2.3888e-05-2.2829e-05i,0.00033176-0.00084737i,0.00041659-0.001015i,-6.648e-05-0.0015909i,2.4552e-05-0.0021418i,0.00073215-0.0015278i,0.00067863-0.00085165i,-0.00043229-0.0005857i,-0.00091289-9.7906e-05i,-0.00072296+0.000196i,-0.00094943-0.00017536i,-0.00099835-0.00024324i,-0.00037922+0.00017268i,0.00027841+0.00023717i
-0.00044414-0.00085078i,-0.00049037-0.00086106i,-0.0011947-0.0010179i,-0.00044471-0.0012i,1.887e-05-0.00073186i,-0.00068162+0.00038667i,-0.0014407+0.00099158i,-0.00071813+0.0011467i,0.00022124+8.642e-05i,6.7803e-05-0.00036932i,-0.00027572+0.00035219i,7.2808e-05-2.5366e-05i,0.00021298-0.00024853i,-0.00027795+0.00019126i,8.7472e-05+0.00031478i,0.00074138+0.00036212i,0.0005204-0.00028229i,0.00062794+5.9034e-05i,0.001413+0.0010723i,0.0013396+0.00070951i,0.00029482-0.0005624i,0.00062765-0.0005704i,0.00086787-0.00012588i
0.00027906-0.0011047i,0.0016099-0.00059877i,0.0014155-0.00063643i,-0.00046789-0.00016252i,-0.0010888-5.6107e-05i,-0.00036572+8.6143e-05i,-0.00013456+0.00073718i,0.00062996+0.00054351i,0.00095475+0.00050509i,-0.00040644+0.00013038i,-0.0014014+7.7345e-05i,-0.0014656+0.00033107i,-0.0011966+0.00109i,-0.0010798+0.0021315i,-0.00049828+0.002338i,0.00033303+0.0016114i,0.0010877+0.00072636i,0.0011883+0.00016249i,4.8049e-05-0.00034916i,-0.00083547-0.00043032i,-0.00081277+5.3072e-05i,-0.00066689+0.00063614i,-0.00039068+0.0008899i
0.0018013-0.0012021i,0.00172-0.00035706i,-2.2256e-05-0.00033615i,0.00035637-0.0013533i,0.0010018-0.0013962i,0.00026688-0.0011372i,9.4704e-05-0.00029946i,-1.8906e-05+0.00089203i,0.00014512+0.0007593i,-1.4385e-06-0.0001327i,-0.00012087-0.00071527i,0.0003235+0.00024668i,0.0011017+0.00086687i,0.0010374+0.00033784i,0.00080279+0.00019469i,0.00090901+0.00065974i,0.00027317+0.00069119i,-0.00082356+0.0009889i,-0.0012749+0.0011596i,-0.00056738+0.0011042i,-0.0003607+0.00080096i,-0.00013103+0.0003427i,3.6473e-05+0.00016083i
-0.0023119-0.0012977i,-0.0019122-0.00091318i,-0.00084698-0.0012733i,-0.0014749-0.00069782i,-0.0010863-0.00032101i,-0.00032817-0.00019542i,-0.00055331+0.00033887i,-0.00042782+0.00047477i,-0.00016938+6.1414e-05i,-0.00038472-0.0003529i,-0.00030834+0.00038648i,0.00033559+0.00059272i,0.00043239-6.9695e-05i,0.00047163-0.00044209i,0.0010525-0.00017507i,0.00076189-0.00018859i,-0.00022123-0.00051184i,-0.00133-0.00043525i,-0.0012011+0.0001513i,-0.00029305+0.00057264i,-0.00039277-3.8962e-05i,-0.00056196-0.00034747i,0.00014167+9.8631e-05i
0.00084897+0.00014074i,0.00064142+0.00061986i,0.00029744-0.00042249i,5.1701e-05-0.0013827i,0.00012901-0.00090668i,0.00015785+0.00082129i,0.00013901+0.0015171i,0.0011438+0.00073765i,0.0014179+0.00038233i,0.00084112-0.00023507i,0.00079106-0.0011441i,0.0004776-0.0013942i,-0.00027609-0.0011865i,4.1798e-05-0.00093457i,-7.6163e-06-0.0012949i,-3.2491e-05-0.0012887i,-0.00048423-0.0013532i,-0.0017451-0.0011638i,-0.0016491-0.0001865i,-0.0007327-0.00043337i,-0.00022929-0.00099801i,-0.00049576-0.00054656i,5.7321e-05-0.00033166i
-0.00057658+0.0011113i,-0.0014602+0.00041273i,-0.00049521+0.00027788i,0.00069383+0.00028745i,0.00051778-0.00045824i,-0.00022366-0.00054397i,-0.00030051+9.5841e-05i,-0.00032502-0.00011041i,-0.00064858-0.00094973i,-0.00073573-0.0010541i,-0.00096323-0.00092502i,-0.00032631-0.0014438i,0.00036139-0.0011884i,0.00029529-0.00043088i,0.00019646-6.181e-07i,0.00084378-0.0007405i,0.0013071-0.00097581i,0.00066629-0.00030471i,0.00010834+9.2121e-05i,-3.3456e-05-9.7163e-06i,-0.00019337-0.00016765i,0.00014392-4.3278e-05i,0.00050469-0.0005192i
0.00064977+0.0016453i,0.0014034+0.0009078i,0.00055017+0.0010389i,-0.00049087-0.0003145i,-0.00052674-0.0017841i,-0.00098108-0.00085364i,-0.00052008+0.00071701i,0.00064615+0.0011819i,0.00099894+0.0011021i,0.00082742+0.00042463i,-0.00014732+2.6218e-05i,-0.00090402-0.0002397i,-0.0012815-0.00011531i,-0.00081615-1.5427e-05i,-0.00040055+0.00014738i,-0.0004464-0.00014747i,-0.00022615-0.00033506i,0.00035384-0.00017261i,0.00058821-0.00025274i,0.00032262+2.0009e-05i,0.0011182+0.00061341i,0.0017095+0.0006158i,0.0009208-0.00032518i
0.0018619-3.7596e-05i,0.0026314+0.00069184i,0.001991+0.00077625i,0.00071982+0.00036208i,9.383e-05-0.00096254i,-0.00011831-0.00079458i,0.00012553+0.00014862i,0.0003121+0.00051948i,-0.00034079+0.00012934i,-0.00070597-0.00027649i,-0.00080369-0.00016609i,-0.00082613-0.00012258i,-0.00088395-0.00068513i,-0.0011219-0.00086957i,-0.00098058-4.1593e-05i,-0.00082035+0.00022195i,-0.00093153+0.00026447i,-0.00059375+0.00076056i,-0.0001516+0.00040276i,0.0001684+0.0004556i,0.00036818+0.00045337i,0.00041336-0.0005687i,0.0010122-0.00085309i
-0.001147+0.00014562i,-0.00099571+0.00035153i,-0.00073397+0.0016197i,0.00015578+0.0012217i,0.00076713-7.3565e-06i,0.00076773-0.00032957i,0.00081993-6.221e-05i,0.0014498-0.0001634i,0.001757+9.6235e-05i,0.0010849+0.0013277i,0.00036737+0.0018593i,0.00040567+0.0008859i,0.00094506-2.4024e-05i,0.0014292-0.00018508i,0.0010361+0.00028346i,0.00061078+7.5276e-05i,-0.00040405-0.00092006i,-0.0013104-0.00089938i,-0.0012166-0.00026317i,-0.00086784+0.0002583i,-0.00093234+0.00018642i,-0.0011294-0.00021791i,-0.00075262-0.00020317i
0.0017751+0.00020736i,0.0014962-0.0015558i,0.0013141-0.0031888i,0.00081641-0.0032725i,-0.00076982-0.0022747i,-0.00099812-0.0012774i,0.00016051-0.00032747i,0.00016103+0.00038366i,0.00020566+0.00019551i,0.00018349+4.5337e-06i,-0.00031014+0.00061264i,0.00079683+0.00024308i,0.001728-0.00071587i,0.0015051-0.0010048i,0.0016355-0.0011497i,0.0014068-0.0011402i,0.00016514-0.0012472i,-0.00045173-0.0016727i,-0.00063739-0.0011244i,-0.0011851-0.00037375i,-0.0010343-0.00061498i,-0.00053977-0.0006424i,0.00011468+0.00013315i
-0.00087539+0.00072935i,-0.00080302+0.0018662i,-0.00092615+0.0019889i,-0.00058007+0.00083827i,0.00033015+0.00014044i,-0.00023331-0.00022403i,-0.0011276+0.00041936i,-0.00085745+0.00096284i,0.00035742-0.00010624i,0.0017711-0.00085356i,0.0019822-0.00077028i,0.0017623-0.0012181i,0.0013924-0.0011369i,0.00093881-0.00064347i,0.00069194-0.0004407i,0.00065074-0.00039282i,-0.00016979-0.00053918i,-0.0012361-0.00015808i,-0.00070474+0.00014437i,1.2339e-05+0.00049769i,-0.0001292+0.00034164i,-0.00028455+0.00014524i,-0.00048353+8.8547e-05i
-0.0017032-0.00033003i,-0.0021353-0.0011487i,-0.0016996-0.0024071i,-0.0011659-0.0016064i,-0.00074302-0.00020317i,-0.00054138-0.00044181i,-0.0012436+0.00017439i,-0.00076678+0.0011797i,0.00038767+0.00067438i,0.00026586-0.00022349i,0.00018077-0.0010438i,0.0004699-0.0011934i,0.00012048-0.0013827i,-0.00072606-0.001423i,-0.0012646-0.00061571i,-0.00095136-0.00056416i,-0.00089438-0.00041039i,-0.00073776+7.9775e-05i,-1.6954e-05+0.00020649i,9.2295e-05+0.00018362i,9.7948e-05+0.0003454i,3.1297e-05-0.00031874i,-0.00041662-0.001011i
9.5863e-05+0.0018739i,0.0011901+0.0010609i,0.0010033+0.0012611i,0.00032037+0.0006614i,0.00076551-0.00055588i,0.00052081-0.0010032i,-0.00035781+0.00010267i,-0.00030475+0.0010033i,0.00039611+0.00062871i,6.4817e-05-0.00013975i,-0.0006843-0.00017328i,-0.00040977+0.00010449i,-0.00050604-4.2834e-05i,-0.00060407-0.00033595i,-3.8246e-05-9.5225e-05i,-0.00015863+0.00057944i,-0.00017588+0.0010273i,0.00022336+0.0010532i,0.00011064+0.00030113i,-0.00012883+0.00038898i,0.00034817-0.00017658i,0.00060346-0.00080695i,0.00030077-0.00050763i
-0.0011253-0.00093792i,-9.0856e-05-0.00021227i,-0.00072458-0.00069779i,-0.0014874-0.00070615i,-0.002222-0.0005056i,-0.0019879-0.00031387i,-0.0004957+2.5625e-06i,0.00019959+6.8984e-05i,0.00014219-0.00019356i,6.5281e-05-0.00036123i,-0.00033265-0.00011365i,-0.00023872+0.00066348i,-0.00022047+0.0010708i,-0.0002764+0.00033365i,0.00010493+0.00017677i,-0.0003841+0.00021078i,-0.0015119+0.00023341i,-0.0017053+9.9608e-05i,-0.00053576+0.0002771i,0.00032244+0.001074i,-0.00016304+0.00070697i,-0.00044938-0.00049428i,-0.00057675-0.00063745i
-0.00086342+2.0261e-05i,-0.0017355-0.00056619i,-0.0020785+0.00033967i,-0.00112+0.0012627i,0.00031185+0.00083502i,0.0011467-0.0002464i,0.0010797+0.00027934i,0.0010431+0.0011933i,0.00056349+0.00097195i,-0.00032858+0.00019096i,-0.00057391+0.00055475i,-7.4746e-05+0.0013697i,0.00026404+0.0013717i,1.707e-06+0.00064701i,-0.00020506+0.00016384i,0.00012007-0.00035504i,-8.9897e-05-0.00095183i,-0.00056524-0.0014267i,-0.00125-0.0013986i,-0.001201-0.00069688i,-0.00056304+8.1573e-05i,2.0954e-05+0.00015518i,0.0006144-0.00032332i
-2.2141e-05-0.001838i,0.00012158-0.0014493i,0.0010232-0.0017432i,1.2363e-05-0.0013184i,-0.0009121-0.00061717i,-0.00057163-9.6612e-05i,-0.0003736+0.00032664i,0.00021167+0.00063174i,0.00080932+0.00036862i,0.0002308-0.0005299i,-0.00049864-0.0008289i,0.00029713-0.0011634i,0.0010219-0.0012055i,0.00061574-0.00057477i,8.2284e-05-0.00037018i,-0.00023067-0.0006891i,0.00010777-0.0012844i,0.00051821-0.0010503i,0.00017237-0.00073782i,-6.1126e-05+0.00029068i,-0.00043585+0.00025575i,-0.00066314-0.00031792i,-0.00051959+0.00021688i
0.0012391-0.00037622i,0.00085181+0.00049854i,0.0013787-0.00070674i,0.00064607-0.0013662i,-0.00030828-0.00090187i,-0.0001322+0.00041566i,0.00016752+0.0014087i,-5.7667e-05+0.00094075i,-0.00032179+0.00056591i,-0.00026287+0.00084666i,-0.00011907-0.00013278i,0.00059733-0.0010882i,0.0010921-0.0014172i,0.00081731-0.0015413i,0.00035017-0.0014753i,0.00051838-0.001384i,0.001046-0.00075736i,0.00092284+0.0004155i,0.00036066+0.00099595i,-0.0003973+0.00010179i,-0.00056317-0.0007491i,-0.00076767-0.0008729i,-0.00058481-0.00075289i
