-0.0021904+6.7555e-06i,-0.0020668+4.3503e-05i,-0.0031552+0.00022474i,-0.0039086+0.0003436i,-0.0036169+0.00098636i,-0.0020775+0.0013872i,-0.00079604+0.001359i,0.00045032+0.00091405i,0.00088647+0.00037384i,0.00085992+1.2033e-05i,0.00043451-0.00073715i,-0.0002511-0.00044499i,5.8988e-05-0.0001815i,9.6871e-05-0.00033079i,0.00035136+0.00067664i,0.00030682+0.00040922i,0.00011739-0.00022958i,0.00016018-2.2472e-05i,-0.00013392+0.00015375i,-0.00073458+0.00043437i,-0.00025062+0.00031541i,0.0002691-4.2577e-05i,-0.00011565-0.00041629i
-0.00029174+0.001957i,1.8369e-05+0.0028368i,-0.00066381+0.0021953i,-0.001124+0.0011147i,-0.00062221+0.00015058i,-0.00010559-7.322e-05i,-0.00019954+0.00034126i,-0.00037423+0.00015369i,-0.00054571-0.00037383i,-0.00043931-0.00010915i,-0.00062387+0.00028182i,-0.00022233+0.00058542i,-2.2066e-05+0.001097i,-6.7707e-05+0.0011802i,5.2352e-05+0.0010553i,-0.00021704-8.2049e-05i,8.397e-05-0.00057563i,0.00054969+0.00032187i,6.3002e-05+0.00063493i,0.00028365-0.00026079i,0.00011735-0.00090649i,-0.00039121-0.00035727i,-0.00047284+0.00024452i
0.0002071+0.00063871i,-0.0009354-0.00038677i,-0.0013431-0.0014388i,-0.0017049-0.0010694i,-0.0016818-0.00035051i,-0.0013437+0.00044915i,-0.00047572+0.00048423i,0.000146+0.00012557i,-0.00010886-0.00023763i,-0.0010105+6.2901e-06i,-0.00091433-6.788e-06i,0.00019653-0.00063399i,0.0011315-0.00028298i,0.0013018+0.00028774i,0.00060013+0.00036025i,0.00056789+0.00076896i,0.00027808+0.00070579i,-0.00057052+0.00090994i,-0.0009498+0.0010466i,-0.00035663+0.00048425i,-0.00028156+9.2367e-05i,-0.00083007-0.00019635i,-0.00092446-0.00045222i
-0.0020497-0.00082202i,-0.0018772-0.00086927i,-0.0033446-9.3172e-05i,-0.0032202+0.0008149i,-0.0013428+0.001421i,-0.00011878+0.0011047i,0.00024557+0.00026386i,-0.00029068-0.00025868i,-0.00036879-0.00029772i,-0.00029361-0.00052455i,-8.2896e-05-0.00044778i,0.00062678-2.2791e-05i,0.00042271-0.00066889i,-4.4724e-05-0.0009404i,0.00069587-0.00014413i,0.00099704+0.00044675i,-0.00021813+0.00040403i,-0.00033053-0.00013381i,0.00061944-0.00031959i,-3.4691e-05+0.00033238i,-0.001026+0.00079559i,-0.00066833+0.00078415i,-0.00070337+0.00049282i
0.0007884+0.0010431i,0.00040618+0.0015383i,0.00029022+0.00090693i,-0.00020335+0.00020793i,-0.0012535-0.00024829i,-0.0013185+0.0001922i,-0.00030065+0.00065814i,0.00045694-0.00021077i,0.00056477-0.001432i,0.00048568-0.0013187i,1.7345e-05+2.3197e-05i,1.6118e-05+0.00020126i,0.00022359-0.00068082i,-4.6171e-05-9.7991e-05i,-0.000153+0.00014059i,-0.00053398-0.00034209i,-7.1387e-05-0.00038026i,0.00015954+6.7583e-05i,-2.7011e-05+6.0878e-05i,3.2288e-05-0.00070073i,-0.00045746-0.0001602i,-0.0012494+0.00065668i,-0.00070088+0.00011646i
-0.00015141+0.00022539i,0.00011748-0.00023003i,2.0585e-05-0.0015172i,5.1062e-05-0.00083333i,0.00044623+0.00024995i,0.00023124-6.0321e-05i,3.4532e-05+0.00066819i,-0.00030609+0.00067506i,5.2159e-05+3.2025e-05i,0.00013172+1.9624e-05i,-0.0003734-0.00046423i,6.4861e-05-0.00085264i,0.00060041-0.00063294i,0.00017116+3.5443e-05i,0.00032738-0.00036526i,0.00042097-0.0004536i,3.2573e-05-8.8682e-06i,5.1991e-05+0.00021915i,-0.00011355+0.00076395i,-0.00050135+0.0005282i,-0.00066609-0.00046596i,-0.00015999-0.0005319i,0.00023053+0.00028752i
-0.00038548+0.00025816i,-0.00042905-0.00032105i,-0.0011116+0.00015612i,-0.0014181-0.00028901i,-0.0010956-0.00059808i,-0.0013698-0.00059666i,-0.00089412-0.0009878i,-0.00021636-0.00079667i,-0.00012053-0.00093682i,-0.00013018-0.00090202i,-0.00032949+0.00011409i,-0.00033777-0.00012899i,0.00024954-0.00092964i,-5.0259e-05-0.00056487i,-0.00016212+0.00035352i,0.00015316+0.0010479i,0.00012195+0.0008036i,3.864e-05+0.00062928i,0.00032224+0.00087245i,4.8729e-05-0.00011582i,0.00010579-0.00055357i,0.0004624+0.00066459i,0.00052382+0.00067332i
0.00059404-0.0016698i,0.00074186-0.0018226i,-0.00091053-0.0011756i,-0.0018726-0.0014143i,-0.0022277-0.0014572i,-0.001234-0.00018903i,-0.00047636+0.0010944i,-0.00012689+0.00072747i,7.9901e-05-0.00012407i,-0.00021339-0.000246i,-0.00091211+2.2864e-05i,-0.00088827-0.00017629i,0.00046726-0.00076954i,0.00038998-0.00064332i,6.1019e-05-0.00012199i,0.00028901+0.00041624i,0.00024775+0.00059653i,-2.5327e-05+0.00021933i,-0.0004685-0.00020277i,-0.00037341-0.000181i,-0.00051787-0.00010562i,-0.00039996+0.0002527i,0.00043183+0.0001782i
0.00013419-0.00032622i,-0.00013078-0.00026036i,0.00027246-0.00076127i,0.00046871-0.0012753i,0.00068774-0.0010921i,0.0001635-0.00045151i,0.00024004-0.000615i,0.00058658-0.00091435i,0.00011255-0.00035886i,-0.0008416-0.00025419i,-0.0016422-0.00038961i,-0.00083243-0.00032513i,-0.00032954+0.00031261i,-0.00011203+0.00096865i,0.00043574+0.00087739i,0.00058185-9.423e-06i,-2.6737e-06-0.0012722i,-0.00046571-0.0014807i,-0.00033931-0.00054943i,-0.00066827+0.00011875i,-0.00060125+0.00070813i,0.00028781+0.0008262i,0.00047474+0.00012513i
-0.00010464-1.9829e-05i,-0.0010634+0.00077512i,-0.0022598-3.9208e-05i,-0.0028667-0.00097205i,-0.0024064-0.001196i,-0.0010779-0.00055232i,-0.00034646-2.8536e-05i,-6.2771e-05-0.00050106i,-6.9679e-05-0.00076153i,-0.00075166+9.5878e-05i,-0.00066717+0.00051229i,-0.00063377+0.00052371i,-0.00097656-0.00023426i,-0.00030552-0.00095487i,0.00067511-0.00040165i,5.1255e-05+0.00084193i,-0.00059454+0.001181i,-0.00067714+0.00059216i,-0.00050566+0.00037209i,0.00029813+0.00057375i,0.00095179+0.00064783i,0.00042531+0.00021722i,-0.00031134+9.2218e-06i
-0.00061728-0.0012982i,-0.00094453-0.0021627i,-0.0015583-0.0024433i,-0.0018403-0.0023112i,-0.0010827-0.0012456i,-0.00083266-7.2668e-05i,-0.00014789+0.00023482i,0.00020814+0.00010682i,1.3214e-05-0.00034071i,-1.0452e-05-0.00057306i,-0.00014016-0.00047156i,-3.8e-05-0.00039887i,-0.00038254-2.5519e-05i,-0.00083736+0.00022367i,6.2326e-05+0.00047489i,0.00066607+0.00054636i,0.0002932-0.00023294i,-8.0748e-05-0.00060209i,5.0355e-05-0.00036496i,0.00019518-0.00026028i,-0.0001936-2.5213e-05i,-0.00055179+0.00035324i,-0.00022025+0.00058886i
-0.00046583-0.00020674i,-1.8018e-05+7.1265e-05i,-0.00028876+0.00096364i,-0.00041819+0.0010339i,-4.2184e-05+0.0001281i,0.00022859-0.00037288i,-0.00044185-0.0012314i,-0.00070165-0.0015967i,-0.00094617-0.00028315i,-0.00032632+0.00031712i,0.00038354+0.0006808i,0.00049249+0.00027869i,0.00039055-0.00017893i,9.9772e-05+0.00011546i,-0.00053836+0.00010943i,-0.00047819-0.00096504i,-0.00016712-0.00061543i,-0.00021093+1.7414e-05i,0.00026513+0.00033252i,0.00041651+0.00049703i,1.6849e-05+0.0007396i,-0.00065552+0.00065312i,-0.00014601+0.00032141i
0.00034858-0.00013729i,-0.00057081-0.00036588i,-0.0018063-0.0010826i,-0.0021765-0.00045467i,-0.0012402+0.00050511i,-0.0001512+0.00089045i,0.00034576+0.0012565i,0.00057942+0.00073354i,0.00043337-0.00030752i,-0.00025125-0.00082116i,-0.00032275-0.00087828i,0.00026714+0.00011281i,0.00031836+0.00080242i,0.00055045+0.00028346i,0.00099259+0.00042467i,0.00026703+0.00028994i,0.00017447-0.00016391i,0.00060793-2.075e-06i,0.00079236+0.00041083i,6.5038e-05-3.1306e-06i,-0.00036946-0.00049202i,-0.0001686-0.00056306i,0.00016019-0.00064745i
-0.00020949+6.934e-05i,-0.00078461-0.00079721i,-0.0014284-0.0025844i,-0.0019105-0.0025357i,-0.001492-0.0011014i,-0.00096133-0.00048419i,-0.0010231-0.00048098i,4.925e-07-0.0002445i,0.00048773-0.00017427i,-0.00012742-4.5803e-05i,-0.00019098+0.00023728i,-1.6805e-05-0.00016632i,-8.615e-05-6.8993e-05i,-0.00049894+0.00035005i,-0.00030744+0.00074054i,0.00027195+0.00015941i,0.00063816-0.00067232i,0.00051547-0.00012846i,0.00042168-0.00015097i,0.00058258-1.5733e-05i,0.00013291+0.00037859i,-0.0002367-0.00014193i,-0.00056362+0.00019779i
-0.0010398-0.00079229i,-0.0015616+0.00011771i,-0.0028981-0.00031941i,-0.0021219+0.00025663i,-0.00036643+0.00089825i,0.00027722+0.00023274i,0.0008012-8.1794e-05i,0.0012447-0.00060366i,0.00071863-0.00075334i,-0.00011425-0.00052933i,0.00029165-0.00039974i,0.00093052+0.00041761i,0.00060699-3.831e-06i,0.00029138-0.00054684i,0.00051259+2.328e-06i,0.00048406+0.00054492i,-0.0002689+0.00037175i,-0.001032+0.00032087i,-0.00078466+0.00055596i,0.00023554+0.00051441i,0.00028209+6.7899e-05i,0.00023347-0.00053853i,0.00064641-0.00086578i
-0.0009432+0.0014532i,-0.0010651+0.0016528i,-0.00045671+0.0020103i,-0.00056906+0.0011841i,-0.00073162+0.00030001i,9.2804e-05+0.00050792i,4.82e-05+0.00066136i,-0.00049207-0.00047825i,-0.00018697-0.00088503i,0.00016919-3.7926e-05i,7.7997e-05+0.00021263i,-0.00033368-0.0003627i,-0.00068968-0.0006777i,5.0661e-05-0.00091658i,0.00074057-0.00060458i,0.001181-0.00016322i,0.0012447-0.0001017i,1.5568e-05+0.00011579i,-0.00066337-9.9871e-05i,-0.00014953-0.00042483i,0.00051222-0.00016046i,0.00059956-1.3946e-05i,0.00036668-0.00014109i
-0.0010954+0.0011935i,-0.0018482+0.00047226i,-0.0018954-0.00071703i,-0.00087666-0.0011206i,-0.0002178-0.00041386i,-0.00063382+0.00036566i,-0.00085013+0.00026752i,-0.0006793-0.00073847i,-0.00033417-0.0012979i,-0.00013853-0.000359i,0.00017816-0.0001307i,0.0005792-0.00022531i,0.00020311+0.00019364i,4.6859e-05+0.00024263i,0.00012279-0.00013946i,-0.00030807-0.00016703i,-0.00086164-0.00052542i,-0.0014101-0.00072122i,-0.00078061-0.00017325i,0.000473-0.00018577i,0.0005909-7.0561e-05i,0.00012221-0.00034912i,0.00042243-0.00044905i
0.00099734-0.0010741i,-0.0004891-0.0018801i,-0.00080993-0.0010577i,-0.00082546+0.00022852i,-0.00010758+0.00067606i,0.00068114+0.00072225i,7.8397e-05+0.00044834i,0.00034114-0.00034949i,0.00091239-0.00072821i,-0.00025268-0.00078421i,-0.00094674-0.0009723i,-0.00039339-0.0010756i,0.00040132-0.00034375i,0.0006769+0.00020217i,0.00083144+9.1301e-05i,0.0007823+0.00021166i,0.00094722+4.2461e-05i,0.00067103-0.00098383i,0.0006521-0.00038978i,0.0010024+0.00059691i,0.00075152+0.00065856i,-0.00039358+0.00078576i,-0.00042356+0.00034632i
0.00059804+0.0013699i,-0.00018695+0.00024285i,0.00026446-0.00025758i,0.0010171-0.00045365i,0.0014421-0.00061864i,0.00088849-0.00068622i,0.0003217-0.00019598i,0.00053127+0.00036098i,0.00044473+0.0006303i,-0.00031011+0.00067855i,-0.00058014+2.2574e-05i,0.00013984-0.0002978i,0.00061552+0.00015334i,0.00019759+0.00035765i,-0.0004826+0.0001205i,9.2137e-06+0.00034123i,0.0005582+0.00074147i,0.0001597+0.00014137i,-0.00033576-0.00027881i,-0.00030932-0.00065731i,8.927e-05-0.00069396i,0.00071537+0.00014381i,-0.00015865+0.00051204i
0.00041827-0.0012604i,0.00038885-0.0014619i,-0.0010658-0.0014123i,-0.0021266-0.0018575i,-0.0021406-0.0015984i,-0.001285-0.00033514i,-0.00014159+0.00094049i,0.00075305+0.00060758i,0.00055666-0.00022758i,-0.0004171-0.00048985i,-0.00084207-0.00057057i,-0.00077971-0.00042915i,-0.00065721-0.00027621i,0.00021966-0.00026329i,0.00036091-0.00031997i,-0.00051558-0.00015269i,-0.00041678-0.00029347i,0.00049425+0.00029676i,8.7858e-05+0.00042984i,-0.00067102+0.0001927i,-0.00057763+8.5266e-05i,-1.8807e-05-0.0001403i,0.00079535+0.00010671i
-7.1593e-06-0.002577i,-0.0010423-0.0027421i,-0.0019973-0.002451i,-0.0012908-0.0011221i,-0.00090369-0.0001688i,-0.00090648+0.00058193i,-0.00038286+0.0004288i,0.00025236-0.00041609i,-0.00025617-0.0010403i,-0.00015265-0.00090241i,9.2915e-05+0.00023076i,0.00040563+0.00085652i,0.00032963+0.00093698i,-8.1833e-05+0.00058822i,-2.5396e-05-0.0006877i,0.00056531-0.0013475i,0.0011408-0.00094662i,0.00071513-0.00022253i,0.00012776+0.00037844i,-0.00026199+0.00014867i,0.00030826+0.00017623i,0.00044761+0.00026853i,0.00040346-9.6853e-05i
-0.0004199-0.00078813i,-0.0013091-0.00014448i,-0.001399-0.00065584i,-0.0012074-0.001831i,-0.0010906-0.002105i,-0.00063788-0.0015962i,-0.00017957-0.0010021i,-0.00070129-0.000999i,-0.00051559-0.00060347i,8.2896e-06-0.00059735i,-0.00032986-0.00084401i,-0.00037042-0.0002202i,-0.00037883+0.00011481i,-0.00056069+0.00022528i,-0.00094981+0.00016875i,-0.00038623-8.9222e-05i,0.00058557-0.00037846i,0.00038255-9.1354e-05i,0.00073506+0.00033669i,0.00033232+0.00029465i,-0.00055983-0.00053579i,-0.00070746-0.00062414i,-0.00043178+5.0416e-05i
0.00093002+0.0010327i,-0.00020427+0.00026571i,1.8291e-06-0.00076888i,0.00018572-0.00096366i,-0.00014535-0.0015131i,-0.00058648-0.0011629i,2.1252e-05+0.00018879i,0.00046944+0.00068337i,-9.5029e-05+6.9448e-05i,-0.0010394-0.00010066i,-0.00059425+0.00060113i,-0.00032202+0.00073995i,-0.00051206+0.00025859i,-0.00024001+0.00042106i,9.911e-07+0.00076668i,-0.00015265+0.00040998i,-0.00051918-1.552e-05i,-0.0007618-4.2e-05i,-0.00069492-0.00026499i,-0.00030076-0.00046247i,0.00035941-0.00027431i,5.9291e-05-0.00030871i,-0.00012667-0.00036575i
0.0028898-0.0010466i,0.0013777-0.0016609i,-0.00012375-0.0027339i,-0.00081868-0.0022557i,-0.0012408-0.00097348i,-0.0013274-9.4499e-05i,-0.00046685+0.00047387i,0.00014734+0.00046488i,0.00010367-0.00085731i,-3.2767e-06-0.0016055i,-0.00011856-0.0012652i,-0.00061229-0.00082869i,-0.00050674-4.5924e-05i,-0.0004172-2.759e-05i,-0.00046527-0.00046362i,-0.00017287-0.00057536i,0.0002686-0.00053311i,0.00025094-0.00046821i,0.00018864-0.00062381i,-0.00012714-0.00074432i,-0.00041715-0.00073514i,-8.3807e-05-0.00022723i,0.00040148+0.00060502i
0.0018737+0.0014425i,0.00089237+0.0009726i,0.00042739+0.00023426i,0.00076506-0.00010269i,0.00053347-0.00051919i,-0.00063869-0.00060791i,-0.00056648-0.00025536i,0.00081973+0.00037953i,0.00094014+0.00046664i,0.00031712-0.00019259i,0.00024545-0.00051037i,-0.00010601-0.00054119i,0.00027345-0.00035157i,0.0007815-8.2536e-05i,0.00065218-0.00015028i,0.00023234+0.00046603i,-0.0005607+0.00076455i,-0.00052335+0.00025301i,5.6576e-06+4.4971e-05i,9.3339e-05+0.00026696i,-0.00035032+0.00051591i,4.0097e-05+0.00049912i,0.00036117+0.00050422i
-0.0002481+0.002759i,-3.2823e-05+0.0012438i,0.00092481+0.00031509i,0.0013673+0.00017614i,0.0016267+0.00046761i,0.0010508+0.00037432i,7.7944e-06-6.5633e-06i,-0.00038562-0.00019926i,0.00016787-0.00021954i,0.00047802+0.00022788i,0.00033943-0.00011771i,-5.1907e-05-0.00033764i,-0.00090659+0.00035271i,-0.0013186+0.00043729i,-0.0011577+0.00062533i,-0.00071407+0.00062969i,0.0002546+0.00016924i,0.00078939+0.000218i,0.00036177-1.3607e-05i,-0.00015854+0.00017156i,-0.00073506+0.0006633i,-0.00095168+0.00031127i,-0.00048186-0.00028027i
0.00033331-0.00085132i,-0.00066235-0.0013111i,-0.0020373-0.0017161i,-0.0025268-0.0012683i,-0.00234-0.00020756i,-0.0020041+6.1406e-05i,-0.0013861-0.0003404i,-0.00079145-0.00029552i,9.3438e-05+0.00020033i,0.00080881+0.0004526i,0.00059201-1.6395e-05i,0.0006017-0.00017736i,-0.00021392-8.6845e-05i,-0.00060649+0.00017892i,-0.00035593+0.00014935i,3.002e-05-0.00011095i,0.00084116-3.5415e-05i,0.00065282-0.00028987i,0.00036854-0.00067047i,0.0011371-0.0002328i,0.00084746+0.00040626i,0.00048845+0.0003951i,0.00038592+0.00016968i
-0.00034371+2.8082e-05i,-0.00065244+0.00057582i,-0.0013008+0.00050544i,-0.0013619+4.5932e-05i,-0.0012094+0.00038811i,-0.0013164+0.00046154i,-0.00054497+0.00033608i,-3.8461e-05+2.9701e-05i,0.00019942-0.00038685i,0.00035095-0.00049946i,-3.5118e-05-0.00021874i,-0.00014688+0.00067284i,0.00051724+0.00013551i,0.00054063-0.00072346i,0.00013439-0.00074099i,0.00077237-0.00048201i,0.001062-0.00070965i,0.00027526-0.0012408i,-0.00036171-0.0010011i,-0.00014647-0.00039312i,-0.0001944+0.00036207i,0.00052517+0.00082486i,0.00091453+0.00067231i
0.001317-0.0010796i,0.00077016-0.0010074i,-0.00043915-0.0018134i,-0.0019152-0.0020674i,-0.0024386-0.0016103i,-0.00091293-0.00032106i,-5.8021e-06-7.9276e-05i,0.00026359-0.000598i,0.00016008-0.00014145i,-0.00057084-7.2977e-05i,-0.0011779-0.00012288i,-0.0015405+0.00066341i,-0.00090485+0.00044789i,-0.00031878-0.0002788i,-0.00081114-0.00024832i,-0.00015971-0.00028246i,0.0004114-0.00066692i,-0.00016903-0.00073279i,-0.00044912-0.00026546i,-0.0003282+0.00017335i,8.3989e-05+0.00020518i,0.00065304+5.8351e-05i,0.00085994+0.00017991i
0.0010525-0.00010462i,0.0013072-6.1606e-05i,0.00062229-0.001198i,-0.00054687-0.0019389i,-0.00044404-0.0011131i,-0.00088678-0.00025636i,-0.0010118-0.00011833i,3.5937e-05-1.6534e-05i,0.00026537-0.00012582i,-0.00010041-0.00062613i,-0.00057406-0.00024871i,-0.00015216+0.00029193i,0.0002251-0.00020112i,0.00045017-2.3337e-05i,0.00048343+0.001084i,0.00025351+0.0014066i,-5.5359e-05+0.00077389i,0.00046302+0.00078445i,0.0012236+0.00095221i,0.0008035+0.00092304i,-0.00028175+0.00091747i,-0.00098394+0.00056017i,-0.00033705+0.00016753i
-0.00023361-0.00043775i,-0.0018272-0.00038233i,-0.0019104+3.4597e-05i,-6.0433e-06-0.00042425i,0.00085748-0.0013562i,0.0002914-0.00095262i,8.3983e-05+0.00024041i,-0.00028739-0.00017357i,-0.00021266-0.00075901i,0.00026073-0.001282i,0.00034517-0.0012763i,0.00053507-0.00041818i,0.00010008-6.9305e-05i,-0.00014697+4.9375e-05i,-0.00021248-0.00019611i,-0.00053988-0.00013684i,-0.0004496+0.0001115i,-0.00029573-0.0004917i,0.00011607+6.7808e-05i,0.0004226+0.00094674i,0.00033381+0.00092088i,8.7246e-05+0.00058432i,-0.00050608+0.0002144i
-0.0019332+0.0026514i,-0.00037482+0.0015238i,-0.00080294+0.0011465i,-0.0009224+0.0012163i,-0.00012105+0.0014469i,-0.00034507+0.0008948i,-0.0005831-0.00072405i,-0.00046195-0.0012744i,-0.00055247-0.00049428i,0.00019397-0.00038375i,0.0006559-0.0013653i,0.00039053-0.0013971i,-9.1488e-05+0.00015823i,-2.0751e-05+0.00091061i,0.00060533+0.00033926i,0.00036418+0.00020196i,-0.00071537+0.00015501i,-0.0013136+7.4232e-05i,-0.00074939+0.00050102i,-0.00013444+0.00091085i,-0.00065018+0.0007427i,-0.00061901-5.2882e-05i,0.00051933-0.00090946i
