-0.0015718-0.0013915i,-0.001784-0.0016887i,-0.0023577-0.00085664i,-0.0024729-1.409e-05i,-0.0026947+0.0010286i,-0.0026483+0.0021951i,-0.0017879+0.0019996i,-0.00052892+0.0014615i,0.00043037+0.00080166i,0.0012519+0.00050226i,0.0017907+0.00069105i,0.0015709-0.00025601i,0.00067584-0.0013617i,-0.00017497-0.00097517i,-5.6223e-05-7.5132e-05i,0.00072589-0.00014336i,0.00045084+7.9691e-05i,-0.0008409+0.00031185i,-0.0011403+0.00048046i,-0.00090744+0.00088916i,-0.00084505+0.0008998i,-0.00029298+0.00051123i,-0.00013445+0.00025935i
0.0014316+0.00063892i,0.00076118+7.8274e-05i,-9.5768e-05+0.00091528i,0.00098923+0.0018506i,0.0016648+0.00027587i,0.00074965-0.00090769i,-1.595e-06-0.00011397i,0.00046648+0.00014528i,8.5653e-05-9.6545e-07i,-0.00012648+1.014e-05i,0.00063456-0.0006274i,0.0009275-0.00090179i,0.00052787-0.00033805i,-0.00033301-0.00055108i,-0.00050632-0.0009384i,-0.00014215-0.00054994i,-0.00075471-0.00018504i,-0.00093179-9.6904e-05i,-0.00031383+0.00031923i,-0.00024424+0.00058335i,-0.0003765+0.00039817i,-0.00061964-0.00017862i,-0.0006868-0.00034488i
0.0010691+0.00071543i,0.0016027-0.00087217i,0.0022203-0.00087129i,0.0013834-0.00099874i,0.00040691-0.0019323i,-0.00014608-0.0010231i,-0.00058403+0.00014337i,-0.00031396+0.00028758i,-1.5469e-05+0.00032492i,-0.00062364+0.00026123i,-0.00050282+0.00014053i,0.00023031-0.00038987i,0.00033456-0.0010367i,0.00035532-0.00052571i,0.0005003+0.00033378i,0.00026284+0.00012754i,0.00020778-0.00031579i,-7.9322e-05+1.053e-05i,-0.00071213+0.00013188i,-0.00058612-0.00011079i,-0.00025263-5.8287e-05i,-0.00052619+0.00048933i,-0.00060145+0.00088416i
0.00065412-0.0019615i,-0.00014406-0.0023353i,3.9346e-05-0.0021278i,-0.00064772-0.0022731i,-0.0018751-0.00225i,-0.0023698-0.001655i,-0.0017148-0.0008089i,-0.00023634+0.00065116i,0.00066329+0.00080533i,0.00085453-0.00061006i,0.00027983-0.00085656i,-7.9629e-06-0.00032967i,0.00060416+1.7055e-05i,0.00052695+0.00043865i,0.00062557-0.00010177i,0.00061256-0.0001392i,9.7206e-05+0.00015556i,-2.5713e-05-8.323e-05i,6.1576e-05-0.0003232i,1.8661e-06-0.00072112i,-0.00028462-0.00028865i,-1.3321e-05+7.4588e-05i,0.00012771-0.00010996i
0.0015424+3.7987e-05i,0.0008809+0.00014479i,-0.00023296-4.6202e-05i,-0.0010589-0.00075145i,-0.00091885-0.0012332i,-0.00046315-0.0012022i,-0.00038131-0.00028962i,0.00013095+0.00066453i,0.00095522+0.00094385i,0.0012467+0.00039881i,0.00059599-0.00061417i,-2.1444e-05-0.00084877i,0.00014135-3.6372e-05i,-0.00012738+0.00024371i,0.00053578-0.00039557i,0.0010778-0.00048759i,0.00061875+7.6819e-05i,0.00021229+0.00022017i,-0.0005431-0.00053323i,-0.0011258-0.00075987i,-0.0013083-0.00079591i,-0.00087753-0.00059327i,-0.00022834+0.00077197i
0.0015133+0.00034896i,0.0014791-0.00052506i,0.0016017-0.00045791i,0.0009314-0.0004721i,-3.5108e-05-0.0013741i,-0.00046046-0.0011386i,-0.0015568-0.00048733i,-0.0012857-0.00036393i,-0.00034277+3.9969e-05i,-0.00079603+2.1886e-05i,-0.00017493-0.00011816i,0.00053416+0.00025863i,0.00042664-0.0002199i,0.0006252-0.00015627i,0.00054141-2.6171e-05i,0.00082865-3.6761e-05i,0.00038272+0.00014334i,-0.00053371-0.00025817i,-0.00054921-0.00034235i,-0.0001262-0.00016159i,3.4979e-05-0.00035937i,-0.00033275-6.6406e-05i,-8.8117e-05+0.00025615i
0.00037764-0.0012109i,0.00075145-0.0014939i,0.00021473-0.00082939i,-0.0005399-0.00035438i,-0.001329-0.0010117i,-0.0013655-0.0011042i,-0.00081378+0.00014869i,-0.00068986+0.00073226i,8.1609e-05+0.00017945i,0.0011041+0.0007218i,0.0011604+0.00031941i,0.0010144-0.00066796i,0.00077632-0.00056424i,7.0088e-06-0.00030874i,-0.00018987+0.00023104i,-0.00015116-0.00024258i,2.5718e-06-0.00083452i,-0.00051013-0.0004805i,-0.00084302+4.464e-05i,-0.00051697-0.00014012i,-0.00064544-0.00022849i,-0.00068298+0.00014286i,4.4277e-05-0.00012328i
-6.0075e-05-0.0012444i,-0.00023502-0.0015522i,-0.0015633-0.0023724i,-0.0021347-0.0033861i,-0.0029331-0.0019859i,-0.0030193-0.00013593i,-0.0017062-0.00034966i,1.5622e-05-0.00080472i,0.0014237-0.00086549i,0.0013447-0.00053773i,0.00041646+0.00016987i,0.00076398+0.00044979i,0.0012335+0.00046921i,0.0011059+0.00014256i,0.00067882+0.00017526i,0.00057631+2.0391e-05i,0.00083408-0.00054486i,0.00033218-0.00056925i,0.00018629-0.00012621i,7.5397e-05+0.00020258i,-0.00036128-4.5151e-05i,-0.00022072-0.00057691i,-0.00023233-0.0006342i
-0.00063716-0.0018593i,-0.0017322-0.00167i,-0.0020201-0.0017119i,-0.0021162-0.00095233i,-0.0021592-0.00037543i,-0.0023502+0.00059463i,-0.0024017+0.0011435i,-0.0013867+0.00075551i,-0.00052705+0.00030556i,5.7288e-05+3.2316e-05i,1.8385e-05+0.00066592i,0.0001206+0.00073548i,0.000964-0.00037807i,0.0012387-0.00069763i,0.0003173-0.00028786i,-0.00017395-0.00065922i,0.00050264-0.00093572i,8.5756e-05-0.00047226i,-0.00047563-0.00019061i,-0.0010925-0.00070013i,-0.0014094-0.00031649i,-0.00043809-0.00010623i,-0.00016016-0.00054719i
-0.00011265-0.00085144i,-0.00056159-0.0013609i,-0.00044321-0.00093464i,-0.00046839-0.00015973i,-0.0001586+8.7222e-05i,-0.0011918+0.0005915i,-0.0026737+0.00075562i,-0.001789+0.00036438i,-2.938e-05+0.00057039i,0.00051233+0.00063768i,0.00088244+0.00022851i,0.00084812-0.00010141i,0.001069-0.00027085i,0.0015267-0.00020557i,0.001271+0.00022692i,0.00097247-0.00038902i,0.0006826-0.00092607i,0.0005393-0.00025296i,0.00072593+0.00082099i,0.00056545+0.00089843i,0.00016355+0.00010695i,3.1351e-05-0.00063011i,-0.00058974-0.00094699i
-0.00035523-0.0020121i,-0.00059216-0.00083264i,-0.0012521+2.7856e-05i,-0.0011683+0.00078995i,-0.0011399+0.0013472i,-0.00023128+0.0013018i,0.00043131+0.00039674i,0.00030841-0.00029642i,-0.00029354-0.00030576i,-0.00070828+0.00054071i,-0.00071478+0.00084868i,-5.7429e-05-0.00015394i,0.00070963-0.00078379i,0.00063708-0.0014695i,2.6704e-05-0.0017415i,-0.00062084-0.0010007i,-0.00034912-0.00042169i,-0.00031994-8.4534e-06i,-0.00085658-0.0004533i,-0.00092897-0.00088279i,-0.00071857-0.00020442i,-0.0009119+0.0004523i,-0.00087128+0.00086056i
0.00090234+0.00040857i,0.0018141-0.0011655i,0.0027465-0.0017561i,0.0022334-0.0015237i,0.0014757-0.0011009i,-0.00028231-8.9481e-05i,-0.0015049+0.00050928i,-0.00052436+0.0005639i,0.0003166+0.00048311i,0.00079407-0.0001988i,0.0010831-0.00053507i,0.00030233-0.00018014i,7.3286e-05+0.00010881i,0.00035239+4.4004e-05i,0.00017234-0.00037588i,0.0003238+0.00042353i,3.4639e-06+0.00081876i,-0.00066342+0.00073573i,-0.00042492+0.000718i,7.3889e-05+0.0010428i,0.00021427+0.0014798i,2.1541e-05+0.00068828i,-0.00055103+0.00040326i
0.00078225-0.0012932i,3.0493e-06-0.0018361i,-0.00075688-0.0022267i,-0.00066826-0.0020897i,-0.0012451-0.0014049i,-0.00231-0.00051482i,-0.0019276+0.00014094i,-0.00032909+0.00037909i,-0.00016576+0.00083171i,-0.00039341+0.0012358i,0.00013474+0.00075863i,0.00046987+9.1148e-05i,0.00097973-0.00043675i,0.0011526-0.0009017i,0.0011042-0.00048302i,0.00083901+0.00026691i,0.00062445+0.00065372i,0.00046006+0.00068696i,0.00057166+1.3521e-05i,0.00048789-0.00037431i,-0.0001677-0.00020987i,0.00027867-0.00021429i,0.0011071+0.00012758i
-0.0020869-0.00079278i,-0.0008267-0.0015188i,-0.0021408-0.0009858i,-0.0030473-0.00083541i,-0.002565+0.0002211i,-0.0010244+0.0012748i,0.00038914+0.0011752i,0.00026764+0.00053714i,-0.00032582+0.00067834i,-0.00044923+0.0011735i,0.00010015+0.00088655i,0.00083918-0.00040896i,0.0014053-0.00099524i,0.0011139-0.00066165i,0.00055023-0.00064299i,2.7341e-05-0.00085767i,-0.00038462-0.0010769i,-6.0425e-05-0.00049939i,-0.0001256+0.00020052i,-0.00014969+0.00016849i,-0.00013701+0.00050795i,-0.00064835+0.00080163i,-0.00043357+0.00011152i
0.00017468-0.0030368i,-6.0538e-05-0.0023231i,-0.0018271-0.001354i,-0.0028366-0.00065608i,-0.0025026+0.00025868i,-0.0012912+0.00082931i,-0.00036229+0.001525i,-0.00015405+0.0016148i,0.00027687+0.0013323i,0.00055787+0.00082229i,0.00040903+0.00014464i,0.0006278-0.00056549i,0.00088978-0.00045755i,0.00053311-3.6355e-05i,0.00024587-0.0004688i,0.00060782-0.00063761i,0.00067992-0.00051804i,0.00040848-0.00040986i,0.000207-6.8127e-05i,0.00010917+0.00036516i,-6.5958e-05+0.00022236i,-0.00033329+0.00039263i,-0.00079585+0.00075927i
0.00041381+0.000861i,0.000674-0.00073962i,0.00052143-0.0011135i,-0.00069832-0.00073216i,-0.00091708-0.0011337i,-0.00054972+3.8632e-05i,0.00010104+0.0015181i,0.000863+0.00040966i,0.00067241-8.0406e-05i,3.8584e-05+0.0006314i,0.00068173-1.6997e-05i,0.00064531-0.00081952i,9.037e-05-0.00060301i,5.5663e-05-8.0815e-06i,0.00013544-9.8326e-05i,9.6456e-05-0.00026272i,-0.0003503-0.00014103i,-8.3e-05-0.0002834i,0.00032504-0.00041307i,0.00034896+0.00014179i,0.00066031+0.00045069i,-0.00013021+7.3322e-05i,-0.00055143-0.00067773i
0.00011331-0.0015543i,-0.00040877-0.0021117i,-0.00093188-0.0019422i,-0.0016965-0.0010833i,-0.0014062-0.00091525i,-0.00076932-0.00017244i,-0.00026003+0.00093706i,-0.0002017+0.00086949i,-0.00011138+0.00057028i,0.00026283+5.7251e-05i,0.00032661+0.00019137i,0.00036416-0.00014049i,0.00041557-0.0011005i,0.00054183-0.0016793i,0.00054516-0.00091932i,0.00030734-0.00022604i,-2.0539e-05-0.0005019i,-0.00045185-0.0001628i,1.208e-05+2.5026e-05i,-0.00037078-0.00030198i,-0.0010554-0.00018043i,-0.00038194+0.0007367i,-0.00017258+0.00051817i
0.0012909-0.00067132i,0.0016057-0.0010456i,0.0010058-0.0019048i,-0.00050061-0.0022642i,-0.0012392-0.0023588i,-0.0011499-0.0013537i,-0.00092922+0.00014439i,-0.00075352+0.0008297i,-0.001136+0.00092106i,-0.0018025+0.00095406i,-0.0012598+0.00079028i,-0.00015989+0.00031938i,0.00033734-0.00020699i,0.00057326+0.00010892i,0.00067118+0.00030001i,0.00073172-0.00038923i,0.00035501-0.00039671i,-4.2227e-05-0.00035427i,-9.4114e-05-0.0011864i,-0.00018018-0.0011554i,9.4543e-05-8.1435e-05i,-7.0729e-05+0.00023741i,-0.00045812-6.935e-05i
-0.00027535-0.00038021i,0.00011793-0.00028245i,-0.00071177+4.6474e-05i,-0.00082324+0.00039952i,-0.0001992+7.2266e-05i,-0.00015491-0.0010371i,-0.00023039-0.00082249i,0.00060804+0.00047007i,0.00068736+0.00072999i,9.7557e-05+0.00090044i,0.00080869+0.00031386i,0.0014525-0.00013355i,0.0010291-0.00035427i,0.0011504-0.00024839i,0.0011848+0.00051092i,0.00024458+0.00090946i,-0.00030538+0.00074934i,-3.7925e-05+0.00025063i,-0.00057561-0.00015276i,-0.00077596-5.9752e-05i,-0.00015303+0.00055809i,0.00020731+0.00080415i,2.3591e-05+0.0009122i
0.00020722-0.00060067i,-0.00055592-0.00060399i,-0.0001398+0.00038456i,0.00022838-0.0004979i,0.00012057-0.0014915i,-0.00049089-0.0012726i,-0.00031942-0.00055559i,0.00023913+0.00033768i,0.0010598+0.00072505i,0.0014942+0.00049646i,0.0017466+0.00016123i,0.0011405-0.00052628i,0.00033559-0.00062562i,2.7434e-05-0.0001238i,-0.00017996+0.00028369i,0.00066647+0.0004832i,0.0010674-0.00025909i,0.00071053-0.00011348i,0.00020276+0.00050489i,-0.00061247+0.00079886i,-0.00047754+0.00069139i,0.00034865+0.00097272i,0.00020899+0.00090208i
0.0010884-0.00024763i,0.00038178-0.0017572i,-0.00053975-0.0017605i,-0.00055391-0.00061952i,-0.00037611-0.00095428i,-0.00084867-0.001013i,-0.0012667-0.00042974i,-0.00077135+0.00021527i,0.00021135+0.00080577i,0.00035597+0.0011186i,0.00033522+0.00089625i,0.00088751+0.00057793i,0.0012692+6.2094e-05i,0.00049684+0.00012579i,0.00046236-0.0003243i,0.0010295-0.00061324i,0.0005323-0.00035711i,-0.00041529-0.00022059i,-0.00075065+0.00026702i,-0.00056315+0.00055096i,-0.00092061+0.00048953i,-0.00067331+0.0004698i,-0.00042075+0.00019378i
0.00032319+8.9794e-05i,0.00060372-0.00015657i,0.0011341+0.00086163i,-0.00014384+0.00057501i,-0.0018042-0.0011105i,-0.0024873-0.001447i,-0.0017756-0.00096195i,-0.0005088-0.00043751i,0.00061205-0.00015126i,0.00093297+0.00027421i,2.3697e-05+8.0096e-05i,-0.00065237-0.00077469i,-0.00017246-0.00074776i,1.6816e-05-0.00054787i,-0.00054173-0.00037338i,-0.0004673+7.2132e-05i,-0.00033725-0.00020664i,-0.00057137-0.00014985i,-0.00058171-0.00011606i,-0.00060054+9.7675e-05i,0.00012074+0.00052517i,0.00055838+0.00038875i,1.4691e-05+9.7461e-05i
0.00058204-0.00098156i,-0.00059159-0.0014953i,-0.00089141-0.0019618i,2.0325e-05-0.0013647i,-0.00052532-0.00061085i,-0.0020396-0.00078752i,-0.00169-0.00077725i,-0.00071608-0.00013899i,-8.1049e-05+0.00043783i,0.00019534+0.00057526i,0.00050829-0.00058544i,0.00073154-0.00040873i,0.00032352+0.00022247i,0.00034258+0.00053118i,0.00084271+0.00076092i,0.00062257+7.4617e-05i,0.00060174-0.00021145i,0.00086774-0.00026952i,0.00026507-0.00039661i,-0.00066349+0.00022366i,-0.0013777+0.00042162i,-0.001746+2.5936e-06i,-0.0010494-0.00011017i
0.0022734+0.00055954i,0.0017657+0.00052956i,0.001795-0.00049838i,0.00054921-0.0017714i,-0.00094579-0.0017813i,-0.0012753-0.0013505i,-0.0019816-0.00053549i,-0.0024837-0.00071709i,-0.001008-0.00072254i,-0.00045141+0.00023167i,-0.00049663+0.00039604i,-0.00017642-0.00060598i,2.7957e-05-0.00080462i,0.00064516-0.0004638i,0.00097342-0.0005289i,0.0010656-0.0010876i,0.0011498-0.00092133i,0.00076626-0.0006177i,-8.8535e-05-0.00025414i,-0.00023176+0.00053483i,-4.514e-05+0.0011279i,0.00027977+0.0011424i,0.0002706+0.000616i
-0.00049534+0.00047084i,0.00012209+0.00031847i,0.00099727-0.00084222i,0.00043924-0.001742i,-0.00068841-0.00086746i,-0.0017078-0.00016541i,-0.0012856+0.00023994i,-0.00032848+0.0003539i,-0.00020197-7.306e-06i,0.00020524-0.00033641i,0.00061115-0.0006571i,0.00031033-0.0006136i,0.00044238-0.00052869i,0.00033747+2.446e-05i,0.00013507+0.00027894i,-0.00010137+0.00018437i,2.5893e-06-8.534e-05i,5.3421e-05-0.00064542i,-0.00027288-0.00045385i,0.0003882-0.00027371i,0.00055914-4.3466e-05i,-0.00029501+0.00015204i,-0.00072778-4.9399e-05i
0.0015228-0.00094222i,0.0012207-0.0017926i,0.00045178-0.00011113i,-0.0011337+1.827e-05i,-0.0018397-0.0019137i,-0.0021692-0.0013333i,-0.0017668+0.00045626i,-0.00085516-2.8321e-05i,-0.00027277-0.00077163i,0.00011703-0.00041767i,-7.8178e-05-0.00025697i,-0.0002312-0.0003349i,9.8917e-05-0.0011452i,0.00028919-0.0016368i,0.00043469-0.00092664i,0.00038221-0.00040115i,-0.00020005+3.5266e-05i,-0.00067914-0.00032484i,-0.00058579-0.00064372i,-0.00046686-0.00050583i,-0.0001512-0.00048013i,0.00023851-0.00032379i,0.00032811+0.00049597i
0.00038302+0.00011973i,-0.00014128-0.00037987i,-0.00073788-0.00072849i,-0.001233-0.00029293i,-0.0016209-3.0125e-05i,-0.0019418-5.658e-05i,-0.0023014+0.0002021i,-0.0012731+5.5121e-05i,-1.8835e-05-0.00013883i,0.00055077+5.5839e-05i,0.00018905+3.5896e-05i,-0.0001346+3.6927e-05i,0.00050014-0.00037695i,0.00064317-0.0012922i,9.3493e-05-0.0012812i,-0.00050936-0.00075455i,-0.00059715-0.00042694i,-0.00067794+0.00024929i,-0.00077594+0.00049058i,-0.00042168-4.9966e-05i,-0.00021491-6.6314e-05i,0.00027174+0.00060261i,0.00053753+0.0015209i
0.00049257-0.0019057i,-0.00017152-0.0017952i,-0.0012638-0.0021544i,-0.0011075-0.001645i,-0.00061015-0.00062636i,-0.00067809+0.0001427i,-0.00023583+0.00064465i,0.0011788+0.00068121i,0.0017233+0.00044349i,0.001519-0.00024436i,0.0011425-0.00054758i,0.00065544+7.104e-05i,0.00042292-0.00016495i,0.00055049-0.00025493i,0.0012236+0.00019626i,0.0011739+0.00043782i,0.0005675+0.00013511i,0.00015388-0.00013986i,0.00011755-8.7838e-05i,-0.00041508+9.0575e-05i,-0.00079846-0.0001297i,-0.00038579+0.00029327i,0.00011325+0.0003815i
0.0028318-0.00068651i,0.0019076-0.001883i,0.00051678-0.002507i,-0.00081764-0.002708i,-0.001581-0.00305i,-0.0023022-0.0016149i,-0.0019558+0.00038519i,-0.00037136+0.0012893i,0.0010084+0.00061043i,0.0011881-0.00057988i,-0.00028263-0.00047373i,-0.00080173+4.0469e-05i,-0.00038514+9.2426e-05i,0.00053247-0.00017071i,0.0011054+3.0472e-05i,0.00060972+0.00011531i,-0.00045809-0.00045315i,-0.00070734-0.00056136i,-0.00036214-0.00055774i,-0.00010498-0.0002508i,0.00027351-5.7742e-06i,-0.00021157-2.8824e-05i,-0.00082692-0.00047587i
-0.0008085-0.0012939i,0.00033473-0.0014245i,0.0011692-0.00062621i,0.0015685-0.00064593i,0.002057-0.0010117i,0.001588-0.00096468i,5.7676e-05+4.6825e-05i,-0.0011313+0.0013439i,-0.00081716+0.00051591i,0.00081984-0.00051945i,0.0016159+2.5284e-05i,0.00084379-0.00014501i,-8.332e-05-0.00034007i,0.00012331-2.9785e-06i,0.00055747+0.00030348i,0.00072659+0.00052247i,0.00061927+0.00059449i,-0.00016118+0.00069708i,-0.00053993+0.0004392i,-0.0009266-0.00016976i,-0.00084985-0.00042624i,9.7726e-05-0.00026545i,0.00027183-0.00017418i
-0.00023154-0.0010111i,-0.00044779-0.0014701i,-0.00096225-0.0010486i,-0.0015097-0.00055994i,-0.0014629-0.00052009i,-0.00083659-0.00040261i,0.00011251-0.00027563i,0.00031032-0.00029669i,-8.5864e-05-0.00033387i,-0.00023568+0.00033096i,-0.00018757+0.0002325i,0.00043221-0.0010504i,0.00037506-0.001564i,2.2526e-05-0.00098143i,-4.6459e-05-0.00064617i,0.00043571-0.0002314i,0.00056273+0.00043999i,9.1965e-05-7.9931e-05i,-0.00032941-0.0007654i,-8.0499e-05-0.00073833i,9.2212e-05-0.0010164i,1.0764e-05-0.00063591i,0.00029639-0.00032589i
-0.00043848-0.0019315i,-0.0015673-0.0024639i,-0.0021998-0.0027684i,-0.0024765-0.0018999i,-0.0027607-0.0019453i,-0.002304-0.00059768i,-0.0010372+0.0012464i,-0.00053263+0.00091827i,0.0002467-0.00049845i,0.00061204-0.00032609i,-1.4643e-05+0.00011035i,4.2005e-06+0.00015444i,0.00048648+0.00015367i,0.0016272+1.3328e-06i,0.0024405+0.00016668i,0.0015548+0.0006722i,0.00023544+0.00081576i,0.00012886-0.00014158i,-7.6397e-05-0.00048977i,-0.0010704+0.00019653i,-0.00030457+0.00038932i,0.00061892+0.00051443i,0.0001473+0.00035442i
