0.00097527-0.00028338i,0.0015912-0.0019216i,0.00038542-0.0028795i,-0.0019233-0.0021212i,-0.0039612+3.2146e-06i,-0.0037963+0.001833i,-0.0017318+0.00099956i,-0.00063765+0.00048339i,8.1061e-05+0.00026568i,0.00040226-0.0006418i,5.2392e-05-0.0012714i,-0.00065394-0.001394i,-0.0011786-0.00054515i,-0.0010588+0.00011323i,-0.00060688+0.00055066i,2.4996e-06+0.00034023i,0.00017026-0.00098699i,0.00061615-0.0010282i,0.00095156-2.9228e-05i,0.0012575+0.00082108i,0.00078306+0.0017644i,-7.0676e-05+0.001769i,-0.00010958+0.00069514i
4.6455e-05+0.00078052i,0.001184+0.0014476i,0.0011565+0.0022987i,-1.5897e-06+0.0029712i,-0.00070069+0.0017847i,-6.0452e-05-3.4794e-05i,-0.00010926-0.00073378i,-0.00095641-0.00051065i,-0.00070102-0.00038989i,8.1228e-06+0.00018884i,2.9049e-05+0.00044636i,-0.00011581-0.0002022i,-0.00045147-0.0002505i,-0.00031464+8.8388e-05i,0.00045308-0.00015938i,0.001048-8.1596e-05i,0.00098892+0.00037351i,0.00015289+0.00021045i,-0.00029801-0.00081532i,-0.00029043-0.0010543i,-9.797e-05-3.5331e-05i,-0.00034192+0.00055265i,-0.0006471+0.00018435i
-0.0010204+0.00067236i,-0.00062676+0.00087659i,-0.00014459+0.0016924i,-4.4979e-05+0.0013442i,0.00046653+0.0013962i,0.000219+0.00043869i,-0.00016562-0.00060408i,0.00040563-0.0001836i,0.00030266+0.00063509i,1.7412e-05+0.00062797i,8.8833e-05+0.0004607i,-6.748e-05+1.6142e-06i,-0.00089479+0.00054738i,-0.00094535+0.00045462i,-0.00010116-2.5217e-05i,1.3746e-05+0.00054772i,0.00018405+0.00059108i,-0.00011589+0.00021277i,-0.00087901+0.00017367i,-0.0014765-5.0029e-05i,-0.00092399-0.00068141i,-0.00045498-0.00073931i,-0.00060482+0.00023627i
-0.0014493+0.00043118i,-0.001099+0.00078961i,2.4019e-05+0.00094064i,0.00048875+0.0008538i,0.00081994+0.00049912i,0.0011695+0.0011876i,-8.8564e-05+0.0015404i,-0.00089778+0.0012271i,0.00021324-0.00017603i,0.00057329-0.00067515i,1.1531e-05+4.1703e-05i,4.3874e-05+9.2547e-05i,-0.00015279-0.00015689i,-0.00052173-0.00044378i,-0.0003306-0.00043649i,-0.00034573+0.00027375i,-0.00050368-0.00010096i,-3.5418e-05-0.00044932i,-0.00023131-0.0002497i,-0.00074139-0.00015137i,-0.00031838+0.00036875i,0.00036611+0.00057406i,0.0003676-5.2584e-05i
0.0015802+0.00032386i,0.0019532+0.0012681i,0.0024638+0.001029i,0.00075447+0.00046534i,-0.0012512+0.00064832i,-0.0011092+0.00023299i,-0.00033045-0.00085384i,-0.00052852-0.00088799i,-0.00039498-0.00013459i,-0.00030252+0.00019059i,-0.00054524+0.00024182i,-0.00074256+5.0384e-05i,-0.0001949+0.00017455i,6.2982e-05+0.0008102i,-0.00051883+0.0011978i,-0.00062906+0.00085055i,-0.00053286+9.6672e-05i,-0.00085544-0.0001561i,-0.0012305-0.00056882i,-0.00088631-0.00055211i,-0.00080519-0.00027926i,-0.00043656-0.0012662i,0.00026616-0.00079221i
-0.0023979-0.00018973i,-0.0025452-0.00033894i,-0.0018483-0.00062068i,-0.00015559+0.00013768i,0.00088756+0.00078396i,8.6898e-05+0.00020312i,-0.0016793-0.00052714i,-0.0021435-0.00097587i,-0.00088413-0.00046888i,-0.00021661+0.00045666i,0.00031394+0.00059877i,0.00065183+0.00025293i,0.00042831+0.00011144i,0.00050576-9.5537e-06i,0.00044736+0.00017186i,0.00042911+0.00024226i,0.00037292+0.0001988i,7.312e-05-6.3391e-05i,-1.1126e-06-0.00061067i,-0.00018514-0.0006755i,0.00015345-0.00040624i,0.0003832-0.00025585i,-0.00029766+0.00057868i
-0.00053722+0.00029439i,-0.0011575+0.002083i,-0.0021883+0.0022493i,-0.0021969+0.0014682i,-0.0010801+0.00019028i,-4.6391e-05-0.00019254i,0.0002426-2.0125e-05i,-0.00026015+0.00022081i,0.00017359+0.0001415i,0.00080556+9.7122e-05i,0.00037226-0.00029983i,-0.00031075-0.0011124i,-0.00033757-0.00065367i,0.00014105-4.3711e-05i,-2.1578e-05+0.00056608i,-0.00034728+0.0010793i,-0.00046467+0.0010308i,-0.00080078+0.00056326i,-0.00056163+0.00057702i,0.00024062+0.00060399i,0.00072846-0.00054607i,0.00063384-0.00046561i,0.00050175+0.00050543i
-0.00034161+0.0015182i,-0.0009183+0.00064069i,-0.00053096-0.00012865i,0.00028814-0.00013376i,0.00097029+0.00051884i,0.00056505-0.00059447i,-0.00071901-0.0011447i,-0.00053651+0.00069355i,0.00032927+0.0010913i,0.00073001+0.00085976i,0.000351+0.00057164i,-0.00053794-0.00071415i,-0.0012079-0.00026119i,-0.00099046+0.0001281i,-0.00031966-0.00041891i,0.00064738-0.0001842i,0.0015059-8.9763e-05i,0.0011261+0.00022907i,0.00027496+0.00050055i,-7.3066e-05+0.00037105i,-0.00030624+0.00013744i,-0.00077932+0.00085221i,-0.0010098+0.0013694i
-0.0002794+0.0014476i,0.00055046+0.0012807i,0.00085025+0.0014049i,0.0010854+0.0015246i,0.00026612+0.0012304i,7.9663e-05+0.00034393i,0.00054446-0.00068232i,0.0003161-0.0006977i,0.00033505+0.00014675i,0.00030562+0.00068157i,-9.4253e-05+0.00032247i,0.00028057-0.00027747i,0.0008493+5.0161e-06i,0.00023599+0.00014503i,-0.00057336+0.00017565i,-6.7548e-05+0.0010908i,0.00076958+0.0014073i,0.00051833+0.00058726i,-0.00040813-0.00065175i,-0.0007129-0.0010924i,-5.682e-05-0.00040809i,-3.8745e-05+6.238e-05i,6.9822e-05-0.00034742i
0.0013925-0.0011506i,0.0017937-0.00067632i,-0.00052888-0.00062203i,-0.0025066+0.00026758i,-0.0021815+0.00076616i,-0.001684+0.00088206i,-0.0012914+0.00083425i,-0.00035028+0.00048907i,2.1309e-05+0.00015018i,-0.00074482-0.00024626i,-0.001047-0.00073531i,-0.00056214-0.00038183i,5.4436e-05+0.00043322i,0.00045495+0.000778i,0.00092824+0.00055686i,0.0010606+0.00042876i,0.00057245+2.1395e-05i,-3.264e-05-0.00063396i,-0.00016754-0.00035514i,-0.0002087+0.0004137i,-0.00020596+0.0004207i,-0.00034799-0.00017245i,-0.00049883-0.000175i
0.00022811-0.0023119i,0.00033251-0.0018981i,-7.9726e-05-0.0011738i,-0.0011634-0.00022183i,-0.0020481+0.0010747i,-0.0013135+0.0010844i,-0.00049826-0.000203i,-3.5704e-05-0.00045792i,0.00037574+0.0001845i,-2.2389e-06+0.00064528i,-0.00045679-0.00029243i,-0.00018184-0.00074785i,3.3191e-05-0.00055346i,-0.00070985-0.00049126i,-0.00032588+0.0002249i,0.00023985+0.001088i,-6.1022e-05+0.00064807i,-3.0762e-05+0.00066361i,-7.0676e-06+0.00082113i,-7.741e-06+0.00020291i,-0.00042607+0.00025062i,-0.00057154+0.000619i,-0.00042341-4.8889e-05i
0.0002382+0.0017009i,0.00076976+0.001821i,0.00063404+0.00081522i,-0.00033283+0.00028528i,-0.0004809+0.00059369i,0.00062516+0.00056662i,0.00087614+0.00041503i,0.00038804-2.1385e-05i,7.0464e-05-0.00033817i,-0.00016739-0.00050614i,-0.00031641-0.00022219i,-0.00077289+0.00056401i,-0.00076995+0.00027548i,-9.7377e-05+0.00013703i,-6.4754e-05+0.00097949i,-0.00098368+0.0016705i,-0.0011815+0.00056054i,-0.00034516-0.00062253i,0.00015454-0.00017569i,2.1523e-05-0.00016061i,0.00036646-0.00029206i,0.00090637+0.00021986i,0.00051954+0.00047804i
0.0016531+0.0013854i,0.0026556+0.0014972i,0.003512+0.0010964i,0.003403-0.00026036i,0.0026145-0.0010152i,0.0013535-0.0010267i,-0.00037873-0.001405i,-0.0015776-0.00057252i,-0.00095774+9.7878e-05i,-0.00040799-0.00070401i,-0.00051505-0.0003468i,-2.6061e-05+0.00083645i,-0.00043689+0.00099669i,-0.0016733+0.00033914i,-0.0015835-0.00018848i,-8.7154e-05+0.00013248i,0.00041437+0.00080195i,-0.00061464+0.00043262i,-0.00052163+0.00016273i,-0.00030438+0.00035291i,-0.00016144+0.001214i,-1.3512e-05+0.001922i,-0.00037334+0.0011178i
0.00050642-0.0011287i,0.0012096-0.0012777i,0.00072393-0.00066468i,-0.00058195-0.00026998i,-0.0009366-0.00047463i,-0.00031005-0.00086464i,-0.00025246+8.8277e-05i,0.00034997+0.00061882i,0.00022283-0.0001533i,-0.00072015-0.0007948i,-0.00027178-0.00058009i,0.00064749-0.00027152i,0.0002267+0.0001796i,-0.00062595+0.00023467i,-0.00096718+2.9931e-07i,-0.00057034-2.7192e-05i,8.2892e-05-0.00022805i,0.00049082-0.00057102i,0.00030866-0.00022117i,-1.2261e-05+0.00028936i,-0.00035372+0.00019392i,-0.00045246-0.00060464i,-0.00043574-0.00092289i
0.0014016+0.00065081i,0.0012004+0.0019022i,0.0014131+0.0013664i,0.0014892+0.0007104i,0.00092403+0.00066301i,-0.00011993+0.0002298i,-0.00071584-0.00025238i,-0.0002637-0.00053142i,-2.7086e-05-0.00050813i,-0.000304-0.0002709i,-0.00020326-0.00025806i,4.0546e-05-0.00024312i,-0.00017121+0.0002466i,0.0004051+0.00029021i,0.00084616+1.2685e-05i,-7.1824e-05-0.00022334i,-7.5639e-05+0.0002797i,-2.1195e-05+0.00016178i,0.00020397-0.00038095i,0.00036955+0.00017296i,0.00071877+0.00063309i,0.00092628+0.0010431i,0.00075931+0.0006989i
0.0011672-0.00028332i,0.0017189-0.0011686i,0.0014966-0.0015091i,0.00066409-0.00068499i,0.00019814+0.00022083i,5.6178e-05+0.00061258i,-0.00012973+0.0010038i,-0.00017829+0.00078476i,-3.829e-05+0.00016116i,5.1913e-05+0.00032227i,0.00012937+0.00067784i,-5.4969e-05+0.00063759i,-0.0003142+0.00039281i,-1.7038e-05+0.0001387i,0.00070481-0.00024141i,0.00055-0.00030241i,-0.00037257-0.00022818i,-0.00093809+0.00028807i,-0.0012248+0.00075237i,-0.00074624+0.00055252i,0.00042357-4.1691e-05i,0.00085428-0.00010256i,-2.7971e-05-0.00013948i
-0.00037862+0.0021099i,3.6744e-05+0.003391i,5.8328e-05+0.0030496i,0.0005229+0.0012479i,0.00059534+0.00036339i,-0.00039088-0.00024825i,-0.00041482-0.00072146i,8.1126e-05-0.00092168i,0.00043359-0.0001747i,-9.3181e-05+0.00060681i,-0.00085002+0.00021651i,-0.0010545+9.432e-05i,-0.00017782+0.0010704i,0.00035798+0.00076148i,0.0005835+6.6605e-05i,5.4554e-05+0.00024383i,-0.00093552-0.00044231i,-0.00051015-0.00032411i,-0.00020712+0.00023873i,-0.00038518-0.00033358i,-0.00065621-0.00055842i,-0.0013163-0.00066807i,-0.0008261-0.00070471i
0.0013638+3.1651e-05i,0.0019007+0.0010456i,0.0020172+0.0022267i,0.00083081+0.0016912i,-0.00051149+0.0016869i,-0.00092342+0.0010535i,-0.00074592-7.3103e-05i,-0.00065537+0.0001384i,-0.00026399-0.00024089i,-0.00053783-0.00060911i,-0.0009877-0.00010709i,-0.00058928+0.00044384i,-0.00074853+0.00053198i,-0.0007125+0.00023264i,6.0278e-05-0.00021243i,0.00021658+8.4181e-05i,-9.8838e-05+0.0002465i,-0.00018825+0.00019377i,-0.00043911-0.00038376i,-0.00042062-0.00058141i,-0.00044185-0.00036398i,-0.00060917+0.0003631i,-0.00030855+0.00034519i
-0.001388+0.00022192i,-0.00080413-0.0004874i,2.365e-05+0.00033179i,0.00035382+0.0006183i,0.0010959-0.00018475i,0.00087491-0.00088534i,-0.00014996-0.0009462i,-0.00017305-0.00031451i,0.00018527+0.0003644i,0.00032378+0.00075728i,0.0003679-0.0003553i,0.0005522-0.0010753i,0.0010646+0.00010542i,0.0010915+0.0010835i,0.00012925+0.00047516i,-0.00042265-0.00025196i,0.00042816-0.0001363i,0.00097066-0.00020968i,0.0010682-0.00049401i,0.00064359-0.00012519i,0.00012691+7.8738e-05i,0.00030224+9.1846e-05i,0.00058961+0.00016046i
-0.0011894+0.00076674i,-0.0018704+0.00064485i,-0.0021602+0.0012988i,-0.0011251+0.0018911i,-0.00048595+0.0014731i,-0.0014322+0.00010853i,-0.0012669-0.0006436i,-0.00014089-0.0008683i,0.0002099-0.00080426i,0.00032393-0.00050062i,0.00041485-0.00017232i,-0.00024191+0.00025048i,-0.00070679+0.00021068i,-0.00071142+0.00042569i,-1.0765e-05+0.00073338i,0.00042109+0.00064524i,-0.00011868+1.856e-05i,-5.7345e-05+6.5421e-05i,0.00055908+0.00024321i,0.00076174+0.00024356i,0.00056357+0.0005241i,0.00067607+0.00053021i,0.00061054+0.00055234i
0.0025976-0.0002551i,0.0027187-0.0005543i,0.0012443-0.0015045i,0.00021614-0.0014544i,-0.00036461-0.0011298i,-0.0010874-5.5844e-06i,-0.0013308-0.00023334i,-0.00043207-0.0008048i,0.00020396-0.00055051i,-7.646e-06-0.0002044i,-0.00043426+0.00015399i,-0.00079955+0.00032312i,-5.878e-05-0.00013744i,0.00033063-0.00085118i,-4.7781e-05-0.00091424i,-0.00033104-0.00039577i,0.00012509+0.00010947i,0.00055334+0.00093278i,0.00021234+0.00074705i,5.7957e-05+0.00042935i,-5.2919e-05+0.00022766i,-0.00037123-0.00019767i,-0.00024356-0.00023484i
0.0011602-0.00094018i,0.0021442-0.0012306i,0.0018502-0.0012124i,0.00033793+8.3356e-05i,-0.0006591+0.0013631i,-0.00045335+0.00092294i,-0.00052236+0.00069432i,-0.00013369+0.0002931i,-7.7255e-06-0.00012308i,0.00027989-6.791e-05i,0.00086664+0.0004394i,0.00020374+0.00085577i,2.484e-05+0.00047798i,0.0010326-0.00020699i,0.0012817-0.00078208i,0.00081622-0.0006413i,0.00094175-0.00042824i,0.00080374-0.00057352i,0.00014588-0.00071253i,0.0001889-0.00078478i,0.00029215-0.00056995i,-9.6501e-05-2.3372e-06i,-0.00021964-0.00020698i
-0.0017267-0.0021935i,-0.0023585-0.0023734i,-0.0027107-0.0016975i,-0.0021235-0.00018024i,-0.0019402+0.0014872i,-0.00031562+0.0011329i,0.00073889+0.0003908i,-1.7264e-07+0.00066588i,0.00034448+0.00022627i,0.00096616+8.8961e-05i,0.00061258+0.00099356i,0.00093963+0.0013661i,0.0015332+0.0010504i,0.0012721+0.0006429i,0.00059852+0.00087466i,-7.6878e-05+0.00099245i,-0.00046226+0.0009427i,-0.00015037+0.00061735i,0.00016774-0.00010931i,0.00018359-0.0005107i,0.00024411-0.00054418i,0.00068767-0.00051243i,0.00051474-1.1118e-05i
-0.0017808+0.00072108i,-0.0010821+0.0019201i,-0.0017002+0.0031115i,-0.0015457+0.0026114i,-9.9654e-05+0.0020986i,0.00088934+0.0010142i,-7.2157e-05+0.00042746i,-0.00063244+0.00062899i,-0.00037616+0.00065395i,-0.00030361+0.0003816i,0.00061201-0.0001991i,0.0011597-0.00033773i,0.00028016-0.00027833i,-0.00060133-0.00017894i,-0.00056567-0.00069277i,-0.00078401-0.00077593i,-0.0012341-0.00053901i,-0.00084062-0.0005462i,0.00030126-0.00070842i,0.0008131-9.3014e-05i,0.00012912+0.00021323i,3.3108e-05+0.00020274i,0.0005356+0.00070081i
0.002357+0.00013252i,0.0023853-0.0011602i,0.0012514-0.00045787i,0.00081538-0.00037322i,0.00038193-0.00069373i,1.6502e-05-0.00084374i,0.00027342-0.00038591i,0.00044517+0.00010521i,9.8361e-05-6.4878e-06i,0.00022316+2.1659e-05i,0.00066246+0.00032298i,0.00037205+0.00022467i,0.00056836-0.00033041i,0.00048487-0.00056194i,-5.0551e-05-0.0003371i,-0.00048289-0.00024503i,-0.00027093-0.00040164i,0.00030927-0.00051783i,0.00010766-0.00040671i,-0.0006139+5.6442e-05i,-0.00046201+0.00087519i,0.00018165+0.0013095i,0.00029437+0.0006551i
0.0020865+0.00035202i,0.0033196-0.00013182i,0.0031391-0.0014097i,0.0015297-0.0015646i,-0.0006642-0.00070811i,-0.0011452+0.00026001i,-0.0016562+0.00036622i,-0.0011179-0.00020643i,-0.00044-0.00032714i,-0.0012238-7.1659e-05i,-0.0010827-0.00077942i,-0.00036888-0.00062196i,-0.0003663+0.00035668i,-0.00039916+0.0010198i,-0.00038444+0.0010766i,-2.7079e-05+0.00082718i,0.00078288-0.00031725i,0.00088405-0.0010347i,0.00018066-0.00060627i,-0.00032029-0.00060443i,-0.00031872-0.00022252i,0.00018169-0.00035655i,0.0006488-0.00019681i
-0.0010475-0.00040939i,-0.0011303-0.00040686i,-0.0017282+0.00032693i,-0.0015432+0.0012814i,-0.00061953+0.0010908i,-0.00040878+0.00024593i,-0.00054968+0.00013698i,-0.00049991-9.8372e-05i,-0.00051266-0.00031752i,-0.00026422+0.0011558i,0.00040758+0.0015979i,0.00091203+0.00051427i,0.00082704-0.00054399i,-2.7017e-05-0.0013236i,-0.0001502-0.0011352i,-0.00014541-0.00032338i,-0.00027396-0.00013436i,0.0005695-0.00020859i,0.0013802-7.0117e-05i,0.0010429-2.8639e-05i,0.00028793-0.00026917i,0.00088222-0.00038158i,0.00073825+0.00044107i
0.0018016+0.0014732i,0.0016704+0.0017773i,0.0024278+0.00040671i,0.0020295-0.00081776i,0.00019675-0.00069492i,-0.0013441-0.00033568i,-0.0017187+0.00031616i,-0.0012996+0.00046746i,-0.00048446-0.00041802i,-0.00052055-0.0010516i,-0.0012302-0.0009905i,-0.0018215-0.00055088i,-0.0011307-0.0005282i,-0.00088883+2.1676e-05i,-0.0013176+0.00015355i,-0.0011459-0.00023769i,-0.0012232-0.00029641i,-0.0011179-0.00046016i,-0.0004368-0.00021202i,-0.00033755-0.00055208i,-0.00085135-0.00035133i,-0.00054567+0.00013233i,-0.00054331-0.0003477i
0.00053322-1.3244e-05i,0.00091384+0.001435i,-0.00024672+0.0025977i,-0.00097346+0.0026183i,-0.0003459+0.0021479i,7.0056e-05+0.0017399i,-0.00048009+0.00011594i,-0.00083891-0.00088751i,-0.00085355-0.00068268i,-0.00089736-0.00039272i,-0.00073065-0.00012488i,-0.00024678+0.00063122i,0.00019482+0.00068314i,0.00020495+0.00064077i,0.00018391+0.00052529i,-7.2006e-07-0.00013516i,-0.00018851-0.00042275i,4.1158e-05+0.00032717i,3.3225e-05+0.00079215i,-0.00024037+0.00029915i,-0.0004793+0.00014724i,-0.00065227-0.00013962i,-0.00020262+0.00010049i
-6.7189e-05+0.002382i,0.0015129+0.0017699i,0.0025399+0.00084038i,0.0027503+0.00030489i,0.0024677-0.00088922i,0.0015479-0.0011273i,0.0001875-0.00021689i,0.00039373+0.00093453i,0.0013291+0.0010873i,0.00092055-0.00038902i,-2.5666e-05-0.0013989i,-0.00031841-0.0008432i,-0.00071134-0.00097012i,-0.00056661-0.00070552i,-0.0004618+0.00051959i,-0.0007457+0.00043411i,-0.00059482-0.00036652i,-4.4757e-05-0.00092293i,0.00014207-0.00029388i,3.2755e-05+0.00046034i,-0.00042908+0.00034553i,-0.00032507+0.00062309i,0.00016991+0.0008885i
0.0015873-0.0012519i,0.0023016-0.0011539i,0.0016192-0.0013363i,0.00012923-0.00064182i,-0.0011583+3.0849e-05i,-0.0013122-9.916e-05i,-0.00079535-0.0013052i,-0.00068826-0.0015532i,-0.00083484-0.00082348i,-0.00084614-0.00028002i,-0.00055159+0.00037027i,-0.00025379+0.00018957i,0.00014191+0.00025471i,0.00027588+0.00026017i,-0.00018401-0.00023459i,-0.00050441+0.00053757i,-0.000718+0.00077963i,-0.000804-0.00016629i,-0.00043031+0.00040221i,0.0002792+0.0013026i,0.00043022+0.0011214i,-0.00010105+0.00083524i,-0.00088834+0.00038774i
-0.00046611-0.0010603i,-0.00094347-0.0015875i,-0.0024507-0.0012889i,-0.0025356+0.00028444i,-0.00070014+0.00035064i,-0.00010339-0.00050363i,6.0642e-05-0.00075615i,-0.00013824-0.00030971i,-0.0012489-0.00039345i,-0.00097952-5.647e-05i,-0.000912+0.0010153i,-0.0010957+0.00099283i,0.00011429+0.0015107i,0.00097665+0.0015268i,0.00059281+0.00095695i,-0.00038496+0.00054327i,-0.00057885+6.7252e-05i,0.00040719-8.1292e-05i,0.00083621-0.00054361i,0.00033145-0.00080246i,0.00011182-0.0013261i,-0.00024198-0.0017381i,2.7113e-05-0.0011384i
