0.0051282-0.00053599i,0.0071045-0.0023802i,0.0050618-0.0063439i,8.7482e-05-0.0076657i,-0.0049014-0.0055459i,-0.0072259-0.0011141i,-0.0040715+0.00097053i,-0.00070148+0.00024858i,0.00019853-0.00034721i,2.7665e-06-0.00068592i,1.2766e-05-0.00018523i,0.00011154+8.5754e-05i,0.00034652+0.00025724i,-0.00043989+0.00088307i,-0.0013786+0.0010999i,-0.00077931-0.00023544i,-0.00064982-0.0010149i,-0.00060818-0.00034954i,0.00011146+2.5757e-05i,0.00041527+0.00022114i,0.00032533+6.3681e-05i,0.0003884-0.00044384i,0.00023902-0.00019385i
-0.00031036-0.0005565i,-0.00010002-0.00058955i,-0.00091172-0.00035836i,-0.0011533-0.0014811i,-0.0013064-0.0023397i,-0.0024508-0.0013599i,-0.0023977-0.00039293i,-0.001661-0.00040285i,-0.00083287-0.00019486i,-0.00054116+0.00047779i,-0.00062386+0.0011416i,-0.00058307+0.0010475i,-0.00094229-3.452e-05i,-0.0011445+0.00024143i,-0.00069099+0.00068165i,0.00034354+5.2138e-05i,0.00092787-0.00032801i,0.00036247-0.00091299i,0.00025051-0.0011141i,0.00031612-0.00023904i,0.00063943+0.00050824i,0.0015621+0.00071278i,0.0010756+0.00049457i
0.00037775+0.0015742i,0.00035455+0.001096i,0.0004582-0.00019562i,0.00030185-0.0016235i,-0.00011325-0.0018163i,-0.00049575-0.0015308i,-0.00074634-0.0014355i,-0.0005648-0.0010308i,-0.00053557-7.3625e-06i,-0.00055204+0.00024579i,-0.00039995-0.00049353i,-0.00021335-0.0010903i,0.00035248-0.00069756i,0.00046781-0.00044894i,-0.00011368-0.00055543i,-0.0012738-0.00048608i,-0.0013343-0.00044037i,-0.00049094-0.00030777i,-0.00035985+5.4624e-05i,0.00038878+0.00057724i,0.0007511+0.00037209i,-0.00011551+0.00049669i,0.00016766+0.00077477i
-0.0014283+0.00096683i,-0.0010929+0.00093538i,-3.8864e-05+0.00082761i,-0.00017752+0.00017457i,-0.00090815-0.00095534i,-0.0010121-0.0014284i,-0.001365-0.00067412i,-0.00076629-7.7597e-05i,-0.00022619+0.00043412i,-0.00043338+0.00084893i,6.4522e-05+0.0011397i,0.0010053+0.00072816i,0.00098613-2.0017e-05i,-0.00057029+0.00033624i,-0.0010377+0.0005193i,-0.00034352+0.00025943i,-0.00051907+3.4399e-05i,-0.00016481-0.00025227i,0.0010103-0.00032295i,5.8646e-05+7.0372e-05i,-0.00082352+0.00016446i,-0.00030395+7.9128e-05i,-0.00056917-0.00064216i
0.002244-0.0013737i,0.0020937-0.00082673i,0.0012339-0.0014953i,1.1028e-05-0.0022718i,-0.0018235-0.0023225i,-0.002602-0.0020861i,-0.0018339-0.0014429i,-0.00042618-0.0011518i,0.00023817-0.0010523i,-0.00038005-0.00091132i,-0.0010767-0.0010601i,-0.0010155-0.00056044i,-0.00038779+0.00032763i,6.2385e-05-6.2872e-05i,4.2759e-05+7.6011e-05i,-0.00050747+0.00049596i,-0.00048997+0.00034418i,-8.3104e-05-0.00027059i,0.00026663-0.0011488i,0.00048902-0.00056991i,0.00070118-0.00029075i,0.00082907-0.00083493i,0.00050159-0.00093649i
-0.0010227+0.0009949i,-0.0016944+0.0022614i,-0.00086918+0.0025578i,0.00023205+0.0023365i,-0.00018015+0.0020599i,-0.00076565+0.0012353i,-0.00069796-5.1047e-06i,-0.0004099+0.00029612i,-0.00057669+0.00074408i,-0.00056481-7.974e-05i,-0.00050711-0.00018334i,-0.00028934-2.8243e-05i,0.00020827-0.00040948i,0.00082088-0.00078429i,0.0010567-0.00043844i,0.00065446-0.00016604i,8.999e-05-0.00024828i,1.6474e-05+0.00011619i,0.0002563+0.00062561i,4.4131e-05+0.00055811i,0.00027501+0.00012956i,0.00037991-0.00040153i,0.00043895-0.00051558i
-0.0015575-0.0015263i,-0.00050302-0.00055177i,-0.00069057+0.00079725i,0.00010562+0.00060116i,0.00011658-0.00051306i,-0.00061619-0.001311i,-0.00092065-0.00071485i,-0.0011112+0.0005718i,-0.0012433+0.00077865i,-0.0008463+0.00059199i,0.00019068+0.00085866i,4.995e-05+0.00094605i,-0.00026768+0.00018467i,-0.00037353-0.0003361i,-0.0003102-0.00035342i,0.00045647-0.00076177i,0.0011834-0.00019212i,0.0010739+0.00045498i,0.00068011-0.00020721i,5.9116e-05-0.00055811i,-0.00062883-6.4229e-05i,-0.00090012+0.00071377i,-0.00032881-6.2508e-05i
0.001986-0.0026257i,0.001277-0.0022703i,0.00081752-0.0024504i,9.074e-05-0.0021412i,-0.0012581-0.0013745i,-0.001882-0.00091258i,-0.0017073+7.4881e-05i,-0.00095466+0.00057344i,-0.00024174-2.7886e-05i,2.8078e-05-0.00015771i,-0.00019975+0.00010659i,4.1017e-05+0.00011835i,8.4115e-05-0.00010284i,-0.00023894+0.00043026i,-2.2607e-06+0.00040644i,0.00038018-0.00045634i,0.00021471-0.00029318i,-0.00017832+0.00027899i,-0.00068334-7.6092e-05i,2.2253e-05+0.0001666i,0.001178+0.0010629i,0.0013943+0.00090614i,0.00086094+0.0010641i
-0.0025623+0.0011885i,-0.0024778+0.0013372i,-0.0020161+0.00079313i,-0.0011388+0.00012701i,-0.0010177+0.00043091i,-0.0022755+0.00069547i,-0.0021139+0.00040366i,-0.00042849-0.00014891i,0.00024613-0.00021903i,-0.00018717+0.00040623i,-0.00023175+0.00082264i,0.00070426+0.0014236i,0.00097065+0.001568i,-5.675e-05+0.00078829i,-0.00093297+3.234e-05i,-0.00071718-5.7423e-05i,9.1255e-06+0.00020825i,0.00099429+0.0001222i,0.00068679+0.00041507i,-0.00011554+0.00035611i,-0.0004079+0.00018549i,-0.00054994+0.00029924i,-0.00014967+0.0001523i
-0.000974-0.0014842i,-0.00087723-0.00014136i,-0.0019187+0.00052851i,-0.0022476+5.0895e-05i,-0.0020857+5.4679e-06i,-0.0016749+9.797e-05i,-0.0013992+6.8066e-05i,-0.0019038+0.00013935i,-0.0011878+0.00010101i,0.00023836+0.00021847i,0.00032344+0.00051732i,-0.00027739+0.00027828i,-7.4934e-05-0.00045422i,0.0006753-0.00091581i,0.0011829-0.0010097i,0.00098486-0.00063356i,0.00011307+0.00027244i,0.00010681+4.6566e-05i,0.00048753-0.00039768i,0.00035069-9.5654e-05i,0.00012047+0.00043931i,-0.00069668+0.00076236i,-0.00095816+0.00056449i
0.00092077+0.0004759i,0.00065172+0.00020121i,0.0015236-0.00088957i,0.0012817-0.00152i,-0.00044462-0.0019406i,-0.0026863-0.0017748i,-0.0026446-0.0010931i,-0.0007797-0.00043382i,-1.9434e-05+0.00034441i,-0.00021324-4.8419e-05i,-0.00048278-0.00089634i,-0.00061247-0.00091305i,-0.00044448-0.00022283i,-0.00037093+0.00046913i,-0.00066872+0.00033696i,-0.00032358-5.5594e-05i,7.033e-05-9.1659e-05i,0.00064667-0.00029853i,0.00050703-0.00051632i,0.00053559-0.00016129i,0.00064498+8.5596e-05i,0.00021018+0.00048205i,0.00023947+0.00058855i
