-0.0015336+0.0011735i,-7.5732e-05+0.00067925i,-0.00067268-0.0006538i,-0.0012278-0.00088405i,-0.0015165+0.00019513i,-0.0021051+0.00055274i,-0.0017922+0.00098415i,-0.00010525+0.0013042i,0.0010901+0.0014421i,0.00079968+0.00086509i,-6.4359e-05-7.8069e-05i,-0.00066285-0.00067507i,-0.00060565-0.00064741i,-0.00051547-0.0001732i,0.00027471+8.6646e-05i,0.00026498+0.00094631i,-6.4107e-05+0.00088309i,0.00025967-0.00011819i,5.315e-05+0.00011117i,-0.0004499+0.00060252i,-0.00029067-0.00014191i,0.00016654-0.00068261i,0.00031359-4.0757e-05i
0.00064509-0.0014185i,0.0013391-0.0016323i,0.00080467-0.00091838i,0.0001315+0.00031883i,-7.0443e-05+3.8676e-05i,-0.0002694-0.0004512i,-0.00029301-0.00067024i,-3.9704e-05-0.00051101i,0.00014294-0.00010219i,0.00012795-0.00049965i,-0.00040822-0.00066438i,-0.0017008+0.00025627i,-0.0014293+0.00044585i,-0.00078011-0.00049521i,-0.0010424-0.00083281i,-0.00083021-2.5114e-05i,0.00022184+0.00049058i,-4.3878e-05+0.00024053i,-0.00098785+0.00032419i,-0.00070622+0.00012111i,0.0005836-0.00038224i,0.00091683-1.0071e-05i,0.00034236-0.00019887i
0.0011497-0.00054535i,0.0023799-0.00019067i,0.002704+0.00034439i,0.0016351-0.0006857i,0.00017572-0.0008522i,-0.00057115-0.00055641i,-0.00064236-0.00016104i,-0.00056005-0.00038511i,-0.00049684-0.00097799i,-0.0012075-0.00096102i,-0.0013038-0.00049259i,-0.0004408+4.675e-05i,-0.00067452+0.0003265i,-0.00063633+0.00055476i,-7.8638e-05+0.00076521i,-0.00064249+0.00080797i,-0.00067773+0.00072682i,-0.00045444+0.00010373i,-0.00040563-0.00047669i,-0.00038531-4.5619e-05i,-0.00057368+9.9443e-05i,-0.00036186+0.00014829i,-0.00086886+0.00074698i
-0.00076847+0.00013266i,-0.00070228-0.00022279i,0.00018396+0.00029899i,0.00063709+0.001201i,0.00046909+0.0014018i,-0.00022632+0.00019162i,-0.00025016-0.0003266i,0.00043137+0.00036624i,0.00014111+0.00019078i,-0.00048563-0.0002957i,-0.00011575-0.00028561i,9.5891e-05-0.00051556i,-0.00062446-0.00052221i,-0.0010496-0.00078964i,-0.00023704-0.00098325i,0.00016665-0.00050973i,0.00036421+0.00016539i,0.00025092+0.00087755i,-0.00049984+0.0012097i,-0.00049828+0.0010243i,-0.00053772+0.00099673i,-0.00046836+0.00044134i,0.00027063-2.0558e-06i
0.00097128+5.5438e-05i,0.0015372-0.0007592i,0.0017778-0.00095811i,0.0014082+0.00056792i,0.00035175+0.0010203i,0.00036565+0.00069229i,0.00075811+0.00035706i,0.00052892-0.00023967i,9.2181e-05-0.00055093i,-0.00017977-0.00055937i,0.00031854-0.00040058i,0.00023308-0.00037859i,-0.00053402+0.00012592i,-0.0004143+0.00069777i,3.9093e-05+0.0012374i,-0.00023709+0.00092343i,-0.00054195+0.00023049i,-0.00023557-0.00046704i,7.9214e-05-0.0003556i,-7.526e-05-0.00028655i,8.1068e-07-9.4669e-05i,-0.00014031-4.8541e-05i,-0.00060293-0.00043167i
0.00026388+0.000309i,0.00022354+0.00077065i,-0.00010719+0.00091694i,-0.00029473+0.00072749i,0.0002051+0.00082933i,0.00048678+0.00099258i,-5.2663e-06+0.0006938i,-0.00024809+0.00014968i,-0.0006505+0.00012955i,-0.0011231+0.00024498i,-0.00069703-0.00023648i,-0.00067182-0.00053192i,-0.00083017-0.00059896i,-2.1139e-05-0.00045325i,0.00053719+0.00011247i,3.5992e-05+0.00050018i,-0.00047404+0.00045139i,-0.00020269+0.00086014i,0.00038179+0.00099527i,0.00031007+0.0011885i,0.00080306+0.0012649i,0.0010308+0.0011165i,0.00058901+0.00064756i
-0.00068115-0.0021416i,-0.0015816-0.00088921i,-0.0014244+0.0010174i,-0.00044207+0.0013575i,0.00034808+0.00099841i,0.00047046+0.0006396i,0.00024418-9.703e-06i,0.00023901+0.00010108i,0.0004148+0.00037258i,-0.0001375+0.00048028i,-0.00070448+0.00062958i,-0.0006038+6.7215e-05i,-0.0010746-0.0004145i,-0.0011493-0.00054397i,2.9091e-05+5.3534e-05i,0.00024903+0.00065274i,-0.00081236+0.00043247i,-0.0011475+0.00026754i,-0.0003838-0.00010509i,-0.0002368+0.00010744i,-0.00073175+0.00044433i,-0.00032634+7.3396e-05i,7.0621e-05-0.00071085i
-0.00030133-0.00069808i,0.00032396-0.0014334i,0.001039-0.00045981i,0.00057098+0.00045581i,0.00015371-0.00017776i,0.00014322-0.00039873i,-1.725e-05-0.00065551i,-0.00011644-0.00074402i,-0.0002924-0.0008776i,-0.00042115-0.00089225i,-5.7685e-05-0.00012026i,0.00031438-0.00020774i,0.00066331-0.00064585i,0.00044232-0.0012004i,-0.00035302-0.0012783i,-0.00025076-0.00057442i,-0.00012971-1.2804e-05i,-0.00045386+0.00012228i,-0.00098554+0.00039239i,-0.00063938-0.00045819i,-0.00027922-0.0002395i,-0.00043205+0.00061928i,-5.0084e-05-0.00025177i
0.001648+0.00086477i,0.0011548+0.00067583i,0.0014209-0.00037533i,0.0011293-0.0013398i,0.00032978-0.001569i,-0.00025285-0.00080704i,-0.00042128-0.00047926i,-0.00025485-0.00045768i,0.00046235+0.00032202i,0.0012816+0.00012084i,0.0005757-0.00087074i,-0.00077074-0.00083362i,-0.00090658+0.00018182i,-6.0046e-05+0.0005441i,-2.1321e-05+0.00024962i,-0.00057927+0.00065729i,-0.00043258+0.00072372i,-0.00016997+0.00042371i,-4.2447e-05+0.00081154i,0.00027224+0.00073166i,0.00040246+0.00012367i,-2.2705e-05-0.00013387i,-0.00099015-3.9767e-05i
0.00088652+2.9063e-05i,0.0012342-0.00047416i,0.00071942+0.00065437i,0.00068963+0.0015976i,0.00083122+0.00095457i,0.00073514+0.00032149i,0.00094257+0.0003003i,0.00085448+0.00032976i,2.7085e-05+0.00061013i,-0.00081099+0.00070934i,-0.00066607+0.00033278i,-7.7754e-06+9.4575e-05i,-0.00011841-0.00018633i,-0.00053968-0.00034981i,-8.1642e-06+7.4548e-05i,0.00065632+0.00072364i,0.00062801+0.0011504i,0.00035931+0.00095273i,-0.00017107+0.00010446i,0.00020673-0.00028684i,0.0012644+7.5371e-05i,0.00098815-1.3447e-05i,0.00022628+0.00028226i
0.00040655-0.00018897i,-0.00045924+0.00064653i,-0.00058337+0.0013321i,0.00052946+0.00059251i,0.0010922+6.3969e-06i,0.00062993-0.00070199i,0.00039076-0.0006359i,0.00029784+0.00026786i,-0.00041825+0.00031423i,-0.0014021+0.00020949i,-0.0008574+0.00019482i,-0.00016747-0.00046692i,-0.00016678-0.000393i,-9.9598e-05-2.7479e-05i,0.00070122+0.00021444i,0.0010002+0.00068374i,0.00026337+0.00097816i,-0.00057196+0.00074263i,-0.00098277-0.0001466i,-0.00045604-0.00059117i,0.00012218+6.5077e-06i,-9.7219e-05+0.0006337i,-0.00043924+0.00056937i
0.0016025+0.00047255i,0.0017243-0.00019648i,0.0011095-0.00032462i,0.00059603+0.00084065i,0.0013629+0.001037i,0.0004267+0.00022517i,-0.00034444+1.0531e-06i,0.00044446-0.00027689i,0.00051236-0.00078087i,-0.0004363-0.00066301i,-0.0013407-9.183e-05i,-0.0015466+0.00035615i,-0.0014159+0.00031834i,-0.0011996-0.00016353i,-0.00042994+5.085e-05i,0.00080212+0.00038003i,0.001403+0.0005606i,0.00099941+0.00052107i,3.2549e-06+6.2384e-05i,-0.00027632-5.0059e-06i,-0.00048755-0.00023006i,-0.00065667-0.00064339i,-0.00028359-0.00011312i
-0.00030347+0.0028478i,0.00036486+0.0018927i,0.0024586+0.0020103i,0.0029447+0.0020812i,0.0030173+0.00072106i,0.0019851-0.00049671i,0.00024752-0.0010407i,0.00021474-0.00069629i,1.2373e-05-0.00016663i,0.00042398+1.9764e-05i,0.00072107-0.00017462i,6.4114e-05-0.00036365i,-0.00051309+0.00019701i,-0.0011294+0.00068491i,-0.0012833+0.000492i,-0.001349+2.0946e-05i,-0.0014839-1.2966e-05i,-0.00054227+0.00049032i,0.000656+0.00034015i,0.00082305+0.00041439i,5.1075e-05+0.00098947i,-0.00044964+0.00077551i,-0.00013959-6.8713e-05i
-0.000321+0.0009734i,4.383e-05+0.00096711i,-5.9663e-06+0.0015268i,0.00095094+0.0014047i,0.0017362+0.00060428i,0.0011611+8.2495e-05i,0.00036097-0.00066726i,-0.00033376-0.00082924i,-0.00033418-0.00048279i,-0.00082248-0.00046879i,-0.0013203-0.0002142i,-0.00075725-0.00036818i,-0.00043089-0.0006922i,-0.00037258-0.00051821i,-0.000461+0.00017726i,-0.0006583+0.00053006i,0.00024738+0.00039811i,0.0012374-8.6477e-05i,0.00094969-8.6765e-05i,0.00062766-5.1591e-05i,0.0005532+4.0424e-05i,0.0005483+0.0005358i,0.00032266+0.00063296i
-0.0010758+0.0022064i,-0.0015293+0.0024507i,-0.0010774+0.0023327i,0.00093289+0.0025865i,0.0021611+0.002168i,0.0014733+0.00070969i,0.00056876+5.7845e-05i,0.00058978+0.0002747i,-0.00028701+0.00054799i,-0.00094599+0.00047814i,-0.00045084+0.0005893i,-3.709e-05-7.7059e-05i,-0.00048065-0.001088i,-0.0012715-0.0012443i,-0.0010755-0.00062783i,-0.00018203+0.00026212i,8.0917e-05+0.00020101i,-6.2768e-05-0.00022801i,0.00017908-0.00048161i,0.00012665-0.00037753i,-0.00010677+0.00045799i,-0.00081899+0.0012391i,-0.00084274+0.000278i
-0.00050915+0.0017388i,-0.00014601+0.0022311i,0.0014564+0.0015921i,0.0027385+0.0011689i,0.0027298+0.0014075i,0.0023208+0.0008688i,0.0010844-3.0093e-05i,-0.00040849+4.6293e-05i,-0.00083004+0.00028487i,-0.00020456-0.00048662i,9.0044e-05-0.0012213i,0.00013157-0.0012774i,-0.0003452-0.00055934i,-0.00073417+6.119e-05i,-0.0010427-0.0001186i,-0.00052186-0.00063217i,0.00056583-0.00040714i,0.00095826+5.9344e-05i,0.00045913+0.00021225i,-0.00028415+0.00038229i,-0.00025898+0.0003143i,0.00036051-0.0004465i,0.00037013-0.0012424i
-0.0010985+0.0010847i,-0.00059059+0.0017469i,0.00027342+0.0018273i,0.00091108+0.0011987i,0.0011729+0.00092574i,0.00083469+0.00045646i,9.6233e-05-0.00019447i,-0.0001825-0.00054799i,-0.00067565-0.00080802i,-0.00016071-0.00068779i,0.00077256-0.00078591i,0.00072263-0.00073613i,0.00047419-0.00022731i,5.4852e-05-0.00011512i,-0.0001599+0.00021498i,-0.00029849+0.00075899i,-0.00097405+0.00043265i,-0.00072288+0.00016377i,0.00022205-5.2616e-05i,-0.00031166-0.00070592i,-0.0011807-0.00038393i,-0.00051912-0.00071412i,0.0001723-0.0010062i
-0.0020092+0.0013583i,-0.00088375+0.00086542i,0.00015795+0.0029293i,0.001088+0.0037831i,0.0025051+0.0024305i,0.002426+0.001187i,0.0013911-8.7615e-06i,-5.6412e-05-0.00070296i,-0.00084787-0.00023994i,-0.00047655+0.00056098i,-0.00034971+0.0005531i,-5.5856e-05-0.00024572i,-0.00039689-0.0011661i,-0.0012976-0.0016012i,-0.0012389-0.00096564i,-7.6045e-05-0.00036187i,0.00020747-0.00024716i,-0.00014523+0.00010429i,-4.7985e-05+0.00061916i,0.00052786+0.00063411i,0.00059572+0.00037889i,0.0004857-0.00033573i,0.00023967-0.00074116i
-0.00042074-0.00016477i,-0.00013354+0.0012596i,-0.00041889+0.0019981i,-8.3431e-05+0.0016758i,0.0003988+0.00075565i,0.0010371+9.6791e-06i,0.00067579-0.00013813i,-0.00029052+0.00013567i,-0.00026479+0.00016336i,-0.00031873+2.7561e-05i,-0.00051247-0.00018619i,3.5039e-07-0.00012398i,0.00027703-0.00017895i,-0.00034545+0.00060484i,-0.00096986+0.0013134i,-0.00080692+0.0014534i,-0.00070127+0.0016567i,-0.0005145+0.00093265i,-0.00010827+4.3579e-06i,-0.00010532-2.5488e-05i,-0.00065492-0.00023332i,-0.0010724-0.00062245i,-0.0005022-0.00021193i
0.00049204+0.001344i,-0.00074872+0.0015549i,0.0012507+0.0013689i,0.0025359+0.00047419i,0.0019185+3.1166e-05i,0.0011417-1.5398e-05i,0.0011065+1.3628e-05i,0.0015346+0.00029389i,0.0014327+0.00027292i,0.00071229+1.7115e-05i,0.00052738-0.00045419i,0.00049126-0.00021428i,-4.0889e-05+0.0010137i,-0.0007741+0.0010158i,-0.00035788-0.00018629i,6.8572e-05-2.6788e-05i,-0.00018613+0.00047471i,-0.00031859-4.1069e-05i,-0.00035179-0.00016704i,-0.00043875+0.00039725i,-0.0005167+0.0011976i,-0.00052127+0.00098725i,-0.00021778+0.00049232i
0.00083143-0.0006461i,3.6764e-07-2.2393e-05i,-0.00024532+0.00049738i,0.00066+0.0012418i,0.0015104+0.0012818i,0.0012444+0.00129i,0.00069409+0.001216i,0.00040651+0.00084404i,0.00015495+0.00037393i,-0.00011088-0.00048278i,0.00016969-0.00091285i,0.00031751-0.00069482i,-0.00024039-0.00075127i,8.7375e-05-0.00012123i,0.0007538+0.0011662i,0.00024406+0.0010749i,-0.00072027+0.00072442i,-0.00093137+0.00039494i,-0.00049522-0.00013511i,-7.7854e-05-0.00037385i,-0.00015478+3.1525e-05i,-0.00029271+0.00014384i,6.6358e-05-0.00052765i
-0.00063848-0.00011633i,-0.00038708-0.00021523i,0.00012491+0.00029505i,0.0012191+0.00096696i,0.0019882+0.00060789i,0.0013901-9.0588e-06i,-5.0051e-05+0.00012679i,-0.0011289+7.616e-05i,-0.0018942+0.0001369i,-0.0014387+0.00075712i,0.00035063+0.00076317i,0.00094091+0.00028266i,-0.00018429+0.00035695i,-0.00073041+0.00016194i,-0.00084331+0.00023789i,-0.0008821+0.00014862i,-0.0002904+0.00028218i,9.8449e-05+0.00021055i,-2.2313e-05+2.7238e-05i,-0.00035305+8.0251e-05i,5.4322e-05+5.6361e-05i,0.00023229+0.00023999i,-0.00041707+0.00037081i
0.0010883+0.00073487i,0.001166+0.00069644i,0.0020354+0.00049807i,0.0020575-3.5702e-05i,0.0018797-0.00096508i,0.0017094-0.0011832i,0.0017692-0.00018164i,0.0010566+0.00021125i,-0.00031132-0.00020395i,-0.00067143+0.00013021i,-0.0004236+0.00060763i,-0.00062507+0.00062321i,-0.00075061+0.00032631i,-0.0003617+0.00012449i,-0.00018208-0.00049869i,-0.00034813-0.00080746i,-0.0007544-0.00011908i,-0.00085459+0.00032844i,-5.6892e-05+0.00025281i,0.00034732+0.00056421i,4.8275e-05-6.0224e-05i,-0.00021657-0.00060493i,0.000189-2.3792e-05i
-0.0013699+0.0011548i,-0.0020084+0.0017336i,-0.00066293+0.0027955i,0.0013567+0.0015959i,0.0016805+0.00017155i,0.0008048-0.00028236i,0.00080741-5.1689e-05i,0.00087939+0.00021039i,0.00041507-0.00015796i,-0.00027471-0.00014352i,-0.0007143-0.00032161i,3.6991e-05-0.00027476i,0.00085224+0.00025558i,0.0007124+0.00030422i,0.00027624-9.5224e-05i,-0.00024746-7.6757e-05i,-0.00068809+0.00049503i,-0.00047915+0.00079762i,-9.9616e-05+0.00029512i,0.00066928+0.00052196i,0.00053603+0.0003936i,0.00071109+0.00016436i,0.00059359+0.00062396i
-0.0013912-0.0009735i,-0.0013311-0.00086323i,-0.0006945-0.00027493i,-0.00015046+0.00052331i,0.00018892+0.000691i,0.00081282+0.0001932i,0.00017057-0.00020604i,-0.00039465-0.00057408i,-0.00056059-0.00067233i,-0.0012347+0.00024479i,-0.0012603+0.00053575i,-0.00061776-0.00016851i,0.00042757-0.00051052i,0.00013751-0.000285i,-0.00080322-0.00032995i,-0.0011881-0.00095625i,-0.00084112-0.00043678i,0.00058316+0.00073506i,0.00023965+0.00090876i,-0.00097242+0.00066144i,-0.00033697+0.00065224i,0.00030585+0.00060395i,-0.00021559+0.00015703i
-0.00042918+0.00058752i,-0.00047489+0.00073655i,-0.0005429+0.0015088i,0.00052435+0.00091162i,0.00096389+4.915e-05i,0.00056916-0.00087044i,0.0002148-0.00090488i,-3.1762e-05-0.00017336i,-0.00032649+2.3025e-05i,-0.0006039+3.2273e-05i,-0.00050047-0.0003621i,-0.00027202-0.00086828i,-0.0002562-0.0016535i,7.5887e-05-0.0013505i,0.00055266-0.0009596i,0.00032669-0.001029i,2.6749e-05-0.00051173i,-0.0002615-0.00012901i,-0.00070679-0.00054573i,-0.00067871-0.00071345i,-0.00039213-0.00031182i,-0.00037947-0.00018811i,-8.5443e-05-3.0095e-05i
-4.413e-05-0.0021264i,-5.4517e-05-0.00069145i,-0.00085039-0.00046712i,-0.0011831-7.8884e-05i,-0.00022382+0.001081i,0.00042465+0.0013393i,4.2218e-05+0.00015266i,0.00021123-0.001138i,0.00025773-0.0011166i,-6.4671e-05-0.00052064i,-0.00055249+0.00017145i,-0.00097985+0.0010352i,-3.8725e-05+0.0012809i,0.00068338+0.0007013i,0.00028214+7.6406e-05i,8.2832e-05+8.1529e-05i,-0.00022313+0.00038054i,-0.00075131-4.9516e-05i,-0.00089505-0.00054697i,-0.00061767-0.00045719i,-0.00027107-0.00020667i,-0.00044402-0.00061222i,-0.00043047-0.00084026i
-0.0031501+0.0011643i,-0.0022865+0.0012542i,-0.00094234+0.0014581i,-3.5299e-05+0.0013154i,0.00042722+0.001329i,0.00060102+0.00095943i,0.00026421-5.6514e-06i,-0.00054723-0.00034287i,0.00025372-0.00017938i,0.00057914-4.5183e-05i,0.00032404-0.0013062i,0.00074024-0.0019092i,0.0009495-0.0010714i,0.0010862-0.00039687i,0.00023431-0.00047829i,-0.00017173-0.00041584i,0.0002399-9.615e-05i,0.00066191+0.00035666i,0.0003653+0.00010943i,-0.00052088-0.0004138i,-0.00029433+4.9264e-05i,0.00018886+0.00079975i,0.00061114+0.00081045i
-0.001471-0.0010291i,-0.0014697-0.00037228i,-0.0008612+0.0001219i,0.00069376+0.0010661i,0.0020558+0.0018921i,0.0020627+0.0011962i,0.00073656+0.00055336i,-5.5937e-05+0.00026665i,-0.00039005-0.0004129i,-7.1148e-05-0.00016228i,0.00041419+0.00063828i,0.00075665+0.00090682i,0.000668+0.00053907i,-0.000245+0.00044188i,-0.00072045+0.00017716i,-0.00072619-3.6938e-05i,-0.00087397+0.00013528i,-0.00031973+0.00027997i,-2.6822e-05+0.00011911i,0.00014921-0.0004185i,-0.00020901-0.00040024i,-0.0009773-6.2228e-05i,-0.0011044-0.00058653i
0.00075055-0.00056224i,0.00057156+0.00090907i,0.00044065+0.00081811i,0.0004111+0.00027823i,-9.6933e-05+0.00011458i,0.00016475+0.00040403i,0.00059409+0.00045663i,-0.00026174-0.00013505i,-0.00031632-0.00045571i,-0.00029026+0.00018706i,-0.00077356+4.1494e-05i,-0.00048024+3.655e-05i,7.3152e-05+0.00070118i,-0.00010676+0.00047009i,-0.00047671-0.00035824i,-3.3395e-05-0.00052895i,0.0004248-0.00053176i,0.00075761+0.00031042i,0.00032714+0.00097821i,-0.00025369+2.4311e-05i,-0.00050213-0.0010862i,0.00019503-0.00086444i,0.00023139-0.00072412i
0.00039307+0.0013168i,-0.00046039+0.0012994i,0.00059253+0.0015661i,0.001871+0.0017724i,0.0024303+0.0012955i,0.0017155+6.4e-05i,0.00079319-0.00068634i,0.0006434-0.00079931i,0.0012508-0.000816i,0.00073104-0.00075471i,0.00015644-0.00039946i,0.00033912-0.00010389i,-0.00011218-0.00017726i,-0.00051669-0.00011112i,-0.00034489+0.00020298i,-0.00034401+0.00049875i,-0.00054819+0.00047843i,-0.00078304+3.3002e-06i,-0.00068524-0.00082889i,0.00043627-0.00095183i,0.0011034-0.00012164i,0.00038213+0.00026951i,-6.3548e-05+0.00045901i
-0.0019284-0.0014755i,-0.001546-0.00064253i,-0.0018014+0.00048219i,-0.0013734+0.0013739i,0.00011253+0.0015055i,0.0014138+0.0012473i,0.0015629+0.0007714i,0.00043496+0.00039575i,-0.00040185+0.00029518i,-0.00068299+3.5097e-05i,-0.00044285-0.00023024i,0.00020348-6.386e-05i,0.00017897+1.6092e-05i,0.00038295-0.00022799i,0.0010891-0.00052438i,0.00090761-0.00039146i,-0.00027807+0.00049251i,-0.0012166+0.0011844i,-0.001272+0.00078154i,-0.00059746-2.4063e-05i,0.00024069-0.00050896i,0.00044915-0.00077255i,-2.5556e-05-0.00039647i
