-7.4456e-06+0.00049666i,0.00045883+6.5533e-05i,0.00064047-0.00044965i,0.00023058-0.0013525i,-0.00050684-0.0012219i,-0.0013504+0.00032308i,-0.0012791+0.0021709i,-0.00061829+0.0022363i,0.0006647+0.0012099i,0.00083908+0.00057534i,0.00040391+4.5689e-05i,0.00057594-0.00078037i,0.00020064-0.0008451i,-0.00020156-0.00021524i,-0.00034592-8.0315e-06i,-0.00041659-0.00020144i,-8.7683e-05-0.00051988i,-0.00017285-0.0003594i,-0.00053518-0.00046194i,-0.00038708-0.0002841i,-2.8696e-05+0.00045824i,-0.00036178+0.00041344i,-0.00096059+0.00040701i
1.8454e-05+0.001452i,0.00067325+0.0010403i,0.00078595+0.0012519i,0.00041778+0.00087518i,0.00062261-6.0052e-05i,0.00077481-0.00024491i,-0.00017051+0.00020076i,-0.00033973+0.00020999i,6.9162e-05-8.4154e-06i,0.000286-6.9144e-05i,8.8931e-05+0.00012474i,-0.00036986+0.00015958i,-0.00060643-2.7395e-05i,-0.00030506-0.00037321i,-0.00025866-0.00039047i,-0.00088357-1.3185e-05i,-0.00059277-0.00018701i,0.00010233-0.00047284i,-0.00016146-5.7333e-05i,-0.00035109+0.00065904i,-0.00074894+0.00019106i,-0.00034171-0.00053999i,0.00063736-0.00016331i
0.00096066+4.298e-05i,-0.00016918+0.00057925i,-0.00037253-0.00073342i,-0.00078787-0.00065865i,-0.00057099+0.00062178i,7.2239e-05+0.00066274i,-0.00034369+0.00023268i,-0.00061064+0.00037335i,-0.00071459-4.1143e-05i,-0.001026-0.00038909i,-0.0010924-1.005e-05i,-0.00058922+0.00017318i,0.0001509+8.0938e-05i,0.00062797-0.00047369i,0.00054207-0.00019797i,0.00043258-0.00014597i,0.00087383+0.00016098i,0.00060264+0.00082966i,0.00048126+0.00098928i,0.00073185+0.00062154i,0.00082483-0.00032266i,0.0010323-0.00090962i,0.00030879-3.6316e-05i
-0.0014313+0.0017841i,-0.0012888+0.0028746i,0.00044259+0.0036393i,0.0011923+0.0022678i,0.0003221+0.00040043i,-0.00099533-0.00017282i,-0.0013329+0.00040568i,-0.001224+0.0010893i,-8.7724e-05+0.00083179i,0.00098474+0.00080573i,0.00020431+0.0012273i,-0.00019447+0.00033163i,1.1059e-05-0.00083146i,0.00074146-0.00091087i,0.0005753-0.00076581i,-0.0003063+0.00011793i,-0.00052814+0.00086821i,-0.00041606+0.00083326i,-0.00035026+0.00054756i,-0.00048513+9.846e-05i,-0.00082017+0.00019397i,-0.00082316+0.00073551i,-0.00010581+0.00045939i
-0.0009225+0.00019814i,-0.0010554+0.00066486i,-0.0019289+0.00085718i,-0.0015825+0.00070439i,-0.00084361+0.00023124i,-0.00076245+0.00024707i,-0.0011536-3.1356e-06i,-0.00039641-0.00023303i,-9.475e-06+0.00048267i,-0.00084974+0.0008111i,-0.0013972+0.00063649i,-0.0011168+0.00022731i,-0.0001556+0.00021006i,0.00081187+0.00031099i,0.00039429+0.00034179i,-0.00044429+0.00025776i,-0.00018935-0.00025192i,0.00025686-0.00032618i,-0.00020355-0.00023953i,-0.00080022-4.2219e-05i,-0.00081776-4.6848e-05i,-0.00041953+0.00024632i,-0.00038732+0.00069031i
0.00029877-0.0017424i,-0.00024225-0.001645i,-0.00047297-0.0011353i,-0.0012355+0.00010297i,-0.0010498+0.0010638i,9.7826e-05+0.001555i,0.00042949+0.0003596i,-0.00022091-0.00025657i,-0.0011015+0.000329i,-0.0014077+0.00060401i,-0.00059974+0.00046595i,-0.00015305-7.1501e-05i,0.00049229-0.00080466i,0.00035034-0.00066695i,-0.00057713+0.00077064i,-0.00069678+0.00083828i,-0.00037287+7.6136e-05i,0.00038585+0.00014401i,0.00076771+1.0662e-05i,0.00081472-0.00023887i,0.0006907+4.5459e-05i,1.5617e-05+9.6481e-06i,-0.00047712-0.00011035i
0.00075056-7.9059e-05i,0.000677+0.00080393i,0.00013597+0.00058418i,-1.2827e-05-0.00023866i,-0.00062545-0.00011478i,-0.0010585+0.00023789i,-0.00039924+0.00083992i,0.00028084+0.00094137i,8.8875e-05-0.00016481i,-0.00034223-0.00051013i,-0.00024849-6.3501e-05i,0.00017605+0.00023239i,-2.9885e-05-1.9829e-05i,-0.00039098-2.1488e-05i,0.00071296+0.00040334i,0.0013483+0.00049867i,8.9048e-05+0.00023145i,-0.00090653+0.00013558i,0.00042208+0.00037838i,0.0011396+0.00013095i,0.00026686+6.9752e-05i,0.00027515-0.00019069i,0.00054965-0.00027113i
0.00023643+0.0025079i,0.00077501+0.002044i,0.0014196+0.00094704i,0.00051817-0.00053346i,-0.00097132-0.00096026i,-0.0010914-0.00024943i,-0.00076585+0.00043629i,-0.00033201+0.00037875i,-0.00014054-0.00010321i,-4.896e-05-0.00010626i,-1.6408e-05+0.00026444i,-0.00020397-0.00016068i,0.00010345-4.2634e-05i,-0.0005219+0.00040615i,-0.00080899+0.00075255i,-0.0001807+0.00058286i,0.00057092+0.00020355i,0.00073044+0.00015797i,0.00038505+0.00012861i,0.00020087+6.0553e-05i,0.00024284-7.091e-05i,0.00066446+0.00034744i,-0.00011836+0.00053017i
-0.000172+0.00078749i,0.0002908+0.0013404i,-0.00015117+0.00068361i,-0.00075382+0.00054494i,-0.00023388+0.000567i,0.00031372+0.0010043i,0.00094615+0.001346i,0.0012927+0.00072428i,0.00047391-5.5885e-05i,-0.00017213-0.00040833i,-0.00039618+0.00041263i,-0.0002499+0.0011212i,-8.4573e-05+0.00097565i,3.3372e-05-2.4659e-05i,-4.1241e-05-0.00037853i,-0.00014022+0.00029908i,-6.2358e-05+0.00033887i,0.0001673-0.00017498i,-0.00022138-0.00053164i,-0.00055662-0.00059887i,-0.00014207-0.00088469i,0.00010844-0.00071881i,-0.00012423-0.00056877i
-0.00029364+0.00063959i,-0.00011133-0.00071148i,0.001082-0.0012228i,-3.4785e-05-0.00019776i,-0.0013048+0.00040199i,-0.00085245+0.00059231i,-0.00048222+0.00088044i,-0.0008377+0.00055809i,-0.00060057+1.7316e-05i,-0.00096748-0.00050225i,-0.0011126-0.00020683i,-0.00072467+0.0003158i,-0.00031233+0.00021414i,9.6473e-05+0.00094827i,4.8529e-05+0.0020439i,-0.00025657+0.0014227i,-0.00035615+6.462e-05i,0.00010979-0.00014318i,0.00059853+0.00039083i,0.00029237+0.00056166i,-0.00035698-1.8467e-05i,-0.00062016-0.00050891i,-0.00042737+0.00012628i
-0.0018692+0.00017744i,-0.00055885+0.00085712i,0.00092285+0.00077939i,0.00091351+0.00066956i,8.5851e-05+0.0002086i,0.00028704-0.00045227i,0.00044063-0.00089841i,-0.0003849+1.7775e-06i,-0.00097677+0.00078854i,-0.00019157+0.00013527i,0.00027236+0.00027336i,6.735e-05+0.00068249i,0.00032426-0.00020196i,0.0011613-0.001331i,0.0012977-0.0012182i,0.0005713-0.00064278i,0.0006248-0.00043323i,0.00085571+0.00058749i,0.00019906+0.0011003i,0.00011025+0.00074482i,0.00019921+0.00062131i,0.00022781-0.00043259i,3.3837e-05-0.0004347i
-0.00036456+0.0013095i,0.00031816+0.0011019i,0.00098594+0.0010266i,0.00086434+0.0011994i,0.00027714+0.00085745i,1.0826e-05+0.00068336i,-0.00026237+0.00104i,0.00067557+0.00040099i,0.0014643-0.00018344i,0.00018875+0.00026703i,-0.00081189+0.00022997i,-0.00025534-0.00067634i,5.3466e-05-0.00083806i,-0.00033888-0.00026231i,-0.00065116-0.00032805i,-0.0002637-0.00028087i,0.00026944+0.00039334i,3.9967e-05+0.00058153i,-0.00027854+0.00048894i,0.00040592+0.00042814i,0.00086235+0.00068885i,0.00084303+0.00065624i,0.00091974+0.00025424i
0.00109+0.0031767i,0.0017844+0.003547i,0.0022823+0.0024269i,0.0023759+0.00025859i,0.0013107-0.0012427i,2.7147e-05-0.0014193i,-0.00093576-0.00026195i,-0.00094916+0.00060161i,-0.00024764+0.0003455i,-0.00017921-0.00013862i,-0.00029783-0.00071363i,-0.00016901-0.00036482i,-0.00065074-4.7163e-05i,-0.00095068+0.00011884i,-0.00066006+0.00010048i,-0.00036656+0.00059465i,8.7387e-05+0.00048181i,9.3203e-05-0.00040669i,9.3916e-05-0.00079557i,0.00069923-0.00081515i,0.0010804-0.00029003i,0.00093194-0.00031901i,4.8621e-05-0.00028396i
0.001552+0.00035105i,0.0013401-0.00035762i,-0.00031626-0.001268i,-0.00074093-0.0007186i,-0.00070007+0.00010741i,-0.00072767+0.00055871i,-0.00086623+0.00060454i,-0.00092692+0.00019253i,-0.00038265-0.00044235i,-0.000431-0.00024826i,-0.00056908-0.00015574i,-0.00038376+4.6317e-05i,-7.6424e-05+0.00070444i,0.00023183+0.00071387i,0.00018008+0.00070955i,-0.0002027+0.00077042i,-0.00054177+0.00077693i,-0.00043208+0.00028189i,-0.00034695+0.00048352i,-9.0566e-05+0.00093279i,-5.051e-05+0.00048786i,-0.00033382-0.00040279i,-0.00017874-0.0007043i
0.00027894-0.0012369i,-7.9138e-05-0.00059705i,-0.00076073-0.00018829i,-0.0015596+0.00039883i,-0.0019018+0.00061119i,-0.00084261+0.0015271i,9.0952e-05+0.0016875i,0.00084181+0.00034252i,0.00065625-0.00023293i,-0.00029957-0.00012169i,0.00015467-5.5893e-05i,0.0011839-0.0010006i,0.00015439-0.0012021i,-0.00040615+0.00048716i,-0.00029563+0.0012609i,0.00023404+0.00064934i,0.0014564-0.00026124i,0.0017452-0.00073331i,0.00082049-0.00067459i,-0.00012948-0.0005042i,-0.00077534-0.00075022i,-0.00073728-0.0013039i,0.00016061-0.00099252i
0.0013553+0.0007684i,0.0014489+0.0002526i,-0.00010553-0.00016273i,-7.5556e-05+0.00015682i,0.00032158+0.00053224i,-0.00030008+0.00088618i,-0.00024341+0.0011358i,0.00011385+0.00083411i,0.0004124+0.00059177i,4.5837e-06+0.00014281i,-0.0010774+2.4614e-05i,-0.0013306+0.00033279i,-0.0010978+0.00059292i,-0.0012475+0.00059059i,-0.00071576+0.00068174i,-0.00012607+0.0010815i,-0.00032829+0.00075763i,-0.00062609-0.00011749i,-0.00051975-0.0002315i,-0.0004434+0.00012021i,-0.00050145-0.00034438i,-0.00058143-0.00078757i,-0.00032131-0.00022825i
-0.0017133-0.00069346i,-0.0022175+0.00035954i,-0.0025563+3.3996e-05i,-0.0013196+8.6949e-05i,-0.00020999+0.0005485i,0.00046912+0.00057306i,0.00044255-8.1479e-05i,0.00042449-0.00086678i,0.0003227-0.00072586i,-0.00036595-0.00032361i,-0.00024102-0.00019037i,0.00044469-9.7287e-06i,0.00065965-5.6997e-05i,0.0011755+0.00037722i,0.0015641+0.00062663i,0.00080958-0.00039668i,9.5984e-05-0.00075092i,0.00021466-0.00091999i,0.0006665-0.0016539i,0.00070553-0.0013046i,-7.1985e-05-0.00047569i,-0.00011174+0.00047496i,0.00021864+0.00040935i
-0.0010441-0.0011687i,-0.0010901+0.00055345i,-0.0010133+0.00075271i,-0.0010567+0.00010889i,-0.00068064+0.00021854i,4.532e-05+0.00020824i,-0.00026404+6.7691e-05i,-0.00041389+0.00025016i,-0.00014681-0.00052645i,-0.00024272-0.00086942i,-0.00040433-0.0004298i,-0.00031512-0.0003688i,0.00018528+0.00018707i,0.00052931+0.00050612i,0.00076846+0.0010615i,0.0007881+0.0005908i,7.4903e-05-0.00028653i,2.9794e-05-0.00030772i,0.00072338-0.00043026i,0.000827-0.00018517i,0.00013699+0.00020337i,-0.00047595-0.00020239i,-0.00094589-0.0011267i
-0.00085481+0.0030566i,-0.00024322+0.0041661i,0.00024361+0.0037585i,0.00088895+0.0014389i,0.00015847-0.00049804i,-0.00078126-0.00086656i,-0.00074532-0.00069134i,-0.00034244-0.00091402i,-0.00019785-0.00034448i,-2.2065e-06+0.00028988i,0.00088507+6.7482e-05i,0.0015202-4.4263e-05i,0.0015951-0.00012715i,0.0011796-0.00030142i,0.00056297-0.00050396i,0.00036981-0.00064655i,0.0005897-0.00085933i,0.00013205-0.00073657i,-0.00014025-0.00031363i,-2.6264e-05+7.7601e-05i,0.00083141-2.951e-05i,0.0014267-2.8941e-05i,0.00050526+0.00054741i
0.00056714-0.0004991i,0.0004658-0.00065057i,-7.7748e-05-0.00047921i,-0.0011942-0.0010557i,-0.0014801-0.00078281i,-0.00057152+0.00027299i,0.00024866+0.0011086i,0.00016809+0.00048433i,4.6978e-05-0.00091643i,-0.00050882-0.0019066i,-0.00097483-0.0019927i,-0.00074458-0.00046066i,-0.00028935+0.0011506i,2.4277e-05+0.0014966i,2.1248e-05+0.0015722i,0.00017527+0.0016152i,0.00081173+0.00080321i,0.0012904-0.00025027i,0.00080937-0.00047381i,0.0009663-0.0004706i,0.0003571-0.0004234i,-0.00026967-0.00023919i,0.00024239-6.1868e-05i
0.00079937+0.00031342i,0.0010792+0.0010598i,0.00092046+0.00079688i,-0.00050295+0.00012035i,-0.0011272-0.00030617i,-0.0006628+0.0003018i,5.3721e-05+0.00088216i,0.00031456+0.00056373i,0.00039582-0.00012779i,0.0007353-0.00038403i,0.00039944+0.00015995i,-0.00029486+8.4317e-05i,-0.00044771+0.00020111i,0.00030011+0.00065736i,0.00086728+0.00081664i,0.00050489+0.0018414i,0.00050541+0.0019465i,0.00025083+0.00072211i,-0.00010168+0.00038821i,-0.0004011+0.0002917i,6.1007e-06+0.00035948i,0.00041837+0.00078423i,0.00018409+0.00054538i
-5.7635e-05-0.00019789i,0.0003233-0.00020983i,0.00090798+0.00010913i,-0.00012352+5.5977e-05i,-0.0010012-0.00010714i,-0.00074609-0.00011135i,-0.00036739+0.00055938i,-0.00015286+0.00088948i,-0.0002048+0.00039603i,-0.00066773-3.0658e-05i,-0.00033632+0.00027632i,0.00037911+0.00017292i,0.00030373-0.00015918i,0.00030005+3.1709e-05i,0.00022605+0.00030829i,-0.00051699+0.0002428i,-0.00011983-0.00033113i,0.00077167-0.00082785i,0.00046379-0.00040085i,5.5386e-05+0.00022771i,-0.00020106-0.00014636i,-0.0010024-0.00051997i,-0.00077256-7.6453e-05i
-0.001883+0.00051888i,-0.0018323+0.0007788i,-0.00072743+0.00039972i,-7.3853e-05-0.00012994i,-0.0002091+0.00020969i,-0.00052667+0.00080686i,-0.00065705+0.0017641i,-0.00062902+0.0018106i,-9.8039e-05+0.00066786i,0.00020089-0.00020483i,-0.00078507-0.00028773i,-0.00092493-0.00042044i,0.00029056-0.00035521i,0.00046482+0.00045835i,-2.9182e-05+0.00061823i,-0.00018052-0.00044199i,0.00058942-0.00077322i,0.00023351+4.6987e-05i,-0.0005237-0.00022003i,0.00015048-0.00080813i,0.00019944-0.00062533i,-0.00028462-0.00015413i,-0.00016651+0.00025704i
0.0017677+0.00020056i,0.0017631+0.00051152i,0.0014563+0.00013737i,0.00068263-0.00013951i,-0.00045921-0.00028627i,-0.0016149-0.00040548i,-0.0016204+0.00026968i,-0.00026617+0.0011141i,0.00049953+0.00096035i,0.00012492-0.00023996i,-0.0004707-0.00053249i,-0.00048076+5.4243e-05i,-6.897e-05+1.3292e-05i,0.00027925+0.00022239i,5.2712e-05+3.2045e-05i,-1.8958e-05-0.00050007i,-0.00018781-0.00086915i,-0.00049705-0.0012822i,0.00012948-0.00082624i,0.00085385-4.1059e-05i,0.0008002+0.00026351i,0.00060914+6.4273e-05i,0.00038062+4.8323e-05i
0.00086359+0.0012525i,0.0020776+0.0010046i,0.0023385+0.00063575i,0.001238-0.00035914i,-0.00038219-0.0008138i,-0.0010882-0.00024291i,-0.00081836+0.00062914i,-0.00038397+0.00062514i,-0.00015378-0.00018146i,-0.00016266-0.00083381i,-7.467e-05-0.00073838i,-0.00027034-0.00036337i,-0.00056542+0.0006121i,-0.00019071+0.00098089i,-0.00041731+0.00058486i,-0.00013711+0.00032045i,0.00058293+0.00017106i,0.00024524+0.00011291i,0.00016758-0.00030213i,0.00018275-0.00024954i,-0.00010194+0.00012521i,-0.0005528+0.00084692i,-0.00030743+0.00075299i
-0.0014449+0.00019868i,-0.0015718+0.00024658i,-0.0015801+9.7537e-05i,-0.0020936+0.00047792i,-0.0024074+0.00016971i,-0.0019255-0.00011099i,-0.0013018+0.0006206i,-0.00065835+0.001385i,-0.00065401+0.00077228i,-0.00041807-0.00038854i,-0.0001403-0.00056176i,0.00027045-0.00030795i,2.0914e-05-0.00035549i,0.00013747-6.3137e-05i,0.00011661-8.208e-05i,0.00021099-0.00066573i,0.0012945-0.00051458i,0.0013023-7.5505e-05i,0.0008256+8.3411e-05i,0.00082226+0.00025564i,8.5424e-05+0.00064436i,-0.00087994+0.00053802i,-0.0010915-2.0355e-05i
0.00012354-0.0008164i,0.00049397-0.0008687i,-0.00020445-0.00091513i,-0.00011767-0.0012602i,0.00073627-0.00083826i,0.00014024+7.8525e-05i,-0.00053943+0.00019844i,-0.00062637+0.0011845i,-0.00051992+0.0010079i,-0.00021416+0.00037692i,0.00022627+0.00065424i,0.00075915+0.00068989i,0.00047686+0.00051158i,-0.00012292+0.00036374i,0.00027605+0.00041056i,-0.0001587+0.00057751i,-8.8165e-05-6.3195e-05i,0.00095611-0.00061739i,0.00075965-0.00064478i,-0.0002134+0.00045298i,-0.00060533+0.00034478i,-0.00080207-0.00029255i,-0.00098333+0.00012427i
0.0016437+0.0015291i,0.0011093+0.0023997i,0.00099036+0.0018827i,0.00054446+0.0010578i,-0.00072143+0.00023584i,-0.0012617+0.00056117i,-0.0015982+0.00092919i,-0.00081315+0.00073704i,0.00037901+0.00075428i,7.3754e-05-0.00047202i,1.3687e-06-0.0015608i,-1.8977e-05-0.0008657i,-0.00040249-0.00034065i,-0.00030137-0.00060677i,-0.0006354-0.00064919i,-3.7332e-05-0.00021949i,0.00056663+0.00049488i,-5.2126e-05+0.00093645i,-0.00053314+0.00064354i,-0.00015995+0.00025771i,0.00041144+0.00053305i,0.00034195+0.0006356i,0.00058943+0.00063449i
-0.0007928+6.9909e-05i,-0.00070123+0.001696i,-0.0005568+0.002004i,-0.00064197+0.0011961i,-0.00042807-0.00012856i,8.8875e-05-0.0011363i,-0.00026448-0.00091395i,-0.00072081-0.00014102i,-0.00044011-0.00035164i,-0.00026321-0.0007151i,0.00055449-0.00033132i,0.00090688+0.00048962i,0.00021536+0.0009246i,1.2814e-05+2.4922e-06i,0.00022074-2.2196e-05i,6.3709e-05+0.0010565i,0.000327+0.00033517i,0.00068771-0.00044665i,0.00081375-2.8359e-05i,0.00088474-7.339e-05i,0.0014878-0.00025173i,0.0011213-0.00016765i,0.00059283-0.00010408i
-7.4271e-05+0.00081436i,-0.0001237-0.00011453i,0.00085887-0.00052134i,0.0011471-0.00012313i,0.00018845+0.00042597i,-0.00089006+0.00065736i,-0.0011622+1.588e-05i,-0.00053016-4.0644e-05i,-0.00031957+0.00028061i,-0.00022312-0.00012007i,9.341e-05-0.00043415i,0.00025047-0.00049555i,-4.2561e-05-0.0004541i,-2.752e-05-0.00031985i,0.00042771+0.00035195i,0.00027739+0.00048162i,0.00011119+0.00031547i,-1.0066e-05+0.00038086i,-0.00074664-0.00031265i,-0.0011701-0.00012652i,-0.00076296+0.000205i,-0.00029378+0.00010592i,0.00046459+0.00016984i
0.00089926+0.0014693i,0.00073232+0.0009865i,0.00081979+0.00037111i,0.00014918+4.6183e-06i,-6.8776e-05+5.9416e-05i,-0.00044862+0.00037588i,-0.0014761-0.00024102i,-0.0012071-0.00050369i,-0.0006443+0.0002136i,-0.0007636-0.00032339i,-0.00030447-0.00046305i,7.3068e-05-9.0896e-05i,0.00047937-0.00026134i,0.00077161-0.00024584i,-0.00019027+1.157e-05i,-0.0003657+0.00017196i,8.9796e-05+0.00010623i,-0.00011411+0.0001125i,-0.00021172+0.0005486i,-8.5293e-05+0.000431i,-9.6494e-05+6.5752e-05i,-0.00022234+0.00046322i,-0.00020933+0.0003613i
0.00091024+0.00087748i,0.00013585+0.0014425i,9.4486e-05+0.00055524i,7.3783e-05+0.0008902i,-2.3608e-05+0.0019048i,-0.00026194+0.0020009i,-0.00066779+0.00075378i,-0.00045151-0.00080824i,-0.00019993-0.0016131i,-0.00033491-0.00099998i,-0.00047655+0.00011131i,-0.00043433+0.00058883i,-0.00014475+0.00060114i,0.00027739+0.00076276i,9.4663e-05+0.0011523i,-0.00023201+0.0011874i,0.00030061+0.0007654i,0.0006311-0.00039294i,0.00056849-0.00092959i,0.00012041-0.00066218i,-0.00051483-0.00071246i,-0.00089308-0.0010688i,-0.00095475-0.0010036i
