0.00063045-7.0004e-05i,0.00099011-4.2222e-05i,0.00046223-0.0010401i,-0.00061818-0.0016269i,-0.00149-5.1328e-05i,-0.0014921+0.0022675i,-0.00040506+0.0037837i,0.0006999+0.0031733i,0.0017928+0.0013175i,0.0022166-0.00011581i,0.0014417-0.00098106i,0.00059553-0.001114i,0.00050404-6.5077e-05i,0.00033342+0.0010299i,-4.311e-05+0.00095268i,0.00027433+0.00089363i,2.464e-05+0.00055938i,-0.00013481+0.00040987i,-0.00046425+0.00071912i,-0.0010115+0.00017414i,-0.0010628-0.00053331i,-0.00030879-0.00018623i,0.00048437+0.0002581i
-0.00085444-0.0019743i,-0.00022187-0.0021324i,0.00041777-0.0012991i,0.00070868+0.00069549i,0.00053582+0.0024478i,0.0010376+0.0028604i,-1.5156e-05+0.0019377i,-4.6362e-05+0.0010008i,0.0007507+0.00099371i,-0.00017491+0.00073859i,-0.00065472+0.00056201i,-0.00049038-0.00022447i,-0.00059403-0.0009179i,0.0001461-0.00059298i,0.0010329+0.00016706i,0.0012957+0.00067978i,0.001502+0.00089046i,0.00081+0.00057043i,-0.0002968-0.00039632i,-0.0009971+0.00010637i,-0.0013558+0.00096191i,-0.00044879+0.00066767i,-3.5472e-05+0.00010607i
0.00057209+0.00088062i,0.00038425+0.001353i,-0.0007991+0.0003333i,9.655e-05-0.00039258i,0.00085676+1.3578e-05i,0.00018361+0.00016245i,-0.0008742+0.00066379i,-0.00079924+0.00079468i,0.00012951+0.00060977i,0.00073495+0.00010059i,0.00040561-0.00039088i,0.00047902-0.0003274i,0.00088072-2.4822e-05i,0.00090893+0.0003617i,0.00085219+0.00092542i,0.00031368+0.00096482i,-0.00011052+0.00044336i,6.6018e-05-0.000344i,0.00079659-0.00036841i,0.00048336+0.00047566i,-0.0002016+0.0004759i,0.00017756-0.00029492i,0.0006793-0.00097915i
2.5335e-05-0.00045202i,-0.00022362+0.00053776i,-0.00034198+0.0007245i,-0.00014205-6.5497e-05i,-0.00020608+0.00033202i,0.00034499+0.0011759i,0.00089635+0.0014886i,-0.000167+0.0017952i,-0.0011069+0.0013022i,-0.0004769+0.00019639i,0.00032346-0.00050794i,0.00011835-0.00079756i,-0.00021577-0.001012i,-7.1828e-05-0.00052227i,0.00046577-0.00035216i,0.00049167-0.00039431i,0.00060638-0.00048069i,0.00018807-0.00084537i,-0.00059351-0.0011302i,-0.0003531-0.0010267i,0.0001824-0.00031902i,0.00011538+0.00027135i,-2.6476e-05+3.0236e-05i
4.3017e-05-0.00092933i,0.00047177-0.00046367i,0.00060627+9.4046e-05i,-0.00042629+0.00044307i,-0.00077665+0.00071359i,-0.001133+0.0012316i,-0.0015547+0.0019067i,-0.0010091+0.0018938i,0.00039539+0.00074346i,0.0010983+0.00020765i,0.001169+0.0003741i,0.00094521+0.00030173i,0.00021614+0.00021991i,-0.00020505-0.00034057i,-1.7842e-05-0.00041807i,0.00029011+6.4724e-05i,0.00017408-0.0006821i,0.0003397-0.0012325i,0.00049738-0.00071662i,-0.00018715+0.00013252i,-0.00081234+0.00035659i,-0.0012119+6.8724e-05i,-0.0007647-0.00031451i
0.00031403+0.00033434i,0.00099233+0.00086696i,0.00069338-0.00018732i,0.0004893-0.0012569i,0.00039112-0.00065016i,0.00018516+0.00091905i,-2.6997e-05+0.0014544i,0.00025108+0.0012987i,0.00034061+0.00082945i,5.4931e-05-1.158e-05i,0.00018051-5.1164e-05i,0.00022725-0.00038644i,0.00076996-0.00090132i,0.0011737-0.00022207i,0.00026796-0.00014091i,-0.0004356-9.2863e-05i,0.00021514+0.00038473i,0.00078506-0.00021878i,0.00059859-6.6065e-05i,4.4406e-05+0.00030626i,0.00022631+0.00027816i,0.00024434-0.00014522i,-0.00013922-0.00025851i
-0.0012581+0.0019046i,-0.00027817+0.0018295i,0.00077056+0.0016917i,0.0007289+0.00078854i,0.00070472+0.00011585i,-0.00045571-0.00046496i,-0.0011201-0.00013097i,-0.00020772+0.00039795i,0.00041602+0.00024795i,0.0005197-0.00028586i,0.00037924-0.00027925i,0.00049908-0.00038371i,0.0009527-0.00082593i,0.00078414-0.0015388i,0.00061153-0.0015997i,0.00071516-0.0012495i,0.00076896-0.0010139i,-8.7228e-05-0.0008929i,-0.0005014-0.00080254i,-0.00041222-0.00077549i,-0.00069522-0.00065242i,-0.00025155+0.00020029i,-0.00017878+0.00045611i
0.00067759-0.0014192i,0.00081958-0.0015739i,2.6697e-05-0.0012786i,-0.00062001+0.00011402i,-0.0011688+0.0011498i,-0.00086452+0.0015166i,-0.00065005+0.0019096i,-2.5125e-05+0.0017926i,0.00046941+0.001023i,0.00044147+0.00051094i,0.00013597+0.00011806i,0.00013533+0.00014863i,0.00053773+0.00018981i,0.0008249+0.00046553i,0.0011838+0.00077842i,0.00071647+0.00054818i,-0.00048499+3.5063e-05i,-0.00063471-0.00024756i,-0.00029118-0.00020034i,-0.00014822-0.00026039i,-0.00023843-0.00063905i,-0.00087387-0.00024311i,-0.0011554+0.00029962i
0.00034845+0.0018397i,0.00066266+0.0022054i,0.0010858+0.0026192i,0.0015943+0.00065116i,0.0012578-0.0012147i,0.00014319-0.0011495i,-0.00089792+0.00046416i,-0.0004061+0.0015336i,0.00051593+0.001493i,0.0011053+0.00062667i,0.0011597-0.00092449i,0.00096399-0.0015473i,0.00057702-0.0014029i,0.00016515-0.000862i,8.0414e-06+6.1691e-05i,-0.00089009+0.00010655i,-0.00090957+0.00035893i,-0.00034618+0.00039807i,-0.00035876+0.00059712i,-0.00035257+0.0010245i,-0.00012502+0.0010156i,0.00029852+0.00029851i,0.00044251-0.00059474i
-0.00036966-0.00074451i,-0.00023267+0.00026616i,-0.00028291+0.00046245i,-0.00025709+0.0010748i,0.00019194+0.0015306i,0.00043555+0.0014249i,0.0003234+0.0013203i,0.00022803+0.00084979i,0.00012352+0.00047796i,-0.00023185+0.00026844i,-0.00013597-0.00033968i,0.00013844-0.0004156i,-0.00039579+0.0006482i,-0.00047791+0.00092434i,0.00052602+0.001176i,0.00055752+0.00096769i,-0.00017815+1.8923e-05i,-0.00014192-0.00050082i,-3.6104e-06-0.00062952i,-5.4925e-05-0.00078619i,-0.00069772-0.00063718i,-0.00070568-0.00011831i,-0.00024287-4.0502e-05i
0.002136+0.0014458i,0.0028406+0.00064601i,0.0026885-0.0015388i,0.00070641-0.0023162i,-0.0010434-0.0014315i,-0.0019843+0.00054854i,-0.0017292+0.0021951i,-0.0003825+0.0015938i,0.00029581-0.00039753i,0.00028552-0.00080129i,0.00034147-0.00024692i,0.00017407+9.4744e-06i,-0.00028334-0.00011306i,-5.5075e-05-0.0004893i,4.0694e-05-0.00033707i,-0.00066706+0.00019159i,-0.001094+0.00019802i,-0.00037719-0.00032381i,0.00028723-0.00011026i,-4.7796e-05+0.00081085i,-0.00037335+0.00080134i,-0.00011037-4.2325e-05i,-2.8435e-05-0.00049711i
-0.0008915+0.0016528i,0.00083399+0.0023089i,0.0014951+0.0027393i,0.0019907+0.0013495i,0.0020384-9.2998e-05i,0.0010627-0.00017795i,-0.00015594+0.0005181i,-0.00096985+0.0009541i,-0.00064313+0.00058597i,-0.00037862+0.00025015i,-0.00010444+0.00026872i,0.00047628+0.00025904i,4.5425e-05-0.00049225i,-0.00018369-0.0007374i,0.00028495-0.00034629i,2.5788e-05-0.00035351i,-0.00038656-0.00065558i,-0.00098506-0.00023792i,-0.00077245+0.00046057i,-0.00027252+0.00037677i,-4.7602e-05+0.00021631i,0.00034482+0.00033346i,0.00061808+0.00070162i
-0.00066233-0.00038033i,-0.00036523-0.00036631i,0.00051844+5.4358e-05i,6.3243e-05-0.00029344i,-0.0004041-0.00017666i,-0.00029513+0.0003036i,-0.00046902+0.0013153i,-0.00053582+0.0015676i,-0.00059135+0.00011854i,-0.00013675-8.9288e-05i,0.0004643+0.0005321i,0.00046779+0.00042114i,-1.1377e-05+8.9201e-05i,0.00050435-0.00028352i,0.0012111-0.00055854i,0.00097812+3.0107e-06i,0.0011479+0.00080151i,0.00092277+0.00043643i,0.00059193-6.5832e-05i,0.0006071+0.00012803i,0.00030855+0.00015903i,-0.00011471-0.00036097i,3.225e-05-0.00049459i
0.00012995-0.0002596i,-0.00054807-0.00075241i,-0.00049267-0.0008478i,-0.00012203+0.00016892i,0.00012073+0.0010836i,-0.00016807+0.00079831i,-0.00038555+0.0012854i,-0.0002671+0.0019669i,0.00040113+0.0010058i,0.00042939+0.00040208i,-0.00023657+0.0001002i,-0.00049587-4.6786e-05i,-0.00021526+0.001023i,0.00033802+0.00093876i,0.00066618+0.00018883i,0.00077239-0.00050746i,0.00032355-0.00040731i,-0.00045753+0.00011449i,-0.00062518-0.00014925i,-0.00047126-0.00060043i,-0.00089765-0.00061444i,-0.0013189-0.0002148i,-0.00094431+0.00028366i
-0.00057423-0.00056954i,-0.00076798+0.00019779i,-0.00051713+0.0012767i,-0.0012749+0.0019454i,-0.0014711+0.0013059i,-0.00091521+0.00018987i,0.0001508+0.00012337i,0.00068565+0.0008694i,9.2819e-05+0.00058801i,7.095e-05-0.00058168i,0.00041797-0.0005209i,0.00053096-0.00053131i,0.0013392-0.00057887i,0.0017939-0.00015107i,0.0012352+9.2399e-05i,7.7837e-06+0.00024557i,-0.00064553+0.00032398i,-0.00029441+0.00049727i,0.00019092+0.00059991i,0.00016813-0.0001339i,-0.00063226-0.000472i,-0.0012825+0.00048952i,-0.00062145+0.00082042i
-0.00062216-0.00087306i,-0.00094956-0.001157i,-0.00099529-0.0014596i,-0.00088761-0.00078302i,-0.00075903+0.00041482i,2.2118e-05+0.0019431i,-1.9957e-06+0.0021659i,-0.00041787+0.0012573i,-0.00048048+0.00047652i,-0.00063325-0.00014612i,3.3935e-05-0.00017832i,0.00089643-0.0001279i,0.00084278-0.00025642i,0.00077284+0.00069557i,0.00078893+0.00088058i,0.00044135+0.00016209i,-2.4585e-05+0.00038509i,-0.00038452+0.00058421i,-0.00050299+0.00037176i,0.00012653-0.00026998i,0.00077942-0.00074298i,0.00066343-0.00060527i,-0.00033009-0.00051562i
0.0014228-0.00205i,0.0002843-0.00090445i,-0.0003845-0.00071878i,-0.00091515-0.0011021i,-0.0010294-0.0004347i,-0.00063667+0.0011712i,-0.00013907+0.0015578i,0.00033524+0.0016289i,-0.00019574+0.00099916i,-0.00078397+0.00035658i,-0.00017024+0.00018934i,0.00039167-7.5499e-05i,-0.00029865-4.787e-05i,-0.0010837+0.00065984i,-0.0012352+0.00082119i,-0.0011177+0.00011208i,-0.00044552-0.00064929i,0.00061218-0.00049342i,0.00039024+9.7013e-05i,-1.6188e-05+0.00034705i,0.00022854+0.00018562i,3.5151e-05-3.45e-05i,0.00014022+0.00013359i
0.00043245+0.001794i,0.00075356+0.0025266i,0.0003809+0.0025583i,0.00014553+0.0015095i,4.7066e-05+0.00086436i,-0.00057278+0.00056023i,-0.00060898+0.00060779i,0.00018281+0.00053213i,0.0007411+3.2511e-05i,0.00044857+8.4358e-05i,-7.2813e-05-7.2451e-05i,0.00023266-0.00047504i,-0.00047681-0.00018362i,-0.0011076-0.0005269i,-0.00043158-0.0011926i,4.8744e-05-0.00088679i,9.7117e-05+0.0005937i,-0.00013658+0.0011255i,-0.00063621+0.0003996i,-0.00076377-0.00068056i,-0.00018481-0.00060179i,0.00090625+0.00020631i,0.00086907+0.00034019i
-0.00033985+0.0010946i,0.00023345-0.00044825i,0.00077428-0.0013749i,0.0013782-0.0015901i,0.001648-0.00074496i,0.00099088+0.00083665i,-1.5135e-05+0.0014005i,-0.00083455+0.0007437i,-0.00013355+0.00079355i,0.00052061+0.0014765i,0.00032472+0.0007112i,0.00040914-3.6861e-05i,0.0009039-4.1144e-05i,0.0011699+1.6754e-05i,0.00094284-7.1157e-05i,0.0007424-0.00052449i,0.00023157-0.0007625i,-0.00021699-0.0004067i,0.00036697+0.00032798i,0.00025103+0.00066425i,-0.0003462+0.00029641i,-0.00090357+0.00015481i,-0.0012407+0.00024749i
0.0010641-0.0009961i,0.00091335-0.00035853i,0.00077184+0.00091004i,-5.0267e-05+0.0013709i,-0.0011474+0.00096367i,-0.0019027+0.00050267i,-0.0022384+0.0018405i,-0.0010882+0.0025419i,0.00036559+0.0011543i,7.3909e-05-0.00027309i,-0.00029861-0.00076198i,-0.00014766-0.0006858i,-0.00071722-4.9807e-05i,-0.0011839+0.00065195i,-0.00073719-3.3649e-05i,-0.00074733-0.00056574i,-0.00046479+0.0001896i,-9.5086e-05+0.00090785i,-0.00085733+0.00048256i,-0.0002621+0.00070041i,-1.7027e-06+0.0013797i,-0.0009756+0.0010492i,-0.00086379+9.4984e-05i
-0.0003521+0.00081341i,-0.0015427+0.00025328i,-0.0016788-0.00054013i,-0.0012838-0.00093479i,-0.00076053-0.00077306i,0.00019745-0.00026658i,-0.00023837+0.00032486i,-0.00073705+0.0012115i,5.1321e-05+0.0010104i,0.00028345+8.1009e-05i,7.4235e-05-0.00031003i,0.00055736-0.00035717i,-6.4418e-05-7.1953e-05i,-0.00092049-0.00024116i,-0.00036813-0.00067916i,-0.0002984+0.00047745i,-0.00084756+0.00063789i,-0.00058038-0.0002771i,-0.00041151+0.00029485i,-0.00058776+0.00020239i,-5.5795e-05-0.00026792i,0.00079977-0.0001382i,0.00078569-0.00055943i
-0.0005883-0.00046649i,8.2779e-06+0.00069895i,0.0001203+0.0010087i,0.0012535+0.0015821i,0.0016648+0.0024326i,0.00048604+0.0021113i,-0.00023455+0.0016393i,-0.0003167+0.0013473i,-0.00021767+0.00064995i,9.0974e-05-0.00021618i,0.00025294-0.00024047i,0.00047401-0.00092458i,0.00035625-0.0016003i,-0.00023499-0.0013768i,-0.00015768-0.00081729i,0.00023756-0.00051435i,0.0006359+0.00017098i,0.00058696+0.00060917i,0.00062924+0.00040198i,0.00067232-0.00012734i,3.3306e-05-0.00082583i,-0.00025854-0.00027779i,2.3633e-05+4.6812e-05i
0.00042721-0.00085968i,-0.00012161-0.00069189i,-0.00089806+1.4168e-05i,-0.0013822+0.00075019i,-0.00145+0.0010454i,-0.00075346+0.0017885i,-0.00067684+0.0021679i,-0.00033129+0.0015237i,0.00017836+0.00030915i,0.00019904-0.00071363i,0.00041835-0.0010706i,0.00057068-0.00065324i,0.00042681-7.2275e-05i,0.00067328+0.00083022i,0.00039236+0.00070551i,-0.00030157+4.2382e-05i,-0.00022598+0.00060783i,0.00038356+0.00056248i,0.00070769+0.00091158i,0.00093152+0.0011046i,0.00045117+0.00050398i,-0.00055919+0.00053241i,0.00016119+0.00068783i
0.00034036-0.0011755i,0.00092717-0.001047i,0.00098935-0.0015184i,-5.2715e-05-0.0010394i,0.0002003-0.00029541i,0.00060485+0.00047409i,-0.00087347+0.001428i,-0.0011693+0.0016415i,2.2394e-05+0.00033844i,0.00053418-0.00030264i,0.00031817+0.00038104i,0.0004882+0.00036697i,0.00057427+0.00028509i,-0.00038861+0.00062706i,-0.00047875+0.00045927i,0.00022088-0.0002796i,0.00053653-0.00043893i,0.00038427-0.00018338i,-0.00019045-0.00020114i,-0.00022035-0.00021324i,0.0001218-0.00055426i,2.6655e-05-0.00063324i,4.2921e-05-0.00015807i
-0.0019481-0.00090127i,-0.0015501-0.00041794i,-0.00049964+0.00050311i,0.00052326+0.0010827i,0.00016942+0.00083442i,-0.00034947+0.00077724i,0.00021444+0.0012978i,0.0011874+0.0012792i,0.00057487+0.00051605i,8.901e-05-0.00030269i,0.0010152-0.00060863i,0.0013112-0.00016097i,0.0011347-0.00035777i,0.00088073-0.00063126i,0.00038209-0.00083795i,0.00055832-0.0012426i,0.0012771-0.00047046i,0.0010741+0.00029367i,0.00052469+0.0002973i,-3.2002e-05+0.00038906i,-0.00027051-0.00040216i,0.00036077-0.00094286i,0.00037011-0.00017489i
0.00092443-0.0010042i,0.00015437+7.2588e-05i,-0.00096227+0.0004753i,-0.0015111-0.0004384i,-0.0018857-0.00040247i,-0.0020384+0.00067862i,-0.0016532+0.0020365i,-0.00061447+0.0019406i,0.00025564+0.00047967i,0.00086544-0.00021134i,0.00094566+3.1459e-05i,0.0008835+0.00091378i,0.00067534+0.00083745i,0.00026277+0.000394i,0.00042487+0.0011092i,0.00052335+0.0007624i,-0.0002051-0.00024092i,-0.00013488+0.00059566i,0.00038957+0.0010349i,0.00059843+0.00013789i,0.00016324+1.7179e-05i,-0.00061655+9.702e-05i,-0.00066053-9.833e-05i
-0.0010569+0.00021716i,-0.00017109+0.0001587i,0.0011226-0.00050284i,0.0019708-0.00052273i,0.0019723+0.00011138i,0.0010835+0.00084846i,-0.00017129+0.0012806i,2.0538e-05+0.00054951i,0.00052686-3.5483e-05i,2.9692e-05+0.00020563i,-0.00023061-0.00050031i,-0.00015944-0.00118i,-0.00011195-0.00049164i,-0.0003867-0.0002325i,-0.00040759-0.00046109i,0.00012584-3.8854e-05i,-4.538e-05-6.8277e-05i,-0.00037291-4.3762e-05i,-0.00043663-0.00048801i,-0.00042585-0.00060389i,-0.00029221+4.8092e-05i,-8.4524e-05+0.0007395i,0.00013845+0.0001976i
-0.00063335-0.00062463i,0.0009911-7.1771e-05i,0.0017266+0.00061495i,0.00091146+0.001256i,0.00013864+0.0025085i,-0.00036025+0.0029948i,-0.00070385+0.0020565i,-0.00037529+0.0015303i,7.0779e-05+0.00098278i,0.00037223+0.00043118i,0.00056283+0.00039155i,0.00068694-0.00030194i,0.0014898-0.00083468i,0.0015099-0.00025059i,0.00092775+0.00060085i,0.00021349+0.00088268i,-0.00061058+6.9568e-05i,-0.00071659-0.000701i,-0.0001989-0.00087866i,0.00059562-0.00079773i,0.00021879-0.00051594i,-0.00039524+4.0618e-05i,-0.00047865+0.00071433i
0.0010328+0.00032483i,0.00087441+0.00040362i,0.001292+5.1833e-06i,0.00034124-0.00090304i,0.000481-0.0010448i,-0.00024468+0.000368i,-0.0014091+0.0019717i,-0.0010205+0.0018664i,0.00039335+0.00070286i,0.0007866-0.00011432i,0.00069361-0.00056317i,0.0010049-0.00071184i,0.00053936+0.00012116i,-0.00030833+0.00065374i,-0.00057614-0.00013128i,-0.0007226-0.00095537i,-0.00013931-0.0010197i,0.00043874-0.00027776i,-0.00017584+3.2992e-05i,-0.00061041-0.00039379i,-0.0001213-0.00071695i,-0.00032632+5.3243e-05i,-0.00099504+0.00055395i
0.0013519-5.7179e-05i,0.0019075-0.00062357i,0.0016161-0.0013034i,0.00063617-0.0010544i,-0.00046518+0.00035332i,-0.0015072+0.0011392i,-0.0020032+0.0016525i,-0.00092379+0.0025885i,0.00090209+0.0020518i,0.0012001+0.00071155i,0.00096058+6.3668e-05i,0.00083691-0.00015989i,3.0801e-05+0.00074043i,-0.00080971+0.00092116i,-0.0014402+9.3378e-06i,-0.0012749+0.00026475i,-0.00085243+0.00020897i,-0.00027305+2.371e-05i,-0.00013627-0.00014689i,-0.00032397-0.00024911i,-0.00067604+2.0557e-06i,-0.00064013-0.00043998i,0.00012018-0.0004024i
-0.00050833+0.00093396i,9.2667e-05+0.00070042i,-0.00013949+0.00057279i,-0.00011895+0.0016406i,8.2041e-05+0.0013097i,3.9288e-05+0.00096367i,0.00068365+0.0018413i,0.00063676+0.001874i,-0.00042778+0.00097796i,-0.0010397+0.0010901i,-0.00031065+0.0011655i,0.00019948+0.0011717i,0.00035929+0.00071255i,0.00059546+0.0006331i,0.00072723+0.00019102i,0.00083771-0.00078162i,0.00054919-0.0010744i,0.00034786-0.0012295i,-0.00026245-0.00091819i,-0.00074816-0.00069674i,0.00010956-0.00029001i,0.00048348-0.00041984i,-5.6544e-05-0.00071762i
0.00073105+0.0014154i,0.00093778+0.0019049i,0.0014733+0.00033465i,0.0013746-0.0018912i,0.00022321-0.0021588i,-0.0012343-0.00066691i,-0.001177+0.00101i,5.0606e-05+0.0017156i,0.00060593+0.00088036i,0.00035068+6.5723e-05i,0.0003595-0.00061912i,0.0011963-0.0013641i,0.0015284-0.00053287i,0.00045118-0.00035599i,-0.00088499-0.00071935i,-0.00054747-0.00013996i,0.00015321-0.0003997i,0.00014648-0.00017214i,6.7307e-05+0.0010099i,-0.00022026+0.0012731i,-7.5198e-05+0.00062742i,0.00056943+0.00062711i,0.00068158+0.0013829i
0.00089719-0.0014282i,0.0016206-0.0016034i,0.0021758-0.00083772i,0.0013649-0.00094274i,-8.5622e-05-0.0010607i,-0.00050796-0.00016382i,-0.00032899+0.0010159i,0.00025211+0.0016324i,0.00048348+0.0011491i,-5.3976e-05+0.00045191i,-6.667e-05+0.00055798i,0.00029123+0.00031784i,0.00067519-0.00013967i,9.4208e-05+8.4264e-05i,-0.00075201+0.00030577i,-0.00037854+0.00019361i,0.0001711+0.0003695i,0.00016787+0.00078745i,0.00039826+0.00044878i,0.0003638-0.0002338i,-0.00045156-0.00024901i,-0.0011815+9.1003e-05i,-0.0010148+0.0004048i
