-0.0014218+0.00070947i,0.00023762-7.8751e-05i,-0.00021218-0.00069261i,-0.00073623-0.00032582i,-0.0004762+0.00025435i,-0.00019995+0.0012277i,0.00019341+0.0017846i,0.0005638+0.001556i,0.0008628+0.0013888i,0.0013383+0.0014073i,0.0011757+0.00080088i,0.00043449+5.0743e-05i,-0.00019281+0.00062919i,-0.00054289-2.3258e-05i,-0.00097921-0.00084472i,-0.001433+0.00016538i,-0.0011382+0.00082461i,-0.00016659+0.00030178i,0.00064679+0.00069831i,0.00091075+0.0011676i,0.00026399+0.0002064i,-0.00012135-3.9613e-05i,0.00092469+0.0002745i
-0.00065166-0.00028709i,-0.0014072-0.00037531i,-0.0013641+0.0003553i,-0.0010752+0.00045565i,-0.0006894+0.00082196i,-0.00055339+0.00088865i,-0.00016022+0.00049626i,0.0006233+7.7365e-05i,0.00074232-0.00053259i,0.00059238-0.00025923i,-0.00030111+0.00038458i,-0.00062574+0.00034117i,-0.00022623-3.7007e-05i,2.0692e-05-0.00029364i,0.00014941+0.00014715i,0.00039424+0.0008775i,0.00018234+0.00044476i,-0.00054209+0.00020908i,-0.00067365+0.00026806i,-0.00057899-9.6038e-05i,-0.001124-6.0704e-05i,-0.0012516-1.4115e-05i,-0.00067477-0.00091086i
-0.0001108-0.0017887i,0.0011758-0.0016388i,0.00099007-0.0012473i,0.00072747-0.00021389i,0.00026749+4.8855e-05i,0.00091651-0.00021274i,0.0016568-0.0003963i,0.00023617-0.0010116i,-0.00098773-0.00106i,-0.00042194-0.0003741i,0.00014245-0.00016387i,-2.3178e-05-0.00055774i,-0.00041476+3.3033e-05i,-0.0004661+0.00019828i,-0.0003846-2.227e-05i,-0.00055784+0.00045846i,-0.00060133+0.00016857i,-0.0008116-0.00046918i,-0.00046298-0.00020394i,-0.00024388-3.8709e-05i,-0.00024935+0.00032135i,-0.00024323+0.0011332i,-0.00026005+0.00075457i
0.0013581+0.0019456i,0.0017225+0.0026735i,0.001582+0.0041928i,0.00063081+0.0027432i,0.00090674+0.00077998i,0.00043656-0.00026028i,-0.00024024-0.00020601i,-0.00022527-0.00010817i,6.8788e-05-0.00055422i,0.0010055-0.00024428i,0.0017919+0.00041793i,0.0019277+0.00036129i,0.0012768+0.00047689i,-0.00034311+0.00050623i,-0.0004001-2.7491e-05i,-4.5774e-06+0.00043182i,-0.00029958+0.0010619i,0.00035178+0.00070806i,0.0003284+9.201e-05i,-0.00035454+0.00068757i,-0.00022744+0.00056053i,0.00039111+0.00016827i,0.00083462+0.00032833i
-0.00032894-0.0019205i,-0.0012151-0.0027511i,-0.0014942-0.0013394i,-0.00035191-8.3608e-05i,0.00048496+0.00034381i,0.0011738+0.00097448i,0.0012806+0.00026347i,0.00030671-0.0010556i,-7.0283e-05-0.00078303i,-0.00034701+0.00010608i,9.2703e-05+0.00016887i,0.00083132+0.00034931i,0.0003659+0.00070375i,-0.00015763+0.00033585i,0.00017731+6.1206e-05i,0.00036935+0.00036658i,-0.00037927+0.00046034i,-0.00062526-6.4801e-05i,0.00052634-0.00065366i,0.0012492-0.00020119i,0.0010116+0.0005563i,0.00069134+0.00064528i,0.0003882+0.00040076i
-0.00037498+0.00086201i,0.00025989+0.0013121i,0.000547+0.00087487i,0.0015943+0.00068355i,0.0017009+0.0010222i,0.0014577+0.00070558i,0.00070566-0.00032043i,0.00011283-0.0016688i,0.00041745-0.0012722i,0.00052574+0.00039062i,0.00046989+0.00051901i,0.00055908-0.00043424i,-0.00020018-0.00042768i,-0.0004397+0.0001828i,0.00013458-9.7798e-05i,-0.00022814-0.0003562i,-0.00020628-0.00037956i,-0.00060238-0.00093054i,-0.0010712+9.5145e-05i,-0.00011059+0.0011861i,0.00088516+0.0005844i,0.0011+6.2851e-05i,0.00072109+0.00016243i
-0.00011907+0.00023178i,5.7881e-05+0.00059846i,-0.00060012-0.000107i,0.0004092-0.0001017i,0.0010976+0.00075664i,0.001094+0.0006937i,0.0012542+0.00053369i,0.0007558+0.00010175i,-0.00022703-0.00092126i,-0.0010922-0.00112i,-0.00068074-0.0011827i,5.8624e-05-0.0010229i,0.00035927+0.00010997i,8.0702e-05+0.0010224i,-0.00053363+0.00062264i,-0.00080381-0.00031435i,-0.0006298-0.00072559i,-0.00051994-0.00018644i,0.00046823-6.4807e-05i,0.0007921-0.00049158i,0.00043941-0.00057711i,0.00066038-0.00029886i,0.00021471-0.00023069i
-0.00098007+3.4107e-05i,-0.00031027-0.00054064i,0.00067954-6.3649e-05i,0.0011479+0.00065137i,0.0014771+0.00092289i,0.0015811+0.00044287i,0.0016628+0.00025198i,0.00086497-0.00023172i,-5.9218e-05-0.0009531i,3.0444e-05-0.00089686i,0.00024583-0.00056591i,0.00018603-0.00076291i,-0.00029869-0.00074592i,-0.00020181-0.00021276i,-0.00016307+0.00026185i,-0.00075265+0.00071798i,-0.00048613+0.00084576i,2.654e-06+0.0005274i,-2.638e-05-0.00029111i,-8.0841e-05-0.00057153i,-0.0001792+1.0535e-05i,7.5442e-05+0.00037428i,0.00046612+0.00051336i
0.0022779-0.00079981i,0.0028772-0.00099476i,0.0021658-0.0011114i,0.0015088-0.0011099i,0.0010077-0.0010574i,0.0011697-0.00049989i,0.00090471-0.00057885i,0.00010723-0.0013574i,-0.0006628-0.0015455i,-0.00042187-0.0011862i,-0.0002183-0.0006312i,-0.00060238-0.00036205i,-0.00017056+0.00018041i,-1.6818e-05+0.00031413i,-0.0005535-0.00035625i,-0.00068836-0.0006237i,-0.0008824-0.00062931i,-0.00038508-0.0011028i,0.00043154-0.0013361i,0.00040289-0.00063425i,0.0004528+2.1242e-05i,0.00031522+0.00027953i,-0.00013305-0.00018589i
-0.0013942-0.00028968i,-0.00080553-0.0010482i,-0.0014904-0.0011448i,-0.0016608+3.3703e-05i,-0.00080041+0.0014696i,-6.9564e-05+0.0016268i,0.0010675+0.00078641i,0.00087083+0.00010206i,0.0002478-0.00063152i,3.2397e-05-0.00033035i,-7.844e-05-0.00031499i,0.00016055-0.00057457i,-0.00040262+0.00033448i,-0.00039671+0.0008604i,0.00012585+0.00010253i,0.00038409-7.4777e-05i,0.00012462+0.00034625i,2.17e-05+0.00035591i,0.00049488+0.00083741i,0.00059603+0.0011633i,0.00076382+0.0014439i,0.00015157+0.00082749i,-0.00032458-0.00036497i
0.0005327+0.00084629i,0.00060785-0.0001161i,0.002288+0.00082625i,0.0022985+0.0011117i,0.0016553+0.00048079i,0.0017289+0.00012777i,0.0020721-0.00011047i,0.0011961+7.2955e-06i,8.0643e-05-0.00019678i,0.00012594-0.00021695i,5.4455e-05-0.00019161i,-0.00025886-0.00039662i,-0.00025378-0.00021671i,-0.00034204-0.00030284i,-6.6263e-05-0.00092999i,4.8055e-05-0.00070463i,0.00027081-0.00029578i,0.00023076+0.00027919i,2.5201e-05+0.0002816i,-5.3682e-05+0.00017855i,-0.00027959+0.00017609i,-0.0008192+2.9043e-05i,-0.0009045+0.00046111i
0.0023647-0.00054461i,0.0017829-0.00078561i,0.0022561-0.00021532i,0.0022504+0.00043224i,0.00093683+0.00036083i,8.0937e-05+0.00018172i,0.0010929-0.00047951i,0.0015759-0.001099i,0.00062933-0.00051652i,0.00049221+5.6898e-05i,0.00049155-0.00037112i,-1.7538e-05-0.00096217i,-0.00029096-0.00023329i,0.00038098+4.9091e-05i,0.00027208-0.00035462i,1.2742e-05-8.7741e-05i,0.00014522+0.00029652i,-0.00040625+0.00017675i,-0.00039408-0.0003664i,4.1777e-05+0.00010491i,0.00034223+0.00010553i,0.00056611-0.00060875i,0.00073901-0.00022313i
0.0016517+0.00029054i,0.0021854+0.00013041i,0.0025608-0.00035661i,0.0020147-0.0010263i,0.0012315-0.00066538i,0.00094372-0.0004507i,0.00070733-0.00058783i,0.00056105-0.0010482i,0.0005162-0.0013129i,0.00066715-0.0012215i,0.00068511-0.0015644i,-5.0109e-05-0.0010356i,-0.0001281-0.00040716i,0.00024388+0.00053983i,0.00028162+0.0011433i,0.00027654+0.00071763i,4.3803e-08+0.00039347i,-0.00027232+4.0202e-05i,-4.1442e-05-0.00014804i,-0.00022268+6.4399e-05i,-0.00058931+0.00046892i,-0.00068486+0.00070103i,-0.00032207+0.00056967i
0.0024227+0.00020102i,0.0023057+0.00095424i,0.0021056+0.00062097i,0.0013552+0.00060909i,-8.8321e-06+0.0011452i,-6.2388e-05+0.00093587i,0.00062435+0.000321i,0.00074468-0.00066569i,9.8689e-06-0.0013346i,-0.00040646-0.00059226i,-0.00016744-0.0003058i,-0.00012264-0.00033616i,-8.5471e-06+0.00025526i,-0.00025282+8.2524e-05i,-0.001279-0.00043887i,-0.0013541-0.00048431i,0.00011529-0.00022663i,0.00064599-0.00044571i,0.00031108-0.00010231i,0.00019065+0.00036251i,0.00065304+0.00032442i,0.00099972+0.00013419i,0.00084802+2.2638e-05i
0.001634+0.00080014i,0.00047071+0.00027984i,0.00028438-0.00073152i,0.00018645-0.00028085i,0.00051072+0.00049566i,0.0013558+7.6138e-05i,0.0020131-0.00049967i,0.0011362-0.00036552i,0.00044126-0.00045492i,0.00027865-0.00013123i,-0.00039205+0.00050755i,-0.00021806+0.00059847i,-0.00023205+0.00053901i,-0.0007575+0.00051649i,-0.0010227-0.00015172i,-5.3233e-05-0.00046822i,0.00064877-0.00034387i,0.0001293-0.00074843i,0.0005182-0.00051198i,0.0002372-0.00035515i,-0.00070761-0.00012683i,-0.00020481+0.00021082i,0.00017634-0.00016373i
-0.00054342-0.00029022i,0.00023228-0.0013928i,0.0011363-0.0013601i,0.0012457-0.00058454i,0.0016431-0.00040849i,0.0019392+0.00011024i,0.0016075+0.00021785i,0.00094384-0.00035142i,-0.00019339-0.00044162i,-0.0011467-1.0077e-05i,-0.00075497+0.00050597i,-0.00019337-5.4182e-06i,-0.00089957+0.00017844i,-0.00072883+0.00025269i,0.00065602+0.00024358i,0.0011318+0.00063902i,0.0008502+0.00055506i,0.00053851-0.00032594i,0.00054791-0.00078207i,0.00068292-0.00054879i,0.00043086-9.078e-05i,0.00034282+0.0003492i,0.00030479+0.00075517i
0.00067377-0.00010261i,0.0016808+0.00048122i,0.0014049-0.00050365i,-9.4583e-05-0.0012592i,-0.00055552-0.00072984i,-0.00030624+9.9098e-05i,0.00032958+0.00021597i,0.00059306-0.00014485i,0.00021542-0.00045875i,-0.00050843-0.00037898i,-0.00085121-0.0002155i,-0.00013975-0.00093712i,-4.6336e-05-0.00079295i,-0.00059158-0.00059638i,-0.0011148-0.00044871i,-0.001637-0.00017188i,-0.0012134-4.0556e-05i,-0.00099654-0.00026438i,-0.0013411-0.00070357i,-0.00079271-0.00036594i,-0.00026045+0.00016599i,-0.0002503-0.00030453i,-0.00059817-0.00072522i
0.00093808-0.00011082i,0.00093708-0.00013601i,0.00075388-0.0005978i,0.0007038-0.00046723i,0.00073111+0.00070552i,0.00060083+0.0014053i,0.0006084+0.00087631i,0.00042835-0.00029226i,0.00017957-0.00057594i,-0.0001505-0.00012844i,-0.00050618+0.00029572i,-0.00010244+0.0001583i,8.7846e-05-0.00034153i,-0.00028318-0.00057134i,-0.00084287+8.5073e-05i,-0.00076361+0.00016482i,-0.00067608+0.00017317i,-0.00030501+0.00090112i,0.00028945+0.0015053i,4.0668e-05+0.0015483i,0.00024782+0.00078162i,0.0012752-0.00015881i,0.0011033-0.00016755i
0.00045037-0.0040251i,-0.00022761-0.0040613i,-0.00065504-0.0029234i,-0.00099245-0.0010754i,-0.00095846-0.00032662i,-0.00037662+0.00020491i,0.00013461+3.0109e-05i,0.00038036-0.00010654i,-0.00011092+4.749e-05i,-0.00039639+3.6704e-05i,3.1696e-05-9.7808e-05i,-5.2161e-05+0.00035906i,-0.00083051+0.0007748i,-0.00042715+0.00020553i,0.00028573-0.00055121i,0.000309+5.9831e-05i,0.00055577+0.0007595i,0.00066797+0.00027256i,0.00071729+0.00029683i,0.00049855+0.00061445i,-3.8457e-05+0.00033424i,-0.00010776+3.6693e-05i,0.00022359+8.8448e-05i
-0.0004571+0.001401i,-0.0011611+0.00086613i,-0.00015283+0.0016331i,-0.00030648+0.0018347i,-0.00065585+0.00081265i,-0.00039535+0.00042198i,-0.00019893+1.7239e-05i,-4.2487e-05-0.00046353i,-7.9543e-05+0.00034045i,2.1792e-05+0.00057546i,0.00054759+0.00031759i,0.00043886+0.0009318i,0.00027559+0.00093081i,0.00016728+0.00025127i,-9.4716e-05-0.00033345i,0.00032763-0.00033601i,-2.2724e-05+0.00014847i,-0.00035676+4.3603e-05i,0.00049331+0.00031524i,0.00039746+0.00072i,0.00014039+0.00050745i,-8.0882e-05+0.00019737i,-0.00036732+0.00014482i
0.0008866+0.0015541i,0.0016912+0.00091815i,0.0012678+0.00058143i,-0.00029361-0.00019739i,-0.00072053-0.0013576i,-0.00025434-0.0006091i,0.00044743+0.00065201i,0.0010386-0.000284i,0.0011089-0.0010234i,0.00072528-0.00018852i,8.3519e-05+0.00016799i,-0.00039713-0.00018701i,-0.00029025+0.00018427i,-6.4531e-05+0.00072398i,-8.9377e-05+0.00026228i,0.00031996-7.6359e-05i,0.00078741+0.00045342i,-0.00058278+0.00055829i,-0.0013659+0.0002185i,-0.0010812-0.00054154i,-0.0008638-0.00092943i,-0.00027975-0.0004161i,7.0918e-05-0.0002331i
0.0021442+0.0023935i,0.0026516+0.0030335i,0.0031175+0.0026194i,0.0022181+0.0015581i,0.0020523+0.0018519i,0.0017231+0.001011i,0.0015932-6.7462e-05i,0.0017169-0.0006563i,0.0010137-0.00096761i,0.00058436-0.0009192i,0.00071293-0.000691i,4.9468e-05-0.00048262i,5.0047e-05-0.00055559i,0.0004432-0.00070903i,0.00061976-0.00075581i,-2.694e-05-0.00014727i,-0.00070908+0.00050901i,-0.0011298+0.00099349i,-0.0014306+0.0014928i,-0.00074585+0.00058789i,7.745e-05-0.00022745i,0.0004536-4.4779e-05i,0.00046308+0.00010998i
-0.0024734-0.00023249i,-0.0023539+0.00057408i,-0.00095555+0.00088214i,0.00025569+0.0011416i,0.0014956+0.0009297i,0.0019895+0.00058182i,0.0014697+0.00024851i,0.0005762+0.00025062i,-0.00036409+3.7561e-05i,-0.0005712+0.00036059i,-0.00010632+0.0008103i,-0.00046609+0.00047266i,-0.00083062-0.00016247i,-0.00085823-0.00017449i,-0.00040791+0.00021702i,0.00018247+0.00036934i,-6.0269e-05+0.00027986i,-0.0010111+0.00048236i,-0.0011115+0.00048335i,-0.00074077+0.00037564i,-0.00071488+7.4197e-05i,-0.00063099+9.2786e-05i,0.00018734+0.00044073i
-0.00057853+0.00088108i,-0.00024456-1.1397e-05i,-0.00059172+0.00025241i,-0.00051107+0.0010262i,-0.00089271+0.0014134i,-2.3904e-05+0.00059493i,0.0015924+3.0903e-06i,0.0016572-0.00011707i,0.00065375-0.00033393i,0.0004632-3.3701e-05i,0.0012079+4.2075e-05i,0.0016694+4.3258e-05i,0.00074057+0.0004039i,0.0002281+0.00095938i,0.00074144+0.0013021i,0.00038089+0.0012309i,-7.3803e-05+0.00075751i,0.00034652-0.00042231i,0.00039256-0.0010901i,-7.5247e-05-0.00043664i,-0.00028047-0.00021213i,-0.00029079+0.00014327i,-0.00026402+0.00042822i
0.0024039+0.00062597i,0.0031325+0.00062852i,0.0022093+0.00041827i,0.001115+0.00107i,0.00074879+0.0019599i,0.00078168+0.0024227i,0.0006747+0.0015181i,0.00059675-0.00025355i,-2.0898e-05-0.0007549i,-0.00040158+4.0029e-05i,-0.00019533+0.00064367i,0.00023287+0.0002513i,-0.00025338+0.00023376i,-0.00078209+4.5392e-05i,0.00010729-0.00068263i,0.00019285-0.0010865i,-0.00074944-0.0010266i,-0.00064696-0.00047635i,-0.00033299-5.7119e-05i,-4.2025e-05+0.00055537i,2.154e-05+0.00065528i,-0.00037547+0.00043301i,-0.00028478+0.00026391i
-0.0016778+9.2939e-05i,-0.0011106-0.00022257i,-0.0016076+0.00051149i,-0.00095182+0.0010584i,0.00026153+0.00085865i,0.00096843+0.00074189i,0.0013441+0.00088371i,0.00090507+0.00029353i,-0.00041723+5.9077e-05i,-0.00088067+0.00029681i,-0.00078247+5.1796e-05i,-0.00069801-8.259e-05i,-0.00077209-6.9596e-05i,-0.00034954-7.2635e-05i,0.00013491-0.00049428i,-0.00014742-0.00057533i,0.00031255+6.007e-05i,0.00035548+3.0267e-05i,-0.00021578-0.00023148i,-0.00076208-0.00042074i,-0.00046614-0.00056641i,0.00024274-0.00083894i,0.00014738-0.00059644i
0.00036734-0.0011407i,0.00033086-0.0020406i,-0.00048154-0.0014817i,-0.0002793-0.00081676i,9.9314e-05-0.00072567i,0.00021973-0.00079194i,0.00018796-0.001123i,8.496e-05-0.0015595i,0.00036548-0.0007481i,0.00015167+0.00029521i,1.6603e-05+7.2566e-05i,0.00011915-0.0009957i,-9.2281e-05-0.0011037i,-0.00018583-0.0014621i,0.0001044-0.00093143i,0.00047437+0.0001591i,0.00052237+0.00066857i,0.00034693+0.0011778i,1.0794e-05+0.00037603i,-0.00012555-0.00031698i,0.00021671-0.00023346i,0.00016131-0.00027382i,-0.00018168-0.00022687i
0.00098228+0.0020026i,0.0011154+0.0014338i,0.0010703+0.00066369i,0.00059876+0.001111i,-0.00012185+0.0024508i,-0.00035079+0.002024i,0.00032044+0.00021894i,0.0011651-0.00024523i,0.00022918+0.00023361i,-0.00038952-5.9236e-05i,-0.00086799+0.00014408i,-0.0010569+0.00036798i,-0.00028809+8.1585e-05i,0.00031351-0.00049202i,0.00032424-0.00067043i,-8.2086e-05-0.00018291i,-0.00049652-0.00012008i,-0.00049156-9.005e-05i,-0.00040407+8.2465e-05i,-0.00037316+0.00038765i,-0.0001091+0.00024188i,-0.00010452+0.00013242i,-0.00072728+0.00032786i
0.0011565-0.00070512i,0.0012318+0.00042442i,0.0012385+0.00092421i,0.00075766+0.0011704i,0.0015253+0.001518i,0.0021021+0.0015491i,0.0014957+8.2742e-05i,0.00070377-0.00027011i,-0.00072652-0.00025675i,-0.00084083-0.00073826i,3.8671e-06-0.00038099i,0.00038907+0.00013519i,0.00060481+0.00042866i,0.00044113+0.00059295i,-2.648e-05+0.00063919i,0.00020052+0.00012438i,0.00031117-0.00019523i,-0.00040589-9.0274e-05i,-0.00048266-0.0001193i,4.7861e-05-0.00037157i,0.00027073-0.00019454i,0.00024081+0.0002576i,0.00022803-3.8342e-06i
-0.0013678+0.00057007i,-0.00049954+0.00049757i,-0.00011095+0.00056575i,0.00054786+0.00027937i,0.00068097-1.2522e-05i,0.00054887-4.7455e-05i,0.00061715-0.00030587i,0.00020628-0.0007225i,-0.00040734-0.00071381i,-0.00016849-6.6624e-05i,0.00017956+0.00069869i,-0.00015096+0.00067553i,-0.00070293-0.00015309i,-0.00040379+0.0002352i,-0.0001278+0.001191i,-5.4006e-05+0.0014342i,0.00029373+0.0010739i,0.00012679+0.00086946i,-3.537e-05+0.00071272i,0.00013624+6.5883e-05i,-0.00041471-0.00055861i,-0.00053695-0.00039405i,2.4602e-05-0.00034797i
-0.00064713+0.00063994i,-0.0003669+0.00053187i,-0.0017123+0.0013054i,-0.002284+0.0018582i,-0.0012082+0.0020149i,-0.00015179+0.0014085i,0.00060866+0.00071518i,0.00022401+0.00019112i,0.00011506+5.8641e-06i,0.00078655+7.852e-05i,0.00089661-0.00011694i,0.00041329-0.00039857i,-0.00023028-0.00062849i,-0.00050934-2.8752e-05i,-0.00029667+0.00082054i,-0.00028313+0.00085787i,-0.00033232+0.00097539i,-0.00077091+0.0005679i,-0.00028678-0.00021561i,0.00052336-0.0003717i,0.00039161+1.1547e-06i,7.4695e-05-0.0006153i,-0.0002468-0.00037618i
0.0024726-0.0016572i,0.0011956-0.0021444i,3.5767e-05-0.0020266i,-0.00057581-0.00086851i,-0.00083786+0.0005713i,-0.00069741+0.0017488i,-5.0841e-05+0.0018443i,0.00072173+0.00093271i,0.00060787+0.00014729i,-0.0001753-0.00037239i,-0.00012226-0.00069121i,0.00036313-0.00035115i,0.00012353-0.00021486i,-0.00077647-0.00044712i,-0.00075828+0.00012917i,-0.00057756+0.00035462i,-0.00055867-0.00056651i,8.2771e-05-0.00037936i,0.00032362+0.00054662i,4.1888e-05+0.00019653i,-0.0003896+0.00054679i,-0.00023307+0.00082598i,0.00021579+0.0004628i
