-0.0036294+0.001298i,-0.003574+0.0011378i,-0.0037773+0.00049081i,-0.0028018+0.00059462i,-0.0012772+0.0016383i,-0.000949+0.0018967i,-0.00022466+0.00078534i,0.00068959+5.6913e-05i,0.0010769-3.8284e-05i,0.0011876-0.00023737i,0.0010084-0.00071047i,0.00058449-0.00069986i,2.7407e-05+0.00029667i,-0.00020978+0.00062249i,-5.3868e-05+0.00055404i,0.0004661-1.2833e-05i,0.00054-0.0017256i,-2.0558e-05-0.0021237i,-0.00016801-0.0014358i,-0.00062084-0.00081971i,-0.00063603+2.585e-05i,-0.00046674+0.00032487i,-0.00066268+0.00055979i
0.00055463-0.0027407i,0.00090856-0.003001i,0.0012313-0.0024285i,-0.00041716-0.001144i,-0.0012717-6.034e-05i,-0.00023745+0.00022528i,0.00023847-5.2702e-05i,0.00041671-0.00049592i,0.00047509-0.00068523i,-0.00048006-0.00033452i,-0.00163-0.0002148i,-0.001051-0.00046588i,-0.00039483-0.00035611i,-0.00061887-0.00021812i,-0.0005198-0.00029446i,-0.00021129-0.00018283i,0.00022099-0.00053114i,0.00063691-0.00087223i,0.00063429-0.00071618i,0.00096907-0.00070186i,0.0013649-0.0010404i,0.00060187-0.00045391i,-0.00018051-1.6002e-05i
0.0021181+0.00065386i,0.0017114+0.0019332i,0.0029137+0.0012003i,0.0020712+0.00017781i,0.0010837+0.0001001i,0.00020558+0.00043768i,-0.00039392-0.00023036i,0.00019987-0.00087935i,0.00032177-0.00071257i,-6.0051e-05-0.00089957i,-0.0006389-0.0015291i,-0.00083544-0.00096738i,-0.00088413+0.00050338i,-0.00080105+0.00059158i,-0.00047245-0.00020312i,-0.00045649-0.00070452i,-0.00018943-0.0010164i,7.999e-06-0.0011604i,0.00039706-0.0016312i,0.00090146-0.001056i,0.00030151+0.00036614i,0.00026669+0.00054962i,0.00011272+3.8698e-05i
-0.00063224+0.0010801i,5.5513e-05+0.0002226i,-0.00028824+7.8e-05i,-0.00059075+0.00022169i,-0.00054395+3.2578e-05i,-0.00011633-6.3052e-05i,0.00053639-0.00015663i,0.00058134-0.00061208i,0.0004092-0.00064477i,0.0005073-0.0012849i,0.00036191-0.00050828i,0.00019651+0.00082231i,0.00076666+0.00046412i,0.00077303+6.6781e-05i,0.0001251-0.00035775i,-0.00036452-0.00032172i,-0.00032703+0.00029024i,-0.00063187+0.00069551i,-0.00060176+0.00081398i,-8.3242e-05+0.00059091i,-0.00062078-0.00048094i,-0.00087142-0.001092i,-8.7189e-05-0.00048104i
-0.0010758-0.0012428i,-0.00060774-0.0011827i,4.1361e-05-0.00074767i,8.051e-05+0.00018339i,0.0010193+0.0012461i,0.001243+0.0014221i,0.0011671+0.00046281i,0.0012271+0.00033092i,0.0004217+0.00018421i,-8.8206e-05+0.00042622i,-0.00029696+0.00048459i,-0.00015991+0.00014582i,0.00013661+0.00051096i,0.0003572+0.00025354i,0.00065454+0.00041055i,0.00034889-6.2491e-05i,0.00027683-0.0012684i,0.00040473-0.001127i,0.00016818-0.00055013i,-0.00024818-3.1346e-05i,-0.00011874+0.00019366i,0.00061613+0.00011868i,0.000426+0.00042262i
1.8037e-05-0.0011579i,0.00019753-0.00094698i,-0.00080622+0.00017499i,-0.0014366+0.0012632i,-0.00057776+0.00068381i,0.0012396-4.4345e-05i,0.0013224-0.00016595i,5.6951e-05-0.00053732i,-0.00043961-0.00096239i,-0.0010653-0.00098388i,-0.0015138-0.0005205i,-0.00069769+0.00022632i,-7.4756e-05+0.00059484i,0.00020101+0.00078234i,-0.00012883+0.00026371i,-3.0012e-05-0.0006679i,0.00047513-0.00018126i,0.00062695+0.00048228i,0.00063459-0.00054394i,0.00046506-0.0012103i,0.00049399-0.00080438i,-0.00016636-0.00021344i,-0.00022825+0.00040124i
-0.00097727-0.00028441i,-0.00037712+0.0010872i,0.0002468+5.2548e-05i,0.0010507-0.00080593i,0.0014279+0.00051372i,0.00071686+0.0014199i,0.00046595+0.0011013i,-6.6881e-05+0.00050063i,-0.00016339+0.00019587i,0.00045792+0.00028322i,0.00038041-7.2356e-05i,0.00019675-0.0004304i,-0.00046996-0.00037419i,-0.0005345-0.00020707i,-0.00037044-9.9822e-05i,-4.4276e-05-5.7436e-05i,1.593e-05+0.00019872i,-0.00039862+0.00034223i,0.0001426-0.00037642i,0.00030736-0.0011492i,0.00014496-0.0012371i,-8.456e-05-0.00091085i,-0.00046418-0.00041005i
-0.00083304-0.00047542i,-0.0015913+0.00011183i,-0.0014786+0.00094392i,-0.0017759+0.00095842i,-0.0017236+0.00028233i,-0.0011109+1.4661e-05i,-0.00026378-9.4808e-05i,0.00067881+1.7695e-05i,0.00053749-0.00017812i,-0.00021237-0.00052093i,-0.0005473-0.00063534i,-0.00033673-0.00044281i,-0.00030249-0.00036738i,-0.00024229-0.00049258i,0.00029805-0.00032578i,0.00055522-0.00061767i,0.00052599-0.0008293i,0.00026277-0.00062906i,-0.0005303-0.00014464i,-0.00039217+1.6204e-05i,0.00037723-0.00018752i,0.00059752-0.00013914i,0.00048091-0.00013167i
-0.0025574-6.0335e-06i,-0.0029627-0.0006968i,-0.0032675+0.0008526i,-0.0021461+0.0021092i,-0.00063701+0.0017378i,-7.4717e-05+0.00091029i,-0.00037315-6.7945e-06i,-1.6708e-05-0.00023882i,0.00019075+0.00047747i,-0.00066348+0.000521i,-0.0010981-0.00022627i,-0.00041461-0.00010849i,0.00067491+9.2897e-06i,0.0013016-0.00066356i,0.00086961-0.00090927i,0.00053583-0.00059028i,0.00084194-0.00051701i,0.0010589-0.0007153i,0.00064491-0.00064868i,-8.4066e-05-0.0007395i,-0.00018839-0.0005809i,-0.00021499-0.00027172i,-4.5101e-05-0.00037681i
-0.00010352+0.003072i,0.00055502+0.0034847i,0.0010897+0.0034013i,0.0014948+0.0011712i,0.00066426+0.00034118i,3.4474e-05+0.00035015i,0.00019891+0.00019135i,1.4816e-06+0.00023005i,0.00019557+7.308e-05i,-0.00053923-0.00064535i,-0.00068945-0.00069248i,0.00041607-0.00019062i,0.00088193-0.00013809i,0.00026027-0.00082854i,0.00026833-0.0011963i,7.5144e-06-0.00092156i,-0.0003404-0.0004371i,0.00030291-5.2518e-05i,0.00082711-1.5846e-05i,0.00062212+0.00018503i,0.00018372+0.00059008i,-0.00030402+0.00051675i,-5.4809e-05-0.00017105i
-0.0013173-0.0025283i,-0.0014337-0.0028629i,-0.0013353-0.0019525i,-0.00075348-0.00055516i,-0.00050225+0.00068636i,-0.00075172+0.0018193i,-0.00015572+0.0019218i,0.00047885+0.00075625i,0.00057387-0.00019129i,0.00016921-0.00021568i,-0.00074393-2.0488e-06i,-0.0010414-0.00013867i,-0.00043417+0.00010519i,-0.00046417+0.00065914i,-0.0004995+0.0012493i,0.00012976+0.0014531i,0.00046496+0.00077903i,0.00093255+6.2016e-05i,0.0014539-0.00040395i,0.001512-0.00056984i,0.0010408-0.00080315i,0.0004267-0.001265i,0.0001539-0.00076924i
-0.0014837+0.00028945i,-0.0012842-0.0019108i,-0.00078391-0.00074761i,-0.0014518+0.00037011i,-0.0012985+0.00031306i,0.00045144+0.00047649i,0.0011497-6.8154e-05i,0.00082412+7.0796e-05i,0.00028095+0.0004724i,-0.0004151+0.00043076i,-0.00076866+0.00057264i,-0.00050406+0.00089121i,-0.00015278+0.00060602i,-0.00010605-0.00010717i,5.9941e-05-0.00029221i,0.00046821+0.00048913i,0.00059077+0.00051591i,0.00067265-0.00045795i,0.00074899-0.0010414i,0.00040824-0.00091988i,0.00015823-0.00047147i,0.00056957-0.00028101i,0.0011226-0.00035451i
0.00045111-0.0010022i,0.0015737+7.3208e-06i,0.0023728+0.0008678i,0.0009467+0.0014214i,-0.00098975+0.0010878i,-0.0014958+0.00046436i,-0.0013313-0.00025639i,-0.00047251-0.00073091i,-0.00047813-0.00030937i,-0.00041044-0.00046546i,2.7807e-05-0.00050348i,-0.00066469-0.00027341i,-0.00090966-0.00090068i,1.7444e-05-0.0010376i,9.0746e-05-0.0012989i,8.5639e-06-0.0010635i,0.00071603+0.00029808i,0.00090002+0.00098595i,0.00070346+0.0003469i,0.0006017+0.00017948i,0.00049875+0.00027662i,-0.00075063+0.00013502i,-0.00101-0.00022254i
-0.0004748-0.0026231i,-0.00077816-0.0034272i,-0.001305-0.0037564i,-0.0015275-0.0022589i,-0.0010713-0.00085369i,-0.0002619+6.9816e-06i,0.00027808+0.00027798i,0.00031291-0.00078803i,-0.00017876-0.0013914i,0.00018194-0.0013211i,7.5375e-05-0.00092666i,-0.00037193+0.00013159i,0.00068595+0.00073087i,0.0011803+0.00049177i,0.00058489+1.0422e-05i,0.00028113-0.00041634i,0.0006063-0.00028506i,0.0013851-0.0001837i,0.0011491-0.00014149i,-9.8215e-06+4.1799e-05i,0.00011841+0.00045173i,0.00052381-0.00013725i,-0.00040221-0.0010295i
0.00053855-0.0009044i,0.0012536+8.0725e-05i,0.0022644+0.00099805i,0.0022674+0.0016635i,0.0010956+0.0013665i,-0.0003325+0.00061953i,-6.8865e-05+0.00036184i,0.0002841+0.00013379i,-0.00032214-1.7002e-05i,-0.00068457-0.0001126i,-0.0015535-0.00042835i,-0.0014827-0.00070875i,-0.00015711-0.00066053i,0.00034398-5.0123e-05i,-0.00028204-0.00020351i,-0.0011755-0.00029426i,-0.0011423-0.00069442i,0.00027535-0.0012992i,0.00069282-0.0014587i,4.3359e-05-0.00097385i,-0.0001664-0.00034348i,-1.404e-06-3.0826e-05i,0.00011874-8.3486e-06i
0.00054263-0.0010845i,0.00060564-0.0012273i,-8.7642e-05-0.0021732i,-0.0010777-0.0018023i,-0.0009845-0.0008329i,-0.00038923-5.9521e-05i,0.00033468-0.0003242i,-0.00021323-0.00062572i,-0.00070288-0.00096656i,-0.00063888-0.0012423i,-0.0013083-0.0013024i,-0.0011224-0.00085536i,0.00030162-0.00015516i,0.00084532-1.0681e-05i,0.00025236+0.00022136i,-0.00012461-1.3511e-05i,0.00032477-0.00033307i,0.00011043-0.00058484i,-0.00012843-0.00037047i,-0.00016506+0.00042382i,-0.00032409+3.5988e-05i,-0.00012018+0.00030033i,0.00012823+0.0014797i
0.0029536+0.00031758i,0.0027538+0.00023022i,0.0011514+0.00016894i,0.00055091-0.0011766i,0.00066292-0.0015285i,0.00039428-0.00054395i,0.00036537+0.00034812i,0.0012261+0.00024327i,0.0017853-0.00016686i,0.00053719-0.00069231i,-0.00072042-0.0015704i,-0.00034038-0.0010525i,0.00034039+5.5691e-05i,0.00012587-0.00013741i,-0.00010169-0.00049501i,-0.00040211-0.00071475i,-0.00041654-0.00085977i,0.0006004+0.00015667i,0.00080817-3.9768e-05i,0.00029022-0.00069909i,0.00044331-0.00044997i,0.00076993+1.604e-05i,-3.6288e-05+0.00060857i
0.0010144+0.0029326i,0.0013347+0.004351i,0.0015009+0.0043151i,0.0011718+0.0023561i,0.00043392+0.00044322i,0.00012807-0.00026566i,-5.1396e-05-0.00013521i,-0.00013661+0.00023975i,-0.00021109-0.0001587i,-3.4692e-05-0.00080645i,0.00072604-0.0005645i,0.00034308+0.00031543i,-0.00024014+0.00069365i,0.00065742+0.00011548i,0.00089466-0.00022534i,0.00062318+0.00063072i,0.00028554+0.0011138i,-0.00014424+0.00080149i,-0.00055128+0.00035771i,-0.00023379+0.0007025i,-0.000176+0.0011774i,1.073e-05+0.0011107i,-0.00015326+0.0011544i
0.0017766-0.00024862i,0.0014757-0.00095994i,0.00045552-0.0015849i,0.00051624-0.0013392i,0.0013921-0.00063501i,0.0014206+0.00040794i,0.00079328+0.00086293i,0.00080446+0.00024155i,0.00067349-0.00046355i,-0.00044325-0.00062533i,-0.00062831-0.00085802i,-8.0183e-05-0.00089667i,0.00051165-0.00071436i,0.00093532-0.00079069i,0.00041582-0.00040576i,-0.00059474-0.00050183i,-0.00013353-0.0010261i,0.00057476-0.00080965i,0.00023194-0.00042388i,0.00048645-0.00045306i,0.0003893-0.00072501i,-0.00010814-0.0006234i,-0.00079655-4.8831e-05i
-0.0012811-0.00014909i,-0.0014279-0.00028047i,-0.0013062+0.00067587i,-0.00030908+0.00118i,0.0013619+0.00087158i,0.001567+0.00053834i,8.3616e-05+9.6846e-05i,-0.00040806-5.0411e-05i,0.00024839-0.00016034i,0.0003446-0.0006073i,4.8556e-05-0.00024322i,-9.1091e-05+0.00057077i,-0.00058401+0.00022324i,-0.00052304-0.00058366i,6.6788e-05-0.00055301i,0.00020225-0.00023971i,0.0010177+0.00020125i,0.0015822+0.00022007i,0.0013364-0.0003657i,0.00075028-0.00066791i,0.00025588-0.0008106i,-5.3919e-05-0.00057888i,0.00012942-0.00027998i
0.0010078+0.0012361i,0.00041192+0.0014288i,0.0010247+0.0011395i,0.0015292+0.00035434i,0.0010761-0.00071916i,0.00074831-0.00075997i,0.00029788-0.00041783i,-2.2356e-05+2.4444e-05i,-0.00019738+0.00013548i,-0.00067699-0.00044112i,-0.0010302-0.00081447i,-0.0015055-0.00043619i,-0.00091699-0.0001875i,0.00060538-0.00017141i,0.00075149+4.6462e-05i,0.00013031-0.0003249i,7.0419e-05-0.00035585i,0.00050456+0.00031988i,0.0014499+0.00032317i,0.0015195-0.00032436i,0.00055894-0.00065585i,-0.00020706+3.6206e-05i,-0.00062092+0.00054374i
-0.001162+0.00013703i,-0.0016496+0.0003374i,-0.00052613+0.00088538i,-0.00032689+0.0008406i,-0.00081491+0.00015443i,-0.000358+0.00027633i,0.00034248+0.0013421i,0.0011077+0.0015675i,0.0014644+0.0010341i,0.000599-0.00032757i,-0.00011538-0.00059963i,-0.00062062-0.00032693i,-0.00026531-0.0003775i,0.00036153-0.00048694i,0.00040661-0.00053516i,-7.0055e-05+0.00016235i,-0.0007542+0.00086339i,-0.000857+0.00031992i,-0.00038375-0.00030372i,-0.00016321+0.00032698i,-0.00071406+0.00057184i,-0.00073594-0.00022657i,-0.00051681-0.00019393i
0.00091053+0.0015118i,0.00095024+0.0012488i,-0.00042103+0.0016103i,-0.00091618+0.0013619i,-0.00077292-1.2991e-05i,-0.00050618-0.00075014i,0.00012125-0.0008669i,0.00010857-0.00050712i,-1.6834e-05+0.00032909i,0.0001936+0.0003499i,0.00059555+0.00014854i,0.00060999+1.0745e-05i,0.0012159-0.00034968i,0.0017687-0.00028079i,0.0014212-0.00068657i,0.0005775-0.001149i,6.5354e-05-0.0009623i,9.5637e-05-0.00098116i,0.00032301-0.00098391i,0.00029027-0.00020716i,-8.7622e-05+0.00012907i,-0.00056985+0.00038488i,-0.00046996+0.00020349i
-0.0004099-0.00040436i,-0.0016003+0.00029887i,-0.0015058-0.00052163i,-0.00023596-0.00093308i,0.00047244-0.00034974i,0.0007238-0.00025633i,0.00025082-0.00023428i,-0.00054183+0.00031235i,-0.00068203+0.00051832i,-0.00015469-0.00057943i,0.00025-0.0018964i,0.00033975-0.0010458i,0.00032567-9.6934e-05i,0.00030876+0.0001506i,0.00069318+0.00095386i,0.0010036+0.00091388i,0.00055704+0.00064512i,0.0003801+0.00049583i,0.00060121-9.5318e-05i,0.00063597-0.00032241i,0.00069831-0.00050432i,0.00054943-0.00015374i,0.0005119+0.00015965i
-0.0022157+0.0016368i,-0.0023339+0.0020885i,-0.0021577+0.0029759i,-0.001105+0.0028253i,-0.00069145+0.0018201i,-0.00082297+0.00085735i,-0.00064866+0.00036213i,2.6094e-05+0.00034654i,0.00088889-0.00016861i,0.00057838-0.00039923i,0.00023996-0.00051576i,8.9363e-05-0.0007446i,0.00038683-0.0002069i,0.0013119+0.00019109i,0.0010396-0.0002277i,0.00032564+0.00023948i,-4.1756e-05+0.00081528i,0.00018995+0.00035224i,0.0005437-6.258e-05i,0.00083491+9.3474e-05i,0.0011457+0.00033937i,0.0013293+0.00041834i,0.00037326+0.00026323i
-0.00055657-0.00086707i,-0.00038114-0.0011136i,-0.0016852-0.0013521i,-0.0015494-0.00045531i,-0.00027653-6.937e-05i,0.0013805+5.0796e-06i,0.0015784+0.00035806i,0.00044022+2.6148e-05i,-1.5197e-05+3.9084e-05i,-0.00047746+0.00064201i,-0.00017513+0.00097544i,-0.00016241+0.0007526i,-0.00051337-0.00035059i,-6.9024e-05-0.00023752i,-1.8484e-05+0.00032245i,-0.00055857-5.1454e-05i,-0.00055095-0.00024337i,9.0558e-05-0.00048957i,0.00097011-0.00066424i,0.0011064-0.00034959i,-0.0001262+0.00050887i,-0.0009554+0.00032253i,-0.00049542+5.4274e-05i
-2.7795e-05+2.9267e-05i,0.00025178+0.00067372i,-7.4518e-07+0.0011657i,-0.00019774+0.00097666i,-0.00016488+0.00059873i,-4.1501e-05+0.00019161i,-3.9954e-05+0.00049194i,6.7348e-05+0.00050146i,0.0003865+0.00036962i,0.00027561+0.00044331i,-0.00022376-9.5505e-05i,-0.00076475-0.00028764i,-0.0004344-0.0002129i,0.00021069+0.00038021i,0.00049106+0.00058509i,0.00088244-3.7555e-05i,0.00048933-0.00028351i,-2.2964e-05-0.00050599i,0.00022253-0.00043261i,0.00055193+2.6435e-05i,-0.00012436+0.0005182i,-0.0008362+0.0006136i,-0.00070689+0.00019009i
0.00030387-0.00024375i,0.0001866-0.0011104i,0.00030214-0.0019862i,0.00081541-0.0014493i,0.00061844-0.00040387i,0.00019914+5.387e-05i,0.00092482+0.00010953i,0.00076043+0.00016849i,-0.00020633+0.00051703i,-0.00078367+0.00039322i,-0.00073214-0.00053624i,-0.00017364-0.0010607i,0.00031889-0.00057978i,0.0001766+0.00060487i,-0.00089721+0.00074802i,-0.0012413-8.1072e-05i,-0.00065794+4.2738e-05i,-0.00015928-4.5992e-05i,-2.9128e-07-0.00017573i,-0.00022267+0.00020471i,-3.312e-05+0.00025683i,0.00062865+0.00018901i,0.00056926+4.3436e-05i
-0.0002221+0.00038956i,-0.0011798-0.00037619i,-0.0029364-0.0012017i,-0.0020868-0.00031856i,-0.00053598+0.00035606i,0.00044411+0.00010278i,0.00083088+0.00016738i,0.00056654+0.00060736i,-0.00042753+0.00093881i,-0.00068273+0.00012595i,-0.00049505-0.00014726i,-0.00066533+0.00060689i,-0.00012652+0.0007778i,4.3226e-05+5.1408e-05i,-0.00032615-0.00047177i,-0.00061711-0.00029829i,-0.00014021-0.0004092i,0.00021697-0.00048296i,0.00076374-0.0010449i,0.00096684-0.0014294i,0.00030943-0.0016402i,2.4425e-05-0.0014704i,3.6931e-05-0.00052409i
0.0017242+0.00015614i,0.0015563+0.00014439i,9.237e-05+4.2384e-06i,-0.0012419+3.9379e-05i,-0.00086393+8.7455e-05i,-0.0005264+2.4014e-05i,-0.0008051+0.00043379i,-0.00055133+0.0010523i,-0.00017088+0.00058317i,-0.0003521-0.00075522i,-0.00048657-0.00088165i,-8.9507e-05-0.00032703i,0.0005878+0.00044184i,0.0010437+0.00078874i,0.00034728-0.00013505i,-0.00045151-9.4312e-05i,-0.00023871+1.8619e-05i,0.00070786-0.0011024i,0.00071832-0.00080738i,0.00015941-0.00010615i,0.00020535+0.0001494i,0.0008323+0.00057339i,0.00072041+0.00091477i
0.00016715-7.0277e-05i,0.00061798-0.00043786i,0.0017078-1.2383e-05i,0.0024883+0.00074866i,0.0014281+5.2246e-05i,3.8009e-05-0.00033295i,0.00011994+0.00011247i,0.00061007-0.00023014i,0.0012092-0.00046919i,0.0011913-0.00018702i,0.00016227+0.00053576i,-0.00031476+0.0010388i,0.00012987+0.00063862i,-0.00033104-4.4166e-05i,0.00016237-3.2972e-05i,0.0010237+0.00088624i,0.00046152+0.00046991i,0.00048189-0.00042264i,0.00073317-0.00013357i,0.00029385-0.00031094i,0.00050333-0.00048077i,0.0004853-0.00041142i,-0.00066494-0.00079411i
-0.00024115-0.00073185i,-0.00072363-0.00082495i,-0.0011123-0.00077252i,-0.00077144-0.00033734i,-0.00078384+0.00046001i,-0.00085329+7.9916e-05i,-9.5262e-05-0.00028811i,0.00048246-0.00059645i,0.00026559-0.00083926i,6.0361e-05-0.00049883i,0.00021213-5.3088e-05i,0.00019668+3.484e-05i,-0.0001526+8.5085e-05i,-0.00078438-0.00017767i,-0.00050197-0.00090391i,0.0004642-0.00061805i,0.00061681-0.00016545i,0.00043593-0.00063442i,0.00055115-0.00067067i,0.0010408-0.00056798i,0.0010264-0.00038266i,0.00018994-0.00041376i,0.00041616-0.00025403i
