-0.0037967+0.00025199i,-0.0021613+0.0003452i,-0.0018493+0.0010626i,-0.0011864+0.0017107i,8.6659e-05+0.0029063i,0.00084956+0.0032294i,0.00092735+0.0023403i,0.00054239+0.0014861i,0.00053316+0.00078085i,0.0013239-5.9718e-05i,0.0011315-0.00047111i,3.617e-06-0.0007345i,-0.00068978-0.0014243i,-0.0013216-0.0014578i,-0.0015444-0.00069375i,-0.00072577-0.0002332i,2.3696e-05-3.8641e-05i,-3.9906e-05-0.0004421i,-2.6459e-06-0.0011153i,0.0003866-0.00085341i,-0.00020704-0.00052153i,-0.00077763-0.00053182i,-0.00049046-0.00011383i
0.0026378+0.0011771i,0.0029834+0.0015358i,0.0020535+0.0015306i,0.0017144+0.00075329i,0.00097498-8.596e-05i,0.00020119+0.00046332i,-0.00015378+0.0010233i,-0.00041582+0.00025574i,0.0004816-0.00044275i,0.00092914-0.0004792i,-0.00019948-0.00066323i,-0.00027927-0.00056728i,0.00052014-0.00012255i,0.00042996+0.00055096i,2.6275e-06+0.00042835i,0.00011564+5.1921e-06i,0.0010531-0.00028495i,0.0010712-0.00031267i,0.00085719+0.00059468i,0.00021457+8.5054e-05i,-0.00034284-0.0014523i,-0.00011563-0.0013781i,0.00019285-0.00071693i
0.00016167-0.001194i,0.00013599-0.0022285i,0.00030632-0.0027257i,-0.00015552-0.0021682i,-0.00048718-0.0014831i,-0.0010511-0.0007251i,-0.00089291+0.00013931i,0.0003653+0.00087449i,0.0006503+0.00092563i,0.00049679+0.00048709i,5.0872e-05+0.00026144i,-0.00071353-5.6529e-05i,-0.00010197-0.00066019i,0.0006307-0.0013722i,-9.8671e-05-0.00069744i,-0.00056687+9.8448e-05i,-0.00024455-0.00052242i,-0.0006267-0.00062848i,-0.00054695-0.00011792i,-0.00024768+0.00028207i,-0.00018237+0.00045173i,-0.00048157-0.0003237i,-0.0010671-0.00085646i
7.5617e-05+0.00094809i,-0.00041916-0.00048842i,-0.00039279-0.00183i,-0.00072445-0.0015037i,-0.00082583-0.0011025i,-0.00058009-0.00078816i,-0.00012066-0.00011071i,0.00069597+0.00010046i,0.00073976+6.9373e-05i,-0.00018396+0.00017447i,-0.0004271+0.00057225i,-0.00018934+0.00060479i,-0.00026925+0.00016662i,-0.00017442-0.00070145i,0.00038053-0.00057836i,0.0010471-0.00011148i,0.00086583+0.00048259i,0.00051608+0.00039989i,0.00045105+0.00078408i,0.0010669+0.0005087i,0.0014308+4.0566e-05i,0.0005268+0.00016779i,9.4422e-05-1.8586e-05i
0.0026566+0.0018896i,0.003179+0.00048542i,0.0025155-6.2506e-05i,0.00085838-0.00065281i,-0.00055889-0.0015658i,-0.0013835-0.0011546i,-0.00080189+3.0264e-05i,0.00064535+0.00073801i,0.0014828+0.00073449i,0.00062816+0.00068717i,-0.00026038+0.00056676i,-0.0003363-3.072e-05i,0.00031497-0.00044734i,0.0014439-0.00020678i,0.0013008+0.00064827i,0.00046777+0.00074832i,-0.00017876-0.00021872i,-0.00042667-0.00037746i,-0.00015045+0.00012564i,0.00047301+0.00078292i,0.00062204+0.000865i,0.00015783+0.00041392i,-0.00014611-3.3965e-05i
0.0012054-0.00079921i,0.0011465-0.00094072i,0.0013714-0.00095011i,0.0015185-0.0013945i,0.0011996-0.001306i,0.00078682-0.00019736i,0.0003091+0.00013063i,-0.00050339+0.00096008i,-0.00012322+0.00092641i,0.00013492-0.00030701i,-0.00069199-0.00081319i,-0.0012012-0.00045511i,-0.00081829-0.00011746i,-0.00014862-0.00065872i,0.00044262-0.0011561i,0.0011184-0.00099965i,0.00093178-0.00054097i,0.00046825-6.4596e-05i,0.00038141+0.00030541i,-0.00019358+0.00042706i,-0.00075841+0.00037304i,-0.00055646+8.3097e-05i,-0.00019651+0.0003021i
-0.00071424+0.00034903i,-0.00032955+0.00045488i,0.00019749+1.1521e-05i,-0.00011306-0.0014381i,-0.00089654-0.0012762i,-0.0013026+0.00021538i,-0.0012669+0.00093766i,-0.00056703+0.00094501i,0.00021893-7.9892e-05i,0.00056321-0.00098017i,1.5813e-05-0.00038669i,0.00011504-0.00036698i,0.00088584-0.00043462i,0.00021377-0.00010855i,-0.0011869-0.00030622i,-0.0015601+2.7854e-05i,-0.0006906-4.2297e-05i,0.00055222-0.00039508i,0.00088554+0.000278i,0.00041521+0.00060794i,0.00022929+8.1823e-05i,0.00055517+5.809e-05i,0.0007272+0.00034981i
0.00096105+0.00034183i,0.0010809+0.00044676i,0.00030064+1.7604e-05i,0.0001892-8.696e-06i,0.00039261+0.00061365i,0.00045038+0.00080887i,0.00082354+0.00056883i,0.0017567+0.00022092i,0.0016784-0.00037903i,0.00055502-0.0002969i,-0.00028991+4.352e-05i,-0.00037445-0.00023896i,-0.00042192-0.00072444i,-0.00069272-0.00068401i,-0.00067495-0.00049406i,1.3906e-05-0.00061798i,0.00021767-0.00067682i,-0.00048864-0.00052593i,-0.0005298-0.00023701i,0.00037206-0.00045598i,0.00068196-0.00070007i,0.00046619-0.00046239i,-0.0002485+0.00024856i
0.0011166-7.3897e-05i,0.0015461-0.001176i,0.0016302-0.0020498i,0.0017934-0.0021508i,0.0007641-0.0017125i,0.00045784-0.00070969i,0.00045105+0.00048822i,-6.8612e-05+0.0006913i,-0.00046685+0.00054628i,-0.00048853+4.3224e-05i,-0.00012786-0.00056159i,0.00037209-0.00052924i,0.00081138+7.5765e-06i,0.00076931+0.0005982i,0.00068603+0.00071833i,0.00059257+0.00044604i,0.00053378-0.0004906i,-9.0139e-05-0.00097258i,-0.0010158-0.00060195i,-0.00048499-0.00033266i,-0.00058334-0.00022641i,-0.00072708+0.00012489i,5.9399e-05+0.00067915i
-0.00099057+0.00051852i,-0.0002769+0.0010968i,0.00013379+0.0011102i,0.00014387+0.00017826i,0.00031128-4.4944e-05i,0.0012822+0.00045465i,0.0010715+0.00077012i,0.0004836+0.00086293i,0.00013926+0.00029998i,-0.00017274-0.0004287i,-0.0001425-0.00046104i,-0.00093462+0.00012377i,-0.001033+0.000376i,-0.00056184+7.7681e-05i,-0.00060811-0.00036891i,-0.00022746+0.00032937i,-0.0002789+0.00088231i,-0.00045955+0.00040148i,2.2367e-05+9.7352e-05i,-9.9623e-05-6.7554e-05i,-0.00024987-0.00033295i,-7.8235e-05-0.00069222i,-0.00087935-0.00056331i
0.0020726-0.0015572i,0.0013042-0.0011027i,0.0013837-0.0020112i,0.0012431-0.0018951i,0.00040157-0.00042578i,-7.8427e-06+0.0007123i,0.00049934+0.0012795i,0.0009567+0.00093034i,0.00059734+0.00018062i,-0.00025806-0.00059368i,-0.00099655-0.00027725i,-0.0011869+0.00038977i,-0.0011836+0.00010485i,-0.00082007-0.00061801i,-0.00045054-0.00083454i,-0.00036335-1.1534e-05i,0.00011745+0.0010005i,-4.4615e-05+0.0010873i,-0.00026272+0.00041202i,-0.00038591+0.00073313i,-0.001022+0.0010015i,-0.0010799-5.8392e-05i,-0.00041817-8.6191e-05i
0.001281+0.00036636i,0.0010368+0.0010519i,0.0010455-0.00039771i,0.00030988-0.0017531i,-0.00029257-0.0011851i,-0.00038737+0.00062165i,0.00027261+0.00078001i,0.00087092+0.00051175i,0.00046192-0.00029749i,0.00014494-0.00064909i,0.00073138-0.00022445i,0.00073303+0.00030164i,-0.00038844+0.00077445i,-0.00098306+0.00021443i,-0.00017046+0.00022076i,0.00072106+0.00098366i,0.00041395+0.00058579i,0.00060226-0.00084834i,0.00084195-0.00099997i,-0.00041296-0.00019455i,-0.00055346-0.00049711i,0.00015504-0.0011765i,0.00052878-0.0008904i
5.8028e-05-0.0016725i,-0.00025237-0.0011066i,-0.00036889-0.00083783i,-0.0014162-0.0016523i,-0.0012989-0.0016218i,-0.00084628+0.0007029i,-0.00022781+0.0014056i,0.00096306+0.00062662i,0.00044877+0.00037529i,-0.00059932+0.00027726i,-0.0005042-0.00027325i,0.00015592-0.000494i,0.00070896-0.00025579i,0.00081355+0.0006005i,0.00029652+0.00076435i,-0.00028242+0.00056034i,-0.00030431+0.00025456i,0.00011576-0.00085497i,0.00041731-0.0010571i,0.00041996-0.00015177i,-0.00020748-0.00012385i,-0.00083993+0.00031117i,-0.00062019+0.0013362i
0.0036066-0.00044803i,0.0035072-0.00072788i,0.0023854-0.00053465i,0.0013331-0.0010841i,0.00070574-0.00099266i,0.00068099+0.00024507i,0.00072751+0.0012079i,0.00032229+0.00080664i,0.00041767-0.00054409i,0.00032431-0.00090972i,-0.00093243-0.00041118i,-0.0014109-0.00030779i,-0.0005854-0.00070951i,-0.0002231-0.00026314i,-0.00056877+0.00046089i,4.1483e-05+0.00043977i,0.00027763-9.1748e-05i,0.00012855-0.00033419i,0.00051656-0.00019604i,0.00073764-6.0501e-05i,0.00094209-0.00036226i,0.00035699-0.00078591i,-0.00081836-0.00013487i
0.00058001-0.001157i,-0.00034308-0.00093246i,-0.0010273-0.0021227i,-0.0015215-0.0027149i,-0.0016983-0.0017799i,-0.0012406-0.00018856i,-0.0006667+0.00098437i,0.00019238+0.00066847i,0.00032109-0.00028359i,-0.00010177-0.00025089i,-0.0003032+0.00038874i,-0.00028122-5.2758e-05i,-0.00014324-0.00046166i,-0.00021251-0.00048232i,-3.4214e-05+1.076e-05i,0.00045568+0.00068389i,0.00072709+7.6939e-05i,0.00021204-0.00059228i,0.00028979-0.0002992i,0.00048934+0.00021076i,-2.33e-05+0.00045408i,0.00020096+0.0007373i,0.0009765+0.00043268i
-0.0014667-0.00011433i,-0.00026681+0.00017421i,-0.00043728+0.00067949i,-0.00077695+0.0012391i,-0.00081105+0.0011987i,-0.00011274+0.0011883i,0.00046616+0.001124i,0.00063488+0.0012702i,0.00034742+0.0014666i,3.4307e-05+0.00076404i,-0.00021448+0.00034952i,6.6804e-05-0.00017209i,0.00030486-0.00072836i,2.0319e-05-0.00075086i,-0.0002303-0.00016438i,-0.00045449+0.00075507i,-0.00036463+0.0006431i,-0.0007612-0.0001731i,-0.00084705-0.00042216i,-0.0001758-6.5108e-05i,0.00016358+0.00012227i,-0.00074052-0.00017079i,-0.0013648+5.3643e-05i
0.0016235-0.00025354i,0.0003571+0.00018624i,-0.001541-0.001401i,-0.0016232-0.0017366i,-0.0014639-0.00052686i,-0.0010589+0.00065888i,0.00020437+0.0014151i,0.00071369+0.001016i,0.00064282-0.00011764i,0.00039399-0.00063634i,-0.00037517-8.6889e-05i,-0.00089344-0.00011372i,-0.00041449-0.00035353i,0.00012283-0.0001831i,-4.2124e-05-0.00027305i,-0.00041719-0.00050854i,-0.00034413-0.00040416i,-0.00024541-0.00013056i,-0.00043512-0.00019462i,0.00014065-0.00067107i,0.00058287-0.00068368i,0.00016255-0.00060991i,5.0488e-05-0.00024224i
-0.0013733-0.0014863i,-0.0011534-0.00055159i,-0.0001633+1.1922e-05i,0.001026+0.00019404i,0.00063388+0.00081854i,0.00046962+0.0015887i,0.00079841+0.0017442i,0.00078123+0.0013259i,0.00040617+0.00067277i,-0.00019473+0.0002229i,0.00012311-4.653e-05i,0.00033304+7.1418e-05i,-0.00022509+3.7248e-05i,-9.9381e-05-3.7546e-05i,-3.1927e-05+0.00044984i,-0.00024484+0.0004834i,-0.00037368+0.00014645i,-0.00016721-0.0001255i,4.6838e-05+0.00015754i,-0.00034265-0.00030088i,-0.00083517-0.00055713i,-0.00036657-0.00012101i,0.00070868+0.00032027i
-0.00011789-0.00093059i,-0.00038542+0.00046865i,-0.0010226+0.00065918i,-0.00095262+0.00024335i,-0.00072533+0.00069481i,-0.00011626+0.0014105i,0.00044189+0.0013291i,0.00045943+0.0010492i,0.00067039+0.00042612i,0.0002451-1.5755e-05i,0.00026788-0.00042794i,0.0010508-0.00096107i,0.00096497-0.00071456i,0.00047483+0.00031895i,0.00046643+0.00071933i,0.00085557+0.00037296i,0.00089282-1.5046e-05i,0.00060649+0.00035058i,0.00038443+0.0004086i,0.00050722-0.00024793i,0.00089488+0.0003032i,0.00065763+0.00056073i,0.0002291+0.00010412i
0.0020892-0.0013313i,0.0012521-0.00073925i,0.0014484-0.00067051i,0.0018352-0.0011589i,0.0011237-0.00075632i,-0.00037891+0.0007202i,-0.0012495+0.0010644i,-0.0010099+8.0612e-05i,-0.00018285-0.00095313i,0.00022537-0.0012291i,0.00033129-0.00028798i,0.00036841-0.0001666i,0.00047178-0.00048448i,0.00094961-0.00024834i,0.0010921-6.1556e-05i,0.00082287+0.00034203i,0.00063163+0.00088146i,8.3901e-05+0.00066357i,-0.00069301+5.9893e-05i,-0.00080499+5.1173e-05i,-0.00078183+0.00052104i,-0.00050285+0.00014266i,-0.00011837-0.00053467i
0.0012293+0.00079492i,0.00097171+1.6548e-05i,0.00018672-0.0011688i,-0.00074288-0.0011709i,-0.00052236-0.00062713i,-0.00010494+0.00021824i,4.763e-05+0.0013261i,3.7101e-05+0.00095902i,-0.00066196-0.00038141i,-0.0010858-0.00093549i,-0.00040882-0.00093921i,0.000359-0.00053866i,0.00042806+9.0131e-05i,0.0001779+0.00016848i,0.00050278+0.00031925i,0.00023354+0.00076431i,-0.00063481+0.00058471i,-4.3923e-06+0.00020774i,0.00040696+0.00024941i,0.0002932-0.00035274i,0.00055423-0.00095213i,0.00049146-0.00048917i,0.00018531+0.0002639i
-0.00065949-0.0004205i,9.2304e-05+6.959e-05i,0.00035875+0.0013372i,0.0010469+0.0017492i,0.0006412+0.0018403i,0.00044243+0.0010349i,0.00036914+0.00012617i,-0.00066447-5.6607e-05i,-0.00065912-0.00071026i,7.168e-05-0.00081123i,0.00013613-0.00060949i,6.7079e-05-0.00043403i,0.00066226-0.00032012i,0.0002959-0.00029722i,0.00046693-0.00059351i,0.00056937-0.00063772i,-0.00020358-0.00013706i,-0.00018985-3.4794e-05i,-0.00025795-0.00046548i,0.00021182-1.2804e-05i,0.00030283-0.00015913i,0.00033525-0.0011176i,0.00077902-0.0013643i
0.001236-0.0012419i,0.00061834-0.00071477i,0.0003854+5.3691e-05i,0.00019685-0.00054842i,0.00095378-0.00070092i,0.0011693-0.00035871i,0.00066945+7.505e-05i,0.00086296+0.00079496i,0.00087053+0.0007486i,-3.7779e-05+0.00017766i,-0.00080735-0.00051641i,-0.0012454-0.0006624i,-0.0013608-0.00054242i,-0.0011063-0.00026906i,-0.00056612-0.00019163i,0.00040997-0.00092814i,0.0013357-0.0010909i,0.00084059-0.001001i,7.6348e-05-0.00011808i,-6.8276e-05+0.00038107i,0.00019816+0.0003519i,0.00043855-0.00037309i,0.00021165-0.00084397i
-4.2719e-06+0.0018918i,0.00021631+0.0017658i,-0.00023046+0.00038046i,0.00027225-0.00052391i,0.00075605+6.654e-05i,0.00080661+0.00079956i,0.00079261+0.001068i,0.00094407+0.00055222i,0.00082194-6.1547e-05i,0.00015298-0.00046313i,6.9002e-05-0.00094623i,0.00033089-0.00058208i,-0.00040063+0.00033042i,-8.2851e-05-4.5935e-05i,0.00040625-0.00040459i,0.00032624+6.0884e-06i,0.00026111+0.00052049i,-3.9818e-05+5.3114e-05i,-4.5145e-05-0.00052196i,-0.0002066-0.00090223i,-0.00016483-0.0016353i,-0.00039853-0.0007677i,-0.0003101+0.00080729i
-0.00023235-0.0024292i,0.00034057-0.002089i,0.0001775-0.0014169i,-0.00050583-0.00073148i,-0.0006763+0.00014422i,-0.00043532+0.00077521i,0.00029641+0.00064089i,0.00084956+0.00081949i,0.0006151+0.00037426i,0.00025474+0.00034973i,-0.0002192+0.00027508i,-0.0001629+0.00022726i,-8.2367e-05+0.00058445i,-0.00064418+0.0008667i,-0.00040332+0.0002724i,-0.00040878-0.00011734i,-0.00083935+7.3151e-05i,-0.00052051+0.00033715i,-0.00017083+0.00080635i,-0.00014919+0.00011546i,0.00022656-0.00061055i,0.00014245-0.00032769i,-0.00039165+4.4057e-05i
-0.00089404+0.0022933i,0.00097667+0.0011859i,0.002283+0.00022235i,0.0020685-0.0011152i,0.0018468-0.001711i,0.0011175-0.00050271i,5.4987e-05+0.00079951i,-0.00068473+0.0011682i,-0.00018608+0.00097991i,-1.3335e-05+0.00020449i,-0.00050688-0.00024702i,-0.00027982+0.00022121i,0.0005815+0.00040193i,-0.00022183-0.00029783i,-0.0012113-0.00028598i,-0.00087414+6.5332e-05i,-0.00033246-3.8007e-06i,0.00015597+8.4371e-05i,0.00047547+0.00011901i,0.00039043+0.00069109i,0.00022948+0.0012807i,0.00046056+0.00087393i,0.00045504+0.00049326i
-0.00090433+0.00022061i,0.00020244+0.00034135i,-0.00044307+9.8712e-05i,-0.0013751-0.0003835i,-0.0012776-0.0001465i,-0.00087327+0.00072744i,-0.00012424+0.0014045i,0.0004358+0.0015088i,-0.00015596+0.00097822i,-0.00062736+0.00017238i,-0.00050452-2.2596e-05i,-0.00029869+0.00044359i,0.00021138-7.4743e-05i,0.00022303-0.000489i,-0.00041221-0.00035023i,-0.0003799-0.00068789i,0.00020922-0.00069458i,-0.00014712-0.00043492i,-0.0002235-0.00057077i,0.00021811-0.0004393i,0.00055957-0.00023555i,0.0010558-3.7504e-05i,0.00078568+0.00046658i
-0.00069827-0.0011026i,0.00018129-0.00021495i,0.0010726+0.0011557i,0.0016516+0.0014138i,0.0010804+0.0008881i,0.00035107+0.00049949i,0.00011305+0.0009062i,-0.00033901+0.00057899i,-0.0006851+0.00031417i,-0.00089342+0.00056672i,-0.0014688-5.5499e-05i,-0.00088454-0.00049019i,-0.00054258-0.00011651i,-0.0004418+0.00014872i,-0.00034163+0.00018423i,-0.00022502+9.964e-05i,0.00053906-0.00027367i,0.00064576-1.899e-05i,2.2664e-05+0.00067449i,-0.00039313+0.00026874i,-0.00041675+0.00010469i,-0.00063071+7.0775e-05i,-0.00028437-0.00020478i
0.00075027+0.0003196i,0.00071734+7.5488e-05i,0.00063927-0.00048716i,-0.0001309-0.0013932i,-0.00095835-0.0011916i,-0.00084496-0.00025142i,-0.0004539+0.00019681i,-5.3931e-06+0.00054436i,0.00041121+0.00047635i,5.4046e-05-2.3665e-05i,-0.0007908+0.00019266i,-0.0012263+0.00011895i,-0.00066543-0.00041069i,0.00061102+0.00026166i,0.00034556+0.0006558i,-0.00033282+0.00016466i,-0.00042497+0.00044612i,-0.00075102+0.0008382i,-0.0010242+0.00018732i,-0.00073368+2.0221e-05i,-0.00015829-0.00021961i,0.00062804-0.00074857i,0.00090575-0.0010566i
-0.0038322+0.0024438i,-0.0034752+0.0019431i,-0.002402+0.0019549i,-0.0013461+0.0019882i,-0.00085629+0.0011138i,-0.0012689+0.00058938i,-0.00033564+0.00089008i,0.00028475+0.00077276i,0.00085015-6.6273e-05i,0.00044537+6.6628e-05i,-0.00026324+0.00065335i,0.00030148-0.00018834i,0.00054019-0.00068221i,-0.00049799-0.0001857i,-0.0010965+7.3415e-05i,-0.0007826+0.00020869i,-0.0010656+0.00019131i,-0.0008358+0.00030801i,-0.00050642+0.00059662i,-0.00044679+0.0010655i,0.00013984+0.00073923i,0.00082379+0.00033276i,0.00049354+0.00072024i
0.0023606+1.8792e-05i,0.0023311-0.00034331i,0.0019081-0.00071417i,0.00048158-0.00094198i,-0.0003158-0.00048596i,5.8102e-05+8.3567e-05i,0.00080819+0.00033102i,0.00073126+0.00042224i,-0.00020612+0.00019187i,-0.00051632-0.00062043i,-0.00029305-0.00080454i,-0.00052759-0.0006201i,-5.0549e-05-0.00032478i,0.00063113+0.00029003i,0.00037206+6.2555e-05i,0.00026552+0.00015309i,5.3277e-05+0.0003094i,-0.00036488-0.00024064i,-0.00056515-0.00012231i,-0.00091683+0.00024896i,-0.00059643+0.00028047i,-0.00041795+9.8379e-05i,-0.00049709-0.00016251i
-0.00092101-0.00092697i,0.00050014-0.0018901i,0.00099057-0.0022073i,0.00054096-0.0021056i,5.7721e-05-0.001391i,8.5599e-05+0.00014646i,0.00012466+0.0017534i,0.00030556+0.0016084i,0.0002577+0.00038909i,-0.00026836-0.00058394i,-0.00018609-0.00068128i,-1.16e-05-0.00048713i,-0.00033045-0.00052353i,-0.00025331-0.00027793i,0.0001807-2.4567e-05i,-0.0003219+0.00017387i,-0.00045006-0.00011822i,0.0006605-0.00012599i,0.0007634+8.5222e-05i,0.00050631+9.5371e-05i,0.0008156+0.00046915i,0.00057925-0.00021344i,0.00017729-0.0012585i
