-0.00011734+0.0006892i,0.0010043-7.95e-05i,-0.0010265-6.5668e-05i,-0.00082792-9.4196e-05i,-3.5574e-05+0.0011099i,-0.0013339+0.0025494i,-0.0019944+0.0034552i,-0.00039819+0.0029584i,0.0012684+0.00034306i,0.0013996-0.0018193i,0.00074064-0.0025113i,0.00087875-0.0025223i,0.0011774-0.0016541i,0.00030841-0.00091498i,-0.00048301-0.00068334i,-6.694e-05-0.00054066i,-0.00021031+0.00012504i,-0.00078271+0.00068814i,-0.00015969+0.00012885i,0.00036649+0.00014058i,0.00048849+6.9107e-05i,0.00061237-0.00036488i,0.00080597-0.00018017i
-0.0009649-0.0025732i,-0.00072918-0.0022683i,-2.0978e-05-0.003004i,5.5807e-05-0.0025763i,0.00010311-0.00054627i,-0.00010624+0.0012083i,-0.00052876+0.0018534i,1.386e-05+0.0011696i,0.00083798+4.2272e-05i,0.00058784-0.00074332i,-4.8057e-05-0.0012837i,0.00043467-0.0013571i,0.00045021-0.0013931i,0.00015127-0.0017966i,-0.00028511-0.0010757i,-0.00069622-0.00023774i,-0.00047549-0.00025973i,-0.00059372-9.31e-05i,-0.00077725+7.9538e-05i,-0.00078485-0.00012998i,-0.00034243-0.00035241i,-0.00019957+0.00023855i,-0.00022815+0.00095713i
-0.0011043-0.0013678i,-0.0017546-0.0016111i,-0.0010637-0.00095151i,-0.0012241+0.00045118i,-0.0014458+0.00095215i,-0.0012317+0.00073728i,-0.00061866+0.00090158i,0.00037237+0.00062525i,0.00087083+0.00027909i,0.00038139-0.00023209i,-0.00054417-0.0011039i,-0.00019107-0.0011534i,0.00084131-0.00067938i,0.00034792-0.00069545i,-0.00060878-0.00043348i,-0.00068674-0.00024469i,-0.0009418-0.00035602i,-0.00084351+0.00038003i,-0.00030744+0.00084612i,-7.0489e-05-2.6116e-05i,-0.00040539-6.0063e-05i,-0.0005795+1.0202e-05i,-0.00096051+0.00036982i
0.00070513-0.00084574i,0.0015009-0.00047422i,0.0017691-0.0012947i,0.0024354-0.0013044i,0.0021424-0.00064074i,0.00053219-0.00013979i,0.00058523+0.0010216i,0.00092058+0.0011981i,0.00052379+2.0589e-05i,-5.2777e-05-0.0013735i,-0.00060797-0.0023957i,-0.00036181-0.0021887i,-0.00010386-0.0018763i,-0.00018923-0.0014169i,-0.00034678-0.00082214i,-0.00089202-2.9727e-05i,-0.0011581+0.0010305i,-0.0008207+0.0012412i,-0.00045587+0.00079338i,-0.00032784+0.00021672i,-8.61e-05-0.00019392i,6.0745e-05+5.8225e-06i,-0.00052103+0.00036485i
-0.00069686-0.00078864i,-0.0011759-0.0015819i,-0.0011222-0.00080435i,-0.0015887-0.0007524i,-0.0013676-0.00049092i,-0.00066888-0.0001392i,-3.3569e-05-0.00040509i,0.0012328-0.00032818i,0.0016478-0.00099421i,0.00088719-0.0014932i,7.959e-05-0.0020218i,0.00019008-0.0021455i,0.00072398-0.0017396i,0.00047611-0.0012707i,-0.00031374-0.00027093i,-0.00047203+0.00065028i,-0.00021692+0.00080836i,-0.0001592+0.0010974i,-0.00035606+0.00080875i,-0.00036406-0.00042161i,-0.0010913-0.00075506i,-0.002293-0.0003787i,-0.00082749+0.00021744i
0.0011987+0.0015221i,0.0016259+0.0011882i,0.0013379+0.001341i,0.00060357+0.0014863i,2.8307e-05+0.00028779i,0.00022063-0.00042788i,-0.00036+0.00083126i,-0.00022463+0.0012765i,0.00077221+0.00011895i,0.00056512-0.0015385i,5.5404e-05-0.0015788i,0.00019037-0.0010881i,0.00088022-0.0012013i,0.00048113-0.00051163i,-0.00063469+0.00031393i,-0.0012254+0.00013253i,-0.00081253-0.00023916i,-0.0002103-0.00051539i,0.00022475-0.00034172i,0.00020336+0.00049091i,-0.00074953+0.00023691i,-0.0012359-7.6576e-05i,-0.00026765+0.00032901i
0.001544+3.241e-05i,0.0014564-0.0013099i,0.00035741-0.0012385i,0.00024311-0.00016039i,0.00045662-0.00041403i,-1.6159e-05+0.00015962i,0.0005622+0.00058192i,0.0012665+0.00012858i,0.0010804-0.00021066i,5.0462e-05-0.00038773i,-0.0008096-0.00070255i,-0.00027707-0.0015806i,-5.8104e-05-0.0023908i,-0.00025437-0.0017087i,-0.001102-0.00059828i,-0.0014942-0.00072104i,-0.0010962-0.0008606i,-0.00084093-0.00077625i,-0.00050387-0.00066133i,-0.0009124-5.7549e-05i,-0.0010413+6.3457e-05i,-0.00025944+0.00016977i,-3.9637e-05+3.4691e-05i
-0.0026583-0.00069875i,-0.0024397-0.00020753i,-0.0032904-0.00014112i,-0.0029257+0.00019336i,-0.0015936+0.0010658i,-0.0004861+0.0015529i,-0.00014613+0.00093361i,0.00036501+0.00019775i,0.00066504-0.00022597i,0.00060504-0.0010952i,0.00043368-0.0017813i,0.00034617-0.002099i,0.00035423-0.0017895i,0.00067618-0.001111i,0.0011406-0.00043677i,0.00061439-0.00024486i,7.7259e-05-0.00054325i,0.00028612-0.00015502i,0.00016101+0.00043637i,-1.5518e-06+0.0010048i,-0.00038294+0.001487i,-6.0904e-06+0.0016715i,0.00044792+0.0013025i
-0.0011926-0.00041811i,-0.0014601-0.00021848i,-0.0007798+0.00046116i,0.00013639+0.001239i,0.00086773+0.0016371i,0.00091435+0.00065217i,0.00050104-0.00013146i,0.00093872-0.00014268i,0.00068314-0.0006842i,0.00039331-0.0014074i,0.00027844-0.0018925i,4.9866e-05-0.0019783i,0.00051277-0.002211i,0.00077818-0.0022013i,0.00029413-0.0008662i,-0.00078726+0.00039284i,-0.0013119+0.00018227i,-0.0011435-9.1041e-05i,-0.00080285-0.00016333i,-0.00054389+0.00019932i,-0.00028962+0.00044365i,-0.00048089+0.00059707i,-0.00027706+0.00030518i
-0.0011155-0.0030595i,-0.00096848-0.0030162i,-0.0020864-0.0028166i,-0.0029131-0.0014628i,-0.0019137-4.1304e-05i,-0.00064733+0.00050767i,0.00052493+0.0010925i,0.00077825+0.001028i,0.00024621-0.0004246i,-2.1374e-05-0.001338i,0.00049125-0.0012262i,0.00085176-0.0013639i,0.00046177-0.0014564i,0.00017146-0.001492i,0.00017722-0.0014154i,-0.0001938-0.00065176i,-0.00024629+0.00070193i,-0.00056287+0.0012968i,-0.0013112+0.00051877i,-0.0011749+9.2881e-05i,-0.00043012+0.00024808i,-0.0006385+0.00059688i,-0.0010419+0.00060154i
-0.00075077-0.0011102i,-0.00067919-0.0009048i,-0.00058954-1.0498e-05i,0.00030136+0.00031675i,0.00018293-0.00019033i,0.000397-0.00039683i,0.00090118+0.0002218i,0.0013131+0.00080961i,0.0019842+0.00024229i,0.0017827-0.00095235i,0.00019616-0.001612i,-0.00076533-0.0019377i,2.5599e-05-0.0018529i,7.6691e-05-0.0012245i,-0.00039659-0.00036296i,-0.00012591-4.2514e-05i,3.5577e-06-4.2107e-05i,-0.00016995-5.2033e-05i,0.00024428-0.0002568i,0.001017-7.5341e-05i,0.00050859+0.00027835i,0.00018349+0.00036418i,0.0011646+0.00035691i
-0.0010784-0.00061351i,-0.00067806+0.0002978i,0.0001909+0.0011346i,-0.00047695+0.00062324i,-0.00037365+0.00036171i,-8.0682e-05+0.0013245i,-0.00013262+0.0016967i,0.00030207+0.00057187i,0.00040221-0.0014019i,0.00039954-0.002089i,0.00030514-0.0017708i,-5.9789e-05-0.0016266i,-0.00088065-0.0012098i,-0.0010623-0.00097164i,-0.00041009-0.0009201i,-1.1872e-05-0.00053288i,-0.00032436+2.1628e-05i,-0.00052052+0.00050617i,-0.0010633+0.0012467i,-0.00098078+0.00064305i,7.3751e-05-2.8283e-05i,-0.00013543+0.0002309i,-0.00047567+0.00050452i
-0.0011058-0.0012726i,-0.0015591-0.0011664i,-0.0014923-0.0014164i,-0.0012523-0.0015854i,-0.0010854-0.00031426i,-0.00062501+0.00065935i,0.00024659+0.00023473i,0.0013233+0.00047233i,0.00063148-6.7798e-05i,-0.0001518-0.0011916i,0.00016101-0.0013789i,0.00077429-0.0015187i,0.00048312-0.0018817i,-0.00032467-0.0012609i,-0.00027796+0.00040245i,4.1882e-05+0.0006138i,-0.00012726+0.00030098i,-0.00084739+0.00017891i,-0.0011889-5.5498e-05i,-0.00084131+0.00027856i,-0.00060586+0.00055424i,-0.00023753+0.00073625i,5.7472e-05+0.00045341i
0.00079522+0.00061182i,0.00092741+0.00045994i,0.0003796+4.5555e-05i,-0.00034357-0.00087299i,-0.00014724-0.00052917i,-0.00018284+0.00063952i,-0.00010468+0.0011584i,0.00065709+0.0017318i,0.00068904+0.00085519i,0.00035654-0.0014214i,0.000702-0.0023681i,0.001352-0.0022379i,0.0013098-0.0018478i,-0.00025458-0.0015326i,-0.0011783-0.0011825i,-0.00078473-0.00043188i,-0.00021973-0.00019636i,-0.00027357-0.00019158i,-0.00028767+8.4287e-05i,-2.7024e-05+0.00055247i,-0.00016915+0.00028821i,-0.00059406-0.00013199i,-0.0009141+0.00024288i
-0.00046233+0.0017844i,-0.00021812+0.0024362i,-0.00070796+0.001884i,-0.00077095+0.0012472i,7.0581e-05+0.00030557i,0.0005645+0.00030272i,0.00047277+0.0010766i,0.00030804+0.0010807i,0.00043571+0.00080825i,0.00076249-0.00026199i,0.00039746-0.0011626i,0.00023566-0.0013031i,0.00039895-0.0015046i,0.00035494-0.0016891i,-0.00011644-0.0017885i,-0.00076037-0.0013369i,-0.00077168-0.00054097i,-0.0009477-0.00043654i,-0.00075233-0.00050955i,-0.00036479+3.5053e-05i,-0.0010722+0.00033949i,-0.0011677+0.00060388i,-0.00039809+0.0010183i
-0.0021127-0.00039032i,-0.0014663+0.0010173i,-0.0013183+0.00059908i,-0.00050824+8.6427e-05i,0.00016095+0.00055871i,0.0010902+0.0010893i,0.0018274+0.00096832i,0.0018021+0.00051495i,0.0016538-0.00020383i,0.0011623-0.00086129i,0.00073389-0.00088237i,0.00067042-0.00070684i,0.00016396-0.0012393i,-0.00021082-0.0017218i,-0.00014226-0.0008492i,0.00010125+0.00045829i,-0.00034751+0.00038186i,-0.00096255-0.00017272i,-0.00082733+0.00016394i,-0.00065721+0.00047066i,-0.00015496+0.00014289i,3.7963e-05+0.00049265i,0.00013879+0.00032537i
0.001282-0.0013883i,0.0014188-0.0010691i,0.00053183-0.00013915i,-0.00069037-0.00073476i,-0.00080426-0.00044739i,-0.00078996+0.0011261i,-0.00083801+0.001891i,0.00024656+0.0012577i,0.0010589+9.1969e-05i,0.00096548-0.00076856i,0.00071248-0.0011781i,0.00092112-0.0013106i,0.0007254-0.00090372i,-0.00071731-0.00072803i,-0.0013408-0.0005231i,-0.00081874-8.453e-05i,4.1759e-05-0.00024108i,-0.00013421-0.00036268i,-0.00017812-0.00028598i,0.00054268+0.00066925i,0.00055253+0.00082359i,0.00027053+0.00026436i,-0.00057174+0.00070709i
-0.00061334-0.00051442i,-8.7425e-05+9.8359e-05i,0.00047785+0.00045817i,0.00050674+0.00073368i,-9.8388e-05+0.00066967i,0.00018612+0.0010421i,0.00083788+0.0012989i,0.00085756+0.0011317i,0.00089689-0.00029244i,0.00088585-0.0018059i,0.00069394-0.0018156i,0.0003782-0.0017048i,0.00068353-0.0017926i,9.295e-05-0.0013308i,-0.0011227-0.00051691i,-0.0013391+1.7185e-05i,-0.00076246-0.00039587i,-0.00089181-0.00066984i,-0.00082393-0.0007287i,-0.00058225-0.0010632i,-0.0010456-0.00039647i,-0.0015153+1.1935e-05i,-0.0010075-0.00018786i
-0.00031825-7.2847e-05i,-0.00063749-9.5747e-05i,-0.00077327-0.00038414i,-0.00022613-0.0010611i,0.00015668-0.0010959i,0.00023738-0.0013268i,5.392e-05-1.3509e-05i,0.00037706+0.0015626i,0.00060796+0.00087129i,0.00029326-0.00073303i,0.00025757-0.0014253i,0.00063641-0.0011303i,0.00061204-0.00068852i,-0.00019793-0.00040446i,-0.00019556-0.00095117i,0.00018344-0.00035005i,-0.00043286+0.00047829i,-0.00096993+0.00033042i,-0.00090537+0.00023475i,-0.00026746+0.00045739i,0.00033394+0.00056081i,0.00029977+0.00012182i,9.732e-05+0.00020044i
0.0010476-0.00045772i,0.0014306-0.00041659i,0.0015854+0.0006712i,0.001087+0.00071116i,0.0015296+0.00017076i,0.00053645+0.00047257i,4.898e-05+0.00091897i,0.00066536+0.00041075i,0.00085737-0.00087307i,0.0011748-0.0016231i,0.0013829-0.0019966i,0.0016338-0.0025114i,0.0014651-0.002422i,0.00090235-0.0011591i,-0.00036169+0.00024738i,-0.00072965+0.00011274i,-0.00025316-0.00020822i,4.6321e-05+0.00059929i,0.00027582+0.00034179i,0.00023299-0.00024645i,0.00011114-0.00042819i,0.00033964-0.0002206i,0.00070519+0.00054685i
-0.0013977+0.0013881i,-0.0017724+0.0014805i,-0.001867+0.001427i,-0.0008225+0.0017268i,-0.00039636+0.0020798i,0.00017837+0.0018729i,0.00067697+0.0013101i,0.00070674+0.00075647i,0.0011302-5.5667e-05i,0.0011737-0.0007093i,0.00098137-0.0011004i,0.00075761-0.0010968i,-0.00071118-0.00098223i,-0.0013611-0.00098092i,-0.00023578-0.0007292i,0.00022249-0.00014027i,-0.00039551+0.00016141i,-0.00055179+0.00080292i,-0.00031021+0.0011152i,-4.728e-05+0.00034344i,-0.00041391-0.00037636i,-0.00041837-0.00029974i,0.00050678-0.00014704i
-0.0011159-0.00021199i,-0.00105-0.00037009i,-0.0021778-0.00078883i,-0.0015548-0.00066805i,-0.00085628-0.00017119i,-0.000874+0.00066452i,-0.00049505+0.00097331i,0.00096845+0.00032173i,0.0018201-0.001126i,0.00086526-0.00208i,-1.8564e-05-0.0018642i,0.00038166-0.0015353i,0.00046955-0.0013113i,0.00011071-0.00096179i,0.00030532-0.00051209i,-0.00020874-0.00075512i,-0.00099465-0.00061786i,-0.00071254+9.2183e-05i,-0.00039373+0.00024764i,-0.0007138-0.00023628i,-0.00040585-0.00076381i,0.00065448-0.00067898i,0.00038779+0.00051802i
3.2218e-05-0.00024978i,0.00025489-0.00017717i,0.00045731+0.00060578i,0.0014531+0.00081091i,0.0014836+0.00019315i,0.0010098+0.00063228i,0.00092199+0.0015913i,0.00086767+0.0013823i,0.0011173-0.00031429i,0.0011822-0.0019292i,0.00074655-0.0017204i,0.00024211-0.0012036i,0.00063313-0.0017511i,9.752e-05-0.0013012i,-0.00043311-0.00043808i,-0.00040419+3.8947e-05i,-0.001311+0.00034152i,-0.0017304+1.8162e-05i,-0.00066371-3.0561e-05i,-0.00030198+9.1235e-05i,-0.00081486-0.00032594i,-0.00033909+7.3506e-05i,0.0001412+0.00082052i
-0.00030258+0.0038405i,0.00023572+0.0033528i,0.0010596+0.0018793i,0.00085103+0.0004529i,0.00032174-0.0001384i,-3.6873e-05+9.2305e-05i,7.9723e-05+0.00089179i,0.0012364+0.00073763i,0.0018417-0.00047563i,0.0014559-0.0010727i,0.0013604-0.00077387i,0.0012386-0.0012009i,0.00072242-0.0011993i,0.00044478-0.00052644i,-0.00040514-0.00080375i,-0.0010241-0.0011223i,-0.00038149-0.00054862i,-0.00022372+0.00034778i,-0.00049127+0.00052197i,-0.00056984+0.00031338i,-0.00052658+0.00042716i,-0.00054031+3.5874e-05i,-0.00083507-0.00013779i
-0.0016127+0.00064038i,-0.0017747+0.00066281i,-0.00064272+0.0012239i,3.2743e-05+0.0015915i,0.00023312+0.001243i,0.00020236+0.0012106i,-0.00012939+0.0018156i,-2.2644e-05+0.0013921i,0.00085091-0.00015046i,0.0016196-0.0015392i,0.001912-0.0024481i,0.0015788-0.002698i,0.0008751-0.0031968i,0.00062616-0.0030034i,0.0006258-0.0011314i,5.2144e-05-1.8762e-05i,-0.00071647-0.00077666i,-0.00092665-0.00089605i,-0.0010753-0.0003323i,-0.00075869-0.00032185i,-7.5865e-05-0.00082443i,-0.00012391-0.00072381i,-0.00047351+0.00047434i
0.00087884+0.00029924i,0.0012281+0.0008572i,0.0010362+0.0010505i,0.00060697+5.9519e-06i,-0.0010126-0.001318i,-0.0014447-0.00090327i,-0.00056155+0.00060954i,0.00017152+0.00056061i,0.0013874-0.00016497i,0.0014456-0.00038174i,0.00056828-0.00065132i,0.00063011-0.0011353i,0.00044243-0.0018633i,-0.00022197-0.0016338i,-0.00027989-0.000631i,-0.00019943+5.0017e-06i,-0.00058614-0.00028717i,-0.00057886-0.00048642i,-0.00022182-0.00025923i,-0.00063897+0.00012766i,-0.0014245+0.00060741i,-0.00093282+0.00068285i,9.3609e-07+0.0005575i
-0.0022119+0.0015347i,-0.0027711+0.001636i,-0.0022364+0.0017764i,-0.0001229+0.0013868i,0.0016721+0.000432i,0.0012062-0.00019785i,0.00053583-0.00023814i,0.0015537-0.00035054i,0.0012012-0.00091624i,0.00040016-0.001491i,0.0010198-0.0015378i,0.0014415-0.0012442i,0.0013933-0.0017982i,0.0003574-0.0022658i,-0.00056339-0.0010538i,-0.00010077+5.2319e-05i,-0.00010751-0.00023417i,-0.00077435-0.00061723i,-0.00079144+0.00025238i,-0.00108+0.0009884i,-0.00097508+0.00086649i,-0.00020934+0.00031907i,0.00014214-0.0001432i
-0.00044222-0.002665i,-0.00047551-0.0028163i,-0.00019925-0.0021196i,-0.00051912-0.0012391i,-0.00095688-0.00089723i,-0.00053986-0.00038379i,-0.00029621+0.00066475i,1.9901e-05+0.00021071i,0.00083214-0.00054711i,0.00071451-0.0011218i,0.00014153-0.0018741i,0.00045315-0.0019747i,0.00052525-0.0018754i,-0.00022675-0.0014958i,-0.00063099-0.00071609i,-0.00060992+3.3119e-06i,-0.001065+3.7781e-05i,-0.00080111+0.00018673i,-0.00032054+0.00042755i,-0.00040656+0.00019853i,-0.00044068+3.6209e-05i,-0.00055088+0.00024493i,-0.00066733+0.0005039i
-0.00055065+0.0022453i,-0.00013533+0.0012832i,-0.00016667+0.0012074i,-0.00014288+0.0017017i,0.00014409+0.002012i,0.00034052+0.0022099i,0.00064514+0.0021215i,0.0012214+0.0018784i,0.0015327+0.0011465i,0.0014675-0.00039763i,0.0015605-0.0010835i,0.0017356-0.0011038i,0.0020845-0.0021933i,0.0013531-0.0021474i,-0.00024014-8.1232e-05i,-0.00088366+0.00064879i,-0.00062786+8.48e-05i,-0.00065995+7.1232e-05i,-0.00061202+0.0002137i,-0.00072713+0.00075047i,-0.0016198+0.00047065i,-0.0012179-0.00026077i,-0.0002891-0.00011035i
0.00048867-0.0014442i,0.00083256-0.0016934i,0.00045114-0.0020354i,-0.00055832-0.0013369i,-0.0012076+0.00016705i,-0.00088713+0.00069108i,4.6941e-05+0.00067087i,0.0013517+0.00040187i,0.0018824-0.00033382i,0.00047037-0.0010952i,-0.0010976-0.0017246i,6.7719e-06-0.0020111i,0.0014665-0.0016873i,0.00079092-0.0016361i,-8.2686e-05-0.0010555i,-0.00061305-1.1776e-06i,-0.00092654+0.00035137i,-0.00099313+0.0005588i,-0.0014832+0.0010087i,-0.0015508+0.0006056i,-0.0007764+0.00014334i,-0.00036659+0.00024557i,-0.00081037+0.00046295i
