-0.0011189+0.00052745i,-0.00029129-3.6417e-05i,-0.0013635-0.0017841i,-0.0014984-0.00080097i,-0.0010232+0.00081713i,-0.0010388+0.00034106i,-0.0003173-1.8391e-05i,0.00020658+0.00081529i,0.00042852+0.00068432i,0.00091639+0.00090675i,0.0012542+0.001631i,0.00025638+0.001492i,-0.00061958+0.00033451i,-0.00014371-0.00038186i,3.6196e-05+0.0001822i,-0.00034509+0.00053303i,0.00081053+0.00031044i,0.0015235-0.00025051i,0.00078693+8.6274e-05i,0.00018252+0.00035734i,4.0677e-05-0.00063611i,0.00043972-0.0003475i,-9.9292e-05+0.00053452i
-0.0012097-0.00017317i,-0.0012549+6.9675e-05i,-0.00034803+0.00048629i,5.9592e-06+0.00032366i,-4.7027e-05-0.00039193i,-0.0002412-0.00047045i,-0.00060379+0.00030375i,-0.00037398+0.00067844i,0.00014049+3.2729e-05i,-0.00012784-5.3036e-05i,0.00028199+0.00061277i,0.0012992+0.00031803i,0.0009389-0.00020991i,0.00046568+0.00044521i,0.0004231+0.00027662i,0.00015896+7.2007e-05i,-0.00019932+0.00084184i,0.00014166+0.00041745i,0.00018292+7.3849e-05i,0.0001133-8.6963e-05i,0.00036914-0.00032735i,0.00028925-0.0010512i,0.00025811-0.0012633i
0.0018372+0.0015541i,0.0010967+0.0006745i,0.00083606-0.00090922i,0.00064931-0.0017526i,0.00048632-0.0020327i,-0.00040392-0.0014162i,-0.00038443-0.00052582i,0.00029555-0.00060853i,0.00031079-0.00083012i,0.00070542-0.0010237i,0.00056474-0.0010736i,9.7928e-05-0.00021163i,0.00061438+0.00031988i,0.00078992-2.7716e-05i,0.00034756-0.00032492i,3.2147e-05-0.0003384i,-0.00019596-0.00023736i,-0.00092298-0.00011918i,-0.0017372-0.00016513i,-0.0015421-0.00013035i,-0.00095163-0.00041358i,-0.00058726-0.00052133i,-0.00077941+0.00051019i
0.00078589+0.0030952i,0.00015243+0.0025131i,0.00044104+0.0011051i,0.0004448-7.8424e-05i,0.0005361-0.0012495i,0.00079424-0.0013975i,0.00062618-2.7502e-05i,0.00017907+0.0007363i,0.00026246+0.00073781i,0.00031013+7.2477e-05i,0.00012715-6.629e-05i,-0.00017779+0.00078925i,-0.00049341+0.00027717i,0.00012251-2.6777e-05i,0.0006885+0.00051205i,0.00069805+0.00048596i,0.00085241-5.7697e-06i,-5.1368e-05+0.00044243i,-0.00055285+7.6426e-05i,-4.0764e-05-0.00039336i,-0.00029401+5.9849e-05i,-1.9388e-05+0.00055827i,-1.5301e-06+0.0002764i
0.0018605+0.00085512i,0.0015922+0.00087727i,0.0018236+0.00020688i,0.0014781-0.00069089i,0.00073033-0.0012603i,0.00011017-0.0010146i,-0.00050758-0.00054191i,-0.00071593-0.00075385i,-0.00022896-0.0011598i,-0.00013655-0.00067553i,-0.00078505+0.00028945i,-0.00072063+0.00025028i,-0.00024406+0.00042299i,-0.00030107+0.00072693i,-0.00038113+0.00015725i,-2.9905e-05-2.7159e-05i,-6.3731e-05-0.00020787i,-0.00020504-0.00010883i,4.8671e-05-0.00015465i,-0.00030389-0.00019683i,-1.1373e-05+0.00057576i,-2.2298e-05+0.00020758i,-3.2578e-06-0.00065425i
0.0010992-0.00098869i,0.00080409-0.0005075i,8.0579e-05-0.00054319i,-0.00013705-0.00067874i,0.00010211-0.00076207i,2.7968e-05-0.00085342i,0.00024839-0.00101i,0.00096482-0.00038855i,0.00017034+0.00031486i,-0.0010359+0.00044208i,-0.00058872+0.00025451i,0.0004251-0.00024248i,0.00099664-0.00016598i,0.00099656-4.5054e-05i,0.00035801+9.5093e-05i,-0.0003388+0.00057845i,-0.0005311+0.00066459i,0.00024785+0.00011788i,-0.0001078-0.00027363i,-0.00057106-0.00062014i,-0.00029129-0.0012602i,-7.1268e-05-0.001135i,-0.00019384-0.00073612i
0.0020945+0.00068982i,0.0020263+0.00093077i,0.00092173-4.4923e-05i,-0.00024583-0.0005251i,-0.0007735-0.00040962i,-0.0005855-0.00016868i,3.8825e-05+0.0002328i,-0.00048303+5.0016e-07i,-0.00046759-0.00069631i,-0.0001371-0.00073439i,-0.00041245-0.00044807i,-0.00016499-0.00025468i,9.4416e-06+1.3575e-05i,-0.00012081-0.00027925i,0.00039713-0.00041749i,0.00031133+0.000165i,0.00020849+0.00080243i,0.00055628+0.00093271i,0.00046551+0.00025488i,0.00023329-0.00018272i,3.0117e-05-2.302e-05i,-0.00022642-0.00024641i,0.00042058-0.00058013i
0.0015754+0.0012917i,-0.00039979+0.00040418i,-0.001265+0.00033773i,-0.0006411+0.00015655i,3.6844e-05-0.0003829i,0.00013838-0.00069549i,-0.00058322+0.00011375i,-0.00067522+0.00034509i,0.00022833-0.0001325i,0.00077788-0.0001646i,3.927e-05-0.00031105i,-0.00030856+8.2306e-05i,-0.00074126+0.00031627i,-0.00079596-0.00038674i,-0.00020089-0.00016969i,0.00020367-9.7642e-06i,0.00057534+5.7728e-05i,0.00041693-1.7956e-05i,-0.00052731-0.00035645i,-0.00097486-0.00050826i,-0.00039714-0.00012134i,5.9964e-05+0.00054941i,-1.8836e-05+0.00067668i
0.00058442+0.00035551i,0.0001919-0.00046526i,0.00077428+0.00020377i,0.0010962+0.00012556i,0.00016761-0.00069905i,-0.00013065-0.0005837i,0.0004093-0.00064568i,7.5147e-05-0.00084496i,-0.00037473-0.00096965i,0.0002869-0.00012098i,0.00071486+9.9559e-05i,0.00011341-0.00026598i,9.6098e-05-0.0008677i,0.00072998-0.00061278i,0.00046969-0.00016391i,-9.082e-05-0.00044887i,-8.9535e-05-0.00022847i,-0.00061309+0.00028927i,-0.00070144+0.00058762i,-0.00041147+0.0010037i,0.00015534+0.0012253i,0.0005977+0.00081782i,0.00059611-0.00053631i
0.00071768+0.0010492i,0.00029722+0.001716i,0.0005258+0.0010744i,0.00075875-0.00039979i,0.00093109-0.00099183i,-8.9728e-05-0.00032587i,-0.00057054-0.0002021i,0.00017264+4.615e-05i,0.0003091-0.00030031i,0.00022486-0.00016175i,2.6937e-05-0.00016908i,4.7058e-05-0.00036668i,-0.00031226+7.4963e-05i,-0.0004168+0.0002809i,-0.00035008+0.00011235i,-0.00081908-0.00067931i,-0.0010168-0.00098579i,-0.00030181-0.00063305i,1.9014e-05-0.00048947i,0.00036221-0.00034057i,0.00032253-0.00031023i,-0.00039316+1.0526e-05i,-0.00058263-0.00017825i
0.0012246+8.7061e-05i,0.0010135+0.0010022i,0.0013367+0.0012762i,0.0010039+0.00092601i,0.00074016+5.4132e-05i,0.00065009+8.2278e-05i,0.00041058+1.4464e-05i,0.00078031+0.00036375i,0.00072769+0.00070061i,2.2006e-05+6.8524e-05i,-0.00021798-0.00037872i,-0.00031392-0.00045076i,-0.00033307-0.00016712i,0.00026155+0.00036115i,0.00026355+6.2974e-05i,-0.00038808+5.89e-06i,-0.00020439+0.00011851i,-0.00038463-0.00037633i,-0.00034351+0.00032073i,-0.00034499+0.00097638i,-0.00080726+0.00036388i,-0.0012166+0.00069674i,-0.0012279+0.00084068i
-0.00055837+0.0016393i,0.00028035+0.00038285i,0.0012077-0.00059031i,0.0018328-0.00013415i,0.001778-0.0003125i,0.00075409-0.0012729i,-0.00041067-0.0016093i,-0.00073581-0.0010198i,-0.00039257-0.00043797i,0.00058216-0.00026541i,0.00066072+1.5426e-05i,-0.00062729-0.00015582i,-0.0010819-0.00035737i,-3.577e-05-0.0003983i,0.00036452-0.00019603i,0.00026917+0.00011022i,0.00031521+0.0001306i,-3.5174e-05-0.00049262i,-2.6853e-05-0.00058812i,0.000133-0.00033066i,5.2921e-06-5.724e-05i,-0.00042253+0.00017241i,-0.00063373+0.00022004i
-0.0022784+0.00047744i,-0.0015019+0.00063882i,-0.0014164+0.0012765i,-0.001208+0.00080235i,-0.00033519+0.0001848i,-0.00036744-5.264e-05i,-0.00056688+4.4629e-05i,5.6958e-05+0.00045786i,-6.134e-06+0.00060142i,-0.0006482+0.00046637i,-0.00076881+0.00032566i,-0.00052086-0.00016635i,-0.00060677-4.7111e-05i,-6.704e-05+0.00084487i,0.00010611+0.00078984i,-0.00042252+6.9282e-05i,-0.00021258-0.0007614i,0.00063566-0.00079779i,0.0010618-0.00054629i,0.00077813-0.00069124i,0.00055396-0.00056459i,0.00017094-0.00096606i,-0.00031628-0.00083707i
