-0.0016917-0.00015836i,-0.0029167+0.0013009i,-0.0028306+0.0020072i,-0.0019244+0.0028357i,-0.00091856+0.0032858i,0.00052845+0.0026446i,0.0018192+0.00062052i,0.0018923-0.0013102i,0.00098732-0.00099045i,0.00015481-0.00019415i,0.00062623+0.00017212i,0.00081379+0.00073527i,-6.3331e-05+0.00078117i,-0.00024981-0.0002231i,-0.00039239-0.00088261i,-0.0006989-0.00082048i,-0.00069231-0.00038565i,0.00026426+0.00065079i,0.0010899+0.00069639i,0.00067687+0.00026894i,-0.00029379+0.00038555i,-0.00030285-0.00024981i,-6.1129e-05-0.00081111i
-0.0018137+0.0011166i,-1.5989e-05+0.0019423i,3.8668e-05+0.0023589i,-0.00084836+0.00094611i,-0.00024083+3.0895e-05i,0.0005128+0.00089526i,0.0007374+0.00086999i,0.0014956+0.00027105i,0.0011766+0.00024679i,0.00054586+0.00061288i,-0.00028971+0.0010789i,-0.0010236+0.00058683i,-0.001094+0.00029606i,-0.00040955+0.0001075i,-0.00075901-0.00012518i,-0.0016124-0.00024505i,-0.00076625-9.7231e-05i,-0.00042145-7.8878e-05i,0.00050655-0.00052286i,0.0017418-6.5446e-05i,0.00059417+0.00068242i,-0.00059566+0.00078127i,-0.00084233+0.00054201i
-0.0026439+0.0005646i,-0.0025459+0.002228i,-0.0016513+0.0016065i,-3.0131e-05+0.00099047i,0.00088458+0.0018925i,0.00057268+0.0022746i,0.00060502+0.001241i,0.00071912+0.00055784i,0.00039004+0.00074735i,0.00013899+0.00081888i,-0.00036053+0.00073562i,-0.0011547+0.00018888i,-0.0012362+9.4719e-05i,-0.00073188+0.00031551i,-0.00083522+0.00035022i,-0.00051939+0.00045791i,0.0001448+0.0010438i,0.00048514+0.00073326i,0.00075154-0.00082477i,0.0011086-0.0008146i,0.00065845+0.00035863i,7.3336e-05+0.0010474i,-0.00084807+0.0010599i
-0.0006595+0.00032288i,-0.00021347+0.0005962i,-0.0004629+0.0007337i,6.032e-05+0.00016696i,0.00063122+0.00093737i,0.00047294+0.0013288i,0.00035937+0.00012907i,9.2252e-05-0.0004577i,-6.2438e-06+5.2185e-05i,0.00061487+0.00036259i,0.00060306-3.2553e-05i,-0.00055198-0.00038352i,-0.0013481-0.00034818i,-0.0012482-2.893e-05i,-0.0012215+1.3024e-05i,-0.00087333-0.00049459i,0.00012398-0.00040247i,0.00064165+0.00011879i,0.00046495-0.00012782i,-0.00012675-0.00066437i,-0.00093307-0.0010388i,-0.0013957-0.0010552i,-0.00024003-0.00056957i
-0.0017527+0.0014998i,-0.0014458+0.0014755i,-0.0010021-0.00019757i,-0.00051422-0.00040222i,0.00037576+0.0015229i,0.0016971+0.0034152i,0.002461+0.0025827i,0.0013601+0.00080007i,-0.00027059-0.00029007i,-0.00035808-0.00075784i,-0.00010611-2.2521e-05i,-0.00047209+0.00057555i,-0.00029421+0.00039237i,-0.00034154-3.385e-05i,-0.0010408-0.00048483i,-0.00054667-0.00086073i,-8.7112e-08-0.00021759i,0.00024892+0.00032611i,0.00053141+0.00022339i,0.00073979+0.00022646i,0.00030601+9.2587e-05i,0.00023228+0.00027931i,0.0006733+0.00030852i
-0.0028269+0.00035338i,-0.0034829+0.0021221i,-0.0022886+0.0021781i,-0.0009619+0.0010238i,-0.001735+0.00084994i,-0.0012151+0.00053977i,9.9847e-05+5.0848e-05i,4.6076e-05-0.00036202i,0.00043491-0.00086802i,0.00015403-0.00050594i,-0.00067478+0.00052088i,-0.00082618+0.0010026i,-0.00055029+0.00021286i,1.3363e-06-0.00038037i,9.7421e-06+0.00028963i,-0.00077895+0.00041987i,-0.00040308-0.00039649i,0.00041753-0.00092219i,0.00099798-0.00051018i,0.00079155+0.00017767i,-0.00036825+0.00042271i,-0.00081549+0.00049526i,-0.0011877+0.00033357i
-0.00178+0.0010263i,-0.00042179+0.0011i,0.00040454+0.0021829i,-1.8811e-05+0.0026499i,0.00011138+0.0023555i,0.0013567+0.0018242i,0.0018157+0.00090234i,0.00088384+0.00036241i,-0.0002823+0.00069918i,-0.00049019-1.7593e-05i,-0.00012136-0.0004669i,-0.0008015+0.00023653i,-0.0011986+0.0002877i,-0.00096736-0.0001478i,-0.0013948-0.00037729i,-0.0013052-8.9139e-05i,-0.00026219+1.8248e-05i,-0.00031934+0.00012471i,-0.0008536+0.00038275i,-0.00045263+0.00048435i,0.00059306+0.0007104i,0.00064813+0.0008109i,-0.00012658+0.00015898i
-0.00017371+0.00047296i,-0.0001262+0.0011151i,-0.00035756+0.00091535i,-0.0012793+0.00046563i,-0.0013266+0.0014017i,-0.00087753+0.0026158i,0.00030692+0.0013846i,0.00143-0.00017451i,0.0010164-0.00030764i,-0.00019345+0.00010902i,3.5073e-05+0.00044603i,0.00019953+0.00047148i,-0.00041682+0.00044288i,-0.0005032-0.00075325i,-0.00010704-0.0015496i,-0.0003266-0.00046352i,-0.00023831+0.00018495i,0.00052816+0.00014247i,0.00049665+0.00023025i,4.9634e-05-0.00031595i,0.00075248-0.00079891i,0.0017177-0.00047427i,0.0012332+0.00037896i
-0.0012112+0.0015221i,-0.0018506+0.0024718i,-0.0010134+0.0027433i,-0.00032099+0.0019864i,-0.00019715+0.0011301i,0.0010002+0.0011803i,0.0019234+0.00083197i,0.0014917+0.00017332i,0.00060868-0.00030359i,0.00061974-0.0003356i,0.00011531-0.00049452i,-0.00040008-0.00057391i,-0.00024081-0.00062914i,-0.00063023-0.00031967i,-0.00066911+1.273e-05i,-0.0006025-0.00033859i,-0.00088193-0.00038887i,-1.9807e-05+0.00027772i,0.0011938+0.0003167i,0.00059729+0.00015077i,-0.00023977+0.00010114i,-0.00022458-0.00092054i,-0.00033251-0.0012955i
-0.0010465-0.00057443i,-0.00080033+0.00058634i,-0.00084283+0.00027698i,-0.0014567-0.00020666i,-0.00087826+0.00078309i,0.00020557+0.0018132i,0.0011031+0.0018353i,0.0010292+0.00057361i,-7.076e-05-0.00046854i,-0.00066193-0.00032547i,-0.00088188+0.00086202i,-0.0012572+0.0017067i,-0.00090319+0.0011946i,-0.00012508-0.0007251i,-0.00023096-0.0014963i,-5.1985e-05-0.00063173i,0.00033477+0.00025252i,0.00072249+0.000819i,0.00069207+0.00019671i,-0.00010905-0.00086317i,-0.00042265-0.00063234i,-0.00041522+0.00023884i,0.00037743+0.00067099i
