-0.0011074+0.00088047i,0.00017358-0.0006362i,2.7278e-05-0.00106i,-0.00055251+0.00029393i,0.00020498+0.0012558i,0.00096057+0.00043164i,0.00023704-0.00016745i,-0.00055103-0.00019402i,-0.00038431+0.00023011i,0.00015772+0.00066344i,-2.9906e-05+6.6554e-05i,-0.00065197-0.0010873i,-0.0008725-0.0012786i,-0.00041226-0.001203i,0.00069553-0.00090368i,0.00056688-0.00065241i,-2.1342e-05-0.00035378i,0.00084525-0.00050815i,0.0015084-0.0013529i,0.00041452-0.001296i,-0.00092906-0.00053134i,-0.0012265-0.00034959i,-0.0003283-3.2843e-06i
0.00046974-0.00036889i,-0.00018868-0.00028212i,0.00057326-0.00028088i,0.0015148+0.00023063i,0.0015081-0.00025356i,0.0008121-0.0016084i,0.0012122-0.0023161i,0.0013487-0.0019489i,0.00031798-0.00029223i,-0.00015447+0.00080104i,-0.00020292+0.00055932i,-0.00030803+0.00045765i,-0.00039741+0.00075092i,-0.00071311+9.5576e-05i,-0.00060724-0.00035972i,0.00017189-0.00030099i,0.00042711-0.00064564i,-0.00045121-0.00076929i,-0.0011207-0.00036587i,-0.00090377+3.1975e-05i,-0.00029452-0.00025292i,-0.00017808+4.1509e-05i,-0.00038694+0.0010553i
0.00040102-0.00010738i,0.0010841-0.00031944i,0.0011254-0.0012347i,0.0017718-0.0014661i,0.0014933-0.00070712i,0.00082694-0.00071462i,0.00068624-0.00091524i,0.00037832-0.00096186i,0.00015576-0.00054116i,-0.00098694-0.00066421i,-0.0014056-0.00099925i,-0.00040518-0.00046666i,-0.00019424-0.00037573i,-0.00079711-0.00013165i,-0.0011848+0.00016339i,-0.00065103+3.6235e-05i,-9.0096e-05-7.903e-05i,-1.7284e-05-0.0003172i,1.5464e-05-0.00014338i,-0.00038067-6.8448e-05i,-0.00018302-0.00044182i,0.00025323-0.00047877i,0.00034971-0.00079194i
-0.0014021-0.00093528i,-0.0011134-0.00067782i,-0.0019943+0.0011511i,-0.0015542+0.0024956i,2.7043e-05+0.0012166i,0.0019585-0.0011004i,0.002337-0.0030023i,0.0011293-0.0024876i,-0.00050578-0.00079115i,-0.00103-0.00079007i,-0.00027818-0.00036822i,0.00073326+0.0009831i,0.0018749+0.0016821i,0.0016013+0.0010397i,0.0010937-0.00022844i,0.00104-0.00069485i,0.00077296-0.0006966i,0.00072877-0.00057162i,0.00040236-0.00050367i,-0.00014828-0.0004168i,-0.00088985-0.00044587i,-0.00036003-0.00039452i,0.00039061-0.0003551i
0.00014814-0.00050844i,-0.00073846+5.3283e-05i,-0.000298+0.00022631i,0.00019142-0.00031056i,9.0736e-05-0.0009638i,-0.00046346-0.0016956i,0.00033497-0.0021084i,0.00028741-0.0013279i,-0.00037657-0.00035375i,0.00016816-7.1618e-05i,0.00021358-0.00012117i,1.6901e-05-0.00017249i,0.00011755-0.00042522i,0.00035435-0.0012776i,0.00022053-0.00096957i,-0.00028682+0.00050388i,-0.00033358+0.00053013i,0.000183+0.00010989i,0.00012668-0.00035846i,0.00014334-0.00054859i,0.00051194-0.00021899i,-5.7058e-05-0.000349i,-0.00044762-0.00044567i
0.00070786+0.0024891i,-4.3251e-05+0.0015535i,-0.00018825+0.00032869i,0.0012775-0.00086299i,0.0020328-0.00085269i,0.0013341-0.001245i,0.00093053-0.0018819i,0.0005958-0.00084354i,0.0002403+0.00058712i,-9.6245e-05+0.00068559i,-0.00088398+0.00036376i,-0.0011374+0.00023346i,-0.00057726+0.00016273i,-0.00013231+9.2619e-05i,-0.00011476-0.00050833i,-0.00028058-0.00073198i,-0.00039514+0.00012298i,0.00012299+0.00090435i,0.00014329+1.5965e-05i,-4.1288e-05-0.00047742i,0.00035628-0.00011592i,0.00017807-9.7366e-05i,-6.0256e-05+9.4741e-05i
-0.0011817-0.00082572i,0.00013758-0.0012224i,0.00066789-0.00074755i,0.00019176+0.00022745i,0.00038521-7.0115e-05i,0.0010753-0.0014285i,0.0010064-0.0018061i,0.0005199-0.0013334i,0.0003951-0.00035499i,0.00037359+0.00041448i,-0.00030535+0.00096017i,-0.00092812+0.00082927i,-0.00041066-6.2722e-05i,0.00037831-0.00010872i,0.00042337+0.00034571i,0.00044246-0.00021814i,0.00049769-0.0004257i,-0.00014843-0.00028216i,-0.00056038-0.00046866i,-9.736e-05-0.00048298i,-0.00035735-0.00021349i,-0.00097386-0.00033228i,-0.00011317-0.00033548i
0.00049323-0.00062171i,0.0019363-0.00039118i,0.0012211-0.00053368i,0.00023919-0.0011763i,0.0010121-0.0015653i,0.00020982-0.0013688i,-0.00083849-0.0015684i,-0.0005087-0.0015422i,0.00014834-0.0010224i,0.00023303-0.00069519i,0.00010458+0.00049716i,0.00036112+0.0010289i,0.00020924+0.0012761i,0.00010692+0.00079053i,0.00048791+0.00015546i,0.00024112+0.0011033i,0.00060551+0.0014967i,0.00036406+0.00044188i,-0.0010486-1.6429e-05i,-0.00079435-1.2315e-05i,0.00026876+0.0004248i,0.00062147+0.00067986i,0.00096847+0.00015545i
0.00037998-0.0020167i,-3.3422e-05-0.0023719i,-0.00050009-0.0017299i,-0.0010503+0.00054814i,-0.0011679+0.00061954i,-5.8285e-05-0.00068299i,0.0010452-0.00038844i,0.00039571-4.5324e-05i,-7.5077e-05+7.5942e-05i,-6.9636e-05+0.00091813i,-0.00031505+0.00088892i,0.00031495-1.3111e-06i,0.0010595+0.00034335i,0.00065962+0.00039626i,0.00033541+0.00036675i,0.00071391+0.0006361i,0.00058054-0.00013096i,0.00028259-0.000353i,0.00091122-0.00053934i,0.00068159-0.00055162i,-0.00050964-0.00051426i,-0.00092009-0.00073059i,-0.00096351-0.00031403i
0.0017388-0.00064525i,0.0011079-0.0010701i,0.00086099-0.0011532i,0.00016871-2.8517e-05i,0.00011589+3.3058e-05i,0.00093349-0.0012262i,0.00099011-0.0024166i,0.00039639-0.0019188i,5.845e-05-0.00047156i,-0.00023837-7.0332e-05i,-0.00085094+0.0003617i,-0.0015064+0.0012628i,-0.0012503+0.0010182i,-0.00036718+0.0010444i,-0.00013331+0.00059843i,-0.00022377-0.00017998i,-0.00058928+0.0002887i,-0.0013347+0.00099985i,-0.00088581+0.00067631i,0.00023677-0.00019016i,0.00020467-0.00044421i,-0.00010169-0.00037845i,-0.00012322-0.0005012i
0.0033134+0.0026321i,0.0031898+0.001339i,0.0035519-0.00060799i,0.0034324-0.0021331i,0.0029454-0.002929i,0.0014528-0.0030189i,-0.00014179-0.0020194i,-0.00082958-0.00097275i,-0.00022103+0.0001292i,0.00041634+0.00083838i,-0.00023085+0.00084618i,-0.00090684+0.00018171i,-0.0012039-6.6769e-05i,-0.001349-6.4896e-05i,-0.00032513-0.00051941i,0.00056-0.00075792i,-0.00015188-0.0010836i,-0.00085522-0.0012924i,-0.0003387-0.00093164i,0.00031008-0.00050071i,0.000294+0.00037231i,-0.00024392+0.00059455i,-5.8629e-05+8.0214e-05i
0.00014062+0.0023392i,-0.00036952+0.0024727i,-0.00042459+0.0012984i,-0.0013174+0.00072223i,-0.00056822-0.00024508i,0.00055906-0.00096998i,0.00017938-0.00067894i,-0.00055774+0.00061809i,-0.00092793+0.0014369i,-0.0011713+0.0013693i,-0.0013206+0.00051048i,-0.001555+0.0003508i,-0.00088501-0.00017902i,-0.00035795-0.00037574i,-0.0010269+0.00034146i,-0.00070235+0.00057896i,-4.9959e-05+0.00043792i,-0.00016732+0.00030038i,0.00030618+0.0010165i,0.00034501+0.0008817i,0.00014412-0.00025394i,-0.00029571-0.00045207i,-0.00031154+3.0524e-05i
0.00050655-0.00076511i,0.0013288+0.0001978i,0.0015447+0.0013038i,0.0011358+0.001673i,0.0010038+0.00095778i,0.00067719+0.00019719i,0.0002047-0.0010563i,3.3528e-05-0.0012999i,0.0002227-0.00078885i,0.00075637-0.0010479i,0.00050392-0.00053712i,0.00026714+0.00040288i,0.00046615-0.00022559i,0.00020255-0.001314i,0.00054486-0.00095229i,0.00049505-0.00023597i,-0.00043734+3.0959e-05i,-0.00094554+0.00044074i,-0.00069418+0.00065419i,-0.00051565+0.00048214i,-0.00024425-9.8465e-05i,0.00026294-0.00053234i,-4.399e-05-0.0004493i
0.0014708-9.688e-05i,0.0021004-0.0019662i,0.0022792-0.0025092i,0.0015791-0.0020994i,0.0012003-0.0013535i,0.00099183-0.0012553i,0.00050642-0.0012267i,-0.00025288-0.0010561i,-0.00027739-0.00039121i,-0.0005606-0.00027066i,-0.00095954-0.00053442i,-0.00067018-7.5655e-05i,-0.00050889+0.0011492i,-0.0011023+0.00090943i,-0.00051184-0.00053634i,0.00050423-0.00079572i,-0.00017135-0.00048674i,-0.00064478+0.00040221i,-0.00081943+0.00084658i,-0.00027022+0.0010219i,0.000559+0.00068134i,0.00060322+0.00020948i,0.00094361-0.00010924i
7.4753e-05+0.00097258i,0.00076843-0.00014456i,-0.00012285-0.0010651i,-0.0007723-0.00078463i,-0.00033496-0.00057865i,0.00023018-0.00046732i,0.00022509-0.00010831i,-0.00035115-0.00012802i,-0.00062204-0.00046241i,-0.00058914-0.0006579i,-0.00056556-0.00090737i,-0.00045743-0.00014866i,-0.0008056+0.00062725i,-0.00072591+0.00085146i,-0.00057293+0.0013528i,-0.00033626+0.0008683i,0.00056761+0.00026432i,0.00041826+0.00060555i,0.00026023+0.00084763i,0.00031359+0.00057599i,-8.7983e-05+0.00030263i,-0.00012368-0.00012812i,-0.00023887-0.00034701i
0.00044522-0.001085i,0.00059984-0.00034787i,0.000896+0.00089914i,0.00070137+0.00057279i,0.00070441-0.00014277i,0.0003141-0.0011487i,0.000118-0.0011667i,-3.2008e-05-7.8312e-05i,-0.00034267+0.00035294i,-0.00068518+3.8008e-05i,-0.0005156-0.00057625i,-0.00016026-0.00030776i,-6.3511e-05+8.7884e-05i,8.8521e-05+0.00016355i,0.00030918+0.00027967i,0.00044282+0.00026389i,-0.00016429-0.00023683i,0.00012749-1.9934e-05i,0.00020065+0.0008633i,-0.00010053+0.0010524i,0.00017938+0.00073591i,0.0001615+0.00020649i,4.3384e-05-0.00010563i
0.00289-0.0012181i,0.0024131-0.0012734i,0.0021721-0.0010924i,0.0014073-0.0012312i,0.001219-0.0018338i,0.00047749-0.0015848i,0.00032913-0.001099i,-0.00016415-0.00042988i,-0.001323+0.0001291i,-0.00056316-0.00029225i,-0.00013576-0.00065468i,-0.00031703+0.00023652i,-0.00034852+0.0005871i,-0.00094739+0.00039691i,-0.0011633+0.00019432i,-0.00091642-0.00046187i,-0.00059032-0.00067942i,-0.00030956-0.00039509i,0.00017463-0.00015236i,0.00030611+0.00034651i,-0.00038124+0.00074268i,-0.0011751+5.2518e-05i,-0.00087341-0.00094937i
0.0013846+3.1991e-05i,0.00059323+3.769e-05i,-0.00015794+0.00087299i,8.5857e-06+0.0003667i,0.00081606-0.00031944i,0.000993-0.00088834i,0.00076869-0.0012648i,0.00059893-0.00053567i,0.00063684-0.00040615i,0.00036496-0.00073765i,-0.00026024-0.00050707i,-0.00050144+5.0986e-05i,-0.00013546-0.00011896i,0.00025409+7.6041e-05i,0.00043216+0.00060527i,7.0309e-05+0.0001504i,-0.00032506-0.00020853i,9.6152e-05+5.2221e-05i,-0.00013468+0.00076399i,-0.00058437+0.00099971i,-0.0007415+0.0005636i,-0.00041576-7.1188e-05i,0.00089619+2.7256e-05i
0.0016548+0.001698i,0.0018522-0.00048616i,0.0015034-0.0018083i,0.001511-0.0013814i,0.00098604-0.0013605i,0.00045466-0.0020447i,-0.00035358-0.0015411i,-0.00099338-0.0010264i,-0.00067697-0.00089103i,-0.00033971-0.00035138i,-0.00034626+0.00017301i,-2.9909e-06+0.00086967i,-0.00012408+0.0016996i,-5.2291e-05+0.00040605i,6.4173e-05-0.00063319i,-0.00047351+0.00029756i,-0.00072563+0.00064144i,-0.00077146+0.00076847i,-0.0006229+0.00049248i,-0.00049299+9.5762e-05i,0.00017184-0.00011559i,3.288e-05-0.00013376i,-0.00045295-0.00057017i
-0.0020691+0.00069291i,-0.00084702+0.0010708i,0.00067768+0.00058108i,0.00094585+0.00035041i,0.0018002-0.00052269i,0.001883-0.0011962i,0.00062135-0.0018365i,-0.000208-0.0017346i,-0.00025567-0.00093295i,-3.1564e-05-0.00068337i,-0.00033426-0.00096465i,-0.00041884-3.2446e-05i,1.6149e-05+0.00032819i,-0.00021478-0.00098325i,-0.00089618-0.0017961i,-0.00080186-0.0016207i,7.3411e-05-0.0011887i,0.00013839-0.00051216i,-0.00044682-0.00041943i,-0.00050852-0.00026533i,-2.1908e-05-0.00023907i,0.00020506-0.00073047i,0.00067568-0.00047472i
0.0028791-0.0028344i,0.0017873-0.0025385i,0.00066584-0.0025555i,0.00060861-0.0018925i,0.00058305-0.00086574i,0.00033366+0.0002007i,0.00017201+0.00021081i,-3.8462e-05-0.00058556i,-7.9914e-05-0.0007602i,0.00010094-0.00033128i,0.00065399+0.00059356i,0.0005455+0.001455i,-0.00010813+0.0011847i,-9.7315e-05+0.00082309i,-0.00019183+8.2183e-06i,-0.00025674-0.00061828i,-0.00051789-0.00025717i,-0.00053335+0.00089646i,-0.00037119+0.0010368i,-0.00011672-7.7563e-05i,0.00048188-0.00093791i,0.0009463-0.0010404i,0.00026031-0.00049437i
0.00083431-0.00031627i,0.00015912-0.00068213i,-0.00016516+0.00019989i,0.00071312-0.00042765i,0.0010002-0.0011007i,0.00083322-0.0013465i,-0.00014851-0.0018421i,-0.00072968-0.0014061i,0.00016737-0.00042466i,0.0006992-0.00020502i,0.00057641-0.00011384i,0.00041308+0.00049032i,0.00031146+0.00055892i,-0.00022288-7.1264e-05i,0.00026676-7.3015e-05i,0.00097156+7.6734e-05i,-0.00063058-0.00024009i,-0.0018489-0.00025665i,-0.0012215+9.4593e-05i,-0.00035923+0.00048635i,-0.00039765+7.1841e-05i,-0.00036286-0.00070069i,-0.00028471-0.00056463i
0.0016743-0.0001077i,0.001905-0.0010879i,0.0015225-0.0014878i,0.00074256-0.0014299i,0.00064453-0.0009984i,0.00075046-0.00066049i,0.00033924-0.0012216i,-0.00076577-0.0014181i,-0.0011674-0.00085653i,-0.00060578-0.00038795i,-0.00035322-0.00040766i,-0.00020902-0.00040496i,-0.00056745+1.968e-06i,-0.0013954+0.00038105i,-0.0014674-2.8619e-05i,-0.00031204+1.991e-06i,0.00027504+0.00035956i,0.00054062+0.0001201i,0.00084138+0.00013973i,0.001088+0.0001739i,0.00075712+0.00036437i,0.00028066+0.00058097i,2.2979e-05+0.00077864i
-0.00030636+0.00072228i,-0.00040343-0.00067168i,0.00092354-0.0016161i,0.00083777-0.00098501i,0.00017263+6.2269e-05i,-5.3869e-05+0.0001439i,-0.00093929-0.0001218i,-0.0010763-0.00027828i,-0.00031419-0.00079247i,-1.2894e-05-0.00091414i,3.6284e-05+0.00024798i,0.00060056+0.0010875i,0.0006682+0.00099915i,9.7238e-05+0.00034961i,3.748e-05+0.00042489i,0.00019926+0.00057342i,0.00034654+7.7045e-06i,0.00079009+0.00038098i,0.000376+0.0012091i,0.00015806+0.00052748i,0.00080384-0.00023352i,0.0009042-0.00040135i,-0.00036507-0.00076224i
-0.00041958-0.00045072i,-0.00025809+7.8079e-05i,0.00056967+0.00047241i,0.0012972+0.00054736i,0.00097149+0.00058656i,0.00078741-0.00030361i,0.00068184-0.0012985i,0.00071236-0.0010504i,0.00081266-2.4945e-06i,0.00061044-4.8176e-05i,0.00024638+0.00014358i,-7.5048e-05+0.00051953i,-0.00033793+0.00083737i,0.00020986+0.00066336i,0.00056407+0.00080484i,0.00014931+0.00038502i,-0.00014889-0.00035629i,-0.00044595-0.00042353i,-5.3974e-06+6.9578e-05i,-0.00020172+0.00093713i,-0.00038262+0.0010747i,0.00058773+0.00071112i,0.00043322+0.00024954i
-1.2127e-05-0.0007247i,0.00018849-0.00055097i,-0.00010309-8.7914e-05i,0.00017953+0.00071798i,0.00020626-8.4238e-05i,0.000895-0.00081136i,0.0020232-0.0010296i,0.0011242-0.0013578i,0.00051478-0.00092737i,0.00014785-0.00031441i,-0.00052921+0.00023383i,0.00024962+0.0010592i,0.0011132+0.00076982i,0.00023335+0.00032061i,-9.4974e-05+0.00099195i,0.00074227+0.0012496i,5.6406e-05+0.0006986i,-0.00047617-2.6431e-05i,0.0002677-0.00045741i,0.0006441-0.00032657i,0.00059234+0.00054204i,0.00036547+0.00057552i,0.00022201+0.00012932i
0.00035267-0.0018226i,0.00064624-0.0011674i,0.0011284-0.0013029i,0.0012424-0.0016625i,0.0015174-0.0012314i,0.001383-0.0014145i,7.63e-05-0.0019973i,-0.00077481-0.0019375i,-0.00076862-0.0018558i,-0.0011721-0.0013649i,-0.0010962-2.2196e-05i,-0.00053614+0.00066618i,-0.00018889-0.00029921i,-0.00035581-0.0003158i,-0.00032842+0.00050117i,0.00019904+0.00036426i,0.00047941-7.5782e-05i,9.7827e-05-3.2167e-05i,1.1771e-05+4.229e-05i,1.3218e-05+2.4218e-05i,-0.00015663-0.00057082i,-0.00039763-0.00041905i,-0.00031437-5.3157e-05i
-0.00097669-0.00018889i,-0.0018808+0.00053494i,-0.002734+0.0016083i,-0.0026834+0.0021193i,-0.00099154+0.00095419i,0.0012018-0.00098139i,0.0020431-0.0016443i,0.0012547-0.00090812i,-0.00022084-4.1343e-05i,-0.0013443+8.5884e-05i,-0.0014909-0.00011772i,-0.00062843+0.00047088i,8.9327e-05+0.00048498i,0.00047248-4.9349e-05i,0.00061227-6.7473e-05i,-4.5662e-05+0.00012431i,-0.00037201+0.00014506i,-0.00029313+9.7566e-05i,-0.00012108-0.00076921i,0.0004163-0.0014914i,-0.00034498-0.0011557i,-0.0008033-0.00055598i,-0.00076304-0.0002888i
0.0014262-0.00080118i,0.0014044-0.00038584i,0.0011369+0.0002246i,0.0016198+7.5582e-06i,0.0017744-0.0007488i,0.0017549-0.0012163i,0.0011913-0.0019864i,-8.37e-05-0.0016509i,-0.00025696-0.00043042i,0.0006923+0.0005438i,0.00019624+0.00057191i,-0.00060309+0.00018819i,-0.00026919-0.00022105i,-0.00057429-0.00033683i,-0.00025771+0.0001238i,0.00043262+0.00040742i,0.00044585+0.00036461i,0.00011466+7.6997e-05i,0.00039877-0.00051097i,0.0010978-0.00041732i,0.0008403+0.00010245i,0.00022034+0.00030281i,8.6831e-05+0.00079491i
-0.00069561-0.0014545i,-0.0015109+0.00011985i,-0.0011438+0.00031846i,-0.00077478-0.00018795i,-7.3508e-05-0.0001514i,0.00084184-0.00081922i,-0.00014224-0.0013536i,-0.00098931-0.0012346i,-0.00015732-0.00034308i,0.00019037+8.2724e-05i,2.3327e-05-0.00040056i,-0.00014761+0.00016575i,-0.00056296+0.00098097i,0.00033872+0.00065158i,0.00091321-7.3308e-05i,0.00063616+0.00025546i,-6.7182e-05+0.00051658i,-0.00055129-7.8758e-05i,0.00019765+0.00012724i,0.00020083+6.642e-05i,-0.00053504-0.00083705i,-0.00079456-0.00096407i,-0.00077448-0.00053025i
0.0030043-0.00021435i,0.0017179-0.00057938i,0.00071852-0.0015086i,-0.00014429-0.0013541i,0.00021813-0.00085384i,0.00088631-0.00094852i,0.0013839-0.0011718i,0.0014864-0.00047462i,0.00071128+0.00014883i,0.00014099+4.0366e-05i,-0.00034605-6.1612e-05i,-0.0011898+0.00041668i,-0.0012235+0.0014016i,-0.00040262+0.001166i,0.0004366+0.00024442i,0.00042429+7.3087e-05i,0.00027262+0.00026745i,0.00049487+0.00014625i,0.00014655+0.00045664i,-0.000245+0.0005578i,-0.00036116+0.00031177i,-0.0004718+0.00030886i,-0.00012697+0.00047454i
-0.00046391+7.3968e-06i,-0.00034813+0.0003267i,0.00045661+0.00014327i,0.0012223-0.00042388i,0.0011757-0.00071329i,0.00066482-0.0017566i,0.00061511-0.0023689i,0.00046544-0.0019248i,0.00042303-0.0012515i,0.00064158+1.5245e-06i,0.00040804+0.00063006i,8.3407e-05+0.00055063i,-0.00017863+0.00029281i,-5.7556e-05+4.6225e-05i,-7.4333e-05+0.00020449i,-0.00023447+0.00043444i,-2.3951e-05+0.00032647i,5.224e-05+0.00022308i,0.00030894-0.00020402i,2.2013e-05+2.6492e-05i,0.00016346+0.00025585i,0.00031211-0.00032419i,0.00028773-0.00024516i
-0.00040356-0.0014647i,-8.2945e-05-0.00078671i,0.00048849-0.00021912i,0.00077573+0.00026416i,0.0010777+0.00070643i,0.0013153+0.00056869i,0.0013741-0.0011365i,0.0011807-0.0023442i,0.0011782-0.0017962i,0.0004729-0.0010258i,-0.00062176-0.00029923i,-0.00054163+0.00066946i,-0.00052364+0.00081907i,0.00019696+0.00023177i,0.00075736+0.00024926i,0.00024101-0.00012455i,0.000501+1.7027e-05i,0.00038178+0.00026466i,0.00018392-4.9501e-05i,1.1562e-05+0.00030324i,-0.00021673+0.00040815i,0.00020994+0.00037751i,0.00030379+0.00067923i
