-0.0023582+0.00056872i,-0.00094994-0.00035788i,-0.0011802-0.00066314i,-0.0010922+0.00032106i,-0.00049296+0.0010514i,-0.00027969+0.001085i,-0.00067921+0.0012531i,-0.00016647+0.0015134i,0.00029322+0.0018003i,0.00021249+0.00044939i,0.00051066-0.0011349i,-0.00025564-0.0013782i,-0.0007318-0.0006254i,9.0516e-05-0.00047383i,-0.00016358-0.0005864i,-0.00090561-0.00055716i,-0.0013744-0.0007515i,-0.001743-0.00064196i,-0.0010344-0.00013178i,-7.0716e-05+0.00094158i,4.9027e-05+0.001419i,-4.2884e-05+0.0010651i,0.00025534+0.00010409i
-3.4244e-06-0.0006705i,0.00052221-0.0010882i,-0.00036983-0.00043818i,-0.00046604+0.00077099i,0.0007102+0.0010577i,0.0011905+4.81e-06i,0.00041298-0.00047852i,-0.0005955+1.8637e-05i,-0.0013115-0.00014968i,-0.0010588-0.00035723i,-0.00051677+0.00057934i,-0.00025027+0.00098134i,-0.0001312+6.9395e-05i,-6.0465e-05-0.00086543i,-0.00012902-0.0006545i,-0.00050812+0.00029255i,-0.00044484+0.00094515i,-0.00038622+0.00013024i,2.9575e-05-0.00090929i,0.000448-0.00043148i,0.00032892+0.00021915i,0.0005657+0.00034001i,5.3912e-05+0.00022573i
-0.00065172+9.9987e-05i,-9.7262e-05-0.00020804i,0.00042388-0.00067028i,0.00099035-0.0014289i,0.0011948-0.001722i,-0.0001557-0.0013337i,-0.00077617-0.00016502i,-0.00061944+0.00081609i,-0.00011321+0.00069986i,0.00019515+0.00026482i,-0.0002011-0.00050657i,-0.00043813-0.00081009i,-0.00083664-0.00052961i,-0.00058396-0.00045775i,-0.00069605-0.0004651i,-0.00029572-0.00044725i,0.00038818+0.00033168i,0.00035814+0.0009716i,-0.00014533+0.00073829i,-0.00055901+0.00047009i,-0.00012332-5.1614e-05i,-8.5665e-06-8.1308e-05i,-0.0001209-0.00011234i
-0.00016952+0.0016768i,0.00029283+0.001987i,0.00079579+0.0014588i,0.00041464+0.00064421i,-0.00017972-0.00026152i,-0.00029817-0.00095211i,-0.00044252-0.0011716i,-0.00065001-0.0012169i,-0.00051651-0.0010008i,0.0003864-0.00048833i,0.00058762-1.1437e-05i,0.00025257+0.00046789i,-0.00033371+0.00038373i,-0.0010272-1.5556e-05i,-0.0007317-0.00028427i,0.00010711-0.00069119i,-0.00010233-0.00056604i,-0.00050611-0.00072707i,8.3355e-05-0.00076477i,0.00083754-4.6879e-05i,0.0011592+0.00021296i,0.00096909+0.000491i,0.00038664+0.00045391i
0.0013385-0.0011431i,0.00062275-0.00090012i,-0.0008467-0.00041699i,-0.0010792+0.00016988i,-0.00088991-0.00010817i,-0.00079908-0.00012997i,-0.00066842-0.00014661i,-0.00038138-0.00083122i,9.3595e-05-0.0013177i,-0.00045065-0.001039i,-0.00092177-0.00013155i,-0.00099996+0.00038728i,-0.00049522-0.00029319i,-8.5823e-05-0.0011316i,-0.00012606-0.0008245i,0.00017778-0.00045828i,0.00059182-0.00049438i,0.0001879-0.00033543i,-0.000328-0.0003411i,-3.1529e-05-0.00024402i,0.00030302-0.00020463i,0.00036752-0.00086797i,0.00031863-0.0010243i
-0.00065197+0.0010586i,-3.1137e-05+0.00035595i,0.00067709-0.00048971i,0.0016347-0.0012495i,0.0011921-0.0014539i,-0.00050658-0.0014345i,-0.00085766-0.0014706i,-0.00090759-0.0010304i,-0.00028691-0.00063014i,0.0014003-0.00061526i,0.0018112-0.00019748i,0.0002881+0.00019262i,-0.0004853+0.00046985i,-0.00017777+0.00038141i,-0.00030484-0.00017478i,3.0879e-05-0.00027417i,0.00044766-9.2142e-05i,0.00014018-0.00036619i,-0.00033236-0.00047494i,-0.00033642+0.00043736i,-3.2894e-05+0.00019055i,0.00024025+7.8211e-06i,0.00040781+0.00039562i
0.0015539-0.00037777i,0.00095983-0.0020792i,0.00047677-0.0027718i,-0.00023993-0.0019436i,-0.00095424-0.0013091i,-0.00090128-0.0004817i,-0.0007386+0.00044712i,-0.00093055-0.00031579i,-0.00073984-0.0013779i,-0.00050533-0.0012607i,-0.00024744-0.00042403i,-6.2589e-05-4.8356e-05i,-0.00024188-0.00059836i,-0.00036933-0.00034414i,-0.00026233-0.00011057i,-0.00013117-0.00036225i,-0.00017561-0.00015008i,-2.5321e-05+0.00021738i,0.00020335+0.00091441i,-0.00014915+0.00062769i,-0.00027804+0.00017765i,0.00020449-5.8804e-05i,0.00068955-0.00047912i
-0.00011617-0.0016925i,-0.00081007-0.0016794i,-0.0021923-0.0015924i,-0.0025235-0.00057051i,-0.001431+0.00061115i,-0.0010987+0.00057083i,-0.0008885+0.00080001i,-0.0004188-1.107e-05i,-1.0712e-05-0.0010381i,-0.00052157-0.00067171i,-0.0008967-0.00021358i,-0.00023371+5.938e-06i,0.00012135+0.00070602i,-0.00019378+0.00041137i,-0.00046184-0.00012596i,-0.0003031+0.00011718i,-0.00030661+0.00021792i,-0.00051158+0.00058596i,-0.0011391+0.00067245i,-0.00096391+0.00015392i,-0.00015936-8.4313e-05i,0.00073977+0.00023606i,0.00029644+0.00011183i
-0.0019566+0.0018665i,-0.00089771+0.0020851i,0.00037887+0.0020098i,0.0013531+0.0017282i,0.0014176+0.0011626i,0.00068386+0.00070557i,-0.00072789+0.00037331i,-0.00073136-3.7141e-05i,0.00040782-0.00049317i,0.00081637-0.00060002i,0.00090766-0.0003263i,0.00017826+1.641e-05i,-0.0008986+0.00026662i,-0.0006076-2.1742e-05i,0.00015586-0.00029954i,0.0004181-0.00022672i,0.00040347+4.6212e-05i,0.00054909+0.00010609i,0.0011071+0.00029094i,0.00093409+0.00062535i,0.0002337+0.00028123i,0.00012572+0.00017099i,0.00020678+0.00031327i
0.00021268-0.00024061i,0.00039459-0.0021613i,-0.00074783-0.0025008i,-0.0021679-0.0010653i,-0.0019075-0.00076415i,-0.00090661-0.00075734i,-0.00058267+0.00017534i,4.7468e-05+0.00026811i,0.00019908-0.00020496i,-0.00078547-0.00097513i,-0.00068438-0.0006619i,0.00019228+0.00042512i,0.00043278+7.8394e-05i,0.00033021-0.00041131i,0.00051768-0.00014625i,0.00078627-4.2309e-05i,0.0006283+0.00011575i,0.00055029+0.00050305i,0.00062437+0.00092151i,0.0005078+0.00044037i,0.00053923-0.00017394i,0.00038403+0.00031014i,-0.00011648+0.00062245i
0.0015377-0.00091233i,0.0017384-0.0010913i,0.0012077-0.000481i,0.0012578-0.00071976i,0.0010334-0.0012274i,0.0002683-0.0012725i,-0.00094565-0.0005615i,-0.00086294-0.00017791i,0.00013466-0.00023537i,0.00011103-0.00088744i,-0.00037258-0.001513i,-0.00080955-0.00073874i,-0.00055335-0.00066099i,-0.00057375-0.0010497i,-0.00022401-0.00075769i,0.00056605-0.00047212i,0.00088949+0.00019176i,0.00048009+0.0011176i,4.1341e-05+0.0011413i,-0.00044651+0.00047542i,-0.00012404+0.00043281i,9.3618e-05-2.4514e-05i,3.679e-05-0.00041006i
-0.00058186-0.0012283i,-0.00047512-0.0021797i,-0.00096552-0.0030711i,-0.0016286-0.0020379i,-0.0019708-0.00029345i,-0.0020699+0.00050586i,-0.0016966+7.3442e-05i,-0.00085363-0.00057883i,-0.00024613-0.0010346i,-0.00040254-0.00097711i,-0.00069646-3.0224e-05i,-0.00070465+0.00069488i,-0.00067662+0.0004731i,-8.4565e-05-0.00036659i,0.00012999-0.00095375i,0.0003303-0.0011424i,0.00024619-0.00074231i,-0.00055881+0.00023219i,-0.0004716+0.00041443i,-6.4942e-05+6.3077e-05i,3.2517e-06+0.00010837i,0.00037398+0.00017951i,0.00047153+0.00062329i
-0.00086023-0.0028386i,-0.0013388-0.0023607i,-0.0020929-0.0014849i,-0.0024574-0.00025453i,-0.0020653+0.00083407i,-0.0010409+0.00075312i,0.00031405+0.00011693i,0.00049313+0.00010334i,0.00043917-0.00011226i,0.00049172-5.9347e-05i,0.00015194+0.00010147i,0.00011214-0.00036761i,-4.4923e-06-0.00086031i,8.6066e-05-0.00070461i,0.00022431-0.00013104i,-0.00029831-0.00018841i,-0.00056451+0.00011159i,-0.00066302+3.2447e-05i,-0.00010317-0.00076674i,0.00041901-0.00051912i,0.00037803+9.1431e-05i,0.00031245+0.00018987i,0.00049808+0.0009619i
-0.00025092-0.0026225i,-0.0011968-0.0021069i,-0.001619-0.00063783i,-0.0015199+0.00028348i,-0.0012022+0.00097649i,-0.00053429+0.00065942i,6.5092e-05+0.00034197i,-3.6627e-05-5.846e-05i,-0.00020036-0.00071378i,-1.1837e-05-0.0006921i,-0.00013138-0.00056366i,-0.00026057-0.00011539i,0.00036616-0.00067359i,0.00036369-0.0016312i,0.00017236-0.001422i,-1.0513e-05-0.00050673i,-0.00043362+0.00025795i,-7.6642e-05-2.9169e-05i,0.0003973-4.7055e-05i,0.00020165-0.00052418i,9.6877e-05-0.00059895i,0.00049949+0.00063959i,0.00051989+0.00081911i
-0.0006532+0.00023477i,-0.0015116+0.00020198i,-0.0028601+0.00011962i,-0.00299+0.00019236i,-0.0015802+0.00066883i,-0.00033644+0.00024177i,-0.00035671-0.00032836i,-0.00069927-0.00027998i,-9.3401e-05-0.00041604i,0.0002403-0.000107i,0.00038824+0.00013341i,0.0003959+5.828e-05i,5.0522e-05+0.00018113i,-0.00023272+0.00010288i,-0.00037792-6.8279e-05i,0.0003167-0.000245i,0.00010255-0.00052523i,-0.00024211-0.00045853i,-0.00025706+1.6413e-05i,-0.0004066+0.00010178i,-0.0011972-5.0583e-05i,-0.0014454+0.00059342i,-0.00060271+0.00060354i
0.00055949+0.0017161i,0.00087524+0.0011274i,0.00050307-0.00020324i,-0.00028096-0.00040757i,-0.00074139-0.00046606i,-0.0010054-0.00042123i,-0.001045-0.00022585i,-0.00075933-0.00048703i,-0.00062282-0.00043686i,-0.00015129-0.00017548i,-0.00012385-0.00015113i,-0.00052752-0.0003959i,-0.00010829-0.0011676i,0.00033894-0.0012097i,-1.8607e-05-0.00034388i,-0.00051189+0.00038087i,-2.9624e-05+0.00076998i,0.00028033+0.00021422i,0.00016587-0.00054611i,5.835e-05+0.00031029i,-0.00021845+0.0013882i,-0.00011184+0.0010209i,1.0282e-05+0.0010238i
-0.00016372-0.00013126i,-0.00012093-0.00016043i,4.8174e-05+0.00018428i,0.00010312+0.00048672i,0.00056422+0.0011439i,0.00036109-0.0003135i,-0.00066939-0.0015468i,-0.00089715-0.00099251i,-0.00020678-0.00048347i,0.00072867-0.00017287i,0.00077559-0.00092048i,0.00010311-0.0018772i,0.0002667-0.0011695i,0.0008332-0.00013284i,0.0003877+7.2195e-05i,-0.00081636+0.00012678i,-0.0011806+0.00046234i,-0.00033135+0.00062949i,-9.0873e-06+0.0001322i,-0.0005521+9.7401e-05i,-0.00096053+0.00014542i,-0.00039886+2.7873e-05i,-0.00026922-0.00015482i
0.0012191-0.00031858i,0.00095155-0.00042349i,0.00037984-0.00015466i,-0.00090421+0.00023898i,-0.0012043+0.00060048i,-0.0010469+0.0014075i,-0.0011333+0.0009828i,-0.00070579-0.00022556i,-0.00030933-0.00056243i,0.00013349-0.00030096i,0.00037804-0.00039702i,0.00039245-0.00060983i,0.00043314-0.00055654i,-0.00014072-0.00059318i,-0.00047409-0.0012759i,0.00047272-0.0012205i,0.00067294-0.00054256i,0.00037872-0.00042233i,0.00023173+0.00021758i,0.00049153+0.0012564i,0.00050707+0.00081652i,0.00011815+9.7407e-05i,0.000526-7.1883e-05i
-0.00078233-0.00075097i,-0.0015252-0.0019636i,-0.0021573-0.0020684i,-0.0015483-0.00086604i,-0.00028523+0.00066908i,8.54e-05+0.0010614i,-0.00081129+0.00053211i,-0.00092592-0.00018987i,0.0001604-0.00081772i,0.0006566-0.00038039i,0.0007977-0.00032953i,0.0011116+0.00014961i,7.5326e-05+0.00082436i,-0.00091333+0.00039008i,-0.00069413-0.00060402i,-8.4058e-05-0.00079141i,0.00012399-0.00069734i,-4.5807e-05-0.00049037i,-0.00010195+0.00024218i,-0.00052796+0.00088255i,-0.00052294+0.00063978i,-0.00016872+7.0331e-05i,-0.00028284-0.00031131i
-0.0025044-0.0018055i,-0.0036251-0.0017618i,-0.0033864-0.0010406i,-0.0021183+0.00013171i,-0.0010558+0.0011968i,-0.00061422+0.0012226i,-0.00092885+6.8429e-05i,-0.00082285-0.00066347i,-0.00019384-0.00012825i,-0.00032095-0.00021986i,-0.00044379-4.5628e-05i,-0.00055649-0.000417i,-0.00029761-0.00092851i,-7.3568e-05-0.00065349i,-2.9098e-05-0.00025957i,8.7758e-05+7.1484e-05i,-0.00013313-0.00021219i,-0.00022239+1.6328e-05i,-7.5462e-05+0.00024094i,-0.0004674+0.00023683i,5.0848e-05+0.00010434i,0.0012081+0.00049235i,0.0011306+0.00048384i
0.00090864-0.001526i,-0.00016239-0.00062049i,-0.0011269+0.00034171i,-0.0012837+0.00082795i,-0.001264+0.00051399i,-0.00074686+0.00034973i,-0.00057325-0.00011617i,-0.0010493-0.00073126i,-0.001296-0.0010052i,-0.0012091-0.00095836i,-0.0006323-0.00066678i,-0.0003838-0.00059393i,-0.00041299-0.00074494i,-0.00024609-0.00075477i,-0.0004782-0.00077172i,-0.0006764-0.00054218i,-0.0006687-3.4836e-06i,-0.0006414-0.00033719i,-0.00051746-0.00017803i,-0.00043414+0.00035842i,-0.0001036+0.00061688i,0.00018436+0.0007477i,0.00017418+0.00054799i
0.00087139+0.0013994i,0.0010898+0.0012691i,0.00035142+0.00090067i,-0.00013737+0.0012014i,-0.00065226+0.0010622i,-0.00057405-0.0006341i,-0.00040615-0.0018505i,-0.00066599-0.00096279i,-0.00048868-0.00011778i,5.8346e-05+0.00024072i,0.001017+0.00028833i,0.00131+0.00010363i,0.00068567-0.00020655i,0.00075728-0.00055174i,0.00096104-0.00020164i,0.00030988-0.00034422i,-0.00016839-0.0011461i,-0.00039223-0.00096218i,-0.00030631-0.00030542i,0.00052744-0.00032344i,4.2641e-05-0.0008864i,-0.00019502-0.0012333i,0.00067309-0.0014288i
-0.001952-3.1911e-05i,-0.0013334+0.00022825i,-0.0011409+0.00070626i,-7.6978e-05+0.0011564i,0.00075111+0.001664i,0.00019571+0.0012211i,-0.0010521-4.1909e-05i,-0.0011933-0.0009213i,1.6054e-05-0.00068604i,-0.00044431-0.00025919i,-0.0013752-0.00028581i,-0.0013811-2.5612e-05i,-0.00066766-0.0001679i,-0.00011207-0.00067389i,0.00010277-0.0003302i,0.0004618+0.00017959i,0.00042219-2.9802e-05i,4.216e-05-0.00039053i,-0.00065029-0.0010777i,-0.00058228-0.0011464i,-0.00050301-0.00032996i,-0.00055915-0.0001731i,6.8771e-05-0.00066375i
0.0010732-0.0013558i,0.00061815-0.0014712i,0.00012558-0.0010319i,3.8005e-05-0.00054228i,-0.00032647-0.00053661i,-0.00060823-0.00078103i,-0.001039-0.00055772i,-0.0007856-0.00039924i,-0.0003749-0.00035356i,-0.0001881-0.00026975i,-0.0002862-0.00035566i,-0.00050336-0.00064629i,-0.00022303-0.00057361i,4.1484e-05-0.00024892i,-9.7779e-05+0.00055275i,-0.00012665+0.00050001i,0.00012645-0.00013904i,0.00010067-0.00014077i,-0.00046999-0.00014496i,-0.0004364-0.00045555i,0.0006234-0.00012301i,0.0009641+0.0007343i,0.0010995-3.0936e-05i
0.00076715+0.00028048i,0.0013319-4.8048e-05i,0.00099877-0.00032463i,0.00044377-0.00073918i,-0.00010125-3.6866e-05i,-0.00056361+0.00033857i,-0.00066283+0.00040528i,-0.00015939+0.00017651i,0.00010612-0.00050336i,0.00061377-0.00029823i,0.00048617-9.5819e-05i,-0.00012135-0.00036425i,0.00068709+8.2356e-05i,0.001156-7.8817e-05i,0.00050949-0.00024986i,-0.00042468+0.00058935i,-0.00058689+0.00079584i,0.00015317+0.0007128i,0.00013197+0.00074518i,-0.00024073-7.0125e-06i,-9.3481e-05-0.00068077i,-0.0009826+0.00023799i,-0.00096238+0.001253i
0.00041521-0.00062696i,-0.00020202-0.0020954i,-0.0010709-0.0023568i,-0.0010117-0.0012721i,-0.0011882-0.00081022i,-0.00098251-0.00025483i,-0.0009163+0.00022428i,-0.0010344-0.00016925i,-0.00069302-0.00031523i,-0.00017069-6.4866e-05i,-0.00013449+0.00062496i,0.00033285+0.00052214i,0.00056789-0.00028848i,0.00064105-0.00089643i,0.00016265-0.0006334i,-1.8509e-05-0.0010345i,0.00052909-0.001264i,0.00095323-0.0004551i,0.00030155-0.0001704i,-0.00051756-0.00088969i,-9.5688e-05-0.0011483i,7.4147e-05-0.00051265i,0.00014802-0.00035557i
-0.00033833+0.00065344i,-0.00040922-0.0001259i,-0.00088178-0.00085625i,-0.0017262-0.00054675i,-0.0010207+0.00031851i,-0.00034592+0.00066259i,-0.0010129-0.00049953i,-0.0010755-0.00099855i,-0.0010258-0.00057526i,-0.0010098+8.8588e-05i,-0.00025147-0.00028712i,0.00044536-0.00050886i,-0.00042679+0.00020305i,-0.00055178-0.0004259i,2.3196e-05-0.0011285i,-0.00031306-0.00089312i,-0.00059531-0.0007646i,-0.00067564-0.00037987i,-0.0010138+5.5999e-05i,-0.0012355-0.00038844i,-0.00066788-0.0012494i,0.00056948-0.0015269i,0.0010909-0.0009272i
-0.0024008-0.00063764i,-0.0024473-0.0002548i,-0.0024815-0.00012183i,-0.0015849+0.0012502i,-0.00037338+0.0024948i,5.8655e-05+0.0012373i,0.00033753+3.8519e-05i,-0.000108-0.00010109i,-0.00042487-0.00034682i,2.5179e-05+0.00015753i,-1.8515e-05+0.00025582i,0.00011821-0.00047579i,0.00052816-0.0010342i,9.3547e-05-0.00058798i,-0.00031535-0.00036197i,0.00012633-0.00049877i,0.00039859-0.00024306i,0.00072475-0.00036656i,0.0012049+0.00027109i,0.00073577+0.00061338i,0.00023927+0.0010096i,-0.00040427+0.0010861i,-0.00041911+0.0011157i
0.00069072+0.0006204i,0.00099555+9.0719e-05i,0.00043477-0.00073052i,0.00068448-0.00069228i,0.0007712-0.00041932i,0.00029562-0.00023424i,-0.0004203-0.00052174i,-0.00034237-0.00061153i,-0.00018104-0.00028168i,0.00028545-0.00036422i,-0.000117-0.00012882i,-0.00086772-0.00019792i,-0.00058588-0.00043935i,-0.00057985-3.3204e-05i,-4.2713e-05-0.00038587i,0.00054855-0.0006396i,-0.00016718-0.00070725i,-0.000951-0.00046106i,-0.00090607-0.00033888i,-0.00047677-0.00080595i,0.00015496-0.00093744i,0.00037705-0.00020729i,0.00035151-0.00023875i
-0.00092114+0.00057407i,-0.00040515+0.00068314i,-0.00061194+0.00038033i,-0.00093649+0.00076884i,-0.00037402+0.00020124i,0.0001644-0.00096959i,-0.00059741-0.0012762i,-0.00086305-0.0013998i,0.00017677-0.0014166i,0.00040873-0.0011584i,5.416e-05-0.00075915i,-0.00012588-0.0003376i,-0.00026098-0.00032434i,0.00014653-0.00063465i,0.00078567-0.00059119i,0.00018366-0.00027066i,-0.00067585-0.00061593i,-0.00021533-0.00062975i,0.00071533-6.632e-05i,0.0009985-0.0001801i,0.000357-8.5094e-05i,-6.2265e-05+0.00080481i,-4.3399e-05+0.0010724i
0.00033783-0.0012933i,-0.00015342-0.0013619i,-0.0009178-0.0012402i,-0.0011564-0.00091284i,-0.0011191+0.00014662i,-0.0013227+0.00066257i,-0.0014867-0.0001772i,-0.0010537-0.00064468i,-0.00054047-0.00047604i,-0.00038548-0.00045686i,-0.00035671-0.00030933i,-0.00056103-0.00027015i,-0.00049975-0.00071591i,-7.6037e-06-0.00062567i,0.00041531+0.00015019i,-9.8284e-05-0.00011519i,-0.0013772-0.00032269i,-0.0016899-0.00045798i,-0.001363-0.00048228i,-0.0010865-0.00057337i,-0.0006598-0.00033359i,-0.00065479-0.00023435i,-0.00068334-0.00051891i
-5.8882e-05-0.0012032i,-0.002379-0.0016056i,-0.0032542-0.00125i,-0.0024925-9.0883e-05i,-0.0012785+0.00053415i,-0.00019379+0.00095381i,-0.00011864+0.00029564i,-0.00062842-0.00065768i,-0.00079492-0.00056178i,-0.00058987-0.00017303i,-6.2329e-05-0.00016453i,-0.00018591-0.00098012i,-0.00028095-0.00105i,-0.00030681-0.0002101i,4.0914e-05-0.00011115i,0.00070634+2.5422e-05i,0.00029008+2.5134e-05i,-5.3396e-05+4.7918e-05i,0.00030992-0.00015245i,0.00057899+0.00019809i,0.00075434+0.00029306i,0.00018019-0.00065864i,1.058e-05-0.00085457i
