0.0014732+0.0019834i,0.00054533+0.0018427i,-0.00027611+0.0010166i,-0.00046492+0.00029476i,-2.4373e-05+6.9192e-05i,-0.00037108+0.00016946i,-0.00094363+0.00090035i,-0.0005975+0.0010484i,-0.00035207+0.00029308i,-0.00063345+0.00035572i,-0.00075411+0.00090624i,-0.00010701+0.00069908i,0.00089905-0.00011623i,0.0012847+8.5006e-05i,0.00089711+0.00063788i,0.00083481+0.00086057i,0.00031096+0.00069931i,0.00022355+0.00022589i,0.00032403+0.00033257i,-4.5302e-05+0.00010204i,0.00029854+0.00021276i,0.00046567+0.00078981i,1.3951e-05+0.0012135i
-0.0018161-0.0025416i,-0.0023427-0.0021029i,-0.0015328-0.00090273i,-0.00048139+0.00014042i,0.00034181+0.00092112i,0.00076922+6.8292e-05i,0.00089798-0.00012357i,0.00034465+0.00047286i,-0.00025767+1.3103e-05i,-0.00070864+0.00044162i,-0.0015468+0.0017722i,-0.0012828+0.0013641i,0.00033631+0.00058877i,0.00090961+0.00064706i,-4.8947e-05+0.00031863i,-0.00030252+0.0011446i,-0.00043715+0.0017765i,-0.00076833+0.00011383i,-0.00045512-0.0013019i,-0.00015503-0.0010465i,-0.0005403-0.0003936i,-0.00052419-0.00023661i,-4.3606e-05+0.00010199i
-0.0021654-0.0023824i,-0.0019698-0.0027963i,-0.0011896-0.0031916i,-0.0013165-0.002174i,-0.0014454-0.00031489i,-0.00087231+0.00086894i,-0.00029618+0.00050459i,1.5908e-05-0.00027052i,-0.0012101-0.00032884i,-0.0023816+0.00013328i,-0.0016212+0.0010312i,-0.00061848+0.001997i,-0.000187+0.0012634i,-8.9065e-05+0.0010113i,-0.00015899+0.0020547i,-0.00011118+0.0021361i,0.00022399+0.0011485i,0.00051072+0.00077936i,-0.0002205-9.6107e-05i,-0.00061509-0.00080595i,-0.00013333-0.00053975i,0.00013384-0.00063271i,0.00056043-0.00031602i
-0.00067405+0.00032935i,-0.00012483+0.00095869i,0.00032112+0.0018527i,0.00036702+0.0021202i,0.00053854+0.00086254i,0.00037406-0.00059807i,-0.00011692-0.0010171i,-0.00012081-0.00058464i,0.00020361-0.0004646i,-0.00037702-0.00058653i,-0.0009831+1.5188e-05i,-0.0003316+0.0010582i,-0.00019336+0.0013407i,-0.00073818+0.0011252i,-0.0011106+0.00060373i,-0.001058+4.1297e-05i,-0.00049988-0.00087147i,-0.00048587-0.0016814i,0.00024383-0.00061413i,0.00042061+0.0003148i,0.00035032+7.1853e-05i,0.00068939+8.4734e-05i,0.00019916+0.00041916i
0.00084185-0.00055081i,-0.0001135-0.00010004i,-0.00091-0.00037483i,-0.0012532-0.00032411i,-0.00070896+0.00082144i,-0.00031088+0.0005755i,-0.00065832+0.00016349i,-0.00080003-0.00011088i,-6.5536e-05-0.00024908i,-0.00018927+0.00096288i,-0.0010865+0.0014065i,-0.00095643+0.001401i,-0.00071137+0.00096754i,-0.00019046-5.5551e-05i,0.00030085-0.00014929i,8.0798e-05+3.0311e-05i,0.00015311-0.00066343i,-6.6419e-05-0.0010433i,1.3081e-05-0.00026217i,0.00045607+2.1821e-05i,0.00054084-5.2101e-05i,0.00056441-0.00043539i,0.00049565-0.00049782i
-0.00091483-0.0020787i,-0.00060114-0.002501i,-0.00092383-0.002459i,-0.00043688-0.0017234i,-0.00099763-0.0013682i,-0.0011771-0.00087937i,0.00017154-0.00037328i,-8.345e-05-0.00010179i,-0.0012416-0.00016046i,-0.00080631+0.00022346i,-0.0007611+0.0010397i,-0.00079033+0.00086723i,-0.00060067+0.00067578i,-0.00090979+0.0012029i,-0.00082564+0.00076915i,-4.8956e-05+0.00042254i,0.00028419+0.00054077i,6.8952e-06-0.00020662i,0.00013987-0.0002268i,7.9949e-05-5.2406e-05i,-0.00045854-0.00093717i,-0.00045855-0.0012565i,6.939e-05-0.00047284i
0.00064533-0.00054834i,0.00010432-0.00058768i,-0.0011082+4.3068e-05i,-0.001688+0.0012709i,-0.00066888+0.0012768i,-0.00014699+0.0010225i,-0.00036874+0.00033712i,-0.00037672-7.7144e-05i,8.7215e-05-4.4058e-06i,-0.00049441+0.00057721i,-0.00076288+0.0012083i,-0.00030175+0.0013928i,4.561e-06+0.0011985i,0.00039488+0.00098447i,0.00055582+0.0010941i,-0.00036358+0.00109i,-0.00093387+0.00012678i,0.00020315-0.0010673i,0.00044239-0.00048623i,-0.00050226+0.0002492i,-0.00077637-0.0001643i,-0.00063042-0.00059559i,-0.00017914-0.00043974i
0.00060184+0.0017712i,0.0019741+0.0015879i,0.0036375+0.0016463i,0.0027731+0.0012938i,0.0010303+0.0002644i,-0.00011721-0.00067417i,-0.00043455-0.00067912i,0.00026035-0.0004464i,0.00074069-0.00091834i,-0.00033142-0.0019475i,-0.00039263-0.00095674i,0.00046475+5.624e-05i,0.00053509-0.00029263i,-0.00036498-0.00055196i,-0.00069172-0.00080001i,-0.00018419-0.00093206i,-2.9846e-05-0.00053762i,-0.00026052-0.00012653i,-0.00013247-0.00048856i,0.00011308-0.00074534i,-0.00023418-0.00034542i,-0.00067408+1.7692e-05i,-0.0010316-0.00018566i
0.0002383-0.00030509i,0.0015613+0.00063105i,0.00082063+0.0014475i,0.00022461+0.00029106i,0.00034346-0.0013262i,0.00020474-0.00062334i,-0.000748+0.00030803i,-0.0011173+0.00066553i,-0.001405+0.00022996i,-0.0012877+0.00067877i,-0.00041622+0.0014747i,1.4055e-05+0.0011338i,0.00011587+0.00053323i,0.00027564-1.9167e-05i,-0.00012893+9.4801e-06i,-0.00015807-0.00019336i,0.0008856-0.00042281i,0.00083801-5.753e-06i,0.00025803+0.00045638i,-0.00010037+0.00043422i,-0.00012325+8.132e-05i,3.272e-05-0.00017101i,0.00048574+0.0002043i
-0.0017375+0.00043341i,-0.0013684+0.0012996i,-0.0022175+0.00054615i,-0.0015886-0.00045727i,0.00023199-0.00045823i,0.00051871-0.00052452i,-0.00034479-0.00047873i,-0.00079119-0.00043487i,-0.00093087-4.2466e-05i,-0.0011943+0.00065409i,-0.0011061+0.0016051i,-0.00026383+0.0023537i,0.00030352+0.0015495i,5.5101e-05+9.4502e-05i,0.00040871-0.00032173i,0.00090743-9.721e-06i,0.0010031+0.00021218i,0.00044903-0.00046006i,-1.4864e-05-5.1475e-05i,-0.00031885-7.0305e-05i,-0.0005635-0.00074207i,-0.00076189-0.00025663i,-0.00060481+0.00039404i
