-0.0052415-0.0026131i,-0.0042002-0.001927i,-0.0041088+0.000362i,-0.0025725+0.0011873i,0.00014743+0.0013554i,0.0002213+0.00050587i,-0.0011712+6.5701e-05i,-0.00015888+0.0012685i,0.00135+0.0017157i,0.0015192+0.00074505i,0.00117+0.00014545i,4.7605e-05-0.00013154i,0.00036305-0.00088889i,0.0012931-0.0005843i,0.00087548+0.00051098i,0.00050434+0.000613i,-0.00049719+4.3948e-05i,-0.0012949+8.6431e-06i,-0.00055898+0.00062978i,-1.8643e-05+0.00078134i,-0.00027139+0.00060866i,-0.00041461+0.00039133i,-0.00066732+0.00011341i
-0.00098271-0.002829i,-0.0017598-0.0021652i,-0.002573-0.0012585i,-0.0020466+0.00067284i,-0.0011335+0.0010049i,-0.00046722+0.00014777i,0.00011965+0.00033489i,5.0658e-05+0.0007283i,-0.00013501+0.00060797i,4.919e-05+0.00012385i,-0.00021913+0.00022552i,-0.00044625+0.00064601i,-0.00039925+0.0010232i,-0.00028455+0.00095426i,0.0003309+0.00059934i,0.0001129+0.00019156i,-0.00050231+7.0527e-05i,-0.0008135-0.00021714i,-0.00051449+2.587e-05i,0.00012596+0.00089417i,6.726e-05+0.00070556i,-0.00012939+8.054e-05i,-0.00051261+0.00019482i
-0.00046957+0.00030929i,-0.0004624-0.00022114i,0.00055614+0.00091386i,0.0019028+0.00037887i,0.0026236-0.0010832i,0.0021242-0.0015358i,0.001132-0.001313i,0.00050361-0.00058899i,-6.232e-05+6.0283e-05i,-0.00037334-0.0004118i,-0.00025525-0.00087153i,-0.00024954+7.9033e-05i,0.00049827+0.00080007i,0.00071016+0.0009102i,0.00031665-9.5458e-05i,0.00061789-0.0004422i,0.00091356-0.00010813i,0.00074683-1.7106e-06i,-0.00010478-0.00048316i,-0.00049258-0.00050639i,1.3019e-05+0.00011667i,0.00014118+0.00021655i,0.00028883+0.00020317i
-0.00021455+0.001032i,-0.00084007+0.00023127i,-0.00090193-0.0010467i,-0.00065935-0.0012983i,7.3479e-05-0.00067031i,-6.5045e-05-0.00032938i,-0.00017545-0.00011483i,0.00053647+0.00017624i,0.00050727+0.00028348i,-0.00028984-3.7287e-07i,-0.00067967-0.00016715i,-0.00074948-7.1458e-05i,-3.8659e-05+0.00052987i,0.00023515+0.00029423i,-0.00014202-0.0007871i,2.6213e-05-0.00075881i,0.00071276-0.00036841i,0.00023324+0.00011591i,-4.8692e-05+0.00022513i,0.00017382-6.5441e-06i,-0.00041904-0.00015799i,-0.00025566+2.716e-05i,0.00046622+0.00069942i
0.0015288+3.6404e-06i,0.0017991+0.00042978i,0.0017256+0.00025155i,0.001429-0.00018045i,0.0011255-0.00043659i,0.00051853-0.00029716i,0.00056605-2.4924e-05i,0.0012141-0.00012508i,0.001131+0.00029871i,0.00046551+0.00067337i,-2.5951e-05+0.00039185i,-0.00070229-0.00026933i,-0.00085766-0.00012953i,-0.00053449-0.0005133i,0.00015568-0.00094981i,0.00015108-0.00021973i,-0.00023556-9.1961e-05i,-0.00028909-7.3147e-05i,5.014e-05+0.0005296i,-0.00012589+0.00047582i,-0.0002509-0.00030581i,0.00060038-0.0012924i,0.00080051-0.0017554i
0.00083651+0.00074088i,0.00036647+0.00087994i,-0.00020106+0.00065769i,-0.00079165-0.00032149i,-0.00073759-0.0011682i,-0.00045752-0.0010385i,-0.00013582-0.00023069i,-0.00017544+0.00037265i,-0.00064234+0.00039617i,-0.00064594-0.0001065i,-0.00018996-0.00057973i,-1.8265e-05-0.00021122i,-0.00076101-8.9793e-05i,-0.00046802-0.00064408i,1.3296e-05-0.00099278i,-0.00037615-0.00031926i,-0.00026699-0.00031875i,-2.4055e-05-0.0002176i,0.00016678+0.00033857i,0.00014975+0.00039149i,0.00019726+5.7522e-05i,0.00043939-0.00021334i,-0.0003416-0.00021607i
0.0011083-0.0021601i,0.002164-0.0019739i,0.0017857-0.0012294i,0.001051-0.00067884i,0.00073376-0.00049806i,5.7535e-05-2.6352e-05i,-0.00064738+0.00052458i,-0.00077043+0.0010322i,-0.00055547+0.00031986i,-0.00052345-0.00046576i,-0.00037357-0.00026155i,-0.00022221+0.00025231i,-0.00045529+0.00031743i,-0.00072245+0.00043566i,-0.00028204+6.7372e-05i,0.00026131+0.00017456i,0.00023351-0.0002815i,0.00037034-0.00037609i,0.00015601+8.6561e-06i,0.00024917-0.00015499i,6.1938e-05+0.0004507i,-0.00043743+0.00079311i,-0.00051864+0.00090598i
-0.0025467-0.0010529i,-0.0041756-0.0010246i,-0.0036318+0.00030401i,-0.0017012+0.0014063i,-0.00032107+0.0011884i,0.00040504+0.00013813i,0.00036866-8.0868e-05i,7.5285e-05+0.00079867i,-0.00062707+0.0010573i,-0.0011019+0.00079188i,-0.00027322+0.0010175i,0.00076038+0.00092688i,0.00044982+0.00017227i,0.0004154-0.00031849i,0.00088519+9.595e-05i,0.00095132+0.00051297i,0.00075751+0.00047512i,0.0005124+0.00016744i,-9.9295e-05+0.00020429i,-0.0007152-0.0001751i,-0.00070776-0.00038908i,-0.00011758-9.0909e-05i,0.00026605-3.3305e-07i
-0.00056467+0.00015866i,-0.0011338-0.00058283i,-0.00082521-0.00082218i,-0.00032184-0.00066244i,-0.00011673-0.00095197i,0.0001494-0.00072998i,0.00024893+8.9093e-05i,0.00063539+0.00022137i,0.00061863+5.931e-05i,0.00015688+3.4592e-08i,0.00026788-0.00010464i,0.00061519-6.338e-05i,0.00080809-0.00049258i,0.00047801-0.00077938i,0.00086584-0.00052879i,0.0014511-0.00029356i,0.0011475+0.000222i,0.00041412-0.00023206i,0.00012986-0.00064593i,0.00027214+0.00016865i,0.0010307+0.00011504i,0.00069838-0.00064347i,4.7368e-05-0.00086374i
0.00047944-0.00073554i,0.00033521-0.00011503i,0.00088893+0.00071606i,0.00083711+0.001186i,0.00043829+0.00093192i,0.00019498+0.0003547i,-0.00070872+1.5359e-05i,-0.00088475-0.00040866i,-0.00030677-0.00076351i,-0.00024948-0.00044281i,-0.00020473+8.9053e-05i,8.9322e-05+3.0726e-05i,-0.00059165+2.1983e-05i,-0.00065726+1.368e-05i,-0.00048326+0.00025572i,-0.00090775+0.00063804i,-0.0011646-0.00024818i,-0.00053754-0.00062218i,0.00017012-2.9057e-06i,1.3163e-05+0.00083861i,-0.00025764+0.00092132i,0.00039388-2.2403e-05i,0.00059168+0.00023957i
-0.0017704+0.0014292i,-0.0014917-1.2482e-05i,-0.00032501-0.00020351i,0.00080895+0.00054235i,0.0016421+0.0012746i,0.001836+0.00058863i,0.00096946-0.00021155i,0.00017563+0.00018505i,-0.00011142+0.00074109i,-0.00077427+0.00036192i,-0.00050468-0.001088i,-6.7455e-05-0.0013736i,-0.00033708-0.00094509i,-0.00014986-0.00096452i,-0.00035829-0.00084222i,-7.8449e-05-0.00028231i,3.8574e-05-0.00036201i,-0.00074503-0.00038568i,-0.00072802-0.00012488i,9.6718e-05+0.0003835i,0.0004831+0.00029056i,0.00040539-0.00014727i,-0.00029929-3.6998e-05i
