-0.0052415-0.0026131i,-0.0042002-0.001927i,-0.0041088+0.000362i,-0.0025725+0.0011873i,0.00014743+0.0013554i,0.0002213+0.00050587i,-0.0011712+6.5701e-05i,-0.00015888+0.0012685i,0.00135+0.0017157i,0.0015192+0.00074505i,0.00117+0.00014545i,4.7605e-05-0.00013154i,0.00036305-0.00088889i,0.0012931-0.0005843i,0.00087548+0.00051098i,0.00050434+0.000613i,-0.00049719+4.3948e-05i,-0.0012949+8.6431e-06i,-0.00055898+0.00062978i,-1.8643e-05+0.00078134i,-0.00027139+0.00060866i,-0.00041461+0.00039133i,-0.00066732+0.00011341i
-0.0022306-0.0005517i,-0.0037988-0.00036994i,-0.002883+0.00048164i,-0.0009028+0.00090237i,0.00093823+0.0011379i,0.00088428+0.0012105i,-0.00047889+0.00087389i,-0.00042853+0.00098732i,0.00028482+0.00024513i,0.00021681-0.00073612i,0.00069956-0.00061184i,0.0010868-0.00030943i,0.00061217-0.00047401i,0.00071474-0.00076957i,0.0010454-0.00065529i,0.00023818-0.0003436i,-0.000199-0.00024337i,-0.00010265+5.12e-05i,0.0001402-0.00021174i,-1.1182e-05+0.00010707i,-0.00037187-0.00017958i,-0.00018738-0.00075527i,-0.00031622-0.00098921i
0.00090912+0.00081133i,0.00092456+0.00017063i,2.3867e-05+0.00073691i,-1.2243e-05+0.00075291i,0.00108-0.00028863i,0.0017493-0.0014214i,0.0011125-0.0016075i,0.00071371-0.00071071i,0.00068168+0.00069376i,0.00055049+0.0011864i,0.00076502+0.0012523i,0.00090411+0.00043798i,0.000386-0.00022854i,0.00039215-4.2956e-05i,0.0001681+0.00020143i,-0.00050546+0.00039064i,-0.0010581+5.2034e-05i,-0.0014423-6.0852e-05i,-0.0015713-0.00030132i,-0.0012747-0.00080561i,-0.00078053-0.0002278i,-0.00029448+0.00037362i,-0.00037432-3.0335e-05i
-0.0003095+0.00068305i,-6.7562e-05+0.0011614i,0.00013826+0.00087808i,7.3423e-05+0.00061315i,-0.00019371+0.00017005i,-0.00044606-0.00047452i,-0.00030998-0.000251i,0.00010555+0.00072549i,0.00041662+0.00076183i,-6.1065e-05+0.00036947i,-0.00031595-0.00010845i,-0.00040945-0.00052252i,-0.00087869+0.00023354i,-0.00055699+0.00037858i,-9.3187e-05-0.00038728i,0.0005587-0.00041905i,0.00033399-0.00048758i,-0.00030986-0.00091758i,-0.00058139-0.0008882i,-3.7219e-05-0.00014747i,0.00038581+0.00013979i,0.00026401-0.00047582i,0.00079025-0.00065673i
-1.5007e-05-0.0013611i,-0.00076737-0.0012382i,-0.0018388-0.00057003i,-0.0015629-0.00031384i,-0.00068858+4.2913e-05i,-0.00023001+0.00013198i,-0.00010317-0.00053456i,-0.00017454-0.00042061i,-6.9932e-05-0.00013381i,0.00063983-0.00042774i,0.0014291-0.00050608i,0.0011418-0.00053184i,0.00067062-0.00080161i,0.00055435-0.0010344i,0.00021378-0.00043589i,-6.7379e-05+0.00019398i,0.00043111+9.2279e-05i,0.00021826-0.00046411i,-0.00023661-0.00043947i,-0.00074786-8.1522e-05i,-0.00092346-9.6796e-05i,-0.00021056-0.00057546i,0.00026753-0.00064107i
-0.0015518-0.00066706i,-0.0010372-0.0013409i,-0.00077421-0.0002861i,0.00016603+0.00097833i,0.0012408+0.0011656i,0.001088+0.00075312i,0.0006512+0.00051788i,0.00018114+0.00025821i,-0.00030771+0.00011839i,-0.0003526+0.00064167i,-2.2502e-05+0.00036773i,0.00078333-0.00017773i,0.0013524-0.0005661i,0.00028009-0.0009363i,-0.00070011-0.00063178i,7.5103e-06-0.00062486i,0.00019465-0.00038004i,-0.00057223+0.0002286i,-0.0007145+0.0005794i,-0.00073181+0.00066584i,-0.00049691+0.00059807i,0.00033594+0.00014949i,0.00016673-8.5204e-06i
-0.0018099-0.0001373i,-0.00036509-0.00044421i,-0.00038666-0.00023595i,-0.0012376-5.5882e-05i,-0.00082382-1.1897e-05i,0.00060527+0.00019459i,0.00039312+0.00028029i,-0.00065045+0.00012209i,-0.00090551-0.00050666i,-0.0010922-0.00073033i,-0.0010381-0.00020355i,-0.0007179+0.00029832i,-0.00056698+3.6331e-05i,-0.00042374+0.00019327i,-2.4321e-05+0.00055716i,0.00087784+0.00071263i,0.00047108+0.00062664i,-0.00032492+8.6012e-05i,-0.00040437-0.00076533i,-0.00062671-0.0012097i,-0.00031185-0.0011392i,0.00016221-0.00086816i,0.00085246-0.00040497i
0.00045477-0.0030104i,-0.0015738-0.0035907i,-0.0029011-0.0034617i,-0.0027272-0.0011064i,-0.0014009+0.00034256i,-0.00043622+0.00041514i,-0.00056539+0.00047504i,-0.00084822-1.2026e-05i,-0.00053523-0.00080975i,-0.00059769-0.00092107i,-0.00047837-0.00046055i,0.00055366-0.0001005i,0.00023287-0.00022298i,-0.00060645-4.7565e-05i,-0.00071215+0.0007345i,-2.5401e-05+0.000434i,0.00059322-0.0014557i,0.00020163-0.0017098i,-0.00025998-0.00088714i,0.00014754-0.00018471i,-8.3397e-05+0.00037433i,-0.00026302+0.00034659i,-0.00018203+0.00028016i
-0.0025205+0.0016606i,-0.0015578+0.0025831i,-0.00072501+0.0037456i,0.00084577+0.0034118i,0.0024086+0.0021462i,0.0020357+0.0014457i,0.0011682+0.0014611i,0.00092636+0.0016394i,0.00088056+0.0012248i,0.00080299+0.0011535i,0.00065551+0.00026611i,0.00080692-0.00073358i,0.00063463-0.00057249i,-9.9244e-05-9.8975e-05i,-0.00019461-5.8169e-05i,0.00043985-0.00018487i,0.00025008+0.00048398i,-0.00014396+0.00060763i,0.00019738-0.00017927i,0.00011244+8.2894e-05i,-0.00020887+0.00017764i,3.2181e-05+0.00019008i,-0.00023319+0.00018327i
-0.002132-0.001541i,-0.00052767-0.00090412i,0.00027797+0.00075804i,0.00028281+0.00080259i,0.0014139+0.00065597i,0.0012749+0.00028637i,0.00025678-0.001371i,-0.00056163-0.0011833i,-0.0007851+0.00053624i,-0.00024594+0.0010505i,3.8278e-05+0.00076815i,-0.00027058+0.00045642i,0.00035066-8.3261e-05i,0.0012002+7.9814e-06i,0.0013159+0.00047113i,0.0012445+0.00026117i,0.00030612+0.00011897i,6.9687e-06+0.00023743i,0.00022852-0.00024952i,0.00057559-0.00074296i,0.00038538-0.00028347i,-0.00010325+0.00076486i,0.00017007+0.00075502i
-0.00082693+0.00046472i,-0.00074824+8.498e-05i,-0.001997-5.2206e-06i,-0.00056756+0.00041869i,0.00090271+0.00098058i,0.00091126+5.5686e-05i,0.00031452-0.00095148i,0.00018902-0.001178i,0.00037188-0.00098881i,0.00048+0.00013553i,0.00017288+0.00043977i,0.00033275+0.0002371i,0.00059411+0.00022476i,0.00039428-9.9245e-05i,0.00052134-0.00072575i,0.00017765-0.0010044i,0.00030791-0.00034173i,0.00040186-1.3276e-06i,-0.00010378-0.00012717i,-9.9364e-05-0.00035109i,0.00024358-4.6581e-05i,-3.6732e-05-8.7128e-07i,-0.00042787-0.0007882i
-0.0029499-0.0021742i,-0.0036088-0.0018463i,-0.0053952+0.00083115i,-0.0030447+0.0023921i,0.0010521+0.0022577i,0.0028288+6.4113e-05i,0.0017827-0.001503i,-1.3832e-05-0.00081033i,-0.00094585+0.00033677i,-0.00036153+0.00048877i,0.00044065-0.00029402i,0.00074419-0.00072138i,0.00098984-0.00045806i,0.00033064+0.0002242i,-0.00063309+0.00065256i,-0.00049838+0.0010311i,0.0001412+0.00033877i,0.0005592-0.00059638i,0.00097622-0.00055015i,0.00063735-0.00019529i,5.7801e-05+0.00013702i,0.00022+0.00068272i,0.0005963+0.0005937i
-0.0058809-0.0044984i,-0.0060083-0.0032239i,-0.007022+0.0019602i,-0.0041816+0.0051805i,0.00051915+0.0053521i,0.002034+0.0040461i,0.00018005+0.0017724i,-0.0010338+0.00057067i,-0.001246+0.001081i,-0.00083158+0.002124i,-0.00054041+0.002487i,0.00030534+0.0014351i,0.0011946-0.00011402i,0.001173-0.00043613i,0.00092692+0.00034967i,0.00098976+0.00085363i,-0.00046444+0.00042452i,-0.0020283+5.0354e-05i,-0.0017062+0.00044941i,-0.00088988+0.00086414i,-0.00012421+0.00081657i,0.00044514+0.00027162i,0.00028582+1.7168e-05i
0.013535+0.0050704i,0.011687+0.003369i,0.010993-0.0064755i,0.0040342-0.010895i,-0.0026279-0.0098247i,-0.003151-0.0060884i,0.00065728-0.0022778i,0.0019971-0.0016086i,0.002264-0.0028282i,0.001273-0.003775i,-0.0022089-0.0033726i,-0.0044695-0.0019109i,-0.0039516+0.00020343i,-0.0026445+8.8808e-05i,-0.0021698-0.0013849i,-0.0018935-0.0017403i,-0.00072881-0.001026i,0.00011169-9.6895e-06i,0.00011815+0.00073685i,0.0001003+0.00091661i,-0.00023723+0.00040043i,-0.00060054+0.00029765i,-0.00090918+0.00067613i
0.00058238+5.1782e-05i,4.3003e-05-0.00070507i,0.00014795-0.00065814i,-0.00061866-0.00083289i,-0.0010459-0.00093954i,-0.002367-0.00012621i,-0.0026139+0.0017243i,-0.00068977+0.0027006i,0.00011421+0.0018428i,-0.00013674+0.00046486i,0.00023363-0.00030695i,0.00038617-0.00060379i,-0.00016962-0.00029778i,-0.00019712+3.467e-05i,0.00021709-0.00055391i,0.00036053-0.0011374i,0.00059773-0.00075488i,0.00013689-0.00089499i,-0.00039694-0.00093897i,0.00014671-0.00064123i,0.00056836+0.00010607i,5.3061e-05-7.4194e-05i,-0.00013645-0.00049056i
0.00126+0.0004715i,0.0023676+0.00010008i,0.0032508-0.00030304i,0.0015615-0.00080453i,0.00038217-0.00097487i,0.00047028+0.00032556i,0.00089798+0.0013158i,0.0011325+0.00068146i,0.00047622-5.892e-05i,-0.00015265-0.00037793i,0.00057988+0.00020934i,0.00039734+0.00063745i,-0.0010466+0.00042133i,-0.0017185+0.00046885i,-0.0016921+0.00020838i,-0.0012694+0.00031398i,-0.00045075-4.2096e-05i,-0.00028268-0.00020581i,1.1211e-05+0.00035035i,-0.00013862+0.00040779i,-0.00017461+0.00033498i,-0.00041877+0.00043908i,-0.00031372+0.00032908i
-8.1454e-06-0.0016397i,0.0002306-0.0024881i,-0.0008234-0.0034587i,-0.0016608-0.0028708i,-0.0016212-0.0014615i,-0.0014751-0.00042787i,-0.001618+0.00067378i,-0.0010748+0.00081882i,-0.00022839-0.000284i,-1.7283e-05-0.0013625i,-0.00067566-0.0014405i,-0.00045447-0.00041943i,0.00023732+0.00026409i,0.00035614-0.00039427i,0.0013097-0.00033429i,0.0015183+0.00053621i,1.1309e-05+0.0012207i,-0.0004976+0.00044583i,-0.00010731-0.00030801i,3.7784e-05+8.9828e-05i,0.00013415+0.00016897i,-0.00047322+0.00038096i,-0.001402+0.00036249i
0.0012405+0.00090439i,4.6116e-05+0.001327i,0.00021314+0.00053025i,0.00038505+0.00043114i,0.00048273+0.0003689i,0.00052079+0.00023052i,-0.00013567+0.00063059i,0.00020876+0.00053681i,0.00029494+6.2086e-05i,1.2191e-05-0.0001841i,-0.00023692-2.637e-05i,-0.0006998+0.00020771i,-0.00037147+0.0003196i,0.00070074+0.00042352i,0.00070476+0.00019646i,0.00018379+0.00028021i,9.5975e-05+0.00025317i,0.00035404-0.00018049i,0.00023107-0.00018118i,-0.00062926+2.5531e-05i,-0.00088582-0.00011986i,-1.2472e-05-0.0001648i,0.00021723+3.5417e-06i
0.00043602-0.00037734i,-0.00011795+0.00060775i,-3.6056e-05+0.0017055i,-0.00039807+0.00080974i,-0.0006243-0.00061858i,-0.00028744-0.00045778i,-0.00018701+0.00014143i,4.5361e-05-0.00011015i,0.00015213-0.00073928i,9.3817e-05-0.0011152i,-0.00031337-0.0011624i,-5.5865e-05-0.0009839i,0.00056893-0.00057441i,0.0004989+2.987e-05i,0.00051266+0.00083405i,0.00040053+0.00021928i,0.0010011-0.0003432i,0.00070493-0.00037523i,-0.00011866-0.0001594i,0.00027449-5.4598e-05i,4.9632e-06-0.00034553i,-0.00086135+7.535e-05i,-0.00025059+5.3991e-05i
0.00072289-0.00031967i,0.00089846-0.00032612i,0.00039562-0.00066633i,-0.00047766+3.2759e-05i,-0.00068282-1.0165e-05i,-0.00040572+0.00011259i,-0.00074842+0.00036712i,-0.00055114+9.0927e-05i,0.00053754+0.00042939i,8.1706e-05+0.00082486i,-0.00063698+0.00048486i,-0.0004873+0.00048104i,-0.00055414+0.00042025i,-0.0001999-7.4425e-05i,0.00060326-0.00046332i,0.00076069-0.00075741i,0.00067498-0.0010172i,0.00076934-0.00084343i,-6.7414e-05-0.00021616i,-0.00080013-8.776e-05i,-0.0010201-0.00035223i,-0.00032337-0.00064787i,5.3989e-05-0.0002148i
-0.00010283-0.0010319i,-5.3212e-05-0.00024172i,0.00044764+6.7687e-05i,0.00053601+0.00045035i,0.00041832+0.0010583i,0.00075029+0.0013236i,0.0005397+0.00072194i,0.00024654+0.00080991i,-0.00030887+0.00093159i,-0.00078044+0.00036367i,-0.00075204+0.00025837i,-0.0010582+0.00043355i,-0.00013286+0.00060653i,0.0011454+0.00014318i,0.001294-0.00046789i,0.00069677-0.0004105i,0.00011286-0.0003825i,0.00029987-0.00059333i,1.3348e-05-0.00082145i,2.9618e-05-0.00045985i,0.00079679-0.0007468i,0.00032217-7.2622e-05i,-0.00091347+0.00097201i
-0.0021157+0.0025164i,-0.0024266+0.0012001i,-0.0012867+0.001012i,0.00043596-0.00055321i,0.0019513-0.0020356i,0.0017237-0.001091i,0.00091618-4.934e-05i,0.00073748+0.00023275i,0.00086864+3.3033e-05i,0.00067995-7.7932e-05i,0.00054927-7.0065e-05i,0.00039461-0.00051066i,0.00022865-0.00073743i,0.00025749-0.00060018i,0.00044375-0.0001214i,-0.00035799-0.00023834i,-0.00079236-0.0009896i,-0.00051447-0.0010183i,-0.00065854-0.00044215i,-0.000761-0.00055331i,-0.00026824-0.0012627i,-0.00012975-0.0010087i,-0.00044489+0.00017722i
0.0016154+0.00030631i,0.0021948+0.00094432i,0.0015496+0.00011814i,-0.00039886-0.0013094i,-0.0013349-0.0014656i,-0.0010553-0.00086637i,-0.00093256-4.2671e-05i,-0.0008931+8.5985e-05i,-0.00038516-0.00019812i,-0.00020822+0.00031255i,-0.00052112+0.0010045i,-0.0012354+0.00081822i,-0.0016035+0.00017588i,-0.00099868-0.00034702i,-0.00090433-0.00045145i,-0.0014394+0.00026373i,-0.0013362+0.0010037i,-0.0013072+0.0014259i,-0.0017439+0.00097386i,-0.001395+0.0005281i,-0.00011264+0.00024925i,-0.00011386+0.00043205i,-0.00024064+0.0015014i
0.0020667-0.002187i,0.00064061-0.0027641i,-0.0013629-0.0026783i,-0.0015972-0.00076681i,-0.00039066+0.00053108i,0.00044359+0.00015824i,0.00028957+0.00024001i,0.00075229+0.00015057i,0.0012299-2.098e-05i,0.000147-0.0001237i,-0.0012315-0.00071417i,-0.001347-0.00072831i,-0.00067359+5.2347e-05i,-0.00033269+0.00011181i,-0.00061039+6.774e-05i,-1.1227e-06-0.00018769i,0.0011584-0.0001689i,0.0011694-0.0001926i,0.00026333-0.00042647i,-0.00027537+0.00016111i,5.0844e-05+0.00058691i,8.4846e-05+0.00078059i,-0.00069616+0.00068102i
-0.0013171-0.0024905i,-0.00041126-0.0019682i,-0.0016503-0.00042136i,-0.0015391+0.00052755i,-0.00020899+0.00074301i,-6.2222e-05-6.687e-05i,-0.00041776-0.00032389i,-0.00036363-0.00027542i,-0.00070252-0.00033637i,-0.00086357+3.7462e-05i,-0.00027768+0.00044606i,-0.00022921+0.00072226i,3.3282e-05+0.0005318i,0.0011188+0.00033238i,0.00078078+0.00043975i,9.4849e-05+0.00028938i,0.0001352+0.00044383i,9.3902e-05-2.5703e-05i,0.00018814-0.00073991i,-4.2632e-05-0.00066261i,-0.0005138-0.00017333i,-0.00011234+0.00048707i,0.0001449+0.00074622i
-0.0027741-0.0028879i,-0.0030784-0.0013309i,-0.002425-0.0004401i,-0.0017299+0.0002538i,-0.0008143+0.00080962i,0.00044021+0.00088986i,0.0010395+6.2494e-05i,0.00071917-0.00044117i,-0.00038626-0.00020659i,-0.00056454+0.00030294i,0.00020685+0.00049983i,0.00029318+0.00024009i,0.0005028-0.00015996i,0.00049975-0.00020469i,0.00047108-0.00019178i,0.00093267+2.3158e-05i,0.00050039+0.00015646i,0.00020368+0.00052268i,0.00042715+0.0011818i,-0.00018166+0.001012i,-0.00031094+0.00079738i,-0.00036273+0.00044652i,-0.00033396+6.6535e-05i
0.00023318-0.00078785i,0.00050262+8.995e-05i,0.00013779-0.00098843i,-0.0011516-0.0011353i,-0.001369+0.00045036i,-0.00058996+0.0014027i,0.00033671+0.00094071i,1.487e-05+0.00035827i,-0.00056615+0.00053015i,-0.0012589+0.00085779i,-0.0013788+0.0011494i,-0.00034846+0.0014069i,4.9344e-05+0.00071936i,-0.00028232-0.00044491i,-0.00034179-0.00048633i,-0.00088367-0.00049109i,-0.00092791-0.00033049i,-0.00046673+9.2982e-05i,0.00040236+0.00019044i,0.00040031+0.00012402i,-0.00013708+0.00039376i,-0.00057317+0.0004574i,-0.00085405+0.00031126i
0.0016993-0.00067269i,0.0019737-0.0011686i,0.0011555-0.00012977i,0.00021542+0.00015029i,-2.5061e-05-7.6589e-05i,-0.00011572+0.00029091i,-0.00037482+0.00028291i,-0.00022666-6.2829e-05i,-0.00046195+0.00017191i,-0.0007502+0.0004995i,0.00011495+0.00030811i,-0.00010953+0.0006651i,-0.00063597+0.00054768i,-0.00063809-0.00031383i,-0.00074665-0.00056536i,-0.0007379-0.00065045i,-6.0485e-05-0.00058664i,-0.0004003-0.00084526i,-0.00071709-0.00089915i,0.00033015-0.00040596i,0.00065573-0.00014489i,0.00021748+4.8053e-05i,-6.4926e-05+0.00013392i
-0.0013377-0.0012732i,-0.0015373-0.00076591i,-0.001096+3.3791e-05i,-0.00046859+0.00072593i,6.483e-05+0.00037554i,-4.2174e-05-5.8909e-05i,-0.00027536-0.00013148i,-0.00019088-9.5468e-05i,0.00052575-0.00086093i,0.0012752-0.0014603i,0.00086364-0.00013082i,-0.00034055+0.0005552i,-0.00051872+0.0002526i,-0.00017595+0.00044839i,-0.00031134+8.2323e-05i,-0.00041235-0.00031239i,0.0001116+0.00022106i,0.00082773+0.00038112i,0.0011264+0.0004131i,0.00082949+0.0002639i,0.00027534-0.00023963i,-0.00012097-0.00044196i,-0.00051982-3.6734e-05i
-0.00026599-0.00070872i,0.00095001-0.0012149i,0.00099156-0.0013209i,0.00074396-0.00048381i,0.00010024+0.00016131i,0.00035345+0.00080623i,0.00069111+0.00071077i,0.00079822+0.00039505i,0.001016+3.3137e-05i,0.00058907-0.00046178i,-4.4003e-05-2.4819e-05i,-0.0002458-0.00075198i,-0.00042383-0.0016833i,-0.00087113-0.00054341i,-0.00052935+0.00040945i,-0.00024171-0.00013683i,-0.00088393-0.0006662i,-0.000466-0.00053814i,-0.00030986-0.00033516i,-0.0010843-0.0003282i,-0.0012835+0.00032775i,-0.00043674+0.00077069i,0.00070156+0.00014867i
-0.0016528-0.0010407i,-0.0022108-0.00033003i,-0.0028152-0.00034334i,-0.0017865-0.00016976i,-0.00043024-1.5563e-05i,0.00013535-0.00012145i,0.00025702-0.00016369i,-0.00023373-0.00024311i,-0.00083535+1.3042e-06i,-0.0010957-7.6956e-05i,-0.00065921-0.00028636i,-0.00039823-0.0001992i,-0.0004828-0.00013367i,0.00026706-0.00025023i,0.00075856-4.97e-05i,0.000301+0.00031474i,0.00043231+0.00028911i,0.00034167+0.0001441i,0.0002432-0.00019749i,0.00029639-0.00061696i,0.00020667-0.00023665i,-0.00018988+0.00019476i,-0.00013522-4.3478e-05i
0.0011412-0.0027543i,0.00015678-0.0013352i,-0.00084547+0.0010836i,-0.00090545+0.0024341i,-0.0006557+0.0012335i,-0.00039881+0.00078523i,-0.00039227+0.00085214i,-0.00081861+0.00080603i,-0.00095088+0.0011508i,-0.00042988+0.0008513i,-0.00070184+0.00057285i,-0.00098886+0.00042519i,-0.00068593-0.00014613i,-0.00012778-0.00037906i,-6.3699e-05-0.0002064i,-0.00023357+1.2385e-05i,0.00018874-0.0003343i,0.000931-0.00060922i,0.001185+0.00014908i,0.00020678+0.00069783i,-0.00026388+0.00048545i,-1.8086e-05-0.00016838i,0.000228-3.2188e-05i
-0.00072803-0.0033795i,-0.0011616-0.0033783i,-0.0007827-0.0029569i,-2.0081e-05-0.0022807i,-0.00042785-0.00040823i,-0.00011483+0.00067997i,0.00068468+0.00019299i,0.00073433+0.00019215i,8.3841e-05-0.00037019i,-0.00050663-0.00048901i,-0.00027759+0.00029757i,0.00082753+0.00024491i,0.0015133+0.00040285i,0.0011103+0.00073603i,0.00084986+6.5214e-05i,0.00047142-0.00035679i,-0.00043021+0.00060979i,-0.00022864+0.001337i,0.0006678+0.00069978i,0.00033738+0.0003411i,-0.00074304+0.00021439i,-0.00024945-8.8861e-05i,0.00055678+0.00024393i
-6.2696e-05-0.0011034i,0.0011045-0.0020721i,-0.00032089-0.0022799i,-0.0011483+0.00011768i,-0.00083736+0.0017421i,-0.00035062+0.0012985i,-0.00017409+0.00062088i,-0.00021309+0.00039801i,-0.00053386-0.00021971i,-0.00070055+0.00014036i,-0.0002757+0.00028762i,-0.00098637+0.00024355i,-0.0017328+0.00085651i,-0.00082786+0.0010819i,-0.00039666+0.0010264i,-0.0005138+0.00061136i,-0.00026562+0.00050273i,0.00023513+0.00054207i,0.00057714+0.00037134i,8.5338e-05+0.00024228i,-0.00040279+7.0912e-05i,-0.00018801-0.00029487i,0.00056311-5.8093e-05i
0.00048275-0.00046034i,-0.0015992+5.5969e-05i,-0.0027509+0.00044074i,-0.001912+0.00040186i,-0.00046507+0.00051922i,0.0001487+0.0013756i,0.00077676+0.001223i,0.0010508+0.00050324i,0.00052815+0.00023224i,0.00045079-0.00038475i,0.00012887-0.0015555i,-0.00026925-0.0012548i,-0.00025445-0.00060833i,-2.562e-05-0.00065634i,-0.00024458+3.4439e-05i,-0.00064335+0.00078026i,-0.00057205+0.00020672i,-0.00054498+1.5537e-05i,-2.7014e-05+0.00011242i,0.00039954-0.0002102i,-0.00014687-0.0002148i,-4.7015e-06-0.00032564i,0.00034816-0.00032949i
-0.00054787-0.000326i,0.00034865-0.00016013i,-0.00068966+0.00050827i,-0.0010943+0.0018043i,-0.00037743+0.0017673i,0.00030898+0.0010746i,0.00029013-0.00011075i,-2.8996e-05-0.00064992i,3.9074e-05-0.00065375i,-0.0002223-0.00073049i,-0.00041547-0.00046767i,0.0003667-6.2663e-05i,0.0015071+9.1872e-05i,0.0010546-8.8687e-05i,0.00063176+0.00015307i,0.00082127+0.00065408i,0.00084892+0.00069109i,0.00074535+0.00088031i,0.00043208+0.00078296i,0.00047001+0.00042704i,0.00069644+0.00028666i,0.00082435-0.00017919i,0.00062499+6.3288e-05i
-0.0019467-0.0030642i,-0.0011292-0.00168i,-0.00066543-0.00051383i,-0.00070246+0.00095157i,0.00032817+0.0014355i,0.0004181+0.00083535i,-0.00037859+0.00049848i,-0.0009566+5.192e-05i,-0.0010353-0.00063706i,-0.00083529-0.00078387i,-0.0012351-0.00029755i,-0.0012636+0.00037759i,-0.00018824+0.00012735i,0.00024415-0.00013168i,0.00034094+0.00019777i,0.00034438-0.00019224i,0.00055103-0.00093276i,0.0011882-2.615e-05i,0.0010146+0.00084852i,0.0012222+0.00039256i,0.0010978+0.00062436i,0.00023551+0.00097055i,5.9227e-05+0.0012211i
0.00055366+4.2981e-05i,0.00062199+0.00012792i,0.00051636-5.028e-05i,0.00042126+0.00011262i,0.00088361-0.0001327i,0.001554-0.00012219i,0.0008346+0.00054109i,-0.00075458+0.00012655i,-0.00064993-0.00066884i,-0.00038933+0.000209i,-0.001178+0.00068977i,-0.00099505+0.0002847i,-0.00044698-0.00068291i,3.6027e-05-0.0011977i,0.00027826-0.00014299i,-0.00047543+0.00083532i,-0.00085054+0.00053647i,-0.00027127+0.00039533i,0.00011897+0.00063661i,0.0001303+0.00063883i,-0.00028942+0.00033582i,-0.00050831+3.4931e-05i,-0.00062606-0.00031291i
-0.001038+0.00028765i,-0.0020166+5.3609e-05i,-0.0022592+0.00045239i,-0.0010361+0.00056961i,-0.00022158+0.00050977i,-0.00012227+0.00097161i,0.00024773+0.0015767i,-0.00046547+0.0012602i,-0.00091746+0.00066906i,-0.00081711+0.00049738i,-0.00027813+0.0009115i,0.00044349+0.00087257i,0.00063146+0.0009515i,0.00018656+0.00080135i,0.00028169-0.00069519i,0.00044978-0.0014385i,0.00010778-0.00052926i,0.00033656+0.00035062i,0.00058614-6.5442e-05i,0.0003959-0.0011026i,0.00032358-0.0012084i,0.00027818-0.00091538i,0.00013748-0.00079778i
-0.00036754+0.00041284i,0.00043911+0.00019508i,0.0013919+0.00025096i,0.0019612-0.00046046i,0.0015047-0.00044387i,0.0018739-0.00017035i,0.0012374-0.00045366i,0.0001727+0.00026318i,0.00059893+0.00078076i,0.00048726+0.00079594i,-0.00023495+0.00021455i,-0.00065961-0.00060781i,-0.00071957-0.00020885i,-0.00011296+0.00019538i,0.00046606+9.1173e-05i,-5.7536e-06-0.00038731i,-0.00015595-0.0009846i,-0.000186-0.00056815i,-0.00026812-0.00030407i,3.3558e-05-0.00035693i,-0.00013857-0.00057785i,-0.00050324-0.00058305i,-0.00037663+0.00017193i
-0.00031973+4.3914e-05i,0.00030274-0.0004887i,0.00059912-0.00050283i,0.00038634-0.00075875i,0.00063275-0.0010736i,0.000477-0.00099251i,-0.00019725+5.3092e-05i,-0.0005116+0.00051397i,-9.3785e-05+0.00067825i,0.00072431+0.00053499i,0.00058153-0.00041343i,-5.2221e-05-0.00064693i,-0.00028873+0.00011793i,-0.0004853+0.00026026i,-0.00040543+0.00032645i,-0.00016691+0.00078082i,-4.2929e-05+0.0011067i,0.0003959+0.00054648i,0.00053054+0.00011528i,0.00060802+0.00032822i,-0.00010726+0.00068574i,-0.0010111-3.0373e-05i,-0.0005203-0.00072531i
0.00072601-0.0037462i,-0.0013849-0.003334i,-0.002094-0.0032944i,-0.0018663-0.0022894i,-0.0018201-0.00048425i,-0.0014586+0.00022472i,-0.0009068+0.00011431i,-0.0008202-0.00019449i,-0.00038992-0.001002i,-0.00047645-0.001497i,-0.00078343-0.0011302i,0.00047687-0.00056934i,0.00098009-0.00044372i,0.00020867-5.8374e-05i,-0.00050238+1.3032e-05i,-0.00038315-4.0143e-05i,-2.8901e-05+0.00017355i,-0.00048907+0.00041862i,-0.00034143+0.00051861i,-5.61e-05-0.00029523i,-0.00031482-6.0403e-05i,-0.00046193+0.00055637i,-6.1967e-05-0.00033028i
3.7839e-05+0.00021332i,-0.00046668+0.0013015i,-0.00093158+0.0021921i,-0.001121+0.0014977i,-0.00064245-7.935e-05i,0.00028243+0.00027929i,0.0012925+0.00063538i,0.0015481+0.00043503i,0.0011071+0.0005394i,0.0009355+0.00042769i,0.00027182+0.00045912i,-4.8811e-05+0.00080047i,7.9521e-05+0.001402i,0.00056636+0.00093226i,0.0004709-0.00018541i,-0.00023388-0.00062277i,-0.00030089-0.00035139i,-0.00028298-0.0003345i,0.00029316-0.00041369i,0.00030627-0.00015781i,-0.00039076-0.0006034i,-0.00019113-0.00041209i,0.00062263+0.00023108i
