-0.002524+0.0022812i,-0.0026993+0.0017192i,-0.0022636+0.0017962i,-0.001536+0.0013225i,-0.0011266+0.00070565i,-0.0015046+0.00025458i,-0.0013818-9.0859e-05i,-7.3387e-05-0.00063788i,0.00079791-0.00040056i,0.00076724+0.00043627i,0.00088099+0.00059522i,0.0013763+3.2338e-05i,0.0018523-0.00017506i,0.0009572-0.0005653i,0.00038985-0.0014555i,8.767e-05-0.00069956i,5.4001e-05+0.00029373i,0.00052913-0.00055767i,-8.6207e-05-0.00064769i,-0.0013094-8.3308e-05i,-0.0011432+4.1621e-05i,-6.6713e-05+0.0005104i,0.00036593+0.00066175i
0.00050321+0.0024122i,0.0013927+0.0017793i,0.0014008+0.0015949i,0.0021091+0.0011866i,0.0023358+0.00028181i,0.00053813-0.00081944i,-0.0017115-0.00097882i,-0.0021874-0.00055614i,-0.0013313-0.00027582i,5.6476e-05-8.2825e-05i,0.0011216+0.00052789i,0.0013395+0.00077876i,0.00072877+9.2633e-05i,-0.00046551-0.00025642i,-0.00061199-0.00024422i,-0.00093064-0.00031352i,-0.00073721+0.00010661i,0.00044947+2.589e-05i,0.00068739-0.00038475i,-0.00010431-0.00078356i,-0.00033851-0.00079665i,-1.7882e-05+8.3552e-05i,0.00035634+0.00084173i
-0.0016434+0.0024071i,0.00032664+0.0027611i,0.0032304+0.0025691i,0.0039186+0.0007537i,0.0015686-0.0016769i,-0.00040961-0.0019387i,-0.0004629-0.00046448i,-7.2008e-07+0.00036842i,-0.00010516+0.00057348i,0.00026252+0.00033536i,0.00065179+2.3268e-05i,9.7592e-05-0.00013113i,8.7987e-05+0.00010708i,9.672e-05-0.00032349i,-0.00012861-0.00084142i,0.00041674-0.00021189i,0.00096452+0.00073005i,0.0006034+0.0011564i,-0.00026507+0.00022113i,-0.00026655+3.9478e-05i,-0.00024674+0.00043634i,-0.00058315+0.00049684i,-0.00072319+0.00068968i
-0.00070074-0.00038734i,-0.00060268-0.00095361i,-0.00025004-0.0007051i,-0.00018426-0.00055131i,7.1414e-05-0.00051897i,0.0006154+0.00035285i,-4.587e-05+0.00064105i,-0.00048421+2.7164e-05i,-0.000367-0.00030341i,4.4463e-05+8.3006e-05i,0.00038139+0.00044183i,-5.0726e-05+0.00037671i,5.7602e-05+0.00076401i,-0.00015195+0.00087303i,9.0016e-06-6.2572e-05i,0.00080429-0.00080854i,0.00065022-0.00045085i,-0.00030011-6.8993e-05i,-0.00076685-0.00018629i,-0.00096971+3.5025e-05i,-0.00083619+0.00017945i,-0.00042148-4.7037e-05i,-0.0004465+0.00026455i
-0.0014161+0.0022399i,-0.00077279+0.00087847i,-0.00010938+0.0013786i,0.00138+0.0013516i,0.0021336+0.00033513i,0.0017414-0.00015482i,0.0012185-0.00027414i,0.00010313-0.00043963i,0.00042123-0.00034867i,0.0011071+0.00053535i,1.5977e-05+0.00075756i,-0.00094983+0.00022596i,-0.00052333-0.0007676i,-0.00061182-0.001563i,-0.00048653-0.0014172i,0.00016128-0.001188i,0.00036402-0.00086928i,-0.00018924+2.055e-05i,-9.9202e-05+0.00029621i,2.6865e-05-6.7659e-05i,-0.00025863+0.00025607i,-0.00043772+0.00036312i,-0.00060005-0.00040524i
-0.00228+0.00090707i,-0.0025774+0.00069719i,-0.002055+0.0010391i,-0.001336+0.0014242i,-0.00061931+0.0020169i,-0.00030826+0.0013121i,-0.00021497-0.00050942i,-0.00053679-0.00073757i,-0.00035352-2.4169e-05i,0.00029186+0.00063561i,0.00031692+0.00090393i,0.00032235+0.00061754i,0.00011431+0.0010271i,7.4652e-05+0.00069521i,0.00089687-0.0004158i,0.00044871-0.00052969i,-0.00013169-0.00057659i,0.00070345-0.00075065i,0.0002929-0.00085121i,-0.0004169-0.00090462i,0.00019183-0.00051992i,0.00069391+0.00045776i,0.00030059+0.00018169i
0.0027444-0.0010191i,0.0020811-0.00058721i,0.0011355+0.0006867i,0.00014485+0.001887i,-0.00056631+0.0016817i,-0.00081806+0.00023054i,-0.0016558-0.00075868i,-0.0012265-0.00090021i,2.7807e-05-0.00067341i,0.00048072-0.00011885i,7.1697e-05+0.00016353i,-0.00020442+0.00062965i,-0.00042032+0.00034664i,-0.00034153-8.8632e-05i,0.00042195+0.0007727i,0.0010305+0.0011471i,0.00058741-1.5869e-05i,2.7224e-05-0.00070452i,0.00025291-0.00091459i,-2.0657e-05-0.00027497i,0.00041515+0.0002449i,0.0010279-5.1946e-05i,0.00018088-0.00056901i
0.00013878-0.0029593i,0.00074487-0.0035944i,0.0007277-0.0032704i,0.00070089-0.0030209i,0.00024029-0.0019681i,-0.00011726-0.0019084i,-6.569e-05-0.0022579i,0.00045705-0.0013511i,0.00040861-0.00011126i,-0.00035305+0.00080228i,-0.00069749+0.00066743i,-0.00098314+0.00045831i,-0.0011588+0.00042389i,-0.00025829-0.00039174i,0.00072094-0.00097153i,4.3898e-06-0.0010754i,-0.00014834-0.00077924i,0.00083622-0.00025769i,0.00076985-7.8665e-05i,0.00062614-0.00057674i,0.00099684-0.00080878i,0.00048316-0.00050237i,-0.0006604-0.00038817i
-0.0021024+0.0012238i,-0.0026646+0.0020175i,-0.0019914+0.0021502i,-0.00053303+0.0016996i,0.00048641+0.0013827i,0.00027113+0.00060104i,0.00018341-6.1002e-05i,0.00080741+0.00062793i,0.00064287+0.00080554i,0.00033415+0.0010922i,-0.00014556+0.00096681i,-0.000484+0.00017371i,-0.00073515+2.7956e-05i,-0.00040641-0.00019759i,-0.00028847-0.00063838i,-0.0008905-0.0007137i,-0.00061094-0.00010955i,0.00016272+0.00046472i,-5.4491e-05+0.00050672i,-0.00030881-0.00022208i,-9.8633e-05-0.0006321i,4.8304e-05+0.00016929i,0.00026334+0.00082497i
-0.0017925+0.00094152i,-0.00087851+0.0017582i,0.0010151+0.0022245i,0.0009711+0.001301i,0.00062854+0.00057657i,0.00082978+0.00089683i,0.00051716+0.00021672i,-0.00075258-0.00034107i,-0.00090884-6.0691e-05i,0.00017835-4.7479e-05i,-5.3676e-05+0.00013794i,-0.00080955+0.00029024i,-0.00046349+0.00028865i,1.5227e-05+0.00023068i,0.00024091-0.00067663i,0.00015512-0.0011873i,-0.00030326-0.00028091i,-0.00044947-0.00024495i,-0.00050547-0.00051828i,-0.00042383-0.00051352i,-0.0005377-0.00051282i,-0.00037683+3.7946e-05i,3.9998e-05+0.00030551i
-2.8149e-05-0.0022458i,-0.0005438-0.0038782i,-0.0010914-0.0026876i,-0.0010404-0.00094611i,-0.00065546-0.00078548i,-3.796e-05-0.00075087i,9.5479e-05-9.1517e-05i,-0.00039789+0.00032563i,-0.0002511+9.8061e-05i,0.00066811-0.00010067i,0.0007424+0.00020569i,0.00068332+0.00036089i,0.00028462+0.00012063i,-0.00067242-0.00027101i,-0.00065494-0.00056239i,-0.00011199-0.000365i,0.00026143-0.00014704i,8.7107e-05-0.00065718i,-0.0003934-0.0011125i,-0.00021765-0.0010211i,-6.7002e-05-0.00046907i,3.5565e-05+0.00013498i,7.4867e-05+0.00012796i
0.00096125-0.0010605i,0.0020456-0.00094521i,0.00086405-0.00070416i,-0.00067579-0.00011576i,-0.00081628+0.00042502i,-0.00050718-4.2233e-05i,-0.00034324+0.00033468i,0.00024985+0.0008072i,0.00038824-0.00022141i,-0.00042678-0.00052393i,-0.00071859+0.00031131i,-0.00052134+0.00083421i,-0.00026266+0.00099652i,0.00022085+0.00096798i,0.0010803+0.0011025i,0.00097086+0.0011303i,0.0001285+8.4128e-05i,0.00013152-0.00055332i,0.00018217-9.0844e-05i,-0.00036324-0.00020834i,-8.3365e-05+0.00038486i,0.00027585+0.00087903i,0.00032562+0.00043183i
-0.0026471-0.0014313i,-0.0031033-0.00074363i,-0.0019392-3.148e-05i,-0.00081581+0.00038678i,-0.00053931+0.00052525i,-0.00045633+0.0012089i,0.00020168+0.0011988i,0.00062831+0.00045929i,0.00066886+2.6848e-06i,0.00045506+0.00045809i,0.00040288+0.00067921i,0.00047489+0.00060819i,0.00031105+0.00057512i,0.00041236+0.00070482i,0.00061793+0.0010788i,0.00013653+0.00091994i,-0.00018118+0.00067905i,-0.00031038+0.00033134i,0.00022306-0.00016994i,0.001196-0.00025485i,0.00098807-0.00027382i,0.00043614-4.3199e-05i,0.00015585+0.00029279i
-0.0018558-0.0014266i,-0.00083105-0.00024131i,0.00055484+0.0012411i,0.0015015+0.0018095i,0.0015125+0.0011315i,0.0013056-0.00060365i,0.00065959-0.00096687i,0.00023104+0.000345i,-0.00051735+0.00076434i,-0.00072203+0.00021159i,-2.9366e-05-0.00010893i,0.00029146+0.00012518i,5.9862e-05-0.00043723i,0.00022101-0.0010123i,0.00081052-0.00081967i,-5.3148e-05-0.0005773i,-0.0005909+0.00046645i,-9.848e-05+0.0010705i,0.00032299+0.00047208i,0.00039768+6.5773e-05i,-1.9082e-06+0.00058314i,0.00039717+0.00035156i,0.0010771+1.934e-05i
0.00014417-0.00062744i,0.00034103-0.0007851i,-0.00079682+0.00040417i,-0.001564+0.00025677i,-0.00085421-0.00064248i,-0.00019119-0.00044692i,-0.00050147-0.00083233i,-0.00084351-0.00070469i,-0.00076578+0.00060496i,-0.00042584+0.00054158i,-0.00020423+0.00056811i,-0.00069613+0.00051352i,-0.00061184-0.00021107i,0.00018022-0.00021555i,0.00055901-0.00069201i,0.00052776-0.0004644i,0.0002999+0.00039975i,1.3065e-05+0.00024205i,0.0001798-3.225e-05i,0.00011071-0.00018224i,-0.00038685-0.00038358i,-0.00055413-0.0003882i,-0.00097772-0.00025265i
-0.00034813-0.00087435i,-0.00061148+0.00062181i,-0.0011245+0.0014357i,-0.00076501+0.0013791i,-6.8766e-05+0.0016578i,-0.00048702+0.00057418i,-0.00097955-0.00069599i,-8.3441e-05-0.00018759i,0.00021025+0.00053184i,-0.00063344+0.00050798i,-0.00086161+0.00034153i,6.6756e-05+0.00042312i,0.00034432+0.0007674i,-0.00021637+0.00062787i,8.9921e-05+0.00013615i,0.00030154+0.00020829i,0.0006036-0.000139i,0.0012509-0.00061913i,0.00079858-0.00056756i,0.00072951-0.00043993i,0.00051273-0.00044012i,-0.00059179-0.00048915i,-0.00086232+0.000181i
0.0017062-0.0016952i,0.0020564-0.0020625i,0.0028494-0.0026987i,0.0020709-0.0019736i,0.00016781-0.00042702i,-0.00079837-8.1615e-05i,-0.00083092-0.0004883i,-0.00098303-0.0004091i,-0.00042025-0.00026609i,0.00087754-0.0010312i,0.0012906-0.0013748i,0.00037728-0.00052617i,0.00032046-0.00050633i,0.00099181-0.00074314i,0.00069614+2.3034e-05i,-0.00011207-4.596e-06i,-9.9633e-05-0.0001725i,-0.00013224+0.00027268i,-0.00065924+4.5839e-05i,-0.00052466-0.00055725i,-9.7341e-05-0.00040079i,0.00030414+9.2589e-05i,0.00071647+5.6393e-05i
0.0026539-0.001294i,0.0031949-0.0019125i,0.00078751-0.0010573i,-0.00054859+0.00026655i,-6.8099e-06+0.0016733i,0.00053574+0.0013824i,0.00056642+0.00082349i,-7.786e-05+0.00029085i,-0.0002486-0.00065082i,-0.00062076-0.00025877i,-5.2962e-05+0.00036448i,-4.6014e-05+0.00046899i,-0.00045061+0.00010364i,-0.00015696+0.00017772i,-0.0004726+0.00040044i,-0.00082856+0.00019428i,-0.00040054+0.00024776i,-0.00033776-0.00022765i,-0.00035525-0.00074105i,0.00038656-0.00011905i,0.00074838+0.00032926i,-0.00045774-0.00011465i,-0.0007908-0.00015666i
-0.0021528-0.0011021i,-0.0013786-7.1407e-05i,-9.0289e-05+0.0022117i,-0.00024174+0.0022514i,0.00035693+0.0010825i,0.0011858+0.00025183i,0.00060246-0.00073129i,0.00066217-0.0014007i,0.00053834-0.0011592i,0.00038407-0.00032759i,0.0007605-4.2381e-05i,0.000945+0.00014354i,0.0011398+0.00065263i,0.0012571+0.00078197i,0.0017372-7.3645e-05i,0.0017488-0.00091883i,0.00093624-0.00038568i,0.00067681-0.00011247i,0.00033452-0.00024895i,-3.017e-05-0.00024497i,0.00036518-0.0001381i,0.00037994-0.00039855i,-0.00020375-0.00070002i
0.00026533+0.0016689i,6.8029e-05+0.00099384i,0.00066124+0.0016435i,0.0014024+0.0015189i,0.0015618+0.00035448i,0.00091284+2.9311e-05i,0.00017645-0.0003149i,-0.00028174+0.00018526i,-9.5644e-05+0.0010183i,6.5728e-05+0.0010697i,-0.00060502+0.00082482i,-0.00070354+0.00042091i,-0.00045783-0.00023898i,-0.00091851-0.00039435i,-0.0007677-0.00051172i,-0.00049558-0.00093608i,-0.00069571-0.00066562i,-0.00075709-0.00088272i,-0.00056771-0.0010206i,-0.00052878-0.00012124i,0.00032526+0.00027029i,0.00073168-7.0166e-05i,0.00038033-0.00038332i
