0.002078+0.00090661i,0.0014671+0.00076157i,5.898e-05+6.3724e-06i,-0.00068327-0.00022907i,-0.0019345+0.00084266i,-0.0015047+0.0022495i,-0.00051956+0.0023713i,-7.8184e-06+0.0023983i,0.00098643+0.0018521i,0.00064603+0.00030061i,-0.00023019-0.00059124i,-0.00023857-0.00079114i,-0.00022027-0.00059356i,-0.00083804-0.00071181i,-0.000894-0.00060049i,-0.00019695-0.00010812i,0.00030564+0.00031951i,-6.3482e-05+0.00036282i,5.5929e-05-0.00027349i,0.0004137-0.00060088i,0.00034294-0.00073698i,-0.00019747-0.00085887i,-0.00052533-0.0010266i
0.0014281+0.0001807i,0.001701+1.1148e-05i,0.0017984+0.00040955i,0.0018001+0.0014869i,0.00075288+0.0021208i,0.00027376+0.00078773i,0.0008059+0.00022985i,0.0009927+0.0009678i,0.00010131+0.00088518i,-0.00062673+0.0007016i,-0.00085904+0.00040244i,-0.0010382+0.00015775i,-0.00093406+0.00010242i,9.3101e-05+1.9374e-05i,0.0002315+0.00035726i,-0.0001847+0.00049906i,-0.00014314+0.00027084i,-0.00016108+0.00054146i,-5.2636e-06-0.00015925i,-0.00033637-0.0013628i,-0.00014685-0.0011896i,0.00045206+8.2184e-05i,0.00097429+0.0010091i
0.00083329+0.0017856i,0.0017754+0.0012146i,0.0014714+0.00041088i,0.00060648+5.2075e-05i,-0.00058043+0.00019445i,-0.0018841-1.7128e-06i,-0.0019586-0.00019819i,-0.0014603+0.0002285i,-0.00019941+0.00039783i,0.00087072+0.00068272i,0.00081417+0.00021095i,0.00082302-0.00033272i,0.0005509-0.00033127i,0.00037613+6.6541e-05i,-0.00019255-3.5282e-05i,-0.00020204-0.00010026i,0.00023326-2.3295e-06i,0.00044724+0.00076015i,0.000702+0.0011414i,0.00019399+0.00079386i,-0.0004151+0.00072412i,-0.00079243+0.00071299i,-0.00045072+0.0010225i
0.00028257-0.0027532i,7.0272e-05-0.0021104i,0.00049391-0.0011828i,6.4841e-05-0.00032304i,-0.00080602+0.00078876i,-0.00019025+0.0010584i,0.00060202+0.0010206i,0.00034939+0.00063528i,0.00011803-0.00017592i,-4.3921e-05-0.00045366i,-0.00049268+6.4117e-05i,-0.00062531+0.00071406i,-0.00044995+0.00091171i,0.00027156+0.00039945i,0.00025973+2.3166e-05i,-0.00061172-3.9598e-05i,-0.00076545+0.00077429i,-0.00067351+0.0012555i,-0.0003741+0.0003933i,0.0001992-0.00013274i,0.00051594-0.00054049i,0.00030195-0.00086224i,-0.00012282-0.00058114i
0.0021082+0.00070447i,0.0017848-0.00023227i,0.0016206-0.00086012i,0.00092529-0.00032828i,-0.00048522+0.00028716i,-0.001213+0.00049589i,-0.0012229+0.00085835i,-0.00027066+0.0011003i,0.00044133+0.0013733i,0.00012508+0.00048426i,0.00032506-0.00033282i,0.00070311-0.00024232i,0.00098068+7.0033e-05i,0.0012008+0.0002892i,0.00050716+0.00019106i,-0.00025568+0.00083244i,5.0996e-05+0.0010832i,0.00079237+0.00084228i,0.00072029+0.00037687i,5.2248e-05-7.5519e-05i,3.3445e-06-9.3475e-06i,0.00015748+0.00022262i,-0.00051869+0.00052596i
-0.0014208+0.00024432i,-0.00037965+0.0013033i,0.001015+0.0020728i,0.0012726+0.0022256i,0.0010119+0.0024712i,0.000733+0.0016156i,-0.00069907+0.00037297i,-0.00086253+0.00061431i,0.00011442+0.00063605i,0.00072605+5.0507e-06i,0.00097979-0.00042954i,0.000812-0.0006497i,0.00083404-0.00017304i,0.00061188+0.00055365i,0.00059693+0.00026041i,0.00047502-0.0004688i,0.00029685-0.0010403i,0.00025551-0.0014216i,0.00046798-0.0012326i,0.00065501-0.00067325i,0.00099598+8.3764e-05i,0.00095418+0.00046312i,-0.00012826+0.00066298i
0.0010291-0.0017734i,0.0017987-0.0011655i,0.0010248-0.00070981i,0.00059794+2.3923e-05i,0.00044925+0.0013753i,-0.00036045+0.0014627i,-0.00073816+0.0011195i,-0.00063493+0.0011158i,-0.00035113+7.6518e-05i,-4.5832e-06-0.00016602i,-0.00035083+0.00050783i,-0.00018035+0.00047859i,0.00048473+0.00083351i,0.00021309+0.00086595i,-0.00088688+0.00027424i,-0.00053579+7.3629e-06i,0.00016798+0.0002364i,0.00023458+0.0010113i,0.00037078+0.00093885i,0.00034392+1.8462e-05i,0.00034497-0.00027239i,0.00040354-0.00024723i,0.00066905+1.708e-05i
-0.00027045-0.00016952i,0.00031759-8.2838e-05i,0.0010629-2.6469e-05i,0.00068129+0.00068439i,0.00042689+0.0010855i,0.00067498+0.00052437i,0.0002567-0.00017155i,0.00016153+0.00024483i,0.00015962+0.00064126i,0.000157-0.00014095i,0.00019902-0.0011132i,-0.00015455-0.00040376i,-0.00068194+0.00042041i,-9.5903e-05-0.00033715i,0.00033987-0.00051122i,0.00013879+0.00015806i,0.00016113+0.00020317i,0.00033918-1.8677e-05i,0.00031475+4.947e-06i,-0.00016318-3.8489e-05i,-0.00040362-0.00047134i,-0.00012219-0.00013567i,-0.00010996+0.0010141i
0.00035082+0.0011088i,0.00055815+0.0021664i,0.0016865+0.0014977i,0.0015101+0.00044572i,0.00033113+0.00043958i,-0.0009069+0.00093934i,-0.0015259+0.0012354i,-0.0011567+0.0011751i,-0.00045073+0.00096647i,0.00014887-1.9226e-05i,1.1198e-06-0.00069173i,-0.00043648-0.00074246i,-0.00082313-0.00050195i,-0.0010699-0.00022506i,-0.00044278-0.00046759i,0.00019037-0.00037824i,0.00040057-0.00015519i,0.0004352+9.668e-05i,0.00027984+0.0010173i,0.0003646+0.0010244i,0.00043198+0.00032703i,0.00055996+0.00042399i,0.0005811+0.00026296i
0.0026515-0.00060628i,0.0039146-0.0009815i,0.0036006-0.00058209i,0.0024049-0.00045319i,0.0022679-0.00016411i,0.0014388-0.00028152i,0.0005317-0.00057429i,0.00012932-0.0003135i,0.00018118+2.0676e-05i,-9.9588e-05-0.0002228i,-0.00092929-0.00056063i,-0.00056899-0.00059443i,-0.00048951-0.00084113i,-0.0002836-0.00023319i,0.00033845+0.0008886i,0.00042422+0.00061319i,0.00058874+0.00030056i,0.00081907+0.00029382i,0.00071469-0.00017877i,0.00044277+0.00043637i,-0.00016013+0.00065943i,-1.8221e-05-0.00012797i,0.00062023+1.2984e-05i
0.0010703-0.00053006i,0.001118-1.8722e-05i,0.00036665-0.00042612i,-0.0010595-0.00082288i,-0.0010004-0.00030142i,-0.001012+0.00078434i,-0.00092112+0.0013927i,-0.00029886+0.0014882i,4.3362e-05+0.0010328i,-0.00053775+0.00036587i,-0.0013602+9.8702e-05i,-0.00071594+0.00027602i,-0.00024466+0.00012005i,-0.0010286-0.0006104i,-0.0012816-0.00032019i,-0.00067899+0.00034389i,-7.9035e-05+0.00090904i,0.001006+0.00094674i,0.0011476-0.00025991i,0.00053521-0.00070576i,0.00064589-0.00056991i,0.00027428-0.0011752i,-0.00030455-0.00086158i
-0.00068998-0.0001812i,-0.0011984-0.00048857i,-0.00079787-0.00075263i,-0.00037841-0.00031124i,-0.00015661+0.00052894i,0.00043767+0.0011326i,0.00064101+0.00065851i,0.00087958+0.00033772i,0.00093772+0.000611i,0.00098707-5.2436e-05i,0.0003478-0.00045419i,-8.0577e-05+0.0005662i,1.9618e-05+0.0011046i,-0.00030465+0.00076244i,-0.00071687+0.00014699i,-0.0013805+0.00022517i,-0.001869+0.00012857i,-0.00072693-0.00037014i,0.00060446-0.00021278i,-5.2627e-05-0.00080983i,-0.00092467-0.0015101i,-0.00046809-0.0010895i,8.5584e-05-0.00016112i
0.0019477-0.001736i,0.0012896-0.0016482i,0.001188-0.00072673i,0.00068394-0.00033617i,0.00039644+0.00073821i,7.1736e-05+0.0016419i,-0.00044486+0.0010937i,4.4652e-05+0.00094702i,0.00098595+0.00084658i,0.00074769-0.00017895i,-0.00043597-0.0012062i,-0.00097424-0.0015794i,-0.00043641-0.00087968i,-0.00064228-7.6195e-05i,-0.0003823-6.5733e-05i,0.00062164+0.00019361i,0.0012576+0.0007253i,0.0011106+0.00049151i,-6.348e-05+0.00022021i,0.00020561-0.00015306i,0.00095421-0.00028313i,0.00037907+0.00052236i,-0.00016202+0.0012148i
0.0013821+0.0012077i,0.0014627+0.0019377i,8.8436e-05+0.0011356i,-0.0015214-1.3529e-05i,-0.0011013-3.5068e-05i,-0.00071262+2.4207e-05i,-0.00062687-0.0004497i,-0.00043146-6.8102e-05i,2.8986e-05+0.0005448i,-0.00027647+8.6e-06i,-0.00021188+7.7266e-05i,-0.0002123+0.00065218i,6.5886e-05+0.00058057i,0.0005794+0.00014218i,0.00017802+5.5562e-05i,0.00027338-0.00013202i,0.0005837-0.00024678i,0.00029847-0.00040152i,-0.00019557-0.00061566i,0.00025466-6.8455e-05i,0.0008338+0.00038501i,0.0008909+0.00042473i,0.00044532+0.0003143i
-0.0011646-0.0016822i,-0.00092466-0.00014373i,-0.00036691+0.0014936i,0.00013123+0.0028053i,0.00066883+0.0030177i,0.0013833+0.0016359i,0.0012785+0.00074248i,0.00024612+0.00090882i,-0.00014825+0.00053331i,9.015e-06+0.00018227i,4.4274e-06+0.00013154i,0.00058166-0.00054727i,0.00024644-0.00029087i,-0.00082233+0.00055362i,-0.00059814+0.00069197i,-0.00011923+0.0007259i,-0.00016859+0.00055257i,-0.00018281+0.0005001i,0.00034495-0.00040594i,0.00026806-0.00053086i,-0.00068365+0.00026455i,-0.00047341+0.00021976i,-9.3513e-05-4.4666e-05i
0.0008195-0.0019115i,0.001516-0.0015018i,0.0010367-0.00017998i,0.00019183+0.00055283i,8.6379e-05+0.00071649i,0.00060814+0.00058547i,0.00071456-3.7193e-05i,3.7402e-05+0.0003369i,-0.00022658+0.00080511i,-0.00014848+0.00053931i,-0.00039213+0.00029023i,-2.6403e-05+0.00019508i,0.00067438+0.00051028i,0.0011429+0.00034825i,0.0012556+0.0006417i,0.00073457+0.00096207i,0.00066337+0.00039132i,0.0012095-3.8937e-05i,0.0014608+3.8421e-05i,0.001087-0.00019104i,0.00039473-0.00025493i,-4.2972e-06+0.00010691i,-0.00020651-0.0002399i
0.00045215+0.0031639i,0.00079314+0.0039612i,0.0011823+0.0028243i,0.00060731+0.0022838i,-5.5137e-05+0.0018028i,6.7345e-05+0.0010464i,0.00027651+0.00035102i,4.2642e-05+0.00050286i,-0.00032729+0.00090225i,0.00017554+0.00012422i,0.00041253-3.4569e-06i,0.00053064+0.00012583i,0.00042003-0.00039407i,-0.00018317+0.00032756i,-0.00029093+0.00083604i,-0.00033226+0.00050294i,-9.7615e-05-0.00016575i,6.0024e-05-0.00060515i,3.8482e-06-0.00059942i,0.00016067-0.00023104i,0.00043325-0.00037909i,0.00084639-0.00035354i,0.00083742+5.2861e-05i
-0.0015851-0.0024729i,-0.0016082-0.0008326i,-0.0011461-0.00061245i,-9.0876e-05+0.00010722i,0.00029537+0.002062i,0.00059345+0.0025314i,0.00017166+0.0018859i,-6.6145e-06+0.0016884i,-4.2174e-05+0.0011033i,-0.00051299-8.3543e-05i,-0.00081605+9.2269e-05i,-0.00035126+0.00079436i,-0.00013807+9.5837e-05i,-0.0001853-0.00051344i,-0.00022401-0.00037492i,-0.00043418-0.00035059i,-0.00013174-0.00016731i,-0.00013308-8.2658e-05i,-0.00053228-0.00034332i,-0.00090495-0.00019408i,-0.0005745-0.00045734i,-9.4212e-05-0.00064571i,-0.00023079-4.7299e-05i
0.0018504+0.001101i,0.0016725+0.0011561i,0.0025079+0.00085226i,0.0028971+0.00018677i,0.0022365-0.00015149i,0.00090895-0.00074562i,-0.00060693-0.00077598i,-0.00047395-0.00057401i,-6.3426e-06-0.00044271i,5.93e-05+6.4963e-05i,-5.4268e-05+0.00062875i,6.1379e-05+2.8381e-05i,0.00032352-0.00090667i,0.00056692+0.00021734i,0.00056868+0.0012407i,-7.2322e-05+0.0011389i,-0.00082919+0.00093185i,-0.00039607+0.00021397i,0.00024998-4.3654e-05i,0.0003769+0.00021608i,-5.3448e-06+0.00038889i,-0.00021542+0.00033725i,-0.00045113-0.00014831i
0.00029607+0.0016349i,0.00088148+0.0024231i,0.00090423+0.0019328i,4.121e-05+0.0011209i,9.6668e-05+0.00092257i,0.0011078+0.00081897i,0.00057074+0.00050143i,-0.00024789+0.00058627i,0.00018204+0.0010144i,0.00063882+0.00073082i,0.0012228+7.6963e-05i,0.00072171+0.00036343i,-0.00028674+8.7459e-05i,-0.00043806-0.00035409i,-0.00025399+0.00013037i,-0.00022626+0.00028806i,-0.00058044-5.4482e-05i,-0.00027408+0.00015827i,0.00012901+0.00055311i,0.00061108+0.00049293i,0.00049093+0.00093289i,-0.00048011+0.0011714i,-0.00078221+0.00074245i
-0.00039802-0.0014207i,0.00061142-0.0015272i,0.0011868-0.00024096i,0.00079331+0.00070534i,0.00045734+0.0012768i,0.00082257+0.00055329i,0.00059626+0.00017637i,-0.00054628+0.00094735i,0.0002166+0.00086029i,0.0010936-5.3291e-05i,0.0006269-0.00054101i,0.00018141-0.00047663i,-0.00037895-0.0004732i,-0.00031064-0.00063764i,0.00089378-0.00013486i,0.0012984+0.00046701i,0.00089727+0.00046239i,1.281e-05-8.9889e-05i,-0.00071758-0.00075153i,-0.00053451-0.00085154i,-1.7932e-05-0.0011149i,0.0012797-0.00098601i,0.0013132-0.00056258i
0.00026391-0.00091834i,-0.0009484-0.00016453i,-0.001454+0.00019295i,-0.00053742+0.00074049i,-9.61e-05+0.0025437i,-0.00022093+0.0022973i,-0.00066976+0.00065371i,-0.00064921+0.00053825i,-0.0001947+0.00041096i,-0.00027592-0.00022028i,-0.00032311-0.00026478i,2.8873e-05-4.6041e-05i,0.00013771-0.00029644i,0.00027337-4.1425e-05i,-0.0001099+0.0007085i,-0.00059259+0.00057395i,-0.00073872+0.0001126i,-4.3034e-05+6.1519e-05i,0.00053675-4.2451e-05i,0.00070789-8.9673e-05i,0.00094729-0.00024735i,0.000246-0.00019698i,-0.00036426-0.0002115i
-0.00064349+0.0023447i,-0.00014272+0.0032194i,0.00059349+0.0027904i,0.00034029+0.0020342i,0.00028339+0.0018244i,0.00031596+0.0010431i,-0.00040913+9.4132e-05i,-0.0012675+0.00066099i,-0.00079386+0.0003856i,0.00044844-0.00035247i,0.00019702+6.0322e-05i,7.481e-05-5.6648e-05i,0.00028511+0.0001819i,7.6771e-05-0.00018617i,0.00019593-0.00090187i,0.0002719-0.00067294i,0.00014555-0.00024072i,0.00047066+0.00014031i,0.00015292-4.0212e-05i,-0.00042249-0.00065851i,-0.00046286-0.0010278i,-0.00034041-0.0011103i,-0.00055008-0.00070067i
-0.00032443-0.0025849i,0.00014622-0.0016894i,0.00037963-0.0010942i,0.001263+0.00049578i,0.0010163+0.0022109i,0.00079119+0.0018466i,0.0010036+0.00091321i,0.00045736+0.0009191i,-0.00012249+0.0010159i,-0.00028283+0.00056396i,-0.00066278-7.9313e-05i,-0.00067618-0.00048261i,-0.0001359-0.00028149i,-0.00040409-1.474e-05i,-0.00065077+0.00039884i,-0.00026902-0.00017521i,0.00049843-0.00034112i,0.00095386+0.00019993i,0.0003526+0.0001791i,0.00023129-0.0001623i,0.00012721-0.00013289i,-0.00044551-0.00013267i,8.4847e-05-0.00013588i
0.0019989+0.00020423i,0.0018533+0.00072999i,0.0015989-0.00020363i,0.00028878-0.00093774i,0.00018831-0.0012395i,0.0011707-0.00059262i,0.00046085+0.00047426i,-0.00037118+0.0014766i,-0.00020668+0.0015426i,-0.00066894+0.00051885i,-0.00066417+0.00027071i,-0.00034248+0.0010134i,-0.00053335+0.001053i,-0.00099621+0.00077292i,-0.00079107+0.00074174i,0.00014984+0.00096573i,0.00029046+0.00088599i,0.00018752+0.00024657i,0.00057727-0.00059373i,0.00045421-0.0010569i,-5.1561e-05-0.0011547i,8.5896e-05-0.00051659i,0.00079935-0.0002426i
-0.00030073+4.262e-06i,-8.31e-05+0.00054073i,6.3706e-05+0.00065754i,-5.0521e-05+0.0012478i,-5.455e-05+0.0016324i,0.00057771+0.0012927i,0.00072906+0.00058173i,-0.0007076+0.00063374i,-0.00075812+0.00080461i,-0.00014362+0.00048863i,-0.00044777+0.00045317i,-2.0191e-06-2.9607e-05i,0.00028292-1.1014e-05i,0.00029336+9.483e-05i,0.00024264-4.0466e-05i,0.00015747+0.00016398i,-1.1587e-05+6.8027e-05i,0.00027004-0.00029526i,0.00053836-0.00046917i,0.00040011-0.00046668i,-0.00026669+4.9979e-05i,-0.00050064+0.00019616i,-0.00029272-8.6148e-05i
0.00024816-0.00081663i,-0.0002253-0.0013185i,-0.00037952-0.00042517i,-0.00012069+0.00098769i,0.00028551+0.00038519i,0.00061912-0.00046343i,0.00034542+0.00030979i,0.00030032+0.0012485i,0.00077281+0.001835i,0.00045094+0.0012484i,-0.00029339+0.00040959i,4.9478e-05+0.00018591i,0.00028852-0.00036955i,-0.00034546-0.00052172i,-0.00069757+0.00010792i,-0.00016084+0.00014458i,0.00036462+0.00017162i,3.2708e-05+0.0010205i,-0.00025762+0.0012822i,0.00012673+0.00042646i,0.00025836-0.0001994i,0.0002181-0.00013343i,-0.0002284-0.00022013i
0.0010194+0.00011444i,0.0017387+0.00069927i,0.001365+7.404e-05i,-0.00045894+0.00010187i,-0.0017071+0.0010815i,-0.0006613+0.00077769i,0.00014066+0.00040943i,-0.00076534+0.0014471i,-0.0004051+0.0015069i,-0.00067644+0.00021828i,-0.000995-0.00025261i,-0.00030201-0.00020157i,-0.00022081-0.00037907i,-0.00054598-0.00012186i,-0.00055014-0.00039211i,-0.00038027-2.3327e-05i,-0.00031089+0.00069914i,0.00023735+0.00034255i,0.00056391-0.00021782i,0.00090803-0.00062361i,0.00036414-0.00041057i,-0.00056412-0.00016519i,-0.0001638-0.00030549i
0.00044567+0.00091639i,0.00027251+0.00023472i,0.00051298+0.00066948i,0.00094447+0.0015418i,0.0011875+0.0019655i,0.00037601+0.0018389i,-0.00099863+0.0015605i,-0.00087561+0.0014747i,0.00013898+0.0011613i,0.00016964+0.00045103i,0.00034516-0.00046425i,0.00056368-0.0004007i,0.00058714-0.00023238i,0.00050065+0.00019371i,0.00066795+0.0013753i,0.00014635+0.0013843i,0.00018956+0.00071957i,0.0010759+0.00020807i,0.00089772-0.00021734i,-2.4042e-05-0.00028559i,-0.00021869-0.00048578i,-0.00045333-0.00079836i,-0.00064712-0.00059824i
0.0015655-0.0018848i,0.00077628-0.0016737i,0.0017079-0.00092898i,0.0010302+8.6446e-05i,-0.00056801+0.00090166i,-0.00044014+0.00089764i,-0.00051735+0.00088292i,-0.00079231+0.00093869i,-0.000221+0.00046817i,-0.00026179+0.00035053i,-0.0010162+0.00022174i,-0.001484-4.2468e-05i,-0.0010697+0.00067991i,-0.00075312+0.00058184i,-0.00039703+5.7106e-05i,-0.00041278-0.00074537i,-0.00013703-0.0012242i,0.00061961-0.00074634i,0.00051846-0.00019515i,0.00022769+2.9245e-05i,0.00039651-0.00026428i,0.0005079-0.00056188i,0.00014514-0.00074993i
0.00083074-0.00067495i,0.00057527+0.00019716i,3.4137e-06-0.001143i,-0.00078356-0.00052864i,-0.00076818+0.00064626i,-0.00039393+0.00083051i,-0.00018847+0.00082105i,-0.00015799+0.00089773i,0.00025084+0.00023451i,0.00039956-0.00012921i,0.00021155-7.8453e-05i,1.5271e-05-0.00042326i,-0.00063266-0.00040337i,-0.0011248-0.00025305i,-0.00085676-0.00068313i,-0.00034705-0.000741i,-0.00067011-0.0007196i,-0.00070217-0.00025507i,8.3087e-05+0.0005133i,0.00023638+0.00026794i,-6.5976e-05+4.0898e-05i,-0.00012926+0.00020618i,-0.00029392-5.2493e-05i
-0.00033974+8.321e-06i,-0.00053157+0.00069429i,-0.00050525+0.00055766i,-6.6435e-05+0.00029638i,-0.00030199+0.00046894i,-1.1669e-05+0.00023058i,0.00015461+0.00010753i,-8.4728e-05+3.2033e-05i,-0.0004289-0.00037923i,0.00062257-0.00055147i,0.001632-0.00013348i,0.00063972-0.00011962i,0.0003561-0.00098176i,1.088e-05-0.000707i,-0.00057189-0.00045957i,-0.00012429-0.00072254i,0.00024007+0.00033866i,0.00014123+0.00099935i,-4.5541e-05-0.00034454i,0.0001377-0.00047107i,0.00079078-0.00016621i,0.00049638-0.00094735i,-8.1599e-05-0.0013117i
0.0011955-0.00013792i,0.00076491+0.00041491i,-0.00095727+9.4864e-05i,-0.00084696+0.001287i,0.00041302+0.0023617i,8.8496e-05+0.0020575i,8.7182e-06+0.0013884i,0.000416+0.0012543i,0.0006787+0.0011349i,0.00016731+0.00040391i,-0.00074326-0.00011858i,-0.00055866-0.00017105i,0.00040727-0.00024982i,0.00059425-0.00091868i,0.00075898-0.0010308i,0.00067849-9.8937e-05i,-0.00014085+0.00014522i,-0.00070461+0.00031054i,-0.00021167+0.00031464i,0.00040358+0.00028342i,0.0005268+5.1546e-05i,0.0005016-0.00099965i,0.00063802-0.00096112i
