-0.0031091+0.00014999i,-0.0019081+7.6787e-05i,-0.0028228+0.00078252i,-0.0020665+0.0018755i,-0.0011261+0.001943i,-0.00089926+0.0018355i,-0.0013619+0.00216i,-0.00047546+0.0014908i,0.0008508+0.00091235i,0.0013788+0.00053682i,0.0016021-1.8058e-05i,0.0013019-0.00067084i,-8.7552e-05-0.0012449i,-0.00078093-0.0011297i,0.00021358+0.00019001i,0.00028195+0.00035117i,0.00029467-0.00055595i,0.0004834-8.6859e-05i,0.00011912-0.00013247i,0.00025502+0.00030105i,0.00029615+0.00025385i,-9.735e-05-0.00023528i,2.2193e-05-9.8613e-05i
0.0011933+7.6216e-06i,0.0021429+7.7222e-05i,0.0020312+0.00015481i,0.0011762+0.00051204i,-5.8461e-05+1.2459e-05i,-0.0005078-0.00018188i,-3.6863e-05-7.8445e-05i,0.00026149-2.0838e-05i,-0.00018953+8.5562e-05i,-0.00018932-0.00032195i,0.00017197-0.00014337i,-8.8999e-05+0.00019622i,-0.00097437-0.00062326i,-0.0008041-0.0013708i,-0.00040434-0.0012969i,-0.00073148-0.0006254i,-0.0011852+0.0007035i,-0.00060962+0.00083025i,-0.00018326+0.00081537i,-0.00086384+0.0012067i,-0.001266+0.00087053i,-0.00072135+0.00028224i,-9.9026e-05+0.00020836i
-0.00099125-0.0028643i,-0.0018033-0.0013712i,-0.0020131+0.00032595i,-0.0023033+0.0011796i,-0.0025364+0.0014313i,-0.0018348+0.0013046i,-0.00063572+0.0015063i,5.4223e-05+0.00085958i,-9.7373e-05-0.00031018i,-0.00013328-0.00029955i,0.00012876-0.0002269i,0.00036529-0.00043461i,0.00010426-0.00082918i,-1.8526e-05-1.2209e-05i,0.0004693+0.00077087i,9.4867e-05+0.00067496i,-0.0004924+0.00038259i,-0.00044907-2.1252e-05i,5.2517e-06-0.0005036i,0.00010146-0.00071995i,6.9267e-05-0.00089474i,0.00019508-0.00067966i,2.4136e-05-7.54e-05i
0.0026732+0.0011422i,0.0023772+0.00076726i,0.0013625-0.0006807i,0.00015338-0.00058592i,0.00082765+0.00068783i,0.0018485+0.00076305i,0.001343+0.00089992i,0.00069023+0.00073403i,0.00026323+0.00017759i,2.7487e-05-5.1451e-05i,-0.0003402+0.00025167i,-3.097e-05+0.00052721i,0.0008098+0.00055797i,0.0009965+0.00072947i,0.00071086+6.1117e-05i,2.4002e-05+8.3052e-05i,-0.00010655+0.00024947i,0.00030003-0.00018984i,-0.00032771+5.124e-05i,-0.00043821+0.00037614i,-0.0005446-0.0004913i,-0.0014424-0.00077983i,-0.0015174-4.7422e-05i
0.0016222+0.00097469i,0.0022964+0.0011193i,0.00052071+5.5954e-05i,-0.000531-6.376e-06i,-0.00098083+0.0012901i,-0.00090022+0.0014951i,-0.0012475+0.00048926i,-0.0011915-0.00050136i,0.00092129-0.00025924i,0.0012359+0.00045583i,0.00047478+0.00016042i,-0.0001104-0.00054048i,-0.0012496-0.00032162i,-0.0011533-5.5256e-06i,-0.00076207+0.00015577i,-0.0002512+0.00025797i,2.8597e-05-5.1019e-05i,-0.0004093+0.00024084i,-0.00082701+0.00063736i,-0.00025426-0.0001214i,0.00011334-0.00070874i,-0.0003308-0.00045758i,0.00030263-0.0001834i
0.00010485-0.0020168i,0.00019077-0.0010956i,-0.001378-7.2782e-05i,-0.00257+0.0010813i,-0.0018374+0.0014732i,-0.0005838+0.00080706i,7.4059e-05+0.00085744i,0.00043554+0.0009377i,0.00070354-0.0001926i,0.00047958-0.00053362i,0.00035891+0.00077481i,0.00018492+0.0011058i,3.5926e-05+0.0005598i,-0.00015812+0.00021727i,0.00020725+5.781e-05i,0.00053528+0.00026262i,-0.00010855+0.00011663i,-0.00093712-0.00042624i,-0.00050119-0.00062844i,0.00042423-0.00042578i,0.0013111-0.00023087i,0.00099174-0.00040631i,0.00015171-0.00095856i
0.0016279+5.9311e-05i,0.00059765+0.00088952i,-0.00068888+0.0017133i,-0.00063426+0.0017083i,-0.00034387+0.00075652i,0.0001794+0.00015793i,0.00050866-0.00012646i,0.00053839+1.4584e-05i,0.00013253+0.00079682i,-0.00081352+0.00085272i,-0.0011442+0.00022255i,-0.00064358-0.0002962i,-0.00063505-0.00083295i,-0.00043406-0.0012243i,-0.00024036-9.4541e-05i,-0.00030855+0.00083002i,-0.00017897+0.00085131i,-0.00059765+0.00074964i,0.00028451+1.6222e-05i,0.0017079-0.00079261i,0.0015753-0.00064058i,0.0010775-5.1003e-05i,0.00070608+0.00025548i
0.0018382+0.0013134i,0.0013323-0.00018932i,-0.00024163+0.00028949i,-0.00049518+0.00059924i,1.9479e-05+0.00082255i,-0.0003268+0.00075465i,-0.00066951+0.00036822i,0.00042505+0.00012866i,0.0012254-5.5616e-05i,0.0013028+0.00033793i,0.0010705+0.0010097i,0.00078973+0.00078816i,0.0003263+0.00055125i,3.411e-05+0.00076352i,-0.00057687+0.00037921i,-0.0011526-1.132e-06i,-0.00034444-0.0003746i,0.0004906-0.00032347i,0.00030581-0.00030513i,0.00023787-0.00043714i,0.00033023-0.00015316i,0.00045417+2.6596e-05i,-0.00034583+0.00018613i
0.0010841-0.00072999i,0.0010554-0.00023152i,0.00047576+7.4526e-05i,-0.0011185+0.00033135i,-0.00089967+0.0011119i,0.00061859+0.00088814i,0.0013296+0.00040534i,0.00070228-0.0004548i,1.7429e-05-0.00098266i,-0.00037067+6.356e-05i,-0.00031669-0.00030249i,7.2533e-05-0.00057883i,0.00044937+0.00035068i,0.00066766+0.00081558i,0.00071669+0.00066094i,0.00056332+0.00034484i,0.00052296+0.0005999i,-1.9555e-05+0.00021771i,-0.00080435-0.00027161i,-0.0006499+0.00029505i,-0.00027954+0.00020388i,-0.00032452-0.00032626i,-0.0004006-0.00054629i
-0.00051406+0.0019757i,-0.00016911+0.0014102i,-0.00050267+0.00087134i,-0.00045437+0.0013144i,-5.8071e-05+0.0017213i,2.4075e-05+0.0010279i,0.00076222+0.00064293i,0.00089791+0.00044401i,0.00046281+0.00018888i,-0.00051728+0.00029447i,-0.00028383+1.9108e-06i,0.0010432-0.00024418i,0.00090016-9.7913e-05i,0.00018099+0.00037867i,0.00024666+0.00033813i,-0.00013889-3.2097e-05i,-0.00043911+0.00027091i,-0.00028369+0.00017993i,-0.00020059-0.00030372i,0.00014007-0.00012673i,-0.00028654-5.0232e-05i,-0.00056164-0.00011412i,0.00011972-0.00019151i
0.0032388+0.0001649i,0.0020101-0.00061021i,0.00063648-0.0017959i,-0.00058525-0.0011677i,-0.0008265-1.9404e-05i,-0.00039722+0.00050445i,4.3155e-05+0.00013636i,-0.00015209+0.0001152i,-0.00023242+0.00029138i,-3.5231e-05-0.00071916i,-0.0003331-0.0012386i,0.00044766-0.00052084i,0.00065694+0.00078349i,-0.00058438+0.0013256i,-0.00070761+0.00081502i,-0.00064967+0.00014308i,-0.00056167+0.00047162i,0.00013215+0.00098905i,-0.00019665+0.00093726i,-0.00063486+0.00090423i,-0.00017805+0.00051173i,0.00020698+5.8191e-05i,0.00094987-0.00085859i
0.0010517-0.00090137i,0.0010068-0.00077239i,0.00014871-0.0013402i,-0.0010197-0.00028457i,-0.00057595+0.0011151i,0.00051916+0.0017616i,0.00020331+0.0015385i,-0.00027633+0.0011775i,-0.00026334+0.00068777i,4.959e-05-0.00035721i,0.00012972+3.6098e-05i,-0.00013335+0.00071349i,-0.00046433+0.00050742i,-0.0006274+0.00025926i,-0.00050256+0.00054087i,-0.00035203+0.00076619i,-0.00043905+0.00037608i,-0.00068311+4.1019e-06i,9.8632e-05+0.00011214i,0.0005491+0.00010104i,-0.00044305-0.00059221i,-0.00070745-0.00064621i,-0.00085451-0.00024824i
-0.00067767+0.00059925i,-0.0002138+0.00095909i,-0.00044578+0.00085598i,-0.00071247+0.00042938i,2.1084e-05+0.00012761i,0.0005227+0.00023096i,0.00049855+0.00044877i,0.00066479+0.00052722i,0.00057256+0.00036415i,-0.00013239+0.00037319i,-0.00037892+0.00033448i,-0.0005139-0.00024694i,-0.00020575-0.00072944i,0.00025668-0.00065476i,-6.1949e-06+0.00030754i,-0.00032629+0.00059946i,-0.00044339+8.1073e-05i,-0.00085127-0.00029621i,-0.001137-0.00014166i,-0.00059215+0.00066217i,-1.3324e-05+0.00086911i,6.7868e-05+0.0010994i,9.8326e-06+0.00083437i
0.0030004+0.00085765i,0.0020663+0.0003005i,0.0022144-0.00015216i,0.0022491-0.00068477i,0.00094657-0.00026634i,-0.00034891-0.0001121i,-0.00070442+0.00012793i,-0.0001327+3.5526e-05i,0.00059418-0.00052793i,0.00080678-0.00020731i,0.00081174-0.00045486i,0.00051651-0.0011917i,7.515e-05-0.00090433i,-0.00044959-0.00044481i,-0.00031661+0.00017786i,0.00010775+0.00065394i,-0.00013982+0.00070499i,-0.00057649+0.00024036i,-0.00064933-0.00053333i,-0.00062837-0.00054185i,-0.00049128-0.00011545i,-0.0005629+0.00048629i,-0.00037999+0.00034141i
-0.0014304+0.00019155i,-0.0012566-0.00059472i,-0.0003622+0.0010542i,-0.00021085+0.0011515i,-6.8165e-05-0.00033955i,0.00023778-8.5022e-05i,0.00017326+0.00031176i,-6.4613e-05-7.4602e-05i,-0.00059549-0.00035682i,-0.00098403-0.00085435i,-0.00077281-0.00090875i,-0.00068982+0.00010863i,-0.00075938+0.00079667i,0.00024471+0.00078387i,0.00042884+0.00051661i,-0.00018833+3.1921e-05i,-0.000268-4.9489e-05i,-0.00028685-0.00021533i,-0.00020308-7.9631e-05i,0.0004094+3.3792e-05i,0.0014296-0.00069378i,0.0011933-0.00081427i,0.00045019-0.00030186i
0.00021416-0.0014772i,0.00036183-0.00090063i,-0.00080174+7.3681e-05i,-0.0002613+0.0019609i,0.00054842+0.0031796i,0.0005115+0.002156i,0.00029786-0.00036178i,0.00035541-0.0007777i,-0.00010552+0.00015429i,-0.00086172+0.00027782i,-0.00096063+0.00077104i,-0.00033622+0.0010691i,7.1721e-05+0.0011525i,-0.0001224+0.0018374i,-0.0001021+0.0014793i,6.2887e-06+0.0015847i,0.00040682+0.0014658i,0.00062426+0.00043036i,5.7053e-05+0.00020284i,-2.4994e-05+0.00017259i,0.00017172+0.00039097i,0.00024331+0.00027768i,0.00016837-0.00034854i
0.002849-5.0797e-05i,0.0015729-0.0010266i,0.00099988-0.00097025i,0.00052118+9.3759e-06i,-0.00015705+0.00025734i,-0.0007251+3.4706e-06i,-0.00064483-8.5406e-05i,-0.00021134-0.00033572i,0.00037633-0.00053703i,0.0003753-0.00079276i,9.7307e-05-0.0010628i,0.00011524-0.00079692i,-0.00025513-4.9683e-05i,-0.00077733-3.8765e-06i,-0.00036197-0.00056171i,0.00056564-0.0003077i,0.00039299-3.2248e-05i,-0.00021038-0.00013671i,-0.00055892-0.00061419i,-0.00085414-0.00046183i,-0.00074641+0.00014677i,-0.00082731+0.00095109i,-0.00092967+0.0010476i
-0.0001982-0.00017226i,-0.00084725+0.0003401i,-0.0012325+0.00027196i,-0.0012788+0.00035386i,-0.0014158+0.0014765i,-6.5266e-05+0.0014374i,0.00121+0.00033661i,0.00087739-0.00050315i,-0.00047639-0.00042438i,-0.0013429+0.00029079i,-0.0008614+0.00096638i,-0.00029965+0.00062366i,-0.00060513-0.00022678i,-0.00087818-0.00035902i,-0.00072872-0.00043725i,-0.00051183-0.00034084i,-0.00042735+1.5078e-05i,-0.00095906+0.00023379i,-0.00074418+0.00085543i,0.00016963+0.0010257i,0.00046884+0.00035262i,0.0007946-3.6107e-05i,0.00054264+0.00010839i
0.0010388+0.0026949i,0.0013171+0.0020259i,0.0003969+0.0015739i,-0.00025684+0.00087149i,0.00044248+0.00032357i,0.00081781+2.895e-05i,0.00080216+0.00041362i,-8.6975e-05+0.0007422i,-0.0013402+0.00093272i,-0.0012028+0.00089199i,-1.0772e-05+0.00038446i,0.00034946-0.00026688i,8.4628e-05-0.00029111i,-1.26e-05-0.00027544i,-0.00068197-0.0004927i,-0.0013263-0.00099189i,-0.00095911-0.0010402i,-0.0005524+0.00037129i,-0.00019214+0.00070228i,-2.4157e-05+0.00013849i,0.00059514+0.00025573i,0.00056301+0.00011531i,-5.6264e-05-0.00027815i
0.0014247+0.00097615i,0.0014251+0.00073947i,0.00059555+0.00047354i,-0.0010235+0.00060517i,-0.00131+0.00055374i,4.1491e-05+0.00041379i,0.00034106+0.00049766i,0.00028415+0.0003156i,6.0295e-05-0.00057261i,-0.00028982-0.00075018i,0.00030766-0.00023459i,5.7025e-05-0.00023718i,-0.0005717+1.7047e-05i,-0.00027891+0.00022806i,0.00016539+0.00018843i,3.8962e-05+0.00060067i,-0.00053592+0.00052307i,-0.00042799+0.00045207i,-0.00052165+0.00049874i,-0.00066622+7.7013e-05i,-0.00014001+0.00015229i,8.6383e-05+0.0006414i,1.5997e-06+0.00063006i
0.0004196-0.00010071i,-0.00050309-0.00018325i,-0.0013583+0.00041326i,-0.001953+0.00032405i,-0.0012634+0.00012088i,0.00020073+0.00053237i,0.00034811+0.00031416i,0.00069849-0.00032678i,0.00079174-0.00076316i,6.226e-05-0.00059709i,-0.00047688-0.00025979i,-0.00036361+0.00030964i,-0.00062835+0.00087495i,-0.0009033+0.00025838i,-0.00069931-0.00025937i,-0.0012419-0.0006096i,-0.0013927-0.0012181i,-0.00069254-0.0009642i,-0.00029533+1.5762e-05i,-0.00060009+0.00012839i,-0.00039927+9.8842e-05i,-9.5376e-05+0.00025163i,-0.00054289+6.3052e-05i
0.0017066-0.0013476i,0.00055328-0.0007591i,0.00023025-0.0012928i,-0.00097526-0.00080023i,-0.0014822+0.00013041i,-0.0016342+0.0011671i,-0.0011002+0.0013334i,-0.00013767+0.00078495i,-0.00027267-0.00045581i,-0.00046432-0.0010139i,-0.00011353-0.00083012i,-0.00023629-0.00060643i,-0.00041508+3.6739e-05i,-0.00085767-3.0013e-05i,-0.0010582-0.00029884i,-0.00065557-0.0003074i,6.4666e-05-0.00057901i,0.00014077-0.00023683i,-0.00041948-0.00015709i,-3.0113e-06-0.0003246i,0.00078038-3.1361e-05i,0.00037645+4.9465e-05i,-0.00013616-0.00041962i
4.9619e-05+0.0026457i,0.00023149+0.0018098i,0.00056919+0.0015174i,0.00076763+0.00021979i,0.0012435-0.0002349i,0.0020692-5.2771e-05i,0.0017567-0.00022647i,0.0012408+0.00031203i,0.00083513+0.00049944i,0.00047811+0.00019466i,-0.00034387-4.4339e-05i,-0.0010079-0.00086712i,-0.00096697-0.0013549i,-0.0011948-0.00083742i,-0.0012381-0.00018368i,-0.0007236+4.3262e-06i,-0.0002966-5.069e-05i,0.00034604+0.00012463i,0.00016335+7.6136e-06i,-0.00079307+4.2201e-05i,-0.0011811+0.00072862i,-0.0010031+0.0005356i,-2.4653e-06-0.0003162i
-0.001099-0.0021855i,-0.0011272-0.00081468i,-0.0011409-0.00010279i,-0.00038932+0.00051336i,-0.0003166+0.0013827i,-0.00035337+0.00083978i,-0.00026754-0.00013534i,-0.00063101-0.00025973i,-0.00082464-0.00024965i,-0.0010388-0.00024486i,-0.001401-0.0002435i,-0.00087795-5.0846e-05i,-9.316e-05-8.5093e-05i,-0.00016373-0.00036909i,-0.00022882-0.00021813i,0.00022977-0.00017555i,0.00061899-0.00038945i,0.00036485-7.4408e-05i,9.8113e-05+0.00022709i,0.00042283+0.00010297i,0.00026116+0.00060591i,-0.00041955+0.0014277i,-0.0001874+0.0015476i
