1.1461e-05+0.0013952i,-0.00063297+0.00076065i,1.9613e-05+0.00014525i,0.00057405-0.00065018i,-0.00036375-0.00080745i,-0.0011075+9.6541e-05i,-0.00033931+0.00017565i,0.00097729+0.00013887i,0.0013183+0.00052394i,0.00095151+0.00031471i,0.00046642-0.00068137i,-0.00012086-0.00092348i,-0.00058626-0.00022539i,-0.00065207-0.00021643i,-0.00084102-0.00066406i,-0.00056932-0.00076027i,-5.2127e-06-0.00036642i,0.00049812-1.093e-05i,0.00062048+1.976e-05i,-7.3309e-05+0.00012659i,-0.00071862+0.00025841i,-0.00021098+0.00042584i,-3.0877e-05-8.6048e-05i
-0.0019031-0.0018031i,-0.0026393-0.0012604i,-0.0023554-0.00016789i,-0.0019188+0.0014061i,-0.0010666+0.0018929i,0.00052749+0.00030519i,0.0014203-0.0012693i,0.00078976-0.0016954i,-0.00047421-0.001641i,-0.0004921-0.0007066i,3.6991e-05-6.31e-05i,0.00014155-0.0002956i,0.00022517-0.00025498i,0.00042095-0.00017917i,0.00038108-0.00049707i,-7.9947e-05-0.0005155i,-0.00022396+0.00032239i,-0.00067541+4.6263e-05i,-0.0010106-0.00084714i,0.00017145-0.00043349i,0.0010484+0.00028067i,0.00089294+0.00076352i,0.00049138+0.00020523i
0.00095181-0.00098184i,0.0018857-0.00028699i,0.0010111+0.00058654i,9.1451e-05+0.0009506i,0.00047456+0.00059623i,0.00037315+0.00018868i,-0.00051272-0.00035813i,-0.00099955-0.00089693i,-0.0012057-0.00049314i,-0.001239-7.672e-05i,-0.00036742-0.00014547i,0.00078591+0.0004501i,0.0010602+0.0011676i,0.00064048+0.00034671i,-9.5499e-05-0.00084013i,-0.00088343-0.00094038i,-0.0012011-0.00056847i,-0.0006662+0.0004353i,0.00048223+0.00012376i,0.00026534-0.00028635i,-0.00037384-0.00021298i,0.00030168-0.00059875i,0.0010483-0.00014623i
0.00062512+0.0026164i,0.0010062+0.0017909i,0.0008177+0.0015369i,-3.6577e-05+0.00077032i,-0.00013836-0.00041943i,0.00058214-0.0010279i,0.0011168-0.0011748i,0.0015596-0.001728i,0.00075737-0.0016697i,-0.00012356-0.00072847i,-0.00017695-0.00029976i,-0.00080374-9.469e-05i,-0.0010969+0.00027422i,-0.00087204-0.00035811i,-0.0010279-0.00091533i,-0.0011825-0.00097392i,-0.0011796-0.00085299i,-0.00076063-0.00013845i,0.00027899-0.00034722i,0.00023517-0.0010559i,-0.0002251-0.00032868i,0.00013199+5.7153e-05i,0.00016679-0.00024562i
0.00030072-0.0024504i,3.7029e-05-0.0032501i,-3.1766e-05-0.0025402i,-0.00042655-0.00090014i,-0.00037818+6.2571e-05i,0.001071+0.00153i,0.0020014+0.0014537i,0.0012704-0.00074755i,0.00032373-0.0011111i,0.00044952+8.5894e-05i,0.00097877+0.00045833i,0.00055229+0.00026616i,0.00027355+8.0173e-05i,0.00020608-1.4793e-05i,2.0849e-05-0.00050981i,-0.00032425-0.00059844i,-0.00050241-9.021e-05i,0.00033094-0.00036405i,0.0011585-0.00077728i,0.00057855-0.00042468i,0.00014101-0.0010627i,9.6215e-05-0.0011639i,-0.00011976-0.00025374i
0.0016354-0.0011773i,0.00015942-0.0013423i,-0.00023265-0.00086224i,0.00015809-0.0010347i,-3.9655e-05-0.0012726i,0.0007973-0.0012601i,0.00094465-0.00072196i,0.00031974-0.00029988i,0.00027737+0.00053189i,0.00093556+0.00012123i,0.0015388-0.00049103i,0.0006621-0.00018997i,0.00012321+0.00014476i,5.7307e-05-0.00015468i,-6.0962e-05-0.00031134i,0.00013391+5.646e-05i,0.00041538-0.00079744i,0.00068408-0.00085012i,0.00027843-0.00049238i,-0.00033706-0.00018595i,-0.00074887-9.5944e-05i,-0.00043838-0.00030151i,-0.00070595-0.00021089i
-0.0016934+0.0016005i,-0.0016784+0.0012952i,-0.0017614+0.0018169i,-0.0016309+0.0013816i,-0.00050539+0.00098363i,0.00029515+0.00060673i,0.00046419-7.5667e-05i,0.00045823-9.078e-05i,-0.00057823+0.00046945i,-0.0014231+0.00018967i,-0.00099317-0.00079599i,-0.00028594-0.0004537i,-0.00013498+0.00036033i,-0.00041826-0.00038893i,-0.00051126-0.0010677i,-0.00019001-0.00099476i,-0.00016929-0.0006457i,-1.2351e-05-0.00064184i,0.00032623+0.000235i,-6.4573e-05+0.0010015i,-0.00055995+0.00030192i,-0.0003804+0.00019655i,0.00016883+0.00024151i
-0.0019605-0.00024647i,-0.00015581-0.00030529i,0.0010087-0.00024632i,0.0006251+0.00097384i,0.00055613+0.0018031i,0.00091566+0.00084184i,0.0017105-0.00013205i,0.0015651-0.00075914i,0.00021026-0.00091308i,-0.00011341-0.00023152i,0.00025999+0.00030364i,0.00027588+0.0010373i,0.00053678+0.00054578i,0.00074087-0.00071036i,0.00079627-0.001495i,0.00035503-0.0014637i,-0.00035469-0.0011237i,0.00032409-0.0011521i,0.00055615-0.00033709i,0.00013843+0.00070011i,0.00037204+0.00064167i,0.00041731+0.00021188i,0.00044924+0.00036231i
0.0016132-0.00021329i,0.0012263-0.00073443i,0.00034042-0.00016791i,-0.0010759+0.00020652i,-0.0015431-0.00032601i,-0.00034562-0.00018413i,0.00029708-0.00037201i,0.00077084-0.0006956i,0.00066675-7.8841e-05i,7.8612e-05+0.00035582i,-0.00041657+0.00022i,-0.0001336+0.00045728i,3.9426e-05+0.0005073i,-0.00062133+0.0006397i,-0.0013288+0.00076763i,-0.0010189-5.6085e-07i,-0.00029387-0.00047095i,0.00015315-0.0001294i,0.00057457+0.00024483i,0.00067118+0.00012447i,0.00034841-0.0003686i,-0.00032385-0.00016036i,-0.00034325-0.00044365i
-0.00080558-0.00048947i,-0.0017202+0.00022497i,-0.00082909+9.711e-05i,-0.0004523+0.00051699i,-0.00013596+0.0013814i,0.0012732+0.0012119i,0.0016541+0.00049503i,0.00031927-0.00021185i,-0.00057535-0.00031641i,-0.00062912+0.00055868i,-0.00075274+0.00096241i,-0.00032171+0.00075945i,0.00039926+0.00058254i,0.00028673+0.00038254i,0.0002425+5.5693e-05i,0.00034205-0.00078223i,0.00010733-0.00078672i,0.00038171+9.9106e-05i,0.00034431-0.00016361i,6.4186e-05-0.0008151i,-0.00021445-4.4834e-05i,-0.0010254+0.00030544i,-0.00067296-0.00054937i
-0.0022912-0.0025351i,-0.0025075-0.0017959i,-0.001178-9.1336e-05i,-0.00053758+0.0010841i,0.00033543+0.00039787i,0.0016439-0.00055756i,0.0013015-0.00078863i,0.00024359-0.00062839i,-0.00036063-0.00038196i,-0.00020635-1.0276e-05i,0.0007135+0.00030922i,0.00075654+0.0003642i,0.00047747-0.00051646i,0.0011604-0.00064736i,0.0010806-0.00011054i,0.00017163+0.00021222i,-0.00052836+0.00039982i,-0.0004932+3.6663e-05i,0.00044705-0.0004764i,0.00048096-0.00077315i,-0.00013162-0.00073002i,0.00029085-0.00073828i,0.00098447-0.00023371i
-0.0003729-0.00083219i,8.9247e-05-0.00053008i,-0.00042927-0.00022267i,-0.00035568-0.00016463i,8.6903e-05-0.00055837i,0.00025248-0.00052101i,0.00067733-0.00020619i,0.00067278+5.3615e-05i,3.2947e-05+0.00031443i,-0.00056712-0.00025988i,-0.0010898-0.00062587i,-0.0009972-0.00082316i,-0.00037749-0.0010545i,-0.00019218-0.0012821i,0.00024526-0.00090398i,0.00076044-0.00038432i,0.00059885-0.00064878i,-4.0858e-06-0.00070329i,-0.00016459-0.0010918i,3.9358e-06-0.00086293i,0.00061852+3.0378e-05i,0.0014365+0.00028373i,0.0011878+0.00067907i
-2.0174e-05-0.0015427i,-0.00058452-0.0011095i,-0.0014224-0.00041837i,-0.0013441+0.00039295i,-0.00073874+0.00039646i,0.00045418-0.00034799i,0.0013653-0.00053674i,0.00071948-0.00035669i,0.00011556+0.00021261i,2.8563e-05+0.00079529i,-0.00025339+0.00019744i,-0.00011992+2.5552e-05i,6.4307e-05+0.00012142i,-0.00031936-0.00040772i,-1.7447e-05-0.00067814i,0.00016396-0.00030299i,-0.00045823-4.7047e-05i,-0.00044914-0.00034313i,-8.6236e-05+0.00066056i,-0.00017985+0.0013463i,-0.00017729+0.00066184i,0.00019769-0.00048604i,0.0008143-0.00045233i
0.00037545+0.00090213i,0.0001998+0.00031779i,-0.00035229+0.00037248i,-0.00082424+0.00073434i,-0.00063933+2.2543e-05i,-0.00064219-0.00056052i,-2.7718e-05-0.00090294i,0.00058755-0.00096533i,-0.00018836-0.00095038i,-0.00070304-0.00082612i,-0.00049884-0.0001014i,-0.00028998+0.00045226i,0.00053853+3.52e-05i,0.00052373-0.00030451i,-0.00094112-0.00045421i,-0.001478-0.0006085i,-0.001171+8.6177e-05i,-0.00050649+0.00051397i,-0.00051398+0.00048482i,-0.001017+0.00023296i,-0.00039727+0.00017295i,0.00037138+0.00043756i,0.00026205+0.00055882i
-9.8436e-05-0.00066076i,0.00093642-0.00062234i,0.001079-1.5892e-05i,-2.318e-05+0.00047188i,8.6553e-05+0.00027797i,0.00050366+0.00059658i,-0.0002888+7.7447e-05i,-0.00025283-0.0013806i,-0.00023505-0.00093865i,-0.00044669+0.00035591i,-3.1169e-05+0.00022779i,-4.5631e-05-0.00015021i,0.00024808-0.0003604i,0.00072363-3.0456e-05i,-0.00022319+0.00029035i,-0.0012096-7.096e-06i,-0.00035286+8.6315e-05i,0.00052976+6.2561e-05i,0.00049988+0.00026497i,-0.00018468+0.00037696i,-0.00083507+0.00076905i,-0.00020046+0.00095414i,0.00093466+0.00014882i
-0.0004527-0.0010741i,-0.00058424-0.0014157i,-0.00067963-0.00077758i,0.0001111-0.00036335i,0.001586-6.7907e-06i,0.0021002+0.00018675i,0.0017455-0.00042963i,0.00085141-0.0010451i,0.00019527-0.0015897i,0.0001565-0.0012414i,5.9239e-05-0.00044072i,0.00019828+2.617e-05i,0.00040644+0.00015868i,0.00035869-0.00051169i,0.00060131-0.00094887i,0.00073143-0.00027921i,0.00014399+0.00042019i,-0.00079139+0.00062968i,-0.00049689+6.7233e-05i,8.9694e-05-0.00049231i,3.793e-05-0.00042157i,0.00028897+0.00020013i,0.00043336+0.00068411i
0.0011961+0.0010634i,0.0013344+0.0016619i,0.00027893+0.0020664i,-0.00030016+0.0014125i,0.00081301+0.00017017i,0.002026-0.00047773i,0.0013221-0.00033474i,-0.00025707+0.00049573i,-0.00057481+0.00058172i,-5.6207e-07-0.00032857i,0.00038241-0.00072767i,0.00036473-0.0011101i,0.0001083-0.00097265i,-0.00019833-0.00037485i,-0.00026543+2.1117e-05i,0.0001433+0.00021647i,0.00049077-0.00014251i,5.3109e-05+0.00010533i,-9.8813e-05+1.3818e-05i,-0.00010989+0.00031031i,0.00029789+0.0010066i,0.00059377+0.00024841i,0.0003363-0.00028017i
-0.00060338+0.0014579i,-0.0006038+0.0010958i,-0.00027484+0.0011934i,0.0007642+0.00018852i,0.0017427-0.0012543i,0.001915-0.0026021i,0.0018439-0.0019013i,0.001436-0.00070716i,0.0010396-0.0003812i,0.00048861-4.5351e-06i,-0.0005008+0.00051871i,-0.00082427+0.0009945i,-0.00015912+0.0010952i,8.9824e-05+0.00037669i,-3.0936e-05-0.00016785i,-0.00022916-0.00022869i,-0.00021408-0.00040332i,0.00047964-0.00067997i,0.00077801-0.00060637i,0.00017523-0.0007983i,-0.0002758-0.0011629i,7.2222e-05-0.0013347i,0.0012435-0.001105i
0.001366+0.00084653i,0.0019371+6.9051e-05i,0.00096297-0.00055387i,0.00043898-0.0012012i,0.0002327-0.0010784i,0.00026695-0.0004726i,0.0010889-0.00053567i,0.001476-0.00045194i,0.00024763-0.00036323i,-0.00029987-0.00065784i,0.00055466+3.7211e-05i,6.6929e-05+0.00034337i,-0.00022257+0.00010671i,0.00010802-0.00030117i,-0.00067347-0.00090002i,-0.00090881-0.00081705i,-0.00029059-0.00022425i,0.00068079-3.0531e-05i,0.0009855+0.00032293i,0.0005351-0.00017495i,0.00064327-0.00019929i,0.00062051+0.00072774i,0.00056369+0.00039995i
-0.00010631-0.00022193i,-0.00145-0.00083369i,-0.0025725+0.00031567i,-0.0017564+0.0019423i,-0.00054722+0.0018709i,0.00036079+0.00075241i,0.0017734-0.00060826i,0.0014025-0.0012523i,0.00047564-0.00091175i,0.0006681-0.000563i,0.0004178-0.00087194i,0.00028608-0.0012656i,0.00085819-0.00059477i,0.00073588-0.00019879i,-4.8797e-05-0.00031606i,-0.00087638-0.00033277i,-0.00083671-0.00043223i,-0.00024278-0.00038206i,0.00059868-0.00042932i,0.0011504-0.00036745i,0.00036988+0.00052267i,-0.00024114+0.00072472i,0.00032089+0.00028739i
-0.00067421+0.0013603i,-0.00022849+0.0026521i,0.0010487+0.0016371i,0.0017247+0.0012296i,0.00075605+0.0012551i,0.00012126+0.00016085i,0.00020026-0.00063231i,0.00060537-0.00090117i,0.00032417-2.2169e-06i,-9.053e-05+0.00091767i,-0.00034417+0.00054709i,-0.00053785+0.00012754i,-0.00026076+0.00035985i,0.00027366-0.00036915i,0.00058911-0.0010343i,0.00029821-0.00073637i,-0.00024843-0.00051629i,-0.00057687-0.00016686i,-0.00050601+0.00026997i,-0.00045435+5.744e-05i,-0.00049256+0.00013728i,-0.00042892+0.00054324i,-5.414e-05+0.00033518i
0.0011196-0.00059645i,0.00092521-0.0013801i,0.0018841-0.00022571i,0.001954-0.00011515i,0.0016584-0.00043217i,0.0020376-0.00014157i,0.0019366-0.0006934i,0.0013117-0.00090724i,0.00022276-0.0003617i,0.00024616-0.00014253i,0.00086206-0.00071185i,0.0008093-0.00048947i,0.00027758-0.00015391i,-0.00012368-0.00049305i,-0.00082599-0.00010072i,-0.00096411+0.00072075i,-0.00086337+0.00013625i,-0.00070368-0.00025448i,-0.00014816+1.2686e-05i,-0.00027308-0.00028664i,-0.00015253-0.00028207i,0.00010205+0.00052957i,-1.9516e-05+0.00053089i
-0.00035786+0.00064509i,-0.0011283+0.00036963i,-0.001259-0.00022362i,-0.0011031-0.00045214i,-0.00044247-0.00059735i,0.00078398-0.0012487i,0.0015956-0.0021545i,0.0016281-0.0016582i,0.00087914-4.244e-05i,-0.00016062+0.00077215i,-0.00044764+0.00024685i,-0.00068087-0.0006633i,-0.00037176-0.00064825i,0.00016753+2.7851e-05i,0.00034146+4.1378e-05i,0.00057502-8.7049e-05i,0.00059738-6.9074e-05i,0.00013723+0.00042713i,-0.00032745+0.00046829i,-0.00045046+0.00020607i,-8.1583e-05+0.00042469i,-1.7932e-06+0.0003884i,-0.00020591+0.00068786i
-0.0029116+0.00048745i,-0.0015442-7.9793e-06i,-0.0011924-2.9597e-05i,-0.0011774-0.00046341i,-0.00053661-0.0015517i,0.00042353-0.0021395i,0.0013991-0.0017387i,0.00083845-0.0016728i,-0.00018104-0.0011058i,-0.00036474+0.00042897i,-3.1164e-05+0.00087114i,0.00023518+0.00047365i,-0.00016521-0.00069984i,-0.00065616-0.0013272i,-0.00045703-0.0006523i,-0.00016283+4.692e-05i,-2.0623e-06+0.00013496i,0.00028248-0.00012616i,0.000686-0.00048866i,0.0004853-0.00030902i,0.00014951-0.00037029i,0.00018935-0.00088278i,0.0002203-0.00032861i
0.00066354-0.002926i,0.0006992-0.0023737i,-4.8692e-05-0.0010282i,-0.00182-0.00020965i,-0.0017429+1.11e-05i,-0.001119+0.00030186i,-0.00042382-0.00050954i,6.0945e-05-0.0017239i,-0.00021218-0.0016165i,-0.00029426-0.00020895i,-0.00018547+0.00039937i,0.000503+0.0011049i,0.00090941+0.001111i,0.00045146+0.00038485i,0.00022096-0.00027227i,0.00026849-0.00073455i,0.00029958-0.0005058i,4.1188e-05+8.5513e-05i,-0.00047826+0.00065118i,0.00022275+0.0011897i,3.5323e-05+0.00067252i,-0.0006476+3.3371e-05i,-0.00011776+0.00035705i
0.0019907+0.00089151i,0.00098585+1.7237e-05i,-0.00010493-0.00035385i,-0.00058303+0.00012654i,-0.00050697+0.00098869i,0.0002701+0.00032323i,0.00087448-0.00032145i,0.00031349-0.00039533i,-0.000971-0.00057424i,-0.0016621-0.00027343i,-0.0011726-0.00059183i,-0.0002831-0.00013758i,-0.00061864+0.00028286i,-0.0010634-0.00022378i,-0.00071482-7.0769e-05i,3.8172e-05+6.3241e-05i,4.5093e-05+6.9581e-05i,-5.9583e-05+7.1665e-06i,0.00041881+2.9205e-05i,0.00080335+0.00049945i,-0.00010803+0.0010861i,-0.00065939+0.0012834i,0.00013113+0.00066281i
-0.00037687-4.1513e-05i,-8.6846e-05-0.00033469i,0.00024045-0.00037183i,6.8907e-05-0.00011634i,-9.3011e-05+0.00024487i,0.00061951+0.0010542i,0.00074427+0.00054142i,0.00057233-0.00021758i,0.00044087+0.0002217i,0.00018807+0.00076102i,-3.2228e-05+0.00038128i,-0.00035107-0.00017016i,-0.00019777+0.00042049i,5.8745e-05+0.00019179i,2.3149e-05-0.0011326i,0.00073299-0.00093805i,0.0013929-0.0002245i,0.00048543-0.00033797i,-0.00058511-0.00018531i,-6.6737e-05-0.00021761i,0.00018715-0.00056222i,-0.00038773-0.00029957i,-0.00050054-0.00026699i
0.00020322-0.0026778i,-0.00012314-0.0015023i,0.00013785+0.00010138i,0.0006638+0.00026033i,0.0014835-0.00010151i,0.0021928-0.0002748i,0.0017845-0.00054105i,0.00053032-0.00018975i,-0.00072355-0.00034517i,-0.00051603-0.00071627i,-0.00012503-0.0005712i,2.2345e-05-0.00036616i,0.00046363-0.00021669i,2.2744e-05-0.00022488i,-0.00075511-0.00043865i,-0.00046547-0.00063251i,7.3123e-05-0.00041708i,0.00034058-0.00019404i,3.261e-05-0.00043146i,-0.00019986-0.00045393i,5.1076e-05-0.00027312i,-1.1918e-05-0.00029645i,-0.00014533+1.8575e-06i
0.0010283+0.0020381i,0.0012444+0.0022708i,0.00197+0.0024673i,0.00265+0.001315i,0.0025657-0.00033818i,0.0018159-0.0017028i,0.0010962-0.0019683i,0.0009417-0.00047923i,0.00090786+0.00080673i,0.00035135+0.00046979i,-0.00081104+0.00015418i,-0.0010553-0.00018686i,-0.00066785-0.00074932i,-0.00031458-0.00073417i,-0.00083079-0.0010402i,-0.0014815-0.00096154i,-0.0016536-0.00013319i,-0.0016702+0.00013433i,-0.00084667+0.00058706i,-0.000138+0.00088146i,-0.00020549+0.00036387i,-0.00014965+0.00024986i,1.3326e-05+0.00037413i
-0.0010815-0.0002435i,-0.0015475-0.00048102i,-0.0021356-0.00040873i,-0.0013208-0.00030908i,-0.00058364-0.00045293i,-0.00033945-0.0008951i,0.0011613-0.0016317i,0.0016372-0.0010967i,0.00074635-0.00034785i,-0.00029671-0.00016592i,-0.00073989-0.00042247i,0.00032689-0.00031146i,0.001197+0.0003196i,0.00091663-0.0004332i,0.00062743-0.00050638i,-0.00034489+0.00030663i,-0.00085575+8.8437e-05i,-0.00064766-0.00036097i,-0.00051463-0.0008817i,0.00026061-0.0010436i,0.0011353-0.00055356i,0.0004369-4.2523e-05i,-0.00050396+6.6186e-05i
0.00088136+0.0013249i,0.00054473-0.00023279i,0.0010331-0.00067251i,0.00063493-0.00022627i,-0.00037024+0.00015979i,0.00020209-0.00037145i,0.00078231-0.00065258i,0.00057489-0.0012141i,0.0008002-0.0012194i,0.0011977-0.00078964i,0.00087331-0.00087195i,0.0004668-0.00085977i,0.00047126-0.0011747i,-0.0004804-0.00073223i,-0.00090203+0.00035394i,-0.00012897+0.00067723i,6.7985e-05-0.00028156i,0.0010738-0.00079808i,0.0013792+2.8261e-05i,0.0004909+2.9991e-06i,0.00029771+0.00025744i,0.0006418+0.001052i,0.00038537+0.00076553i
0.00033177-7.273e-05i,-0.00017301-0.00030128i,-0.00063552+0.00020928i,-0.0014093+0.0013846i,-0.0014644+0.0019504i,-0.00048612+0.0016801i,0.0001405+0.0013386i,0.00059219+0.00050353i,0.00098673-0.00094899i,0.00027642-0.00047793i,1.3455e-05+0.00026235i,0.00023079-1.5248e-05i,8.4753e-05-0.00013117i,0.00070262-0.00094886i,0.00057014-0.0015353i,-0.00038054-0.00071134i,-0.00055347+0.00042401i,-0.00095013+0.00065517i,-0.0010543-6.9207e-05i,-0.00087439-0.0009772i,-0.00021467-0.00090688i,0.00050209-0.00058526i,0.00032995-0.00028945i
