-0.0012638+0.00044156i,-0.00020663-0.00045193i,-0.00052215+0.00024354i,0.00016886+0.00046404i,-3.4344e-05+0.00021771i,-0.00097457-1.6103e-05i,-0.00097864+0.0010694i,-0.00052033+0.0017499i,-0.00017408+0.0011296i,0.00025273-0.00044486i,0.00026401-0.0010866i,0.00032617-0.00080993i,0.00011722-0.0015862i,-0.00090486-0.0015415i,-0.0010957-0.00027034i,-8.0756e-05+0.00032112i,0.00030052+0.00038198i,-0.00030278+0.00045252i,-0.00085157+8.0889e-05i,-0.0005603-0.00087548i,-0.0001376-0.00081772i,-0.00029415-0.0002925i,-0.00055684-0.00026657i
0.00025265+0.0019877i,-0.00042727+0.0011891i,-0.00073987-6.643e-05i,-5.924e-05-0.00088394i,8.8543e-05-0.0016242i,-0.00069076-0.0016639i,-0.00055811-0.00095971i,-0.00051591-0.00029602i,-0.00061627-0.00017541i,-0.00026653+4.4482e-05i,-0.00015819+1.7774e-05i,-0.00010613+0.0001019i,-0.00034049+0.0005418i,-0.00029052-0.00010826i,-0.0008843-0.00064709i,-0.00076175-0.00053429i,-0.00012292-0.00066483i,0.00015195-0.00034697i,-4.4058e-06+0.00029359i,6.2303e-05+0.00024046i,5.9088e-05+0.00059664i,-0.00072958+0.00057487i,-0.0013737-5.4366e-05i
-0.00042941-0.0001304i,0.00013026-9.5749e-05i,7.1425e-05-0.00025476i,-5.0552e-05-0.00032097i,-0.00021764-0.00063428i,-0.00060194-0.00098473i,-0.0002931-0.00041958i,-5.4132e-05+0.00059337i,-0.00018769+0.00044738i,0.000182-0.00053405i,0.00059234-0.0008059i,9.7495e-05-0.00097799i,-0.00017745-0.001163i,2.2429e-05-0.00097504i,5.7826e-05-0.00052924i,0.00011017+0.0001483i,1.0273e-05+0.00048682i,-0.00037485+7.8483e-05i,-0.00069741+0.00016293i,-0.00037824+0.00040805i,2.6576e-05+0.00019895i,0.0001136-7.2029e-06i,-1.4549e-05-0.00031906i
-0.0037698+0.00060537i,-0.0034577+0.0018863i,-0.0022636+0.0027953i,-0.00076262+0.0029867i,0.00031728+0.0017893i,0.00082935+7.8882e-05i,0.00046463-0.00065096i,0.00055501-0.00048315i,0.00031861+0.00066342i,-1.8221e-05+0.0010034i,0.00033388+0.00034318i,0.00019224+0.00048094i,3.3861e-05+0.00028691i,0.00092572-0.00061353i,0.0010888-0.00094158i,0.00012572-0.0002554i,-0.00028063+0.00053748i,-0.00012262+0.0006438i,0.00044172+0.00035292i,0.0010627-0.0002054i,0.00083919-0.00038365i,0.00023842+0.00035524i,0.00045684+0.00017937i
0.0015721-0.0016625i,0.00058221-0.0023367i,-0.0005707-0.0027371i,-0.00033995-0.0027002i,-0.0012949-0.0010096i,-0.0026107+0.00016526i,-0.0017938-0.00011845i,-0.00085808-0.00074288i,-0.0011883-0.0009277i,-0.0012847-0.00021529i,-0.00083613-9.0194e-05i,-0.0002299-0.00038244i,0.0002101-0.00026478i,-0.00039366+6.6934e-05i,-0.0012307-0.00043628i,-0.00056449-0.00050588i,6.532e-05+7.9154e-05i,-0.00037592-7.7387e-06i,-0.00019284+0.00045498i,0.00025737+0.00057627i,0.00057421-0.00020901i,0.0009107-0.00047216i,0.00032476-0.00035817i
-0.00088551+0.0022778i,0.00010033+0.0021267i,0.0020218+0.0020329i,0.002044+0.0013273i,0.00071459-0.00074223i,-0.00022335-0.0016411i,-0.00082355-0.0012435i,-0.0011516-0.00098789i,-0.00082359+8.3368e-05i,-0.00013329+0.00025115i,8.0487e-05-0.00022908i,-0.00077912+0.00026528i,-0.0010537+0.00088274i,-0.0002564+0.00079122i,4.0319e-05+0.00034596i,0.00067226+0.00020689i,0.00063118+0.00018454i,0.00020813+0.00033566i,-0.00028717+0.00036235i,-0.00054176+0.00053891i,-7.7087e-05+0.00024208i,0.00021542-0.00050268i,-0.00025372-4.5995e-06i
0.0011716+0.00014122i,0.00011354+0.00029316i,-9.8626e-05-0.00036814i,0.00088786-0.00046311i,0.00059764-0.0010208i,-0.00030371-0.0015663i,-0.00067178-0.0011729i,-0.00031154-0.0006805i,-0.00017503+5.2715e-05i,-0.00072719+0.00072083i,-0.00066953+0.00013616i,-0.00016279-0.00032258i,-0.00095311-0.00040748i,-0.00091817-0.00065671i,-0.00020737-0.00078275i,-0.00012728-0.00095939i,-0.00011104-0.00098624i,-0.00059176-0.00081725i,-0.00062404-0.00060001i,0.00044461-0.0001551i,0.00032121+0.00050823i,-0.00029434+0.00033248i,0.00021581-0.00069117i
0.0010295-0.00046511i,0.0017528-0.00021683i,0.0021318-0.0010577i,0.001372-0.0012036i,-0.00062456-0.0010281i,-0.0015205-0.0010793i,-0.001037-0.0003636i,-0.00067205+0.00025262i,-0.00028494+0.00035662i,0.00023433+0.00077355i,0.00067926+0.0008463i,0.00045243+0.00076015i,-0.00030296+0.00091154i,-0.00022245+0.00030572i,0.00053601-0.00039602i,0.00034216-0.00033353i,-0.00047019-0.00057862i,-6.7023e-05-0.0012907i,0.00014364-0.00083844i,-0.0007528-4.8138e-05i,-0.00098143-0.00023868i,-0.00087374-0.00047625i,-0.00091957-0.00076019i
-0.0012596-0.00082311i,-0.00086497-0.0002178i,-0.00041701+0.00067348i,0.00035446+1.831e-05i,0.0016364-0.0013036i,0.0016562-0.0008768i,0.00018781-3.3017e-05i,-0.00054158-0.00063684i,-8.379e-05-0.00031262i,0.00042044-0.00011977i,0.00043599-6.8305e-05i,0.00024243-0.00018877i,0.0008501-0.00039453i,0.00089495+0.00020361i,-9.6738e-05-0.00011416i,-0.00020041-0.00025498i,-0.00022704+0.00074137i,-0.000176+0.0012392i,0.00012556+0.00099932i,0.00037351+0.0011269i,0.00020094+0.00054426i,-0.00024976-0.00065628i,-0.00025099-0.0007423i
0.0013387+0.00010469i,0.00024504-0.00093765i,-0.00025044-0.0017084i,-0.00012559-0.0024819i,0.00047119-0.0021164i,0.00044275-0.0010309i,-0.00024719-0.00051849i,-0.00045246-0.0007067i,-0.00018523-0.00083459i,-0.00078732+0.00018578i,-0.0015632+0.00054871i,-0.0016735-0.0001088i,-0.0010313+0.00012026i,-9.2414e-05+0.0010435i,7.2014e-05+0.0005193i,-0.00041948-0.00013345i,-0.00067083-0.00048043i,-0.0001994-0.00086237i,-0.00010527-0.00050065i,5.9535e-06-0.00013789i,0.00048896-3.0894e-05i,0.00047021-3.118e-05i,-0.00037413+0.00032714i
-0.00036184-0.00049473i,0.00023017+0.00048014i,0.00041069+0.00061631i,-0.00011924+0.00040467i,-0.00024168+0.00070442i,-0.00020191+0.0008876i,4.0358e-05-6.2588e-05i,-8.324e-05-0.001713i,-0.00093718-0.0013846i,-0.0012508-0.00014585i,-0.00083888-0.00016895i,0.00021921+0.0002606i,0.00055052+0.00079696i,-0.00077778+0.00018594i,-0.0010367-0.0011021i,0.00056962-0.0010656i,0.0010531-0.00068712i,0.00082409-0.00023463i,0.00022299+4.3504e-05i,1.3878e-06-0.00018525i,0.00056225-0.00021689i,0.00016977-0.00025054i,-0.00059189+0.00030477i
-0.00088526-0.0014527i,-0.0012988-0.0012971i,-0.0012272-0.0015307i,-0.00082991-0.00065904i,-0.00020982-0.00049158i,0.00028185-0.00072393i,-0.00023015-0.00059117i,-0.00042617-0.0012566i,-0.00026317-0.0014651i,-0.00027482-0.00044135i,0.00015701+0.0002174i,0.00085557+0.00092139i,0.00073194+0.00068689i,0.00031706+0.00040414i,-0.00024446+0.00052065i,-0.00097726-0.00026439i,-0.00049635-0.00084305i,-0.00029122-0.00023762i,1.3211e-06+0.00027095i,-0.00033062+0.00026421i,-0.0006898+0.00031166i,-0.00075666-0.00010082i,-0.00082684-0.00055529i
0.00088463+0.0023369i,0.00090243+0.0015586i,0.0017596+7.3415e-05i,0.0019849-0.0010523i,0.00094202-0.0016767i,-0.0010802-0.0014357i,-0.00031147-0.0010607i,0.00076665-0.00062465i,0.00032862-0.00066581i,-0.00024511-0.00046514i,-0.00070967-0.00040976i,-0.00045216-0.00058242i,-0.00045202-0.00065379i,-0.0006032-0.00013905i,-0.0011024+0.0004859i,-0.00093699+3.7709e-05i,-0.00055163-0.00073288i,-0.00028532-0.00099224i,-3.2736e-05-2.5736e-05i,-0.00067767+0.0003878i,-0.00048329+0.00019343i,0.00033127+5.1162e-06i,4.3749e-05+0.00019459i
-0.00023415+0.00084537i,0.00045307+0.0010517i,0.0012867+0.0013582i,0.00074581+0.00084528i,0.00043962-0.0012078i,0.00047078-0.0020135i,0.00019275-0.0013025i,-0.00087065-0.00075396i,-0.00074116-0.00051207i,0.00016645+0.00022683i,-0.0002828+0.00067299i,-0.0006038+0.00080575i,0.0002031+0.00039783i,-0.00024682-0.00062669i,-0.00021592-0.00051796i,0.00044206+0.00024659i,0.00023402+0.00025428i,-0.00010776+2.6294e-05i,0.00032514-0.00052263i,0.00080535-0.00068059i,0.00057274-1.2927e-05i,0.00032329+0.00014073i,0.00049888-0.00015639i
0.00010124-0.00028122i,4.8136e-05-0.0010057i,0.00096211-0.0014689i,0.0016828-0.00092583i,0.00074731-0.0014244i,7.5058e-05-0.0010468i,-0.00010936-0.00017837i,0.00034092-3.1857e-05i,0.00081254-0.00036841i,0.0002376+0.00018005i,0.00011031+0.00054468i,0.00020971+0.00027921i,0.00028871+0.00042597i,0.00064568+0.00060871i,0.0005304-0.00030513i,-0.00028051-0.0010151i,-0.00013547-0.00071337i,-6.9494e-05-0.00065177i,-0.00011662-0.001089i,0.00032606-0.0010865i,0.00027179-0.00090742i,0.00010264-0.00099563i,0.0003114-0.00070908i
-0.00081229-9.4202e-05i,-0.0019815+0.00012862i,-0.0018704-7.2261e-05i,-0.00054354+0.0003465i,0.00080861+0.00021909i,0.00071486-0.00021797i,-0.00038921-0.00010295i,-0.00045669+0.00011332i,-0.00013796+0.001065i,-9.08e-05+0.001557i,0.0002749+0.00081308i,0.00081711-6.7213e-05i,0.00076308-0.00023304i,-1.7689e-05+0.00022587i,-0.00038691+0.00042898i,0.00024789+0.00055145i,0.00032971+0.00058929i,0.00030136+0.00010496i,0.00064833+7.5918e-05i,0.00044141+0.00015918i,0.00033967+0.00010914i,0.00098655+0.00038275i,0.0010815+0.00029202i
-6.5568e-05-0.00092662i,-3.1554e-05+0.00022895i,-0.0011476+0.00038136i,-0.0015314+9.4872e-05i,-0.00039941+0.00036999i,-0.00012332-0.00025751i,-0.00025288-0.00039338i,-4.5308e-05+0.00021111i,-0.00037319-0.00017737i,-0.00073131-0.00017338i,-0.00052931-0.00011808i,-0.00032696-0.00023513i,-0.00034009-0.00018205i,0.00071031-0.00083484i,0.00098484-0.0010142i,0.00055002-0.00073386i,-0.00012584-0.00038155i,-0.00063376-0.000137i,-0.00026268-0.00085229i,-0.00024011-0.00078176i,-0.0002572-0.00047671i,-0.00051211-0.00053322i,-0.00071877-0.00069508i
-0.0016557+0.0019094i,-0.00074183+0.00048548i,0.00013949+1.7536e-05i,0.0011422+0.0001249i,0.001252-0.0011307i,0.00039109-0.00040549i,7.6326e-05+0.00039035i,0.00019745-0.0003542i,3.5224e-05-0.00046817i,-0.00019251-3.5448e-05i,0.00022213-3.4731e-05i,-9.5923e-05+0.00055336i,-0.00064387+0.0011653i,-0.00017207+0.0005639i,0.00054207-0.00052225i,0.00039995-0.0013088i,0.00024694-0.00092698i,0.0009266-0.00031288i,0.0013873-0.00013324i,0.00065368+0.00011806i,-0.00013435+0.00028488i,0.00029529+4.5388e-05i,0.00039864+0.00049897i
-0.0011537-0.00074575i,-0.001601-0.0011712i,-0.0027407-0.0011165i,-0.0030879-0.00070016i,-0.0019309-0.0011167i,-0.00074844-0.0012673i,-0.00060455-0.0013344i,-0.00058564-0.00063732i,-0.00045837-0.00047319i,-0.00072023-0.00071432i,7.9424e-05-0.00039577i,0.00041562-0.00038794i,0.00027312+1.6734e-05i,0.00047781+0.00018012i,0.00032592-9.4444e-05i,-0.00014071-6.1712e-05i,-0.00098034+0.00019575i,-0.0012453+0.0004199i,-0.00099253-6.1245e-05i,-0.00026731-0.00029063i,0.00050178-0.00019199i,0.0001371+0.00012217i,0.00029142+0.00019385i
0.00016472-0.00069572i,-0.00022527-0.00073706i,0.00051537-0.0010664i,0.00072873-0.001373i,0.00041938-0.0012695i,-0.00013906-0.0010052i,-2.7845e-05-0.00072217i,4.6349e-05+0.00043122i,0.00015006+0.0011298i,0.00032125+0.0010472i,0.00046957+0.0008726i,0.00090933+0.00056756i,0.001117+0.00093712i,0.00093194+0.0010842i,-0.00031338+0.0001839i,-0.00028105-0.00025839i,0.00055927+0.00020632i,-1.3738e-05-0.00033634i,-0.00059081-0.00011998i,-0.00018603+0.00054359i,0.00052632-9.9744e-05i,0.0011361-0.00039722i,0.0012407-0.0003828i
-0.0013309+0.0020793i,-0.001495+0.001868i,-0.00040833+0.002143i,0.00011619+0.0012199i,0.00043427-0.00036584i,0.0010543-0.00053974i,0.00050853-0.00092094i,0.00026176-0.0014003i,0.00051757-0.001144i,0.00026444-0.00035116i,0.00033733-0.00020444i,0.00016657-0.00032037i,-0.00029341-0.00061897i,-0.00029856-0.0014905i,0.00014073-0.00090092i,0.00042674+0.00018315i,0.00041725-0.00029931i,-0.00021505-0.00049323i,-0.00041908+0.00024072i,-0.00029546-7.9407e-06i,-0.00066304-0.00043499i,-0.00038235-0.00058735i,-0.0003366-0.00042678i
0.00030907-0.0016781i,0.00041807-0.0014005i,0.00083073-0.0012958i,0.00054254-0.0001867i,-0.0001738-0.00025805i,0.00022511-0.00026845i,0.00032269-0.00043556i,0.00028092-0.00061551i,-0.00031502-0.0010919i,-0.00052438-0.00077796i,-0.0010049+0.00019767i,-0.0009663-0.00033578i,-2.7653e-05-0.0005319i,-9.141e-05-0.00064734i,-0.0001404-0.00093438i,0.00014444-0.00012108i,0.00028582+0.00078034i,0.00097286+0.00035028i,0.00025036+0.00073536i,-0.00053582+0.00034981i,-0.00029979-0.00060114i,0.00015201-0.0005807i,0.00015344+0.0001512i
-2.9555e-05+0.0010861i,0.00020147+0.0010378i,0.0011543+0.00053659i,0.0017709-0.00057861i,0.0013077-0.0010756i,0.00043387-0.00058161i,-0.00028433+0.00016238i,-0.00018889+0.0001296i,0.000261-0.00081196i,0.00041501-0.00072824i,0.00075098-0.00087649i,0.00092264-0.00077433i,0.0013081-8.3882e-05i,0.0010578-0.00017018i,9.1217e-05-0.00040601i,-0.00018444-0.00045567i,-0.0004035-0.00066342i,-0.00094324-0.00049123i,-0.00077671-0.00034711i,-4.6357e-05-5.7553e-05i,0.0002884+5.73e-05i,0.00055663+0.00043639i,0.00030106+0.00029619i
0.00036826-2.6576e-05i,-0.00056774-8.5101e-05i,-0.0013177-0.0010066i,-0.0006035-0.00073092i,-0.00050255-0.00045331i,-0.000956-0.00052124i,-0.00098696-0.00038764i,-0.00034041-0.00015399i,0.00020693+0.00035805i,-0.00055202+0.00041311i,-0.0012724-5.6593e-05i,-0.00083992+3.3319e-05i,-0.00018197-0.00015901i,0.00040235-0.00080181i,0.00069441-0.00085324i,0.00027108+0.0001498i,-9.4202e-05+0.00048007i,0.00037936+0.0006278i,0.00020535+0.00047309i,0.00016259-8.5383e-05i,0.00031083+1.5168e-05i,0.00017128-2.0164e-05i,-0.0004056-7.7739e-05i
0.00092632+0.00028986i,0.0007778-2.7558e-06i,0.00067654-0.00030903i,0.00080162-0.0013921i,0.00039528-0.0016461i,-0.00077505-0.00071416i,-0.0010666-8.4722e-05i,-0.00063954+2.9619e-05i,0.00033747-5.4317e-05i,0.00079707+0.00049462i,0.00052795+0.00084098i,0.00035908+0.00073814i,-0.00027481+0.00079189i,-0.0009647+0.00035134i,-0.00066486-0.0007617i,-0.00026696-0.00053044i,3.3849e-05+3.5872e-05i,0.00025506+0.00010918i,0.00065371+0.00037506i,0.00047513-0.00038556i,-0.00017608-0.0010054i,-9.536e-05-0.00051084i,-0.00046183-0.00017295i
-0.00072146-0.00036507i,0.00019029+1.7306e-05i,0.00088975+0.0006459i,0.00030233+0.00077371i,-4.9421e-05+0.00066485i,-6.4078e-05-0.00054687i,-9.5267e-05-0.0010038i,5.9364e-05-0.0011446i,0.0009524-0.00049004i,0.00066852+0.00021271i,0.00043408+0.00030051i,0.00079565+0.00057338i,0.0010732+0.00063288i,0.0004732+0.00024898i,-0.00061099-0.00034007i,-2.7013e-05-0.00031453i,0.00075253+8.8042e-05i,0.00034748+0.00072087i,-0.00018162+0.00069781i,-0.00051144+0.00028276i,-0.00064236+0.00054425i,-0.00012278+0.00031863i,1.4914e-05+0.00030805i
-0.0014079-0.00077425i,-0.0013414+8.0105e-05i,-0.0018305+0.0012622i,-0.0011506+0.0010752i,-0.00015711+0.00031101i,0.00027226-0.00034848i,0.00018248-0.00049312i,-4.791e-05-0.00082203i,-7.8176e-05-0.0012141i,-0.00027337-0.0011317i,-0.00040891-3.0783e-05i,-0.00078482+0.0005032i,-0.0013271+0.0002412i,-0.0005835+0.00040047i,0.00033647+0.00043903i,0.00013067+0.00019615i,-0.00016284-2.731e-05i,0.0001066-4.2789e-05i,0.00037469+0.0001062i,0.00032654+0.00015324i,-8.2275e-05+0.00059765i,-0.00056615+0.00087399i,-0.00087824+6.5515e-05i
-0.002865-0.001615i,-0.0030141-0.0017111i,-0.0028991-0.00076095i,-0.0016482+0.00032538i,-0.00043658-0.0002149i,0.00026242-0.0010637i,0.0001579-0.00077665i,0.00036361+0.00023969i,0.00084421+0.00057356i,0.00084922+0.00018852i,0.00025896+0.00031556i,0.00040233+0.00010742i,0.00047821-0.00017998i,0.00043745-9.8208e-05i,0.0011178+0.00027184i,0.00016533+6.9858e-05i,-0.00052343+6.6864e-05i,0.00019867+0.00045898i,0.00037073+0.00036575i,-0.00062562-2.5289e-05i,-0.00069882-0.00015058i,-0.00016367+0.00013285i,-8.0547e-05-0.00011992i
0.00082579-0.002242i,0.00039185-0.0016214i,-0.00066507+7.832e-05i,-0.00024175+0.00057089i,0.00062632+5.8608e-05i,0.00033662-0.00057885i,0.00018238-0.00052373i,-0.00052838-0.00011178i,-0.00069061+0.00013972i,-7.0992e-05+0.00070463i,0.00038504+0.0010159i,0.00019586+0.00038725i,0.00032451+8.5979e-05i,0.00073245+0.0001371i,0.00077406+3.9901e-05i,0.00041493+0.00017043i,0.0005731+0.00048353i,0.00079485+0.00036104i,0.00069424+4.3624e-05i,0.00038109-0.00024838i,-1.4287e-05-0.00018816i,0.00022449-5.3514e-06i,8.4574e-05-0.00045223i
-0.00055366+0.00015443i,-0.000655+0.00025911i,-0.00035489+7.2596e-06i,-0.0013305+0.00064823i,-0.0010007+0.00067539i,0.00034317-0.0005915i,0.00033935-0.00045491i,-0.00028122+0.00073407i,-0.00056469+0.0012907i,-0.00040181+0.00083553i,5.0181e-05+0.00059677i,0.00069333+0.00066866i,0.00013259+0.00084684i,-0.00012758+0.00024013i,0.00024514-0.0010467i,-0.00010925-0.0015664i,-0.00025892-0.0011941i,0.00048676-0.00060018i,0.00081587+0.00047604i,0.00070419+0.00082207i,0.00024651+0.00068392i,-0.00024091+0.00021296i,0.00017401-0.00053735i
0.001096+0.0010839i,-0.00051973+0.0003997i,-0.000167+4.4125e-06i,0.00071132-0.00094127i,0.00054691-0.0023139i,0.00039195-0.0023714i,-0.00034469-0.00070567i,-0.00068255+0.00016797i,-0.00013678-4.337e-05i,0.00061803-0.0001657i,0.0007407-0.00011137i,0.00031191-0.00026706i,0.0003537+0.00010717i,-0.00015297+0.00032425i,-0.00082031+0.00076427i,-0.00071945+0.00015231i,-0.00018481-0.00083654i,9.3319e-05-0.0010679i,0.00021082-0.00090966i,-8.203e-06-0.000511i,-3.5264e-05-0.00045901i,0.00036863-0.00062166i,0.00022793-0.00049085i
0.00073895-0.0020156i,0.00074756-0.0015552i,-0.0004809-0.0014598i,-0.0014674-0.001092i,-0.00096534-0.00043677i,-0.00061625+0.00024294i,-0.00035986-0.00071743i,-0.0004367-0.0012083i,-0.00026171-0.0014494i,-0.00017913-0.0011724i,-0.00014514+0.00029843i,-0.00040458+0.0012072i,-0.00017073+0.00067147i,0.00044108-3.1247e-05i,0.00013363-4.7824e-05i,-9.8645e-05-0.0005136i,-0.00024633-0.00019597i,-9.4193e-05+0.00064783i,0.00019249+0.00063042i,0.00026107-8.8794e-05i,0.00033013-0.00053163i,-0.00014357-0.00049655i,-0.0006852-0.00045902i
