-0.0035344-0.00082871i,-0.0030871-0.0015464i,-0.0029745-0.00085329i,-0.0017955-0.0015167i,-0.0010192-0.0013938i,-0.000895-0.00011405i,-0.00030883+0.0008343i,0.00014585+0.00080105i,-0.00022397+0.0009337i,-0.00049559+0.00077967i,-0.00066751-0.00034971i,-0.00051379-0.00097186i,-0.00024425-0.00075903i,-4.2938e-05-0.00092123i,0.000334-0.0007998i,8.1845e-05+0.00084314i,-8.4292e-05+0.0012207i,0.00064829+0.00024516i,-0.00023618-0.00020045i,-0.0011636-0.00020881i,-0.00025379-0.00020247i,0.00046588-0.00052804i,0.00080456-0.00060393i
-0.00081371+0.0010048i,-0.00041423+0.00080917i,-0.0010761+0.0011433i,-0.0010242+0.00080238i,3.2357e-05-0.00055803i,0.00045366-0.0013536i,0.00038209-0.0010213i,0.00054745-0.00068029i,0.00014865-0.00079331i,-0.00036173-0.00062992i,0.0004196-0.00056476i,0.00060742-0.00046278i,0.00016894-4.8332e-06i,0.00033544-0.00014625i,0.00065032+1.9312e-05i,0.00036843+0.00041799i,-0.0002637+0.00034275i,-0.00054672-0.00010445i,-0.00039817-3.9735e-05i,3.7059e-05+0.0010279i,0.00012976+0.00096363i,-0.00016206+7.3121e-05i,0.00059112+0.00039933i
0.00030213-0.0018493i,0.00060121-0.0015475i,8.3612e-05-0.0011217i,-0.00025314-0.0018298i,0.000281-0.00099177i,0.00033519-0.00053043i,0.00074225-0.00094852i,0.00045345-0.00023769i,-0.00025431+0.00095436i,-0.00012855+0.0013031i,-0.00015295+0.00010489i,-5.1299e-06-0.0012915i,-0.00056507-0.0017651i,-0.0010878-0.0017607i,-0.00055611-0.00095477i,-0.00035952-0.00047026i,-0.00079808-0.00071755i,-0.00086283-0.00025353i,-0.00043094+0.00032033i,5.4071e-05+0.00071037i,-0.00020858-3.8691e-05i,6.3973e-05-0.00061324i,0.00020608-0.00064303i
-0.00080973+0.00058935i,-0.00051584+0.00068832i,-0.00040342+0.0009373i,-9.6121e-05+0.001072i,-0.0004642+0.00029698i,-0.00020901-0.0006456i,-7.8503e-05-0.0010181i,-0.00074923-0.00044198i,-0.0009655-0.0001512i,-0.0010372-0.00041405i,-0.00054148-0.00041248i,-0.00018134-0.00024898i,-0.00036726-0.00039097i,0.00021651-0.00056082i,0.0010142-0.00050052i,0.00058429-0.00064651i,0.00025286-0.00052357i,-0.00014381-0.00074358i,-0.00049771-0.001054i,-5.7756e-05-0.00054552i,0.00023567-0.00057679i,0.00031145-7.6993e-05i,0.00047272+0.00084531i
0.00087984-0.001033i,0.0014011-0.00063936i,0.00124-0.0011861i,0.00058709-0.0017346i,-0.00095169-0.000869i,-0.0024548-0.00032142i,-0.0014957-7.7593e-05i,0.00036032-0.00017624i,0.00069336-0.00011104i,-0.00015093+0.00073416i,-0.0005412+0.00030503i,-0.00017126-0.00072457i,0.00018321-0.0001745i,5.3108e-05+0.00058004i,7.2613e-05+9.0671e-06i,0.0002861-0.00033404i,-0.00017142+0.00013217i,-0.00012182+0.00047593i,0.00028515+0.0007538i,0.000133+0.00054411i,-7.5807e-05+0.00029124i,5.7639e-05+0.00011833i,-2.5326e-05-0.00048559i
-0.00077428+0.0007885i,-0.0011205+0.00037062i,-0.00096643+0.00030309i,-5.8341e-05+0.00014602i,0.00057972+0.00012792i,0.00032251+0.00037478i,-0.00054702-0.00019652i,-0.0012207-0.00029508i,-0.0010625+0.00040762i,-0.0010218+0.0004876i,-0.00046613+0.0001658i,0.00053065-0.00013155i,0.00064418+0.00029122i,0.00066674+0.00050717i,0.0013851-0.00036733i,0.0018578-0.0011932i,0.0010539-0.00041581i,0.00064953+0.00057803i,0.00020679+1.1547e-05i,-0.00051834-0.00031593i,-0.00071102+7.4187e-05i,0.00024304-0.00022755i,0.001008-0.00022046i
0.0003387+0.0015667i,-0.0001165+0.0021433i,3.0067e-05+0.0030761i,0.0012869+0.0012933i,0.0015652-0.00056273i,0.00043821-0.00085075i,-0.00059999-0.00081855i,-0.00073026-0.00063555i,0.00023203+0.00014591i,0.00038487+0.00087383i,0.00036692-5.8412e-05i,0.00059475-0.0012941i,0.00074876-0.00097064i,0.0010437-0.0004778i,0.00069344-0.00036475i,0.00042148-3.4366e-05i,0.00022914+0.00067622i,-5.3994e-05+0.00068476i,-0.00019878+0.00027959i,-7.6007e-05+0.0004027i,0.00011317+0.00062275i,-4.7092e-05+7.5105e-05i,-0.00015243-0.00070059i
-0.0015477+0.0003665i,-0.001145+0.00014658i,-0.0014434-0.00014481i,-0.00077806+0.00041454i,4.641e-05-0.00028599i,4.2315e-05-0.00069782i,-0.00070985+0.00015142i,-0.0010613+0.00048883i,-0.0011968+9.4128e-05i,-0.00043461-0.00089893i,0.00085392-0.00091314i,0.00087691+0.00023912i,0.00042868+0.00047641i,-0.00013199-0.00082578i,-0.0001225-0.00094835i,0.00073219+0.00010998i,0.00085256+0.00040767i,-8.5825e-05-6.4901e-05i,-0.0009469-0.00071795i,-0.0012735-0.00012959i,-0.00076795+0.0006792i,-0.00025635+0.0013246i,8.6084e-05+0.0015501i
0.0018775-0.0034311i,0.0019077-0.0040049i,0.00066028-0.0041249i,-0.00015509-0.0029468i,-0.0013247-0.0018903i,-0.0017163-0.0014457i,-0.00087411-0.0009713i,-0.0012263-0.00091171i,-0.0012904-0.0011078i,-0.00064641-0.0013304i,-0.00027286-0.0013063i,0.00011348-0.00097927i,-4.8121e-05-0.00055895i,-0.00077141-9.4056e-05i,-0.00087487-2.1941e-05i,-5.4247e-07-5.901e-06i,0.0001763-7.1828e-05i,-0.00038051-0.00014594i,-0.00077534-9.6517e-05i,-0.00062663-8.6005e-05i,1.745e-05+0.00010807i,-0.00013272-0.00041879i,-0.00060225-0.00034496i
0.003235-0.0011222i,0.0034585-0.00061011i,0.0025049-0.00088013i,0.0015548-0.0011021i,0.00017436-0.0006172i,-0.00078629-0.00066298i,-0.00041224+7.8483e-05i,-0.00042117+0.00014224i,-0.00048509-0.00027824i,-0.00093006-0.00043169i,-0.0013852-0.0011528i,-0.0012219-0.00094359i,-0.00092789-0.00014081i,-0.0009938-0.00017547i,-0.00040069+4.7897e-05i,-4.4454e-05+0.0005371i,-0.00011556-0.0002966i,0.00030754-0.00047492i,0.00016671+4.1938e-05i,0.00026163-7.4347e-05i,0.00029131-0.00017473i,-0.0005899+0.00022922i,-0.00064774+0.00028965i
-0.00082878+0.0015433i,4.3011e-06+0.0016752i,0.0015311+0.0014745i,0.0014001+0.00042058i,0.00060763-0.0011132i,-0.00030597-0.0014322i,-0.001119-0.00072381i,-0.0014061-0.00050819i,-0.0010871-0.00040553i,-0.00024031+0.00064881i,0.00090441+0.00095556i,0.00088913+0.00026427i,-5.0735e-05+4.7233e-05i,-4.8879e-05-8.1975e-05i,0.000572+3.2065e-05i,0.00019949+4.5888e-06i,-0.00025972+5.4321e-05i,0.0003413-0.00017011i,0.00056006-0.00064773i,0.00024408-0.00079005i,0.00041798-0.00048551i,0.0009433-0.00031636i,0.00075294-0.00033543i
-0.002175+0.0002564i,-0.0025328+0.00068058i,-0.0031179+3.2958e-05i,-0.0015661-0.00010445i,0.00023239+0.00068536i,0.0003084+0.00064246i,5.5708e-05+7.2595e-05i,2.657e-05+0.00014201i,-0.000948+0.00061221i,-0.0012722+0.00092679i,0.00035856+0.00040729i,0.0012734-0.00010209i,0.00034509-7.5517e-05i,-1.6432e-05-0.00016414i,0.00065007-0.00040443i,0.00042501-2.9025e-05i,-0.00026178-5.0339e-05i,-9.5013e-05-0.00075518i,0.00028727-0.00081247i,0.00038566-0.00053664i,0.00038917-0.00038856i,-7.0504e-05-0.00035756i,0.00012404-0.00098857i
-0.00069218-0.0017778i,-0.0014077-0.0018893i,-0.0014382-0.0025951i,-0.0012337-0.002362i,-0.0013222-0.0018515i,-0.0014968-0.0014529i,-0.0014163-0.00054771i,-0.0014966-6.0426e-05i,-0.0012701+0.00019613i,-0.00087463+0.00062431i,0.00022312-7.6618e-05i,0.00050213-0.0010048i,-0.0001414-0.0013601i,-0.00049587-0.001173i,-0.00036522-0.00016518i,-0.00055725-4.9471e-05i,-0.00078494-0.00053547i,-0.00069116-0.00018096i,-0.00022084-0.00025189i,-6.654e-05+6.9002e-05i,0.00057614+0.00064504i,0.0010504+0.00012089i,0.00072355-0.0003239i
-0.00080954-0.00020745i,0.00012944-0.00065644i,-0.00038904-0.0014788i,-0.0010558-0.0012374i,-0.00085795-0.00055308i,-0.00030794+5.2197e-05i,0.00019788-0.00028117i,-0.00025704-0.00031821i,-0.00067476+0.00036728i,-0.00055358+0.00086046i,-0.0009613+0.00066231i,-0.00093698+2.2405e-05i,-0.00014575-0.00062143i,0.00029265-0.0004613i,0.00057725+0.0004183i,0.00064961+0.0004791i,5.6668e-05-0.00019621i,-6.0051e-05-0.00010271i,-0.00044633+0.00052994i,-0.00068296+0.00099382i,0.00023647+0.00091556i,0.00069772+0.0002326i,0.00033796-0.00044152i
-0.00029329-0.00098436i,-0.00025246-0.0016934i,-0.00020922-0.0020223i,-0.00041411-0.0011282i,-0.00059503-0.0012994i,-0.00048323-0.00090825i,-0.00080844-0.00082681i,-0.00031652-0.00068062i,7.1339e-05+0.0001595i,-0.00023012+0.00076125i,-0.00067068+0.00022334i,-0.00032638-0.00086353i,-6.8807e-06-0.00095276i,0.00030069-0.00088207i,0.00053079-0.00024768i,0.00074946+0.0004986i,1.696e-05+0.0008726i,-0.001248+0.000515i,-0.0011188+0.0002664i,-0.000626+0.0003865i,-9.721e-05+0.00044074i,0.00084174+0.00053609i,0.00042609+0.00042883i
0.00044814-0.0026798i,8.8641e-05-0.0038682i,-0.00030803-0.0035979i,-0.0001968-0.0025803i,0.00050905-0.0011786i,0.00067447-8.4158e-05i,0.0004375-3.0385e-06i,0.00030713+0.00026502i,-0.00039776+0.00039743i,-0.00096929+0.00076338i,-0.0010684+0.0013519i,-0.001192+0.00069634i,-0.00099461-0.00029123i,-0.00064699-0.00029284i,-0.00050913-0.00015952i,-0.00051873-0.00039092i,-0.0010248-0.00052127i,-0.0012415-0.00054168i,-0.00029638-0.00044707i,0.00014748-0.0002979i,5.8028e-05-0.00028632i,0.00011542-0.00036202i,0.00033605-0.00068364i
0.0018126+0.0019446i,0.0021088+0.002057i,0.0019053+0.0015849i,0.0016559+0.00019096i,0.0017625-0.0013258i,0.0011211-0.0018647i,0.00076088-0.0011214i,0.00024252-0.00039656i,-0.0010631-0.00041191i,-0.0013856+0.00026739i,-0.00046955+0.00036876i,-0.00027773-0.00011456i,-0.0004806-0.00023665i,-0.00046109-0.00040088i,-7.8797e-05-0.00035193i,0.00075331+0.00052817i,0.00086467+0.00080097i,0.00034682+0.00069832i,0.0002832+0.00066622i,0.0011337+2.4917e-05i,0.0009628+4.1152e-05i,-1.7414e-06+0.0002618i,-0.00034904+8.8696e-05i
0.00072227-5.8278e-05i,0.00030703-0.001053i,0.00031249-0.00069127i,-6.4895e-05-0.00078961i,-0.000799-0.0015247i,-0.0011426-0.0019025i,-0.0016343-0.0010905i,-0.0019562-0.00053866i,-0.001152-0.00040487i,-0.00040831+2.4883e-05i,5.3643e-05+0.00037787i,0.0006247+0.00072586i,0.00077858+5.5912e-05i,0.00032741-0.00026758i,0.00033842+0.00031673i,0.00043414+0.00023225i,-0.00024933+9.2599e-05i,-0.00046352+0.00013356i,0.00014519+0.00039897i,0.00028042+0.00021555i,5.2472e-05-0.00037701i,0.00030012-0.00017826i,0.00032192-0.00011309i
0.0007292-0.00067591i,0.00094126-0.00012188i,0.00046461-0.0007133i,0.00049067-0.001293i,0.00037188-0.0010698i,0.00027103-0.00095146i,-0.00019182-0.00046132i,-0.00062805-0.00053246i,-0.00072056-0.000362i,-0.00040931+0.00044729i,-0.00029674-0.00039977i,-1.1546e-05-0.0010417i,0.00017201-0.00054075i,-0.00066435-5.5579e-05i,-0.00077911+0.00035746i,0.00041098+0.00049541i,0.00054491+0.00071052i,0.000266+0.00090579i,0.00035578+0.00044467i,0.00044813-0.0002608i,0.00063073-0.00074447i,0.00013562-0.00070013i,-0.0003544-8.9979e-05i
-0.00039679+0.0010219i,-0.0011624+0.00096015i,-0.00073693+0.0007604i,0.00013864+0.00052071i,0.00031003-0.00033846i,-0.00033617-0.0015602i,-0.0011986-0.00075493i,-0.0013228-9.9299e-05i,-0.0014457-4.7951e-05i,-0.00069181+0.00017021i,0.00071176-0.00088029i,0.0011292-0.0018653i,0.00039425-0.0012578i,-0.00013932-0.00079859i,0.00032159-0.0010668i,0.00018247-0.00092481i,-0.00035865-0.00036169i,-0.00074592-0.00028972i,-0.00034719-0.00062593i,0.00028796-3.5911e-05i,0.00024864+0.00087693i,-0.0002803+0.00053754i,-0.00017177-5.0333e-05i
-0.0015956-0.0022871i,-0.001224-0.002465i,-0.0014422-0.0028856i,-0.0014262-0.0018919i,-0.00082579-0.00039436i,-0.00014535+0.00031247i,0.00027091+0.00039915i,4.2615e-05+0.00082578i,-0.00098163+0.0012499i,-0.0016441+0.0013744i,-0.0010011+0.00032824i,-0.00011969-0.00073721i,-0.00070314-0.00048984i,-0.0010442+3.1216e-05i,0.00027948+0.00021621i,0.0012531+0.00025334i,0.001268+4.3703e-05i,8.3193e-05+7.3985e-05i,-0.00029408-0.00040376i,6.6682e-05-0.00056962i,8.363e-05-0.0002869i,0.00074405-0.00039372i,0.00070003-0.00038456i
0.00084988+0.00059554i,0.0012189+0.00088455i,0.00034463+0.00055579i,-0.00048529+5.429e-05i,-0.00070313-0.00012555i,-0.0008949-0.00032088i,-0.00056722-0.00056012i,-0.00043285-0.0012745i,-0.00043128-0.0013088i,-0.00048983-0.00084643i,-0.00039641-0.0011008i,-0.00018047-0.00044927i,-3.5372e-05+0.00020255i,-0.00039444+0.00030079i,-0.00098621+0.00050072i,-0.00014434+0.00037816i,0.00051875+0.00054508i,-0.0002802+0.00060244i,-0.00044309-0.00026834i,0.00013034-0.00073887i,0.00019953-0.00018653i,0.00020309+0.0010259i,-9.0605e-05+0.0012435i
0.0014926-0.00013289i,0.0017881-0.0008584i,0.0025196-0.0016031i,0.0024965-0.0021392i,0.0012899-0.0023298i,0.00071163-0.0017759i,0.00035495-0.0010212i,-0.00054702-0.00087575i,-0.0017334-0.00064344i,-0.0010977+0.00018503i,0.00067611-0.0001612i,0.0007358-0.00091322i,-9.3054e-05-0.00091138i,0.00046598-0.00017056i,0.00085452+0.00027997i,0.00080835-0.00013464i,0.00084439-0.00085325i,-0.00021008-0.00065504i,-0.00095105-0.00066593i,-0.00079552-0.00027399i,-0.00016546+0.0005547i,0.0002055+3.2509e-05i,0.0003077-0.00043978i
-0.000534+0.00032799i,-0.00060223-0.00056234i,-0.00033077-0.00066305i,-0.0011226-0.00052843i,-0.0012696-0.0011888i,-0.00079904-0.0014941i,-0.001105-0.00073838i,-0.0014173-0.00033773i,-0.0012624+0.00028472i,-0.00048426+0.0010931i,0.00071282+0.00090254i,0.00021087+0.00028458i,-0.00036282-0.0004622i,-0.00030436-6.3554e-05i,-0.00025661+0.00026946i,0.00010208-0.00021957i,0.00041377-0.00027299i,0.0001414+7.5754e-05i,-0.00032649+0.00070519i,-0.00025643+0.00082016i,-0.00058106+0.00062536i,-0.00046896+8.8829e-05i,0.00020882-0.00050433i
-0.00020401+0.00066829i,-0.00046465-0.00022033i,-6.6818e-05-0.00052056i,0.00029396-4.2085e-05i,0.00026014-0.00025538i,0.00020575-0.00052727i,-0.00057209-0.00023919i,-0.0018715+7.5436e-05i,-0.0017989+0.0002285i,-0.00043286+0.00023634i,0.00062642+0.00016996i,0.00098978-0.00059489i,0.0007822-0.0012073i,0.00023433-0.00039572i,0.00016006+0.00063964i,0.00041109+0.00042528i,-3.8545e-05-7.1041e-05i,-0.0010939-0.00011224i,-0.0010517-0.00045486i,2.2253e-05-0.00048178i,0.0010009+0.00073282i,0.0013382+0.00098517i,0.00075954+0.00057897i
-0.0009915+9.602e-06i,-0.00041881+0.00014557i,0.00018956+0.00040538i,0.00069483+0.00027175i,0.00075857-0.00058344i,-0.0003629-0.0011641i,-0.00050217-0.00088239i,-0.00060723-9.4917e-05i,-0.0012577-0.00010074i,-0.00082637-0.00080134i,-8.6622e-05-0.00084694i,-0.00012883-0.00063417i,0.00013818-9.7265e-05i,0.00089926+0.00034864i,0.0012899+0.00036302i,0.001152-9.3915e-05i,0.00041894+2.7214e-05i,-0.00026084+0.00028633i,-0.00013864+0.00042536i,0.00022207+0.00075495i,-0.00016049+0.00067519i,-0.00044352+0.00057383i,-9.0127e-05+6.1751e-05i
0.0025847+0.00023998i,0.0025067+0.00095425i,0.002383+0.00074482i,0.002406+0.00014995i,0.0018397-0.00068549i,0.0011829-0.00075527i,0.00025682+0.00052643i,-0.00061041+0.00057365i,-0.00072685+0.0001183i,-0.00056356+8.8651e-05i,-6.7357e-05-0.00021707i,0.00027261-0.00056388i,-0.00027416-0.00047154i,-0.00044726-0.00012715i,-0.00013861+0.00041222i,-0.00072059+0.00029959i,-0.0013252-0.00031611i,-0.00093968-0.0005764i,-0.0004133-0.0004187i,0.00033475+0.00015024i,0.0010157+0.00079399i,0.00069385+0.00058967i,0.00027946-0.00044663i
-0.0010318+0.00097604i,-0.00049858+0.00097316i,-0.00037821+0.0017224i,-0.00050777+0.0017124i,-0.00051555+0.00073889i,3.0093e-05-0.00021829i,0.00025833+2.1756e-05i,0.00045069-3.1857e-05i,7.0309e-05-0.00025562i,-0.00036774+0.00025279i,0.00019934-0.00027811i,0.0004913-0.00049932i,0.00045373-0.00010482i,-0.00012279+2.087e-06i,-0.00023288+0.00013115i,-8.3519e-05+0.00096064i,-0.00066272+0.0015838i,-0.00087955+0.00084916i,-0.00034057+0.0002959i,-0.00024319+0.0010227i,8.7517e-05+0.00126i,0.00054662+0.0012212i,0.0009072+0.00053746i
-0.001228-0.00067543i,-0.001647-0.0023213i,-0.0010441-0.0028715i,-0.0011175-0.0021023i,-0.00076553-0.0018599i,3.7073e-06-0.0014592i,6.4238e-05-0.00023071i,-8.8161e-05-0.00043473i,-3.7819e-05-0.0008085i,0.00013459-2.8264e-06i,-7.6628e-05+0.000174i,2.9392e-05+0.00026848i,0.00033975+6.9131e-05i,0.00031536-0.00012941i,0.0011422-0.00010163i,0.0011691+2.0228e-05i,9.4227e-05-3.7531e-05i,-0.00036305+0.00050599i,-0.00040687+0.0005718i,-0.00017647-0.00034727i,-0.00035174-0.00039494i,9.447e-05+0.00023972i,0.00020224+0.00082359i
-0.0013993-0.0029164i,-0.00073111-0.0022439i,-0.0011024-0.0011277i,-0.0012713-0.00045441i,-0.00076461+4.0914e-05i,-0.00095142+0.00061856i,-0.0019184+0.00022051i,-0.0020628-0.00058019i,-0.0015108+0.00025893i,-0.00086588+0.000936i,0.00018638+3.1795e-05i,0.00052606-0.00015564i,0.00058386+6.233e-05i,0.00013582+1.2641e-05i,0.0004623-3.2067e-05i,0.00050481-0.00012063i,-1.1224e-05-0.00024205i,-0.00031129+6.098e-05i,-0.00033055+0.00039212i,-0.00019863+0.00018455i,-4.8678e-05-0.00021472i,0.00016266-0.00039512i,1.0206e-05+0.00016707i
0.00081541+0.00025891i,0.00081534+0.00011876i,0.00050575-0.0013291i,-8.9138e-07-0.0013668i,-0.00014224-0.00043393i,0.00016652-0.00036723i,0.00028621-0.0012359i,0.0002046-0.0016824i,-0.00099423-0.0012302i,-0.001313-0.00051822i,0.00013869-0.00055761i,0.00034619-0.00069336i,2.3321e-05-0.00068033i,0.00040446-0.00079711i,0.00075458-0.00073613i,0.00063418-0.00017695i,-0.00035904+9.3453e-06i,-0.00081448-0.00018142i,0.00016517-0.00051739i,6.6585e-05-0.00080983i,-0.00038446-0.00063291i,-0.00029527-0.0003307i,-0.0005448-0.00022737i
-0.00036869+0.00090793i,-0.00021258+0.0012824i,0.00061102+0.00139i,0.0012942+0.0010441i,0.0014979-4.2045e-05i,0.0010185+0.00013426i,-0.00045169+0.0010126i,-0.0011102+0.0013881i,-0.00089881+0.0010397i,-0.00092815+0.00014731i,-0.00020912-0.00074217i,0.00062325-0.00070507i,0.0004432-0.00027724i,0.00062157-7.7177e-05i,0.00088674+0.00024008i,0.000289+0.00031102i,-0.00033388+0.0001541i,-0.00078233+3.3406e-06i,-0.0007523-4.363e-05i,-0.00068286-0.00034458i,-4.1821e-05-6.9687e-05i,0.00036844-3.0505e-06i,0.00068173-0.00040832i
