0.00074219+0.00050191i,0.0010837-0.00052111i,0.0011732-0.0014757i,0.0007882-0.0015569i,4.0293e-06-0.0016504i,0.00036205-0.0013725i,0.0013817+0.00047804i,0.0011759+0.0016084i,0.00090174+0.0010085i,0.00095562+0.00027593i,0.00086689-0.00023112i,0.0004193-0.00059574i,-0.00031603-0.00035294i,-0.00083791-0.00021576i,-0.001279-0.00046611i,-0.0012741-3.9827e-05i,-0.0012934+0.00024724i,-0.0011245+0.00054256i,-0.00043004+8.033e-05i,0.00020833-0.00038827i,0.00041652-7.8973e-05i,0.00029837-0.00011824i,-0.00017663-0.00034684i
-0.00084383+0.001338i,-0.00036513+0.0010027i,0.00027749+0.0014919i,0.0020679+0.00063404i,0.003007-0.0012754i,0.0020243-0.0014767i,0.00041299-0.000496i,-0.00032705+0.00052068i,-0.00047007+0.00037636i,-0.00042007-5.1718e-05i,2.0072e-05+0.00014881i,0.0003667+0.00060212i,0.00010664+0.00071734i,0.00018869+0.00024506i,7.7338e-05+0.00017022i,0.0001616+0.00017306i,0.00084674+0.00014014i,0.00013573+0.00033041i,-0.0002557+0.00037333i,0.00020995+0.00014249i,-9.9165e-05+0.00019153i,-0.00010223+0.00026832i,0.00022453+0.00060368i
-0.00114+0.0012266i,-0.00043182+0.0011889i,0.0009548+0.00046294i,0.0016011-0.0011953i,0.0015752-0.0018867i,0.0015263-0.0012719i,0.0010615-0.0002766i,0.0013279-0.00010526i,0.00092017-0.00061063i,0.00025733-0.0003057i,0.0014383-0.00021048i,0.0019319-0.00024044i,0.0014422-0.00037737i,0.00089517-0.00082871i,0.00049418-0.00087454i,0.00014544+0.00029657i,4.5185e-05+0.00091367i,-0.00020006+0.00071975i,-0.00050928+0.00028704i,-0.00077524+0.00061138i,-2.0477e-05+0.00093232i,0.00037375+0.00066459i,0.00026525+0.00052093i
-0.0011699-0.00099931i,0.00011198+0.00059874i,0.00044608+0.00181i,0.0013228+0.000772i,0.0024001-0.00015189i,0.0019715+7.3444e-05i,0.0012166-0.00012684i,0.00084383-0.00013608i,0.00029277+9.599e-05i,-0.00064441-0.00011273i,-0.00034956+0.00027383i,0.00014686+0.00054978i,0.00048139+0.00028877i,0.0012323+1.6859e-05i,0.0012539+1.7541e-05i,0.00048808+1.3962e-05i,2.7811e-05-0.00013292i,-0.00013552-0.00023107i,-2.0458e-05-0.00051516i,3.4701e-05-0.00061916i,0.00024674-0.00059533i,0.00077909-0.00076976i,0.00066693-0.00059758i
-0.00028869-0.0022879i,-0.00055719-0.001408i,-0.0011928-0.00027016i,-0.00015827+0.00068918i,0.00060452+0.00063037i,0.0010536+0.00016935i,0.00069714+2.256e-05i,-0.00037842-0.00059523i,-0.00060303-0.00091175i,-0.00072025-1.9113e-05i,-0.00020219+0.00075043i,0.00030348+0.00047913i,0.00045921-0.00041556i,0.00061139-0.00054555i,0.00061959+3.9098e-05i,0.00071559+8.812e-05i,0.00032552+0.00030938i,-0.00068341+0.00068705i,-0.00041956-0.00040113i,0.00043892-0.0007907i,7.3503e-05-6.0479e-05i,0.00013181+0.00013443i,0.00099933-0.00013832i
-0.00086159+0.0008802i,-0.00098318+0.0013777i,0.00027023+0.001332i,0.0022088+0.00094721i,0.0023021+7.6742e-05i,0.0017443-0.00066312i,0.0014327-0.00013534i,0.00077798+0.00052229i,-0.00037133+0.00034546i,-0.0010192-6.5442e-05i,-0.00080237-2.2875e-06i,-0.00041544-0.00038152i,0.00012213-0.0010495i,0.00031277-0.00099654i,0.00023868-0.00067249i,0.00019741-9.642e-05i,-0.00058147-0.00024881i,-0.0012124-0.0012947i,-0.00032675-0.0014449i,0.00043157-0.00089674i,9.424e-05-0.00085618i,-0.00010508-0.00059906i,0.00014299-0.00049517i
-0.0025577-0.0004113i,-0.0011165+0.00087025i,0.00068078+0.0025481i,0.0022548+0.0018307i,0.0026558+0.00066358i,0.0021772+0.00015534i,0.0017426+7.7315e-05i,0.0010354+1.9752e-05i,1.3719e-05+0.00014932i,-0.00030193+0.00062432i,-0.00071889+0.00047033i,-0.00029421+6.4542e-05i,0.00013757+0.0004508i,0.0001245+0.0005728i,-0.00026549+9.8578e-05i,-0.00035995-0.00029688i,-0.00010373+7.8662e-05i,0.00015536+0.00043797i,0.00057858+0.00054798i,0.0010826+0.00044443i,0.00040853+0.0001433i,-6.7656e-05-0.00017005i,0.00040026-0.00074267i
0.00074784+0.0010835i,0.0027521+0.0019774i,0.0034649+0.00063305i,0.0019982-0.00044737i,0.0011308-0.00048031i,0.0015247-0.0011669i,0.0010072-0.0013763i,0.000948-0.00086112i,0.00091906-0.00059285i,-0.00012405-0.00015335i,-0.00082806+0.00045166i,-0.00065144+0.0009533i,-0.00070029+0.0011949i,-0.00029494+0.00073737i,-0.00016839-0.00022165i,-0.00016741-0.00030982i,-4.9359e-05+0.00044526i,-0.00025828+0.00075844i,-0.00049447+0.00024824i,-0.00034839+0.00038022i,0.00027033+0.00107i,0.0003112+0.00083218i,0.00028416-0.00023584i
-0.0018206+0.00089245i,-0.0017218+0.0019841i,-3.5765e-05+0.0026115i,0.00078435+0.0011561i,0.00074839-0.0010336i,0.0010508-0.001926i,0.0010792-0.001069i,0.00077042-0.00056017i,0.00020417-0.00050809i,-7.2202e-05-0.00017244i,0.00039266+3.7107e-05i,0.00036642-0.00011464i,0.00026118-0.00030911i,0.0012524+0.00037094i,0.0013855+0.0012557i,0.00046863+0.0011391i,0.00018047+0.00041067i,2.3063e-05-0.00016151i,0.00062003-0.0003102i,0.0010199-0.00021217i,0.00061422-0.00049093i,-9.7416e-06-0.00050159i,0.00033499-0.00024293i
0.0012365-0.00017324i,0.0020465-3.416e-05i,0.0024448-0.00015558i,0.0023747-0.00056463i,0.0016391-0.0013854i,0.0014756-0.00092904i,0.00069117+0.00041257i,0.00027065+0.00014586i,0.0005836-0.00030613i,0.00065707+0.00030794i,0.0010108+0.00030112i,0.0010107+0.00025387i,-0.0002393-3.1764e-05i,-0.001127+0.00015694i,-0.00015622+0.00054506i,0.00066379+0.00047155i,0.00011433+0.00014159i,2.7037e-05+4.5458e-05i,0.00010529+4.2027e-06i,4.0059e-05+4.0425e-05i,-0.00013281-0.00031112i,-0.00035443-0.00062864i,-3.5908e-05+0.00026452i
-0.0018681+0.0015183i,-0.0010011+0.0016232i,0.00077236-0.00010132i,0.0015464-0.0012583i,0.0010657-0.0011922i,0.00054456-0.00042708i,0.0007886-0.00043733i,0.00094292-0.00060322i,0.00029782-0.00012331i,-0.00029509+0.00040633i,-0.00069752+0.0011181i,-0.00064141+0.0010052i,-9.8207e-05+0.00063709i,-0.00012778+0.00027189i,-1.254e-05-0.0001585i,0.00014324-0.00011747i,-0.00053135+0.00030662i,-6.8498e-05+0.00037841i,0.00060543-0.00020799i,0.00059839-3.0803e-05i,0.00042325+0.0011368i,0.00016969+0.0016205i,0.0001839+0.00049228i
-0.00037875-0.00056685i,0.00025779-0.00036964i,0.00091789+0.00012938i,0.00089417-0.00025307i,0.00026235-0.00058946i,-0.0002768-0.00015561i,-0.00039205+0.00023096i,0.0004237+9.078e-05i,0.00073613-0.0003568i,0.00023609+0.00049939i,3.6813e-05+0.0013916i,-0.00027868+0.00077711i,-0.00022793-0.00053385i,-0.00025121-0.00078627i,-2.4844e-05-0.00025151i,0.00049234+0.00015209i,0.00042415+0.00066051i,-0.00029339-0.00029045i,-0.00041331-0.0014536i,-3.991e-05-0.00092112i,0.00025134-0.00014897i,0.00060972-1.0516e-05i,0.0005747-4.3147e-05i
0.0019647+0.00014353i,0.001715+0.00079419i,0.0019145+8.6035e-05i,0.0017184-0.00065069i,0.00046976-0.0018525i,-0.00020294-0.0018953i,0.00049394-0.0011259i,0.0012397-0.00040011i,0.0011334+0.00017183i,0.00016833+5.6768e-05i,-0.0006211-0.00033911i,-0.0011615-0.00016325i,-0.00081107-7.1823e-06i,1.394e-05+0.00036328i,-9.947e-05+0.00044901i,0.00010068-0.00019464i,-0.00017275-0.00030396i,-0.00039966-0.00033445i,-0.00010948+0.00017156i,-4.7645e-05+0.00059539i,0.00016617-0.0003078i,0.00018725-0.00060085i,-0.00018826-0.00027678i
0.00069953+0.0010526i,0.0012725+0.00049502i,0.0016985-0.000387i,0.0015778-0.0012171i,0.0011502-0.0012945i,0.00088278-0.0013854i,0.0010996-0.00080642i,0.00091732+0.00030106i,5.3334e-05-0.00013916i,0.0002484-0.00097004i,0.00024184-0.0012653i,0.00016652-0.0014969i,0.00069405-0.0007004i,0.00056642-0.00048105i,0.0007636-0.00080699i,0.0007264-0.00096093i,0.000479-0.0006704i,0.0001943-0.00063706i,0.00036721-0.00081067i,0.00062636-0.00070474i,6.4771e-05-0.00051933i,-8.9858e-05-0.00025537i,6.0859e-05+0.00015797i
0.00048894+0.0013072i,0.00077002+0.0016815i,0.0013814+0.0012555i,0.0022165+0.00057132i,0.0017861+4.5156e-05i,0.0014542-0.00049992i,0.00090421-0.00096021i,0.00052335-0.0006539i,-0.00024003-0.00014272i,-0.0013646-0.00036606i,-0.001733-0.00088728i,-0.00078061-0.0010964i,0.00061989-0.00080472i,0.00081513-0.0007206i,0.00011946-0.00070696i,-0.00042674-0.00044078i,-0.0003132-3.5104e-05i,0.00038161+0.00020779i,0.00060255-4.7536e-05i,0.00018326-0.0008018i,-0.00049326-0.0006848i,-0.00089639-0.00067828i,-0.00033341-0.0014862i
-0.0020517+0.00076004i,-0.0010979+0.0016266i,0.00078881+0.0014434i,0.0022801+0.00052181i,0.0019861-5.2738e-05i,0.0016025-0.0004294i,0.0016254-0.00057157i,0.001289-0.00040032i,-5.7114e-05-0.0003938i,-0.00093889-0.00015945i,-0.00053507+0.00042438i,0.00014418+0.00080401i,0.00034854+0.00053834i,0.00031261+0.00022931i,0.00067925-4.5393e-05i,0.0010936+0.00041359i,0.00028592+0.00099248i,-0.00044325+0.00054243i,-0.0003982+0.00017219i,0.00016682+4.7907e-06i,0.00031685-0.00045373i,-0.00015308-0.00020061i,-0.00028183-0.0001114i
6.9891e-05-0.0011615i,0.00093032-0.00043676i,0.00047122-0.00012918i,-8.0841e-05+6.9685e-05i,0.00063447-0.0010684i,0.0016444-0.0016409i,0.00092671-0.00057299i,-0.00022579-0.00026469i,-0.00074578-8.1705e-05i,-0.00069636+0.00055539i,-0.00017814+0.00064878i,0.00041045+0.00019482i,0.00046727-0.00042658i,0.00044325+3.8273e-05i,0.00065051+0.00046374i,0.00030786+0.00079251i,-0.00071437+0.00081097i,-0.0011135-0.00010772i,-0.00062492-0.00028365i,-0.00062184+0.00024506i,-1.1631e-05+0.00057168i,0.00078802+0.00029091i,0.00049827+7.0195e-05i
-0.0012774+0.00071031i,-0.00083781+0.0020078i,-8.6377e-05+0.002259i,0.00067796+0.0014374i,0.0016227-0.00019989i,0.0023848-0.0015101i,0.0019509-0.00094603i,0.0011724-0.00043998i,0.00075555-0.00070856i,-0.00016732-0.00021245i,-0.0012432+0.00046315i,-0.0012286+9.9119e-05i,-0.0011177-0.00040645i,-0.0010634+3.3744e-05i,-0.00016522+0.0009189i,0.00020614+0.00059517i,-0.00032565+0.00024937i,-0.00031766+0.00048608i,0.00058589-1.9167e-05i,0.00061845-9.6822e-05i,0.00064058+0.00044817i,0.00062518+0.00025558i,0.00029095-0.00065122i
-0.00052576+8.1914e-05i,0.00034097+0.00016711i,0.00020799+0.0012014i,0.00085696+0.00097843i,0.0029428+0.0003702i,0.002753+9.5573e-05i,0.0017528-0.00019282i,0.00055189-0.00061794i,-0.00075961-0.00025028i,-0.00070044+0.00092477i,-0.00033822+0.0012075i,4.3841e-05+0.00079623i,0.00047273+0.0011687i,0.00094071+0.0015i,0.00070994+0.00033828i,-2.4415e-05+0.00017044i,-0.00011866+0.00047385i,0.0002073-0.00024547i,0.00059703-0.00014483i,0.00028671+0.00073598i,-0.00030869+0.0006255i,6.9128e-05-0.00029258i,0.00015975+0.00013403i
-0.00023643-0.00021643i,0.00026443+0.00071097i,0.0014336+0.0010851i,0.0025046+0.00025085i,0.0020474-0.00068055i,0.0014289-0.00073918i,0.00094038-0.00044012i,0.00049597-0.00034668i,0.0008731-0.00075847i,0.00034881+0.00013517i,-0.00039232+0.0011091i,-0.00017169+0.00059638i,0.00011077+0.00034454i,-0.00015081+0.00053794i,9.8285e-05+0.00020893i,0.00010436-0.00012891i,-0.0007259-0.000512i,0.00011628-0.00024413i,0.001562+0.0002655i,0.0013304+0.00026364i,0.00080185-1.2196e-05i,2.1499e-05-9.8773e-05i,-0.00093899-0.00034909i
-0.00073204-0.0014294i,-0.0013393-0.0013617i,-0.00042523-0.0011775i,0.0011767-7.8299e-05i,0.0014477+0.00026276i,0.0012218+0.00033648i,0.00088271+9.9479e-05i,8.7597e-05-0.00013466i,-8.0007e-05-0.00023182i,-0.00054959+3.0841e-06i,-0.00097328-0.00023031i,-0.00059482-0.00094988i,-0.00012069-0.0010542i,-0.00028133-0.00065398i,-0.00028951-0.00024564i,0.00035054+3.1928e-05i,0.00043265+0.00022107i,0.00020491+0.00044283i,-0.00013566-8.6485e-05i,-0.00031794-0.00020044i,-8.14e-05-6.0759e-07i,-4.2764e-06-0.00070922i,0.00046753-0.001121i
0.00080853-0.00017478i,2.2611e-05-0.000635i,-8.5238e-05-0.00039512i,6.3287e-05-0.00068879i,0.00015557-0.0014756i,0.0009919-0.0012873i,0.0014576-0.00031093i,0.0016189+0.00019332i,0.0011458+0.0003166i,-0.00011599+0.00069771i,-0.00064283+0.00043153i,-0.00043336+0.00031461i,-2.8444e-05+0.00064629i,-6.0176e-05+0.00031206i,-0.00035375-1.9439e-05i,-0.00013075+0.0003325i,0.00028708+0.00079372i,0.00081757+0.00023669i,0.00054033-0.00058i,-0.00036883-0.00061199i,-0.00018863-3.8059e-05i,0.00038795+0.00069814i,0.00022662+0.00017434i
-0.0015924+0.00079398i,0.00036411+0.001461i,0.0022237+0.0018003i,0.0021832+0.00072399i,0.0020897-0.00017748i,0.0011324-0.00014993i,-4.749e-05-0.00032195i,1.729e-05+0.00011893i,0.00015278+0.00080232i,-0.00039422+0.0010019i,-0.00060366+0.00024222i,-0.00020029-2.9713e-05i,0.00083747-2.7815e-05i,0.00051897-0.00014202i,-0.00038083-0.00040251i,-4.0899e-05-0.00063902i,0.00013666-0.00056115i,0.0001294-7.7379e-05i,-4.4921e-05+0.0004429i,-0.00019083+0.00029409i,-0.00019134+0.00027669i,0.00022197-0.00036921i,0.00045394-0.0013608i
-0.00045148+0.001208i,0.00050176+0.00095123i,0.001172+2.6483e-05i,0.0011491-0.00044363i,0.001155-0.00044625i,0.0016609-0.00088482i,0.0017573-0.00050566i,0.0009731+0.00011873i,5.4979e-05+0.00060846i,-0.00016414+1.9527e-05i,-0.00023244-0.00029571i,3.8528e-05-2.4659e-05i,0.00035586+5.7736e-05i,0.00040715-0.0001286i,-0.00050234-0.0003676i,-0.0008216+3.9002e-06i,0.00026804-6.6721e-05i,0.00083981-0.00043534i,0.00049671-0.0002043i,6.2842e-05+0.00020811i,-0.00010531+6.0486e-05i,-5.7073e-05-0.00011016i,0.00060102+0.00044242i
-0.0008529-0.0010354i,0.0001781+0.00069847i,0.0003326+0.00082435i,0.00095452-0.00054161i,0.0019003-0.0013381i,0.0016384-0.00067833i,0.0009044-0.00034127i,0.00044268-0.00080724i,4.1611e-06-0.00075366i,-0.00027176-0.00013516i,-0.00073266+0.00045405i,-0.00049136-2.9555e-05i,0.00040576-0.00043941i,0.00052149-0.00052485i,0.00020482-0.00059503i,4.25e-05+6.7979e-05i,0.00021032+0.00022465i,0.00075327-0.00051697i,0.0013108-0.00042989i,0.00062475-0.00024589i,0.0004807-0.0010583i,0.0011385-0.00094999i,0.0004934-0.00017918i
-0.0023318+0.00048347i,-0.00069883+0.00096118i,0.0012209+0.00065658i,0.0024781-2.6265e-05i,0.0030938-0.00093938i,0.0023538-0.0014371i,0.0013311-0.0011759i,0.00096286-0.00043333i,0.00051914-0.00028362i,-0.00024921+0.00015324i,-0.00035203-1.3706e-05i,-0.000133-0.0004434i,-3.897e-05-0.00053322i,1.4555e-05-0.00085184i,2.1897e-05-0.00092491i,0.00022714-0.00067758i,0.0003247-8.3514e-05i,7.6024e-05+0.00035101i,0.00042294-0.00056083i,0.00072961-0.00071096i,0.000545+0.00012664i,0.00062038+0.00016171i,0.00033126-0.00010743i
0.00015314-0.00012872i,0.00082742+0.00078749i,0.0014994+0.00061357i,0.0014775-0.00037254i,0.0011792-0.0017417i,0.0012949-0.00097448i,0.0016+0.00012874i,0.0020559-2.9871e-05i,0.00097191+9.4234e-05i,-0.00044028-0.00025048i,-0.00057457-0.0004408i,0.0002547-0.00036574i,0.00042651+0.00014823i,-0.00026977-4.6367e-05i,-7.598e-05-0.00041636i,0.00053079+7.5177e-05i,-0.00014352+0.00035168i,-0.00056869-0.00014969i,-0.00024627-0.00015918i,6.7158e-06+0.00030202i,-0.00051597+0.0010657i,-0.0011405+0.00063901i,-0.00040367-0.00033127i
-0.00066042-0.0002786i,-0.00024959+0.00031899i,-0.00025916+0.00053104i,0.0012005+0.00056135i,0.0023514+0.00040389i,0.0023829-0.00054497i,0.0013068-0.00066115i,0.00026785-0.00011883i,-5.7602e-05-0.00026043i,-8.7043e-05-2.0411e-05i,0.00019732+0.00019166i,0.0010237+2.0653e-05i,0.0015591+0.00017564i,0.0013583+0.00017584i,0.0012825+0.0003264i,0.00071536+0.00046761i,0.00040075+0.00026707i,4.7598e-05-0.00023276i,2.637e-05+0.00016877i,0.00018674+0.00048455i,0.00041092-0.00026931i,0.00066209-0.00038068i,0.00041783+0.00016579i
-0.0024604+0.0012515i,-0.00069554+0.0014492i,0.00041082+0.0015104i,0.001511+0.0023349i,0.0026562+0.0017198i,0.0027655-0.00022938i,0.0016465-0.00034038i,0.00058641+1.0354e-05i,-0.00011573+0.00019903i,-0.00077995+0.00032943i,-0.00050684-8.4381e-05i,-0.00014401-0.00039826i,-0.00036633+2.4176e-05i,-0.00023582+0.00049837i,0.00032152+0.00032646i,0.00043308+0.00013921i,-0.00026367-0.00035684i,-0.00031234+1.6362e-05i,0.0002997+0.00038887i,0.00022662+6.82e-05i,0.00055832-1.8502e-05i,0.0007849+4.2523e-05i,-0.00068453+0.0005309i
-0.00017764-0.0013854i,5.4008e-05-0.00075737i,0.00013813+2.818e-06i,0.0011769-0.00045413i,0.0016269-0.0019456i,0.001051-0.0017195i,0.00051238-0.00073477i,0.00059476-0.0008639i,0.00074101-0.0013206i,0.00069724-0.0010992i,0.00020496-0.00023795i,-0.000614-8.8511e-06i,-0.00087647-0.00016005i,-0.00038735-0.0001362i,-0.00010284+0.00029907i,-9.2774e-05+0.00075855i,-0.00011183+0.00044068i,-0.00059068+1.1375e-05i,-0.00055907-0.0004544i,-0.00030897-0.00041625i,-0.00058152+0.00015851i,-0.00085368+0.00047547i,-0.00067149+0.0010537i
-0.00093368-0.00065711i,-0.00053322+0.00010636i,-3.8613e-05+0.00063908i,0.0019258+0.00028298i,0.0034498-0.00047713i,0.0030631-0.0012673i,0.0021075-0.00081835i,0.0013028-6.4253e-05i,0.00084843+0.00022454i,0.00065698+0.00053792i,0.00037013+0.00028993i,0.00038696-0.00034159i,2.9576e-05-0.00037852i,-0.00015559+0.00020728i,0.0001008+0.00041601i,0.0001176+0.00070818i,0.00035717+0.00097203i,-0.00016566+0.001005i,-0.00081028+0.00055064i,-0.00052128+5.3704e-05i,-0.00044609-0.00012018i,-0.00063478-0.00070706i,-5.6063e-05-0.0010458i
-0.00082132+0.0003082i,-0.00070005+0.00098064i,-0.00015063+0.00047624i,0.00088638-5.6025e-05i,0.0013687-0.00017329i,0.0016178-0.0007239i,0.0019075-0.0010043i,0.00082956-0.0010955i,-0.00047236-0.00062638i,-0.00054262+0.00052317i,-0.00023368+0.00087223i,0.00010233+0.00095958i,0.0007278+0.0009316i,0.0011355+0.00043394i,0.00079137+0.00024572i,-0.00040435+0.00037567i,-0.00053238+0.00012i,0.00050174-0.00042939i,0.00061413-0.00073504i,-1.0652e-05-0.00031316i,0.0001777+0.00022848i,-0.00026069+0.00017962i,-0.00043608-0.00029831i
-0.0011314-0.0023371i,-0.00017328-0.00097029i,0.0010734+0.00031752i,0.0014397+0.00024536i,0.00080948+4.0655e-05i,0.00075803-0.00010317i,0.0004722-0.00056192i,-8.2711e-05-0.00010668i,-0.00031405+0.0004663i,-0.00040066+0.00017637i,-5.6344e-05-0.00023185i,0.00046348-0.00036243i,0.00099913-0.00086236i,0.00098644-0.00038031i,0.00026088+0.00043304i,-0.00059306+0.00029273i,-0.00057939+3.5205e-05i,-0.00035849+0.00031042i,-0.00030676+0.00047037i,0.00057824-3.238e-05i,0.0012343-0.00062474i,0.0010339-0.0012389i,0.00042068-0.0012143i
