-0.001256-0.00016756i,-0.0009272-0.00086048i,-0.0015103-0.00091044i,-0.0020595-0.0010743i,-0.00201-0.00069264i,-0.0016341+0.00015769i,-0.0014045+8.5649e-05i,-0.00072555+0.00051723i,0.00018884+0.00063134i,0.0010706-0.00030596i,0.0013907-0.00050156i,0.00083125-0.000604i,0.00056313-0.00075511i,0.00030417-0.0010391i,0.00011832-0.00066935i,0.00018961+0.00028604i,0.00016724-0.00016849i,0.00097947-0.00032297i,0.0011578-0.00025219i,0.00051764-0.00073802i,0.00011149-0.0006552i,-0.00041093-0.00052111i,-0.00022777-0.0004488i
0.00092936+0.00034284i,0.00098282-0.00060947i,0.00035787-0.0017525i,-6.2363e-05-0.0029246i,-0.00047154-0.0038044i,-0.0012528-0.0030934i,-0.0012568-0.0018238i,-0.0010865-0.00068638i,-0.00068809+0.00042692i,0.00010793+0.00034287i,0.00023718-0.0001798i,-2.1057e-05-0.00062888i,-0.00043564-0.0011344i,-0.0009741-0.00062483i,-0.0010907-6.3513e-05i,-3.5279e-05-0.00020139i,0.00048118-0.00028078i,0.00034521-0.00011817i,0.00019559-0.00013118i,-7.0712e-05+0.00030567i,0.00038652+0.00013534i,0.00066558-0.00040366i,0.0002824-0.00048609i
-0.00060927-4.0403e-05i,0.00021123-0.00023099i,0.00050154+0.00080423i,0.00059784+0.00081285i,-0.00020522-0.00016881i,-0.0013173-0.001412i,-0.0019696-0.0013946i,-0.0013843-0.00026312i,0.00015844+0.00051126i,0.00085611+0.001037i,0.0011287+0.00066519i,0.0010142+2.4538e-05i,0.0008548-0.00057088i,0.00073851-0.00043546i,-0.00019876-0.00049169i,-0.0004874-0.0011954i,-0.00033374-0.00087197i,-0.00033646-0.00040231i,1.657e-05-0.00039046i,-0.00017159-0.00031675i,-0.0014433-9.8236e-05i,-0.0017083+0.00022749i,-0.00085674+0.00035043i
-0.0011415+0.00027437i,-0.00097054+0.0010255i,-0.00021802+0.00071797i,9.8722e-06-0.00039025i,-0.00066792-0.0012078i,-0.0015299-0.0013242i,-0.0016676-0.0015655i,-0.001071-0.00070063i,-0.00059489+0.00035975i,-4.3824e-07+0.00073997i,6.442e-05+0.00027756i,0.00031232+2.4173e-05i,0.00074119+0.00036916i,0.00072649+0.0002629i,0.0004465+0.00050967i,8.876e-05+0.00041772i,-0.00011069-1.4867e-05i,-0.00034851+0.00046713i,-0.00025045+0.0010609i,1.5662e-05+0.00086792i,-0.00022222+0.00024092i,-0.00032406-0.00013033i,-0.00029893+0.00041529i
9.1883e-05+0.0010653i,-0.00098834+0.0010233i,-0.0012825+0.0015049i,-0.00083349+0.0013613i,-0.00092885+0.00072989i,-0.0017422-6.1776e-05i,-0.0019508-6.0439e-05i,-0.0015356+0.00053126i,-0.00095667-2.7523e-05i,-0.0004134-0.0011683i,-0.00010682-0.00033996i,-0.0001588+0.00049425i,-0.00066143+0.00014103i,-0.000988+4.3854e-05i,-0.00041068-0.00043968i,0.00069296-0.0012322i,0.0008514-0.0016016i,0.00040574-0.00068544i,-1.5404e-05+0.00019913i,-0.00031759+8.7802e-07i,-0.00049506-0.00011898i,-0.00065129+0.000528i,-0.00013293+0.0011642i
-0.00020194-0.00011783i,-0.00066876-0.00080201i,-0.0006898-0.0018286i,-0.00028347-0.0023734i,-0.00057305-0.0023355i,-0.001105-0.0011686i,-0.0012705+4.3479e-05i,-0.0013698+0.00053023i,-0.0012224+0.00017427i,-0.00076208-0.00021918i,-0.00041403-0.00028898i,-0.00012032-0.00063418i,-0.0004365+1.5374e-05i,-0.00029109+0.00048466i,-8.5275e-05+0.00017846i,-0.0010317-0.00027873i,-0.001579+0.00021763i,-0.0005365+0.00037365i,0.0005056+2.8255e-05i,0.00035779-6.1327e-05i,0.00026619+0.00028525i,0.00061056+0.00027344i,0.00048917-0.00045036i
0.00069133-9.3232e-05i,-0.00049087-0.0003557i,-0.00044154+0.00057335i,-0.00089267+0.00096176i,-0.0016106-0.00081486i,-0.0014923-0.0017656i,-0.0007676-0.0015724i,-5.5266e-05-0.00070961i,-0.00025068-9.688e-05i,-0.00018444-0.0005792i,-0.00032522-0.00046214i,-0.00040283+0.00015542i,-0.00012947+0.00051827i,0.00013712+0.000357i,-8.1779e-05-0.00017661i,0.00043394-0.00034744i,0.0011182+0.00010174i,0.00028463+6.9539e-05i,-0.0012952-0.00048014i,-0.0013608-0.00056123i,0.00018929+0.00020038i,0.0007815+0.00070352i,0.00011205+0.00070847i
-0.00066012+0.00091197i,-0.00028771+0.0004944i,-6.0135e-05+0.00055169i,0.00026661-0.00010868i,0.00038184-0.00027772i,-0.00052236+0.00026058i,-0.00053725-0.0007331i,0.00035675-0.00071798i,0.00032597+0.0011011i,0.00019643+0.00087321i,0.00015956-0.00018967i,9.0603e-05-0.00057979i,0.00022303-0.00038045i,-0.00040386+0.00033655i,-0.00096472+0.00050742i,-0.00062612+0.00038139i,-0.00095532+7.3019e-05i,-0.0012017-0.0002242i,-0.00094894-0.00042362i,-0.00085088-0.000201i,-0.00060804-0.00046013i,-0.00043574-0.00099294i,0.00037708-0.0010681i
-0.0015048-0.00040071i,-0.0018557-0.0016492i,-0.0013272-0.0013291i,-0.00057663-0.00050896i,-0.00047735-0.001038i,-0.00098396-0.0017729i,-0.00062328-0.0014449i,-0.00037452-0.0008727i,-0.00019781+0.00026029i,-7.8748e-05+0.0010866i,-0.00017546+0.0013601i,-8.4608e-05+0.0012096i,7.9108e-06+0.0010038i,0.00022022+0.0014958i,3.0132e-05+0.0010181i,-0.0001734-0.00048102i,2.2638e-05-0.00033322i,7.5721e-05+0.00033807i,-0.00085483+0.00020675i,-0.00060385-0.00013226i,0.00051481-0.000561i,0.00041977+5.1255e-05i,-0.00044781+0.00071388i
-0.00041776-0.00082417i,-0.0004136-0.00012848i,0.00046485-0.00018661i,0.0011091-0.00077963i,0.00056792-0.00089639i,-0.0004993-0.00053918i,-0.00059337-0.00054713i,-0.00041205-0.00068923i,-0.00071866-0.0006529i,-0.00045818-3.5107e-05i,0.00010531+0.00047587i,0.0005684-0.00029411i,0.00047637-0.00072916i,0.00043709+0.0001007i,0.00013235+0.00031798i,-0.00055721+9.1816e-05i,-0.00024759+0.00029676i,0.00016615-0.00014483i,0.00032926-0.00049315i,0.00015153+0.00024387i,-0.00023067+0.00052009i,-0.00024354+0.00023637i,-0.00035724+0.00065507i
-0.0018644-0.00079254i,-0.002205-0.0013674i,-0.0024011-0.0010041i,-0.0019179-7.4465e-05i,-0.0017544-0.00020116i,-0.0016417-9.8711e-05i,-0.00068341-0.00013168i,-0.00020842-0.00083217i,-0.00013464-0.0010126i,4.9188e-06-0.00062639i,0.00061198-0.0002788i,0.00019285-0.0001561i,-0.00031925-0.00018977i,-0.00028008-0.0004755i,-0.00065941-0.00044935i,-0.00059152+0.00016008i,7.1776e-06+0.00061258i,0.00035733+0.00069317i,0.00046382+0.00035446i,0.0005187+0.00063859i,0.00036833+0.0007935i,0.00014076-0.0001212i,0.00032972-0.00041201i
-0.0035379-0.0017205i,-0.0024672-0.00019478i,-0.00082117+0.00074601i,-0.00026093+0.0010283i,-0.00094955+0.0010737i,-0.00066629-7.5587e-05i,-0.00053629-0.0017869i,-0.00050223-0.0023261i,-0.00067244-0.0011241i,-0.0014317-3.5677e-05i,-0.0011064+0.00057159i,-0.00045673+0.00051955i,-0.00038008+0.00027756i,-0.00062892+0.00069i,1.1922e-05+0.00051351i,0.00037825-0.00011563i,-0.0007889-0.00017708i,-0.00045131-9.3252e-05i,0.00055542-5.411e-05i,0.00022935-0.00046766i,-0.00017254-0.00070258i,-3.6561e-05-0.0003324i,0.00055286-0.00017861i
-0.00082275-0.0019426i,-0.00070533-0.00064208i,-0.0010123+0.00090191i,-0.00018213-0.00024017i,-7.7661e-05-0.0010684i,-0.0011228-0.0010678i,-0.001071-0.00080858i,-0.00021595+0.00014255i,0.0002925+0.00056268i,0.00053532+0.00051208i,0.00015151+0.0002771i,0.00021142-2.0152e-05i,0.00049723-0.00059844i,0.00069994-0.0012161i,0.00079797-0.00063358i,0.00021058+0.00024852i,-0.00024759-0.00012283i,6.493e-05-0.00030541i,-0.00011892-0.00080231i,-0.00064153-0.0011439i,-0.0012126-0.00050702i,-0.0011024-0.00015418i,0.00013555+0.00013634i
-0.0020127-0.0033849i,-0.0026738-0.00344i,-0.0023213-0.0017947i,-0.0013719-0.0013073i,-0.00084837-0.0012617i,-0.00040166-0.0021595i,-0.00034339-0.0019492i,-0.00076211-0.00092191i,-0.00028298-0.00078287i,-4.4514e-05-0.00010256i,0.00023211+8.3088e-05i,0.00012984+4.4587e-05i,0.00015061+9.4715e-06i,-1.8907e-06+0.00019789i,-8.8986e-05+0.00023579i,0.00048249+0.00031721i,-4.6484e-05-0.00014029i,-0.00051196-0.00067854i,-0.0005589-0.00039105i,-0.00040606-0.00027523i,-4.7272e-05-0.00037918i,0.00015272-0.000407i,0.00039043-0.00023006i
0.00077312+0.00099479i,0.0017934+0.00035144i,0.0020759-0.00024786i,0.00084417-0.0011963i,-0.00096606-0.001789i,-0.0025538-0.001049i,-0.0025627-6.698e-06i,-0.0013762+2.6174e-06i,-0.001165-0.00068859i,-0.00075326-0.00083253i,-0.00040132-0.00011015i,-0.00031236+0.00034278i,6.2214e-05+3.1477e-05i,9.8209e-06-0.0002619i,-0.00077542-0.00058913i,-0.00048404-0.00049979i,0.00014327-0.00046112i,-7.6087e-05-0.0009037i,-0.00018891-0.0012627i,2.4995e-06-0.00057662i,-0.00053937+0.00032716i,-0.00087408+0.00012809i,-0.00074301+0.00021142i
-0.00076718-0.0010138i,-0.001793-0.0012994i,-0.0021116-0.00089797i,-0.0014555+0.00041254i,-0.00057649+0.00023147i,-0.00086018-0.00050787i,-0.0013639-0.00089345i,-0.00087001-0.00095048i,-0.00057348-0.00093527i,-0.00082758-0.0007333i,-0.0011304-0.00025675i,-0.00077579-0.00024312i,-0.00038265-3.6093e-05i,-0.00050202+0.00021778i,-0.00099056+0.00022402i,-0.00095966+0.00024923i,-0.00055387+0.00064527i,-0.00032237+0.00063563i,-7.8402e-05-0.0002439i,-0.00050461-0.00057464i,-0.0011497-0.00011613i,-0.0010648-4.7454e-05i,-0.00049871+3.1805e-05i
-0.00041592+0.00020251i,-0.00089205-0.00060133i,-0.00081136-0.0011979i,-0.00052776-0.0011932i,-0.00061552-0.0017948i,-0.00097338-0.0017475i,-0.00081863-0.0010671i,-0.00098328-0.0010041i,-0.0015026-0.00090896i,-0.00086175+0.00025413i,-0.00078181+0.0014037i,-0.00074276+0.0015028i,-0.0006137+0.00064396i,-0.0009461-0.00033799i,-1.6283e-05+0.00018262i,6.307e-05+0.00052257i,-0.00026695+0.00040966i,0.00015026+0.00011163i,0.00012169-0.00085536i,-0.00040848-0.00065922i,-0.00047747+0.00018887i,-0.0002016+0.00088784i,0.00026135+0.0011586i
-0.0012743-0.00014945i,-0.0012991-4.962e-05i,-0.0006344+0.0012947i,-0.00046209+0.00078302i,-0.00079271-0.0010682i,-0.00083253-0.0017557i,-0.0011082-0.0008932i,-0.0011232-0.00089675i,-0.00046345-0.00082701i,-0.00027314+0.00028057i,3.8486e-05+0.0001685i,-0.0003188+0.00065162i,-0.00083464+0.00084667i,-0.00037668-5.5572e-05i,0.0002242-1.8603e-05i,-0.00036596+0.00016194i,-0.0012672-9.4922e-05i,-0.0011238-0.00032747i,-0.00029847-0.00045326i,-0.00011115-0.00057072i,-8.8043e-05-0.00034324i,1.0352e-06+0.00013203i,-0.00056926+0.00038442i
-0.0010183-9.2655e-05i,-0.0023416-0.0013821i,-0.001779-0.0012661i,-0.00049503-0.00062381i,-0.00060782-0.00042186i,-0.0011672-0.00047046i,-0.0007082-0.00057819i,0.00011109-4.5403e-05i,-0.00027115+0.00011479i,-0.00041483-0.00013658i,-0.00034348+9.9625e-05i,-0.00021114+2.1492e-05i,5.8148e-05+0.00023996i,9.0015e-05+0.00052396i,-0.00015456-0.00011413i,-0.00043861-0.0001716i,-0.00019783-0.00026572i,0.00069426-0.00046896i,0.0010241-0.00032082i,0.001039-8.6001e-05i,0.0010461+0.00035397i,0.00019536+0.00023599i,-0.0001897-4.7376e-06i
0.000357+0.00094432i,0.0006611+0.00021433i,0.00082262-0.00068346i,0.00095246-0.00052273i,-9.8765e-05-0.00045714i,-0.0012711-0.0006692i,-0.0016875-0.00061419i,-0.0015023-7.9529e-05i,-0.0011556+0.00057098i,-0.00082203+0.00060559i,-0.00084955+0.00062452i,-0.0001274-1.556e-05i,0.00043105-0.00051499i,0.00017729-0.00042134i,0.00012652-0.00047914i,9.5447e-05-0.00039155i,-0.0002119-0.00019473i,-0.00032233+3.2841e-05i,-0.00082114+0.00028581i,-0.00052339-6.585e-05i,0.00014595+1.3528e-05i,0.00010991+0.00044044i,2.5552e-05-4.6287e-06i
-0.00014759+0.0027835i,-0.0005662+0.0027864i,0.00028655+0.0019396i,0.00086481-0.00057152i,-0.00013532-0.0032934i,-0.0018816-0.0032151i,-0.0017957-0.0012853i,-0.00089524-0.00040059i,-0.00026903-0.00066029i,0.00026492-0.00057412i,-0.00064981-0.00024542i,-0.0012642+0.00041238i,-0.00096631+0.00016975i,-0.00010514+0.00033371i,0.00014981+0.00075158i,-0.0010151-4.439e-05i,-0.00090805-0.00038559i,-0.0002346+0.00038405i,-8.2064e-05+0.00086612i,-0.00013094+0.00042007i,-1.8777e-05+0.00028059i,0.00040825+0.0004549i,0.00014982+0.00037837i
-0.00054072-0.00052223i,-0.00097814-0.00093097i,-0.00073169-0.0013807i,-0.00081081-0.00087051i,-0.00093209-0.00020965i,-0.00095135-0.00029244i,-0.0010559-0.00088153i,-0.00060355-0.001374i,-0.00097081+6.9112e-05i,-0.0010383+0.001706i,-0.00026719+0.0016154i,-0.00010034+0.00089833i,0.00029581+6.2197e-05i,0.00018563-0.00025494i,-0.00054121-0.00028426i,-0.00041194-0.00066911i,0.00066911-4.4329e-05i,0.00097025+0.00092718i,0.00032234+0.000425i,-0.00019852-0.0004033i,-9.7219e-05+0.00013604i,-0.0004066+0.0004005i,-0.00051341-0.00024026i
-0.00027991-0.0013126i,-0.00041645-0.00080111i,4.2436e-05-0.00066282i,1.5527e-05+1.3457e-05i,-0.0012004-5.2548e-05i,-0.0016461-0.0005716i,-0.0010595-0.00028327i,-0.00086173-0.00011691i,-0.00047036-5.7152e-05i,-0.00029505-0.00025395i,0.00014535+5.2331e-05i,0.00081301+0.00060632i,0.00075339+0.00084089i,0.00047002+0.00062509i,0.0002742+0.00060359i,0.00043684+0.00093735i,0.00044425+0.00068409i,0.0003541+0.00031332i,-0.00055412+9.1773e-07i,-0.0011172-0.00046593i,-0.0001588-0.00049269i,0.00041835-0.00026775i,1.737e-06+0.00010967i
-0.001063+0.0002269i,-0.0013857+0.00058983i,-0.00083527+0.00053545i,-0.00067525+0.00068858i,-0.0011077+1.1724e-05i,-0.0017631-0.00072125i,-0.0015352-0.00053737i,-0.00074582-0.00018393i,-0.0005169+0.00025777i,-0.0004095+0.00074521i,-0.00027463+0.00045389i,-0.00020514+0.00024903i,-0.00040138+0.00047826i,9.5271e-05+0.00065229i,0.00064254+0.0013886i,0.00039362+0.0014987i,8.6257e-05+0.00035224i,-0.00055501+2.7475e-05i,-0.00039414-2.6033e-05i,0.00012431-0.0003148i,0.00032082-0.00032664i,0.00064431-0.00043114i,0.0010276-0.00028967i
-0.0018009+0.00011579i,-0.0012918+0.00064611i,0.000192+0.00074i,0.000651+2.68e-05i,-6.0307e-05-0.00083578i,-0.00082011-0.001007i,-0.0013289-0.00031301i,-0.00091062+0.00011886i,-0.00032933+0.0001469i,-0.00078463+0.00058834i,-0.00064728+0.0014067i,0.00020968+0.00098172i,0.00025684-0.00068729i,-7.8615e-05-0.0013926i,-4.1159e-05-0.00027795i,0.00058211+3.0608e-05i,0.00012998-0.00067724i,-0.00069364-0.0004528i,-0.00048604-2.3225e-05i,0.00015599+1.9808e-05i,0.00034535-0.00066968i,0.00021469-0.00092597i,0.00020641-0.00056858i
-0.00073829-0.0028814i,-0.0017373-0.0030828i,-0.0023149-0.0021639i,-0.0025217-0.0010797i,-0.0022453-0.0007134i,-0.001494-0.0013948i,-0.00020899-0.001641i,-3.2242e-05-0.00071451i,-0.00052093+0.00062565i,-0.00079786+0.00099675i,-0.00070286+0.00083699i,-0.00035579+0.0012045i,0.00047837+0.00076921i,0.0012084+0.00077037i,0.0001153+0.0015196i,0.00036608+0.0011884i,0.0010123+0.00037i,-0.00025998+0.00026126i,-0.00060608+0.00024767i,-0.00027645+0.00021491i,-0.00067865-0.00020181i,-0.00083435-0.0011506i,-0.00059533-0.0016621i
-0.0016884+3.6234e-05i,-0.0024761-0.00036884i,-0.0019879-0.00040848i,-0.00032893+0.0001329i,-0.00048285-0.00079543i,-0.0016554-0.0013371i,-0.0014251-9.7535e-05i,-0.00067039+0.00056646i,-6.7134e-05+0.00058187i,0.00024064+0.00044248i,6.493e-05+0.00051239i,-0.0001881+0.00047608i,-0.00041943-0.00027639i,2.9692e-05-0.00073999i,0.00040826+4.3241e-05i,-2.3709e-05-0.00034886i,-0.00019677-0.0003699i,0.00011858+0.00048998i,0.00031048+0.00018676i,3.7683e-05-0.00019636i,-0.00053782-0.00018232i,-0.00063901+4.2941e-05i,-0.00066067+0.00014229i
-0.0014515-0.00063789i,-0.0015169-0.0013003i,-0.0012545-0.0013424i,-0.0012579-0.0012988i,-0.00086952-0.0006694i,-0.00032408-0.0002377i,-0.00072865-0.0012645i,-0.00079147-0.0015353i,-0.00063791-0.00039789i,-0.0013777+8.9697e-05i,-0.0012358+0.0010097i,0.0001346+0.0012941i,0.00079699+0.00045664i,0.00034675+6.8826e-06i,0.00022476+0.00016595i,0.00015001+2.4586e-05i,-3.653e-05-0.00025056i,0.00020997+0.00016611i,0.00011319-0.00037464i,0.00012807-0.00068202i,-2.3647e-05-3.0142e-05i,-2.0915e-05+0.00024687i,0.0011775-0.00016524i
-0.0011146+0.00035217i,-0.0014761+0.00098936i,-0.0009358+0.0017702i,0.00044466+0.001117i,0.0010657-0.00044335i,-0.00029918-0.00058945i,-0.0017421-0.00079151i,-0.0014094-0.0010857i,-0.0010943-0.00017458i,-0.00073733-0.0001189i,0.00061296+8.1188e-05i,0.00079378+0.0012937i,-0.00023317+0.00076101i,-0.00054347-0.0004942i,0.0001005-0.00089999i,0.00096993-0.00060755i,0.0010114-0.0001379i,0.00039999-0.0002566i,0.00033743+6.693e-05i,0.00025845+0.00082694i,0.00027383+0.0004982i,0.00041734-0.00061964i,-0.0001181-0.00052946i
-0.001866-7.6723e-05i,-0.0014986+0.00082268i,-0.00086297+0.0013293i,-0.00099636+0.00074298i,-0.00097812-2.3277e-05i,-0.0015211-2.7417e-05i,-0.0021257-6.1824e-05i,-0.001985-2.6929e-05i,-0.0013492+3.6061e-06i,-0.0005164+0.00095722i,0.00010372+0.0015406i,-5.5805e-05+0.00077162i,-0.00027592+0.00029986i,0.00015776-0.00033799i,0.00014442-0.0010847i,0.0003883-0.00058976i,-0.0001196-8.0635e-05i,-0.0010062-0.00058297i,-0.00098364-0.0006412i,-0.00085056-0.00017152i,-0.00064756-0.00031507i,-0.00053909+2.7878e-05i,0.00016817+0.00036289i
-0.00071581-0.0016487i,-0.0019251-0.0015686i,-0.0023321-0.0014903i,-0.0018687-0.00034003i,-0.0016532+0.00010769i,-0.0016678-0.00020396i,-0.0023213-0.0011888i,-0.0019792-0.0015781i,-0.0011414-0.00050229i,-0.00082763+0.0008757i,-0.00092199+0.0012184i,-0.00063043+0.0011641i,-8.8799e-05+0.0010749i,-3.0929e-05+0.0006686i,-0.00016962+0.00021993i,0.00015519-0.00043439i,0.0004783-0.00080192i,-0.00035296+7.2936e-05i,-0.0011214+0.00039325i,-0.00044265+0.00033541i,0.000635+0.00029086i,0.00085367+0.00019705i,0.00029714-0.00012153i
-0.00025915-0.00060376i,-0.00078302-0.00050402i,-0.00047005-0.001351i,-0.00031265-0.0020442i,-0.0012625-0.0019523i,-0.0019801-0.00091386i,-0.00096962-0.00022705i,-2.2817e-05-0.00052928i,-0.00056467-0.00073935i,-0.00097913-0.00040261i,-0.0010455-2.1791e-05i,-0.0011372+0.00053982i,-0.0003813+0.0010272i,-0.00060568+0.00068932i,-0.0010454+0.00042015i,-0.00048871+0.00033416i,-0.00024681+0.00020586i,-8.3651e-06+1.8136e-06i,0.0003636-0.00028999i,0.00094212-0.00048337i,0.00045467-0.00066048i,0.00055051-3.6763e-05i,0.00070684+0.00063048i
