-0.0023886+0.0016377i,-0.0022975+0.0020343i,-0.0019431+0.0014354i,-0.0012534+0.0010037i,-0.00038815+0.0012014i,0.001099+0.00086767i,0.0021279-6.3467e-05i,0.0015844+0.00012792i,0.0010168+0.00015107i,0.00067783-0.00010139i,0.00073236-0.00042846i,0.00061465-0.00073133i,0.00087501-0.00086993i,0.00084334-0.0007448i,0.00074193-0.00058842i,0.00064959-0.0013914i,0.00031416-0.001533i,5.0051e-05-0.00071619i,-0.00034819-0.00037035i,-0.00044477-0.00059771i,-0.00034986-0.00024691i,-0.00045827+0.00043677i,-0.00083621+0.00059293i
-0.0013097-0.0017506i,-0.001969-0.00061257i,-0.0014337+0.00040437i,0.00044411+0.001215i,0.0024608+0.00091809i,0.0036401-0.0004069i,0.0031629-0.00068328i,0.00067717-0.0010891i,-0.00087585-0.0011459i,-0.00086768-0.0006389i,-0.00026837-0.00044914i,0.00080798+0.00070137i,0.00078576+0.00085724i,0.00054492-0.00037259i,0.00051373-0.0003061i,0.0011213+0.00030721i,0.00067053-0.00023666i,-0.00050143-6.1935e-05i,-0.00073698-6.1945e-05i,-0.00028987-0.00094796i,3.2856e-05-0.00087751i,0.00017438-1.1487e-05i,-8.5959e-05+0.00016185i
-0.00023238+0.0021353i,-0.00043745+0.0028963i,-7.4172e-05+0.0027535i,0.00068682+0.0013017i,0.0010268-0.00031511i,0.0010041-0.00086938i,0.00023654-0.00061117i,-0.00090211-0.0005226i,-0.0014854-0.00023234i,-0.00096242-0.00039146i,-0.00054285-0.0004429i,-0.00044468-0.00032146i,-0.00036674-0.0001805i,5.2958e-05-0.00024149i,0.00017683+0.00055531i,6.4544e-05+0.00062885i,0.00069062-0.0002027i,0.00087897+0.00028689i,-0.00012795+0.00020643i,1.2781e-05-0.00038549i,0.00049934-0.00017234i,6.22e-05-0.00017698i,9.8931e-05+3.2454e-05i
0.0017489+0.00038559i,0.0021337+0.00046256i,0.0015953+0.00048704i,0.00027402-0.00073563i,-0.00058826-0.00073081i,0.00053773+0.00087706i,0.0015214+0.00083574i,0.0010536-3.6055e-07i,0.00079872-0.00033336i,0.00019251-0.00020403i,-0.0012525-0.00028976i,-0.0011702-0.00040051i,-0.00016435+0.00023127i,9.9075e-05+8.8884e-05i,2.5572e-05+0.00024984i,-0.00035091+0.00073702i,0.00014253+0.00092465i,0.00022638+0.0009995i,-0.00025809+0.0001346i,-2.6859e-06+0.00015099i,-0.0003463+5.8442e-05i,-0.0004928-0.00026823i,1.2981e-05+0.00029519i
0.0025706-0.00015131i,0.0022194-0.00046163i,0.00079982-0.00036324i,0.00090073-0.00056338i,0.0014448-0.0012442i,0.0016636-0.0015946i,0.0018159-0.00081691i,0.0012116-0.00036058i,0.00067538-0.00017016i,0.00041079-0.0004984i,0.00018575-0.0010908i,-0.00045895-0.0010736i,-0.00069715-0.00087721i,-0.00042511-0.00053778i,-0.00045116-0.00049757i,2.8129e-05-0.00045638i,0.00012735+0.00028045i,-0.00045058+0.00055508i,0.00012693+0.00026341i,5.4284e-05+0.00030666i,-0.00056459+0.00016561i,-0.00057932+0.00054462i,-6.6695e-05+1.4886e-05i
-0.0019492-0.0001581i,-0.00242+0.00052477i,-0.0014771+0.00103i,-0.00071242+0.00060836i,-0.00047058+0.00015559i,-8.1284e-05+3.5454e-05i,0.00048707-0.00034648i,-5.3051e-05-0.00058109i,-0.00026923-0.00023015i,-0.00010667-0.00065152i,-0.00069636-0.00098438i,4.4375e-05-0.00022444i,0.00081982+5.4858e-07i,8.5669e-05-4.5622e-05i,-0.00037641+0.00035692i,-0.00065809+0.00074632i,-0.00047965+0.00057162i,-0.00021414+0.00044103i,-0.0002902+0.00091565i,-0.00014728+0.00085294i,9.6223e-06-0.00018447i,-0.00014921-0.00024637i,-0.00014822+0.00036216i
0.00089409+0.00051288i,0.001351+0.00072385i,0.0015801+0.00037198i,0.0016948-0.00065124i,0.0019098-0.00065152i,0.0024112+0.00023731i,0.0026872-6.0424e-05i,0.0021957-0.00082293i,0.00090818-0.00072841i,-0.00047742-0.00024951i,-0.00099391-0.00028388i,-0.00087496-0.00019137i,-0.00083248-0.00031305i,-0.00072582+4.9082e-05i,0.0002683+0.001016i,0.00086901+0.001055i,0.00061753+0.00067162i,7.6584e-06+0.00020416i,-0.0005071+0.0007081i,-0.00018518+0.00077086i,0.00065044+0.00031069i,0.00084365+0.00058074i,0.00055177-1.1382e-05i
0.0014304+0.0016451i,0.00068446-0.00027282i,0.00081125-0.0018263i,0.00040273-0.0016384i,-0.00058469-0.00084934i,-0.0008072+0.00021477i,-0.00025631+0.0012296i,0.00033983+0.001317i,0.00051552+0.00018932i,0.00017241-0.00054076i,-0.00029065-5.117e-05i,-0.00025552-0.0001637i,-0.00015478-0.00038837i,-0.00025079-0.00022151i,-0.00024418+0.00013491i,-0.00056183+0.00064417i,-0.00046349+0.0010861i,-0.00019998+0.0011032i,1.7295e-05+0.00094465i,0.00064836+0.00063718i,0.00038832+0.00044184i,-0.00024491+8.5788e-05i,3.9066e-05-0.00029926i
-0.0012985+1.54e-05i,-0.0011751+0.001172i,-0.00051225+0.0017085i,0.00047625+0.0010204i,0.0014089+0.00054858i,0.0011998+0.00063652i,0.0004309+6.5216e-06i,-3.0033e-05-0.00077588i,-0.00011419-0.0010414i,0.00025716-0.00075146i,8.5436e-05-0.00026713i,0.00023803+0.00065214i,0.00051317+0.0011385i,0.00070245+0.00067021i,0.00041729+0.00026848i,0.0003853-5.9451e-05i,0.00042424-0.00060906i,0.00053897-0.00076209i,0.00065263-0.00043964i,0.00043663-0.00026323i,0.00014674-0.00036605i,-0.00022973-0.00031607i,-0.00040254+0.00037053i
0.00012818-0.0010642i,-0.00095144-0.0012058i,-0.0015771-0.00098317i,-0.0010997-0.0005118i,-0.00087946-0.00038311i,-0.00061568-0.00038241i,-0.0003239-0.0014848i,0.00026681-0.0020992i,0.0006868-0.0011233i,0.00017497-1.7615e-05i,-0.00084227+0.00043013i,-0.0016275+0.0002525i,-0.00051742+0.00016646i,0.00063296+0.00016814i,0.00031045+0.00034736i,-5.6777e-05+0.0010114i,0.00027768+0.00084208i,0.00032167+0.00025917i,-0.0003567-0.00010778i,-0.0010073+0.00020848i,-0.0010615+0.000602i,-0.00056761-7.9506e-05i,6.9117e-05-0.00047783i
0.0003278-0.0015326i,-0.00015301-0.0013362i,0.00012803-0.00063851i,5.1091e-05-0.000181i,-0.00015355-0.00012195i,0.00089133-0.00056359i,0.0015532-0.00097319i,0.0012737-0.0011282i,0.00076425-0.00031396i,0.00019492+0.0004414i,-0.00070014+0.00010928i,-0.00075092-0.00038633i,0.00053393-0.00025862i,0.00091212-0.00016559i,0.00023038-0.00042233i,1.8065e-05-0.00046594i,-0.00019989-0.00030552i,-0.00019176-0.00024214i,-0.00073178-0.00024786i,-0.00081265+0.00012108i,-4.2397e-05+0.00047734i,-4.8965e-05+0.00047212i,-0.00025248+0.00056633i
-0.00035167+0.00026363i,-0.0019668+0.00034436i,-0.0016408+0.00011352i,-0.0001653+8.1237e-05i,0.00046089+1.6388e-05i,0.00010273-0.00043647i,-0.00020833-0.00077199i,-7.7288e-05-0.00084212i,0.00024182-0.00056474i,0.0005973-0.00020174i,0.00090176-8.5662e-05i,0.00052114-0.00015196i,7.1899e-06+3.7367e-05i,-0.00031011+0.00029552i,-0.00051324+0.0004026i,-0.00075504+0.00040639i,-0.00099599+0.00045292i,-0.00017742+0.001014i,3.4007e-06+0.00086982i,-0.00021566+7.1264e-05i,-0.00014397-0.00040243i,-7.8738e-05-0.00047827i,0.00046137+0.00027101i
-0.00010509+0.0022415i,-1.0492e-05+0.0016295i,0.00074178+0.0017592i,0.0012163+0.0014924i,0.0021244+0.00032979i,0.0027869-0.00043662i,0.0020999-0.00069065i,0.00057468-0.00058766i,0.00038512+1.0651e-05i,0.00099989+0.00073911i,3.5562e-05+0.00031381i,-0.00052769-0.00091677i,0.00014465-0.00032994i,0.0001114+0.00039779i,-0.00019008-0.00031854i,0.00045741-0.00017027i,0.00099568+3.613e-05i,0.00074357-0.00017516i,0.0006031+0.00025245i,-6.4495e-05-2.1499e-05i,-0.00043251-0.00061186i,0.00019875-0.00053614i,0.00075984+0.00018139i
-0.0017085-0.0018651i,-0.0020907-0.00032302i,-0.0021145+0.00089624i,-0.00094899+0.00064412i,-8.1846e-05+0.00082477i,0.0010916+0.0011162i,0.0019643+0.00044611i,0.0012668-6.1606e-05i,0.00026137+0.00021958i,-7.5849e-05-1.4528e-05i,-0.00043197-0.00020459i,-0.00076186-0.00015477i,-0.00015187-0.00039544i,0.00055338-0.00038567i,0.00086333+0.00065891i,0.00038681+0.00056227i,-0.00022823+0.00032112i,0.00010238-0.00018886i,0.00035135-0.00056533i,0.00069589-0.00046151i,0.000178-0.00049083i,-0.00084747-0.00026373i,-0.00081492-0.0004815i
0.00036974+0.0010169i,-0.00032005+0.0014982i,-2.6891e-05+0.00028321i,0.0015192-0.00026826i,0.0023145+0.00014281i,0.0011087-0.00027306i,0.00042433-0.00073712i,0.00023857-0.00077575i,0.0001484-0.0002404i,-0.00037369-0.00037739i,-0.00020304-0.00032682i,-5.3062e-05+7.1729e-05i,-0.00014667-0.00033101i,0.00028556-0.0006103i,-0.00051843-0.0005623i,-0.00092324-0.00084695i,-0.00041008-0.00099758i,0.00035022-0.00060195i,0.00083196-0.00015963i,0.00047186-0.00042366i,0.00064123-0.00022367i,0.00025943+0.00044399i,-4.8727e-05+0.00059807i
0.00049978+0.0017007i,0.00097629+0.0017498i,0.0017919+0.0010467i,0.0021433+0.0010089i,0.0016733+0.00035569i,0.0011333-0.00036129i,0.0010108-0.00033686i,0.00052059+0.00030269i,-8.2931e-07+0.00086314i,0.00054242+0.0001756i,0.00094021-0.0001873i,0.00065573+0.00012161i,9.1394e-05+0.00072018i,-0.00064009+0.00050993i,-0.00094115+0.00016191i,-0.0011517+0.00016485i,-0.0011603+0.00032987i,-0.00054547+0.00037879i,-0.00013773+0.00033045i,-0.00028179+0.00045255i,0.00032268+0.00031595i,0.00056502+0.00010886i,0.0001404-0.00012795i
-0.0019107-0.00097624i,-0.0018565-0.0010225i,-0.0017913-0.0012962i,-0.00086799-0.00097979i,9.9234e-05-0.00035749i,0.0008283-0.00065315i,0.001086-0.00081526i,0.0010275-0.00087569i,0.001164-0.00033689i,0.00070467+0.00018716i,1.2436e-06+0.00081011i,-0.00034266+0.0016705i,0.00013805+0.0018078i,0.00044222+0.0012651i,0.00013842+0.0010765i,0.00051686+0.0006819i,0.00057048+0.00044301i,-0.00010971+0.00075894i,-0.00022613+0.00038398i,-0.00026117-1.5577e-05i,7.4531e-05-0.00019122i,0.00062001+0.0003459i,0.00061374+0.00092461i
-0.0023842+0.00058396i,-0.0024271+0.0020292i,-0.0015132+0.0024659i,5.8682e-05+0.0017505i,0.00071217+0.00029585i,0.0011904-0.00070882i,0.0014316-0.0010249i,0.00098309-0.00057866i,0.00054979-0.00028056i,0.00032084-0.00027349i,7.8879e-05-0.00042471i,-0.00078855+6.3909e-05i,-0.00099251+0.00015162i,1.8108e-05-0.00084247i,0.00035731-0.0010669i,-0.00024415+5.3225e-05i,-9.6032e-05+9.3981e-05i,-0.00022267+0.00020021i,-0.00048026-0.00052494i,-0.00064355-0.0012316i,-0.0014817-0.00069682i,-0.0010979+2.8441e-05i,3.1697e-05+0.00015826i
-0.0013886+0.00014262i,-0.00068191+0.0010561i,0.00022424+0.00095011i,0.00077575+0.00085838i,0.00098659+0.00047869i,0.0021384-0.00061149i,0.002943-0.00092211i,0.0017863-0.00099159i,0.00057242-0.00066018i,-0.00020557-9.3423e-05i,-0.00027195-0.00086701i,0.00035037-0.00075965i,-4.4808e-05-0.00082431i,-0.00044193-0.0012533i,0.00038039-0.0011626i,0.00078757-0.00082341i,0.00048531+0.00055481i,0.00019053+0.00069406i,-0.0005662-0.00049566i,-0.00067826-0.0006077i,-0.00048908+3.2995e-05i,-0.00012028+0.00047859i,-0.00036242+0.00051856i
0.00059006+0.00021289i,-9.1736e-05-0.00087104i,8.4124e-05-0.000678i,0.0012714-0.00037407i,0.0014422-0.00068732i,0.00040204-0.00074961i,-0.00017321-0.00070861i,-0.00071538-0.00095034i,-0.00068127-0.00072639i,-0.000226-0.00027437i,-0.00035323-0.00056256i,-0.00025352+0.00017005i,0.00025554+0.00049557i,0.00028695-8.9108e-05i,-0.00013584-0.00075037i,0.00028303-0.00090941i,0.00016408-0.0002969i,-0.00045506-0.00035353i,-0.00040616-0.00066149i,-0.00019551-0.00039874i,9.1574e-05+9.962e-06i,0.00075112+0.0004443i,0.00077947+0.00051333i
-0.00022234+0.0011719i,-0.0013058+0.001157i,-0.0018697+0.00087491i,-0.0012694-0.0001012i,-0.00045519-0.00041074i,-0.00010307-0.00057724i,0.00019486-0.00054245i,0.00014179-7.6146e-05i,0.00015495+0.00087955i,0.00026393+0.0010843i,-6.7984e-05+0.00086526i,-0.0002589+0.0011023i,0.000339+0.00067856i,0.00017171+0.00062972i,-0.0003206+0.00067614i,-0.00061638+0.00064744i,-0.00071584+0.00028945i,-0.00061691-0.00021292i,-0.0002843+0.00010247i,-0.00030546-2.9938e-05i,-0.00084931-0.00041893i,-0.0011062-0.00049716i,-0.0014935-0.00019778i
-0.0014071-0.00081513i,-0.0010165+0.0010619i,0.00039757+0.0027493i,0.0019923+0.0023468i,0.0030805+0.0011864i,0.0039027+5.8689e-05i,0.0027105-0.0011667i,0.0011041-0.0016049i,0.00038629-0.00088025i,8.3915e-05+5.8645e-05i,-2.3851e-06+0.00021029i,0.00014911-2.708e-05i,0.00029652+6.9256e-05i,0.00023776-0.00021473i,-0.00016889-0.00040225i,-0.00020477-0.00027753i,0.00023104-0.0003005i,0.00038361-0.00051484i,0.00023882-0.00051668i,-8.4982e-05-0.00034557i,0.00019744-0.0010486i,0.00019286-0.001487i,0.00031048-0.0010335i
0.0013763+0.001327i,0.00038044+0.00029817i,0.0010336-0.00062028i,0.00094793-0.00040987i,-0.00027677-0.00035306i,0.00024482-0.00032439i,0.0012162-0.00058336i,0.0010526-0.00073137i,0.00067549-0.000359i,0.0002064-0.00051352i,-0.00062546-0.00084697i,-0.00090106-0.00074317i,-0.00058053-0.00035879i,-0.00029235+0.00020362i,-0.00034592+0.00059092i,-0.00062088-0.00013722i,-0.00049158-0.00014634i,-0.00022263+0.0008389i,0.00019839+0.001147i,0.00031561+0.00084831i,0.00031109+0.00038824i,0.00047165-0.00037606i,0.00035494-0.0002858i
-0.0019266+0.00043947i,-0.0028991+0.0011283i,-0.003015+0.0018981i,-0.0010591+0.0018539i,0.00027776+0.0012762i,0.0011708-1.4146e-05i,0.0020834-0.0013725i,0.0010057-0.0014747i,-0.0006179-0.00019326i,-0.0011804+0.00030347i,-0.00072033-0.00028413i,-0.00012971-0.00011027i,-2.871e-05-0.00037583i,3.5454e-05-0.00045967i,0.00021124-0.0003619i,0.00060313-0.00018301i,0.00072532+0.00020476i,0.00015655-0.00034754i,-0.00044478-0.00058878i,-0.00085258-0.00045458i,-0.00055572-0.00043111i,-0.00030701-0.00017635i,-2.5257e-05-0.00051119i
0.0010819-0.00023356i,0.0017598-0.00010328i,0.0016996+0.00010672i,0.0010571-0.00043634i,0.00094658-0.00044888i,0.00078493+0.00057991i,4.7672e-05+0.0007558i,0.00013213+0.00029909i,0.00050553-0.00039018i,4.391e-05-0.00095155i,-0.00015293-0.00053123i,-0.00022222-5.0315e-06i,-0.0001708-0.00036031i,0.00018156-0.00028391i,-7.1864e-05+0.00080972i,-0.00063596+0.0003965i,-0.00051331-0.00032515i,5.3623e-05+0.00025649i,0.00040298+0.00028122i,0.00029954-0.00077404i,-0.00016955-0.00091287i,-0.00063617-0.00039359i,-0.00041764-0.00013818i
-0.00053752+0.0015993i,-0.00072788+0.0013374i,-3.17e-05+0.00075567i,0.00043703+0.00059189i,-9.5009e-05+0.00024628i,0.00071638-0.0001863i,0.0018053-0.00094086i,0.0009236-0.0016943i,-0.00024703-0.00095144i,-0.00065494+6.8989e-05i,-0.00060364+0.00011904i,-3.1261e-06-0.00037145i,6.8208e-05-0.00029669i,2.7753e-05-5.7774e-06i,-0.00022821+6.866e-05i,-0.00082527-0.00037623i,-0.00063851-0.00055829i,0.00058218-0.00049635i,0.00099379+0.00037254i,9.3783e-05+0.00073821i,-0.00030707-0.00011176i,-0.00055384-0.00068168i,-0.00017516-1.4702e-05i
-0.00041976-0.00062689i,0.00019342-0.00042955i,0.00062631-0.00046642i,0.0015889-0.0013174i,0.0017326-0.0018483i,0.00091093-0.0017145i,0.00043483-0.0016152i,0.00010385-0.0013232i,-0.00035276+5.49e-05i,-0.00088805+0.00082748i,-0.00073255-0.00013552i,-0.00065045-0.00022058i,-0.00090297-0.0003978i,-0.00087203-0.0012864i,-0.00080072-0.00092323i,-0.00062855-0.00033891i,-0.00045534-9.8773e-05i,-0.0001599+7.5387e-05i,-0.00030569+0.00023991i,-0.0007301+0.000415i,-0.00072207+0.00039646i,-0.00040415-0.00074618i,0.00011572-0.001544i
0.00034133+0.0019442i,0.00027565+0.0013331i,-0.00068601+0.00047181i,-0.0015856+0.00051878i,-0.00057997+0.00092849i,0.0015342+0.00070859i,0.0027045+5.2459e-05i,0.0024637-0.0005942i,0.0013297-0.0007219i,0.0006268-0.00064589i,0.00040893+7.8982e-05i,9.2268e-05+0.00051447i,0.00010483+7.3946e-06i,-7.9169e-05-0.0003477i,0.00012268-0.00036439i,0.00011503+0.00011336i,-0.00025041+0.00061093i,-0.00085967+0.00039733i,-0.0010125-5.0708e-05i,-0.00033167-0.00041884i,0.00021467+0.00016215i,0.00018063+0.0007402i,-0.00038393+7.604e-05i
0.00015842-0.0017957i,-0.00030159-0.00033237i,0.00016674-0.00016864i,0.0010525-0.00085788i,0.00067056-0.00027467i,0.00082636+0.00021417i,0.0014365-0.00036433i,0.00070027-0.00068637i,-5.88e-05-0.00029074i,-0.0012272+4.833e-05i,-0.0019528+0.00021292i,-0.0012138+0.00047639i,-0.0013477+0.0004904i,-0.00091669+0.00056516i,0.00010942+0.00055991i,0.00036172+0.00018975i,0.00055509+6.9492e-05i,0.00044058+0.00038035i,0.00018152+0.00080531i,-0.00019967+0.00065372i,2.7291e-05-6.3278e-05i,7.1365e-05-0.0002146i,-0.00037227-1.0667e-05i
0.0023225+0.00035743i,0.0012052+0.00098997i,0.0001301+0.00032279i,0.00044095-0.00084913i,0.00063544-0.0011261i,0.0010013-0.000448i,0.0015925-0.00034281i,0.00068422-0.0011014i,-0.00040008-0.00094944i,-0.00067999-0.00087547i,-0.00041553-0.00040432i,-7.984e-05+0.00032541i,-0.00036971-0.00028034i,-0.00083155-0.00095307i,-0.00072436-0.0010345i,-0.00089882-0.00077539i,-0.00094553-0.0003203i,-0.00013387-0.00022808i,0.00034158-0.00014201i,0.0004577+3.6003e-05i,0.00061854-0.00014725i,-5.8822e-05+0.00043111i,-0.00022623+0.00075783i
0.00039053+0.00065105i,0.001135+0.0014484i,0.00040807+0.00085776i,-0.00026586+0.00038638i,0.00035573+0.00059932i,0.0010489+7.4222e-05i,0.00077487-0.001357i,5.4622e-05-0.0019626i,2.7314e-05-0.001025i,0.00041761-2.3029e-05i,0.00043942+0.00023768i,0.00012293-0.00070328i,0.00014214-0.00089698i,-9.4642e-06+0.00041498i,-0.00020164+0.0012188i,-9.5054e-05+0.0006194i,-3.7994e-05-0.00056964i,0.00028051-0.00071992i,0.00028094-0.00018899i,-5.4106e-05-0.00023475i,-0.00049802+2.3893e-05i,-0.0010322+0.00013583i,-0.00052726+0.00022429i
0.00025706-0.00050089i,-0.001364-0.0014019i,-0.0010352-0.001595i,0.00039837-0.00057434i,0.00059217+0.00049761i,0.00087968+0.0011885i,0.0017724+0.00057396i,0.0014759+0.00019302i,0.00042342+0.00021232i,0.00044858-0.00049176i,0.00023478-0.00093313i,-0.0005688-0.00015192i,-0.00083845+8.3589e-05i,-2.5252e-05+0.00057633i,0.00031456+0.0011294i,-0.00021741+0.00078457i,-0.00050364+0.00062587i,-9.6744e-05-8.419e-05i,0.00068822-0.00063484i,0.0004709+9.1823e-05i,0.00041232+0.00077178i,0.0001926+0.00066534i,0.00023501+0.0006123i
