-0.00011639+0.0015286i,0.00019826-0.00023225i,-0.00070819-0.0020217i,-0.0017411-0.0011478i,-0.0025789+0.00033927i,-0.0026232+0.0013866i,-0.0014973+0.0018653i,-0.00080706+0.0012676i,0.00028089+0.00063854i,0.00042429+0.00072012i,2.0292e-05+0.00048972i,0.0001841+8.8933e-05i,2.6103e-05+0.00042002i,-0.00078741+0.00072034i,-0.0012865+0.00068837i,-0.0005637+0.00042318i,0.000105-5.194e-05i,0.00036879-0.00048875i,0.00070424-0.00057276i,0.00058103-0.00067453i,0.00056204-0.00065716i,0.00074754-1.6329e-05i,0.00047226+0.00060644i
0.0011389+0.00020957i,0.00052243+1.6475e-05i,0.00025058+6.7281e-06i,-0.00045989+0.00072238i,-0.00091724+0.00081842i,5.0253e-05-7.3342e-05i,0.00063361-0.0012342i,0.00025153-0.00076739i,-0.00015565+0.00041051i,0.00040605+0.00017041i,3.1784e-05+0.00017057i,-0.00021415+0.00028185i,0.00057795+0.00023168i,0.00047683+0.00039664i,-0.00012486+0.00084085i,-0.00046008+0.00021673i,-0.00062409-0.00083353i,0.00013226-0.0003445i,0.00026172-5.9067e-05i,-0.00022539-0.00010252i,-8.2195e-05-0.00017197i,0.00055764-0.0003479i,0.00058053-0.00026003i
0.00030925-0.00045557i,7.0478e-05+5.6321e-05i,3.2239e-05-7.0305e-06i,-0.00089475-3.3137e-05i,-0.0010521+0.00089055i,0.00014085+0.00059116i,0.00055238+0.00016667i,-0.00014238+0.00042306i,-0.00088581+0.00059455i,-0.00041065+0.00051989i,0.00015885+0.00067537i,0.0002952+0.00089945i,0.00080209+0.00029721i,0.00022664-0.00047016i,-0.00060346-0.00087203i,-0.00054167-0.00063721i,0.00010379-0.0001138i,0.00046212-4.4911e-06i,0.00068626-0.0002101i,0.00041791-0.00012795i,8.4728e-05+0.00013097i,0.00056602+4.5924e-05i,0.0010117-0.00018541i
0.00062019+0.0019169i,0.0001356+0.0017808i,0.00020209+0.0011302i,7.7042e-05+6.0433e-05i,0.00022874-0.00029231i,0.00023857-0.00071644i,0.00013391-0.00083523i,-0.00043835-0.00018555i,-0.00079906+0.00027914i,0.00028372-0.00014824i,0.0010326-0.00026167i,0.00065462+0.00061529i,0.00030238+0.00071547i,-9.3778e-05+0.00036211i,-1.1978e-05+0.00057847i,0.00042799+0.00081184i,0.00044157+0.00048924i,6.9062e-05-0.00026686i,0.00011226-0.0007072i,0.00060796-0.0011039i,1.7936e-05-0.0010425i,-0.00032628-2.3735e-05i,0.00024632+0.00019008i
0.00051691-0.00020593i,0.00018242+0.00023371i,-0.00096855+0.00056026i,-0.0016163+0.00057763i,-0.0022211+0.00018149i,-0.0013175-6.6838e-05i,-0.00023089+4.8477e-05i,-0.00052247+0.00063193i,-0.00028269+0.00039921i,0.00036732-0.00024809i,0.00082553+0.00031936i,0.00066255-3.8095e-05i,0.00029098-0.0010745i,0.00027549-0.0012241i,0.00068312-0.00085718i,0.00084361-6.4783e-05i,0.00051741+3.1151e-05i,0.00037588-0.00015249i,3.3238e-05-0.0003363i,-0.0004104+8.9978e-06i,-0.00021327+0.00036528i,0.00034264+0.00051677i,0.00018696+0.0012913i
-8.8397e-05-0.0018614i,-0.00032654-0.0015039i,-0.0016314-0.0012264i,-0.0032592-0.00098531i,-0.002493-0.0009143i,-0.0011604-0.00054905i,-0.00056724-0.00097125i,0.00031077-0.0013688i,0.00055505-0.00067135i,8.0471e-05-0.0001993i,-0.00037634+1.2455e-05i,-0.00097037+0.00023443i,-0.00083498+0.00044163i,-3.8419e-05+0.00048352i,-0.00017555-0.00026528i,-0.00040835-0.0013719i,0.00028769-0.00098433i,0.0007703+0.00038954i,0.00016086+0.0013154i,-0.00047787+0.00055397i,-0.0011395-2.1059e-05i,-0.0012722-0.00020941i,-0.00018884-0.00057864i
0.00085599+0.0011131i,0.00035352+0.00073644i,-0.00050448+0.0010724i,-0.00091847+0.001074i,-0.0011845-9.5054e-05i,-0.00063195+0.00045557i,-0.00018127+0.0012178i,-0.00051496+0.00052505i,-0.0011559+0.00064783i,-0.00037917+0.000766i,-0.00020221+0.00046356i,-0.00045993+0.00059357i,-0.0005063+0.0002978i,-0.00018425-2.6461e-05i,0.00041978+0.00031049i,0.0002706+0.00042382i,0.0009855+6.5567e-05i,0.0010773+0.00013035i,0.00014134+0.00048135i,-0.00058253-8.6551e-05i,-0.00052117-0.00073415i,-0.00062433-0.00042372i,-0.0010303+0.00047141i
-0.0007917+0.0014372i,0.00099013+0.0005028i,0.0020501-0.00065294i,0.0010096-0.0010117i,-0.00038208-0.0011505i,-8.8271e-05-0.00069072i,-0.00060432+7.5683e-07i,-0.0018459-0.00011607i,-0.0018571-0.0005741i,-0.00096094-0.00088535i,-0.0001615-0.0010867i,-0.00016683-0.00059792i,-0.00054128-0.00025143i,-0.00032021+3.0931e-05i,8.6602e-05+0.00021819i,0.00029254-0.00030109i,3.0783e-05-0.00012889i,-0.00066875+0.00038548i,-0.00011572+0.0002965i,0.00063652-0.00015567i,-4.9031e-05-0.00015033i,-0.00077579+0.00010981i,-0.00039834-0.00039342i
-0.00060992+0.00032967i,-0.00061242+0.001187i,-0.00094742+0.0010067i,-0.00094901+0.00083971i,-0.00078399+5.4148e-05i,-0.00063935-0.00063214i,-0.00068708-0.00052527i,-0.00053232-0.00020062i,-8.0663e-05+7.0907e-05i,0.00015756-4.5503e-05i,0.00048688+0.00054335i,0.00059764+0.00064854i,0.00050056+0.0012125i,0.00056614+0.0013955i,0.00063718+0.00017054i,0.00032789-0.00020083i,7.9923e-05+7.3414e-05i,2.9508e-05-0.0003506i,-0.00043115-0.00070441i,-0.00062242-0.00063115i,-5.749e-06-2.0037e-05i,0.0007825+0.00054371i,0.00093921+0.00041717i
0.00036714+0.0019932i,0.00040527+0.002112i,-0.00059424+0.00013074i,-0.0014741-0.00052274i,-0.0011914-0.00015389i,-0.00068786-0.00021907i,-0.0003673-0.00019914i,-0.00091843+0.00017709i,-0.0010693+0.0002031i,-0.00025322+0.00020008i,-9.0615e-05+2.1479e-06i,-0.00029921-8.078e-05i,-2.9783e-05-1.383e-05i,-0.00010157-4.4326e-06i,-0.00032894+9.2844e-05i,2.1783e-05-4.6105e-05i,-0.00029826-0.00052252i,-9.1264e-05-0.00091772i,0.00063253-0.00081979i,0.00034077-0.00076559i,-3.1262e-05+0.00037072i,-0.00048544+0.001094i,-0.00028622+0.00014278i
-0.00071418-0.0011499i,0.00014165+0.00019267i,0.0010923+0.00071064i,0.00027137+0.00029334i,-0.00045183+4.5487e-05i,0.00069619+0.00061101i,0.0010006+0.00097236i,7.7914e-05+0.00081361i,-0.00026438+0.0009867i,0.00047568+0.0010322i,0.00066529+0.00051683i,3.4565e-06+3.7016e-05i,-0.00078244-0.00013273i,-0.00076018-0.0001549i,0.00039132+5.5564e-05i,0.0007092+0.00018379i,6.2536e-05+5.0561e-05i,-0.00056334-9.1885e-05i,-0.00052172-0.00030669i,-0.00039386+0.00017917i,-0.00066976+0.00059769i,-0.0002528+0.00013739i,-4.6529e-05+0.00025625i
0.00095102+0.00087113i,0.00068443+0.00074108i,0.00028243+0.0013257i,0.00032232+0.0015634i,-0.00012989+0.00020781i,-0.00043138-0.0014977i,-0.00029232-0.0011153i,-0.00068499+0.00024901i,-0.00056412+0.00077536i,0.00065997+0.00043i,0.00075325+0.00016979i,0.00010841+0.00065952i,0.0005863+0.0009202i,0.00047021+0.00015151i,0.00023017-0.00038954i,-0.00038576-0.00058912i,-0.00087397-7.8522e-05i,-0.00099029+0.00014323i,-0.0001463+4.0127e-05i,0.00059083+0.00048085i,-6.7051e-05+0.0007192i,0.00011362+0.00042299i,0.00032172-9.1143e-05i
-0.0011028+0.0006233i,-0.0011405+0.00077981i,-0.0012709+0.00056339i,-0.0010188-8.1799e-05i,-0.00012603+7.7776e-07i,0.00028073+0.00041516i,8.0655e-05+0.00040901i,-0.00038579+0.00087362i,-2.6629e-05+0.00065701i,0.00021031-8.7047e-06i,0.0001996+0.00018696i,0.00042493+0.00023575i,0.00053228+0.00062928i,0.00014215+0.00054037i,-0.00013867+5.9112e-05i,0.00016722+0.00014383i,0.00045399-0.00035523i,0.00040934-0.00013925i,-0.0006437+0.00038995i,-0.00087351+3.8934e-05i,5.647e-05-0.00077714i,0.00022156-0.0012744i,-0.00021177-0.00094995i
0.0012694-0.00081548i,0.00068715-0.0010548i,7.0214e-05-0.0016019i,-0.0013135-0.0020396i,-0.001051-0.001402i,-0.00054817-0.00083223i,-0.00065822-0.00092766i,-0.00037743+3.4162e-05i,-0.00038947+0.00066972i,-0.00014297-0.0005924i,9.2834e-05-0.00043711i,-0.0006849-0.00041257i,-0.00074594-0.00053245i,-0.00059052+0.00050401i,-0.00061706+0.00063447i,-0.00010829+0.00012218i,5.0519e-05+0.00057266i,1.8532e-05+0.0012892i,-0.00018297+0.00099858i,-0.00037432+3.4754e-05i,-0.0001485-0.00026808i,0.00010419-0.00014072i,5.5387e-05+0.00015978i
0.00073877+0.0011235i,0.0013539+0.00072719i,0.0007746-0.0002354i,-0.00030283+0.00011293i,-0.00075111+0.00033755i,-0.00039744+0.00016501i,-0.0010498+0.00018429i,-0.0016318+4.6843e-05i,-0.00056235-1.3516e-05i,0.001075+0.00038147i,0.00093856+0.00058641i,-0.00042981+0.0001782i,-0.00091876+0.00018836i,-0.00094533+0.0003335i,-0.0010181+4.1888e-06i,-0.00083399-0.00023059i,-0.00053874-0.00031352i,-0.00036656-1.074e-05i,1.4983e-05+0.0001369i,0.00020726+0.00021237i,-0.0004452+0.00042864i,-0.00015855+0.00048558i,0.00062125+0.00034529i
0.0009891+0.0022128i,0.00065989+0.0012036i,0.00094626+0.0010282i,0.00053769+0.00027754i,0.00025938-0.0013066i,-6.0073e-06-0.0010386i,-0.00034483-0.00043622i,-0.00043843-0.00064626i,0.00011467-0.0002678i,0.00053924+0.00021744i,-0.00015554+0.00028269i,-0.00012405-4.4686e-05i,0.00085593-0.00016393i,0.0012091+0.0002209i,0.0003152+0.00065651i,-0.00045053+0.00011397i,-5.236e-05+3.0821e-05i,0.00046256+0.00047355i,0.00038874-3.309e-05i,0.00052953-1.2902e-05i,0.0010182-5.9933e-05i,0.00059758+5.087e-05i,-0.00026121+0.00071444i
-0.0002873+0.0013937i,0.00068332+0.0011916i,0.00072767+0.0013344i,0.00020936+0.0017966i,0.00055899+0.0011681i,0.00035523+0.00037408i,-0.00070842-3.686e-05i,-0.00079723+9.3659e-05i,-0.00053846+0.00018611i,-0.00029361+0.00025763i,0.00010087+0.0007554i,-1.2531e-05+0.00048593i,-0.00061815-9.2428e-06i,-0.001244+0.00014582i,-0.0011574+0.00037397i,-0.0004463+0.00031874i,-0.00032747-0.00033669i,-0.00070983-7.663e-05i,-0.0010403+0.000124i,-0.00096679-0.00054837i,-0.00094605-0.00065681i,-0.0015664-0.00056417i,-0.00119-0.00011907i
0.0010987-0.00098408i,0.00057787+0.00066168i,-0.00042408+0.00033262i,-0.0017087-0.0003803i,-0.0018169-8.0017e-05i,-0.0010028-4.0971e-05i,-0.00066438-0.00099184i,-0.00085009-0.0011455i,-0.00089284-0.00063568i,-0.00035696-0.00081521i,-7.5471e-05-0.00061176i,-0.00030715+0.00057444i,-0.00057951+0.00080669i,-0.00033556+0.00035718i,1.6863e-05-2.8157e-05i,0.00017383+0.00027795i,-0.00044151+0.00047098i,-0.00091212-9.7493e-05i,-0.00039661+8.5942e-05i,-0.00016887-0.00036601i,0.0003327-0.0011011i,0.001386-0.0005016i,0.0016241+9.6582e-05i
0.0008926+0.00059376i,0.00054554-0.00033543i,-0.00038512-0.0011591i,-0.0008016-0.00077827i,-0.00081475-0.00028081i,-0.00049444-0.00040581i,-0.00010859-0.00024379i,0.00039315-2.5045e-05i,0.0012263-1.5924e-05i,0.0010479-0.00033343i,0.00045066-7.22e-05i,9.2959e-05+0.00042388i,0.00026922+0.00025701i,0.0010921+0.000201i,0.00064452+0.00031653i,-0.0001723-0.00024526i,-0.0002998-0.0012i,-0.00048614-0.0011942i,-0.00048774-0.00029305i,-0.00056968+0.00011693i,-0.00083953-0.00032763i,-0.00039894-0.00098307i,0.00032704-0.0010101i
0.00011298-0.0016144i,0.0003938-0.0025963i,-0.00083603-0.0022357i,-0.0016434-0.0017553i,-0.0014214-0.00064017i,-0.0010349+0.00014348i,-0.0005885-0.00016533i,-0.00061908-0.0005656i,-0.00068451+0.0001742i,-0.00061974+0.00060696i,-0.0005281+0.00026443i,-0.00018827-7.6744e-05i,0.00020695-0.00030775i,0.00067299-7.7163e-06i,0.00053781+0.00017187i,5.8177e-05+2.213e-05i,-5.6105e-05+8.3723e-05i,-0.00018813-0.00022533i,5.9153e-05-0.00070782i,0.00039692+0.00017333i,0.00017337+0.0011044i,0.00026627+0.00041875i,0.0010012-0.0002475i
0.00047529+0.00099745i,0.00013271+0.0013015i,6.6795e-05+0.0011727i,-0.00045483+0.00072094i,-0.00028969+0.0004404i,-0.00023858+0.00035501i,-0.00016578+0.00044318i,-0.00057635+0.00069985i,-0.00067756+0.00099012i,8.7513e-05+0.00049663i,0.00093954+5.3213e-05i,7.39e-05+7.2605e-06i,-0.0010938-4.789e-05i,-0.00097067+0.00019312i,-0.0006455+0.00026419i,-0.00017257+0.00040412i,0.000244+0.00029501i,0.00028928-7.7471e-05i,0.00043872-0.00016686i,0.00087854-0.00022876i,0.00010426-0.00017508i,-0.00051887-0.00040381i,0.00029534-0.0010814i
-0.00010364-0.00016442i,-0.00040534-0.00076624i,-0.00085322-0.001578i,-0.0016278-0.0017605i,-0.0017368-0.0012361i,-2.6472e-05-0.00072896i,0.00090954-0.00049401i,-0.00015107-0.00086217i,-0.00088566-0.00087422i,-0.00031782-0.00039227i,0.00051351-0.00012926i,-1.8239e-05-0.00057921i,-0.00053044-0.0010655i,-0.00029624-0.00045921i,0.000163-7.0657e-05i,-0.00029713+0.00027104i,-0.00063901+0.00071554i,-0.00070353+0.00015443i,-0.00086205+0.00018412i,-0.00022911+0.0011269i,0.00062882+0.0011994i,0.00034052+0.00051593i,-0.0002571-0.00045384i
0.0018974-0.00066542i,0.0022981-0.00019472i,0.001761+0.00029196i,0.00099655+0.00021668i,0.00045449+8.1423e-05i,0.00014091-0.00039169i,-4.6498e-05-0.00099796i,0.00028039-0.00046222i,0.00071209+1.5024e-05i,-0.00016576-0.00056312i,-0.00054861-0.00030409i,-0.00052356+0.0010766i,-0.00034818+0.001471i,-0.00013889+0.00061738i,-0.00017015-0.0001506i,9.2798e-05+0.00022269i,0.00040956+0.00079113i,-7.4393e-05+1.3282e-05i,-0.00025716-0.00057327i,0.00016276-0.00038402i,0.00037248-7.7983e-05i,0.00039248-9.6752e-05i,0.00044106-0.00034286i
0.0019788+0.0019075i,0.0020715+0.00060548i,0.0012091-0.00088063i,0.001015-0.0019127i,0.0003947-0.0018143i,-0.00085483-0.0010863i,-0.001043-0.00061801i,-8.4723e-05-0.0001762i,0.0005272+0.00012387i,0.00089104+0.00054482i,0.0011809+0.00026953i,0.00060783+0.00030244i,-0.00032016+0.0008696i,-0.00085278+0.0010902i,-0.00040301+9.1378e-05i,0.00060903-0.00092048i,0.00048786-0.0002884i,-0.00063847+0.00046884i,-0.0012084+0.0010096i,-0.0011606+0.0011017i,-0.00099754+0.00044536i,-0.00032821-0.00045373i,0.00024599-0.00074567i
-0.00041242+0.0012024i,-7.1969e-05+0.001673i,-0.00015882+0.001759i,1.857e-05+0.0010413i,0.00027234+0.00054162i,0.00016691+0.00073332i,-0.00024092+0.00080433i,-0.00053824+0.0006175i,-0.00018927+0.00094765i,0.00032606+0.00076386i,0.00083675+0.00021052i,0.0010332+0.00042498i,0.00046933+0.00069273i,-0.00010194+0.00061248i,-0.00044418+0.00027244i,3.3337e-05-0.0002499i,0.0004009-9.0437e-05i,-2.3713e-05+0.00013495i,-4.0986e-05-0.00018061i,-0.0003276-0.00027489i,-0.00049438-0.00040371i,0.00035875+3.6391e-05i,0.00057657+0.00068975i
-0.00079218-0.0017894i,-0.001343-0.0017551i,-0.0020309-0.0012859i,-0.0025235-0.00090035i,-0.0016682-0.00030401i,-3.1122e-05-2.5595e-05i,0.00030273-6.92e-05i,0.00027093-0.00016106i,0.00026126-0.00013834i,0.00077981-0.00030943i,0.00064912-0.00036772i,0.00027125-0.00060829i,0.00086872+0.00018416i,0.0011929+0.0012557i,0.0003765+0.00046937i,-0.00041675+8.9117e-06i,9.5074e-05+3.865e-05i,0.00032203+0.00017429i,-2.9797e-05-5.1352e-05i,0.00025522-0.00054659i,0.00082508-0.00031533i,0.00011897+0.00047464i,-0.00019815+0.00057677i
0.00058942-0.00016134i,0.0012121-0.00025519i,7.9976e-05-0.00053634i,-0.0022736-0.00063634i,-0.002839-0.00075186i,-0.0015595-0.001012i,-0.00082629-0.00098886i,-0.0009023-0.0010354i,-0.00059725-0.00031042i,-0.00015227+0.00071749i,6.6221e-05+0.00085752i,0.00047522+0.00098617i,0.00067285+0.00051868i,0.00072672+9.813e-05i,0.00056034+0.00052036i,9.7418e-05+0.00034348i,0.0001096-0.00048916i,0.00045876-0.00023579i,0.00024408+0.00016834i,8.7389e-05+8.3763e-05i,-0.00026082-0.00029852i,-0.00025873-0.00038173i,0.00035315-0.00013814i
0.0014673-0.00041454i,0.0026143-0.00041929i,0.0023304+0.00059463i,4.5801e-05+0.00085667i,-0.00093646+0.00056372i,0.00011911-0.00057339i,0.00065464-0.0009155i,-0.00027124-8.1071e-05i,8.4175e-05+0.00041366i,0.001116+0.00079512i,0.00044196+0.00070523i,-0.00046383+0.00012257i,-0.00026577-0.00033227i,0.00022415-0.00075183i,0.00048234-0.00037797i,0.00089079-5.5968e-05i,0.00033024-0.00029391i,-0.00012807-0.00059196i,-3.8097e-05-0.00057836i,-0.00015589-0.00027658i,0.0002719+0.0005518i,-2.3242e-05+0.0003579i,-0.00085912+0.00010838i
-0.0021398+0.0020224i,-0.0018415+0.0011925i,-0.00085236-0.00040964i,-0.00088549-0.0012079i,-0.00089774-0.001042i,-0.00016793-0.00026365i,-6.2385e-05-0.00031298i,-4.6489e-06-0.00064951i,-0.00030116-0.00012484i,-0.0009898+0.00019225i,-0.000525+0.00072899i,-0.00012853+0.0010131i,-0.00033386+0.00043207i,-0.00022299-0.00049634i,-0.00021732-0.00077633i,-0.00037778-0.00047927i,3.5893e-05-3.5355e-05i,0.00045902+0.00016129i,0.00030544-0.00032181i,-0.00032631-0.00047065i,-0.00042745+0.00019577i,-9.049e-05+0.00068777i,-0.00017814-6.4534e-05i
1.6889e-05-0.00064794i,0.00021165+0.00015477i,0.00033901+0.00096645i,-0.00037552+0.00054008i,-0.0011062+0.00035532i,-0.00050784+0.00014402i,0.00016525-0.00017172i,3.6563e-05-0.00028224i,0.00017047+0.00036581i,0.00018963+0.00060728i,0.00021268+0.0002233i,0.00029565+2.2172e-05i,0.00081656+0.00016348i,0.00075299-0.00055738i,0.00032748-0.0010151i,0.00064675-0.00068539i,0.00061714-0.00022906i,4.6578e-05+0.00046096i,0.00015811+0.00072883i,-6.3844e-05+0.00089233i,-0.00071045+0.00086296i,-0.00028022+0.0001124i,0.00014261-3.6328e-05i
-0.00099065-0.0015901i,-0.00097164-0.00099758i,-1.0428e-05+0.00022121i,-9.144e-05+0.0006497i,-0.00060649+0.00067839i,-0.00055251+0.00081108i,-0.00070654+0.001138i,-0.0012154+0.0007604i,-0.0014367+0.0010427i,-0.00064019+0.0012591i,-6.9844e-05+0.00032084i,-0.00012096+0.00033553i,-5.2979e-05+0.0013582i,0.00015538+0.0015362i,8.1639e-05+8.8545e-05i,-0.00015393-0.0002102i,-0.00029392+0.00080029i,0.00015072+0.0004493i,0.0010718-0.00033545i,0.000962-0.00010226i,-0.00011746+0.00050394i,-0.00040049+4.8221e-05i,-0.0003253+5.1631e-05i
0.00073544-0.00065715i,-0.00051713-0.00070167i,-0.001249-0.00096608i,-0.001526-0.0006931i,-0.00089923+0.00010468i,0.0002066+0.00079643i,0.00070032+0.0010126i,0.00034279+0.00073894i,0.00039276+0.0005408i,0.00028241+0.00046949i,-8.149e-05+0.00026464i,-0.00033861+0.00022445i,0.00044569+0.00024094i,0.0013055-5.6467e-05i,0.00083875-9.2073e-05i,-0.00044828-0.00014429i,-0.00056014-0.00016793i,-0.00010263-0.00027899i,0.00032584-8.5794e-05i,0.00036327-0.00012873i,7.5929e-05-0.00024107i,-0.00023149-0.00066566i,-0.00029167-0.00094587i
