-0.0015007+0.00079965i,-0.00070162+0.0021015i,-0.00036784+0.002547i,-0.00027288+0.0018473i,-0.00037525+0.0012536i,-0.00063515+0.0019719i,5.638e-05+0.0023931i,0.00099921+0.0014283i,0.0011188+0.00072799i,0.0010549-0.00018418i,0.00068659-0.0011248i,0.0007091-0.00085529i,0.00076166-0.00095739i,-0.00050613-0.0012292i,-0.0013802-0.00049861i,-0.00095522+1.1514e-05i,1.5638e-05+0.00028664i,-5.1421e-05+0.00067046i,-0.00036544+0.001048i,-0.00039668+0.00071494i,-0.00023195-0.00054567i,0.00055382-0.0004696i,0.00080678-0.00025156i
0.0016318+0.00022836i,0.00119-0.00023059i,0.00024016+0.00034596i,-0.00076018+0.0012766i,-0.00045518+0.00098615i,0.0002719+0.0010458i,0.00014784+0.00071562i,-0.00020949-0.00012821i,-0.00031519-0.00064251i,-0.000426-0.00077416i,-0.00035908-0.00085068i,-0.00027783-0.0007281i,-1.0189e-05-6.3242e-05i,1.1414e-05+0.00074051i,-9.2724e-05+0.00084666i,-0.00038132+0.0002402i,-0.00033614+0.00013725i,0.00037568+0.00033177i,0.00058331+0.00074163i,0.00050483+0.00057274i,-0.0002209+0.00012616i,-0.00017672+0.00022972i,0.00088413+0.00018935i
-0.00063235-0.0016906i,-5.2431e-05-0.00024764i,0.0013879+0.0013235i,0.0015565+0.0023736i,0.00073975+0.0020955i,0.00072138+0.0013747i,0.0010568+0.001101i,0.0011811+0.00077623i,0.00066651-0.00032132i,0.00029187-0.0014508i,-8.6258e-05-0.00171i,-0.0004804-0.00056539i,-0.00081698-0.00016191i,-0.0001633-0.0010471i,0.00078095-0.0012464i,0.00042385-0.0012257i,-5.5997e-05-0.00048455i,0.00020583+0.00017635i,0.00037582+0.00064599i,0.0004092+0.00090139i,0.00065575+0.0005218i,0.000343+0.00038708i,0.0005935+0.00019336i
0.0014894-0.00091968i,0.00048445-0.00085248i,0.00020037-0.0020397i,-0.00031663-0.0019248i,-0.00085566-0.00062633i,-0.00040462+0.0002708i,-0.00010969+0.00032804i,-0.00030082+0.00037724i,-3.0299e-05-0.00016153i,9.8492e-05-0.001154i,-0.00056208-0.00099205i,-0.00042655-0.00074533i,0.00095048-0.00034132i,0.0017719-0.00025506i,0.001621-0.00053645i,0.0016486-0.00015595i,0.0007015+0.00021112i,-0.00065829+4.9761e-05i,-0.00072765-7.5817e-05i,-0.00021204-0.00036774i,-1.394e-05-0.00084206i,-0.00011323-0.00015036i,-0.00014365+0.00014804i
0.00023617+0.0014142i,0.0009735+0.0017474i,0.00038254+0.0026268i,-0.00029258+0.0031222i,-2.0519e-05+0.0028365i,-3.8134e-05+0.0019862i,-0.00056662+0.00092943i,-0.0004454+0.0007162i,-0.00049447+0.00055409i,-0.00071891-0.00022302i,-2.2225e-05-0.00084448i,0.00093108-0.00077316i,0.00084073+7.7284e-06i,0.00040487+0.0001835i,6.8068e-05-0.00037793i,-0.00028069-0.00039141i,-0.00057656-0.00014184i,7.2307e-05+0.00036413i,0.00027581+0.00045362i,0.00028783-0.0002796i,0.00047531-0.00030759i,0.00023054+0.00053953i,0.00023468-7.5508e-05i
-0.00039659-0.00083713i,-0.00040625-0.00072439i,0.00021588-0.0003002i,0.00022366+3.1521e-05i,0.00052406-1.8013e-05i,0.00093002+0.0001578i,0.00024541+0.00057681i,0.00022978-0.00020984i,0.00065552-0.00085738i,0.00087143-0.00065721i,0.00051472-0.00031273i,-0.0001383-0.00040383i,-0.00032962-0.00017943i,-6.8294e-05+0.00026145i,0.00010619-0.00053478i,2.4105e-05-0.00039908i,0.00010336+0.00036875i,-0.0002696+0.00033767i,-0.0010495+0.00012484i,-0.0010611-0.0003591i,-0.00081487-0.00074188i,-0.00054666-0.00040831i,-5.5387e-05-0.00043258i
-0.00109-0.0016951i,-0.0020788-6.7813e-05i,-0.0014654+0.0016583i,-0.00059577+0.0024236i,-0.00059404+0.0020952i,0.00029927+0.0018861i,0.0011904+0.0012415i,0.00086973+0.00071217i,0.00029481-9.4852e-05i,-4.9983e-05-0.00075353i,-7.4386e-05-0.00085006i,0.00011512-0.00055271i,3.3505e-05-0.00021287i,0.00028416+8.6939e-05i,0.00026805-0.00065843i,-0.00011818-0.0012202i,-0.00056173-0.00057346i,-0.00046958-8.9513e-05i,0.00018661+1.7949e-05i,-1.065e-06-7.8247e-05i,-0.00059311-0.0006332i,8.8326e-05-0.0013054i,0.00034341-0.00060518i
0.0020205+0.00083751i,0.0017004+0.00085468i,0.0013459-8.7681e-05i,0.00060284-0.0010647i,-0.00025645-0.00099364i,-0.00080837+8.9687e-05i,-0.00036434+0.0002599i,-0.00012979-0.0004181i,-0.0001423-0.00078718i,0.0003763-0.0007951i,0.00033466-0.00029466i,-0.00015766+1.5633e-05i,-0.00031622+0.00030274i,7.0061e-05+0.00079503i,0.0005425+0.00019008i,0.00058526-0.00023634i,0.00044521+0.00030075i,5.9051e-05+0.00016436i,-0.00059327+0.00022942i,-0.00053957+0.00029195i,-5.252e-05+0.0001293i,9.3949e-05+0.00054944i,-0.00031074+7.1492e-05i
0.00068259+0.00027105i,0.0005228-0.00055874i,0.00067963+0.00086238i,0.0013687+0.0018497i,0.0012306+0.0017291i,0.00054283+0.0012313i,0.00027899+0.0011079i,0.00068093+0.0003781i,0.00040615-0.00062459i,0.00040098-0.001343i,0.00038823-0.0013585i,-0.00030786-0.00052869i,-0.00081394-0.00025416i,-0.001078-0.0002933i,-0.001019-1.3375e-05i,-0.001117+3.3853e-05i,-0.00076943-8.1834e-05i,-0.00010529+0.00021544i,-0.00026691+0.00072069i,9.0226e-05-7.394e-05i,0.00062836-0.00061145i,-0.00013519-0.00084379i,-0.00069089-0.00067153i
-0.0015187-1.3842e-05i,-0.0010355-3.0498e-05i,-0.00049454+0.00041216i,-0.00021052+0.0015488i,-0.00019243+0.0019102i,-0.00010447+0.0015632i,0.00021949+0.0013429i,0.00058636+0.00087083i,0.00064968+0.00030397i,0.00071576-0.00094717i,0.0014347-0.0012062i,0.0010907+4.7829e-05i,1.8472e-05+0.00057194i,-0.00055294+0.00028396i,-0.00050707+6.6274e-06i,-0.00018682-0.00023617i,-0.00048982-0.00067139i,0.00018007-0.00027806i,0.00049151+6.6738e-05i,-0.00028199-0.00014189i,-0.00034594-0.00038446i,-3.8541e-05-4.5467e-05i,1.7001e-05+0.00017028i
-0.00096746-0.00041158i,-0.0013145+0.00087894i,-0.00029599+0.0016187i,0.00018616+0.0014186i,0.00040819+0.0015524i,0.00088823+0.0013766i,0.00069392+0.00083138i,0.00067505+0.00014934i,0.00049895-0.00030716i,-0.00032632-0.000602i,-0.00074882-0.0016078i,-0.00064532-0.0017163i,-0.00040941-0.00077804i,-4.8224e-05-0.00021232i,-0.00017047+0.00040586i,-0.00030462+0.00016221i,-5.0016e-05-0.0004659i,0.00012246-0.00023539i,2.5658e-05+0.00048381i,5.4104e-05+0.00091381i,0.00016061+0.00041535i,-8.0909e-05-0.00062171i,-0.00019952-0.0011832i
7.9318e-05+0.00025468i,-0.00042767+0.00061854i,-0.00052274+0.0012822i,5.7826e-05+0.0014275i,-0.00030006+0.0018625i,-0.00033226+0.0015434i,0.00044607-7.1835e-05i,0.00072382-0.00060811i,0.00024098-0.00012473i,-0.00034504+0.00011064i,-0.00022771-0.00024616i,-0.00068964-0.0010351i,-0.00068507-0.00071238i,-1.4969e-05-0.00030212i,0.00027311-6.8479e-05i,-0.0002702+0.00032477i,-0.00036938-8.0988e-05i,-0.00012106-0.00053466i,0.00050095-0.00013389i,0.0015613-0.00048679i,0.0019999-0.00047887i,0.00069841+4.9981e-06i,-0.00024727-9.5547e-05i
-0.00016388+0.00063151i,0.00034868+0.00010208i,0.00040315+0.0006701i,0.00049729+0.00056644i,0.001561+0.00082373i,0.0011089+0.0016937i,-0.00017342+0.0017219i,-0.00042095+0.00067041i,-0.00017473-0.00030591i,0.00011374-0.00046959i,-0.00012165-0.00044474i,-0.00064173-0.0010541i,-0.00060689-0.0019266i,-0.00071494-0.0016735i,-0.00018966-0.0011048i,0.00048232-0.00057155i,0.00044509+0.0007331i,0.00075176+0.00099279i,0.0001356+8.3453e-05i,-0.00018359-9.4275e-05i,-0.00052761+0.00024413i,-0.0012994+0.00026561i,-0.0012769+7.3703e-05i
0.00037281+0.00098263i,0.0013967+0.00068439i,0.0018877+0.0018679i,0.0018295+0.0017988i,0.0016763+0.0012356i,0.00062283+0.00041639i,-7.859e-05-0.00044732i,0.00010192-0.00074115i,-6.8315e-05-0.00034549i,-4.3111e-05-0.0005883i,0.00035631-0.00089323i,0.00010743-0.00013565i,-0.00053632+0.00016409i,-0.00073906-0.00030132i,-0.00058346-0.00090267i,-3.0837e-05-0.00056118i,0.00035366+5.0462e-06i,0.00022152+0.00010806i,7.6953e-06+0.00021263i,0.00044562+0.00043802i,0.0011869+0.00072378i,0.00042019+0.00011033i,-0.00087338-0.00040298i
0.00035128-0.0018647i,-0.00061536-0.0006406i,-0.0013222-0.0002119i,-0.00045844+0.00010096i,-7.0296e-05+0.00069513i,0.00048114+0.0013252i,0.00025407+0.00082429i,-0.00024615-0.00034221i,0.00017077-9.7086e-05i,-0.00018115-5.4621e-05i,-0.00046141-0.00034959i,-0.00074154-0.00013898i,-0.00067319+0.00011849i,0.00030902+0.00045642i,0.000546+0.00074287i,-0.00096236+0.00069137i,-0.00072907-0.00014126i,0.00063668-0.00076011i,0.00043882-0.00067637i,0.00030029-0.00018649i,0.00036152-0.00036868i,0.00058393-0.00083996i,0.0007296-0.00073225i
0.00093842+0.0014651i,0.0012004+0.001036i,0.0010168+0.0012271i,0.00022268+0.0010623i,0.00040166+0.00096075i,0.00045375+0.00081615i,-0.00032804+0.00035988i,-0.0001699+0.00046479i,0.0010395+0.00054258i,0.00084404-8.2e-06i,-0.00049008-0.0011523i,-0.00041648-0.0019135i,0.00039226-0.0014685i,0.00047772-0.00047273i,0.0005194+0.00037845i,0.00095394+0.00024137i,0.0007454-0.00028927i,0.00021536+0.00017693i,1.7172e-05+0.00097759i,0.00011128+0.00086212i,6.7672e-05+0.0006162i,-3.8073e-05+0.00044574i,-0.00033671+9.6027e-05i
0.00067044-0.00072141i,0.00056081+0.00018472i,0.0012454+0.00070212i,0.00062165+0.000492i,-0.00099085-1.7488e-05i,-0.0010033+0.0010886i,-0.0011287+0.001341i,-0.00091065-7.2786e-05i,0.00053133+0.00017411i,0.00077498-0.00013056i,0.00034759-0.00083831i,0.00031027-2.3596e-05i,6.4246e-05+0.0013485i,-0.00031625+0.00096249i,2.1419e-05-5.9465e-05i,5.1035e-05-0.00062408i,-0.00052457-0.00102i,-0.00063676-0.00020191i,-0.00060813+0.00021156i,-9.0489e-05+0.00078279i,3.8763e-05+0.0010349i,-0.00035698-0.00019535i,-0.0001797-0.00044766i
-0.0012591-0.00081273i,-0.0025357-0.0010007i,-0.0024564-2.2924e-05i,-0.00083612+0.00098455i,0.00080405+0.0022992i,0.00035661+0.0018727i,-0.00052116+0.0002404i,-7.9737e-05-0.00040431i,0.00095575-5.3319e-05i,0.0010484-0.00084907i,0.00036117-0.0019735i,-0.00034749-0.0014635i,-0.00047248-0.0009672i,-0.00061399-0.00046673i,-0.00061436-0.00036055i,-0.00043218+0.00030953i,-9.9485e-05+0.001109i,-0.00024573+0.00066884i,0.0001131+0.00031951i,-0.00010557+0.00047837i,-0.0004335+0.00072536i,0.00032893+0.00096029i,0.00048765+0.00012635i
-0.00046551+0.0016895i,-0.00025113+0.0013556i,-0.00021125+0.0019239i,0.00016807+0.0024388i,0.0011029+0.0018651i,0.0011935+0.0017465i,0.00098919+0.0012068i,0.00069866-4.5233e-05i,0.00025983-0.00064571i,0.00046094-0.00098057i,0.0008812-0.0010099i,0.00073905-0.00069622i,0.00071404-0.00083406i,0.00049536-0.0011421i,0.00020348-0.00051464i,-0.00017505-0.0006235i,-0.00064141-0.00037519i,-0.00033223+0.00013973i,0.00025379-0.00041967i,1.8019e-05+0.00026953i,-0.00033229+0.00010751i,-0.00030639-0.00062261i,-0.00040908-0.0010083i
-0.00055609-0.00038807i,-0.00122+0.00024415i,-0.0010398+0.00096878i,-0.00053364+0.0013109i,-8.1017e-05+0.0020214i,0.00056742+0.0014492i,0.0007337-0.00011806i,0.00021932-0.00046538i,-0.00012276-0.00023575i,-0.00026802-0.00081027i,0.00015764-0.0010623i,0.00018261+0.00036122i,2.6597e-05+0.0011912i,-0.00013267+0.0010903i,-0.00029445+0.00058262i,9.6217e-05+0.00011702i,-7.787e-05-0.00023903i,-3.8812e-05-0.00039506i,-3.3347e-05-0.00019095i,-0.00068883+0.00035005i,-0.00065239+0.00036692i,-6.9116e-05-0.00015901i,0.00021065-5.1286e-05i
0.00035235-0.0003793i,0.00049339+5.1822e-05i,0.00027496+0.00022284i,7.9063e-05+0.0013779i,-3.9758e-05+0.0017729i,0.00071833+0.00098472i,0.00092625+0.0008293i,0.0007156+5.5307e-06i,0.0009547-0.0003159i,0.00052207-0.0001067i,-0.00085715-0.00092894i,-0.00089896+2.9693e-06i,-0.00020653+0.0014478i,5.2612e-05+0.00090046i,-1.6737e-05+0.00012174i,-0.0003491-2.7646e-05i,-0.0006802-0.00068834i,-0.00081325-0.00086415i,-0.00040195-0.00015941i,8.177e-05+0.00059961i,-3.3782e-05+0.00077642i,-0.00025925+0.00016679i,-0.00019459-0.00078333i
-0.00080088-0.0010493i,-0.0003246-0.0014275i,-0.00022435-0.001504i,-0.00055556-0.00033695i,-0.00082964+0.00017526i,-0.00032314+0.00028357i,0.00036791+0.00081593i,0.00094543+0.00031045i,0.00063544-0.00051243i,-0.00021703-0.00095726i,-0.00041842-0.0015628i,-0.00031378-0.00099889i,-0.00025061-0.00019832i,8.538e-05-0.00031248i,0.0003237-0.00038674i,0.00057364-0.00079915i,0.00047177-0.0012563i,0.00079331-0.001152i,0.0013406-0.00045816i,0.00094293-0.00026034i,0.00039987-0.00019009i,6.15e-05-8.752e-05i,-0.00010559-0.00027315i
