-0.0013475+0.00049752i,-0.0023271+0.00074068i,-0.0025175+0.0016245i,-0.0017575+0.0015219i,-0.00066145+0.0017498i,4.7515e-05+0.0018545i,0.00015887+0.00086507i,0.00043943+0.001418i,0.00077314+0.0020406i,0.0013853+0.0016816i,0.0015362+0.0010433i,0.0011086-7.2604e-05i,0.0010484-0.0010181i,0.0011968-0.00080548i,0.00022088-0.00044913i,2.1516e-05+4.0291e-05i,-0.00017154+0.00027963i,-0.00084456+0.00061429i,-0.00060759+0.00089535i,-0.00019538-0.00013262i,-0.00031814-0.00068464i,-0.00091024-0.00049425i,-0.0011318-0.00010017i
-0.00095154-0.0009787i,0.00015269-0.00042728i,-0.0012632+0.00018819i,-0.0016034+0.0019254i,-0.00048264+0.003372i,0.00090652+0.0016713i,0.00068215+4.951e-05i,-0.00047979+0.00034808i,-0.0010862+0.00025862i,-0.00077192-4.1946e-05i,1.6107e-05+0.00013884i,0.00031805-0.0001298i,-0.00047948-8.3548e-05i,-3.9885e-05+0.00018675i,0.00037226+0.00052007i,1.1925e-06+7.4429e-05i,0.00016502-5.2219e-05i,0.00021223+0.00021497i,-9.049e-05+5.5192e-05i,-0.0002398-0.00036558i,-0.00024648-6.9922e-05i,-0.00061657+3.0759e-05i,-0.0009255-0.00012416i
0.00085942+0.00015912i,0.00021548-0.0005796i,-0.0012302-0.0017047i,-0.0022071-0.001378i,-0.0012489+7.596e-05i,4.8694e-06-0.00031825i,-0.00025492-0.00091951i,-0.00076872-0.00016192i,-0.0013943+0.00036636i,-0.0014569+0.00032292i,-0.00086454+0.00038266i,-0.0006068+0.00045701i,-0.00077531+0.00019426i,-0.00052403+0.00010876i,0.00026701+0.00017917i,0.00053945-0.00021363i,0.00045508-0.00046326i,-4.9346e-05-0.00063132i,-0.00014852-0.00062712i,0.00030267-0.0002381i,0.00025606+0.00017312i,0.00028622-2.8265e-05i,-0.00035716-0.00059937i
-0.0025539-0.00034673i,-0.0021973+0.00019313i,-0.0019903+0.0013074i,-0.0020434+0.002286i,-0.00059166+0.0015249i,0.00071726+0.0001715i,0.0012059+0.00032114i,0.00013585+0.00096711i,-0.00099264+0.00077218i,-0.00061229+0.00072324i,1.6599e-05+0.0012597i,0.00044374+0.001259i,0.0002469+0.00040634i,-0.00078025+0.00019112i,-0.0010049+0.00072824i,-0.00040698+0.00081109i,-0.00050479+0.00016119i,1.308e-05+5.157e-05i,0.00058673-0.00037247i,0.00029763-0.00057814i,-0.00031058-0.00058857i,-0.00038926-0.00063988i,-0.00036029-8.0703e-05i
-0.00049063-0.0013864i,-8.8525e-05-4.1877e-05i,-0.00070402+0.0015764i,-0.00083221+0.0017217i,2.6894e-05+0.0018849i,0.00099285+0.00076472i,0.0012401-0.00066765i,0.00050108-0.00082384i,-0.00010723-0.00071147i,-0.00061218-0.00053795i,-0.0010656-0.0001505i,-0.00019046+0.00013576i,0.00048511+5.9948e-05i,-0.00010586+0.00029165i,-0.00028381+0.0007112i,8.3097e-05+0.00055761i,-0.00011148+0.00045591i,-0.00018779+0.00022653i,-0.00032522-0.00041655i,-0.0011181-0.00082553i,-0.00063525-0.00051057i,-0.00035763-0.00060197i,-0.00047214-0.00053407i
0.00088417-0.00047811i,0.00054052-0.0002845i,-0.00070556-0.00065021i,-0.0014344-0.00020415i,-0.0013651+0.0012194i,-0.00050878+0.0013508i,-0.00040508+0.00013194i,-0.00078877+0.00032509i,-0.00040758+0.0011693i,-0.00038039+0.0014229i,-0.0009497+0.00052784i,-0.00064293+5.1072e-05i,-0.00028738+0.00068951i,-0.0002636+0.0011495i,0.00033904+0.0011869i,0.0010126+0.00079212i,0.00099446+0.00060893i,0.00030146+0.00038317i,0.00050661-0.00046183i,0.000676-0.00014984i,0.00052296+0.00019194i,0.00089015-0.00029753i,0.00038677-0.00038394i
-0.00037642+0.0016409i,-0.0015628+0.0011928i,-0.0017334+0.0010313i,-0.0014566+0.00093257i,0.0004126+0.00034257i,0.0016174-0.00046944i,0.0004863-0.0010184i,-0.00049703-0.00107i,-7.4745e-05-4.4009e-05i,-4.8582e-05+0.00077689i,-0.00044382+0.00053712i,0.00010051+0.00012712i,-0.00023614+0.00048234i,-0.0010684+0.00059945i,-0.00054709+0.00016392i,0.00029359-0.0005762i,-6.1562e-05-0.00045855i,0.00018952+7.0391e-05i,0.00076347+0.00041596i,0.00012164+0.0010903i,-0.00063213+0.00092906i,-0.00053088+0.00027993i,2.0031e-05+0.00038192i
-0.00020299+0.00011145i,-0.00094579+0.0011151i,-0.0015218+0.0018744i,-0.00083561+0.0021407i,0.00013671+0.0023316i,0.00085234+0.0010738i,0.0014742-0.00036894i,0.00039167+0.00010328i,-0.00060488+0.00061964i,0.00010413+0.0006931i,0.00020689+0.00064098i,0.00035746+0.00074127i,0.00050397+0.00066316i,6.4236e-05-0.00046668i,-4.3091e-05-0.0010888i,0.00034736-0.00070377i,0.0003464-0.00011093i,-0.00020328+0.00039262i,-0.00014361+4.8629e-06i,-8.0908e-05-0.00033823i,0.00017631-5.8241e-05i,0.00069631-0.00022578i,0.00092956+0.00021638i
0.00040631+0.00045668i,0.00065415-0.00021399i,-0.0001684+0.00019971i,-0.0012944+0.0013609i,-0.00023891+0.0014219i,0.0012098+0.00056511i,0.00046905-0.00060173i,-0.00080883-0.0009512i,-0.00048651-0.00099926i,-0.00013699-0.00013678i,-0.00026558+0.0011587i,-0.00010073+0.00091162i,5.9007e-05-0.00020545i,-0.00013766-0.00025747i,-0.00041966+0.00024059i,-0.00022035+6.2465e-05i,-0.0008402-0.00020897i,-0.0014166+7.4406e-05i,-0.00093402+0.00050692i,-0.0004592+0.00068996i,-0.00070402+0.00053904i,-0.00032604+0.0005143i,-1.4585e-05+0.00011769i
-0.0013082+2.6379e-05i,-0.0022035+0.00018805i,-0.0034586+0.00092515i,-0.0030352+0.0010235i,-0.0013978+0.0016588i,-8.6588e-05+0.0019107i,-8.7773e-05+0.00099318i,-0.00078608+0.00013192i,-0.00036522+0.00022402i,0.00051781+0.00015085i,0.0010909+1.7398e-06i,0.00095103+0.00057776i,0.00018838+0.00043394i,-0.00049798-1.4823e-05i,-0.00066786-0.00042961i,-0.00039532-0.00072734i,9.7319e-05-0.00027098i,2.6878e-05+0.00019353i,-0.00038961-4.4906e-05i,0.00023279-0.00050313i,0.00076995-0.00030398i,0.00023404-0.00034589i,5.4373e-05-0.00063667i
-0.00023973+0.00029997i,-0.00044293+0.00027085i,-0.00066957+0.0013327i,0.00062712+0.0017429i,0.0017712+0.0010843i,0.0014156-0.00041263i,0.0003392-0.0024032i,-0.0012095-0.0022007i,-0.0016409+0.00010059i,-2.788e-05+0.001316i,0.00089935+0.0013575i,0.00065199+0.00073674i,-0.00033939+0.00031837i,-0.0004075+0.00027967i,0.00044666+0.00025001i,0.00085775+0.00015887i,0.00079083+0.00054367i,0.00045129+9.6837e-05i,0.00079026-6.8717e-05i,0.00053255+0.00076422i,0.00028648+0.00066927i,-0.00011054-0.00041645i,-0.00063424-0.00068033i
3.3895e-05+0.00086112i,0.00080478+0.0001059i,0.0011777+0.00030646i,0.00042227+0.00054322i,0.0010221+0.00037726i,0.0021436-0.00082739i,0.001018-0.0019612i,-0.00026715-0.00071911i,-0.0006014+0.00071364i,-0.00039355-6.0558e-05i,-0.00019761-0.0002625i,-0.00065949-0.00013138i,-0.00056485-0.00041255i,-0.00023915-0.00046813i,6.2656e-06+0.00046537i,0.00023136+0.0010378i,-0.0005915+0.00068738i,-0.0010383+0.0002236i,0.00011951+0.00037542i,0.00030226+0.0003525i,0.00035056+0.00015506i,0.00066172-0.00024409i,0.0010897-0.00037394i
-0.0010622-0.00094845i,-0.00099844+0.00041327i,-0.0018599+0.0011326i,-0.0022882+0.00152i,-0.00097744+0.0011174i,0.00070778-0.00079551i,0.00052096-0.0013223i,-0.0010985-3.8739e-05i,-0.0010585+0.00071696i,0.00021656+0.0003025i,0.00033249-2.5311e-05i,0.00027324+0.00020941i,3.6038e-05+0.00081377i,-0.0004604+0.0012079i,-0.00072831-0.00015861i,-0.00058537-0.0011219i,-0.00020025-0.00044635i,0.00037589-0.00016136i,0.0010276-0.00042855i,0.0007065+9.6954e-05i,-0.00020581+0.00069728i,-4.7801e-05+0.00065115i,0.00063607+0.00034578i
-8.8559e-05-0.00016316i,-0.00042306-0.00043282i,-0.00087175-0.0001465i,-0.0006089+0.00096872i,0.0013675+0.0016747i,0.0023187+0.0010326i,0.0010288-0.00017432i,0.00014218-0.00011829i,-0.00018042+0.00057173i,-0.0007135+0.00061709i,-0.00080818+0.00078326i,-0.00095751-0.00013268i,-0.0006783-0.0015226i,-0.00034725-0.00067999i,-0.00040046+0.0002591i,0.00026566-0.00025923i,0.00057586-0.00040793i,0.00084393+1.1061e-05i,0.0011337-0.00042862i,4.4408e-05-0.00069025i,-0.00034803+0.00011736i,7.7324e-05-0.00037641i,0.00042792-0.0010994i
-0.0002965+0.00024373i,-0.00079825+0.00086522i,-0.0012021+3.3216e-05i,-0.00097185+0.0012659i,0.00011514+0.0017629i,0.00082207+0.00034559i,0.00045436-0.00053584i,-0.00077057+1.7363e-06i,-0.00081734+0.00089504i,-3.4846e-05+0.00063581i,-3.5682e-06-0.000167i,1.6582e-05-0.00039227i,-0.00022399+4.5358e-07i,-0.00040014-0.00014536i,-0.00052205+0.0005537i,-0.00063264+0.0007226i,-0.0010393+0.00022209i,-0.00061346+0.00036928i,0.00013484-8.2532e-06i,0.00030982-0.00037473i,0.00045591-0.00023461i,-0.00014155-0.00054785i,-0.00045737+3.0859e-05i
-0.00099256-0.0006915i,-0.0025297-0.00080202i,-0.0032753+0.00021356i,-0.0026974+0.0015916i,-0.00066537+0.002231i,0.00090068+0.0012608i,0.0011019-0.00012484i,0.00066661+0.00022514i,9.7639e-05+0.0003612i,-0.00073766-0.00024333i,-0.0006003-2.9035e-05i,-5.1214e-05+0.00018286i,0.00028748-4.1868e-05i,0.00035558+0.00032263i,0.00016171+0.00020638i,-0.0005019-0.00035984i,-0.00030257-0.00063335i,0.00014988-0.00059352i,0.00033489-0.00023747i,0.00035102-0.00031928i,5.9976e-05+0.00015212i,-0.00037822+0.00054088i,-0.00085272+0.00026091i
0.00033254-0.0016516i,-0.00040921-0.0019918i,-0.00171-0.0017416i,-0.0017912-0.00021484i,-0.00029962+0.0013534i,0.00039716+0.00095i,0.00049424+0.0002115i,4.4206e-05+0.00028837i,-0.00074491+0.00022168i,-0.00027525+0.00021645i,0.00033124+0.0005266i,0.00038144+0.00042069i,0.00035201-0.00024591i,-9.8728e-07-0.00027274i,0.00022272+0.00070216i,-0.00021653+0.00097131i,-0.00060247+0.00063804i,-0.0001445+0.00071905i,0.00049623+0.00041142i,0.00051139-0.00018734i,6.9315e-05-0.00073775i,0.00045019-0.00020049i,0.00015792+0.00029382i
0.00073879+0.0024894i,0.00017451+0.0037673i,4.5945e-06+0.003342i,0.00014729+0.0024781i,-2.2513e-05+0.0026648i,0.00068286+0.0015829i,0.00052027+0.00080871i,-0.00059776+0.0011997i,-0.00026381+0.0010375i,0.00034557+0.00075514i,0.00012424+9.7651e-05i,-3.402e-05-0.00034082i,0.00013453-0.00016592i,-2.858e-05-0.0001484i,-1.3585e-05-0.00024751i,0.00047202-0.00067541i,0.00057641-0.00046076i,0.00078941-0.00011341i,0.00083422-0.00035298i,0.00087634+0.00046676i,0.00059243+0.00092836i,-9.1873e-05-0.00024316i,-0.0007684-0.0007839i
-0.00044441-0.00086068i,-0.00089394-0.0016499i,-0.00077246-0.0019942i,-0.00081333-0.0013782i,0.00014074-1.5266e-05i,0.00058131+0.00046322i,-7.8959e-05-3.9365e-05i,-0.00085969-0.00037479i,-0.00083085+0.00012991i,-0.00087252+4.6078e-05i,-0.00089699-0.00014734i,-0.00080133+0.00016736i,-0.00054419+0.0008356i,-0.00015589+0.00141i,0.00035883+0.0010502i,0.00089156+0.00045364i,0.00085623+0.00053137i,0.00081846+0.00072109i,0.0011933+0.00011836i,0.00094391-0.00037643i,0.00018319-0.00037386i,6.7076e-05-0.00080827i,0.00042609-0.0011974i
0.0015835-0.0022938i,0.00064017-0.0044382i,-0.00080886-0.0037178i,-0.0024031-0.0018905i,-0.0028411-0.0014579i,-0.0012042-0.0010406i,0.00016629-0.00042563i,0.0002269-0.00057244i,-0.00032131-0.00070589i,-0.00053556-0.00057114i,-0.00015221-0.00037378i,-4.2184e-06-0.00024062i,-4.3808e-05+4.8798e-05i,0.00020677+0.00049903i,0.00057686+0.00032134i,0.0013289-8.177e-05i,0.0015174-0.00078612i,0.001126-0.00082011i,0.0011033-0.00061952i,0.00098937-0.00065065i,0.00080562+0.00011796i,0.00025563+0.00074274i,0.00029691+0.00037362i
-0.0010612+0.0027231i,-0.00041925+0.003149i,-0.0008296+0.0030511i,-0.00034319+0.0025759i,0.00079216+0.0019345i,0.0011961+0.00031969i,0.00035174-0.0007608i,-0.0010453-0.00037551i,-0.0013743-4.2711e-07i,-0.00069994-0.00030059i,-0.00067333-0.00024527i,-0.00073365-0.00038544i,-0.00075106-0.0001594i,-0.00078919-9.5963e-05i,-0.00040587-0.00019832i,0.0005754-0.00021815i,0.00036538-0.00041468i,-0.00048118+0.00033287i,-0.0015929+0.00077101i,-0.001924+6.5294e-05i,-0.00023841-0.00078403i,0.00046174-0.00058162i,-6.9408e-05-0.00028793i
-0.00086298-0.00082102i,-0.0014229-0.00064696i,-0.002289-0.00055276i,-0.0023891+0.00030302i,-0.00094721+0.0016071i,0.0006184+0.00087193i,0.00098333-0.00061746i,0.00025144-0.00075175i,-0.00052541+0.00014153i,-0.0010221+0.00076776i,-0.00045631+0.00058419i,-6.9054e-05+0.00085938i,-0.00066467+0.00027927i,-0.00051245+8.0029e-05i,2.5528e-05+0.0010861i,0.00031244+0.00020025i,6.1037e-05-0.00076777i,0.000158-0.00042426i,0.00047707-0.00039314i,-0.00038812-0.00018855i,-0.00036208+0.00029477i,0.00063238-0.00024968i,0.00050319-0.00031344i
0.00077679-0.0016899i,-0.0009919-0.0011336i,-0.0017355-0.00077901i,-0.00087638+0.00085418i,0.0012734+0.0023942i,0.0020839+0.0018729i,0.00037975+0.00046308i,-0.001145+0.00066455i,-0.00090857+0.00083132i,-0.00018764+0.00069447i,-6.9998e-05-2.5522e-05i,0.00048812-0.00069532i,0.00058354-0.00046803i,0.00019966-0.00017265i,-0.00019243+5.3674e-05i,-0.00036095+0.00014078i,-9.9915e-05-0.00027176i,0.000573-1.5594e-05i,0.00030716+0.00046984i,-0.00015703+0.00057132i,0.00020336+0.00017282i,4.2541e-05-0.00028909i,-0.0002493-0.00031876i
-0.00099905+0.0025203i,-0.00082173+0.0017258i,-0.001198+0.0032807i,-0.00076678+0.0041085i,0.00084356+0.0029141i,0.0015538+0.001323i,0.00066294-4.9826e-05i,-0.00085618-0.00039682i,-0.0015426+0.00011709i,-0.0011178+0.00076009i,-9.4392e-05+0.0010428i,0.00041696+0.0009906i,9.5141e-05+0.00047832i,-0.00017398+0.00033309i,3.1025e-05-0.00030858i,9.4991e-05-0.00026103i,0.00010861+0.00090534i,0.00034573+0.00064436i,-0.00012781-0.00024782i,-0.00034591+0.00011028i,-0.00033993+0.00062868i,-0.00027791+0.00049397i,-9.6875e-05+0.00053008i
-0.0015401-0.00058231i,-0.0013731-0.0013775i,-0.00082317-0.0017161i,-0.00099639-0.00075451i,0.0004309+0.00016975i,0.0016964+0.00025425i,0.0012456-0.00076865i,-7.0711e-05-0.00018201i,-0.00074264+0.0013374i,-0.00056015+0.0016555i,-0.0008821+0.001198i,-0.00098755+0.00072873i,-0.00043917+0.00043995i,0.00013668+0.00019485i,0.00084831-0.0005064i,0.0015598-0.00074706i,0.0018581-0.000649i,0.0011733-0.00062897i,0.00071851-0.00042084i,0.0005178+0.00027913i,-8.2038e-05+1.1002e-05i,-0.00023999-0.00048932i,-0.00036799-0.00032699i
0.00064892-0.00053792i,-0.00051246-0.00066422i,-0.00068272-0.00047922i,-0.00058848+0.00032191i,-0.00023584+0.00055795i,0.00018759-0.00035631i,0.00042098-0.0013614i,-1.2398e-05-0.00047895i,-0.00074678+0.0011151i,-0.0011649+0.00085055i,-0.0010933+8.2061e-05i,-0.00043172+0.00026323i,-0.00024565+0.0006264i,-0.00059785-1.7451e-05i,-5.6163e-05-0.00040683i,0.00024388-7.0168e-05i,0.00043012-4.4971e-05i,0.00072236+0.00046282i,0.00044118+0.00027614i,-4.4441e-05-0.00034666i,-0.00061068-4.0024e-05i,0.00013899+0.00090015i,0.00051138+0.0015631i
-0.0015155+0.00064681i,-0.002134+0.0013408i,-0.0022927+0.0020363i,-0.0019678+0.002343i,-0.0001724+0.0026404i,0.0020254+0.0017939i,0.0013718+0.00088657i,0.00019037+0.00027688i,-0.00021104+0.00048578i,-0.00036146+0.0017147i,0.00062306+0.001122i,0.00086812-0.00028684i,-4.3637e-05-0.00053901i,-0.00089014-0.0011466i,-0.00068508-0.0014727i,-0.00030381-8.3584e-06i,-4.1579e-05+0.0012592i,0.00036546+0.00079403i,0.00064346+0.00024768i,0.0012283+0.00020385i,0.00092419+7.9821e-05i,4.6965e-05+0.00031604i,-6.8126e-05+0.00046398i
-0.0011256+0.00013681i,-0.00087812+0.00086924i,-0.00069968+0.0017983i,-0.0007927+0.0024281i,0.0011025+0.0025433i,0.0025636+0.00096543i,0.0015729-0.00043807i,-0.00020498+4.725e-05i,-0.00078544+0.00074569i,-0.00057074+0.0012738i,-7.688e-05+0.0007878i,-0.00011938-0.00014003i,2.9024e-05+0.00020744i,-3.5746e-05+0.00046725i,-0.00084417+0.00014777i,-0.00068077+4.3166e-05i,9.608e-06-0.00046776i,0.0004297-0.0003221i,0.00033593+3.9541e-05i,1.7083e-05+0.00031964i,-0.00013942+0.00067682i,-3.3153e-05-0.00011373i,0.0005943-0.0010133i
-0.001826+0.00053788i,-0.0021278+0.00085228i,-0.0032397+0.00086505i,-0.003763+0.0022549i,-0.0020716+0.0028882i,0.00070711+0.0014221i,0.0012187+0.00041061i,0.00058742+0.00018261i,0.00030584+0.0011747i,0.00027643+0.001713i,0.00061732+0.00082264i,0.00081528-0.00018463i,3.8205e-05-0.00043937i,-0.00029836-0.0003491i,-0.00047023+3.5414e-05i,-0.00055785+0.00045494i,-0.00012864+0.00093825i,0.0003952+0.0010895i,0.00044454+0.00030537i,0.00076252+0.00010149i,0.00043371+6.182e-05i,-0.00023922-0.00023371i,-0.0002595-0.00016555i
0.0015472-0.00048809i,0.0012496-0.0010592i,0.00091036-0.00079379i,0.0010827+0.00017542i,0.001547+0.0010261i,0.001319+0.00038943i,-9.9151e-05-0.00038823i,-0.001465-5.7255e-05i,-0.0015175+0.0001947i,-0.00095893+0.00015472i,-0.00026217+0.00034716i,-9.5294e-05+0.00070288i,-0.00073761+0.000419i,-0.0011945+0.00013269i,-0.00029442+9.2382e-05i,3.5334e-05+1.6138e-05i,-0.00064892-0.00055598i,-7.8524e-05-0.001047i,0.00072117-0.00079934i,0.00063838-0.00071056i,0.00051926+0.00019626i,-0.00025048+0.00068454i,-0.00062721+0.00062859i
0.00026542-0.00022891i,0.00057799-0.00076846i,-0.00046292-0.0005423i,-0.00096928+0.00074937i,-5.8409e-05+0.0014932i,0.0013262+0.00047624i,0.0016145-5.1032e-05i,0.00069009+0.00081669i,-7.4121e-05+0.0012915i,-0.00036151+0.00086354i,-0.00074641+0.00021268i,-0.00060164-8.9542e-05i,0.0003813-0.00030689i,0.00049514-0.00052719i,-0.00076622-0.0002297i,-0.00084773-0.00035297i,-0.00020414-0.00079864i,-0.00038797-0.00092309i,-0.00027021-0.00037373i,-4.0536e-05-0.00017214i,-0.00025637+0.00032783i,-0.00059468-1.7984e-05i,-0.00066067-0.00042218i
-0.00086198+0.00069813i,-0.0016533+0.0011526i,-0.001591+0.00077687i,-0.0015383+0.0011184i,-0.0013022+0.0011383i,-0.00062727+0.00015885i,-0.00044449-0.00075482i,-0.001181-0.00027532i,-0.0015109+0.00019509i,-0.0010636-0.00042219i,-0.00054696-0.00010668i,0.00035338-4.6321e-05i,0.00015641-0.00052447i,-0.00067805+0.00014651i,-0.00059455+0.001047i,-0.00066176+0.00068117i,-0.00074089-0.00037367i,-0.00060433-0.00037729i,-0.00016828-6.7234e-05i,0.00026338-4.4571e-05i,0.0002076+0.00019418i,0.00058043+0.0002968i,0.00067937+5.7715e-05i
