-0.001024-0.00012925i,-0.0018928+5.8044e-05i,-0.0022852-0.000473i,-0.001709-0.00049685i,-0.001715+0.00050968i,-0.0016267+0.0012373i,-0.001081+0.0020979i,-0.00014993+0.0017111i,0.00069337+0.00080423i,0.0012028-4.1209e-05i,0.0012095-0.00085322i,0.00056752-0.00077782i,0.00079053-6.4705e-05i,0.0010365-0.00023189i,0.00026669-0.00041804i,-0.00027821+0.00071181i,-8.2896e-05+0.001345i,0.00054389+0.00044963i,1.3644e-05-0.0001161i,-0.00050206-0.00056291i,-5.174e-05-0.00035842i,-0.00012739+2.3656e-05i,-0.00039512-0.00060664i
0.0019102-0.0029904i,0.0025109-0.0035271i,0.0013207-0.0027823i,-0.0011158-0.0016579i,-0.001764-0.0003961i,-0.00048272+0.001282i,0.00031402+0.0019302i,0.0011219+0.0014342i,0.00065723+0.00063267i,-0.00047107+9.7446e-05i,-0.0002224-0.00010718i,-4.0068e-05-4.4354e-05i,-0.00027737+0.00016506i,-0.00072583+0.00016957i,-0.00034177-0.00012099i,0.00039181-0.00017661i,0.00056229+4.5057e-05i,0.00046709+0.00054085i,0.00062552+0.00099209i,0.00033571-0.00019221i,0.00026539-0.0013068i,-4.9483e-05-0.00050539i,-0.00045843+0.00041487i
-0.0010694-0.002311i,-0.00216-0.0012278i,-0.0019426+0.00066833i,-0.00066506+0.0025306i,0.00017842+0.0034458i,-6.1812e-05+0.0027223i,-0.00022932+0.00083909i,-7.056e-05-7.485e-05i,3.7724e-05-0.00018089i,2.791e-05+9.1593e-05i,0.00050641+0.0010495i,0.00086621+0.0004716i,0.00063865-0.000405i,0.00068318+0.00021695i,0.0011888+0.00039529i,0.00067456+0.00030769i,-0.00023432+3.4203e-05i,-0.00010341-0.00024695i,0.00046979-0.00026981i,0.0011401-0.00068332i,0.00084617+0.00020131i,4.5891e-05+0.00071247i,-0.00031296+0.00029467i
0.0013046+0.00070154i,0.0015409+0.00067465i,0.0013958+9.4146e-05i,0.0009102-0.00091544i,0.00048828+2.5611e-05i,0.00015863+0.0014547i,0.00045486+0.0015594i,0.00059856+0.0010886i,0.00012291+0.001376i,-0.00062218+0.00091286i,-0.00053017-6.4136e-05i,-0.00025283-0.00028132i,-0.00010291-0.0001682i,-0.00039823-0.00053474i,-0.00061933-0.00080044i,-0.00021229-0.00042004i,-0.00053222+4.32e-05i,-0.0001171+0.00041628i,5.8693e-05+0.00018443i,-7.8621e-05+0.00042899i,-3.5659e-05+0.00027397i,-0.00028807-9.8086e-05i,-0.00014481+0.00018478i
0.00057347-0.00013161i,0.00092515-4.9997e-05i,0.00010521-0.00046983i,-0.00015867+6.5735e-05i,0.00023817+0.00071773i,0.00017366+0.00059438i,9.372e-05+0.00048231i,-6.9862e-05+2.9197e-05i,0.00020569-0.00030727i,0.00019255-0.0008063i,-2.8553e-05-0.00096153i,0.00028921-0.00040287i,-7.9177e-05+0.00045831i,-0.00041495+0.00036347i,-0.00032277+8.4672e-05i,-0.00058114-6.1344e-05i,-0.00028263+1.8097e-05i,0.00043315+0.00020634i,-0.00012157+0.00037327i,-0.00060005+0.00010561i,-0.00048515-0.00039714i,-0.00039894-0.00061428i,-0.00054946-0.00040603i
0.0014741-0.001497i,0.00035592-0.001823i,-0.00085492-0.0019693i,-0.0010988-0.0017591i,-0.0012987-0.00074084i,-0.0011737+0.00038629i,-0.0015078+0.0010245i,-0.00046089+0.0008857i,0.00084325-0.00012168i,0.0012311-0.00046624i,0.00085171-0.00012007i,0.00030535-0.00015191i,-0.00075553-0.00067617i,-0.0012623-0.00042544i,-0.00045501-0.00012617i,-0.00040831+2.1446e-06i,-0.00051587+0.00029441i,0.00048073+0.00057334i,0.0007373+0.0004108i,0.00049448+0.00025257i,0.00036828+0.00048009i,0.00068477+0.00052402i,0.0010225+0.00042812i
0.00030471-5.4587e-05i,0.00050025+0.00064806i,0.00067973+0.0019137i,0.00039035+0.0026117i,0.00022025+0.001906i,0.0002634+0.00096612i,-0.00022609+0.00061024i,-0.00074898+0.0008263i,-0.0001417+0.00043711i,-0.00028054-0.00020374i,-0.0007549-0.00056997i,-0.00017695-0.00055484i,0.00010531-0.00058194i,0.00035888-0.00081915i,0.0010231-0.00048145i,0.00047835+0.00036541i,-0.00083939+0.0010379i,-0.00078211+0.00093349i,3.4918e-05+0.0009807i,0.0005106+0.0014125i,0.00037915+0.00038087i,0.0003943-0.00067242i,0.00039141-3.6245e-08i
0.00096116+0.00033856i,0.00035367-8.6664e-06i,-0.00041443-0.00017172i,0.00062907+0.00010309i,0.0011498-0.00012866i,8.8765e-05-0.00039527i,-0.001001-0.00024772i,-0.00091348+0.00040277i,-0.00051944+0.00095246i,-0.00032752+0.00094677i,5.058e-05+0.00063238i,0.00017649+0.00032352i,0.00063492-2.3318e-05i,0.00098146-0.00021612i,0.00095992-0.00094138i,0.00030323-0.00089006i,-5.2027e-05+0.00034268i,-0.00011492+0.00041814i,-0.00015285-0.00041862i,0.00013655-0.00084125i,8.4475e-05-0.0007748i,-0.00021347-0.00052969i,6.5807e-06-0.00015421i
0.00069504-0.00010459i,0.0011353+4.9625e-05i,0.00098116+0.00069571i,0.00056805+0.0010013i,0.0013368+0.0013942i,0.0008258+0.0013089i,-0.0002733+0.00049249i,-0.00029145-0.00056833i,0.00088768-0.00041553i,0.00078378+5.6311e-05i,-0.00021181+9.0373e-05i,-0.00055342-5.5752e-05i,-0.00037788-0.00010806i,-0.0001439-0.00025036i,-2.1614e-05-4.091e-05i,-4.9418e-05+0.0006444i,-0.0002983+0.0010968i,-0.00030302+0.00095594i,0.00018672+0.00055729i,0.00071836+0.00032438i,0.00047738+7.5204e-05i,0.00052898-7.3453e-05i,0.0011899-0.00069937i
-0.00035998-0.0015765i,-0.0010721-0.0011573i,-0.0014047-0.00074138i,-0.0010399-0.0010863i,-0.0011639-0.00058648i,-0.00085712+0.00055692i,-0.0003649+0.00077226i,-3.7606e-05+0.0006158i,0.00040873+5.8081e-05i,0.00041726-7.9589e-05i,0.00043035-0.00036348i,0.00082299-0.00079566i,0.00029491-0.00038341i,-0.00056414+0.00014839i,-0.00053387-4.7646e-05i,-0.00070403+0.00011408i,-0.00031402-0.00036072i,-6.5118e-05-0.00045031i,-0.00057985+0.0001531i,-0.00046126+0.00047461i,-0.00013703+0.0003718i,6.6562e-05-5.4692e-05i,0.00019151-4.8954e-05i
0.0024229-0.00080248i,0.0011628-0.00050967i,0.0011723-0.001422i,0.00069183-0.0020755i,0.00012007-0.001701i,-0.00043618-0.00091838i,-0.0010168+0.00034799i,-0.0010156+0.0010107i,-8.7389e-05+0.00062099i,0.00049191+0.00038241i,0.00055168+0.00054284i,0.0002182+9.8341e-05i,-9.7907e-05-0.00091849i,-0.00075732-0.00093809i,-0.001501-0.00036974i,-0.0014955-0.00057944i,-0.0010298-0.0010563i,-0.00096538-0.0006241i,-0.0011551-1.7553e-05i,-0.00092677+0.00036521i,-9.0474e-05+0.00034362i,0.0003307+0.00054833i,0.00050209+0.00070858i
-0.00053427+2.2761e-06i,-0.00026316-2.7125e-05i,0.00018906+0.001i,0.00088875+0.0011003i,0.00096159+0.00080201i,-0.0005142+0.00071061i,-0.0010574+0.00081761i,-0.00082563+0.00052116i,-0.00058782+0.00042606i,-0.00014391+0.00078417i,0.0001519+0.00071582i,-0.00064259+2.8191e-05i,-0.0012084-0.00098482i,-0.00095044-0.0014373i,-0.00046895-0.00063084i,-0.00039113-7.0365e-05i,-0.00058585+4.5472e-05i,-0.00054953+8.7069e-05i,-8.7984e-05-0.00051131i,0.00032469-0.00059149i,0.00035378+0.00052392i,0.00059285+0.0010019i,0.00019798+0.00057421i
0.00012528-0.001458i,0.00020723-0.0010982i,0.00010484-0.00067589i,-0.00026648-0.00090638i,0.0001537-0.00065729i,0.00016672-0.0003368i,-0.00047642+0.00038728i,-0.00067579+0.00067557i,0.00040354+0.00014817i,0.00059003-9.3576e-05i,-0.00016855+0.00017591i,-0.00029853-0.00010553i,-9.3968e-05-9.0431e-05i,-0.00031769+4.0888e-05i,0.00022586-0.00043569i,0.00051087-0.00035827i,0.00092104+2.3029e-05i,0.00087996+0.00079083i,0.0005883+0.00048106i,0.00076266-0.00029451i,0.00058672-0.00027919i,0.00047428+0.00055705i,-0.00019412+0.0011339i
-0.0018059-0.0023948i,-0.0020428-0.0020091i,-0.0016142-0.00065565i,-0.00050992-0.00014956i,0.00097396-0.00011809i,0.0010546+0.00085251i,0.00069567+0.0012713i,0.0006605+0.00023112i,0.00010789-0.0006959i,0.00044156-0.00094362i,0.0013015-0.00043893i,0.0016851+3.7776e-05i,0.00086807-0.00029803i,-2.0905e-05+0.00020016i,-0.00027165+0.00070356i,0.00019996+0.0010726i,-0.00039528+0.00084857i,-0.00031849+0.0001249i,0.000349-0.00014212i,0.00045278-0.00039327i,0.00012512-0.00027714i,0.00020354+0.00013977i,0.00080029+0.00021642i
-0.0013922-0.0019971i,-0.0020618-0.0018815i,-0.0022261+0.00040562i,-0.0012844+0.0024052i,-0.00070939+0.0017331i,0.00041065+0.0011227i,0.00075763+0.00070063i,-2.9581e-05+0.00025415i,-0.00045998-0.00013074i,-0.00027132-0.00064982i,0.0010881-0.00023493i,0.0012456+0.00068778i,-1.7025e-06+0.00091303i,8.8806e-05+0.00066173i,0.00027304+0.00013399i,0.00034952-0.0012011i,0.00020339-0.0016932i,-0.00025384-0.0012742i,0.00012733-0.00040932i,1.1879e-05+0.00026788i,-0.00018775-0.00013326i,-5.6367e-05+7.1869e-05i,0.00018046+0.00035423i
0.0016687+0.00012591i,0.0020297-0.00052559i,0.0013003+0.00036642i,0.00022543+0.00070723i,0.00014244-0.00016078i,0.00033778-0.00042829i,0.00063619+0.00030585i,0.00027729+0.00063351i,-0.00032299+0.0004325i,-0.0006335+0.00021728i,-0.00043928+0.00032544i,-0.00029609+7.5097e-05i,0.00034374-0.00039315i,8.3147e-05-0.00031714i,-0.00017063+0.00015203i,-0.00014879+0.00042413i,-0.00017923-9.1334e-05i,-5.6919e-05-0.00036673i,9.299e-05-0.00042668i,0.00015489-7.9788e-05i,-0.00039457+0.00028192i,-0.00085176-5.3639e-05i,-0.00039782-0.0003667i
-0.0014558+0.0009581i,-0.0004089+0.0019255i,0.0006559+0.0020064i,0.0019211+0.0019678i,0.0013711+0.001606i,-0.00018238+0.00021638i,-6.0207e-05-0.000842i,0.00085323-0.00035452i,0.00095553+0.0002456i,-0.00027947+0.00059915i,-0.00042529+0.0011329i,0.00050098+0.00057483i,0.00066135+0.0007616i,0.0005415+0.00078043i,0.0011951+1.9116e-05i,0.0015131+0.00025852i,0.0009951+0.00027579i,0.00027715-1.7928e-05i,-7.7711e-05+0.00019303i,9.3823e-05+8.1796e-05i,0.0002266+0.00061569i,0.00026567+0.0011198i,0.00043798+0.00032858i
-0.0011071-0.00061837i,-0.00080501-0.0007211i,-0.0010685-0.00061347i,-0.00081351+1.5542e-05i,-0.00053551+0.00081726i,-0.00045615+0.0010345i,0.00029989+0.00082491i,0.000481+0.00084985i,0.00056239+0.0012618i,0.00019679+0.00091675i,1.5288e-05+0.00034643i,0.00029337+0.00016202i,0.00026578+0.00033505i,0.00011875-0.00020048i,0.00033641-0.00038683i,0.00039175+0.00024558i,0.00049219-0.0003618i,0.00051561-0.0013148i,0.00049223-0.0011298i,0.00060425-0.00052307i,8.4041e-05-8.2733e-05i,-5.1118e-05+1.3365e-05i,0.00040258-0.00069655i
0.00035077-0.0007564i,-0.0013184-0.00089097i,-0.0014714-0.001149i,-0.0015015-0.0011462i,-0.0016756-0.00037509i,-0.0012236+0.00074533i,-0.00092777+0.000818i,0.00030144+0.00022431i,0.00093702-0.0001917i,0.00017369-0.00023025i,-0.00013298-5.7731e-05i,-7.8841e-05-0.00052323i,0.0005202+0.00023071i,0.00082012+0.0016195i,0.0001429+0.00099207i,0.00020418+3.9072e-05i,0.00013026-0.00067052i,-9.5889e-05-0.00078068i,0.00026776-0.00044184i,-3.9938e-05-0.00019218i,-8.0149e-05-0.00029526i,0.00024553-0.00033205i,0.00013685+0.00031357i
0.00092085-0.00088638i,0.00037392-0.00079182i,0.00057883+1.7393e-05i,0.00062607+0.00040285i,0.00050805+0.00056578i,0.0010854+0.0013893i,0.00071916+0.00082894i,-0.00011285-0.00018859i,0.00017306+6.1483e-05i,0.0011691+0.00052556i,0.001144+0.0002954i,0.00040573-0.000312i,0.00012068-0.0003492i,0.00085485-0.00056809i,0.0011787-0.00065405i,0.00040675+0.00018546i,-0.00024983+0.00023641i,-0.00040748-0.00026512i,-9.8758e-05-0.00069441i,5.5736e-05-0.00042675i,-0.00025394+0.0001589i,4.0974e-05+9.2575e-06i,0.00031883-9.7299e-05i
-0.00076216+0.00052188i,-0.00055343+0.000212i,-0.0004754+0.0002719i,0.00010982+0.00094093i,0.0010373+0.0011595i,0.0012137+0.0011273i,0.00078107+0.0010138i,-4.4659e-05+0.00086239i,-0.00072482+0.00049163i,-0.00017687-0.00010072i,0.00059622-7.0939e-05i,0.00038142+0.0003264i,2.7222e-05+0.00051035i,0.00029097+0.00040361i,0.00055648-8.0244e-05i,0.00028641-0.00062509i,5.6998e-05-0.00032827i,-3.9689e-05+0.00049258i,-0.00035058+0.00051785i,-0.00050074+0.00026637i,-0.00047194+0.00016605i,-0.00087017+4.9276e-05i,-0.00053173-0.00012704i
-0.00013625-0.0013122i,7.6038e-05-0.0012477i,-0.00035279-0.00070825i,-0.0019854-0.00049226i,-0.0016891-0.00064205i,-0.00050125-0.00060433i,0.00035132-0.0001905i,2.566e-05+0.00050306i,-0.00082897+0.00075895i,-0.0001164+0.00057044i,0.00043843-5.69e-05i,1.9827e-05-0.00062949i,0.00085088-0.00048968i,0.0011045-0.00065949i,-0.00037164-0.0005028i,-8.6188e-05-6.7246e-06i,0.00062312-0.0003767i,0.00023585-0.00033099i,0.00051123+4.9553e-05i,-1.3601e-05-3.8919e-05i,-0.00068321-5.9731e-05i,-0.00010631+0.00028314i,0.00035355+0.00018868i
-0.00173+0.00024358i,-0.0013381+0.00065144i,-0.0003557+0.0014893i,0.001228+0.0020776i,0.0020523+0.0021494i,0.0015848+0.00068553i,0.0002337-0.00028444i,-0.00038975+5.2113e-06i,-0.00020992+0.00026558i,0.00033547+0.00023697i,0.00081895+1.3988e-05i,0.00095689-0.00025406i,0.00084772-0.00090224i,0.00066601-0.0012779i,0.00084768-0.00098847i,0.0009985-0.00054352i,0.00052704+9.5406e-05i,0.00031386-0.00044937i,0.00021342-0.001401i,-0.0001548-0.00070743i,-0.00014599-0.00021971i,-0.00019026-0.00046264i,-0.00022523-0.00032514i
-2.9173e-05-0.001849i,-8.7653e-05-0.0014234i,-0.00031461-0.00060725i,-0.0015007-0.0002129i,-0.0014583-3.2124e-05i,-0.00027334+0.00020796i,0.00042561-0.00032277i,0.0004151-0.00023458i,0.00019264-7.9985e-05i,0.0001827-0.00043803i,0.00074487-0.00035312i,0.001388+0.00031103i,0.00095544+8.6027e-05i,0.000548-0.00019465i,0.00056826+0.00066625i,0.00022167+0.00087986i,-0.0004413-1.8922e-05i,-0.00066481-0.00027248i,-0.00036231+0.00035448i,-0.00040153+0.00083257i,-0.00029401+0.00061202i,-9.3555e-05+8.0461e-05i,-0.00039023-0.00046688i
-0.0010096+0.0011649i,-0.00093354+0.0016626i,-0.00054024+0.0017933i,-0.00016307+0.002041i,0.00077584+0.0012398i,0.00051923+3.7161e-05i,9.7681e-05+0.00041613i,0.00019859+0.00087967i,0.00077834+0.00058578i,0.00084695+0.00017617i,0.00026653+0.00012043i,-0.00036922+0.00029359i,-0.00089102-2.8738e-05i,-0.00070455-0.00066844i,-0.00061597-0.00045134i,-0.00080284+0.00034619i,-0.00027645+0.00083487i,-0.00029466+0.00038095i,-0.00023074+0.00027866i,7.4012e-05+0.00036861i,-0.00034961-0.00041945i,-0.00051191-0.00057011i,-0.00035292+0.00032353i
0.0010701+0.0016916i,0.001404+0.0014313i,0.0022818+0.00063415i,0.0028474-0.00069856i,0.0020541-0.00086722i,0.0003754-0.0005013i,-0.00024399-0.00047927i,-0.00022646-0.00020016i,-7.3711e-05+4.7927e-05i,-0.00058946+0.00015948i,-0.0010562-0.00018669i,-0.00051086-0.00098712i,-0.00040804-0.0006782i,-0.00083277-1.7364e-05i,-0.0013976-0.00015887i,-0.0016647-8.1883e-05i,-0.00097083+0.00046306i,-0.0008814+0.00065701i,-0.0016873+0.00062622i,-0.0011912+0.00053788i,-0.00063575+0.00014726i,-0.00062203+0.00032059i,0.00019567+0.00014095i
0.00038401-0.0020029i,-0.00078025-0.0019055i,-0.0010861-0.0017824i,-0.0014931+0.00016144i,-0.0014516+0.001417i,-0.00025144+0.0013577i,0.00051943+0.00084591i,0.00098035+0.0011837i,-5.0622e-05+0.0015739i,-0.0009307+0.0010354i,-0.00046398+0.00076509i,-0.00050523+0.00044994i,-0.00063444+0.00082337i,-0.0011663+0.0014833i,-0.0014691+0.00071055i,-0.0008528+0.00036313i,-0.00084509+0.00015804i,-0.0008598+0.00011017i,-0.00026442+0.00016925i,-0.00024007+0.00045038i,-0.00052669+0.00072226i,-0.00026145+0.00014024i,0.00032284-5.8141e-05i
0.00093353-0.00058896i,0.00094172-0.00056336i,5.4208e-07-0.00046628i,-0.00027104-0.00089718i,0.00060531-0.0010675i,5.1625e-06+3.2419e-05i,-0.00083445+0.00061907i,-0.0009944+0.00066404i,-0.00038867+0.00016691i,-3.5113e-07-0.00074153i,-0.00010162-0.0010614i,-2.571e-05-0.00015079i,-0.00013269+0.00039814i,-0.00029555-3.2608e-05i,-0.00022338-0.00022784i,-0.00029032+0.00017463i,-0.0008521+0.00021699i,-0.00065524+0.00014879i,-5.505e-05-0.0001855i,0.00018273-0.00048054i,0.00023217-0.00035903i,0.00085986-0.00035386i,0.00079212-0.00040466i
0.00075589+0.0008705i,0.0010136+0.00096218i,0.00083468+0.001392i,0.00020059+0.00068906i,-0.00029478+0.00025633i,0.0001479+0.00058666i,0.00077525+0.00082268i,0.0006053+0.00092352i,0.00050599+0.00040285i,0.0003387+7.5765e-05i,0.00035916-0.00024791i,0.00027057-0.00095995i,-0.00037018-0.00051062i,-0.00087859+0.00017862i,-0.00047233+0.00028756i,9.7285e-05+0.00017306i,0.00037922+0.00026186i,0.00015491+0.0006775i,-0.00062304+0.00055951i,-0.00069388+0.00077609i,-0.00043338+0.0007927i,0.00020513-0.00027177i,0.00072685-0.00036842i
0.00071713-0.0023735i,8.7847e-06-0.0023281i,-0.00086648-0.0014393i,-0.0001227+0.00044676i,0.0010841+0.0014767i,0.0014813+0.001134i,0.0015672+0.00030184i,0.0011543-0.00045556i,0.00041534+4.0921e-06i,-0.00022431+0.00069116i,-0.0006542+0.00062757i,-0.00031998+0.00036447i,0.00013008+0.00074518i,-0.00020343+0.0004001i,-0.00019487-2.9634e-06i,-3.4823e-05+0.00098587i,-0.00047946+0.00068526i,-0.00014949+0.00028068i,-2.8968e-05+0.00054788i,-0.00021781+2.3787e-05i,-0.00021198-0.00023757i,-0.00018114-0.00051752i,-8.8531e-05-0.00024894i
-0.00058053+0.003138i,0.0002863+0.0017322i,0.00099936+0.00062698i,0.00061691+0.00028798i,-0.00027663+0.0001446i,-0.00038645-0.00015469i,-0.00072458-1.4618e-05i,-0.0011327-9.5074e-05i,-0.00094104+0.0002531i,-0.00023593+0.00036442i,7.9819e-05+0.00031941i,-0.00056535+0.00035473i,-0.00023838-0.00014014i,0.00036124-2.6853e-05i,-7.5861e-05-0.00049128i,2.0187e-05-0.00097507i,-0.00010331+2.5474e-05i,-0.00054138+0.00045343i,-0.00024429-0.00013914i,-8.3763e-05-0.00016112i,0.00033713-2.0019e-05i,0.00024211+0.00085745i,2.46e-05+0.0011754i
-0.0002448-0.0020392i,-0.00087958-0.0017938i,-0.0013246-0.00088413i,-0.00099373-0.0003232i,-0.00045307+0.0002306i,7.9295e-05+0.00031987i,0.00062951+0.00023348i,0.0010191+0.0003853i,0.00078343+0.00048079i,0.00033856+0.00032601i,0.00064811+0.00023863i,0.00060605-4.5721e-05i,-0.00011248+0.00012936i,-0.0008597+0.00032382i,-0.0010627-0.0003415i,-0.00013203-0.00033051i,0.00017025-0.00028588i,0.00037525-0.00023248i,0.00022547-6.8997e-05i,-0.00033394-0.00034646i,-0.00074902+0.00065624i,-0.00074876+5.4525e-05i,1.5289e-05-0.0010171i
