-0.002697+0.0011295i,-0.0016274+8.8096e-05i,-0.0019039-5.722e-05i,-0.0016071-0.00073394i,-0.0011973-0.00027551i,-0.0010613+0.00074618i,-0.00028604+0.00090743i,0.00039774+0.00077275i,0.00070411+0.0002825i,0.00024423+0.00036137i,-0.00033657+0.00021009i,-0.00097466-0.00054994i,-0.0017426-1.3244e-05i,-0.001673+0.00013886i,-0.00040945-0.00082465i,0.00015363-0.00094745i,-0.00011473-5.9239e-05i,0.00019985+0.00015789i,0.00029198+0.00024732i,9.7871e-06+0.00028978i,-0.00064998+0.00023001i,-0.00093704+0.00044368i,-0.00084065+0.00052364i
-0.00054125+0.00063685i,-0.0014633+0.00025606i,-0.00066752-6.9473e-05i,0.00088258-0.00030362i,0.00137-0.00094305i,0.001342-0.0015864i,0.0015524-0.0012323i,0.000334-0.00043553i,-0.0011882-0.0010118i,-0.0011362-0.00085599i,-0.0008514+8.9843e-05i,-0.0011653+0.00018026i,-0.0015557-0.00023467i,-0.0012858-0.00046597i,-0.00059023-0.00081457i,-0.00056824-0.00080793i,-0.00080141-0.00037343i,-0.00062421-0.00019266i,-0.00015905-0.00010604i,0.00023393-0.00029406i,-0.00016409-0.0005706i,-0.00078921-2.2425e-05i,-0.00066028+0.00060309i
0.00031831-0.00024756i,6.5298e-05-0.00027628i,-0.00026876-0.000235i,-0.00082356-0.00061287i,-0.0012604-0.0010717i,-0.00058113-0.00081151i,0.00017459-0.00073784i,0.00033676-0.0013866i,0.00020417-0.0013568i,-0.00093125-0.00080801i,-0.0012351-0.00056526i,-0.00065047-0.00017139i,-0.00087008-2.6938e-05i,-0.00078482-2.529e-07i,-0.00044078-7.4383e-06i,-0.00070061-0.00046685i,-0.00099559-0.00092735i,-0.00086997-0.00040164i,-0.00033778+0.00047522i,-0.00019745+0.00050017i,-0.0005416+2.218e-06i,-0.00073923-0.0001045i,-0.00047096+0.00053073i
-0.0020814+0.0010088i,-0.0010717+0.00060177i,-0.00035497+0.00044362i,-0.00071686+0.0003631i,-0.00063319-0.00032833i,-9.1689e-05-0.0008787i,0.0008071-0.00039002i,0.00089402-9.9681e-05i,0.00088648-0.00020617i,0.00062443+4.3542e-05i,-0.00018348+0.00057363i,-0.00059358+0.00056818i,-0.0014137-0.0001655i,-0.0015685-0.00069621i,-0.00067737+4.2568e-06i,-0.00075323+0.00028476i,-0.0013084-0.00049001i,-0.0008835-0.00074834i,3.8504e-05-0.00018817i,-3.893e-05+0.0011006i,-5.0475e-05+0.0018393i,-3.422e-05+0.0013346i,-0.00051955+0.00015242i
-0.00028921+0.00082232i,-0.00060685+0.0010394i,-0.00032245+0.00099249i,0.00039982+0.00041153i,0.00051621-0.0012247i,0.00029358-0.0016598i,1.592e-05-0.00049367i,-0.00053386-0.00017037i,-0.00066841-0.00080202i,-0.00072743-0.00050047i,-0.00093892+0.00064331i,-0.00093631+0.00074674i,-0.00061892+2.3299e-06i,-0.00066653-0.00012952i,-0.00090477+0.00016263i,-0.00010367+0.00044859i,0.00044928+0.00077691i,-0.00047912+0.00095974i,-0.00055318+0.00045676i,0.00029187+0.0002663i,0.00017134+0.0006167i,-0.00018438+0.00066443i,-7.1536e-05+0.000702i
0.0024386-0.00092633i,0.0016871-0.00078637i,0.0019683-1.9548e-05i,0.0011063+0.00028549i,-0.00027107-0.00045613i,-0.00065672-0.00094987i,-0.00076491-0.0004891i,-0.0004706-0.00030903i,-1.6928e-05-0.0001748i,-0.0010413-0.0002158i,-0.0015212-0.00051282i,-0.00049741-0.0010459i,-0.00013625-0.0017307i,-0.00056706-0.0019229i,-0.00069934-0.0011644i,-0.00096799-0.00021861i,-0.00070827+0.00024905i,-0.0012249+0.00057007i,-0.0011548+0.00012764i,0.00017404-0.00037899i,0.0005515-0.00030981i,0.00046926-0.00018909i,-0.0002088+8.3664e-05i
0.0015842+0.00092422i,0.0023791+0.00095963i,0.0019283+0.00074145i,0.0016389+0.00033463i,0.0011537-0.00027141i,0.00067213-0.0014666i,0.0008806-0.001675i,6.4595e-05-0.0010261i,-0.00049618-0.0012338i,-0.00019919-0.0011865i,4.296e-05-0.00041006i,-8.5619e-05+0.00037872i,-0.0011104+0.00058619i,-0.0010492-0.00017493i,-0.00061653-0.00022517i,-0.00034533+0.00012808i,-8.3979e-05-0.00021463i,-5.1983e-05-0.00059746i,-0.00023128-0.00015566i,-0.00069307+0.00031754i,-0.00058825-0.00011356i,-0.00046074-0.00044909i,-0.00032126-0.00025935i
-0.00059473-0.00031601i,-0.00043631-6.7218e-05i,-0.00081704+0.000377i,-0.00063746-0.00035468i,-0.00011257-0.00083532i,-0.0003191-0.00067716i,0.00014373+9.8693e-05i,0.00015919+0.00030897i,-0.00023248-0.00039447i,-0.00026585-0.00034204i,-0.000549+0.00023683i,-0.00046759+0.00063523i,-0.0010874-6.9081e-05i,-0.0012658-0.0009196i,-0.001026-0.00053872i,-0.00078691-0.00053354i,0.00017734-0.00057356i,0.00072183+0.00011059i,0.00015149+0.00031775i,-0.00023083-7.4187e-05i,-0.00020109+0.00025448i,9.4496e-05+0.00037137i,0.00086135-0.00022792i
0.00043381-0.00074358i,0.0010455-0.00060272i,0.0022801-0.0014128i,0.0018079-0.0016693i,0.0010407-0.0013133i,0.0012247-0.0011396i,0.0012395-0.00063463i,0.0007781-0.00030736i,0.00043641-0.00080183i,-4.9288e-06-0.00059843i,-0.00083035+0.00041681i,-0.0010963+0.00063925i,-0.0008765+0.00053897i,-0.00038415+0.00014186i,-0.00036122-0.00012694i,-0.0012088+0.00024833i,-0.0011223-0.00020248i,0.0002385-9.9305e-05i,0.00036571+0.00042955i,8.0545e-05+0.00057268i,-3.992e-05+0.00059487i,-0.00027707+0.00048676i,-0.00013743+0.00050451i
-0.00084234-0.0018929i,-0.00072643-0.0016163i,-0.00098082-0.001548i,-0.001638-0.0011107i,-0.001237-0.00068378i,-0.00030578-0.00066245i,-7.7943e-05-0.00040934i,-0.00014789-0.00032599i,0.00023058-0.00038847i,3.0165e-05-0.00015921i,-0.00052559+0.00021914i,-0.00084453+0.00073073i,-0.0015797+0.00010826i,-0.0016528-0.00050257i,-0.0010469+0.00018209i,-0.00025788+0.0005952i,-0.00059057+0.0008123i,-0.0015791+0.00035586i,-0.0013256-0.00023572i,-0.00051176+0.00032487i,0.00021971+0.00073802i,0.00010725+0.00077377i,-7.7519e-05+0.00025124i
0.00038159+0.0013163i,0.0008153+0.0018823i,0.0012013+0.0004181i,0.0011473-0.00022127i,0.00063917-0.0004071i,0.00027745-0.00054355i,0.00057857-0.00063781i,0.0012093-0.00055389i,0.00064936-0.00038353i,-0.00047173+0.00031152i,-0.00043184+0.00027014i,-4.7705e-05-0.00081769i,-0.00056292-0.0013095i,-0.00084574-0.00099218i,-9.2702e-05-8.088e-05i,4.9672e-05+0.00041473i,-9.8998e-05+8.5509e-05i,0.00013527+6.4063e-05i,-0.00056807-0.00061741i,-0.00077191-0.001041i,9.7439e-05-0.00010904i,-8.3868e-05+0.0004839i,-0.00055752-0.00014865i
-0.0036805-0.00070537i,-0.0036928-0.0010192i,-0.0041826-0.00084345i,-0.0028385-0.00090082i,-0.00010985-0.00050082i,0.0011662+0.00012426i,0.00066808-4.4807e-05i,0.00035024+0.00025708i,-1.1421e-05+0.00025193i,2.9046e-05+6.7343e-05i,0.00030162+0.00054324i,-0.00043234+0.00058005i,-0.0015819+0.00018199i,-0.0018158+8.3158e-06i,-0.0014793-0.00025973i,-0.00076954-0.00028909i,-4.6682e-05-0.0002437i,0.00020619-0.00058923i,0.0010511-0.00095241i,0.00095839-0.00051463i,-0.00015008-0.00035626i,-0.00033442+4.5776e-05i,-0.00042781+0.00081609i
0.00030123-0.0012878i,0.00033636-0.00094712i,-0.0006088+0.00028364i,-0.00060322+0.00062117i,-6.6532e-05+0.00051714i,-4.5235e-05+0.00074168i,-9.2989e-05+0.0002677i,-0.00095027-0.00041616i,-0.0014467-0.00065359i,-0.00070131-0.00040968i,-0.00085206+7.7715e-05i,-0.0015216+2.5792e-05i,-0.0012049+0.00032456i,-0.00077611+0.00063271i,-0.00090214+0.00043495i,-0.00072274+0.00025572i,-0.00096812-2.5858e-07i,-0.00073578+0.00069356i,0.00074484+0.00099322i,0.0010285+0.00052687i,0.00042491+0.00011316i,0.00041813+6.4744e-05i,0.00052065+0.0003275i
-0.0015956+0.0010511i,-0.0016516+0.0019811i,-0.0011444+0.0021334i,-0.00078643+0.0013693i,-0.00011147+0.00059942i,0.00035125+0.0003783i,0.00030594-0.00012413i,0.00023884-0.00058488i,-7.487e-06-0.00067558i,-0.0006754-0.00064968i,-0.00089879-0.00049324i,-0.00092624-0.00040514i,-0.0014243-0.00024011i,-0.0012645+0.00027595i,-0.0009321+0.00089907i,-0.00081371+0.0004146i,-2.3396e-05-0.00029471i,-0.00025023-5.9105e-05i,-0.0004274-4.1495e-05i,0.00020789-0.00054087i,-1.6896e-05-0.00032862i,-0.00070307-0.00038714i,-0.00039651-0.00070048i
-0.0015541-6.9923e-06i,-0.002416+0.00026604i,-0.00218+0.00031965i,-0.0011798+0.0010101i,-0.00047745+0.001546i,7.3233e-05+0.00072506i,0.0002292-0.00021791i,0.00070971-0.00096035i,0.0008779-0.0014366i,-0.00064517-0.0011374i,-0.0012999-0.00057287i,-0.0010703-0.00010526i,-0.00075934+0.00012106i,-0.00029721-3.6859e-05i,-0.00011648-0.00014935i,4.6924e-05+7.2462e-05i,0.00012235+4.9967e-05i,-0.00032746-0.00050336i,-0.00053909-0.00084874i,7.9756e-05-0.00054605i,0.00023039-0.0001933i,2.266e-06-0.00013405i,6.1182e-05-0.00037834i
-0.00067671-0.00065741i,0.00054967-0.0012785i,0.00095099-0.00066013i,0.00031735-0.00031836i,5.3519e-06-0.0005175i,0.00039073-0.000961i,0.00090451-0.00052818i,0.0011979+0.00043702i,0.00076766+0.00052191i,6.9976e-06+0.00057013i,-0.00036699+0.0008631i,0.00048638+0.00021553i,0.00093906-0.00041236i,0.00024506+5.9388e-05i,0.0001724+0.00020388i,0.00014962+0.00011214i,-0.00032415-0.00013548i,0.00010997-0.00045898i,0.00056126+0.00034129i,0.00040655+0.00011009i,0.00018563+0.00045872i,-5.1499e-05+0.0011658i,0.00025091+0.00076075i
0.00094584+0.0012056i,0.00040866+0.0007555i,-0.00036522+0.0001453i,-0.00074049-0.00011657i,0.0004068-0.00017226i,0.00088319-0.00041793i,0.0014156-0.00077249i,0.0014367-0.00035349i,0.00011154-0.00021948i,-0.00074263-0.00022946i,-0.00053609-0.00015488i,-0.00074232-0.00038175i,-0.0013065-0.00031151i,-0.0012458-0.00021899i,-0.00096141-8.3844e-05i,-0.00071313+5.1354e-05i,-0.00038018-6.9929e-05i,-0.00026978+0.00022703i,-0.00027236-0.00017893i,-0.00063776-0.00083009i,-0.0004915-4.8362e-05i,2.4098e-05+0.00063397i,-0.00027214+0.00043881i
0.0012446-0.00030215i,0.00042023-0.00090739i,-0.00013723-0.0018458i,-0.00039564-0.0018739i,-0.00083287-0.0017367i,-0.0010753-0.0013503i,-0.0003394-0.00064437i,-0.000192-0.00018628i,-0.0010786-0.00043165i,-0.0015494-0.00057018i,-0.0015949+0.00018958i,-0.0018961-0.00024413i,-0.0016709-0.00070742i,-0.0016377-0.0004952i,-0.001353-0.00092963i,-0.00083773-0.0011799i,-0.00040442-0.00024738i,-9.8413e-05+7.1301e-06i,0.00020824-0.00051306i,-7.5998e-05-0.00080048i,-0.00038897-0.00040842i,-0.0004714+0.00056192i,-0.00012242+0.00072077i
-0.00056758-0.0020798i,0.0006481-0.0024443i,0.00043161-0.0025692i,0.00032564-0.00192i,0.00028906-0.0008719i,0.000782+4.8056e-05i,0.0010327+5.5115e-05i,-0.00010875-0.00079209i,-8.7392e-05-0.0018399i,-7.0053e-05-0.00084739i,-0.0013202+0.00062931i,-0.0018388+0.00086371i,-0.0014013+0.00057541i,-0.001065+0.00069026i,-0.00045492+0.0006902i,-0.00025581+0.00038606i,-7.2003e-06-2.8594e-05i,-0.00019153-0.00026068i,-0.00092404-0.00057514i,-0.00063036-0.0005845i,8.1791e-05-0.00020623i,-6.5505e-05+4.0273e-05i,-0.00077799-0.00018899i
0.00089485+0.0015087i,0.00082018+0.00027168i,-0.00029266+0.00082872i,-0.00045954+0.00030091i,0.00022754-0.00082384i,0.00060628-0.0008934i,0.0002455-0.00088521i,-3.1822e-05-0.00090457i,-0.00042288-0.00056275i,-0.001114+5.6141e-05i,-0.0010215+0.00015479i,-0.001082-0.00050889i,-0.0013418-0.00124i,-0.00059326-0.0010853i,-1.0915e-06-0.00020349i,-0.00040611+2.4743e-05i,-0.00029938-0.00027828i,0.00072434-8.7587e-05i,0.00091242+0.00016532i,0.00039815+0.00010548i,0.00012546-0.00015857i,-0.00035085-0.00021588i,-0.0010603-5.7993e-05i
-0.0017641+0.00015082i,-0.0011471+0.0009477i,-0.0012517+0.001753i,-0.00055062+0.0015008i,0.00080657+0.00014593i,0.00084722-0.00079053i,0.00011721-0.00083468i,5.1869e-05-0.00041097i,-0.00043244-0.00020115i,-0.00084418-0.00057834i,-0.00089099-0.00092225i,-0.00057012+3.5788e-05i,-0.00026588+0.00066398i,-9.7336e-05+0.00069769i,-0.00040886+0.00032855i,0.0001197+0.00012332i,0.00074008+0.00060777i,-0.00013151+0.00076332i,-0.00010403+0.00028548i,-0.00016158+0.00025908i,-0.00031219-0.00013931i,0.00011622-0.0012934i,0.00034253-0.00061557i
0.0015431-0.00092148i,0.0015948-0.00099267i,0.00095106-0.0012878i,0.00014904-0.0017391i,-0.0002941-0.001114i,-0.00079975-0.0007214i,-4.8281e-05-0.0010921i,0.00049068-0.0013222i,-0.00023882-0.0013621i,-0.00083282-0.0014765i,-0.0010891-0.00087098i,-0.0016168-0.00041449i,-0.0020612-0.00074395i,-0.0017652-0.00089881i,-0.0013037-0.00077932i,-0.00095785-0.00039091i,-0.00065432-0.00046344i,-2.0007e-05-0.00042489i,0.00048765+0.00020558i,0.00058663-0.00047161i,9.6292e-05-0.00084092i,-0.00039427-0.00025295i,-0.00045367+0.00011755i
-0.001386-0.00071281i,-0.00066404-0.00049661i,-0.00054722-0.00049607i,-0.00070851-0.00044592i,-0.00042178+0.00011632i,0.00041492+0.00024213i,0.00057296+0.00032773i,0.00045533+3.5924e-05i,0.00017529-0.00021718i,-0.00078867+8.7071e-05i,-0.0010153+0.00047028i,-0.00095142+0.00071163i,-0.00084+0.00090834i,-0.00039094+0.00058534i,0.00012362+0.00044171i,0.0001973+3.5394e-05i,5.0085e-06-0.00011794i,-0.0001453+0.00010353i,-0.00015006-0.00010127i,8.2382e-05+0.00011022i,9.4195e-05+0.00031961i,0.00041992+0.00020873i,0.0006092-0.00017188i
0.0005562-0.0030538i,0.00019768-0.0028243i,0.00039701-0.0030252i,-0.00030977-0.0024039i,-0.00082283-0.0011971i,-0.0007884+0.00023599i,-0.00072665+0.0010318i,-5.696e-05+0.00063889i,0.0002814+0.00013262i,-0.00038296+0.00047194i,-0.00040208+0.00018465i,-0.00044774+0.00040513i,-0.00098097+0.00042967i,-0.001106-0.00021158i,-0.0012314-0.00050274i,-0.00056709-0.00041316i,0.00016179-0.00019677i,0.00061204+4.685e-05i,0.00048306+0.00017877i,-0.00034149-0.00013575i,-0.00073357-0.00044536i,-0.00029434-0.00042795i,-5.2384e-05-0.00031405i
-0.00056334+0.0010728i,-8.518e-05+0.0011058i,0.0002081-0.00020813i,-0.00045579-0.0011311i,-0.00052159-0.001263i,0.00011488-0.00066684i,0.00050173+6.5515e-06i,-4.6168e-05-0.00019535i,-0.00053221-0.00049271i,-0.0010206-0.00046928i,-0.001345-0.00032774i,-0.00099337-0.00016675i,-0.0011687-0.00034535i,-0.0007036-0.00043233i,-0.00047622+0.00012797i,-0.0012922+0.00029621i,-0.00043494+0.00057556i,0.00038982+0.00061625i,-0.000274+6.1088e-05i,-0.0002945-0.00067161i,-0.0002072-0.00099832i,-0.00057568-0.00079104i,-0.00096878-0.00069557i
9.8149e-05+0.00022303i,-0.0001593+0.00078176i,-0.00012472+0.00086881i,0.00029986+0.0006292i,0.00027235+8.2472e-05i,0.00028699-0.00051362i,0.00076515-0.00013171i,0.00068978+0.0002296i,0.00057656-7.4747e-05i,-0.00011593-6.6138e-05i,-0.00082942-0.00026335i,-0.0014252-0.00050468i,-0.0018438-0.00058277i,-0.0015713-0.00068792i,-0.0009048-0.00056603i,-0.0003947-0.00045437i,-0.00042773-0.0005554i,-0.00025772-0.00072977i,8.7047e-05-0.00097918i,0.000254-0.0010427i,0.00011906-0.00062916i,-0.00027476-0.0002446i,-0.00039224+0.00016218i
-0.00095276+0.0004963i,-0.0015087-0.00040451i,-0.00261+7.3775e-05i,-0.0024275+0.00046331i,-0.001162-0.00032054i,-0.00056345-0.0013824i,-3.7482e-05-0.00077i,0.00076924+2.5599e-05i,0.0010603-0.00019692i,0.00084496+0.00013908i,0.00048295+0.00028837i,-0.00055211-5.8239e-05i,-0.0014763-0.00040476i,-0.0011949-8.1308e-05i,-0.00043236+1.2422e-05i,-0.00037586-0.00037148i,-0.00052728-0.00016368i,-0.00057401+0.00061334i,-6.7678e-05+0.00098805i,0.00039656+0.00035523i,0.00010983-6.641e-05i,-5.8264e-05+0.0001141i,-0.00086627-0.00034376i
0.0010921+0.00047115i,0.0025967+0.00036692i,0.0023201+0.0017778i,0.00084897+0.0014815i,0.0012883+0.00023341i,0.0017425-0.00012903i,0.00065385-0.00055374i,0.00010699-0.00096024i,0.00060116-0.00015294i,0.00058269+0.00022346i,4.2725e-05-0.00031079i,-0.00073053-0.00070359i,-0.0013363-0.00031513i,-0.0014601+7.0712e-06i,-0.00081224+3.0809e-05i,-0.00039204-0.00017282i,-0.00059299-0.00079155i,-0.00048929-0.00045713i,-0.00049846-0.00011155i,-0.00055298-3.858e-05i,-0.00059061+0.0002983i,-0.00066909+0.00047665i,-0.00062812+0.000557i
-0.0011767+0.00041445i,-0.0015995+0.0015699i,-0.0018772+0.0015869i,-0.0011826+0.00058049i,-0.00042082-0.00019722i,0.00037892+0.00014911i,0.00014794-0.00041347i,-0.00019442-0.0011059i,-0.00012165-0.00059175i,-0.00040108+0.00022207i,-0.000927+0.00039687i,-0.0013507-3.32e-05i,-0.00052845-0.00021683i,-0.00033799-0.00018624i,-0.00047563-0.00047829i,0.0002841-0.00055321i,0.001454-0.00016367i,0.0014786-3.1839e-05i,0.00014842+0.00014902i,-0.00026776+1.0467e-05i,-0.00033892-0.00054944i,-0.00020379+6.0993e-05i,-8.8372e-05+0.00056989i
0.00031476+0.00077514i,8.9021e-05+0.00046992i,0.0005017+0.00028151i,0.00093379-0.00062668i,0.00096877-0.0017527i,0.0010704-0.0017081i,0.00070875-0.0014834i,0.00034266-0.00061307i,-3.1482e-05+7.659e-05i,-0.00064428-0.0009021i,-0.00073527-0.00090234i,-0.00058586+0.00063478i,-0.00042253+0.00065344i,0.00028876-9.7923e-05i,0.00057547+0.00011285i,0.0006102+0.00037766i,0.0005637-3.0488e-05i,-3.3014e-05-6.0296e-05i,-0.00015626+0.00040379i,-0.0001036+0.00027543i,-0.00062752+0.00031146i,-0.00049097+0.00055702i,7.8478e-05-4.3942e-05i
0.0007528+0.00068043i,0.0024009-0.0011739i,0.0022745-0.0010836i,0.00078326+0.00013659i,0.00038515+0.00020576i,-0.00015383-0.00022159i,-0.00048926-0.00043763i,-0.00060404-5.8209e-05i,-0.00027521+0.00039218i,1.0205e-05+0.00028195i,-3.847e-05-0.00019201i,9.0197e-05+2.3023e-05i,-0.00072837+0.00067689i,-0.0016515+0.00032838i,-0.00134-8.9922e-05i,-0.0013018+0.00012639i,-0.0016589-5.2905e-05i,-0.00097815-6.8513e-05i,-0.00059109-0.00039923i,-0.00083446-0.00081607i,-0.0011922-4.7361e-05i,-0.0010055+0.00013497i,-0.00091324-0.00071332i
-0.0026065+0.0022731i,-0.0030239+0.0027686i,-0.0032699+0.002305i,-0.0019283+0.0015736i,-0.0007656+0.00036539i,0.00022597-0.0005782i,0.00031874-0.00063668i,-0.00059552-0.00028442i,-0.0010536-0.00023151i,-0.00055559-0.00053953i,-0.00021413-5.4468e-05i,-0.00034403-0.00013728i,-0.00036496-0.00057376i,-0.00013892-1.526e-05i,-0.0002157+2.7465e-05i,0.00017544-0.00039737i,0.00097216-0.00032449i,0.0011317+0.00030602i,0.00045851+0.00054137i,2.0911e-05-1.8763e-05i,0.00028548-0.00040246i,0.00021471+4.035e-08i,-0.0004115+4.9008e-05i
