-0.0013173-0.00028982i,-0.0023228+0.00070725i,-0.0034089+0.0014125i,-0.001982+0.00073762i,-0.0014581+0.00082404i,-0.0018414+0.0013656i,-0.00096021+0.0014263i,0.00041076+0.0013316i,0.0011284+0.0011836i,0.0011087+0.00021185i,0.0010639-0.00032466i,0.00070819-0.00042964i,0.00065621-0.0011602i,0.00050856-0.00098184i,0.00053676+0.00035685i,0.00031758+0.00050115i,-0.00030827-0.00052049i,0.00044327-0.0010331i,0.0008326-0.00031293i,2.948e-05+0.00035335i,-0.00034927+0.00068476i,-0.00060834+0.00017445i,-0.00032688-0.00020592i
-0.00023681-0.00071707i,-0.0015138-0.0010071i,-0.0023195-0.00047608i,-0.0021263+5.6303e-05i,-0.00071424+1.7165e-05i,0.00018581+0.0001792i,0.00077191+0.00065971i,0.00067208+9.5996e-05i,0.00014106-0.00017497i,9.9258e-05-0.00017575i,-0.00021631+0.00059647i,3.936e-05+0.0014877i,0.00012569+0.0014977i,-0.00089011+0.00078201i,-0.00086829+0.00028116i,0.00014967+0.00030443i,0.00093109+0.00027152i,0.00086188+0.00010477i,1.779e-06+9.0102e-05i,-5.7411e-05+0.0004891i,5.0832e-05+0.00042834i,-0.0002556-0.00016896i,-0.0005949-2.8111e-06i
0.0015165+0.0016211i,0.00268+0.0018505i,0.0016206+0.0019128i,0.00015101+0.00098292i,0.00041353+0.00061512i,0.0002279+0.00076571i,3.4025e-05+0.00055003i,0.00027077+0.00031692i,0.00011328+0.0004179i,-8.7263e-05+0.00047921i,0.00034859-1.7672e-05i,0.00076506-0.00051155i,0.00064435-0.00073054i,0.0004489-0.000274i,0.00068882+0.00023814i,0.00044825+0.00067481i,4.4405e-06+0.00036492i,0.00035978-2.3761e-05i,-0.00014515+0.00046179i,-0.00090551+0.00098438i,-0.00032559+0.00043311i,0.0004311-0.00031919i,0.00034531-0.0003552i
-7.1524e-05+0.0019595i,0.00014822+0.001623i,-0.0009328+0.0011108i,-0.0015419+5.7068e-05i,-0.00082636-0.00053851i,-0.0001117-7.4629e-05i,0.00021555+0.00072607i,-0.00019683+0.00058798i,-0.00027232+0.00033381i,0.00043323+0.00020819i,0.0011107-0.00051002i,0.0015547-0.0006736i,0.00060264-7.7038e-05i,-0.00042454+0.00076477i,-0.00032124+0.0011003i,-0.000189+0.0012015i,-0.00064235+0.0011663i,-0.0015198+0.00059157i,-0.0010409-0.00024681i,-0.00019627-0.00050354i,-0.00042709-0.00028814i,0.00034479+1.242e-05i,0.0011429+0.00064195i
-0.00077082+0.001063i,-0.0002397-0.00020225i,0.00026184-0.0002728i,0.00065244-0.00048673i,0.00063751-0.00091942i,0.00036106+0.00036401i,-0.00039519+0.00099684i,-0.00046786+0.0004443i,0.00019886-0.0004249i,0.00026241-0.00031857i,-0.00050857+0.00054753i,-0.0006737+0.00016321i,-0.00048987-0.00066446i,-0.00081575-0.00058112i,-0.0010362+6.7764e-05i,-0.0012117+0.0002325i,-0.00073156+0.00036253i,-0.00021388+6.1746e-06i,0.00010712-0.00018133i,0.00036824-0.00017214i,-7.3424e-05-0.00043543i,-0.00027737-0.00018786i,-8.825e-05+0.00014992i
0.000343-0.0020643i,0.00052564-0.00011343i,0.00077479+0.00089417i,0.00069224+0.0004329i,0.00039866-3.8659e-05i,-7.2337e-05+0.00042044i,-0.00070229+0.00076548i,-0.00013158+0.00073922i,0.00066989+0.00062171i,0.00047974+0.00023764i,4.1643e-05+7.2958e-06i,-0.00070613-0.00034285i,-0.0012357-0.00041452i,-0.0014424+0.00047138i,-0.0014107+0.00087257i,-0.00079471+8.2967e-05i,-0.00026098-0.00022863i,-0.00034516+9.2662e-05i,-0.00048666+0.00057298i,-0.00068528+0.00047141i,-0.00045773+0.00019149i,4.6199e-05+0.00030539i,0.00064618+0.00067784i
-0.0018447+0.0018336i,-0.0021161+0.001892i,-0.002289+0.0020502i,-0.0013974+0.0018627i,-0.00019735+0.00079028i,0.00036456-0.00019298i,0.00025167-1.0414e-05i,0.000631+0.00056673i,0.00036338+0.00097471i,-3.3052e-05+0.00063499i,0.00056001-0.00030158i,0.00030575-0.00039233i,-0.00046438-0.00062297i,-0.00017053-0.00060001i,-0.00032667-1.1888e-05i,-0.00055725-0.00025333i,-0.00011907-0.00048517i,0.00021489-0.00063448i,0.00032867-0.00096957i,0.00012368-0.00030031i,0.00023017+0.0007738i,0.00024757+0.00032343i,-0.00029393-0.00017218i
0.0020702+0.0020415i,0.0015269+0.0018731i,0.0016837+0.001249i,0.0014283+0.00087772i,0.00043337+0.00055389i,-0.00037939+0.00013305i,-0.00036546+0.00015475i,-0.00031151+0.00049971i,-1.2821e-05+0.00080259i,0.00041701+0.0011576i,-0.0001087+0.00069168i,-0.0004495-0.00028639i,4.1844e-05-0.0005005i,-6.5742e-05-3.4121e-05i,-0.00064953-0.00020613i,-0.00035944-0.00090658i,-0.00010456-9.4239e-06i,-0.00064077+0.00099639i,-0.0010509+0.00062034i,-0.00064143+0.00019958i,-3.9559e-05+0.0002792i,-0.00075196+0.00043837i,-0.0013649-0.00013174i
0.00050077+0.0004275i,0.00057957+0.001081i,0.00030066+0.0013504i,0.00019014+0.0012527i,-0.00025287+0.00050249i,-0.00036097+0.00022997i,-0.00040307+0.00050535i,-8.0381e-05+0.00034674i,0.00060428+0.00033074i,0.00070916+0.00031075i,0.00013304+0.00032746i,0.00014536+0.0002771i,0.00056044-0.00043373i,-0.00018101-0.00048049i,-0.00048762+0.00020327i,-0.00041007+0.00029109i,-0.00073801+0.0007331i,-0.00093985+0.00089809i,-0.00070754+0.00041618i,2.0977e-05+0.00025299i,0.00019561+0.00034934i,-0.00042752+0.00057363i,-0.00082349+0.00087632i
0.00018552-1.571e-07i,-0.00058477+0.00011355i,0.00038764+0.0005951i,0.00038632+0.001374i,-1.8862e-05+0.0013165i,0.00063394+0.00098461i,0.0013533+0.00065046i,0.00086616+0.0001238i,0.00044939-0.00059405i,0.0011836-0.000409i,0.00099836+0.00021643i,0.00032314+0.00014878i,-6.2163e-05+0.00059844i,-0.00045764+0.0011052i,0.00013015+0.00098112i,-0.0003497+0.00073586i,-0.00074553+0.00093823i,8.6103e-05+0.00067899i,0.00057393-0.00035927i,0.00017971-0.00031941i,-1.059e-05-0.0001802i,0.00031816-0.0002673i,0.00063496-0.00034215i
7.3866e-05-0.00028769i,5.3744e-05-0.0017232i,0.00010161-0.0014737i,-0.00024108-0.00021487i,-0.00052191+0.00030012i,-0.00051264+0.00030428i,0.00054106+0.0012317i,0.00056169+0.0010232i,4.6812e-05-0.00063869i,0.00065034-0.00065265i,0.00023678+0.00022052i,-0.00034596+0.00037109i,-0.00075582+0.00036041i,-0.0010725+0.0001616i,-0.00075894+0.00032336i,-0.00025683-0.00016091i,-9.7503e-05-0.00023094i,-7.6305e-05+0.00061491i,0.00022516+0.00030395i,0.00033754-0.0003087i,0.00059207-0.0010075i,0.00081456-0.0010849i,0.00014754-0.00041765i
-0.00028497+0.00049269i,-0.0011245+0.0007826i,0.00020993+0.0014399i,0.0019409+0.00066058i,0.0014501-0.00012318i,-0.00022313+0.00090077i,-0.00055229+0.0015836i,-0.00046774+0.00080518i,-0.00033038-0.000177i,0.00028885-0.00050083i,0.000628-0.0009104i,-8.3679e-05-0.0014323i,0.00032023-0.0012448i,-0.00035339-0.00058217i,-0.00085868-0.00049727i,0.00019901-0.00028336i,0.00058052+6.9889e-05i,0.00084092+0.00045872i,0.00073359+0.0007952i,0.00060448+0.00028874i,0.00082637-4.1998e-05i,0.00074175+0.00037804i,0.00014096+0.00023099i
0.00037179-0.00066722i,0.00031744-0.00014842i,0.0007278-0.00090873i,5.4452e-05-0.0011935i,-0.0011575-0.00016879i,0.00036043+0.0012435i,0.0019744+0.0011347i,0.0014916+0.00052764i,0.00086417-4.578e-05i,0.00072457-0.00085575i,9.6653e-05-0.00021437i,-0.00035427+0.00077661i,-0.00039311+3.1411e-05i,-0.0001616+5.3382e-05i,0.00027397+0.00078407i,-0.00023234+0.00023995i,-0.00038153-0.00022818i,-0.00037227+1.2816e-05i,-0.00016399+1.1491e-05i,0.00056675+8.9732e-05i,0.00058898+3.0562e-05i,-0.00013963+0.00038243i,-0.00022295+0.00094001i
-0.00073157+0.0010888i,-0.00073056+0.0016723i,0.00012633+0.0015199i,0.001228+0.00061831i,0.0016009+0.00055027i,0.0010963+0.0011561i,0.00048211+0.00096613i,-4.9285e-05+0.00056915i,-0.00011012+0.00035001i,1.1944e-05+0.00013138i,-0.00036466-0.00014909i,-0.0010942-0.00012299i,-0.00038134+0.00070901i,0.00081638+0.0007722i,0.00059767+0.00034937i,0.00017231+0.00049654i,0.00046964+0.00016656i,0.00030313+0.00045395i,5.8906e-05+0.00090197i,0.00046424+0.001021i,0.00098028+0.0013031i,0.00081665+0.0014794i,0.00030539+0.00083954i
0.00076161-0.00011804i,4.7002e-05-0.00059731i,-0.00053642-0.00051718i,-0.00082896-0.00014996i,-0.0005157-0.00058455i,-0.00038888+3.0264e-05i,-0.00032139+0.0013573i,-0.00029769+0.0013756i,-0.00017844+0.00054997i,0.0002583+0.00010383i,3.7788e-05-0.00060031i,-9.7849e-05-0.0012053i,-0.00032657-0.00081687i,-0.0012492-0.00037863i,-0.0014338-0.00029154i,-0.00051404-0.00033667i,0.00012469-0.00065891i,0.00043803-0.00037711i,0.00086671+0.00028101i,0.00079491+0.00018039i,-4.3971e-06+6.3198e-05i,-0.0011661+0.0003623i,-0.0017462-3.7768e-05i
-0.0010881+0.001696i,-0.001269+0.0007385i,-0.00072118+0.0011888i,0.00011933+0.0017467i,0.00036395+0.0014498i,-0.00019668+0.0015505i,-9.4871e-05+0.0010144i,-6.0253e-05+0.00035029i,-0.00036453+0.0005705i,0.0003382+0.00027672i,0.0010837+0.00020481i,0.0008182+0.00026798i,0.00014598+0.00040198i,-9.3112e-05+0.00021921i,-0.00087435-0.00017278i,-0.0010604-0.00011354i,-0.00075341-0.00015384i,-0.00051798-0.00026516i,-0.00023081-1.3719e-05i,-2.4467e-06+0.00045096i,-9.784e-05+0.00067702i,-9.5645e-05+0.00058298i,0.00058496+0.00029445i
0.0010369-0.00050987i,0.00023323+0.00013307i,0.0004892-0.0002929i,0.00011699-0.00097852i,-0.00049017-0.00037407i,-0.00070668+0.00027761i,-3.4638e-05+0.00019308i,0.00054372+0.00041889i,0.00087204+0.00034916i,0.00057297-0.00013476i,0.00045132-0.00044327i,0.00083391-0.00041459i,0.00061297+0.00073617i,-0.00013535+0.0011971i,-0.00050513+0.0010502i,0.00054636+0.00079833i,0.00064784+0.00074384i,4.9095e-05+0.00011462i,-2.2968e-05-0.0010617i,0.00037186-0.00022142i,0.00075447+4.9274e-05i,0.00049615-0.00033633i,0.00032489+0.00031585i
0.0015602-0.00027942i,0.00057638-0.0011316i,-0.00021204-0.0007853i,-0.00057605-0.00048481i,-0.0008589+4.4437e-05i,-0.001645+0.00012745i,-0.0011923+0.00084554i,-0.00029269+0.00098443i,-0.00069246+0.00020186i,-0.000232-0.00063694i,0.0006015-0.0010301i,0.00012489-0.00073085i,-8.496e-06-0.0012656i,-0.00054283-0.0012242i,-0.0011532-0.0002961i,-0.00032034-7.5557e-05i,0.00016326+0.00033326i,-0.00018724+0.00072075i,0.00047407-1.9287e-05i,0.0014332-5.6002e-06i,0.00036599+0.00037667i,0.00029014+0.00022479i,0.0010074+0.00022793i
-0.001437+0.0024125i,-0.0012913+0.0023791i,-0.001043+0.0016017i,-0.00070301+0.00070897i,-0.00054254+0.00015733i,2.698e-05-0.00015207i,0.00021372+0.00035787i,-0.00040684+0.00054218i,-0.00052735+5.9205e-05i,0.00015666-6.1716e-05i,0.00087672+0.00037691i,0.0010441+0.0003174i,0.00095496-0.00040328i,0.00059628-0.00072487i,0.00055091-0.0011616i,-0.00039198-0.0017519i,-0.0014144-0.0011252i,-0.0003478-0.0003376i,0.00097955+1.4344e-05i,0.0011155-0.00029287i,0.00077735-0.00033656i,0.00035253+0.00015383i,-2.9974e-05+1.3386e-05i
-0.00245-0.0012933i,-0.0010811-0.0010068i,0.00038609-2.4343e-05i,0.00076861+2.2526e-05i,3.8154e-05-0.00047426i,-0.00024764+0.00024441i,0.00052852+0.00038593i,0.00098906-1.2486e-05i,0.00055919+0.00016186i,-5.758e-05+0.0012136i,-0.00028323+0.00056398i,0.00034759-0.00051512i,0.00066625+0.0002446i,0.00091001+0.00046271i,0.00066585-9.566e-05i,0.00061286-0.00045663i,0.00090421-0.00024267i,0.00057389+0.0002666i,0.00055719+0.00046238i,0.00052858-0.00031108i,0.0004153-0.0011897i,0.00049515-0.00092769i,0.00022718+0.00050116i
-0.0020975-0.0026991i,-0.0032107-0.0021712i,-0.0030516-0.0013735i,-0.0019527-0.00059062i,-0.0017565-0.00094461i,-0.0013669-0.00016853i,-0.0010321+0.001139i,6.3029e-05+0.00069215i,0.0012909-0.0001777i,0.00071769-0.00033392i,0.00015123-5.2693e-05i,0.00032175-0.00017028i,0.00021585-0.00013595i,9.0079e-06-0.00015383i,-0.00033233+0.00016293i,-0.00031062+0.00023886i,-0.00024576+9.556e-05i,-0.00057634+8.8581e-05i,-0.00087752+0.00037264i,-0.00058116+0.0007783i,-0.00071024+0.00016616i,-0.0011309-0.00038443i,-0.00050239+0.00052943i
0.0018209+0.0013901i,0.00065541+0.0028277i,0.00051216+0.0022091i,0.00070556+0.00075577i,0.00028781-8.4125e-05i,-0.00042897+0.00050174i,-0.00061689+0.00087562i,-0.00047464+0.00074196i,0.00010099+0.00013429i,0.00055183-0.00070984i,0.0006981-0.00062554i,0.00063897-0.00041053i,-0.00025684-0.00021601i,-0.00040381+0.00016215i,0.0002488-0.0007457i,0.00024681-0.0018245i,0.00026135-0.0010457i,0.00018975-0.00045991i,0.00044411-0.00045905i,0.00042356-0.00052434i,0.00043969-0.00059155i,0.0008818-0.00017572i,0.00067202+0.00039022i
0.00014006-0.0012013i,0.00027171-0.0016786i,0.00019033-0.00035462i,-9.0968e-05+0.00062645i,-6.3018e-05+0.00070918i,0.00045893+0.00021942i,1.1987e-05+0.00042961i,-0.00020402+0.00021576i,0.00040476-0.00057644i,0.00025883-0.00045223i,0.00040784-6.8547e-05i,0.0009612-0.00021196i,0.00085736-0.0002236i,0.00060223-0.00044998i,0.00015795-0.00039356i,-0.00020352+1.8482e-05i,-7.5793e-05-0.00048363i,-4.9292e-06-0.00049496i,-8.7655e-05+7.899e-05i,-0.0001438+0.0005167i,-4.3308e-06+0.00076951i,0.00043634+0.0008938i,0.000233+0.00076902i
-0.0010601+0.0023154i,-0.001362+0.0017244i,-0.00087867+0.0019324i,-0.00025606+0.0017979i,0.00011739+0.0011193i,9.8621e-05+0.00057109i,0.00017822+0.00089339i,-0.00049023+0.00070084i,-0.00060299+0.0004316i,1.3701e-05+0.00059167i,0.00012766+0.00049452i,5.4915e-05+0.00017362i,-0.0005445-0.00036309i,-0.0011402-0.00023987i,-0.00080517-0.00035795i,0.00034385-0.00029784i,0.00044799-0.00040674i,-6.7046e-05-0.00078404i,0.00011448-0.00031892i,-0.00019372-0.0001331i,-0.00072992-0.00027301i,-0.0008968-0.0006373i,-0.00059213-0.00091075i
-0.0015114+0.00052146i,-0.0016426+0.00099638i,-0.0013592+0.0015623i,-0.00059196+0.0014181i,-0.00047645+0.0012287i,-0.00035141+0.0012675i,-0.00019978+0.00037594i,5.8066e-05-0.00042477i,-0.00033145-8.5397e-05i,-0.00045947+0.00059566i,-0.000184+0.00067643i,-0.00044398+0.00023451i,0.0002739-0.00041659i,0.0010441+0.00044955i,0.0004074+0.0011941i,-0.00068895+0.00081658i,-0.00039837+0.00026673i,1.8627e-05+0.00010149i,0.00044962+0.00028706i,0.00016173+0.00021929i,-0.00030311+2.2691e-05i,7.1437e-05+0.00036833i,4.8335e-05+0.00084981i
-0.0024431-0.00057216i,-0.0023609+5.6027e-05i,-0.0016732+0.000622i,-0.0012629+0.00013872i,-0.00066583-0.00012145i,-2.5131e-05+0.00034726i,0.00039517+1.8588e-05i,0.00011201-8.1776e-05i,-5.8364e-05-8.3484e-05i,0.00053841+0.00028153i,0.00079635+0.0002807i,0.00042452+0.00020056i,0.0001829+0.00030559i,0.00043001-3.1647e-05i,-0.00017898-0.0003274i,-8.3836e-05-0.00084657i,0.00071656-0.00091676i,0.00014301-0.00082053i,-0.00081751-0.00089894i,-0.00032076-0.0003627i,0.00052626+0.00012729i,0.0001092+0.0004418i,-0.00017582+0.00028134i
-0.0019175+0.00015419i,-0.0010467+0.0014053i,-0.00013267+0.0019141i,0.00066909+0.0012449i,0.0012175+2.9496e-05i,0.0010038-0.0010461i,0.00023374-0.00070795i,-0.00031609+0.000101i,0.00010161+0.00072017i,0.00049946+0.00085872i,0.0002646+0.0004845i,0.00036554-0.00033895i,0.00039412-0.0012241i,-0.00057914-0.0011355i,-0.0011249-0.00076884i,-0.00097932-0.00050153i,-0.0009044-0.00017303i,-0.00034132+5.031e-05i,-0.00014587+0.00055785i,-0.00034673+0.00079988i,-0.00026967+0.00062052i,-0.00039812+0.00011153i,-0.00026427-0.00061042i
-8.8352e-05-0.00049484i,-5.6515e-05-6.8802e-06i,0.00035958+0.00054446i,0.00076976+0.0008867i,9.8033e-05+0.00060684i,-0.0012348+0.000107i,-0.0012051+0.00061939i,-0.00098964+0.0004301i,-0.0010081-0.00030191i,-0.00046435-0.00034899i,-0.00038669+0.0002061i,-0.0010996+0.00078077i,-0.00070118+0.00080407i,-0.00016862+0.00050352i,-0.00045894-0.00041458i,-0.00085164-0.00080095i,-0.00049046-0.00083612i,4.0765e-05-0.00096045i,1.8821e-05-0.00076207i,0.00036341-0.00052827i,0.00096235-0.00027256i,0.00054414-4.8282e-05i,-0.00023109+5.875e-05i
-0.00078171+0.0011536i,-0.00059289+0.0024324i,-0.00053725+0.002658i,-0.00062257+0.0016381i,6.1059e-05+0.00086852i,0.00055479+0.0011042i,0.00098138+0.00077721i,0.0014881-0.00013179i,0.0011228-0.00026995i,2.5653e-05-0.00031325i,-0.00068152-0.00035653i,-2.6603e-05-0.00057926i,0.00043082-0.0009547i,0.00071922-0.0011419i,0.00039687-0.00058275i,-0.00078234-0.00023026i,-0.00083235+0.00031308i,4.0077e-05+5.985e-05i,0.00063083-0.00049208i,5.804e-05+3.5975e-05i,-0.00069543-0.00013835i,-0.00041657-0.00070108i,0.00011256-0.00064408i
-0.0012429+0.0012894i,-0.00044432+0.0018791i,0.0010247+0.001841i,0.00098185+0.0010862i,6.35e-05+0.00079356i,-0.00093797+0.0001958i,-0.0011435+0.00037788i,-0.00018926+0.0010073i,-4.4922e-05+0.00042855i,0.0002615-0.0010538i,0.0011147-0.0012274i,0.00087516-0.00030153i,5.7825e-05-0.00024284i,-0.00012011-0.00075198i,-0.00020558-0.0005646i,-0.00050968+0.0001628i,-0.00063991+0.0005147i,-0.00038756+0.00038286i,-6.6405e-05+0.00011694i,0.00041055+0.00026823i,0.0011938+0.00060814i,0.00070244+0.001127i,-1.6123e-06+0.00016027i
-0.00077369-0.0013607i,-0.0017545-0.00043401i,-0.0026275+0.0010435i,-0.0016952+0.00070206i,-0.0005771-0.00022855i,-0.00024558+0.00038364i,0.00024823+0.00065116i,0.0013376+0.00025327i,0.0011537+0.00042676i,0.0004893+0.00022287i,0.0001733+0.00033954i,0.00015498+0.00067955i,0.00041713+0.00039873i,0.00059046+0.0002232i,0.00043564+0.00056622i,0.00062229+0.0011108i,0.00035602+4.7574e-06i,-0.000484-0.0011717i,-0.0008889-0.00017693i,-0.00091626+0.00070519i,-0.0010561+0.00054453i,-0.00084273+0.00022484i,-0.00055562+0.00047391i
-0.0015186-0.0013644i,-0.0024702-0.0011823i,-0.0022301-0.00039991i,-0.0015013+6.0057e-05i,-0.0012077+0.0011625i,-0.00039718+0.0018572i,0.0012012+0.0011037i,0.0014976+0.00062292i,0.00084714-0.0001087i,0.00038385+8.0007e-06i,-0.00015253+0.00047116i,-0.00070612+0.00052463i,-0.0002012+0.00069533i,0.00056034+0.00035401i,0.00053648+0.0001563i,0.00089107-0.00024313i,0.00090117-0.00059878i,6.9627e-05-0.00030846i,-1.6376e-05-0.00051175i,0.00042836-0.0011593i,0.00027819-0.00054207i,6.2049e-05-2.2523e-05i,0.00062805-0.00038011i
