-0.00099468+0.0011518i,-0.00068774+0.00031205i,-0.0015758+0.0010156i,-0.0007942+0.0015921i,-6.2757e-05+0.001699i,-0.00046317+0.0014145i,-0.0008362+0.00094393i,1.3471e-05+0.0010585i,0.0010438+0.00081725i,0.00058416-6.9106e-05i,0.00041151-0.00046323i,0.00039711+0.00019312i,-9.96e-05+0.00077718i,-0.0001047+0.00062168i,0.00024137+0.00072742i,-0.00034204+0.00022036i,-0.00047673+0.00022917i,-0.00013341+0.0011931i,-0.00025781+0.0010071i,-0.00013313+2.7632e-05i,0.00030584-0.00056808i,-0.00035959-0.00056122i,-0.0010816-0.00043287i
0.0002869-0.00091843i,0.00021155-0.0015508i,0.00046785-0.0011823i,0.00051886-0.00087057i,0.00088072-0.0003511i,0.001283-0.00024793i,0.00025582-0.00052247i,-0.00071573-0.0005094i,-0.0010108-0.00079285i,-0.00067146-0.00064028i,-0.00057212+0.000374i,-0.0001738+0.00081101i,0.00028474+0.00099983i,-0.00052775+0.00077036i,-0.0010692-0.00025909i,-0.00032351+0.00013223i,-0.00013059+0.00065649i,-8.7998e-05+0.00077752i,0.00034935+0.00019902i,-0.00025827+0.00012403i,-0.00043855+1.1392e-06i,0.00029362-0.00041695i,0.00068235-0.000215i
-0.0012729-0.00065274i,-0.0012034-0.00083932i,-0.0011978-0.00012757i,-0.00090425+0.0013463i,-0.00035468+0.00074383i,0.00011906-0.0009256i,0.00011157-0.00043863i,-0.00011742+0.00031055i,-4.9829e-05-5.4055e-07i,-0.00055861-0.00012725i,-0.00083628+0.00039052i,-0.00016011+0.00075032i,0.00033876+0.00089317i,-1.2579e-05+0.00072379i,0.00037372-0.00015178i,0.00095124-0.00078971i,0.00065929-0.00039875i,0.0010167+0.00066701i,0.0012599+0.0007236i,0.000744+0.00043595i,3.2557e-05+0.00030854i,-0.00097347+0.00016443i,-0.00067836-6.2074e-05i
0.0012028+0.0028197i,0.0019528+0.0019286i,0.0021478+0.0016292i,0.0025514+0.0001341i,0.0020174-0.00056999i,0.00046733-0.00037862i,6.1447e-05-0.00058829i,0.00018544-0.0002832i,-0.0002726-0.00077122i,-0.0010182-0.0014742i,-0.0013612-0.0006498i,-0.00091272-0.00072219i,-0.00070101-0.00090011i,-0.00060173-0.00067497i,-8.3762e-05-5.6056e-05i,2.2887e-05+0.00024411i,-0.00018641+5.7135e-05i,0.00012544+0.0011844i,9.131e-05+0.0017891i,-0.0010606+0.00086795i,-0.0010106+0.00025352i,-0.00061577+0.00015303i,-0.00061846-0.00030761i
-0.00050844-2.1814e-05i,0.00050475-0.00029336i,0.0011255-0.00050192i,0.00099346-0.00062628i,0.00047014-0.00084253i,-0.00013161-0.00030374i,-0.00062956+0.00074736i,3.0942e-05+0.0009423i,0.00060336-0.00012128i,1.8079e-05-0.00018725i,-0.00029668+0.00055636i,-0.00030116+0.0003672i,-4.4823e-05+0.00033044i,0.00052499+0.0003674i,0.00038534+0.00046468i,-0.00035771+0.00017534i,0.00011408+7.3669e-05i,0.0012721+0.0002257i,0.00083254+0.00042i,-0.00013488+0.00030437i,0.00021715+3.4529e-05i,0.00092626+0.00052272i,0.00072071+0.00050684i
-2.0483e-05-4.0677e-05i,-9.7394e-05+0.00049904i,-6.0531e-05+0.0012997i,-0.00027238+0.0011499i,-0.00055442+0.00085391i,0.00012764+0.00089741i,0.00059441+0.00024297i,0.00083798-0.00044293i,0.0006302-0.00046572i,-0.00060486-0.00042512i,-0.00040951+0.00062153i,0.00088771+0.0013693i,0.0010753+0.00078656i,0.00032781+0.00074218i,-0.00018275+0.0002567i,0.00023275+0.00019835i,0.00057158+0.00082762i,0.00010669+0.00062093i,-0.00015552+0.00050025i,0.00037177+0.00027151i,0.0008122+0.00043702i,0.00045512+0.0011623i,0.00016762+0.0016645i
0.0010654+0.00036187i,0.0015522-6.9797e-05i,0.0018848-0.00012727i,0.002052-0.00013799i,0.00138-0.00070675i,0.00025149-0.0011422i,-0.00055065-0.00067954i,-0.0015549+0.00011623i,-0.001085-5.8702e-05i,-0.00018072-0.00038159i,-0.00021817-0.00018496i,-0.00045244+0.00066144i,-0.00061976+0.0010763i,0.00017442+0.0014885i,0.00049427+0.0009442i,-3.5761e-05+0.00028532i,-0.00044298+0.00085369i,-6.9917e-05+0.00024722i,0.00047051-0.00027594i,0.0007371+0.00047824i,0.000468+0.00058414i,0.00014413-0.00035895i,0.0002074-0.0006958i
-0.0017101+0.00094947i,-0.00027842+0.0011078i,0.00021863+0.0011174i,-0.00024585+0.00092289i,0.00056356+0.00087886i,0.0015354+0.0016726i,0.00088965+0.0012705i,0.00030486+0.00034142i,9.9329e-05+7.9086e-05i,6.7019e-05-0.00059338i,0.00063386-0.00069616i,0.00043805-0.00020028i,-0.00033975+3.0979e-05i,-0.00095223+0.00011174i,-0.00084524+1.8234e-05i,-0.00028913-0.00014109i,0.00013195+0.00028056i,0.0004247+0.00072797i,0.00067831-4.806e-05i,0.00037517-0.0002995i,-4.6071e-05-0.00021415i,-0.00078479-0.00042608i,-0.00078117+0.00071865i
-0.00082102+0.00036637i,-0.00021834+0.00037146i,-0.00054928-8.9138e-05i,9.3368e-05-0.0001715i,0.00064561+3.3769e-05i,0.00058108-0.00010285i,0.00034134-0.00045875i,5.288e-05-0.00062926i,-0.00022596-0.00069883i,0.00016051-0.00028957i,0.00072649+0.00017481i,0.00033117+0.00015772i,-0.00051708-0.00017001i,-0.0002985-0.00067821i,9.8972e-06-0.00079548i,-0.00022182-3.8113e-05i,0.00029371+0.00028573i,0.00056102+2.8002e-05i,0.00017225+0.00011859i,0.00035535+1.8042e-05i,-0.00015123+0.00046568i,-0.0012278+0.00058805i,-0.0011512+0.00055615i
0.00072807-0.0010211i,0.00085885-0.00064418i,0.0014873-0.0011036i,0.0012685-0.00064545i,0.00073509+0.00046315i,0.0008218+0.0005117i,0.00065159+0.00029585i,0.00058499+3.1964e-05i,0.00010401-0.00036566i,-0.00072902-0.00089038i,-0.0011626-0.00035718i,-0.0013348+0.0010931i,-0.00081538+0.0011006i,-0.00039888+0.00062108i,5.0335e-05+0.00047066i,0.00011559-0.00026759i,-6.6881e-05-0.00049157i,-8.3196e-05-0.00027278i,0.00025666+2.6563e-05i,0.00075515-0.00012632i,0.00067668+0.00013448i,9.7314e-05+0.00047232i,0.00018611+0.00027252i
0.0024015-0.00076951i,0.0017543-6.2535e-06i,0.00079808+7.999e-05i,0.0012057-0.00037447i,0.0013169-0.00060768i,0.00021693-0.00089847i,0.00029148-0.0010267i,0.00066333-0.0010961i,-0.0004337-0.00086204i,-0.0011859-0.0010127i,-0.00098237-0.00050941i,-0.00060686+0.00049227i,-0.00047326+8.363e-05i,-0.00041055-0.00044766i,-0.00029678+0.00014103i,-0.00033763+0.00050392i,-0.00026687-4.4953e-05i,0.00019599-0.00011231i,0.00082787+0.0001092i,0.001182+0.00035286i,0.0010009+0.00011714i,0.00048995-0.00014682i,0.00012303-0.00029628i
