-0.0021892-0.0024327i,-0.003469-0.0042136i,-0.0032656-0.0037917i,-0.0027829-0.0031676i,-0.0026176-0.0021195i,-0.0019419-0.00031724i,-0.00067748+0.00073262i,0.00044118+0.001597i,0.0009076+0.00155i,0.00048927+0.00066869i,0.0001612-8.868e-05i,0.0003912+0.00020194i,0.00087546+0.00024433i,0.0015452+0.00065385i,0.0014996+0.0012609i,0.0010567+0.0014628i,0.00063179+0.00080271i,2.6569e-05+0.00019225i,-0.00022148-6.9253e-05i,0.0001966+5.1142e-05i,-2.3336e-05-3.6581e-05i,8.7431e-05+0.0002206i,0.00081838-4.7338e-06i
0.00011046+0.0013606i,0.00041513+0.00062608i,0.0010993-0.00022985i,0.0015928-0.0018018i,0.0013948-0.002324i,0.00042125-0.0014805i,-0.00036071-0.00085056i,-0.00056441-0.00065818i,-0.00048302-0.00094433i,0.000392-0.0007972i,0.00064088-5.3721e-05i,0.0002637+0.00025131i,0.00029943+4.5956e-05i,0.00053349+0.00017656i,0.00043447+0.00048133i,0.00018168+0.0002168i,-5.9759e-05+7.16e-05i,0.00011321-5.2593e-05i,0.00017221-0.00075769i,0.00013535-0.00091545i,-3.9418e-05-4.095e-05i,-0.00026887+0.00023648i,-4.4664e-05-0.00053142i
-0.00027535+0.0016418i,0.00022971+0.00048589i,0.00084039-0.00049627i,0.0017459-0.0012624i,0.0015375-0.001356i,0.0010519-0.0011718i,0.00064098-0.00047096i,0.0002037-3.4858e-05i,0.0002665+0.00055933i,-0.00026279+0.00071279i,-0.00058473+0.00018637i,-0.00054257+0.00028617i,-0.00063841+0.00011144i,-0.0003038+4.237e-05i,4.3932e-06-0.00024346i,0.00023246+0.00024981i,0.00016438+0.00035011i,2.6944e-05-0.00015111i,0.00029717+6.1419e-05i,0.00044895+0.00017775i,9.426e-05+9.3294e-05i,-0.00055799+0.00021611i,-0.0012322-7.6102e-05i
0.0016242-0.0016943i,0.00082437-0.0020753i,-0.00063372-0.0019634i,-0.00097819-0.0017392i,-0.00018543-0.0011449i,1.6606e-05-2.914e-05i,7.7069e-05+0.00036952i,-0.00025508+7.6828e-05i,-0.00080613-0.00041155i,-0.00064471-0.00031836i,-0.00083363-0.00013603i,-0.0012672-0.00038899i,-0.0014836+0.00042782i,-0.00072431+0.00066779i,0.00011461-0.00032508i,0.0005726-0.00047276i,0.0010521-0.00035987i,0.0001175+0.00016262i,-0.000659+0.00013425i,0.00034801-0.00067171i,0.00069512-0.00062327i,0.00032979-3.989e-05i,-6.43e-06+2.6341e-05i
-0.00079118-0.0017874i,-0.0018037-0.0015256i,-0.0017492-0.0012367i,-0.0009605-0.00026056i,-0.00062601+0.00029322i,-0.00031902-0.00034578i,-0.00020902-0.00059293i,-8.0127e-05-0.00022518i,-0.0002055+0.00043594i,-0.00061308+0.0010199i,-0.00055906+0.0011099i,0.00024985+0.00041881i,0.0010539-5.8742e-05i,0.00092511+0.00026517i,0.00025673+0.00070126i,0.00016113+0.00082628i,5.8856e-05+0.00043441i,0.00010613+8.8962e-05i,0.00047546-0.00034042i,3.872e-05-0.00014754i,-0.00034411+0.00021016i,9.3703e-05+0.00030304i,0.00019005+0.00054628i
0.0012161+0.0011809i,0.002797+0.00083629i,0.0032903+0.00073634i,0.0015951-6.8548e-05i,0.00055868-0.00087681i,-0.00028456-0.00066783i,-0.00063866-0.00027702i,6.7206e-05-0.00023981i,0.00046417-0.0003936i,0.00031786-0.00049006i,0.00016138-0.00056147i,0.0004144-0.00057382i,0.00085411-0.00042953i,0.00035135-0.00046594i,-0.00015381-0.00029194i,0.00032689-0.00029784i,0.00022468+0.00045088i,-0.00019231+0.00080594i,0.0001115+0.00093838i,4.9884e-06+0.00066826i,-9.9645e-05-0.00065556i,0.00036173-0.00089647i,0.00056802+0.00072602i
0.00078628+0.00063509i,0.00063965+0.0005038i,0.00051537+0.0002799i,0.00012904-0.0010736i,-0.00082149-0.0016469i,-0.00076198-0.0019935i,-0.00054492-0.0021047i,-0.00035339-0.00098498i,0.00058096+2.3379e-05i,0.00094331+0.00056325i,0.00024884+0.00079002i,4.4585e-05+0.00053231i,0.00053936+8.7813e-07i,0.00035336-0.00044899i,9.1919e-05-0.00077026i,0.00032612-0.0007751i,0.00024952-0.00052839i,0.0004233-0.00057008i,0.00032803-0.00020296i,-0.00013909-0.00041889i,0.00018342-0.00052231i,-4.1341e-05-0.00017127i,-0.00077012-0.00037634i
0.00063169-0.0011669i,0.00030419-0.00033514i,0.00071018+0.00060542i,0.00079202-0.00038173i,0.0012412-0.0012803i,0.00066631-0.00084747i,0.00032809-0.0002576i,0.00035424-0.0002018i,-0.00014577-0.00049287i,0.00025822-0.00046389i,0.00045288+0.00039677i,-0.00020559+0.00077717i,7.1461e-05+0.00076976i,9.6346e-05+0.0011305i,-0.00059949+0.0011665i,-0.0012226+0.0010728i,-0.00088067+0.00021986i,0.00037193-0.00026881i,5.4627e-05+0.00076128i,-0.00040556+0.00099227i,0.00057962-0.0001993i,0.0010011-0.00085767i,0.00037685-0.00045032i
0.0017179-0.0013056i,0.0016192-0.0028386i,0.00089934-0.0041074i,0.0002701-0.0035828i,-0.0001969-0.0022467i,-0.00051868-0.0011674i,-0.00080173-0.00016597i,-0.00069064+0.0008338i,-0.0005508+0.00059782i,-0.00023155-0.00037918i,0.00041165-0.00066388i,9.6727e-06-0.0005097i,-1.1839e-05-0.00054092i,0.00011463-0.00048848i,0.00040356-0.0010287i,0.00019998-0.00092889i,-0.00017086-0.00013838i,-3.9932e-05+0.00016054i,-4.0103e-05-0.00014046i,-0.00010976+0.0002924i,-0.00017865+0.0011597i,0.00011106+0.000263i,-0.00018707-0.0011114i
0.00020172-0.0028145i,-0.00064121-0.0032186i,-0.0024926-0.0014618i,-0.0030119-2.0644e-05i,-0.0012182+0.00013985i,0.00034984-7.3676e-05i,0.00044172-0.00019189i,0.00027984-4.6803e-05i,-7.4991e-05+0.00015397i,0.00012179-9.1719e-05i,0.00025174-3.4442e-05i,-0.00044749+0.00035983i,-0.00053207+0.00095133i,-0.00092655+0.00099844i,-0.00047336-3.2676e-05i,0.0011921-0.0012115i,0.0009613-0.0010464i,-0.00011222-0.00036392i,-0.00031714-0.00015379i,-6.8635e-05+5.2906e-05i,1.6333e-05+0.00034282i,-0.00012305+0.00013157i,-0.00013512-0.00027848i
0.001212+0.00041275i,0.0017486-0.00095706i,0.003343-0.0012409i,0.0032091-0.0017241i,0.0012807-0.0020331i,-0.00010403-0.001438i,-9.5176e-05-0.001119i,-0.00063532-0.00058204i,-0.00056143-0.00036673i,-0.00019632-9.5958e-05i,-0.00011228+0.00052747i,-0.00043237+0.00012451i,-5.9609e-05+1.6344e-05i,0.00051719+0.00014651i,0.00049057-0.00072409i,0.00069573-0.0012388i,0.0010613-0.0002772i,0.0010488+0.00044568i,0.00053365+0.00029181i,-4.7931e-05+0.00028668i,-7.2025e-05+0.00057257i,0.00015743+2.5988e-05i,0.00072765-0.00021392i
0.00081451-0.0002265i,0.00087574-0.0002639i,0.00066296-0.00051514i,0.0005817-0.00032831i,2.7949e-05-0.00044121i,-0.00068421-0.00088884i,-0.00036749-0.00057264i,0.00042922+0.00035469i,0.00059978+0.00055356i,0.00019605+0.00060079i,0.0002588+0.00084075i,0.00066129+0.00062829i,0.00059299+0.00038074i,0.0009361-0.00028639i,0.0014907-0.00040038i,0.001146-0.00013864i,0.00057231-0.00011902i,-0.0001178-0.0003278i,-0.00061482-0.00061619i,-0.00054197+0.00027316i,-0.00076821+0.00072833i,-0.000647+0.0003982i,-0.00061283+0.00066549i
0.00025274-0.0015395i,-7.2884e-05-0.0012781i,-0.00027344-0.00049077i,-0.0003095-0.001117i,0.00026405-0.0019909i,0.0005084-0.0012382i,0.00013749-0.0011881i,-0.00027078-0.00064342i,-0.0010388-7.2819e-05i,-0.00088297-0.00027302i,0.00025718+4.2419e-05i,0.00044057+0.00013816i,0.0012331-9.4423e-05i,0.0016162+0.00033708i,0.00058979+0.00060151i,0.00025657-0.00016849i,0.00032274-0.001169i,0.001157-0.00068336i,0.00081072+0.00050862i,0.00044182+0.00073733i,0.00080954+0.00018738i,0.00045832-0.00068752i,-0.00035704-0.00068042i
-0.00043844+0.00016412i,-0.0003729+0.00060092i,-0.00035983-0.00018844i,-0.00091752-0.00080293i,-0.0013285-0.00081665i,-0.00095152-0.00068284i,-0.0013372-0.0008545i,-0.0012234-0.001143i,0.00013972-0.00074274i,0.00042324-0.00013102i,-0.00037528-7.5979e-05i,-0.00029476-0.00050328i,0.0002299-0.00057809i,-0.00010768-0.00025077i,-0.00026095-0.00025799i,-0.0003903-0.00091362i,-0.00053098-0.0013453i,0.00012725-0.0013945i,0.00061058-0.0013736i,0.00016831-0.00079892i,0.00017399+8.9752e-05i,0.00026857+0.00057078i,-0.00016629+0.00084335i
0.0021862-0.0025065i,0.0021098-0.0024091i,0.001227-0.0027057i,-0.00044921-0.0018514i,-0.00064147-0.0011942i,-0.00015552-0.00073973i,0.00023485-0.00045106i,0.00031452-0.00036463i,-2.0519e-06-0.00016599i,-0.00023217-0.00073261i,-0.00035559-0.00082432i,0.00015794+0.00037677i,0.0006847+0.0007877i,0.00049345+0.00039038i,-0.00020912+0.00060479i,-0.00032137+0.00050341i,0.00064667+0.00043618i,0.0010053+0.00076936i,0.00040783+0.00039724i,0.00059979-9.2304e-05i,0.00043749-0.00070846i,-0.00087129-0.00075586i,-0.001524+0.00024441i
-0.0016391-0.0003603i,-0.0015002-0.0011008i,-0.0023997-0.0010939i,-0.0013645-0.00033741i,0.00011936-0.00052156i,0.00030425-0.0016459i,-2.0818e-05-0.0017313i,-0.0010843-0.0014311i,-0.0015767-0.00064896i,-0.00076876+0.00021387i,0.00015295+0.00068698i,5.2594e-05+0.00032824i,-0.00013552-0.00030287i,0.0010595-0.0005262i,0.0020055-0.0005372i,0.00078544-0.00045195i,-0.00048522-0.00012936i,-0.00056539+0.00053939i,-0.00061129+0.00086675i,-0.00025609+0.00054644i,-0.00033712+5.226e-05i,-5.5113e-05+0.00049033i,6.4181e-05+0.0010251i
-0.0009135-0.00037318i,3.5518e-05-0.00015632i,0.0011558+0.0015064i,0.0014014+0.0014231i,0.0011285+0.00018956i,0.00088399-0.00047615i,-3.1388e-05-0.0011444i,-0.00090182-0.00038125i,-0.0012788-0.00010613i,-0.00023795-0.00026753i,0.00039622+0.00019665i,0.00041094-0.00041098i,0.000441-0.00068569i,-8.017e-05-9.1919e-05i,-1.9262e-05+0.00031052i,0.00056499-0.00015842i,-8.0463e-05-0.00063613i,-0.00028868-0.00058059i,6.6388e-05-0.00037301i,0.00020084+4.3638e-05i,0.00069656-0.00029238i,0.0011043-0.00029959i,0.00052678+0.00025367i
0.00022293+0.00063124i,0.00060514-0.0012514i,0.00094539-0.0022995i,0.00054826-0.0026755i,-0.00020677-0.0028518i,-0.00059455-0.0021881i,-0.0010398-0.00054416i,-0.0011584+0.0008086i,-0.00074748+0.0013849i,0.00029998+0.0011584i,0.00093301+0.00088153i,0.00052886+0.00026823i,-2.5458e-05-0.00020903i,0.00015057-0.00055369i,0.00061565-0.0012027i,-0.00013285-0.0014736i,-0.00075019-0.0006713i,1.8626e-05+0.00054008i,0.00071537+0.00020132i,0.00093499-0.00023505i,0.00049768+0.00045453i,0.000284-0.0001458i,0.00089586-5.1766e-05i
0.00083198-0.0026594i,-0.00019167-0.0028618i,-0.00078635-0.001837i,-0.0011208-0.0014944i,-0.0011987-0.0013487i,-0.0011833-0.00046248i,-0.0008478+0.00023825i,-0.00018635+8.5291e-05i,0.00014554-5.9076e-05i,-0.00017587+0.0002858i,-1.3272e-05+0.00023303i,0.00071908+4.0241e-05i,0.0010488+0.00084048i,0.00070222+0.0013411i,0.00053276+0.00016216i,0.0007836-0.00077549i,0.00029188-0.00049557i,-3.9358e-05+0.00051092i,0.00012147+0.00033251i,0.00012954-0.00022204i,0.00020943+0.00012375i,0.00022674+0.00044752i,0.00030556-8.2996e-07i
0.0012133+0.0026305i,0.0013476+0.0019483i,0.0018342+0.001329i,0.0016334+0.00054645i,0.0015224+4.9719e-05i,0.0011815+0.00013237i,-3.7545e-05-0.0003906i,-0.00074403-0.0006445i,-0.00025054-0.0002876i,-0.00020514+0.00017114i,0.00027726+0.00031591i,0.00021241-0.00019058i,-0.00043183-0.0009585i,7.0329e-05-0.00016937i,-2.7293e-05+0.00039366i,-0.00055036-0.00057697i,-0.00059318-0.00083007i,-0.00071475-4.504e-05i,-9.9559e-05+0.00031386i,0.00053744-0.00035271i,0.00037335-0.00048721i,-1.9248e-05-0.0001323i,0.00021867-0.00055774i
-0.0012575+0.0011817i,-0.00082832+0.00035847i,-0.00032054-9.6952e-05i,-0.0002965-0.00044261i,-9.4649e-06-0.00067682i,0.0003714-0.00087297i,-0.00022569-0.0011126i,-0.0012454-0.00093947i,-0.00075519-0.00024573i,-0.00021633+0.00058536i,0.00054959+0.00077399i,0.0011186+0.00026134i,0.00026745-0.00063296i,0.00053558-0.000694i,0.0014018-0.00018001i,0.00055929-0.00027733i,-0.00023199-0.00024478i,-0.00086885-0.00029237i,-0.00093819-0.00083781i,-0.00072457-0.00052854i,-0.00051286+0.00015216i,9.5984e-05+0.00054632i,5.8605e-05+0.0002089i
-0.0014027+0.0028547i,-5.5796e-05+0.0023108i,0.0011381+0.0014351i,0.001607+0.00025645i,0.0015014-0.00077625i,0.00014697-0.00096095i,-0.0005591-0.00057289i,-0.00045688+9.9773e-05i,-0.0001834+0.0010793i,-0.00025917+0.00086226i,-3.9836e-05+0.0001423i,0.00044364-6.5942e-05i,0.00073061-0.00026614i,0.00073151-0.00098905i,0.00031997-0.0014619i,-0.00015552-0.0012147i,5.8066e-05+0.00064127i,-0.00051206+0.0020227i,-0.0011773+0.0016517i,-0.00098532+0.00069606i,-0.00075783+0.00031331i,8.8219e-05+0.00023177i,0.00048463+0.00027645i
-0.00024474+0.00016055i,0.0011346+0.00081686i,0.0015173-0.00012205i,0.0009435-0.0011764i,0.00022263-0.0010832i,-0.00029008-0.00021699i,-0.00012661+0.00092629i,0.00012059+0.00062109i,0.000323+0.00037559i,-0.00014128+0.00034808i,-0.00038903+0.00036406i,0.0003481+0.00046458i,0.00080355+0.00024246i,0.00054955-0.00030138i,0.00050689-0.00057101i,0.00046171-0.00010167i,-0.00028075+0.00047689i,-0.00038582+0.00030589i,0.00010616+6.2036e-05i,7.8701e-05+0.00021167i,-0.0005592+0.00047286i,-0.00097957-6.1609e-05i,-0.00075614-5.965e-05i
3.1394e-05-0.00028743i,-0.00046616-0.00047334i,0.00032061-9.8887e-05i,0.00062999-0.00069256i,0.00061378-0.00091519i,-7.1579e-05-0.00039156i,-0.000565-0.00061501i,-5.1361e-05-0.00030371i,6.2264e-05+0.00011485i,-0.00013511+2.2863e-05i,-0.00029035+9.3872e-05i,-0.00078813-6.1628e-05i,-0.00083754-0.00042672i,-0.00020131-0.00075123i,-0.00030323-0.00039481i,0.00040657+0.00059507i,0.00088892+0.0002994i,0.00093709-0.00071679i,0.00117-0.00058475i,0.00081915+0.00056342i,0.00040174+0.0006233i,-0.00019988-0.00016514i,-0.0007277-0.00016474i
0.00097072+0.00030474i,0.0006466-0.0013008i,0.00044473-0.0023537i,0.0008075-0.0024699i,-0.00014415-0.0020828i,-0.0011776-0.0015534i,-0.0007566-0.00084746i,-0.00041979+0.00041408i,0.0003279+0.00046978i,0.001461-0.00054066i,0.00069741-0.00012333i,-0.00042769+0.0010358i,-0.00077306+0.00055008i,-0.00020816-0.00038685i,-6.0795e-05-0.00040566i,-0.00064685-0.00015797i,-0.00034163+7.7642e-05i,-0.00043312+0.00029131i,-0.001369+0.00033879i,-0.001441+0.00011458i,-0.00092204-7.0715e-05i,-0.00033848-0.00038082i,1.5969e-05-0.00015986i
0.0002839+0.00024262i,0.0002233+0.00082462i,0.00050878+0.0016967i,5.6939e-05+0.00088971i,9.028e-05-0.00051144i,-0.00044669-0.00084445i,-0.0011847-0.0011196i,-0.0012042-0.00019671i,-0.00079637+0.0006307i,-0.00021635+0.0005287i,0.00030688+0.00065456i,0.0010194+0.00062167i,0.001037+0.00018573i,0.00082568+0.00043394i,0.00093067+0.00076891i,0.00086566+0.00032206i,0.00053255-1.4203e-05i,0.00068013+0.00059832i,0.0007378+0.00058738i,0.00079486+0.00025028i,0.00054179+0.00012962i,0.00040689-0.00057092i,0.00098616-0.00073214i
0.00096414-0.00085489i,0.001645-0.0010257i,0.0016496-0.0015411i,0.0011873-0.0019685i,0.00077527-0.0019801i,-0.00040531-0.0016413i,-0.00016527-0.00022683i,0.00023572+0.00070668i,-0.00021995+0.00046392i,0.00069332-0.00028483i,0.0013984-0.00092731i,0.0004457-0.00032965i,0.0002121-0.00012479i,8.6129e-05-0.00071473i,-0.00067497-0.00030093i,-0.00058766-0.00042857i,-0.00050372-0.00034617i,-0.00085723+0.0006508i,-0.00072879+0.00067582i,-0.00024334+0.00053187i,-0.00080652+0.00033518i,-0.00091229-0.00013627i,-0.00039187-0.00053449i
-0.0019857+0.0010229i,-0.0028955+0.0022218i,-0.0024968+0.0023375i,-0.0007722+0.0016132i,-0.00012374+0.0006651i,1.4058e-05-0.00025844i,0.0001075-0.0011167i,-8.823e-05-0.0014227i,-0.00055052-0.00086361i,-0.00042416-0.00021884i,-0.00017465+0.00018502i,-0.00059366+0.00029054i,-0.00022028+0.00062448i,0.00089784+0.00089348i,0.0010543+0.00084692i,0.00041255+0.00027776i,0.00044363-0.00082054i,-0.00013869-0.00084734i,-0.00097718-0.0004516i,-0.00065547-0.00033131i,0.00019021-0.00018461i,-9.6702e-05-1.0767e-06i,-0.00023147-0.00028386i
0.0014623-6.7739e-05i,0.0018466-0.00080729i,0.0010189-0.0015823i,0.0004855-0.0016461i,-5.9869e-05-0.001066i,-7.2587e-05-0.00051504i,-6.9318e-05-0.00027583i,-7.502e-05-3.591e-05i,-0.0002931+0.00020254i,-0.0003643+0.00047046i,-5.4848e-05+0.00051892i,-0.00025688+0.0008414i,-0.0010423+0.0010208i,-0.00063378+0.00077767i,0.00036392+0.0006344i,0.0011148+0.00039113i,0.00026934+0.00022284i,-0.000758+0.00016171i,8.7415e-05+0.00038575i,0.00050226+7.348e-05i,-4.1721e-05-0.00037842i,-0.000458-0.00021434i,-0.00088228-0.00027876i
-0.0016632-0.0014882i,-0.0014096-0.0021875i,-0.0022558-0.001926i,-0.0020446-0.00074215i,5.531e-05+0.00014369i,0.0003322-0.00032916i,-0.00049465-0.0013073i,-0.00014295-0.0014915i,8.8416e-05-0.00083644i,-0.00038658-0.00016047i,-0.00045356+0.00072312i,-0.00031532+0.00076341i,-0.0002472-0.00024309i,-0.00042791-7.1382e-05i,-0.00031307-0.0003321i,1.5408e-05-0.00077122i,-0.00027493+0.00016061i,-0.00088049+0.00019517i,-0.00063498-0.00029315i,-4.5816e-05-0.00071713i,5.7817e-05-0.00036452i,0.0001343+0.00010734i,0.00064664+0.00049623i
0.001404-0.0011838i,0.0029051-0.0013957i,0.0024024-0.0011717i,0.0009453-0.0012479i,-0.00023725-0.0011607i,-0.0010617-0.00098535i,-0.000175-0.00080313i,0.00017859+0.00011083i,0.00011809+0.00055959i,0.00034324+0.00030681i,0.00033485+8.9761e-05i,0.00037236-5.2068e-05i,0.00073634+0.00028983i,0.00062403+0.00074139i,0.0004646+0.00071784i,0.00064292+5.5665e-05i,0.00044506-0.00053092i,0.00025156-0.00037272i,-0.00046536-0.00011674i,-1.0247e-05-0.00046082i,0.00064953-9.2151e-05i,0.00036898+0.00071626i,0.0002833+0.0005934i
0.00012375+0.0017873i,0.00070546+0.0018619i,0.0010696+0.00010023i,0.0012303-0.0014847i,0.00108-0.0013237i,0.00057118-0.0016888i,-0.00068922-0.0020707i,-0.00097753-0.00058861i,9.7014e-05+0.00046534i,0.00090078+3.2605e-05i,0.00078303-0.0008294i,-0.00016135-0.00058713i,-0.00082746+8.2346e-05i,-0.00082989-0.00022791i,-0.00040237-0.0013515i,-0.00027013-0.0013773i,-0.00040893-0.00097543i,-0.0003245-0.0010415i,-0.0006963-0.00070906i,-0.00086616-0.00082765i,-0.00015374-0.00083212i,0.00022435-0.00081733i,0.00057019-0.00053553i
0.00062053-0.00026418i,-0.00040597-0.0011043i,-0.0003301-0.0019119i,-0.0001071-0.0017178i,-0.00094534-0.00068382i,-0.00070086+0.0003945i,0.00023567+0.0002499i,0.00040344-4.168e-05i,0.00038274+5.9877e-05i,-0.00036504+0.00015288i,-0.00077653+0.00011762i,0.00031076-0.00071594i,0.00082009-0.00097348i,0.00043869-0.00025267i,0.00031519-0.00019418i,0.00030628-0.00036977i,-2.9177e-05-0.00011964i,-0.00065244+0.00023098i,-0.00045225+0.00033035i,-0.00038846+0.00038224i,-0.00021268+0.00044888i,0.00011779+0.00031068i,-0.0001651+0.00034049i
