-0.0011345+0.0011483i,-0.0011144-0.00049693i,-0.0012906-0.0017028i,-0.0014215-0.0012233i,-0.0014936-0.00028576i,-0.0021366+0.0014347i,-0.0020206+0.0026342i,-3.8932e-05+0.002511i,0.0010803+0.0014824i,0.00069757+0.00018565i,0.00041727-0.00041909i,-5.7472e-05-0.00023998i,9.0941e-05+2.9692e-05i,-0.00048041-0.00015745i,-0.0012745-0.00091187i,-7.021e-05-0.00057501i,0.00051117+0.00010704i,-0.00056983+1.2779e-05i,-0.00029131+0.00012315i,0.00049565+0.00044314i,0.00083147-2.3003e-06i,0.00065778-0.00027235i,7.3602e-05-0.00066898i
-0.00073394-0.00061784i,0.0002536+0.0005804i,0.00037477+0.00165i,6.8045e-05+0.00048616i,4.2083e-05-0.0017549i,-3.9743e-05-0.0030738i,-0.00033249-0.0025117i,-0.00078045-0.0015917i,-0.00072654-0.001053i,-0.00044524-0.00014672i,-0.00065692+0.0005699i,-0.00063137+0.00077089i,-0.00057515+0.00098947i,-0.00051089+0.00080558i,-0.00040691+9.0729e-05i,0.00051149+0.00014773i,0.00046648+0.00053782i,-5.025e-05-7.4317e-05i,-5.1743e-05-0.00059802i,0.00055285-0.00013928i,0.00041761+2.1911e-05i,0.00016053-8.5183e-05i,0.00011239+0.00039688i
-0.001119-0.0015192i,-0.0016082-0.0017115i,-0.0024235-0.00087428i,-0.0020351+5.0391e-05i,-0.0018966+0.00011135i,-0.0020717-0.00051278i,-0.001563-0.00047324i,-0.00089259+0.00044288i,-0.00037068+0.00068951i,-0.000278-5.1224e-05i,-0.0002159-0.00074527i,-0.00050803-0.00088295i,-0.00079759-0.0008884i,-0.00024168-0.00014129i,-0.00031343+0.00068262i,-0.001144+0.0012731i,-0.001244+0.00087638i,-0.00056642-7.739e-05i,0.00010919+0.00035431i,0.00056169+0.0011441i,0.00091717+0.0013042i,0.00017211+0.0010717i,-0.00073007+0.0004995i
-0.00058692+0.0026975i,7.442e-05+0.0028817i,0.00054497+0.0016198i,0.00030369+0.00020981i,-0.00016239-0.0006464i,-0.0012599-0.0012279i,-0.0023558-0.00081319i,-0.0019936-0.0003715i,-0.0006388-0.00089453i,0.00058163-0.0010494i,0.00062975-0.00061601i,0.00084764-0.00073174i,0.00053332-0.00070298i,-0.0011091-0.0014227i,-0.0019564-0.0026341i,-0.001887-0.0020992i,-0.0012463-0.0012689i,0.00035447-0.00018017i,0.00096223+7.1667e-05i,0.0010099-0.0003132i,0.001101-0.00046839i,0.00033709-4.0806e-05i,-0.00062903+0.00083913i
0.00093026+0.00055614i,-1.6158e-05+0.00059999i,-0.00023205+0.00028388i,-0.00024865-0.0004918i,3.6722e-06-0.0015991i,-0.00057311-0.002094i,-0.0015705-0.0015378i,-0.0010634-0.00025803i,-0.00029675+0.00045768i,-0.00032256+0.0005859i,0.00010611+0.00036148i,0.00075401+0.00086129i,0.00067927+0.00038008i,0.00093279-0.00094759i,0.00077216-0.0015961i,0.0010041-0.0020582i,0.001008-0.0013157i,0.00050462-0.00099642i,-6.4305e-05-0.00092083i,-0.00093338-0.00023794i,-0.0014546-0.00046206i,-0.00027873-0.0008816i,0.00081886-0.00046077i
0.0013088-0.0018367i,0.00031939-0.0014458i,-0.00061171-0.0010815i,-0.0021661+5.1286e-05i,-0.0025848+0.00068075i,-0.0023638+0.00042857i,-0.0016449+0.00045894i,-0.00025122+0.00045907i,0.00038175-0.00041616i,-0.0012517-0.00051243i,-0.0023376+0.00072314i,-0.0014009+0.0011371i,-0.00021419+0.0017884i,3.4654e-05+0.0027415i,0.00072639+0.0023515i,0.0012542+0.0013321i,0.00039115+0.00048792i,-0.00014153-0.00029231i,-0.00022187+8.4378e-05i,0.00092818-0.00020219i,0.0013464-0.00063636i,0.00046767-0.00057355i,-0.00039005-0.00056399i
-0.003103+0.00088241i,-0.0013329+0.00085585i,0.0015152+0.00052829i,0.002366-2.5859e-05i,0.00069112-0.0014142i,-0.00073376-0.0028686i,-0.0016734-0.0022435i,-0.0016615-0.00085021i,-0.0010965-0.00053001i,-0.00056289-0.00028681i,-0.00038573-0.00015447i,-0.0011685+3.1391e-06i,-0.0016636-0.00020656i,-0.0010133-0.00018919i,-0.00012629+0.00041398i,-0.00027359+0.00069114i,-1.7979e-05+0.00048652i,0.00059937+6.2856e-05i,0.00042426-0.00072333i,-0.00017092-0.00065907i,-0.00046503+0.0003001i,-0.00069881+0.00047003i,-0.00057916+0.00066319i
0.0014797-0.0017793i,0.0016559-0.0026965i,0.0011948-0.0031093i,-0.00040118-0.0015931i,-0.0014173-0.00033812i,-0.0018008-0.00047106i,-0.0018555-0.0011013i,-0.00067139-0.0012461i,0.0002807-0.00084401i,2.302e-05-0.00058097i,0.00021826-0.00047255i,-0.00068083-1.8348e-05i,-0.0022174+0.00044751i,-0.0023629+0.00052297i,-0.0023469+0.00015315i,-0.0017094-9.3408e-05i,-0.0007287-0.00043921i,-0.00078871-0.00018187i,-0.00075372+0.00059454i,-0.00028583+0.00063205i,-0.00031827+0.00050535i,-0.00039839+0.00043406i,-0.00034374+0.00028944i
0.00055819-0.00025581i,-0.00063949+0.0011274i,-0.0011829+0.0010322i,-0.0014725+0.00051237i,-0.002144-0.00051495i,-0.00235-0.0013297i,-0.0019781-0.00057663i,-0.00083696+0.00044031i,-0.0010832+9.8388e-05i,-0.0017399+3.5748e-05i,-0.00053735+0.00088752i,0.00063698+0.0005848i,0.00074978-0.0012352i,-0.00025614-0.0019871i,-0.0013917-0.0028691i,-0.00063014-0.0025923i,0.00040123-0.00090502i,8.8204e-05+0.00023448i,-0.00023023+0.00022747i,6.3969e-05+0.00032832i,0.00040494+0.00067449i,0.00034073+0.00013369i,-0.00047674+0.0001908i
0.00045552-0.00053047i,8.6908e-05+5.8944e-05i,-0.0013532+0.00031436i,-0.0016236+0.000254i,-0.00026886+0.00011116i,-0.00058-0.00069093i,-0.0008436-0.00081452i,9.0279e-05+1.8256e-05i,0.00011844+0.00043669i,-0.00068459+0.0010423i,-0.0004063+0.0016866i,0.00025755+0.0011956i,0.00046187+0.00010964i,0.00029036-0.00028601i,0.00053612-3.8089e-05i,0.00035847-0.00032457i,-0.00029393-0.00016295i,0.000198+0.00065687i,0.00085423+0.00062158i,0.00068896-3.1865e-05i,0.0003973-0.00010617i,-0.00044724+0.00025748i,-0.00084737-0.00026676i
-0.00029516-0.00045885i,0.00029535-4.2127e-05i,0.0011099-0.00065691i,0.00058176-0.00054729i,-0.001138-0.00094569i,-0.0014273-0.0010984i,-0.00074231-0.00027719i,-0.00025831+0.00035497i,-0.00032738+0.00075622i,-0.00088456+0.00076341i,-0.0011442+0.00036852i,-0.00056171+0.00021207i,0.00035191+0.0011698i,0.00099056+0.0016013i,0.0012468+0.0011136i,0.001549+0.00081803i,0.0007613-0.00015401i,0.00014665-0.00078305i,0.0006026-0.000393i,0.00075043+3.7598e-05i,0.00053768+0.00020474i,0.0004411+8.7924e-06i,0.00086964+5.2589e-05i
0.00022416-0.00011618i,0.00060668+0.0007714i,0.000851+6.5132e-05i,-0.00012057-0.00090528i,-0.0014922-0.0011265i,-0.0022316-0.00096961i,-0.0011321-0.00028642i,0.00012029+0.00057216i,0.00034943+0.00080395i,0.00026511+0.00080541i,-0.00011862+0.00050102i,-0.00060386-0.00018487i,-0.00090442+0.00041397i,-0.001034+0.0016499i,-0.0010379+0.0021145i,-0.00066472+0.00092935i,-5.0519e-05-0.00044342i,0.00016366-0.0006241i,9.2712e-05-0.0002373i,2.977e-05+0.00043955i,-0.00027193+0.0011761i,-3.6624e-05+0.001053i,0.00075703+0.00062866i
6.5611e-05-0.0034808i,0.00029631-0.0038167i,-0.00054882-0.0033943i,-0.0014085-0.0015565i,-0.0010442+0.00030838i,-0.00045349+0.00065426i,-0.0004261+0.00046431i,-0.000239+0.00041348i,0.00023515+0.00023328i,0.00045468+0.00026122i,0.00069592+0.00054727i,0.0001965+0.00045764i,-0.00083007+0.00041002i,-0.0021606+0.00036418i,-0.0010411-0.00059198i,0.00026802-0.00089833i,0.00028937-0.00045323i,-0.00011197-0.00061976i,-0.00064608-0.00056635i,-0.00017828-0.00019149i,-0.00028551+0.00036971i,-0.00036272+1.209e-05i,0.00027425-0.00060045i
-0.00013987+5.7468e-05i,-0.00072972+0.00025797i,-0.0021075+0.00063199i,-0.0030471+0.0005093i,-0.0028291-0.00040221i,-0.0025106-0.0013146i,-0.0015401-0.0015796i,-3.3562e-05-0.00060891i,0.00017085-0.00022491i,0.00014657-0.00015831i,0.0003735-0.00021095i,-0.00029001-0.0009291i,-0.00090602-0.0011346i,-0.0007732-0.0020905i,-0.00036461-0.0025387i,-3.6233e-05-0.0014909i,0.00037385-0.00068625i,0.00078534+0.00048861i,0.00054018+0.0012488i,1.1852e-05+0.00048158i,7.7143e-05-6.8717e-05i,-2.1219e-05+0.00016934i,0.00019124-0.00015358i
-0.00037414-0.0011352i,0.00075371+0.00056511i,0.0013879+0.00049439i,0.0013102+0.00039416i,-3.9401e-05-0.00053229i,-0.0017597-0.0018508i,-0.0015675-0.001363i,-0.00073487-0.00061279i,-0.00058253-0.00014512i,-0.00022559+0.00069514i,-0.00058474+0.00090532i,-0.00015093+2.3993e-05i,0.0012723-3.7253e-05i,0.0015087+0.00013751i,0.001548+2.754e-05i,0.0013304+0.00086572i,0.00058252+0.0012771i,0.00018986-0.00020395i,-0.00040207-0.00069855i,-0.00082013+0.00019279i,-0.00021104+0.00055581i,0.00016645+0.00035304i,2.6083e-05-0.00029317i
-0.00072399+0.00011757i,0.00041798+0.00095713i,0.0012061-0.00024559i,0.0012685-0.0016368i,0.00031759-0.0022395i,-0.0011623-0.0022676i,-0.0018479-0.0015349i,-0.0015099-0.00052477i,-0.0009055-0.00035139i,-0.00054845-0.00081619i,0.00032428-0.00090759i,0.00078458+4.9484e-05i,0.00080711+0.0012747i,0.00054097+0.0017496i,0.00023393+0.0010295i,0.00016434+0.00042928i,-0.00041471+0.00034707i,-8.0669e-05+0.00051128i,0.00050678+0.0005135i,0.00051449+0.00039711i,0.00070813+0.0002767i,0.00084139-8.7754e-05i,0.00090125-0.00048217i
-0.00015646+0.00099331i,0.0006788+0.00099056i,0.0015938+0.00060527i,-5.9529e-05-4.4407e-05i,-0.0017636-0.00078868i,-0.0024435-0.00056335i,-0.0022021-0.00011739i,-0.0011941+1.1417e-05i,-0.00053175+0.00022457i,0.00014077+0.00045055i,0.00035835+0.0007181i,0.0002248+0.0013307i,-0.00013463+0.0018729i,-0.00034771+0.0017237i,-0.0012971+0.0010611i,-0.0019268-7.3368e-05i,-0.00013851-0.001119i,0.00026087-0.00067043i,-0.00037348+0.00033707i,0.0001767+0.00059973i,0.00058505+0.00053395i,0.0006291+0.00046688i,0.00042178+0.00036268i
-0.00048461-0.00085542i,8.9429e-05+7.5576e-05i,-0.00045283+6.0165e-05i,-0.00089574-0.00025322i,-0.00051224-7.1496e-06i,-0.00024526-0.00048875i,-0.0004582-0.00043287i,-0.00015092+0.00010614i,0.00014831+0.00060817i,0.00066813+0.0012526i,0.0004231+0.0022516i,-0.00069689+0.0016479i,-0.0010957-0.0005764i,-0.00086206-0.0011016i,-5.7152e-05-0.001014i,0.00077299-0.0014036i,0.0010611-0.002141i,0.0012517-0.0024463i,0.00038755-0.0016914i,-0.00066003-0.00085872i,-0.00057295-0.00057095i,0.00011521-0.00039931i,0.00016085+0.00037737i
3.9021e-05+0.0005889i,-0.00080552+0.00048876i,-0.00037647+0.0020115i,-1.0298e-05+0.0019552i,-0.00077234-0.00012871i,-0.0020216-0.0016135i,-0.0021654-0.0015269i,-0.0017281-0.00071623i,-0.001062-0.00021443i,-0.00038011-0.00014658i,-0.00043581-0.00012996i,-0.00079655-0.00057555i,-0.00050384-0.0013007i,-0.0002634-0.0011088i,-0.00096435-0.00069731i,-0.00064637-0.00073636i,0.00052736-0.00046392i,0.00093393-0.00016284i,0.00042196-0.00051412i,-0.00047172-0.0010762i,-0.00053662-0.00075309i,-0.0001169-0.00011491i,0.00017144-0.00087432i
-0.00024807-0.0020736i,-0.00093748-0.0019389i,-0.00058147-0.0010871i,-0.00050941-0.00046341i,-0.0015497-0.00037695i,-0.0017726-0.000118i,-0.0010758-0.00084272i,8.7169e-06-0.0013242i,-3.4761e-05-0.00065447i,-0.00074097-0.00042953i,-0.00026402-0.00041038i,0.00078252-0.00067284i,0.0014211-0.00068917i,0.0006482-0.00019031i,0.00024422+0.00051648i,5.5722e-06+0.0014636i,-0.00046677+0.0019939i,-0.00049689+0.0012984i,-0.00019914+0.00058121i,-0.00010995+0.00026577i,-0.00036342-0.00018039i,-0.00040318-0.00025642i,-0.00037451-0.00014916i
-0.0013757+0.0010834i,0.00010131-8.6274e-05i,0.0014084-0.00070097i,0.0008924-0.0017397i,7.0985e-05-0.0026069i,-0.00087284-0.0024923i,-0.0021758-0.001542i,-0.0013079-0.0005796i,-0.00022505-0.00040102i,0.00023808-0.00050351i,0.00070625-0.0010546i,0.001505-0.0012968i,0.0019001+0.00042847i,0.00073518+0.0015354i,-0.00081756-0.00013664i,-0.0012413-0.0010604i,-0.00085084-0.00071575i,-0.00016137-0.00055008i,-3.5873e-05+8.698e-05i,-7.1863e-05+0.00079666i,0.00044926+0.00066806i,0.00086364+0.00056225i,0.00083286-0.0002491i
0.00032666-0.00084799i,0.0009874-0.00021312i,0.00021738+0.00045633i,-0.001673-0.00039073i,-0.0018367-0.0017592i,-0.00076896-0.0031131i,-0.0010699-0.0025784i,-0.001153-0.00045039i,-8.6335e-05+8.5019e-05i,0.00019969+0.00058285i,-0.00060895+0.0016738i,-0.001504+0.0023736i,-0.0019408+0.0021783i,-0.0018976+0.0011362i,-0.0015233-0.0002097i,-0.00068066-0.0015876i,0.00039013-0.0023754i,0.00031784-0.0020201i,-0.00018968-0.0012646i,-0.00022924-6.8284e-06i,0.00034711+0.00082636i,0.0013648+1.8075e-05i,0.0016738-0.00076621i
0.00046997+0.00074655i,0.00042341+0.0021298i,0.00027228+0.0031869i,0.00031168+0.0024034i,-0.00073306+0.00038602i,-0.0027659-0.0010743i,-0.0027929-0.00083494i,-0.0017991-8.9544e-05i,-0.0011494-2.4294e-05i,-0.00087233+6.0809e-05i,-0.00093564+0.0010217i,-0.0017725+0.0011758i,-0.0020544-0.00017434i,-0.0018934-0.000457i,-0.00081147-0.00026234i,0.0002091-0.00098805i,0.00093246-0.0017478i,0.0012421-0.0011742i,0.00093514-6.4787e-05i,0.00064086+0.00014107i,0.00071204+0.00082877i,0.00057956+0.0013932i,-0.00017131+0.00052492i
-0.0024627+0.00034912i,-0.0027381-0.0011375i,-0.00090664-0.00074216i,0.00085647-0.00077024i,0.00047678-0.0016023i,-0.00074568-0.0025455i,-0.0020094-0.0021123i,-0.0017737-0.00032199i,-0.0009331+0.00074239i,-0.00082891+0.00073113i,-0.0010166+2.2887e-06i,-0.00073676-0.0013909i,-0.00035943-0.0022424i,0.00073324-0.0011886i,0.000719+0.00040495i,-0.00015332+0.0011837i,0.00059855+0.0015072i,0.0015992+0.0011961i,0.0013259+0.00033148i,-2.6923e-06-0.00038748i,-0.00086965-0.00013365i,-0.00065978+0.00010297i,2.7948e-05-0.00011119i
0.00047458+0.00049764i,0.0008418-0.0004131i,0.00036117-0.00050742i,-0.00086883-0.00030502i,-0.0020264-0.0012551i,-0.003156-0.0018596i,-0.0025044-0.001271i,-0.00047077-0.00043004i,-0.00014535+4.0996e-05i,-0.00065636-6.2699e-05i,1.8748e-05-0.0014368i,0.001461-0.0017858i,0.001999-0.0013815i,0.00099563-0.00028941i,-0.00064952+0.0015003i,-0.0017793+0.001973i,-0.0011017+0.0010849i,-0.0010554+0.00089844i,-0.0011018+0.00039481i,0.00011219+0.00011912i,0.00082905+0.00059368i,0.00076648-0.00037996i,0.00027637-0.0010495i
0.0025498+0.0021601i,0.0039571+0.0031472i,0.003691+0.0033901i,0.0021272+0.0028409i,0.0006414+0.0016494i,-0.00063372-3.0548e-07i,-0.0012672-0.00042412i,-0.00024996+0.00021261i,0.00066948+0.00016274i,0.001156-0.00051884i,0.0019259+8.5656e-05i,0.0021815+0.0013366i,0.00091918+0.0010853i,-0.00060828-6.2564e-05i,-0.0019124-0.00080174i,-0.0021439-0.00084006i,-0.0013155-0.00035041i,-0.0011756-0.00028437i,-0.00093815+0.00026189i,-0.00016518+0.0010575i,-5.4741e-05+0.00072346i,-0.00017984+0.00010934i,0.00029201-0.00027127i
-0.00082306-0.0029953i,-0.0010122-0.0023372i,-0.00099723-0.0019878i,-0.00094626-0.0012783i,-0.00082906-0.00082495i,-0.00046577-0.0010562i,-3.647e-06-0.0017946i,0.0006882-0.0011874i,0.0011893-0.00032599i,0.00052873+0.00035679i,-5.0732e-05+0.002076i,-0.00015437+0.0038i,-0.0015444+0.0036466i,-0.0015121+0.0019956i,-0.00011854+0.00041496i,0.00027329-0.001902i,0.00046228-0.0028822i,0.00050035-0.0017507i,0.00027001-0.0010655i,-0.00037054-0.00050038i,-0.00080103+0.00022167i,-0.00052228+0.00049404i,-2.1223e-06+0.00054676i
-0.002089-0.0010371i,-0.0025424+9.0295e-05i,-0.0027255+0.00082495i,-0.003249+0.000754i,-0.0031791+0.00066816i,-0.0037751+0.00015671i,-0.0038272-0.00095313i,-0.0025622-0.0007109i,-0.0017304-0.00012371i,-0.001954+5.8062e-05i,-0.0029743+0.00080255i,-0.0041051+0.0008484i,-0.0037928-8.9198e-05i,-0.0023413-0.0006339i,-0.00059506-0.00036822i,0.0011991+0.00019554i,0.0015181+0.00087321i,0.00088212+0.00080152i,0.00083161-0.00026459i,0.00075655-0.0012937i,0.00046654-0.0013233i,0.0004525-0.00037007i,0.0002611+0.00021423i
-0.00055662-0.0022975i,-0.001594-0.0025677i,-0.0014802-0.0014768i,-0.00046167-0.00094358i,-0.00058133-0.0015662i,-0.0011121-0.0018637i,-0.00063172-0.00063873i,-7.0347e-05+0.00077558i,0.00016016+0.00045847i,-0.00035953-0.00079342i,-0.0016266-0.0020733i,-0.0015703-0.002915i,-0.00017378-0.0026026i,0.00061578-2.4666e-05i,0.00070875+0.0024977i,0.00085378+0.0024571i,0.0016093+0.0019035i,0.0017683+0.0021118i,0.0016035+0.0012433i,0.0015969-3.371e-05i,0.00080799-0.00056919i,-0.0003321-0.00095448i,-0.00051611-0.00094078i
0.00098059-0.0018407i,0.0010835-0.00085685i,0.00031623-0.00041061i,-0.0010156-0.00067527i,-0.0023364-0.0012975i,-0.0026236-0.0021406i,-0.0019002-0.0012733i,-0.00067037+0.00074327i,0.00040106+0.00091053i,0.00038204-0.00025106i,0.00082691-0.0017011i,0.0022236-0.0014091i,0.0027878-0.0001675i,0.0012405+0.00064088i,-0.0015468+0.00042457i,-0.0025245+0.00021787i,-0.0012733+0.0010579i,-1.6003e-05+0.0010564i,0.00014915+0.00025527i,1.3931e-05+0.0004023i,0.00040656+0.00022873i,0.00080516-0.00061053i,6.7573e-06-0.0011732i
0.0003296+0.0012953i,0.0020052+0.002259i,0.0018799+0.0031818i,0.00052865+0.0033898i,-0.00047789+0.0025253i,-0.000935+0.00012468i,-0.0012855-0.0010608i,-0.00065481-0.0005428i,-0.00031302+4.0946e-05i,0.0002382+0.0007926i,0.0020327+0.0021298i,0.0028721+0.0030556i,0.0020371+0.0030521i,0.00019784+0.0019342i,-0.00067449-0.00035085i,-0.0011244-0.0018164i,-0.00077759-0.0017335i,-0.00035208-0.0010149i,0.00019874-0.00035783i,9.2444e-05+0.0007744i,-0.00039912+0.0020738i,0.00041121+0.00095591i,0.0010671-0.00043844i
-0.0020876-0.00060804i,-0.0021064-0.00046092i,-0.00065332-0.0015713i,0.0012196-0.0022912i,0.0012762-0.0021795i,-0.00013882-0.0016533i,-0.00075379-0.0012348i,-0.00039575-0.00096443i,-0.00023117-0.00018214i,0.00035097+0.0016237i,0.00023+0.0035173i,-0.00099688+0.0043203i,-0.0021005+0.0037163i,-0.0016926+0.0014282i,-0.00017131-0.0012304i,0.00092984-0.0019861i,0.0014558-0.0014312i,0.00067104-0.00089115i,-0.0003865-0.00089018i,-0.00087185-0.00048861i,-0.00057741+0.00052772i,-0.00025729+0.00047306i,-0.00054729-0.00081313i
-0.003263-0.0032615i,-0.0049455-0.0018055i,-0.0057058+0.0005716i,-0.0043121+0.0012746i,-0.0024874+0.00095349i,-0.0014267-0.00064778i,-0.00067702-0.0016766i,-0.00041112-0.00069464i,-0.001284+0.00013582i,-0.0027226+0.00042623i,-0.0042874+0.00026759i,-0.0052328-0.00030246i,-0.0036894-0.00099928i,-0.00040547-0.0012197i,0.0013331-0.00045812i,0.0011245+0.00011315i,0.00056327-0.0006436i,0.00030374-0.0012843i,0.00040815-0.0010867i,-9.6294e-05-0.00047369i,-0.0010427-0.00017458i,-0.00091613-0.00055879i,-0.00046981-0.00077995i
-0.0020236+0.00053201i,-0.0010157+0.0011826i,-0.00037746+0.0017458i,0.0003633+0.0024351i,0.00075202+0.0014686i,0.00017623-0.00054579i,-0.00092445-0.0010376i,-0.001722-0.0012002i,-0.0018726-0.0019019i,-0.0021966-0.0023152i,-0.0018647-0.0033403i,-0.0002934-0.0051907i,0.00080771-0.004642i,0.0017603-0.0019245i,0.0019829+0.00034876i,0.0012769+0.0016319i,0.0014312+0.0017946i,0.0018658+0.0010519i,0.0011029+0.00036821i,0.00047381-0.00023971i,0.00062489-0.00052622i,0.00010437-0.0004505i,-0.00037766-6.1608e-05i
0.0019713+0.0031406i,0.0039941+0.0024983i,0.0052654+0.00094868i,0.0033035-0.0017753i,-0.00055709-0.0029424i,-0.0022333-0.0027657i,-0.0020366-0.0017663i,-0.0017642-6.7154e-05i,-0.00094289+0.00084266i,-0.00019212+0.00053963i,0.001459+0.00011582i,0.003185-0.00031006i,0.0026796-0.00078416i,5.0726e-05-0.00026959i,-0.002245+0.00039239i,-0.0026013+0.00040876i,-0.0023481+7.8156e-05i,-0.001071+0.00068208i,0.0009368+0.00046073i,0.0023157-0.00022805i,0.0016961-0.00051222i,0.0006876-0.0009542i,0.00042389-0.0008343i
-0.00072372-0.00011643i,-0.00021748+0.0003554i,-0.00052405+0.0011559i,-0.0016959+0.0011105i,-0.0019127+0.00022376i,-0.0020154-0.0003311i,-0.0021461-0.00078252i,-0.0007082-0.00086725i,0.0010136+0.00036733i,0.0018846+0.0024034i,0.0027997+0.0042708i,0.0029+0.0046993i,0.0015643+0.0039858i,0.00016152+0.0017981i,-0.00033501-0.00092423i,-0.00015532-0.0010286i,0.00014753-0.00022263i,3.928e-05+3.1824e-05i,-0.00034362+0.00088372i,0.00030873+0.001193i,0.00070831+0.0008897i,0.0010906+0.0005221i,0.0011496-0.00044767i
-0.00084342-0.0039422i,-0.0038971-0.003626i,-0.0042988-0.0027927i,-0.002919-0.0011758i,-0.0029929+0.00016296i,-0.0031874+0.00025467i,-0.0019676+0.00049174i,0.0002596+0.00097275i,0.00061262+0.00066574i,-0.00062173+0.0011386i,-0.0023094+0.0026772i,-0.0032947+0.003634i,-0.002663+0.0037882i,-0.00096311+0.0023658i,0.00048629+0.00092666i,0.00061146+0.00041124i,-9.2845e-05-0.00071745i,-0.00032874-0.0020109i,-0.00049045-0.0019676i,-0.00097552-0.00060538i,-0.0011896+0.00050486i,-8.2211e-05+0.00098365i,0.00089656+0.0011907i
0.0014302-0.0028044i,0.00172-0.0032261i,0.0014053-0.0022804i,0.00067385-0.0013657i,-0.0006753-0.0015007i,-0.0025814-0.0018262i,-0.0023309-0.0011181i,-0.0008938-0.0010757i,-0.0012744-0.0018426i,-0.0025148-0.0020901i,-0.0036643-0.0017528i,-0.0041574-0.0019275i,-0.0033976-0.0017457i,-0.0019269-0.00066047i,-0.00038272+0.00059815i,0.00090811+0.0015446i,0.001716+0.00079898i,0.0013165-0.00023135i,0.00026044-0.00053672i,-0.00063759-0.00084673i,-0.0011471-0.0003225i,-0.0008916-0.00013225i,-0.00051852-7.4744e-06i
0.0008359+0.00018137i,0.0011754-0.0013072i,6.5101e-05-0.0017584i,-0.0018117-0.00078241i,-0.0016728+0.00051455i,-0.00041503+0.00022374i,0.00062964-0.00097892i,0.00031049-0.0019962i,-0.0013258-0.0024619i,-0.0011747-0.0029636i,0.00097952-0.0041437i,0.0018591-0.0049118i,0.001852-0.0050359i,0.0010388-0.003644i,-0.00031897-0.0017305i,-0.00016929-0.00040857i,-7.9339e-05+3.9701e-05i,0.00044413-2.5146e-05i,0.0011812-0.00036146i,0.00081651-0.0010098i,0.00038114-0.0012587i,1.2663e-05-0.0008402i,-0.00032852-0.00035221i
-0.0014251+0.0022275i,-0.00059846+0.0058387i,0.0012325+0.0055947i,0.0014954+0.0015665i,-4.6461e-05-0.0018228i,-0.0019994-0.0029031i,-0.002426-0.0022327i,-0.0020935-0.00081384i,-0.0015736+0.00047414i,0.00027212+0.0014518i,0.0026972+0.0017493i,0.0043614+0.00040853i,0.0035474-0.00095097i,0.0015643-0.0014636i,9.7062e-05-0.0019721i,-0.00077306-0.0018871i,-0.00072093-0.0014166i,0.00018249-0.00020403i,0.0013403+0.00025999i,0.0017661+0.00067714i,0.0012866+0.001161i,0.00084681+0.00012862i,-4.0517e-05-0.0004518i
-0.0015395-0.00027026i,-0.0018963-0.0019644i,-0.0014022-0.0013184i,-0.0010144-0.00036328i,-0.00086364-0.0012742i,-0.0015519-0.001875i,-0.0020369-0.0010237i,-0.0013918+0.00029643i,-0.00054799+0.0011491i,-0.0002982+0.0031631i,1.7253e-06+0.0053038i,0.00023558+0.005567i,0.00084154+0.0044162i,0.00060078+0.0022674i,-0.00047977-9.9283e-05i,-5.2826e-05-0.00089304i,0.00046797-0.00067257i,-0.00019035-0.0006105i,-0.00054456+0.00038601i,-0.00033273+0.0012073i,-0.00040065+0.00052657i,0.00027115+1.2782e-05i,-0.00018265+1.4543e-05i
-0.0041585-0.0034895i,-0.005585-0.0025696i,-0.0050751-0.0001308i,-0.003175+0.00135i,-0.0018824+4.8869e-05i,-0.0015322-0.0018559i,-0.00097408-0.0017521i,-0.00054121-0.00070288i,-0.00054404+0.00020171i,-0.0021182+0.0012969i,-0.004807+0.0028382i,-0.0055063+0.0041614i,-0.0035438+0.0045866i,-0.0015017+0.0036282i,-0.00017154+0.0021564i,0.0009976+0.0013976i,0.001692+0.00091029i,0.0011498+0.00092748i,-0.00018122+0.00075709i,-0.00078464+0.00059658i,-0.001167+0.0012142i,-0.0010768+0.0011897i,-0.00023912+0.0016484i
0.0027195-0.0013844i,0.0045749-0.00057001i,0.0043757+0.00063664i,0.0026674-0.00042145i,0.00086313-0.0012117i,-0.001242-0.0016891i,-0.0012358-0.0018646i,-3.192e-05-0.0017202i,0.00031752-0.0020369i,-0.00071959-0.0029136i,-0.0018523-0.0036864i,-0.0022089-0.0037245i,-0.0031823-0.0025605i,-0.0036428-0.0007913i,-0.002638-0.00016785i,-0.002016-0.00010617i,-0.0019132+0.00014688i,-0.0016857-0.00029355i,-0.0016271-0.00081539i,-0.00081687-0.00046342i,-0.00032021-1.7658e-05i,-0.0010919+5.6847e-05i,-0.00044017+0.00071453i
0.0004815-0.00015617i,-0.00064656-0.00018627i,-0.0025236-0.00093786i,-0.0027592-0.00061969i,-0.0013469+0.00010344i,-0.00043775-0.00084226i,-0.00038104-0.0014746i,0.00014597-0.00082921i,0.00013394-0.0015721i,0.0011772-0.0030081i,0.003421-0.0036074i,0.003653-0.0038134i,0.0018527-0.0040073i,-0.00031585-0.0036096i,-0.0011768-0.0032093i,-0.0015175-0.0030512i,-0.0015985-0.0026464i,-0.0010681-0.0017483i,-0.0001716-0.0014017i,0.00048402-0.0016394i,0.0010664-0.0013056i,0.00037012-0.0010996i,-0.00074764-0.0013151i
