-0.0011345+0.0011483i,-0.0011144-0.00049693i,-0.0012906-0.0017028i,-0.0014215-0.0012233i,-0.0014936-0.00028576i,-0.0021366+0.0014347i,-0.0020206+0.0026342i,-3.8932e-05+0.002511i,0.0010803+0.0014824i,0.00069757+0.00018565i,0.00041727-0.00041909i,-5.7472e-05-0.00023998i,9.0941e-05+2.9692e-05i,-0.00048041-0.00015745i,-0.0012745-0.00091187i,-7.021e-05-0.00057501i,0.00051117+0.00010704i,-0.00056983+1.2779e-05i,-0.00029131+0.00012315i,0.00049565+0.00044314i,0.00083147-2.3003e-06i,0.00065778-0.00027235i,7.3602e-05-0.00066898i
3.5629e-05-0.00040331i,-0.00027647-0.00091965i,-0.00029388-0.00038081i,-0.00061534-0.00031172i,-0.0010646-0.00023139i,-0.0018237+0.00055083i,-0.0015023+0.0010937i,-0.00075386+0.00045077i,-0.00025501-9.0833e-05i,5.7539e-05+7.9438e-05i,0.00011986+0.00035375i,0.00060321+0.00065913i,0.00052229+0.00012828i,0.0003154-0.00039815i,-0.00040748-0.0011803i,-0.00035727-0.0009537i,0.00053919+8.6734e-05i,0.00051945-0.00042081i,-8.1055e-05-0.00070872i,-0.0003695-8.1159e-05i,0.00013396-0.00045499i,0.0007092-0.00098996i,0.00045898-0.00065519i
0.00048641-0.0010703i,-0.00012388-0.0005923i,-0.00036193-0.00054671i,-0.00037503+0.00022496i,-0.00050278+0.0010606i,0.00014972+0.0015466i,0.00043233+0.0010184i,0.00082396+0.00027357i,0.00031107-0.00015444i,-0.00056055-0.0004915i,-0.0011069-0.00028295i,-0.00081096+0.00020658i,0.00050684+0.0006541i,0.0012149+0.0010223i,0.00051274+0.001538i,-0.00024781+0.0010343i,-0.00045534-0.00068658i,0.00024508-0.0013308i,0.001089-0.00058037i,0.00096738-0.00014777i,-0.00032508-0.00010389i,-0.00063866-0.00020369i,-0.00056711-0.00013114i
-0.000731+0.0011934i,0.000386+0.0017083i,0.0013968+0.00076834i,0.00042213+3.1376e-05i,-0.00088486-8.257e-05i,-0.0012941-9.277e-05i,-0.0013673+0.0010609i,-0.00080032+0.0014899i,-0.00025303+0.00041406i,-0.00048901+7.6308e-05i,-0.00071869+0.00015435i,-0.00076121-0.00040521i,-0.00085905-0.00059905i,-0.0014404-0.00017214i,-0.0010589-4.3828e-05i,-0.0002514+7.4149e-05i,0.00021774+0.0004437i,2.782e-05+0.00048678i,-6.6804e-05+0.00022856i,0.00032326+0.00018793i,0.00035908-6.0681e-05i,0.0002503-0.00042658i,0.00018923-0.00012109i
-9.2646e-05+0.0018606i,0.0005961+0.00078485i,0.0011886+7.6481e-05i,0.0010706-0.00079231i,-8.3407e-05-0.00070401i,-0.0013453-0.000203i,-0.0019295+2.3918e-05i,-0.0013665+0.00042606i,-0.00051537+0.0011049i,0.00024348+0.00096111i,0.00050417+5.2255e-05i,-6.9907e-05-0.00013903i,-0.00084556+0.0004227i,-0.00066366+0.00026757i,-0.00093251+2.0775e-06i,-0.0013323-7.4909e-05i,-0.00097965+2.3493e-05i,-0.00099077+0.00025343i,-0.0012216+6.4396e-06i,-0.0013339+2.0202e-05i,-0.0011141+0.0003412i,-0.00054352+0.00040218i,0.00026374-6.5547e-06i
0.00069608-0.0019785i,-0.00048107-0.0018283i,-0.002457-0.0011631i,-0.0027905-0.00072973i,-0.0018801+0.00051768i,-0.00098509+0.0010735i,0.0001273+0.00066513i,0.0006003+0.00040835i,-0.00010534-0.00026055i,-0.00040911-0.00015125i,0.00035545+0.00083674i,0.00010241+0.0013864i,0.0001454+0.00052773i,0.00064095+0.00032432i,0.00042197+0.00092694i,0.00026135+0.00037634i,0.00018577-3.8744e-05i,6.0288e-05-0.0005693i,-0.00032048-0.00060329i,-0.00044712+3.613e-05i,-0.00013785+0.00052241i,5.9488e-06+0.0010968i,-0.00025486+0.0012075i
-0.00096513+0.00051264i,-0.00036954+0.0006899i,-3.1908e-05+0.001013i,-0.00032591+0.00095323i,-0.00033125+0.00055058i,-0.00051675+0.00041893i,-0.0010683+0.00076831i,-0.0011531+0.00061585i,-0.00014523+3.0676e-05i,0.0006322-0.00012191i,0.00089065+2.4329e-05i,0.00021426+0.00034254i,-9.7195e-05-7.4661e-06i,0.00029445-0.00016866i,0.00015992+0.00045947i,0.00037295-0.00016142i,0.00083931-0.0012198i,-5.2412e-05-0.0013105i,-0.00041474-0.00083611i,0.00048733-0.00020202i,0.00063746+2.9818e-05i,0.00081865-0.00049924i,0.0012027-0.00099279i
0.00086125-0.0019589i,0.00034251-0.00082614i,0.00021723-0.00027603i,-0.00021207+0.00047418i,-0.00065847+0.0012663i,-0.00071135+0.0011252i,2.0873e-05+0.0014556i,0.0010069+0.0012984i,0.00079869+0.00042479i,0.00030815+0.00038298i,-0.00015542+0.00078249i,-0.00080061+0.0010254i,-0.0001065+0.001452i,0.00011557+0.0016539i,-0.0003028+0.00092011i,-0.00067468+0.00064196i,-0.00097671+0.00066728i,6.9801e-05+0.0004707i,0.00049232+8.4187e-05i,0.00033697-0.00016894i,0.00030099-0.00036434i,-2.2899e-05-0.00077461i,0.00027638-0.00024558i
-0.0023241-0.00041437i,-0.0019489+0.00044808i,-0.0024077+0.00029822i,-0.0025317+0.00023924i,-0.0021386+0.000172i,-0.0019024+0.0002187i,-0.0016578-0.00028161i,-0.0010573-0.00050275i,-4.2223e-05-0.00011598i,0.00073865+0.00067186i,0.00099468+0.0011267i,0.000632+0.0010781i,-0.00012875+0.00056555i,4.4382e-05+3.2172e-05i,-0.00013662-1.3068e-05i,-0.00034765+0.00016044i,0.00077162+0.00028588i,0.00075139+0.00051505i,0.00018961-0.00023471i,0.00060205-0.0015448i,0.00074912-0.00083787i,-0.00072683-6.4984e-05i,-0.0011646-9.8408e-05i
-0.00029744-0.0011663i,-0.00061861-0.00026038i,-0.00080817+0.00073824i,-0.00068243+0.0016627i,-0.00046248+0.0014508i,-0.0010644+0.00046466i,-0.00085681-0.00036074i,0.00018848-0.00027819i,0.0011183+0.00029972i,0.0012961+5.944e-05i,0.00081139-0.00015951i,-4.653e-06-0.00025181i,-0.00052405-0.00041704i,-0.00068172-0.00064644i,-0.00082931-0.0002038i,-0.00035199+1.4316e-05i,0.00041611-0.00010367i,0.00047309+0.00010359i,3.1109e-05+0.00028154i,-0.00032503+0.00045129i,-0.00013147+0.00079161i,0.00049382+0.00048148i,0.0010593+0.00012588i
-0.00036602+0.001292i,-0.0003673+0.00037315i,0.00012858+0.00060516i,0.00048239+0.0008726i,0.00029158-0.00058357i,-0.00076532-0.00078138i,-0.0013388+0.00090754i,-0.0011119+0.0011047i,8.9848e-05+0.00045927i,0.00015615+0.00043413i,-0.0001303-4.4907e-05i,0.00026756-0.00051932i,0.0002095-0.00050414i,7.216e-05-0.00054684i,0.00010954-0.00089031i,0.00026216-0.00080815i,-0.0002401-0.00053207i,-0.00036555-0.00044369i,0.00026382-0.00014063i,0.00025085+0.00032656i,-9.2292e-05+0.00028346i,2.7796e-05+0.00016472i,-0.00055657-6.2543e-05i
