-0.00082935+0.00097378i,-0.00032099+0.00032309i,-0.00089439-0.00078984i,-0.0026036-0.0016412i,-0.0030228-9.3948e-05i,-0.0020794+0.0016162i,-0.0018819+0.0015127i,-0.0015645+0.00046114i,-3.2288e-05-1.5293e-05i,0.00068116+0.00061882i,0.00046909+0.00045518i,0.00053086-0.00079836i,0.00061641-0.0010392i,0.00075968-0.00029004i,0.0010503+0.00075559i,0.0010874+0.00070282i,0.00064233+0.00027152i,-0.00026024+0.00063145i,-0.00050008+0.00038122i,-0.00030845+0.00032186i,-0.0008409+0.00016162i,-0.00086521+8.5542e-05i,0.00020192+0.00094952i
-0.0010559+0.00067181i,0.00082116+0.0014518i,0.0013763+0.00093652i,0.00080057-0.00034205i,0.00026715-0.0016971i,0.00043695-0.0022262i,-3.4066e-05-0.0014036i,-0.0010439-0.0014855i,-0.0010897-0.0014595i,-0.00068151-0.00053767i,0.00041684-0.00047564i,0.00097141-0.00071426i,0.00098503-0.00047867i,0.0014257-3.4146e-05i,0.0010321+0.00052944i,0.00066825-1.1566e-05i,0.00066611-0.00090903i,-0.00028203-0.00061652i,-0.0015119-0.00046218i,-0.0017731-0.00046887i,-0.0010063-2.4334e-05i,-0.00059376+0.0006133i,-0.00036462+0.00061273i
-0.00030132-0.00058141i,0.00099488-0.00070699i,0.0015392-0.0034014i,0.0014121-0.0059667i,8.0855e-05-0.0054574i,-0.00097372-0.0019566i,-0.00050921-0.00033366i,-7.7232e-05-0.0013183i,-0.0001462-0.0014794i,-0.00020375-0.0013996i,0.0003087-0.0010661i,0.00090544-0.000375i,0.0010713-0.00027202i,0.00094374-0.00031504i,0.00062127-0.00047218i,0.0009812-0.00032699i,0.00054003+0.00048609i,-0.00044502-1.9225e-05i,3.5814e-05-0.00043996i,2.8089e-05+0.00043595i,-0.00084478+0.0010183i,-0.00024125+0.00075158i,0.00019362+0.00025535i
0.001216-0.0011754i,0.0012599-0.0018199i,0.0014142-0.0035256i,-0.00030207-0.0042147i,-0.0024223-0.0032081i,-0.0026393-0.0014195i,-0.0015911-0.00022362i,-0.00078743-0.0010298i,-0.0012795-0.0019589i,-0.0015884-0.0017094i,-0.0013812-0.0012594i,-0.0010761-0.0011106i,-0.00048712-0.00048987i,-0.00027101+0.00032639i,-0.00057984+0.00063931i,-0.00023384+0.0014435i,8.8324e-05+0.0017365i,0.00037573+0.0011671i,0.00029328+0.00042302i,0.00037781-0.00047462i,0.00096572-0.0010841i,0.00069677-0.00069667i,0.00050597-0.00047012i
0.0014523-0.0012274i,0.0021757-0.00085468i,0.002178-0.0028363i,0.00086035-0.0049816i,-0.0014204-0.0055035i,-0.0024305-0.0024759i,-0.0014462+0.00024099i,-0.00032331-2.5342e-05i,-0.0006263-0.00094672i,-0.00074957-0.0012092i,-0.00088517-0.0011689i,-0.0009979-0.00055151i,-0.00089862+0.00045374i,-0.00075134+0.0010032i,-0.00037945+0.0009029i,-0.00017394+0.00058845i,5.477e-05+0.00039931i,0.00050439+0.00040103i,0.00085107+0.00016172i,0.00031369+0.00016582i,-0.0003535-0.00058959i,-5.3591e-05-0.00082043i,0.00030513+0.00027206i
0.00061047+0.00098674i,0.00055578+0.0004901i,0.00079245-0.00081838i,-0.00052141-0.0025699i,-0.0016918-0.0028911i,-0.0018383-0.0014951i,-0.00094089+0.00048375i,2.6814e-05+0.00075817i,-0.00055765+0.00019116i,-0.0013021+0.00040218i,-0.00099937+0.0010626i,-0.00069207+0.0011877i,-0.00095791+0.00040855i,-0.000546+0.00069195i,0.00016852+0.00077477i,0.00036817-0.0002792i,0.00055855-0.00079511i,0.00053103-0.00048699i,0.00033113-0.00020339i,0.00060237-0.00012181i,0.00016223+0.00046171i,-0.00067707+0.00093786i,-0.00039036+0.00052171i
0.00038908-0.0015975i,0.0013257-0.001475i,0.00095321-0.002805i,-0.00017419-0.0049662i,-0.0010611-0.005077i,-0.00088014-0.0029218i,4.4063e-05-0.0011383i,0.00043063-0.0014378i,0.00011045-0.0011347i,-0.00037927+0.00019503i,-0.00026895+0.00052594i,-0.00048233+0.00081568i,-0.00049723+0.00088235i,0.00017657+0.00068604i,0.00041598+0.00054108i,0.00064291+0.00092695i,0.00066235+0.00051626i,0.00061471-7.4052e-05i,0.00080341-1.4851e-05i,0.00018511-8.0434e-05i,-9.8319e-05-8.1043e-05i,0.00064935+0.00022542i,0.00051438+0.00019359i
0.00091079-0.00026612i,0.0020901-0.00042779i,0.0033084-0.0017516i,0.0025629-0.0029621i,0.00084454-0.0026606i,-0.00024139-0.0016321i,-0.00011408-0.00063108i,0.00054715-0.0010838i,-7.3412e-05-0.001493i,-6.9031e-05-0.00039065i,0.00093091+0.00013605i,0.0014523-0.00019661i,0.0012457+0.00023077i,0.00042481+0.0010499i,0.00033964+0.0016426i,0.00086616+0.0015135i,0.00032296+1.7145e-07i,-0.00049801-0.00077626i,-0.00055285-0.00070318i,-4.5844e-05-0.00028392i,-0.00058838+0.00051825i,-0.00075862+0.00039862i,6.1297e-05+0.00055384i
-0.0010331-0.00066625i,-0.00027421-0.00077942i,7.8011e-05-0.0028435i,-0.00044136-0.0045724i,-0.0010968-0.0039323i,-0.0012024-0.0008933i,-0.001419+0.0001399i,-0.0014499-0.0012467i,-0.00071427-0.0014161i,0.00050634-0.00038368i,0.0010026+0.00012244i,0.00081467-0.00024884i,-2.0926e-05+0.00030233i,-0.0010859+0.00089545i,-0.0013221+0.0011532i,-0.00032151+0.00055518i,0.00031122-0.00033051i,-7.2239e-05-0.00024716i,0.00044179+0.00030604i,0.00052023-0.00012257i,0.00019715-0.0012968i,-0.00018673-0.00081064i,-0.00069528+7.7532e-05i
0.00042181+0.00057454i,0.001483-0.00067279i,0.0029161-0.0011508i,0.0021269-0.0023404i,-0.00019717-0.0042487i,-0.0013477-0.003941i,-0.00129-0.0017988i,-0.0011047-0.00092097i,-0.0013135-0.0010776i,-0.0012588-0.0021633i,-0.0011234-0.0027331i,-0.0006467-0.001803i,-0.00053853-0.0014215i,-0.00064364-0.00052289i,-0.0002569+0.00054699i,0.00049058+0.00062833i,0.0011901+6.7651e-05i,0.0010647-0.00055881i,0.00059399-0.00097711i,0.00052171-0.00017274i,0.0001546+0.00056674i,0.00023817+0.00016943i,0.00043543+0.0002809i
-8.6562e-05+0.0015268i,0.0016441+0.0010707i,0.0030949-0.00042532i,0.0025303-0.0021621i,0.00047799-0.0029618i,-0.00024694-0.0025238i,2.2971e-05-0.0013415i,-0.0004298-0.0013191i,-0.0011938-0.001081i,-0.0010732-0.00056076i,-0.0002038-0.0012387i,-0.00052569-0.00086719i,-0.0014706+0.0004612i,-0.0010782-0.00013209i,-0.00032388-0.00025074i,3.2268e-05+0.00022948i,0.00060542-0.00013215i,0.000616+0.00026969i,-6.1273e-06+0.00082265i,-0.0004435+4.4214e-05i,-0.0011901-0.00066476i,-0.0013053-0.00050859i,-0.00053772-0.00054213i
-0.00064893-0.00087707i,-0.00075082-0.00064065i,-0.00015931-0.0014823i,0.00011634-0.0028311i,-0.00012288-0.0028041i,-7.9797e-05-0.001048i,0.00026165-0.00033454i,0.00037212-0.0010205i,4.1152e-05-0.0016336i,-1.5646e-06-0.0011712i,-0.00050202+0.00024616i,-0.00076847+0.0013195i,-7.6538e-05+0.0011669i,-0.00016781+0.00073728i,-0.00059749+0.00056995i,-0.00045795+0.00066002i,-0.00047292+0.00091245i,2.6568e-05-7.7256e-05i,0.00060418-0.0010072i,0.00017186-0.0010357i,-0.00042818-0.0007565i,-0.0007299-0.00060667i,-0.00080614+0.000345i
0.00068321+0.00037635i,0.0024262-0.00016251i,0.0031984-0.0020146i,0.0014845-0.0037932i,-0.0015106-0.0043584i,-0.0036705-0.0032555i,-0.0032846-0.0013283i,-0.0015667-0.00075594i,-0.00086412-0.0013857i,-0.0012069-0.00069441i,-0.0010854+0.00073637i,-0.00038239+0.0013509i,-0.00021425+0.0019225i,0.00028097+0.0021585i,0.00091982+0.0018201i,0.00028975+0.0020008i,-0.00036672+0.00052317i,0.00016622-0.00097125i,0.0010154-0.00080456i,0.00033043-0.00021977i,-0.00096123+0.00057887i,-0.00087321+0.001066i,-0.00025634+0.00063374i
-0.00099445+0.0012577i,0.00039562+0.0012907i,0.0026644-9.1926e-05i,0.0034754-0.0037373i,0.0017256-0.0048328i,0.00057425-0.0018534i,0.00058132-0.00022085i,0.00063324-0.00088379i,0.00049756-0.00066992i,0.00011548+0.00016512i,0.00054807+0.00045155i,0.0010746+0.00050439i,0.00060603+0.00041174i,-0.00055823+0.00059636i,-0.00070089+0.0011131i,6.657e-05+0.0011252i,0.0006554+0.0008115i,0.00062107+0.0006235i,0.00019496+0.00018397i,0.00032045+0.00049625i,0.00064329+0.00094729i,0.00018973+0.00049017i,-0.00011679+0.0003692i
0.001-0.0016633i,0.0008053-0.0017987i,-0.00046172-0.0028167i,-0.0023755-0.0034356i,-0.0026603-0.0028722i,-0.0020599-0.0013996i,-0.0011317-0.0010212i,-0.00043634-0.0011572i,-0.00010686-0.0010055i,0.00044029-0.00047996i,0.0010134-0.00039769i,0.0005681-0.00088212i,0.00036733-0.00074603i,0.00038027-0.00046609i,0.00051861-7.2302e-05i,0.0012423+0.00021623i,0.00081983+0.00038412i,0.00033711+0.0005281i,-7.6459e-05+0.00013128i,-0.00073292-1.6202e-05i,-0.0010794+0.00054799i,-0.00096924+0.00024591i,-0.00057032-0.00013132i
0.0009143-0.00056987i,0.0023912+0.00029278i,0.0030454-0.00016098i,0.0023746-0.0018881i,0.00053212-0.0029356i,-0.0012118-0.0018765i,-0.0015459-0.00038101i,-0.00080498+1.0732e-05i,-0.00060868-0.00063498i,-0.00056576-0.0007625i,-0.00044793-0.00062892i,0.00034361-0.00072994i,0.00057268-0.00059177i,-0.00044438-0.00031862i,-0.00033359-8.3204e-05i,0.00022694+6.808e-06i,0.00015847+0.0004074i,-0.00055333+0.00025758i,-0.00031989-0.00064488i,0.00022494-0.00070102i,0.00053504-0.00028365i,0.00063297+0.00034849i,0.00058917+0.0011036i
0.00095521-0.00087259i,0.0018769-0.0016142i,0.0027398-0.0022116i,0.0013425-0.0040308i,-0.0015581-0.0044903i,-0.0022776-0.0025525i,-0.0011648-0.0014362i,-0.00032703-0.0018094i,-0.00018753-0.0016739i,-0.00031317-0.0017459i,-0.00085458-0.0017274i,-0.0016234-0.00080479i,-0.0016541+0.00027966i,-0.001007+0.00088915i,-0.00037804+0.0010616i,-0.00055537+0.00082314i,-0.00020968+0.00043603i,0.00071441+0.00045959i,0.00058392+6.3915e-05i,0.00047735-0.00050811i,0.00073311-0.00059152i,0.00056223-0.00036682i,0.00031645-0.00064794i
-0.00014822+0.0006748i,0.00051794+0.00018171i,0.00070143-0.0016121i,0.00083028-0.0033929i,2.9052e-05-0.0033671i,-0.00019836-0.0022712i,8.3911e-05-0.00092208i,0.0002006-0.00045866i,-0.00046452-0.0012419i,-0.0017171-0.0012452i,-0.0013948-0.00094429i,-0.0006103-0.00062087i,-0.00044215+0.00028529i,1.9004e-05+0.001047i,0.00025492+0.0009915i,4.3787e-05+0.0011295i,-0.00087234+0.00087645i,-0.0013442+0.00032196i,-0.0012856+0.00074052i,-0.0012141+0.00051799i,-0.0010859+0.00014677i,-0.00087785+0.00073081i,-0.00038257+0.00074906i
-0.0011763-0.00017336i,-0.00016648+0.00023533i,0.00078591+0.00021012i,0.00046756-0.00044489i,-0.001009-0.0014909i,-0.0006652-0.0015534i,-0.00019037-0.0013099i,-0.00040431-0.0015441i,-0.00081184-0.0011768i,-0.0015589-0.0004222i,-0.001392+0.00023965i,0.0006198+0.0005041i,0.00092873+0.0002953i,-0.0005602-0.00031303i,-0.00077121+0.00016485i,-0.00045217+0.0013987i,-1.9893e-05+0.00086694i,0.00056243-0.00029571i,0.00037963-0.00031828i,-0.00041065+0.00027537i,-0.00040137-0.00035733i,-8.3767e-05-0.00096506i,-0.00039073-0.00041982i
0.0020503-0.0014367i,0.0029464-0.0016147i,0.0029829-0.0030431i,0.00010397-0.0046889i,-0.0028275-0.0049641i,-0.0025157-0.0030129i,-0.0013465-0.0011799i,-0.00050258-0.00085857i,-0.00067111-0.0010349i,-0.0011082-0.00064803i,-0.00016395-0.00037854i,0.00056254+0.00031738i,0.00054592+0.0011445i,0.00050761+0.00093465i,0.00050619+0.00085962i,0.00051095+0.0010934i,-2.7056e-07+0.00027616i,-0.0004326-0.00059848i,-0.00013962+8.4426e-05i,-0.00010433+0.00026805i,-0.00026432-0.00072175i,0.00031873-0.00074008i,0.00088308-0.00023401i
0.0028207-0.00036209i,0.0027974-0.001688i,0.0031844-0.0035815i,0.0033767-0.0056831i,0.0013316-0.0056471i,-0.0010347-0.0025609i,-0.00025718+8.1626e-05i,0.00030583-0.00032903i,-0.00066025-0.001348i,-0.00091039-0.00088874i,-0.0007453+0.00021573i,-0.00072391+0.00019787i,-0.00049883+0.00014515i,-0.00039201+0.00074658i,0.00026677+0.00044711i,0.0006612+0.0004317i,-0.00018914+4.163e-05i,-0.0008609-0.00083375i,-0.0004932-0.00073129i,4.1914e-05-0.00037927i,-0.00041757-0.00017262i,-0.00060404+0.00028987i,-0.00072214+0.00070096i
-0.00012135-0.00059712i,0.00042734-0.00094389i,0.0019922-0.0024357i,0.0024282-0.0044695i,-5.8843e-05-0.0043136i,-0.0017161-0.0027613i,-0.00095368-0.0009258i,-0.00017863-0.00043699i,-0.00057652-0.00088622i,2.7315e-05-0.0010522i,0.00055602-0.00087329i,0.00019572-0.00078688i,-0.00027481-0.0011408i,-0.00044968-0.0012563i,-0.00079934-0.0006372i,-0.00067514+0.00013221i,0.00018325+0.00050121i,0.00022126+0.00044694i,-1.7632e-06+0.0002068i,-0.00037522+3.8639e-05i,-0.00026049-0.00045476i,0.00012362-0.0011745i,-0.00063228-0.0011649i
0.00023888+0.00090005i,0.00062634+0.00033407i,0.00078974-0.00033327i,0.00051425-0.00039832i,0.00034394-0.00093239i,0.00032561-0.0010484i,0.0001505-3.3381e-05i,0.00014742-0.00051154i,-0.00026482-0.00098773i,-0.0007674-0.0010212i,-0.00089948-0.0014475i,-0.0013367-0.00088523i,-0.00070744-0.00014035i,0.00039973+2.6598e-05i,0.00036728+5.8877e-05i,0.00039332+0.00045002i,0.00055645+0.00089079i,0.0002477+0.0010368i,-3.2957e-05+0.00094976i,-8.718e-06-0.00016918i,0.00015483-0.0016674i,9.8175e-05-0.0015691i,0.0001387+1.6157e-05i
0.001368+0.0020896i,0.0021492+0.0022799i,0.0027123+0.00012288i,0.0023158-0.0026354i,0.00085568-0.0033778i,-0.0007944-0.0022116i,-0.00062993-0.00094073i,-0.00042714-0.00059206i,-0.00051571-0.0010894i,-0.00052598-0.0014197i,-0.00036531-0.00069297i,-7.52e-05+0.00019517i,1.575e-05+0.0011186i,5.8098e-05+0.0017826i,0.00056662+0.0013933i,0.001694+0.0014462i,0.0012796+0.0010613i,0.00023829+0.00040473i,8.1019e-05-0.00051214i,-0.00017273-0.00084885i,-5.1813e-05-0.00035138i,0.00038324+0.00033645i,0.00010911+0.0012445i
-0.00018704-0.0010549i,0.00013908-0.0019169i,0.0013993-0.0027813i,0.0014758-0.0046341i,0.00038242-0.0053493i,-0.00031807-0.0032079i,0.00031667-0.0018985i,0.0010628-0.0013987i,7.2941e-05-0.0012992i,-0.00014084-0.00094628i,0.00016474-0.00024643i,-0.00025022+0.00046864i,-0.00034799+0.0003908i,-0.00072495+0.00044005i,-0.0011433+0.00045648i,-0.00031482+0.00054318i,0.00063933+0.00074641i,0.00088115+0.0001255i,0.00038419+0.00021384i,1.4854e-05+0.00052475i,-0.00052817+0.00016319i,-0.00088546-0.00010824i,-0.00034959-0.00021543i
0.0018514+0.0005679i,0.0034903+0.0011726i,0.004343+0.00029405i,0.0036861-0.002247i,0.0011361-0.004421i,-0.0018068-0.0040163i,-0.0020436-0.0018177i,-0.00086484-0.0013488i,-0.0012088-0.0015662i,-0.0022504-0.0012749i,-0.0017259-0.00061399i,-0.00059871+0.00023424i,-4.2452e-05+0.00027762i,-0.00028952+0.00039288i,-0.00058239+0.00035853i,-0.00038718+0.00040259i,-0.0003383+0.00055937i,6.77e-05-9.9311e-05i,0.00056626-0.0014349i,0.00067081-0.0014525i,0.00092546-0.00017308i,0.0005055+0.00021572i,0.00068801+5.3409e-05i
-0.00072265-0.00073978i,0.00073944+0.00058037i,0.0019486-0.00015796i,0.0019865-0.0024617i,0.00058063-0.0034392i,-0.00021373-0.0013196i,-0.00030153-0.00016941i,-0.00071746-0.00089898i,-0.0015029-0.0011044i,-0.00094269-0.00029237i,0.0005024+0.00041049i,0.00081371+0.00041491i,0.0002477+0.00059189i,4.8362e-05+0.00066797i,-3.5916e-05-0.00011014i,0.00040435-0.00059418i,0.00078718-0.00084795i,1.31e-08-0.00096197i,-0.00054172-0.00065784i,-0.00032741-0.00017748i,-0.00025621-0.00011119i,-0.00066925-0.00060152i,-0.00055753-0.00087501i
0.00016963+0.00061037i,0.00011489-0.0011366i,-0.00071202-0.0031061i,-0.0017361-0.0035947i,-0.0020975-0.0025747i,-0.0017852-0.001541i,-0.00087631-0.00060778i,-0.00099741+0.00026012i,-0.0012538-0.00013068i,-0.00061132-0.00085137i,0.00023256-0.00097265i,0.00053583-0.00044372i,0.00061623+0.00017174i,0.00063122+7.0705e-05i,0.00029538+0.00062886i,0.00029571+0.0012071i,0.00047194+0.0014948i,0.00011903+0.0010289i,-0.00023613+2.0692e-05i,-0.00080638-0.00019742i,-0.0015788+0.00029749i,-0.0012604-0.00038773i,-0.00048339-0.00089218i
-3.8098e-05-0.0013729i,0.00049879-0.0017447i,0.0012298-0.003068i,0.0012072-0.0049326i,-0.00040096-0.0040943i,-0.0011589-0.001326i,-0.00083268+0.0003725i,-8.0691e-05+0.00011307i,-0.00033606-0.00010941i,-0.00028422+0.00020976i,0.00013048-0.00036737i,2.4304e-05-0.00075999i,0.00014054-0.0001588i,0.00029231+0.00011296i,0.00037885+0.0005613i,0.00083978+0.00081651i,0.00083554+0.00042779i,0.00041188+0.00025076i,4.868e-06+0.00031498i,-0.00049707-0.00039696i,-0.00066395-0.00046385i,-0.00061499+0.00072371i,-0.0011686+0.0013931i
0.0024889-0.0013389i,0.0034317-0.0019132i,0.004269-0.0033519i,0.0024161-0.0043767i,-0.00027885-0.0041183i,-0.0017374-0.0021992i,-0.0005506-0.00071239i,0.0013526-0.0013011i,0.0012792-0.0025091i,0.00052721-0.0025559i,-0.00071433-0.0018085i,-0.0015428-0.00069292i,-0.0016983+0.00012882i,-0.00054654+0.00034333i,9.381e-05+0.00052031i,-0.00034714+0.00043568i,-0.00055045+0.0007768i,-0.00047057+0.000965i,-0.00076966+7.2872e-05i,-0.0012678-0.00018238i,-0.00096286-0.00014238i,-8.8523e-05-5.9453e-05i,0.00032668-0.00014796i
0.0010824+0.0017553i,0.0018027+0.0017969i,0.0038181-0.00035552i,0.0046754-0.0016134i,0.002371-0.0022855i,-0.00010123-0.0014726i,-0.00041897-0.00068049i,-0.00017439-0.0012081i,-0.00013158-0.0014987i,-0.00049724-0.0015634i,-0.00085952-0.0014557i,-0.00043323-0.00072991i,0.00054282-0.00062031i,0.00052703-0.00068594i,-0.00044206-0.00016459i,-0.00045901+0.00045568i,-1.0758e-05+0.00022258i,0.00011808+0.00011814i,0.00030919+0.00026771i,0.00019386-7.9528e-05i,0.00015233+0.00026074i,0.00063691+0.0011945i,0.00070028+0.0011672i
-0.00057505+0.0013598i,-0.00051407-0.00030983i,-0.00041008-0.0017843i,-7.9373e-05-0.0027145i,-0.00054209-0.0027753i,-0.0017713-0.001475i,-0.0011031+0.00010637i,-0.00035768+4.7581e-05i,-0.0011461-0.00064182i,-0.00125-0.00046248i,-0.0012397-0.00035445i,-0.0008726-0.00011763i,-0.00091193+0.00032205i,-0.0010735+0.00020539i,0.00038497+7.762e-05i,0.00044481+0.00054715i,-2.9766e-05+0.00047644i,0.00023688-4.3939e-05i,-0.00015333-0.00047628i,-0.00052194-0.00056078i,-0.0008467-7.5699e-05i,-0.0007075+0.00013427i,-0.00027617+0.00029223i
0.00081084+0.00037227i,0.0019333-0.0015268i,0.0024604-0.0026415i,0.001593-0.003719i,4.4414e-05-0.0041982i,-0.00070866-0.0033272i,-0.0010033-0.0013832i,-0.00125-0.00012818i,-0.0009179-4.0017e-05i,-0.0010465-0.00026523i,-0.00085995+0.00027985i,-0.00051407+0.00063125i,0.00021681+0.0010789i,-0.00020045+0.0016073i,-0.00042902+0.001794i,-0.00023555+0.0020317i,-0.00069338+0.0010874i,-0.0010472-8.6536e-05i,-0.00091076+0.00027184i,-0.00012049-0.00016635i,0.00028649-0.00070024i,9.9593e-05-0.00068899i,6.5051e-06-0.00092472i
2.4892e-05-0.00050168i,0.0010811-0.00073352i,0.0026296-0.001133i,0.0029955-0.0023107i,0.0017227-0.0030908i,0.00058055-0.0014788i,-2.5808e-05-0.00022639i,-0.0009295+1.7989e-05i,-0.0013634-0.00069349i,-0.00011511-0.00089686i,0.00048216-7.4422e-05i,-0.00052574-0.0003708i,-0.0014914-0.00046624i,-0.00064586+0.00047574i,0.00084852+0.00080112i,0.00068806+0.0004013i,-0.0001916-0.0003076i,-0.00030114-0.00034358i,-0.00057113-0.00045729i,-0.00029177-0.0010574i,-0.00013838-0.00084991i,-0.00091454+0.00016416i,-0.00058606+0.00043434i
0.00011815-0.00021056i,0.001338+0.00030173i,0.001861+0.00040409i,0.00086292-0.00094062i,-0.0014681-0.0027515i,-0.0019612-0.0021526i,-0.00056452-0.0010467i,7.6191e-06-0.00098932i,-0.0004744-0.00088598i,7.2281e-05-0.0002554i,0.001061-0.00066844i,0.00056032-0.00064873i,8.5942e-05+0.00069072i,-7.1589e-05+0.00065222i,-5.1787e-05+0.00033316i,6.1197e-05+0.0003496i,0.00033469+0.00030923i,0.00097596+0.00036412i,0.00070692-0.00054378i,4.7645e-06-0.001376i,-7.6633e-05-0.0014531i,6.8216e-05-0.0014251i,-9.7752e-05-0.0012377i
-0.00095875+0.00091873i,0.0010515+0.00092802i,0.001331+0.00059108i,0.00068468-0.0011522i,0.00045508-0.0015371i,-0.00032301-0.00099854i,-0.00053643-0.00051378i,-0.00014129-0.00012323i,-0.00085409-0.00057715i,-0.00042935-0.0012147i,0.001069-0.0011657i,0.0016996-0.00055713i,0.00090217+0.00053975i,9.1392e-05+0.00088121i,0.00051029+0.00020445i,0.00074874-0.00012871i,0.00074552-7.7247e-05i,0.00033789-0.00011162i,-0.00014777+2.0654e-05i,-0.00011427-0.00044907i,-6.8179e-05-0.00047985i,-0.00070957+0.00050808i,-0.00047735+0.0010771i
0.00032398-0.0014932i,0.00069835-0.00091148i,0.00044669-0.0014809i,-0.00033495-0.0023186i,-0.0010349-0.0026388i,-0.00046325-0.001576i,0.00073253-0.00035316i,0.00071789-0.0010684i,-0.00063913-0.0022203i,-0.0018038-0.0015751i,-0.0020338-0.00070231i,-0.0020494-0.00051519i,-0.0010109+1.4708e-06i,4.1231e-05+0.0002096i,0.00043646+8.8454e-05i,0.00036066-0.00028808i,0.00019403-0.00036681i,0.00026743+8.0017e-05i,6.4163e-05+0.00014502i,-0.00046245-0.00022519i,-0.00084768-4.1156e-05i,-0.0010082-2.0286e-05i,-0.00027975-6.0958e-05i
0.0014905-0.00017839i,0.0019694-0.00013769i,0.0019567-0.0026965i,0.001289-0.0052818i,0.00037925-0.0045594i,-0.00011175-0.0010493i,-0.00055258+0.00067426i,-0.00078962-0.00031089i,-0.0011683-0.0010996i,-0.000873-0.0013415i,-0.00073673-0.00090644i,-0.0009786-0.00022183i,-0.00076221-0.00022852i,-0.00076463-0.00031448i,-0.00058366-2.1512e-05i,-5.1972e-05-0.00020918i,0.00059309-0.00039888i,-3.7368e-05-9.579e-05i,-0.00043136+0.00040131i,9.664e-05+0.00050366i,-0.00061419+0.00029141i,-0.00034704+0.00010653i,0.00013667+0.00013246i
0.0025003+0.0012644i,0.0035467-0.00054355i,0.0044813-0.0027588i,0.0034881-0.0038i,0.0017025-0.0038156i,-0.00025111-0.0022351i,-0.00046898-0.00080285i,0.00022704-0.00080289i,0.00023447-0.001599i,-0.00020809-0.0011338i,-0.00051976+1.4371e-05i,-0.0013661-0.00010617i,-0.0015928+0.00021603i,-0.00066414+0.00088112i,-0.00010135+0.0013848i,0.00035353+0.0020153i,0.00015732+0.0010187i,0.00063972+5.0386e-05i,0.00024931+0.00058515i,-0.00032514+0.00099314i,0.00051761+0.00056021i,0.00027255+0.0002319i,-0.00025697+0.00052545i
-0.0016965-0.0012668i,-0.00085379-0.00039421i,-0.00052943-0.0013227i,0.00027137-0.0027911i,-0.00021263-0.002768i,-0.00010138-0.0022536i,-0.00013276-0.0019025i,-0.0010008-0.0017997i,-0.0012818-0.0018643i,-0.00079866-0.00079386i,0.00014852+0.00048761i,0.00023044+0.0010503i,0.00017252+0.0011599i,-0.00021128+0.0012084i,-0.00058537+0.00052758i,-0.00033199+0.00024052i,0.00014669+0.00012361i,0.00043992+0.00052242i,0.00030712+0.00062473i,-0.00056821-0.0003209i,-0.00078602+0.00018438i,-0.00074143+0.0011577i,-0.0011199+0.00077272i
-0.00013468+0.0010044i,-0.000306+0.0010628i,0.00074828-0.00067378i,0.00043603-0.0022317i,-0.0023177-0.0024815i,-0.0028887-0.0015475i,-0.0012358-9.7936e-05i,-0.00102-0.0003279i,-0.0017109-0.0010654i,-0.00094074-0.0011475i,0.00031715-0.00051263i,0.00034971-5.6373e-05i,-0.00019756-8.6032e-05i,-0.00028825+0.00050765i,0.00045752+0.0011953i,0.0011115+0.00091896i,0.00071761+0.00057426i,0.00044573+0.00020869i,-7.886e-05-1.2994e-05i,-0.0011342-0.0005323i,-0.0013921-0.0013367i,-0.0012528-0.00079082i,-0.00077423-0.00016681i
0.0009852+0.00066677i,0.0021985-0.00036555i,0.0034721-0.0022306i,0.0028842-0.0043032i,0.00021956-0.0047739i,-0.0016605-0.0033566i,-0.0019992-0.0019203i,-0.0011236-0.0012136i,0.00012294-0.0015334i,0.00012867-0.0025345i,-0.00017564-0.0021389i,-0.00032034-0.00074937i,-0.00015264+0.00025806i,0.00077718+0.0013364i,0.0012419+0.001871i,0.00098911+0.0015367i,0.0003827+0.00094542i,0.00029813-0.000398i,0.00027886-0.00075996i,-0.0004146-0.00053469i,-0.00024613-0.00019015i,0.00069764+0.0005708i,0.0016484+0.00050666i
0.00088432+0.0011005i,0.0016818+0.00092044i,0.0033619-0.00039418i,0.0034992-0.0035437i,0.00045184-0.0046749i,-0.0024577-0.002343i,-0.0020376-2.0957e-05i,-0.00044071+2.0229e-05i,-0.0001904-0.0012293i,-0.00029765-0.0017784i,-0.00082118-0.0024729i,-0.0011529-0.0025416i,-0.0012359-0.0015329i,-0.00083095-0.0010096i,-0.00033735-0.00026461i,-0.00026264+0.00050941i,-0.00080121+0.0004037i,-0.00090579+0.00027383i,0.00012866-0.00066017i,0.00086594-0.001444i,0.00067679-0.00023506i,-0.00031417+0.00047348i,-0.00036542+0.00035636i
-0.0012685-0.00081708i,-0.00013351-0.00050717i,0.00026685-0.0011704i,-0.00050849-0.0012291i,-0.0014548-0.00098524i,-0.001112-0.00052692i,0.0001382-0.00018662i,0.00055738-0.00077692i,-0.00013564-0.0012544i,-0.0012686-0.00069215i,-0.001886-0.00051341i,-0.00092366-0.0011643i,0.00077234-0.0010666i,0.00090685+0.00013864i,0.00037997+0.00069742i,0.0004294+0.0011966i,0.00037924+0.00099502i,0.00026702+0.00062295i,-9.995e-06+0.00061938i,0.00027598+0.0006438i,0.00030225+0.00038172i,-0.00036804+0.00010791i,-0.00016987-0.00025993i
