-0.0017045-0.00049653i,-0.0016445-0.00033549i,-0.0021233-0.0001542i,-0.0024048-0.0001339i,-0.0021698-5.6944e-05i,-0.0010678-9.5527e-05i,-0.00072416+0.0013022i,1.7128e-05+0.0026068i,0.0016434+0.0019376i,0.0022917+0.00055562i,0.001481-0.00039799i,0.00057868-0.0010339i,-0.00011843-0.00035579i,-0.00092429-0.00032693i,-0.00062147-0.00046287i,0.00026777+0.00015638i,0.00016607+0.00038844i,-0.00023379+0.00020402i,-0.00029859+0.00044279i,-0.00039195+0.00066842i,-0.000404+0.00012918i,-0.00078182-0.00039567i,-0.0010233-0.00031452i
-0.14024+0.095175i,0.014145+0.15551i,0.093686+0.10815i,-0.041611+0.064128i,-0.15761+0.10382i,-0.10863+0.10506i,-0.049216+0.035304i,-0.032782+0.012955i,-0.011822+0.030516i,-0.0055121+0.034993i,0.001036+0.032732i,0.014977+0.022416i,0.0049355+0.02117i,-0.0089332+0.03865i,0.0010965+0.045707i,0.020113+0.029469i,0.029226+0.0024733i,0.023331-0.018278i,0.0065024-0.02161i,-0.0016453-0.012259i,0.005761-0.0024627i,0.010517-0.0017881i,0.0011595-0.0062323i
0.14521-0.26367i,0.094721-0.28664i,0.067205-0.16215i,0.10917-0.0029467i,0.14992+0.041939i,0.10386-0.0079812i,0.022088-0.021324i,0.0019157+0.0082152i,0.027111+0.018186i,0.034539+0.0064095i,0.014207-0.0039738i,-0.010794-0.0044153i,-0.015115+0.0017522i,-0.0027403-0.0050913i,-0.00034498-0.021974i,-0.012873-0.020393i,-0.021341-0.0018978i,-0.017685+0.011632i,-0.0047023+0.014954i,0.0075653+0.010446i,0.010928+0.0019194i,0.013039-0.0028983i,0.017144-0.0065688i
-0.02003+0.24149i,-0.072088+0.20176i,-0.10911+0.13351i,-0.049247+0.066834i,-6.7172e-05-0.010689i,-0.023607-0.027471i,-0.036241+0.0064167i,-0.025286-0.002415i,-0.032763-0.032454i,-0.036868-0.033772i,-0.020951-0.019311i,-0.00046673-0.0036707i,0.015984+0.0027935i,0.02655+0.0012878i,0.031963-0.0037046i,0.03073-0.016438i,0.021893-0.028232i,0.015499-0.027658i,0.013723-0.023221i,0.0044904-0.027256i,-0.011833-0.029186i,-0.024474-0.020263i,-0.029259-0.0041861i
-0.11765-0.043162i,0.062779+0.073349i,0.29885+0.090426i,0.30278-0.0033642i,0.1297-0.01344i,0.059958+0.048574i,0.089824+0.030304i,0.067622-0.018036i,0.012203-0.015513i,-0.0091432+0.011242i,-0.0028167+0.024361i,0.0053596+0.019548i,0.00064131+0.0020834i,-0.024032-0.015648i,-0.055177-0.013811i,-0.060958+0.0085906i,-0.03872+0.029274i,-0.019633+0.032378i,-0.019147+0.025108i,-0.02421+0.028571i,-0.016783+0.041452i,0.003046+0.042286i,0.021682+0.024753i
0.26325-0.20318i,0.17115-0.42671i,-0.076258-0.54442i,-0.2411-0.403i,-0.14776-0.16912i,0.0060825-0.092505i,0.018422-0.09431i,-0.006177-0.047661i,0.01252-0.0089099i,0.021956-0.0034637i,0.022365-0.0041788i,0.02282-0.011621i,0.011576-0.0015803i,0.015232+0.025812i,0.039697+0.030498i,0.045208+0.0049183i,0.02359-0.020867i,0.0035175-0.026701i,-0.00020457-0.017495i,0.0089687-0.011075i,0.019111-0.017187i,0.015275-0.025956i,-0.0032685-0.021943i
-0.26349+0.19828i,-0.38185+0.22133i,-0.40481+0.25201i,-0.22038+0.27207i,-0.03171+0.14816i,-0.050861-0.0024324i,-0.10694-0.0053194i,-0.065319+0.020408i,-0.029991+0.0054384i,-0.024925+0.0043189i,-0.021254+0.0064752i,-0.022119+0.0043649i,-0.014632+0.0009778i,-0.012601-0.0071592i,-0.026309-0.0022915i,-0.028678+0.017994i,-0.013539+0.029615i,-0.0013368+0.025037i,0.0044125+0.012914i,0.0069918+0.0010727i,0.0035778-0.0055192i,0.00019639-0.0083937i,0.00086496-0.012067i
-0.067729-0.095309i,-0.087973+0.1572i,-0.00026356+0.37607i,0.058093+0.28391i,-0.019089+0.099531i,-0.074455+0.09041i,-0.030178+0.11563i,-0.0044455+0.075904i,-0.016397+0.040859i,-0.017661+0.022951i,-0.0089536+0.011292i,-0.0012353+0.008875i,0.0014599+0.01019i,0.0063878+0.0075958i,0.015664-0.0073873i,0.014443-0.021501i,0.003732-0.017096i,0.00086846-0.0075644i,0.0029095-0.0051115i,0.00027408-0.0041983i,-0.0033039-0.0030757i,-0.0076229+0.0011902i,-0.01331+0.01278i
0.37201+0.13358i,0.57537+0.022837i,0.63711-0.10421i,0.49984-0.14674i,0.29839-0.092232i,0.18403-0.024645i,0.12821-0.027086i,0.051915-0.041849i,0.0032417-0.011281i,0.01326+0.0098288i,0.019256+0.0023989i,0.0051938-0.0005262i,-0.0082902-0.001541i,-0.02493+0.001696i,-0.037713+0.023972i,-0.027807+0.046654i,-0.00094025+0.047692i,0.016078+0.03089i,0.01181+0.013784i,-0.00025491+0.0084113i,-0.0066773+0.0095908i,-0.0019986+0.0074652i,0.011588-0.0033567i
-0.342-0.062327i,-0.39356-0.19365i,-0.41889-0.35204i,-0.40404-0.31629i,-0.25116-0.16393i,-0.07012-0.11881i,-0.013443-0.11643i,-0.0044342-0.075632i,0.0072935-0.057622i,-3.0534e-05-0.051615i,0.0016005-0.030887i,0.011358-0.014181i,0.018735+0.0072897i,0.038779+0.023757i,0.058359+0.014328i,0.053466-0.0075502i,0.02831-0.027034i,0.00081318-0.036483i,-0.0098771-0.02885i,-0.00021231-0.017456i,0.0094808-0.018165i,0.0073227-0.019358i,-0.0019174-0.010254i
0.10373-0.15594i,-0.035376+0.037797i,-0.081732+0.30661i,-0.0062521+0.33036i,-0.033454+0.15051i,-0.13942+0.044089i,-0.14072+0.040961i,-0.072803+0.040635i,-0.03635+0.035705i,-0.037153+0.036825i,-0.044124+0.041604i,-0.035421+0.044484i,-0.018697+0.031276i,-0.01185+0.011396i,-0.0078079+0.001606i,0.0020246-0.00037544i,0.0060966-0.00065148i,-0.0038815+0.0031926i,-0.016346+0.0058436i,-0.025975+0.0077087i,-0.032497+0.018643i,-0.028682+0.027218i,-0.017283+0.017889i
0.19004+0.31052i,0.38259+0.19231i,0.39712-0.029351i,0.22607-0.10366i,0.10623+0.0044435i,0.09726+0.11662i,0.085869+0.12255i,0.042044+0.088355i,0.021301+0.063845i,0.028459+0.033838i,0.031816+0.0034441i,0.031678-0.0096927i,0.035441-0.011179i,0.038833-0.019192i,0.03079-0.037851i,0.0061786-0.049678i,-0.018412-0.035887i,-0.019533-0.009181i,-5.4562e-06+0.0020089i,0.015867-0.0087508i,0.017491-0.023204i,0.013009-0.02076i,0.0073144-0.0022927i
-0.2894-0.30136i,-0.27805-0.37919i,-0.16615-0.3946i,-0.082292-0.29513i,-0.024795-0.16152i,0.030694-0.12007i,0.028192-0.1185i,0.012007-0.078998i,0.017305-0.038023i,0.01774-0.011948i,0.022435+0.0093317i,0.026353+0.0069757i,0.0086579-0.012761i,-0.024439-0.016927i,-0.046799+0.0058378i,-0.03385+0.030656i,0.0041398+0.031507i,0.030484+0.01415i,0.025442+0.0026433i,0.0075227+0.015177i,0.0033019+0.035844i,0.010914+0.035508i,0.017753+0.015848i
0.16441-0.042983i,-0.19037-0.029303i,-0.56703+0.079696i,-0.56628+0.15318i,-0.32249+0.10424i,-0.15348+0.020178i,-0.082122+0.011062i,-0.039902+0.0092306i,-0.031558-0.019919i,-0.037056-0.030683i,-0.031699-0.027966i,-0.023895-0.01879i,-0.012947-0.001159i,0.00803+0.0037295i,0.02268-0.0097234i,0.011206-0.022224i,-0.014907-0.020357i,-0.030826-0.0094192i,-0.029245-0.0044058i,-0.017566-0.013669i,-0.0072135-0.028646i,-0.0039868-0.03632i,-0.0061761-0.031225i
-0.11565+0.44825i,0.11866+0.65949i,0.36743+0.73581i,0.42272+0.60771i,0.27904+0.35654i,0.073915+0.17366i,-0.021339+0.088757i,-0.018838+0.036607i,-0.015014+0.021065i,-0.0082475+0.035828i,0.0068666+0.031294i,0.0082051+0.00915i,-0.0062288-0.00071706i,-0.02255+0.0093286i,-0.02408+0.024918i,-0.010346+0.026083i,0.00073652+0.01407i,0.0046747+0.0056707i,0.009117+0.0094252i,0.01707+0.016902i,0.026477+0.016925i,0.026445+0.0087103i,0.014399-0.0012014i
0.01624-0.44387i,0.10189-0.48996i,0.23661-0.44274i,0.24994-0.36314i,0.16853-0.2152i,0.15834-0.034438i,0.1753+0.050266i,0.13529+0.04867i,0.088953+0.021668i,0.05217-0.015489i,0.013174-0.02654i,-0.0045154-0.010363i,0.00498-0.0028524i,0.014285-0.016434i,-0.00016014-0.031061i,-0.022145-0.016898i,-0.021804+0.012177i,-0.0071098+0.020638i,-0.00091675+0.0045228i,-0.01327-0.014966i,-0.035937-0.021042i,-0.045161-0.01268i,-0.033719+0.0023311i
0.24522+0.17083i,0.15752+0.0060702i,-0.0037272-0.18054i,-0.052405-0.23396i,-0.02485-0.22514i,-0.033317-0.24491i,-0.059205-0.22769i,-0.056718-0.15194i,-0.037506-0.071935i,-0.014829-0.02391i,0.00042352-0.011129i,-0.0047019-0.01134i,-0.030688-0.0023175i,-0.050492+0.028469i,-0.030593+0.062186i,0.0099279+0.057578i,0.028861+0.020341i,0.023705-0.013014i,0.0090092-0.022049i,0.0014571-0.010447i,0.0074689+0.0050074i,0.014416+0.01253i,0.016482+0.008239i
-0.41352+0.13396i,-0.41222+0.27095i,-0.34726+0.31471i,-0.30173+0.26564i,-0.22912+0.21582i,-0.13593+0.1828i,-0.077854+0.12728i,-0.06228+0.05848i,-0.07183+0.015798i,-0.073034+0.016845i,-0.049179+0.031526i,-0.015846+0.038282i,0.019226+0.039615i,0.047273+0.023209i,0.047815-0.0051447i,0.026548-0.018717i,0.0068857-0.013907i,-0.0038069+0.0029926i,-0.0043776+0.018406i,-9.3691e-05+0.016765i,0.00053206+0.0062587i,-0.0040405-0.0019182i,-0.011366-0.0016215i
0.36333-0.32965i,0.45022-0.30517i,0.52805-0.15175i,0.49446-0.083089i,0.27916-0.091642i,0.081996-0.058869i,0.0034265-0.024997i,-0.021643-0.0054742i,-0.0055199+0.020949i,0.01767+0.02277i,0.01145+0.0094302i,-0.00075228+0.0046594i,0.00093288+0.0079161i,0.017684+0.012001i,0.032768+0.0055511i,0.028958-0.0032875i,0.016316-0.002821i,0.0097396-0.0029358i,0.0060563-0.0068009i,0.0012772-0.0056773i,-0.00041586-0.002609i,0.0023342-0.0031032i,0.0052269-0.0056951i
-0.029407+0.3072i,-0.072969+0.052189i,-0.21323-0.30624i,-0.28162-0.35026i,-0.13503-0.1479i,0.044473-0.019043i,0.098237+0.028145i,0.090374+0.042487i,0.060888+0.019118i,0.030441+0.0041327i,0.023437+0.013222i,0.027502+0.019589i,0.02693-0.0011852i,0.0048046-0.03409i,-0.025696-0.039063i,-0.030593-0.019802i,-0.017442-0.0058906i,-0.010496-0.0041581i,-0.010921-0.0072201i,-0.011508-0.0070005i,-0.012476-0.001214i,-0.012167+0.0066725i,-0.0079548+0.015989i
-0.38766-0.22026i,-0.48187-0.04632i,-0.43257+0.14422i,-0.33526+0.15003i,-0.2638+0.038266i,-0.21309-0.058325i,-0.16292-0.096878i,-0.10745-0.068685i,-0.05239-0.028527i,-0.022284-0.01543i,-0.0023321-0.014716i,0.010327-0.022547i,-0.0028364-0.018224i,-0.010925+0.0076079i,0.0034297+0.018889i,0.016044+0.0034187i,0.015342-0.015107i,0.005817-0.016228i,0.00079382-0.00012338i,0.0099121+0.013797i,0.025314+0.015508i,0.033026+0.0069098i,0.030431-0.0093255i
0.46702+0.055226i,0.39109+0.11456i,0.14469+0.29787i,0.047147+0.41852i,0.10276+0.32926i,0.10523+0.20861i,0.072164+0.16571i,0.048867+0.1132i,0.015378+0.06173i,0.0097112+0.03781i,0.018596+0.011028i,0.014842-0.0021402i,0.016519-0.00058232i,0.013431-0.0081338i,-0.0029353-0.014914i,-0.022628-0.009263i,-0.033334+0.0053889i,-0.023092+0.015185i,-0.006431+0.0070462i,-0.0061754-0.011223i,-0.017697-0.023226i,-0.024071-0.022678i,-0.021007-0.011587i
-0.2773+0.28625i,-0.0098482+0.25907i,0.37386+0.060347i,0.44763-0.10292i,0.23812-0.11425i,0.074813-0.081702i,0.013637-0.07132i,-2.9766e-05-0.043983i,0.0095418-0.018391i,-0.0029167-0.012419i,-0.028293-0.011759i,-0.038978-0.015017i,-0.035532-0.01606i,-0.024213-0.015172i,-0.014541-0.014014i,-0.0051253-0.0067728i,0.0043242-0.0014578i,0.0070714-0.0021226i,0.0077547-0.0042231i,0.011475-0.0038925i,0.013668-0.00038796i,0.0074776+4.6427e-05i,-0.0035662-0.0031763i
-0.025741-0.50051i,-0.23475-0.50513i,-0.36767-0.3237i,-0.28113-0.17704i,-0.1312-0.11377i,-0.026307-0.050311i,0.05092-0.01698i,0.061626-0.037188i,0.028889-0.047412i,0.016471-0.03173i,0.022581-0.0062419i,0.029752+0.012418i,0.019525+0.012598i,-0.0054627+0.016734i,-0.021034+0.030115i,-0.018642+0.037096i,-0.0047827+0.035061i,0.0021729+0.02615i,-0.0093973+0.017069i,-0.024394+0.016073i,-0.029491+0.022327i,-0.021074+0.028346i,-0.0023023+0.02762i
0.34925+0.44772i,0.44541+0.39739i,0.31204+0.18483i,0.081617+0.077853i,-0.02649+0.083011i,-0.064204+0.036705i,-0.10517-0.0089675i,-0.082459+0.0052148i,-0.033997+0.018036i,-0.023885+0.020955i,-0.026866+0.017677i,-0.033389+0.008207i,-0.034784+0.015768i,-0.013648+0.027304i,0.012731+0.020328i,0.019887-0.00035561i,0.010413-0.019468i,0.0066286-0.024427i,0.014395-0.020994i,0.0227-0.0232i,0.027561-0.030421i,0.025137-0.034143i,0.012443-0.031762i
-0.50376-0.14322i,-0.48846-0.0023381i,-0.20555+0.18637i,0.060304+0.2062i,0.12758+0.10908i,0.10097+0.085064i,0.083081+0.086764i,0.040633+0.046808i,-0.0026633+0.012895i,-0.0046159-0.0090237i,0.0017313-0.021705i,0.0058255-0.012576i,0.019007+0.00096967i,0.028905+0.0024968i,0.025273+0.0027863i,0.01757+0.014528i,0.013576+0.02434i,0.0067715+0.018178i,-0.0038844+0.011239i,-0.011486+0.017718i,-0.014352+0.025229i,-0.013521+0.021585i,-0.0096191+0.013501i
0.49942-0.2831i,0.51328-0.49713i,0.33095-0.60668i,0.14549-0.50599i,0.042673-0.30508i,0.0027725-0.1628i,-0.0032209-0.090143i,0.0049532-0.053735i,0.0033905-0.025366i,-0.0093858+0.01225i,-0.013961+0.043117i,-0.0091364+0.049125i,-0.0026235+0.029955i,-0.0028808+0.0027858i,-0.0053027-0.013933i,-0.0010986-0.021075i,0.0024672-0.02156i,-0.00048631-0.014882i,-0.0042198-0.010809i,-0.0034183-0.013897i,-0.0027062-0.016372i,-0.0042138-0.010675i,-0.0054199+0.0029702i
-0.30903+0.53292i,-0.37444+0.62998i,-0.3585+0.4679i,-0.29067+0.21927i,-0.16836+0.091083i,-0.040923+0.035211i,-0.0027267-0.013066i,-0.02548-0.0062569i,-0.026752+0.015662i,-0.0039212+0.0076398i,0.022534-0.0085416i,0.038109-0.021117i,0.029144-0.022958i,0.014087-0.010957i,0.0086904+0.00082256i,0.0098898+0.0032825i,0.009516+0.0025974i,0.0071523+0.0066179i,0.0081203+0.014716i,0.011213+0.018973i,0.013719+0.017216i,0.015199+0.011582i,0.01808+0.001986i
-0.086149-0.54686i,-0.1464-0.56265i,-0.20055-0.27639i,-0.17829+0.024005i,-0.099616+0.085165i,-0.07384+0.028107i,-0.067783+0.013291i,-0.025346+0.0074866i,0.0024107-0.0019878i,0.0054333+0.0058902i,0.0051575+0.010706i,-0.0033992+0.0082966i,-0.013162+0.007308i,-0.0149+0.0039467i,-0.016947-0.0035289i,-0.026234-0.010064i,-0.029727-0.014107i,-0.022432-0.018205i,-0.014308-0.022911i,-0.012279-0.024148i,-0.014247-0.021717i,-0.013155-0.020582i,-0.012461-0.020014i
0.40978+0.39596i,0.53317+0.50601i,0.55562+0.41442i,0.44993+0.19135i,0.25202+0.019921i,0.10128-0.016525i,0.051561+0.0091352i,0.037226+0.019653i,0.026209+0.0071176i,0.011692-0.018073i,-0.010237-0.032838i,-0.012287-0.023193i,0.0070958-0.012564i,0.016008-0.014028i,0.013428-0.011194i,0.014399-0.0011135i,0.014173+0.010826i,0.011351+0.017917i,0.0067123+0.01566i,0.00069993+0.011052i,-0.0016527+0.0096948i,-0.0048695+0.011432i,-0.0089875+0.015118i
-0.4939-0.094031i,-0.57318-0.22857i,-0.45101-0.31947i,-0.28311-0.25275i,-0.17237-0.080032i,-0.086957+0.02463i,-0.039311+0.015287i,-0.041803-0.0026021i,-0.043076+0.015951i,-0.021419+0.035892i,0.0050188+0.041462i,0.013854+0.031531i,0.0010797+0.020647i,-0.0069882+0.022356i,-0.0061708+0.023154i,-0.0082524+0.016383i,-0.0093672+0.0045508i,-0.010681-0.0042058i,-0.011269-0.0034741i,-0.0077673+0.00019391i,-0.0029085+0.0021908i,0.0036985+0.0019854i,0.010149+0.0024624i
0.40453-0.21786i,0.46315-0.16746i,0.27035-0.051971i,0.034513+0.013058i,-0.034784-0.00097734i,-0.032114-0.029671i,-0.032211-0.0098199i,-0.0022935+0.013751i,0.019095-0.0086548i,0.0059492-0.03275i,-0.0042933-0.04062i,-0.0054138-0.047238i,-0.010101-0.044147i,-0.016833-0.031747i,-0.014545-0.020208i,-0.00245-0.013279i,0.008804-0.0075898i,0.016023-0.0013728i,0.017992+0.0013249i,0.014781+0.0026868i,0.011564+0.0040236i,0.0087001+0.0031993i,0.0064369-0.0011782i
-0.18711+0.37856i,-0.29756+0.45269i,-0.23114+0.44637i,-0.029396+0.38789i,0.092921+0.26489i,0.098962+0.15064i,0.078809+0.084526i,0.053609+0.04014i,0.025751+0.021106i,0.011564+0.018869i,-0.00043871+0.020375i,-0.0078609+0.034148i,0.0041621+0.047914i,0.022287+0.042898i,0.024754+0.02856i,0.010374+0.022616i,-0.0078884+0.022994i,-0.019215+0.018003i,-0.019416+0.0093183i,-0.014294+0.00069625i,-0.0089393-0.0083023i,-0.0086092-0.016618i,-0.014667-0.017416i
-0.044128-0.34039i,0.15651-0.44185i,0.34247-0.44213i,0.29654-0.38156i,0.094368-0.26201i,-0.025832-0.12834i,-0.021515-0.066545i,-0.0057041-0.065546i,-0.022694-0.055825i,-0.036025-0.025062i,-0.033049-0.0027909i,-0.02926-0.0025025i,-0.030856-0.011847i,-0.035633-0.012403i,-0.035358-0.0046776i,-0.019027-0.0021521i,0.00594-0.0080406i,0.019044-0.011646i,0.015664-0.0092233i,0.0070529-0.0041528i,0.0018258+0.0052224i,0.0031547+0.018602i,0.01073+0.025713i
0.19314+0.1521i,0.054882+0.19567i,-0.14828+0.10378i,-0.1755+0.0034122i,-0.016463+0.0070946i,0.11809-0.00026822i,0.099617-0.032275i,0.027737-0.0057041i,0.018284+0.033105i,0.038126+0.033732i,0.046614+0.026776i,0.052363+0.02501i,0.054945+0.0129i,0.052433-0.008156i,0.044825-0.021102i,0.031345-0.017699i,0.013772-0.0048485i,0.0013074+0.0049363i,-0.00071366+0.00734i,0.0005252+0.0055465i,-0.00078849-0.00037282i,-0.0017272-0.011466i,-0.0020129-0.019388i
-0.2421+0.016151i,-0.29334-0.07043i,-0.28739-0.040708i,-0.2518+0.05987i,-0.21019+0.051782i,-0.2012+0.0034195i,-0.16887+0.0095552i,-0.090713+0.010636i,-0.04615-0.0066645i,-0.034038-0.0075831i,-0.024281-0.0077325i,-0.028332-0.0083611i,-0.038145+0.010229i,-0.037324+0.034967i,-0.028721+0.040224i,-0.020841+0.020888i,-0.015455-0.0058674i,-0.010686-0.017861i,-0.0066722-0.016309i,-0.003013-0.012999i,0.0020081-0.0091661i,0.0049309-0.0046886i,0.0023576-0.0017621i
0.13386-0.077285i,0.26709+0.11091i,0.36589+0.2492i,0.3624+0.17493i,0.26381+0.031607i,0.16771-0.026813i,0.11607-0.02903i,0.068706-0.027386i,0.029671-0.023096i,0.0095829-0.017923i,0.0072466-0.011559i,0.022904-0.0099926i,0.03441-0.027245i,0.024061-0.04881i,0.0076168-0.048059i,0.002787-0.023546i,0.0055156+0.0040254i,0.0086224+0.014144i,0.0071716+0.010089i,-8.6054e-05+0.0068785i,-0.010244+0.0058235i,-0.019331+0.0047693i,-0.020989+0.0046251i
0.038741+0.067691i,-0.042523-0.094366i,-0.086123-0.28612i,-0.1051-0.28971i,-0.1389-0.11146i,-0.14212+0.041911i,-0.11258+0.06803i,-0.077594+0.041921i,-0.038942+0.029095i,-0.0044071+0.020842i,0.0067327+0.011674i,-0.00031655+0.012852i,0.00031296+0.028141i,0.016555+0.044772i,0.027699+0.04606i,0.020212+0.030352i,0.005909+0.0077776i,-0.0067028-0.0042308i,-0.013035-0.0008406i,-0.0088199+0.0039032i,0.0028136+0.005159i,0.017254+0.0074116i,0.024942+0.0093406i
-0.10502-0.035128i,-0.082509-0.045487i,-0.13754-0.017322i,-0.18537+0.01126i,-0.085384-0.024649i,0.036826-0.089503i,0.055495-0.081141i,0.032562-0.020862i,0.013769+0.0039044i,-0.0053169+0.003984i,-0.0074679+0.0041392i,-0.0038566-0.0082657i,-0.018786-0.02301i,-0.040354-0.028215i,-0.044865-0.027026i,-0.029678-0.020662i,-0.012554-0.010637i,-0.0019577-0.0021313i,0.0054508-0.001811i,0.0099954-0.0042094i,0.0079354-0.0047539i,-0.0019318-0.010214i,-0.010988-0.016025i
0.033342-0.015155i,-0.042889+0.15177i,-0.044327+0.3233i,0.025712+0.3477i,0.019844+0.25182i,-0.039991+0.18047i,-0.036087+0.14039i,0.0030775+0.072707i,0.012404+0.01288i,0.0034344-0.012548i,-0.0053639-0.020383i,-0.0050909-0.013615i,0.011637-0.0020506i,0.031514-0.00043255i,0.033208-0.0043402i,0.01562-0.0036811i,-0.0012884+0.0039549i,-0.0060403+0.0094245i,-0.0050248+0.0083333i,-0.0057448+0.0027207i,-0.0058744-0.0024313i,-0.0024556+0.0015897i,0.0035509+0.0103i
0.092663+0.073527i,0.22786-0.053431i,0.32341-0.16909i,0.27579-0.17889i,0.15282-0.12973i,0.083285-0.094976i,0.065651-0.087273i,0.0351-0.064564i,0.0042659-0.014983i,-0.0013214+0.020513i,-0.0012614+0.030442i,-0.0056361+0.02878i,-0.01308+0.026172i,-0.023938+0.030791i,-0.027666+0.035664i,-0.015806+0.03182i,0.00024135+0.017778i,0.0056306+0.0016381i,0.00056542-0.0059617i,-0.0036483-0.0043286i,-0.0034479+0.0029224i,-0.0027386+0.0061615i,-0.0043492+0.00041383i
-0.14286-0.06021i,-0.16637-0.062007i,-0.17144-0.13153i,-0.14028-0.16824i,-0.055897-0.07804i,0.014828+0.0057498i,0.0097814+0.015343i,-0.010326+0.0060665i,-0.0052682-0.0093156i,-0.0041843-0.02212i,-0.0087847-0.021652i,-0.009901-0.015951i,-0.0050315-0.015767i,0.0068651-0.024095i,0.016329-0.028677i,0.018085-0.023303i,0.012099-0.014183i,0.0046195-0.0057857i,0.0018613+0.00056485i,0.0019037+0.0028418i,0.0041701-0.00077909i,0.012062-0.0075837i,0.018291-0.0098098i
0.081899-0.060621i,-0.064948-0.030207i,-0.20449+0.10722i,-0.19951+0.19636i,-0.11736+0.1132i,-0.073876-0.0083249i,-0.051832-0.039073i,-0.023067-0.013642i,-0.0032825+0.011427i,0.011403+0.025157i,0.02807+0.029817i,0.039548+0.027135i,0.039093+0.02263i,0.030402+0.022254i,0.020482+0.019917i,0.009866+0.011147i,0.0025319+0.0037962i,0.00087791+0.0030195i,0.0011561+0.0037511i,0.0019778+0.0011378i,-0.0021653-0.0032409i,-0.016851-0.003533i,-0.029858+0.0014292i
0.017479+0.20132i,0.18832+0.22943i,0.32848+0.16819i,0.30939+0.059891i,0.17597-0.011072i,0.054024-0.0013479i,0.0099162+0.025936i,0.006246+0.010163i,-0.0057215-0.013285i,-0.024424-0.013368i,-0.036402-0.0098786i,-0.042034-0.0085945i,-0.044848-0.0039933i,-0.043875-0.0024026i,-0.036677-0.0043707i,-0.025376-0.003602i,-0.012582-0.0011232i,-0.0022887-0.0023015i,0.000405-0.0053568i,-0.0014199-0.0036446i,-0.0005887+0.0015895i,0.01053+0.004323i,0.023331+0.0011188i
-0.089493-0.20705i,-0.11671-0.2389i,-0.063301-0.24646i,-0.0091099-0.19856i,0.00012675-0.07487i,0.016302+0.0098138i,0.022099+0.0033189i,0.0036208-0.0063286i,0.0055705+0.0024543i,0.022823-0.0050893i,0.031805-0.014709i,0.034778-0.017167i,0.034394-0.019762i,0.03394-0.016826i,0.030751-0.0061063i,0.02262+0.0041535i,0.012023+0.00422i,0.0024268+0.00034929i,0.00035329+0.0008831i,0.0035093+0.0017462i,0.0052783+0.0015981i,-0.00086648+0.0028682i,-0.011277+0.0056641i
0.15199+0.042112i,0.054804-0.037516i,-0.16201-0.093073i,-0.26738-0.090424i,-0.19049-0.089245i,-0.098979-0.081995i,-0.05806-0.032608i,-0.029807-0.0015614i,-0.019519-0.0018833i,-0.019734+0.0096418i,-0.014694+0.025208i,-0.010271+0.034731i,-0.0055283+0.038749i,-0.0033923+0.029372i,-0.0042589+0.011153i,-0.0045502-0.0037866i,-0.0069268-0.0068746i,-0.0083648-0.0012805i,-0.0071701+0.0018797i,-0.0072607+0.0026062i,-0.0077419-0.00019956i,-0.0047945-0.0076538i,-0.00099629-0.012161i
-0.20187+0.14489i,-0.14005+0.29882i,0.0037551+0.39464i,0.09447+0.35947i,0.095986+0.2389i,0.071932+0.12206i,0.047503+0.044222i,0.020147+0.016888i,0.00091094+0.013831i,-0.0050221+0.0020433i,-0.001894-0.018172i,-0.00038739-0.036203i,-0.0089689-0.042767i,-0.017298-0.03577i,-0.016182-0.023303i,-0.011232-0.010219i,-0.0046283-0.00066901i,0.00403+0.00014381i,0.0099143-0.006257i,0.01174-0.011543i,0.0081296-0.006829i,0.0032914+0.010697i,0.0047306+0.024081i
0.13131-0.2383i,0.14243-0.30089i,0.14254-0.26024i,0.10074-0.18162i,-0.0011972-0.10902i,-0.065328-0.036045i,-0.043265+0.0067637i,-0.0086543+0.0030934i,0.0010102-0.0071495i,0.0034951-0.0030556i,0.0039135+0.0079637i,0.0045029+0.019723i,0.012033+0.026271i,0.017221+0.028062i,0.010603+0.025597i,0.0015608+0.020372i,-0.001072+0.013104i,-0.0024366+0.005457i,-0.0068736+0.0025919i,-0.010081+0.0048506i,-0.0051878+0.0041523i,0.0041521-0.0082425i,0.0057907-0.02262i
0.046125+0.21168i,0.060506+0.13558i,0.013776-0.039028i,-0.011282-0.10807i,0.054388-0.052864i,0.11264-0.03016i,0.079694-0.039292i,0.026661-0.015144i,0.0079478+0.012616i,-0.003358+0.015962i,-0.01647+0.010226i,-0.022234+0.0071632i,-0.02137+0.0058049i,-0.0137+0.0031066i,-0.0010373+0.0025562i,0.010457+0.0021687i,0.012062+0.00072014i,0.0026331+9.9195e-05i,-0.0047814-0.0023247i,-0.0056696-0.0074733i,-0.0056968-0.010241i,-0.0060112-0.0047085i,-0.00531+0.0034466i
-0.23897-0.11044i,-0.32636+0.0010562i,-0.30742+0.1586i,-0.22753+0.19815i,-0.16816+0.11646i,-0.13541+0.051202i,-0.084866+0.03425i,-0.031721+0.013798i,-0.010729-0.0076431i,-0.00038352-0.0088431i,0.018411-0.0026409i,0.030875-0.0052754i,0.02756-0.015258i,0.01515-0.021763i,0.0034901-0.02221i,-0.0043875-0.019141i,-0.0063649-0.012129i,-0.00047223-0.0021819i,0.007146+0.0072863i,0.010256+0.015035i,0.0083638+0.018352i,0.0011447+0.013693i,-0.0051907+0.0089681i
