-0.0017045-0.00049653i,-0.0016445-0.00033549i,-0.0021233-0.0001542i,-0.0024048-0.0001339i,-0.0021698-5.6944e-05i,-0.0010678-9.5527e-05i,-0.00072416+0.0013022i,1.7128e-05+0.0026068i,0.0016434+0.0019376i,0.0022917+0.00055562i,0.001481-0.00039799i,0.00057868-0.0010339i,-0.00011843-0.00035579i,-0.00092429-0.00032693i,-0.00062147-0.00046287i,0.00026777+0.00015638i,0.00016607+0.00038844i,-0.00023379+0.00020402i,-0.00029859+0.00044279i,-0.00039195+0.00066842i,-0.000404+0.00012918i,-0.00078182-0.00039567i,-0.0010233-0.00031452i
5.5072e-05+0.0010347i,0.00076359+0.0022261i,0.00047856+0.0020272i,-0.00024534+0.0011854i,-0.00073306+0.00093974i,-0.00097529+0.0001146i,-0.00040943-0.00051716i,-0.00012135-0.00096913i,0.0002898-0.0015325i,0.00032173-0.0015639i,-0.00010129-0.0005469i,-0.00014306+0.00031454i,-0.00014659+5.7312e-05i,-0.00041108-0.00074967i,-9.9133e-05-0.0012201i,2.1473e-05-0.00065359i,0.00076589+0.00058208i,0.0014007+0.0011845i,0.0014285+0.0006011i,0.0010269+7.5724e-06i,0.00045779-0.00046729i,0.00049734-0.00089936i,0.00035092-0.00085315i
-0.0011499+0.00045145i,-0.0011364+0.00046497i,-0.00067167+0.00091133i,5.8665e-05+0.00063906i,-9.4391e-05-0.00048382i,-0.00029591-0.0013338i,-0.00020867-0.0008969i,-0.00018646-0.00025851i,-0.00036693-0.00071257i,-0.00038512-0.0010542i,-0.00056203-0.00068383i,-0.00079505-0.0010663i,-0.0010474-0.0011371i,-0.0014276-0.00017153i,-0.0012033+0.00010488i,-0.00051695-0.00041534i,-0.00019467-0.00080858i,0.00026607-0.0010451i,0.00077855-0.00071157i,0.00053125-0.00019093i,-0.0002385-0.00040039i,-5.4985e-05-0.00080026i,0.00048535-0.00012917i
0.00094267-0.0014726i,0.00082134-0.0020101i,0.001377-0.0026345i,0.00013701-0.0032559i,-0.00070319-0.0023409i,-0.00054851-0.0010372i,-0.00058305-0.0008557i,-0.00031814-0.00061654i,-0.00011844-0.00034984i,-0.00066723-0.00059066i,-0.0013657-0.00022761i,-0.00126+0.00060031i,-0.0010731+0.00051685i,-0.00067766+0.00029391i,0.00043532+0.00073586i,0.00095688+0.0010581i,-0.00018167+0.00085332i,-0.00073693+0.00067266i,1.7716e-05+0.00075268i,0.00044993+0.00072544i,0.00021928+0.0001461i,-0.0004417+0.00015482i,-0.00038014+0.00063935i
-0.0003699-0.00064939i,-0.00076289-0.00034197i,-0.0016602-0.001167i,-0.0018511-0.0010957i,-0.0011935+1.8349e-05i,-0.00064669+0.00017848i,-0.00025896-0.00024786i,-0.00027183-0.0008191i,-0.00041571-0.00084391i,-0.0001065-0.00085609i,-3.1814e-05-0.0009804i,-0.00051406-0.00017496i,-0.00098613-7.3255e-05i,-0.0017505-0.0010076i,-0.0015109-0.0014852i,-0.00059556-0.00093298i,-0.00045485-0.00069755i,0.00026237-0.00036711i,0.00098862+0.00045591i,0.00074968+0.00079901i,0.00039675+0.00037845i,-0.00026173+0.00053435i,-0.00030239+0.00075351i
-0.0013723-0.0018744i,-0.0021938-0.0011861i,-0.0032195-0.0014694i,-0.003221-0.0013415i,-0.0021446-0.00044585i,-0.0008552+1.678e-05i,-0.00028347-0.00018049i,0.00042351-0.00034415i,0.00038241-0.0003778i,-0.0004197-0.00016587i,-0.00082225-0.00029547i,-8.1771e-05+0.00016441i,3.4057e-05+0.00042315i,-0.00036121+0.00051463i,-0.00047321+0.00031307i,-0.00066937-0.00014517i,-0.00098086-0.0002884i,-0.0013121-0.0004198i,-0.00071604+0.00015596i,-0.00097876+0.00063774i,-0.0011726+0.00073657i,-0.00061655+0.00084444i,-0.00075571+6.1458e-05i
-0.0016267-0.0022188i,-0.0015624-0.0016665i,-0.002143-0.0010872i,-0.0024546-5.1786e-05i,-0.0018659+0.0012513i,-0.00077729+0.0015546i,4.6689e-05+0.0011522i,0.00053909+0.00053051i,0.00042003-0.0010015i,-0.000205-0.0018045i,-0.00057838-0.00058664i,-0.00035837+0.00044756i,0.00017058+0.00013556i,0.00087313-0.00027805i,0.00094696-0.001175i,0.0008126-0.0010942i,0.00077526+0.00014082i,4.0026e-05+0.00085538i,-0.00029056+0.00030371i,-0.00023993-0.00023807i,-0.00052486-5.1236e-05i,-0.00017977-2.403e-05i,0.00033618+0.00068935i
-0.00048606+0.00019258i,-0.00058227+0.00029964i,-0.00049897+0.00025438i,-0.00017724+6.9672e-05i,-4.7817e-05-0.00019279i,0.00026449-0.00034507i,0.00021827-0.00029658i,0.00020469-0.0010121i,-0.00066583-0.0021331i,-0.0011058-0.0018176i,-0.0010175-0.00092136i,-0.00079729-0.0011654i,-0.00082166-0.0015025i,-0.0012962-0.0015654i,-0.0017395-0.0015351i,-0.0019673-0.0016204i,-0.00087886-0.0012408i,0.00027414-0.00071298i,0.00063099-0.00031378i,0.00097671-0.00023515i,0.00083559-0.00067076i,0.00090461-0.00045843i,0.0011108+0.0006183i
0.00084534-0.0012406i,-4.3087e-05-0.0013437i,-0.0011218-0.0013656i,-0.0011471-0.00074807i,-0.0013896+0.00071087i,-0.0012636+0.0015907i,-0.00057121+0.00090766i,-0.00052159-7.1477e-05i,-0.00029761-9.0471e-05i,-0.0006522-0.00026524i,-0.0008643-0.00010256i,-0.00065312+7.9194e-06i,0.00033401-0.00032256i,0.00059191+0.00011878i,0.00058626+0.00060253i,0.0010295+0.00073807i,0.00086516+0.00057753i,-4.7405e-05+0.00030082i,-0.0011341-5.1513e-05i,-0.000633-0.00015251i,0.00039342-0.0001598i,0.00078651-0.000297i,0.00041406-0.00052726i
0.0023597+0.00029956i,0.0024098+0.00013428i,0.0028087-0.0010092i,0.0023643-0.00068862i,0.0016634-0.00025649i,0.0012341-0.0011261i,0.0012411-0.00094726i,0.00105-0.00055873i,0.0012546-0.00064178i,0.00035375-0.00030617i,-0.0010281+0.00011427i,-0.00098924-9.7335e-05i,-0.0011858-0.0012899i,-0.0014288-0.0011789i,-0.00097908-0.0006725i,-0.00081676-0.0007731i,0.00020751-0.00054268i,0.0013774-0.00035822i,0.0016022-0.00035629i,0.0012153-2.8167e-05i,0.00017631+0.00066791i,-0.00019054+0.00067657i,0.00021741+0.00067909i
0.0015027+0.00030709i,0.00028247-0.00051388i,-0.00021954-0.0019485i,-0.00028922-0.0033849i,-0.00072171-0.0036676i,-0.00062612-0.0014476i,0.00031854-0.00035573i,0.00062453-0.00053875i,0.00035691+0.00022236i,0.00015417+0.00046484i,9.6647e-05+3.0374e-05i,-0.00065397+0.00021245i,-0.0013298+0.00015972i,-0.0011296+0.00068732i,-0.00097947+0.0014375i,-0.0012016+0.0010701i,-0.0016002-8.3585e-05i,-0.0011864-0.0018753i,-0.00051316-0.0020714i,-0.00013079-0.0019108i,0.00051526-0.0018357i,0.00067412-0.0015409i,0.00098792-0.0010815i
0.0016772-0.0006424i,0.0013557-0.001427i,0.00066385-0.0023588i,-0.00068928-0.002132i,-0.0011629-0.0014669i,-0.00049322-0.0010806i,-0.00040263-0.00084572i,-3.0831e-05-0.00064613i,0.00063294-0.00021753i,0.00051501+0.00024321i,-0.00013145+2.1107e-05i,-0.00079563+0.00016037i,-0.0013023+0.00068678i,-0.00067442+0.0011517i,0.00031523+0.00112i,0.00019344+0.00080136i,-0.00027579+0.00049345i,-3.0463e-05+0.00050301i,0.00063408+0.00069661i,0.0014524+0.00078319i,0.0010699+0.00029537i,0.00060273-7.1088e-05i,-0.00011989+0.00035804i
0.0015839-0.001405i,0.0010381-0.0021126i,0.0004039-0.003217i,-0.00089836-0.0032136i,-0.0014926-0.0022797i,-0.00058486-0.00096477i,-0.00035932-0.00054432i,-0.00051148-0.00086165i,0.00012075-0.0016794i,0.00050317-0.002231i,1.4556e-05-0.00092182i,-0.0012613+1.7422e-05i,-0.001515+0.00027637i,-0.0012733+0.00038201i,-0.0010219-0.00050997i,-0.00062909-0.00075248i,-0.00034775-0.00047018i,-0.00015689-0.00060953i,-5.345e-05-0.0014252i,-9.297e-06-0.001323i,0.00017572-0.0001453i,0.00027007+0.00095102i,0.00061134+0.0014392i
9.1052e-06-0.001136i,-0.00022828-0.0013393i,-0.00012862-0.0011875i,0.00016384+6.192e-05i,0.00072836+0.00064116i,0.00070282+0.0012656i,0.0006053+0.00079099i,0.0010635+0.00016748i,0.0011435-0.000532i,0.00058416-0.00092723i,-0.00052789-0.00040917i,-0.0010151-0.00012113i,-3.3301e-06+0.00056989i,0.0005522+0.0015953i,-3.4903e-05+0.001908i,-0.00036365+0.0016437i,-4.2305e-05+0.00051482i,-0.00018872+0.00025709i,-0.00028393+0.00088493i,5.7213e-05+0.00069015i,-7.8264e-05-0.00037724i,-0.00033634-0.0006624i,-0.00054328-0.00010185i
-0.002484-9.9239e-05i,-0.0010011+0.00011084i,-0.001643+0.0010846i,-0.0012411+0.0013221i,-7.5723e-05+0.0012336i,0.0010808+0.00064302i,0.0017556-2.4256e-05i,0.0013288-0.00032107i,0.0006423-0.00021045i,-0.00040037-9.584e-05i,-0.00093402-9.4007e-05i,-0.00033152+6.964e-05i,0.00031729-0.00033737i,0.0010384-0.0012252i,0.0010202-0.00088094i,0.00042212-0.00061447i,-0.00019196-0.0012083i,-0.00032266-0.00042315i,0.00014909+0.00069403i,0.00085341+0.0010626i,0.00067639+0.00095241i,-7.818e-05+0.00052657i,3.8659e-06+0.00064269i
-0.0038718-0.00049772i,-0.0037759-0.00055183i,-0.0039472+0.00083846i,-0.0020696+0.0025928i,-0.00025337+0.0025404i,-4.4739e-05+0.00074154i,-0.00048593-0.00055609i,-0.00085371-0.00023095i,-0.00081519-0.00014645i,-0.00086695-8.5092e-05i,-0.00072599-2.8326e-05i,-0.00030895-0.0010567i,-0.0012868-0.0023492i,-0.0018745-0.0020982i,-0.0012862-0.001462i,-0.0013217-0.00090719i,-0.0011444-0.00022288i,-0.00084745+0.0003077i,-0.00012142+0.00030143i,0.00068852-8.4396e-05i,6.062e-05-0.00076867i,-0.00059815-0.00042304i,-0.00016852+0.00013557i
0.0010258+0.0012004i,0.00059005+0.0014863i,0.00051074+0.0010485i,0.00094972-0.00081622i,0.00040936-0.0014794i,0.00025454-0.0011669i,0.00030006-0.0015352i,0.00038611-0.0019413i,0.0010684-0.00092847i,0.00040656-7.4287e-05i,-0.00077015+0.00024908i,-0.00044372+0.00078951i,-0.00092826+0.00064392i,-0.0015167+0.00065824i,-0.000812+0.00072451i,-0.00031609+0.0006325i,-0.00014039+0.00017443i,-0.00025939+0.00054728i,-0.00047421+0.0013532i,-0.00031298+0.00090716i,5.2493e-05+0.00040168i,4.6174e-05+0.00051097i,-6.0006e-05-3.3474e-07i
-0.00063791+0.00026963i,-0.00060258+0.00045263i,0.00019199+0.0001638i,0.00074818-0.00032431i,0.0013251+1.8196e-05i,0.001732+0.0011982i,0.00082234+0.0015637i,-0.00014638+0.00054202i,4.8202e-05-0.00016757i,-6.8524e-05-0.00086682i,-0.00020937-0.0010845i,-0.00042161-0.0006963i,-0.00059352-0.00042906i,-7.3366e-05-0.00043277i,-0.00097623-0.0010762i,-0.0013784-0.0013774i,-0.00013892-0.00035046i,0.0010199+0.00017935i,0.0022145-0.00055859i,0.002102-0.0010576i,0.0014113-0.00063541i,0.0013516+0.00060508i,0.0011746+0.0010383i
0.0032984-0.00010508i,0.0028879+2.1817e-05i,0.0023337-0.00048656i,0.0011665-0.00098066i,0.00012411-0.001414i,-0.00062243-0.001784i,-0.00021707-0.0017592i,0.00034243-0.001489i,0.00075273-0.0012829i,0.00029951-0.00056888i,-0.0010577-0.00029848i,-0.0016254+4.2503e-05i,-0.0025675+0.0011838i,-0.0031577+0.0021987i,-0.0023566+0.0023333i,-0.0014827+0.0011923i,-0.00032206+4.7055e-05i,-0.00042682-0.00026629i,-0.0001654-0.00055213i,0.00031309+2.2853e-05i,-0.0004945-0.000512i,-0.00013067-0.00049922i,1.6854e-05+0.0001441i
0.0011402-0.0027946i,0.000456-0.0019196i,-0.0017307-0.0017281i,-0.0027526-0.0011692i,-0.0013731+0.00028845i,-3.9327e-05+0.0010427i,-0.00046774+0.00079652i,-0.00084946-0.00033151i,-0.00030738-0.00059485i,-0.00011541-0.00055718i,-0.00066381-0.00043954i,-0.00065785+0.00068286i,0.00026676+0.0024005i,0.0010313+0.0021233i,0.00088699+0.00075485i,8.7262e-05+0.00017674i,4.679e-05+0.00021341i,9.4385e-05+0.00036554i,-0.00017567+3.8554e-05i,0.00026237+0.00019864i,0.00017741+0.00078177i,-0.00089703+0.0012518i,-0.0011505+0.0010454i
-0.0007677-0.0012604i,-0.00085127-0.0025699i,0.0001051-0.0034404i,0.00074949-0.0030597i,0.00093195-0.0018724i,0.00084934-0.00048661i,0.00089667-0.00014127i,0.00073047-0.0007189i,0.0010177-0.00080971i,0.00088009-0.00074591i,-2.0418e-06-0.00076756i,0.00016227-0.00046603i,0.00057191-0.00099168i,0.00016635-0.001406i,-0.00048148-0.0013196i,-0.00070616-0.0011172i,-0.00097186+0.0001095i,-0.00048969+0.00035692i,0.00045496+3.9419e-06i,0.00098805-0.00051429i,0.00079416-0.0015369i,0.0010954-0.0018815i,0.0016989-0.0011268i
-0.002358-0.0017077i,-0.002809-0.002771i,-0.0030162-0.0010649i,-0.0035347+9.0697e-05i,-0.0028646-2.9564e-05i,-0.00066213-2.1916e-05i,-0.00060239+7.7439e-05i,-0.0010701+8.7192e-06i,-0.00092339-6.0814e-05i,-0.0010659-0.00014938i,-0.0008441-0.00049295i,-0.00039926+0.00015348i,0.00034263+0.00074713i,0.0011392+0.00034319i,0.00043316+0.00047208i,-0.00016036-8.0824e-06i,0.00011879-0.0003107i,-0.00012525-0.00045687i,-0.00034591-0.00067167i,-0.00046971-0.00021327i,-0.00048491+0.00011835i,-0.0010533+0.0002774i,-0.0006566-7.9139e-05i
0.0016938+0.0017507i,0.0013269+0.0022703i,0.0013016+0.0022169i,0.00066267+0.0016587i,-0.0003281+0.0010051i,-0.00016231+0.00016898i,0.00039455-5.9319e-05i,0.00065842-0.00012586i,4.3996e-05-0.00064862i,-0.0006563+4.6824e-05i,-0.0016207+0.00092651i,-0.0015747+0.00047574i,-0.00033504-0.0010516i,0.00046939-0.001156i,0.00083825-0.00057406i,0.0004132-0.00025278i,0.00025088+9.821e-05i,-0.00017683+0.00065501i,-0.00039531+0.00068155i,0.0010333-3.4578e-05i,0.0014228-0.00038015i,0.00092302-0.00043866i,0.00021864-0.00013748i
