-0.0048759+0.0017919i,-0.0033015+0.0014256i,-0.0036011+0.00024387i,-0.0032201-4.1337e-07i,-0.0021581+0.0010621i,-0.0014082+0.001816i,-0.0010656+0.0018916i,-0.0008361+0.0017275i,2.335e-05+0.0013425i,0.0015651-0.00043489i,0.0016546-0.0011028i,0.00077862-0.000603i,0.00029284-0.00021142i,0.00038489+0.00078423i,0.0005309+0.00052803i,0.00012212-0.00017675i,0.00048145-0.00019882i,0.0013219+4.3456e-05i,0.00084643-0.00044759i,0.0010105-0.0010896i,0.0018986-0.00073406i,0.0017995-0.00036528i,0.0002699-0.00049472i
-0.0016605-0.0024095i,-0.0017352-0.002838i,-0.0022076-0.0035249i,-0.0021391-0.003004i,-0.0022892-0.00064315i,-0.0020501+0.0015995i,-0.00084163+0.0014465i,0.00018756+0.0010319i,0.00039456-0.00022155i,6.5746e-05-0.0020234i,0.00011043-0.0021226i,-0.00022172-0.0017526i,-0.00033917-0.0014037i,-0.00072699-0.00094332i,-0.0009763-0.00036193i,-0.00024449-9.2324e-05i,-0.00018205+0.00024162i,-0.00082764+0.00083732i,-9.3492e-05+0.0006132i,0.0005475+8.9114e-05i,0.00046482-0.00013944i,0.00079583-0.00035408i,0.00040192-0.00027249i
0.0014451-0.0027992i,0.0013959-0.0032064i,-0.00031187-0.002895i,-0.00034047-0.0012841i,-0.00028112-2.8171e-05i,-0.00051461+0.00020049i,-0.00034862+0.00012467i,-0.000287+0.00043104i,-0.00015802-0.00040749i,1.6267e-05-0.001305i,-0.00011509-0.00084363i,0.00035778-0.00081563i,0.00043709-0.0010275i,0.00033436-0.0004756i,0.00060305-0.0004183i,0.00041862-5.3183e-05i,-2.5556e-05+0.00056039i,-0.00042586-0.00015608i,-0.00044867-0.000843i,7.6116e-05-0.0010293i,0.00037788-0.00066727i,-0.00049417+0.00026822i,-0.0011978+0.00058196i
-0.00093607+0.0010553i,7.0617e-05+0.0013236i,0.0015031+0.0016565i,0.002438+0.00047842i,0.0014104-0.0010349i,0.00020659-0.0013538i,-0.0003953-0.00037914i,0.00010078+0.00069929i,0.0011494+0.0010388i,0.0015494+0.00042601i,0.0011439-0.00021807i,9.8102e-05-0.00084321i,-0.00038341-0.0015301i,0.0002607-0.001285i,0.0003444-0.00059606i,-0.00011107-0.00080958i,-0.00033061-0.001072i,-0.00048357-0.00037123i,-0.00083731-0.00018772i,-0.0004528-0.00057039i,-0.00012705-0.00049966i,9.095e-05+0.00061544i,1.435e-06+0.0010298i
-0.00011897+0.00055053i,-0.00034686+0.00013505i,-0.00051022-0.00049474i,-0.0011709-0.0002691i,-0.0011815-0.00042445i,-0.0014058-0.00068145i,-0.0011719+0.00032143i,-0.00027791+0.00070673i,0.00014872-0.00011249i,0.00044784-0.0010995i,0.00017417-0.0014894i,-0.00013365-0.0013645i,0.00034943-0.0012236i,0.00027455-0.0014175i,-5.3064e-06-0.00085662i,-0.00033402+0.00033337i,-0.00052773+0.00014775i,-0.00029207-0.00036543i,-0.00050822-0.00080095i,-0.0011455-0.00071258i,-0.001556+8.0875e-05i,-0.00085065+0.00022315i,0.00018326-0.00028787i
0.00074189-0.0020565i,0.00011647-0.0019586i,0.00078978-0.0016703i,0.00036402-0.00080467i,-0.00051808-0.00016643i,-0.00061271-0.00018223i,-0.00017947+0.001144i,0.00056895+0.0015408i,0.0014087+0.00045836i,0.00111+0.00044081i,0.001074+0.00041074i,0.00094525-0.0010456i,-0.00019549-0.0019453i,-0.00049511-0.0011769i,0.00016775-0.0007268i,0.00064828-0.0014846i,0.00049749-0.0012488i,0.00019838+1.9884e-05i,1.5433e-05-0.00034325i,0.00061078-0.00092419i,0.00099024-0.00051653i,4.1355e-05-0.00018196i,3.1404e-05+0.00071172i
0.0020539-0.0023133i,0.0028681-0.0026708i,0.001221-0.0020559i,0.00064957-0.0015281i,0.00020403-0.0016784i,-0.00035812-0.0020173i,-0.00048148-0.00066582i,-2.812e-05+0.000897i,0.00049695+4.8576e-05i,0.00051841-0.0016938i,0.00082213-0.0016912i,0.00020031-0.0010485i,-0.00065062-0.00082578i,-0.00049345-0.00027642i,-4.9957e-05-0.00010142i,5.1487e-05-0.00018469i,-0.00068594-0.00035403i,-0.00069633+0.00023258i,1.4933e-05+0.000492i,-0.00010284-0.00034671i,-0.00053437-1.0825e-05i,-0.00093735+0.00099995i,-0.0012318+0.0012023i
0.000602+0.0025861i,0.00074042+0.0028576i,0.00042327+0.0026636i,0.00013722+0.0024953i,-0.00093825+0.0016346i,-0.0012281+0.00053448i,-0.00021246+0.00026723i,7.6317e-05+0.00053094i,-0.00056728+0.00055195i,-0.00043737-0.0006741i,0.00030281-0.0015368i,0.00043455-0.0012699i,-0.00011201-0.0011237i,0.00012162-0.00039912i,0.00048354+0.00053181i,0.00013069+0.00010651i,3.4387e-05-0.00020306i,0.00044359-0.000331i,0.00089253-0.00053667i,0.0011175-0.00033479i,0.0013183+1.6129e-05i,0.0010272-9.7492e-05i,0.00054489-5.8185e-05i
-0.00050607-0.00074806i,-0.00082897-0.0005943i,-0.0012682-0.0011615i,-0.00052043-0.0013881i,0.00044919-0.00078141i,0.00069058+0.00068703i,0.00062971+0.0015309i,0.00079016+0.0012213i,0.0006473+0.00061848i,4.2578e-06-9.1772e-05i,-0.00065501-0.00055545i,-0.00030816-0.00097414i,0.0003185-0.0013906i,-0.00026489-0.0011955i,-0.00033673-0.0008072i,-5.4131e-05-0.00097027i,-0.00032441-0.0009356i,-0.00032161-0.00027214i,3.9297e-05+0.00014996i,2.3496e-05+0.00042096i,-0.00022223+0.00065933i,-8.4634e-05+0.00046457i,-0.00015317+0.00026447i
-0.00090472-0.0012349i,-0.00025146-0.00016915i,-0.00079088+4.5633e-05i,-0.0002745-0.0012895i,-0.00073236-0.002057i,-0.0016151-0.0012984i,-0.0015152+0.00016029i,-0.00089394+0.00050096i,-0.00064269+0.00025686i,-0.00037537+0.0002768i,-1.5489e-05-0.00082159i,0.00019882-0.0019281i,0.00021806-0.00098296i,-8.7282e-05+0.00061244i,6.4168e-05+0.00050725i,0.00060214-2.8811e-05i,0.00086518-0.0001749i,0.00073918-0.00023285i,0.00045604-0.00089097i,9.513e-05-0.0010183i,-0.00072727-0.00089866i,-0.00064015-0.00089111i,0.00020177+0.0001028i
0.00096731+0.00055589i,0.0016626+0.00094272i,0.0018353+0.0018075i,0.0012122+0.001114i,0.00022325+8.0305e-05i,-0.00056197-9.1051e-05i,-0.0010275+0.0001983i,-7.0713e-05+0.0011792i,0.0010311+0.0014336i,0.00050842+0.00040863i,0.00030517-0.0010102i,0.0010853-0.0014351i,0.00070418-0.00093009i,0.00014978-0.00057234i,0.00073283-0.00028492i,0.00098927+5.6012e-05i,0.00064549+0.0004884i,0.00061361+0.00058367i,0.00082842-0.00012025i,0.00073132-0.00050176i,0.00087024-0.00042021i,0.00084613-0.00030687i,3.338e-05-0.00054809i
-0.00033116+0.0021462i,-0.00046297+0.0020239i,-0.00011637+0.0029725i,-0.00016861+0.002107i,-0.00039648+0.00069406i,-0.00092782+0.00079483i,-0.0016103+0.001198i,-0.0012428+0.0010652i,-9.9296e-05+0.00012931i,0.00079885-0.00057804i,0.0011054-0.00089754i,0.0011722-0.0018024i,0.00087064-0.0018326i,0.00045979-0.0013221i,-0.00038385-0.00055304i,-0.00076059-0.0001318i,-0.0010057-0.00049168i,-0.001239-0.00039542i,-4.0632e-05-0.00038409i,0.0009096-0.00039845i,0.00053894-0.00021145i,0.00065677+0.00012304i,0.00087453+0.00041075i
-5.3979e-05+0.00095991i,0.00023219+0.00014218i,-0.00058167-0.00063596i,-0.00079647-0.00064376i,-0.00024962-0.00067307i,-5.8733e-05+0.00022032i,-0.00032378+0.0008315i,2.6319e-05+0.0010569i,0.00013737+0.00063132i,0.00046089-0.0003141i,0.00091475-0.00098189i,0.00045438-0.002105i,-0.00031472-0.0015031i,-0.0005317-0.00028603i,-0.00060796+0.00012331i,-0.00059943-0.00057242i,-0.00030447-0.00068089i,-0.00012043+0.00038324i,0.00071239+0.00074723i,0.00073549+0.00038474i,-9.1336e-05-0.00036697i,-0.00099341-0.00059723i,-0.0006109-0.0002709i
-0.0044744+0.00011768i,-0.0024499-0.00062155i,-0.00096742+6.2609e-05i,-0.00014641+0.0013292i,-0.00011741+0.0013649i,-0.00033653+0.0014968i,-0.00052569+0.0013098i,-0.00043098+0.0015832i,0.00053161+0.0016391i,0.0010242+0.0010664i,0.0014001+0.00059879i,0.0018676+0.00010597i,0.0014485+0.00013553i,0.00068108+0.00037722i,0.00058943-0.00020264i,0.00089717-0.00034042i,0.00065114+0.00021054i,0.00032823-5.5731e-05i,0.00027884-0.00042502i,0.00040789-0.00041368i,0.00047644+0.00026009i,0.00018037+0.000409i,-0.00011488-0.0002518i
0.00072967-0.0016203i,-8.3763e-05-9.7645e-05i,-0.0016805-0.0003858i,-0.00172-0.00087343i,-0.00039846-0.00074927i,-0.00032144-0.00055789i,-0.0011758-0.00041805i,-0.00080823+0.00049588i,0.00021963+0.00071257i,0.00096931-0.00022719i,0.00071694-0.00094437i,2.9741e-05-0.0013346i,-0.0004971-0.0016554i,1.0786e-05-0.0011632i,0.0007114-0.00041555i,0.00072383-2.0511e-05i,0.00028217+0.0001302i,0.0001125-0.000509i,0.00033903-0.0012395i,0.00068845-0.00061466i,0.00067913+0.00033522i,0.0007989+5.0389e-05i,0.00058897-0.00022246i
0.0039483-0.0004294i,0.0044995-0.0010284i,0.0040958-0.0013826i,0.0025271-0.0012867i,0.00060616-0.0016661i,-0.0016715-0.0018124i,-0.0024037-0.00073168i,-0.00068012+0.00035153i,0.00044108-0.00016224i,0.00031401-0.0013425i,5.1829e-05-0.0017584i,-0.00034495-0.0020352i,-0.0006735-0.0010843i,-0.00040465-0.00031025i,-0.00019787-0.00066613i,-0.00020703-0.00065343i,-0.00049678-0.00044136i,-0.00072643-0.00028705i,0.00016371-0.0006463i,0.00069427-0.00069491i,0.00043018+0.00013601i,0.00057232+0.0007009i,0.00060899+5.3288e-05i
0.0010766-0.0011612i,0.0013139-0.0017588i,0.0011172-0.0016447i,0.00068341-0.0017031i,-0.00019707-0.001971i,-0.00088293-0.0012962i,-0.0003813-0.00023471i,-4.3484e-05+0.00031574i,0.00036258+0.0005297i,0.00022652+0.00069658i,-0.00013428-2.2989e-05i,8.6374e-05-0.0010708i,0.00027227-0.0018544i,0.00044556-0.0017373i,0.00055525-0.0011206i,0.00038176-0.00078946i,-0.00022535-0.00013465i,-0.00035244-8.1369e-06i,0.00023476+0.00062504i,0.00023878+0.00060074i,0.00053224-3.5071e-05i,0.00074893+0.00027253i,0.00014793+0.00061528i
0.0016293-0.00022621i,0.001317-0.00059839i,-0.00058356-0.000575i,-0.0010364-0.00048016i,-0.00038317-0.00052461i,-0.00043323+0.00053285i,-0.00063114+0.0013272i,-0.0010873+0.0004022i,-0.00040649-0.0004888i,0.0004442-0.00072137i,0.00051099-0.0010963i,0.00029692-0.00099229i,-0.00014958-0.00089833i,-0.00052225-0.00067026i,-0.0003001-0.00065325i,0.00019011-0.00058349i,-6.5442e-05-0.00028802i,-0.00042589+7.32e-05i,-2.9365e-05+0.0008312i,0.00014665+3.8189e-05i,-0.00012853-0.0011044i,-0.0003876-0.00037784i,-0.00036089+0.00049229i
0.0027826-0.00055816i,0.0025273-0.0012596i,0.0014564-0.0017817i,0.00063684-0.0012694i,-0.00010735-0.0012408i,-0.0013834-0.00075774i,-0.0015354+0.00071468i,-0.0003651+0.00033607i,0.00026103-0.00078097i,-0.00047903-0.00089024i,-0.00097183-0.0016684i,-0.00045746-0.0027814i,2.8139e-05-0.0024688i,-5.4075e-05-0.0017485i,-0.00044234-0.0010725i,-0.00074255-0.00043883i,-0.0007006-0.0002643i,-0.00054219-0.00041496i,-0.00049209-0.00089363i,-0.00043586-0.00057137i,8.9221e-05+3.2966e-05i,0.00075441-8.3875e-05i,0.00050712-0.00033934i
-1.1579e-05+0.00090195i,-0.00060434+0.00022714i,-0.00038862-0.00011432i,-5.6279e-05-0.00071485i,-0.0010506-0.0014158i,-0.0014994-0.0019531i,-0.00039681-0.0014507i,0.00053392+0.00022993i,0.00051501+0.00094519i,0.00018701+2.4728e-05i,-0.00011913-0.0011027i,-5.4802e-05-0.0014464i,0.00013249-0.0011597i,0.0010556-0.0004106i,0.0015875+0.00010897i,0.00077945-0.00046204i,0.00021125-0.00053848i,0.00032621-0.0002503i,0.00025156-0.00043828i,-7.6813e-06-0.00016249i,-0.00014479+0.00042428i,8.317e-05+0.00062513i,2.5078e-05+0.00083077i
-0.0010761+0.0012928i,-0.00061645+0.0022015i,7.5928e-05+0.0023417i,0.00060058+0.00097806i,0.00090319+1.9958e-05i,0.00052843+4.1836e-06i,-1.4154e-05+0.00058961i,0.00032869+0.00060498i,0.0011466+0.00032753i,0.0013403+0.00052652i,0.0012745+0.00040805i,0.00066127+0.00016438i,0.00064851-0.00029594i,0.00081548+0.00033822i,0.00054154+0.0010705i,0.001033+0.00024026i,0.0012989-0.00057965i,0.00010809-0.00037627i,-0.00064744-0.00031813i,0.00031038-0.00022228i,0.00045786+0.00059002i,-3.311e-05+0.00061989i,0.00041551-0.00029214i
-0.0001993+0.00037193i,-0.00020741-0.00059241i,-1.8145e-05-0.00075483i,-0.0001697-0.00014971i,-0.00090249-0.00011007i,-0.0012537-0.00034678i,-0.00013594+0.00032381i,0.00064308+0.00062427i,0.00075303-1.2386e-05i,0.00096491-0.00088697i,0.00090729-0.001609i,0.00097535-0.002193i,0.00088402-0.0014631i,-9.2807e-05-0.00031505i,-0.00026615-0.00016173i,0.00012906+0.0001806i,-0.00033+0.00017817i,-0.00050407-3.9102e-05i,-0.00068717-0.00053166i,-0.00049068-0.00082261i,5.7432e-05-0.00042248i,0.00013828-0.00042347i,0.00013697-0.00029289i
-0.00058989-0.0011287i,-0.0005687-0.001157i,-0.00038521-0.0016452i,-0.00047099-0.0018154i,-0.0011485-0.0016681i,-0.001857-0.00065241i,-0.0016607+0.00030632i,-0.00054066+0.00076605i,0.00042218+0.00037545i,0.0003252-3.1325e-05i,0.00032089+0.00048038i,0.00030515-0.00028672i,6.3629e-05-0.0011626i,0.00011813-0.00093828i,0.00015724-0.00027632i,-0.00032349+0.00084307i,-0.00031977+0.00061485i,-6.3851e-05-0.00051524i,0.00022779-0.00039324i,0.00030806-9.3267e-05i,0.00020999-0.00040695i,0.00049361-0.00055188i,0.0004158-8.7288e-05i
-0.00043279+0.00080546i,0.00010621+0.00056514i,0.0018588+0.001739i,0.0017573+0.00203i,0.00065755+0.00067748i,-0.00019436-0.0005553i,-0.00034142-4.2438e-05i,0.00030867+0.00045219i,0.00085538+0.0006031i,0.00051177-0.00012662i,0.00029456-0.00084238i,0.00026781-0.0011741i,-0.00027371-0.0014472i,-0.0001968-0.00039933i,0.00064811-0.00031079i,0.0013786-0.00052401i,0.00055829-0.00046016i,-0.00045046-0.00094504i,-0.00028323-0.00096443i,0.00022331-0.0007355i,0.00031289-0.000853i,0.0003071-0.0006035i,0.00030541-0.00056886i
