-0.0022267+0.00012065i,-0.0009728-0.00016228i,-0.0021749+0.00070219i,-0.002087+0.00086356i,-0.0010155+0.00049106i,-0.00028112+0.00024838i,-0.00032654+0.00051957i,-0.00085674+0.00072242i,-0.00082068+0.00054191i,-0.00072724+0.00041705i,-0.00072316+0.00050764i,-0.00069189+0.00055753i,-5.0278e-05+0.00068776i,0.00034874+0.0011315i,-0.0002834+0.00071008i,-0.0003747+0.00085556i,-0.00022284+0.00071416i,-0.00013215+6.4918e-05i,-0.00063185-0.00065644i,-0.00032442-0.00042447i,0.00033817-0.00032559i,0.00028027-0.00025141i,8.0319e-06+0.00034527i
0.00053697-0.00013974i,-1.0914e-05-0.0010574i,-0.0010942-0.0014471i,-0.0012764-0.00086218i,3.8872e-05-0.0005169i,0.00029504-0.0010755i,-0.0004447-0.0012369i,-0.0006722-0.00052421i,-0.00082601+9.4714e-05i,-0.00014722+0.00037568i,0.00051585+0.00079571i,-5.0165e-05+0.0017386i,-0.00035618+0.0014282i,-1.6903e-05+0.00079587i,-8.5635e-05+0.00074688i,0.00020903+0.0012865i,0.00095804+0.0012538i,0.0011797+1.8405e-05i,0.00093318-0.00029565i,0.00046484+0.00028265i,0.00041064+3.7096e-05i,0.00041847-2.9614e-05i,0.00046633+0.00054137i
0.0013864+0.001125i,0.0014005+0.0017959i,0.0022264+0.001146i,0.0024121+0.00025685i,0.001525-0.00084377i,0.00024344-0.00068047i,-0.0011241-2.6681e-05i,-0.0012058-4.3661e-05i,-0.00084877+2.6514e-05i,-0.00035781+0.00045546i,-0.00022244+0.00057392i,-0.00020732+0.00018117i,0.00011788-0.00048578i,0.00046413-0.0009941i,0.0003293-0.0009003i,-0.00017871-0.00085229i,-0.00073028-0.00068548i,-0.00072934-8.9417e-06i,-0.00021504+0.0010433i,-0.00040624+0.0011859i,-0.00089986+0.00044491i,-0.00085538+0.0002316i,-0.00016348+0.00040168i
-0.0014634-0.0006207i,-0.0008507-0.0002243i,-0.00037285+0.0011567i,-0.00046161+0.00078459i,6.3669e-05-0.0006701i,0.00085141-0.0012294i,0.00084786-0.0012139i,0.0001355-0.00098579i,-0.00016658-0.00088782i,-0.00041825-3.8522e-05i,-0.00048561+0.00080041i,-8.0085e-06+0.00091396i,0.0003415+0.0007358i,0.00035179+0.00033248i,0.00020843-0.0001675i,-0.00051021-0.00012895i,-0.00061189+0.00036125i,-0.00010212+0.00050892i,0.00023706+0.00027006i,0.00087914-0.0003892i,0.00068026-0.0011413i,0.00074124-0.0013324i,0.0010594-0.00089923i
0.00068954-0.00054329i,0.00063052-0.00098343i,0.0018422+6.4287e-05i,0.0018258+0.00033841i,0.0013381-3.5529e-05i,0.0012084-0.00023427i,0.00053452-0.00044644i,-9.8225e-06-0.00021048i,-6.2424e-05+0.00025912i,-0.00062376+0.0002274i,-0.0012455+1.2618e-05i,-9.1732e-06+0.00011829i,0.0006844+0.00056819i,0.00036767+0.00066589i,0.00033586+0.00032557i,0.00055548-0.00013364i,0.00043313-0.00033044i,0.0003377+8.482e-05i,-0.00034927+8.9376e-05i,-0.0010227-0.00023421i,-0.0011877-0.00044257i,-0.00092639-0.0010105i,-0.00071519-0.00057529i
-0.00085322-0.00066343i,-0.0018441-0.00047138i,-0.0019152-0.0011313i,-0.0010173-0.0010172i,-0.00017447-0.00066115i,-0.00010423-0.00060111i,0.00013361-0.00070847i,-2.8222e-05-0.00057814i,-0.00053957-0.00024093i,-0.00061935+0.0002846i,-0.00023545+0.00058979i,0.00067017+0.0012958i,0.00045575+0.0014186i,-0.00018413+0.00062137i,-0.00070876+1.7054e-05i,-0.00096741-0.00015508i,-0.00077404+6.985e-05i,-0.00081605+0.00015979i,-0.0007823+0.00018173i,-0.00037569+0.00024428i,0.00014497-7.0221e-05i,-0.00039771-0.00036862i,-0.00059482-0.00081356i
-0.00091983-0.0021399i,-0.00078609-0.0010859i,-0.0012361-0.00045259i,-0.00099665-0.00088344i,-0.00073436+1.1502e-05i,-0.00032554-0.00018645i,0.00047346-0.00087395i,0.00090232-0.00091439i,0.00078038-0.00032393i,-0.00015018+0.00036694i,-0.0012549+0.00015117i,-0.0010052+0.00029824i,-8.5618e-05+0.0013093i,-0.00040031+0.0016796i,-0.00078379+0.00094843i,-0.00062331+0.00021899i,-0.00011742+0.00019747i,0.00033614+0.00086639i,-0.00012102+0.00094851i,-8.0406e-05+3.4895e-05i,0.00017198+0.00067576i,-0.00041471+0.001546i,-0.00027739+0.0011398i
0.00021945-0.0024848i,0.00048863-0.0019592i,0.00045514-0.0017975i,-0.00042385-0.0015297i,-0.00025026-0.0014579i,0.00012507-0.00092264i,0.00029478-0.00098746i,0.00015943-0.00072317i,-0.00034224+0.00029302i,-0.00042345+0.00072661i,-2.9583e-05+0.00017417i,4.7467e-05+0.00010467i,0.00019432+0.00042467i,0.00083525+0.00054083i,0.0003831+0.00088302i,-0.00043101+0.00086847i,-0.00033858+0.00018574i,-0.00020211-0.00010212i,-0.00034998+0.00051918i,-6.5182e-05+0.00039856i,-4.5683e-05+0.00051913i,-0.00055365+0.0011221i,-0.00028083+0.001162i
0.0007798-0.0008386i,-0.00010259-0.0012826i,-0.00056265-0.0020325i,-0.00050985-0.0018365i,-0.00092097-0.00081102i,0.0003004-0.00029288i,0.00036803-0.001137i,-0.00062941-0.0012561i,-0.00069241-0.00057358i,-0.00080535-0.00055549i,-0.00077062-0.00019164i,-0.00064618+0.0002253i,-0.00023761-0.00031322i,7.7342e-05-0.00043495i,8.747e-05+0.00023377i,-0.00046463+0.0008735i,-0.000482+0.0002084i,-0.0001081-0.000194i,0.00019874-0.00073515i,0.00057979-0.0011821i,0.00048615-0.00081795i,-6.6172e-05+0.00027133i,-0.00022232+0.00079587i
-0.0020652+4.8068e-05i,-0.0022631+0.00034849i,-0.0025581+0.00047073i,-0.0020057+0.00050742i,-0.00041746+0.00027685i,0.0012147-0.00067989i,0.00066127-0.0011i,-0.0004426-0.00036502i,-0.00068391+0.00055362i,-0.00056236+0.00080788i,-0.0003401+0.001075i,-0.00040995+0.0013685i,-0.00079158+0.00091458i,-0.00026313+0.00079209i,0.00022319+0.00078394i,0.0004992+0.00068759i,0.00041254+0.00098476i,-0.00083645+0.0015223i,-0.0017865+0.0014429i,-0.00094584+0.00058385i,-0.00052125-0.00020579i,-0.00117-0.00038856i,-0.00096111-0.00040491i
0.00061488-0.0010569i,0.0014397-0.00086927i,0.0010098-0.0017263i,0.0011757-0.0020298i,0.00057901-0.00066681i,-1.3534e-05-0.00054518i,0.00068709-0.0011238i,0.0010454-0.00038295i,0.00021593+0.0007415i,-0.00044602+0.0012881i,-0.00073911+0.0011879i,3.302e-05+0.0011258i,0.00079199+0.00091902i,0.00069674+0.00053452i,0.00016713+0.00050947i,-0.00069283+0.00099436i,-0.000892+0.0013731i,-0.00061957+0.0006687i,-0.00092983-6.6424e-05i,-0.00089953-2.0372e-05i,-0.0013732+0.00022586i,-0.0013866+0.00036526i,-0.00026796+0.00014287i
0.00026312+0.0012503i,-3.963e-05+0.0015063i,0.0003524+0.00096403i,0.0016288+0.00034539i,0.0017975-0.0007829i,0.00092994-0.0013115i,7.4317e-05-0.0010249i,-0.00034249-0.00057133i,2.0056e-05+0.00035596i,0.00027546+0.00079213i,-4.4144e-05+0.00094419i,6.37e-05+0.0013504i,0.00056598+0.0015808i,0.00024063+0.00086938i,0.00010696+6.3648e-05i,0.00017182+0.00036107i,-0.00013877+0.00074438i,0.00014115+0.0007193i,0.00022838+0.00095074i,0.00026254+0.00093789i,0.00037214-1.2957e-05i,0.00085077-0.00042634i,0.0012308+0.00012333i
-0.0016245-0.0010784i,-0.0019997-0.0015223i,-0.0019828-0.0019677i,-0.0013655-0.0013508i,-8.2343e-05+0.0002926i,0.0010001+0.00092108i,0.00070832-0.00029578i,0.00062924-0.0011059i,0.00024167-0.00087978i,-0.00060442-0.00027653i,-0.00063719+0.0010675i,-0.00072943+0.0014273i,-0.00048503+0.0012188i,0.00034699+0.0012128i,-2.2603e-05+0.0010472i,-0.00093052+0.001183i,-0.00041455+0.0002415i,-5.393e-05+8.7447e-05i,-0.00025604+0.00094658i,-0.00026732+0.0010339i,-0.00044973+0.00069236i,-3.0754e-05+0.00072577i,0.00048581+0.001272i
0.0014936+0.0014842i,0.0011333+0.0019872i,0.00085079+0.0017883i,0.00054228+0.00085684i,0.00087715+0.00026167i,0.00077883+4.2983e-05i,5.3075e-05+3.8274e-05i,-3.6257e-05-0.00037265i,-0.00014472-0.0001244i,-0.00055659+0.00096515i,-0.00015915+0.0014798i,0.00028403+0.0015254i,0.00033447+0.00078837i,-0.00014336+0.00055549i,-0.00073714+0.00028462i,-0.00053946-0.00032701i,-1.0165e-05-0.00015778i,-0.00019784+3.9281e-06i,-0.00068242+0.00063713i,-0.00071841+0.00144i,-0.00019316+0.0015895i,0.00076617+0.001168i,0.0008644+0.00094013i
1.0857e-05-0.00040687i,0.00051667+0.00057026i,0.0010794+2.7011e-05i,0.0010914+0.00013795i,0.00043484+0.00069968i,0.00037463+0.00030794i,9.3599e-05-0.00028719i,-0.0010232+9.7374e-05i,-0.00097295+0.00058137i,-0.00024126+0.001273i,5.5464e-05+0.00075562i,0.00012601+8.4736e-05i,0.00025403+0.00047521i,0.00014827+0.00078568i,-0.00052258+0.0010551i,-0.00032138+0.0014807i,0.00056507+0.00091926i,0.00047802-1.9698e-06i,9.1671e-05-0.00045444i,-0.00022227-0.00056052i,-0.00074511-0.00054606i,-0.00068245+0.00052193i,-0.00040432+0.0009798i
-0.0021657+0.00025539i,-0.0019248-0.00031553i,-0.0018199-7.4444e-05i,-0.0013657-0.00016776i,-0.00048025-9.8782e-05i,0.0004693-6.8395e-05i,0.00050929-8.2242e-05i,-0.00025897+0.00013095i,-0.00042544+0.00082712i,-0.00042556+0.0012337i,-0.00054433+0.00091639i,-0.00048544+0.00095587i,-0.00058578+0.00047723i,-0.00091584-7.9078e-05i,-0.0010143-0.00030904i,-0.00031205+0.00013141i,0.00028276+0.00065019i,-3.6742e-05+0.00014132i,-0.00025901+0.00030963i,-0.0010992+0.00033619i,-0.00093711+0.00023984i,8.763e-05+0.0010056i,-0.00019673+0.0011113i
-0.00049753-0.00047494i,-0.00065226+0.00015458i,-0.00063139+0.000415i,-0.00074459+0.00070943i,-0.00015992+0.00054991i,0.00035554-0.00076984i,-0.00057703-0.0014587i,-0.001109-0.00085215i,-0.00089353+7.1458e-05i,-0.00093503+0.00071605i,-0.00090557+0.00014157i,-0.00031203+0.00054799i,0.00017568+0.0010036i,-7.4973e-05+0.00039113i,-0.0010294+7.9095e-05i,-0.00082179-0.00016987i,-0.00031126-0.000224i,0.00014603-0.00014823i,0.0007133-0.00034556i,0.00088972-0.00044809i,0.00065885+0.00061975i,-0.00035162+0.00079247i,-0.0010477+4.7036e-05i
0.00069282+0.0011538i,0.00089746+0.00053166i,0.0013313+0.00012683i,0.00083072-0.00044433i,0.00030353-0.00036467i,0.00027942+0.00041993i,0.00020362-0.00053913i,0.001033-0.0011186i,0.0008255-4.9253e-05i,0.00027505+0.00087i,0.00077919+0.00087017i,0.00083841+0.00052998i,-5.1197e-05+0.00082641i,-0.00045661+0.0004803i,-0.00042847-3.0591e-05i,-0.00065735+0.00029456i,-0.00069265+0.00081045i,0.00012871+0.0011201i,-3.5274e-05+0.0014845i,-0.0012228+0.00089363i,-0.0010808+0.00025896i,-0.00048437+0.00026591i,0.00010592+0.00059892i
-0.0018587+0.0011015i,-0.0021267+0.00080965i,-0.0026947-7.2902e-05i,-0.0017445-0.00062777i,-0.00035183-0.00011069i,0.00034145-3.1102e-05i,-0.00029959-0.00027873i,-0.0005422-0.00017151i,-0.00026531+2.1616e-05i,0.00021689+0.0003346i,1.1777e-06+0.00081742i,-0.00019057+0.0011324i,0.0010835+0.0013131i,0.0013389+0.0013866i,0.00078483+0.00047283i,0.00046349-0.00041308i,0.00040044-0.00041207i,0.00050377-0.00072921i,-1.7441e-05-0.0007936i,-0.00042623-0.00035835i,0.00033027-0.00010877i,0.00079028+0.00058523i,0.0002545+0.00078043i
-0.002654-0.0013078i,-0.002519-0.0014962i,-0.0031903+0.00027065i,-0.0028632+0.0019202i,-0.001214+0.0010985i,0.00065679-8.4085e-05i,0.00052376-0.00091034i,-0.00061412-0.0010319i,-0.0010514-0.0010816i,-0.00093821-0.0006833i,-0.00070745+0.00078636i,-0.00031016+0.0021345i,0.00022296+0.0018617i,-4.2663e-05+0.0011058i,0.00018059+0.00058595i,0.00066277+2.1144e-05i,0.00018274+0.00030179i,-6.0439e-05+0.00061911i,0.00021942+0.00069555i,-4.3395e-05+0.00080273i,-0.00018004+0.0008701i,-0.00052906+0.00050129i,-0.00073376+0.00033899i
0.00032439+0.0010837i,0.0011152+0.0018581i,0.0022634+0.0025816i,0.0029539+0.0016494i,0.0026306-2.4044e-05i,0.0013436-0.0010445i,0.00034759-0.00044684i,-0.00058444+6.6653e-05i,-0.00061824-6.3143e-05i,-0.00057068+0.0010148i,-0.00088815+0.0018296i,-0.00060164+0.0016594i,0.00045136+0.0009868i,0.00049484+0.0004857i,-0.00022079+0.000791i,-0.00016519+0.00085081i,0.00043095+0.0008108i,0.00047122+0.0014664i,-0.00038095+0.0015724i,-0.00073943+0.0011866i,-0.00048385+0.00054577i,-3.8775e-05-0.00024317i,-0.0001746-1.5988e-05i
0.00051635-0.002936i,0.00055135-0.0034407i,-2.4589e-05-0.0040379i,-0.0010439-0.0035388i,-0.0015947-0.0018367i,-0.00053009-0.00061303i,0.00036051-0.00031545i,0.00013781+4.7856e-05i,-0.00026436+0.00042631i,-0.00079516+0.00076165i,-0.0009509+0.00098286i,-0.0012123+0.0014153i,-0.0010226+0.0012748i,-0.00056298+0.00078367i,-0.00025756+0.00055215i,0.00022975+0.0006585i,0.00023639+0.0008061i,-6.9393e-05+0.00040234i,9.7804e-05-9.1761e-05i,0.00034324+3.2782e-05i,-3.4346e-05+0.0002585i,-0.00041227+0.00038121i,-0.00063613+0.00039856i
-0.0016833-0.00028449i,-0.0019466+0.0011683i,-0.0016769+0.0014795i,-0.00089865+0.0011437i,-0.0003051+0.00061578i,0.00013601-4.7559e-05i,0.00042513+6.5157e-05i,0.00045064+0.00038923i,-2.4213e-05+7.0018e-05i,-0.00069811-0.00049714i,-0.00020203-0.00051674i,0.00040729-0.00033551i,-0.00019634+0.00019171i,-0.00011066+0.00049581i,-1.5993e-05-0.00044326i,0.00013149-0.0009015i,-0.00010129+0.0002742i,0.00010305+0.0010222i,0.00043801+0.0013959i,-0.00066772+0.00091697i,-0.00068863+0.0002649i,0.00018003+0.00021729i,0.00056649+9.4532e-05i
-0.0013465+0.0022589i,-0.0021178+0.0027971i,-0.0010798+0.0037295i,0.00062852+0.0027659i,0.0012576+0.0010154i,0.0015394-0.00050813i,0.0011575-0.00085261i,-0.00033061-5.144e-05i,-0.00083415+0.001679i,-0.0004229+0.0020801i,0.0001469+0.00084595i,0.00048127+0.00096526i,0.0002462+0.00096349i,0.00049248+0.00013927i,7.5024e-05-0.00022253i,-0.00030014+0.00011101i,0.00012923+0.00033979i,-0.00011304+0.00021787i,-0.00037094+0.00026801i,-8.7798e-05+0.00020724i,-0.00027017+0.00030723i,-0.00056714+0.00052468i,-8.8236e-06+0.001009i
0.00078611-7.3998e-05i,0.0014298-0.00095576i,0.001539-0.00065054i,0.00096604-0.0007607i,0.0013074-0.00083029i,0.00063894-0.00074314i,-0.00043687-0.00091025i,-0.00053104+3.0208e-06i,0.0003747+0.00030824i,0.00092095+0.00031058i,0.0004228+0.00078804i,-0.00098075+0.0011343i,-0.0011433+0.0004808i,-3.0279e-05-0.00048146i,0.00036639+2.3512e-05i,0.00055544+0.00050064i,0.00025794+0.00072878i,-0.00060616+0.0011371i,-0.00079495+0.00080032i,-0.0004585+0.00073545i,0.00041311+0.0011643i,0.00083212+0.0012068i,-0.00034274+0.00060013i
-0.0017998-0.0011816i,-0.0022694-0.00072958i,-0.0026523+0.0010041i,-0.0014526+0.0017465i,-0.00012871+0.0014798i,0.0015613+0.00061111i,0.0015609+0.00011724i,0.00056488-0.0004087i,0.00031541-0.00062266i,-9.0222e-05+0.00073821i,-0.00053929+0.0020563i,-0.00089603+0.0024223i,-0.0002853+0.001475i,0.00061422+0.00040742i,9.6423e-05+0.00060213i,-0.0004709+0.00051122i,-0.00070458+2.6583e-05i,-0.00034669-8.9476e-05i,0.0001357-0.0007664i,-6.6472e-05-0.00063438i,-0.00081656+0.00068814i,-0.00073472+0.00080446i,-0.00031586+0.00078694i
-0.0032468+0.0015796i,-0.0025159+0.00067462i,-0.0024747+0.00032791i,-0.00086008-0.00036883i,0.00022522-0.00059364i,0.00045765-0.00066564i,0.00046504-0.0010331i,-7.5257e-07-0.0011602i,-0.00062291-0.00037699i,-0.00077538+0.0003571i,-0.0010627+0.00087723i,-0.00096635+0.0011392i,-0.00016663+0.0010202i,0.00030858+0.00055622i,0.00032947+0.00023007i,0.00043276+0.00049199i,0.00079817+0.0010066i,0.00012383+0.0011429i,-0.0011391+0.0006973i,-0.0009586+0.00018193i,-0.00017354-0.00085647i,0.0002313-0.0014808i,0.00021942-0.00073247i
0.0022191+0.0014297i,0.0026522+0.00024345i,0.001343-5.5621e-05i,-6.7713e-05-0.00044652i,-0.00024715-0.00075835i,-6.4081e-05-0.00073729i,-0.00032302-0.0010058i,-0.00046123-0.00068002i,0.00015466-0.00019861i,0.00064156-0.00023131i,0.00040379+7.7622e-05i,-0.00014265+0.00037372i,-0.00055004+0.00033167i,-0.00088862+0.00064568i,-0.00010796+0.00044731i,0.00029646+0.00053476i,5.1282e-05+0.00036373i,8.037e-05+4.8403e-05i,1.9043e-05+0.00085342i,-0.00054752+0.00098686i,-0.00094496+0.00065848i,-0.0011554-0.0001002i,-0.00045261-0.00081172i
0.00062406+0.0013437i,0.00057882+0.00027762i,0.0010282-0.00038496i,0.00090372-0.00037613i,0.0010524-0.00056924i,0.0009606-0.0013379i,-8.4503e-05-0.0018457i,-0.0008562-0.0020034i,-0.00082176-0.00071993i,-0.00042834+0.00022884i,0.00039272-0.0001416i,0.00041336+0.00028079i,0.00024488+0.00081461i,0.00045397+0.0011539i,0.00032423+0.0013534i,-0.00017389+0.0012811i,-6.0606e-05+0.00072836i,0.00034689+0.00086019i,-0.00032701+0.00071084i,-0.00065178+0.00034545i,-0.001132+0.00030256i,-0.0013357+0.00084996i,-0.00033845+0.0012948i
-0.00093957+0.00086481i,-0.0026278+0.00065609i,-0.0027036+0.00032565i,-0.0011289-1.5392e-05i,1.2361e-05-0.00035527i,0.00095565-0.00067009i,0.00058887-0.00114i,-0.00043871-0.0010388i,-0.00055317-0.00028265i,-0.00077103+0.0001325i,-0.00041497+0.00075636i,0.00046711+0.0012421i,0.0005545+0.0011324i,-0.00019869+0.0010296i,-0.0003574+0.00053323i,-4.616e-05+0.00021843i,0.00031464-0.0003905i,1.0233e-05-0.0010717i,-0.00028008-0.0005785i,-0.00016059+0.0001062i,0.00010003+0.00064415i,0.00063288+0.00097376i,0.00079587+0.001111i
-0.00092951-0.001481i,0.00030516-0.0014407i,0.00010791-0.0014894i,-0.00049576-0.00057211i,-0.00091004+0.00077267i,-0.00056545+0.0013815i,-4.1875e-05+0.0010611i,-0.00091762+0.00036468i,-0.0011176+0.00019089i,-0.00046394+0.00041455i,0.00016507+0.00023134i,0.00073859-0.00011669i,0.00095996+0.00057631i,0.00045629+0.0015314i,-0.00049607+0.0014549i,-0.00030137+0.00051136i,0.001099+0.00015293i,0.0013172+0.00077359i,0.00021714+0.00070878i,-0.00028791+1.7935e-05i,-0.00038301+3.583e-05i,-0.00013093+0.0010297i,0.00082461+0.00097694i
0.0021178-0.0010034i,0.0020814-0.0012321i,0.0017732-0.00077691i,0.0014743-0.00031794i,0.00078421+0.00010472i,-2.4713e-05+0.00022204i,-0.00050327+0.0002027i,-0.00020145-4.4301e-05i,0.00045391-0.00026571i,0.00047088-1.6054e-05i,-0.00011499+1.2752e-05i,-0.00033498+0.0001819i,0.00016297+0.00066722i,-0.00020304+0.00021777i,-0.00078992-7.9211e-05i,-0.00084235+0.00098025i,-0.00073967+0.001264i,-0.00035088+0.00076139i,-0.00083478+0.00017582i,-0.0016692-0.00040613i,-0.00075242-0.00098877i,0.00015891-0.0011615i,-0.00020525-0.00055321i
