-0.00087406-0.00025407i,-0.0020792-0.00023802i,-0.0032252+0.00078926i,-0.00305+0.0014502i,-0.0027262+0.00087922i,-0.002171+0.00087516i,-0.0014934+0.0021528i,-0.00041693+0.0031401i,0.0012841+0.0023918i,0.0024233+0.00080225i,0.0024406+0.00030514i,0.0019287+0.00070405i,0.00088151+0.00064348i,-0.00042071+0.00023353i,-0.00073075+0.00011312i,-0.00030527+1.3683e-05i,-0.00051816-9.15e-05i,-0.00056949-0.00027137i,-9.5781e-05-0.00055134i,0.00028982-0.00019362i,5.541e-05-3.8869e-05i,-0.00082302+0.00020787i,-0.00096378+0.00046973i
-0.00031801+0.00039817i,-0.00060987+8.6106e-05i,0.00023925+0.00066147i,3.1758e-05+0.0009463i,-0.00064327+2.3664e-05i,-0.00052026+0.00061665i,0.0012752+0.00084822i,0.0019716+0.00091811i,0.0011445+0.00090075i,0.001007+0.00037441i,0.0011424-0.00037776i,0.0013999-0.00075966i,0.00096052-0.0010494i,-0.00012229-0.00079642i,6.7627e-05+0.00048622i,1.8575e-05+0.00085812i,-0.00028225+0.00040228i,-0.00074023+0.00038736i,-0.0010538+0.00099299i,-0.0014077+0.00044912i,-0.00041024+0.00026315i,0.00042869-0.00061846i,-8.8022e-05-0.0014104i
0.000668-0.002478i,0.00061042-0.0025481i,-9.5718e-05-0.0026177i,-0.00062158-0.0019852i,-0.00056746-0.00069107i,-0.0003778+0.00023964i,-0.00014356+0.00082555i,0.00025167+0.00053931i,0.0011821+0.00032412i,0.0015969+0.00031123i,0.0014672+0.00031476i,0.0012356+0.00058058i,0.00075726+0.00021215i,-0.00039199+0.00035832i,-0.00042672+0.00052077i,0.00053908-0.00017529i,0.00041395-0.00076314i,-0.00030162-0.00075762i,-0.00045694-0.00039583i,-3.3217e-05-0.00022008i,0.00068264-9.689e-05i,0.00092564+0.00018957i,0.00079684+0.00021675i
0.0007336-0.0023653i,0.0011271-0.0029797i,0.00048465-0.0034533i,-0.00017178-0.0015584i,-0.00079274+0.00023396i,-0.00096479+0.0010497i,-0.00080513+0.0014039i,-0.00061491+0.0012601i,0.00036422+0.00091143i,0.0010472+0.00059962i,0.00073178+0.00015097i,0.0001635-0.00074459i,0.00055788-0.00032553i,0.00062918+0.00026684i,-0.00021292-0.00027339i,-0.00069629-0.00074878i,-0.0002473-0.00048034i,0.00025748+0.00020115i,1.1828e-05+7.6592e-05i,0.00012988-0.00039517i,0.00059356-0.0005865i,0.00025828-0.00068222i,-0.00034231-0.0013629i
0.0019761+0.00066541i,0.001509+0.0014161i,0.0015035+0.0014907i,0.0015888+0.0010082i,0.0009312+0.00083131i,0.00051611-0.00011855i,0.00044016+8.7675e-06i,0.00020096+0.00034389i,6.5112e-05+0.00045652i,-0.00018142+0.00050669i,0.00031721-7.3896e-06i,0.00084783-0.00032531i,0.00090688-0.00019369i,0.00021551-0.00021332i,-0.00023877-0.00020823i,-9.8529e-05-0.00011061i,-4.8347e-05+0.00038894i,-8.2686e-05+0.00053702i,-0.00014057+0.00016663i,-0.00014716+1.9864e-05i,0.00039091-0.00051181i,0.00093292-0.00073192i,-5.3237e-05-0.00068011i
-0.0029284-0.0012687i,-0.0029455-0.00037245i,-0.0040404-0.00023512i,-0.0027163+0.00050165i,-0.00095172+0.00092847i,-1.2614e-05+0.00037217i,-0.00051977+0.00016727i,-0.00088801+0.00018652i,-0.00018618+0.00045913i,0.00045235+0.00085773i,0.00064469+0.00075931i,0.0012574+0.00048836i,0.0017372+0.00077689i,0.0013387+0.00075059i,0.000814+0.00011929i,0.00014799-0.00048009i,-0.00028314-0.0006049i,-0.00024052-0.00097197i,-0.0004592-0.00034082i,7.1836e-06+0.00029536i,-0.00030455-8.8289e-05i,-0.00080761-0.00047274i,-0.00067246-0.00068437i
0.00044646-0.0010145i,0.00064624-0.0014541i,0.0007242-0.0016308i,0.00066307-0.00065338i,0.00020924+0.00022959i,-0.00053722+0.00047094i,-0.00042516+0.0012629i,7.0232e-05+0.0020114i,0.00054738+0.0015506i,0.00074056+0.0011311i,0.00096752+0.00070947i,0.0011017+0.0011481i,0.00074024+0.00093799i,0.00046321-0.00026891i,0.00056569-0.00052578i,0.00087313-0.0011565i,0.0006167-0.00093951i,8.9982e-05-0.00031918i,-0.00052113-2.8946e-05i,-1.2555e-05-0.00015362i,0.0010261-0.00019517i,0.00114+0.00015918i,0.00035926+0.00051078i
-0.00055331+0.00080244i,0.00061561+0.0009637i,0.00013644+0.00077042i,-0.00039076+0.00040706i,-0.00027912+0.00010663i,0.00034082+0.00013537i,0.00094559+0.00020501i,5.7035e-05+8.9424e-05i,-0.00020008+5.7017e-05i,-0.00013109+0.00067546i,-0.00016716+0.0011309i,0.00038237+0.0004209i,0.00103+1.446e-05i,0.001084+0.00025769i,0.00023918+3.7829e-05i,0.00020898+0.00072261i,0.00048228+0.00027974i,0.00096586-0.00062411i,0.00076538+4.5253e-05i,0.00026106+0.00027246i,0.0010389+0.00024772i,0.001025+0.0006621i,-0.00032597+0.0007408i
0.00035071+0.0016646i,-0.00061491+0.0031637i,8.1161e-05+0.0034096i,0.0003293+0.0021639i,0.00037724+0.00058173i,-0.00019889+0.00048394i,-0.00171+0.00096516i,-0.0016522+0.0011274i,-0.00022847+0.0013633i,0.00099105+0.0012315i,0.0020088+0.00077104i,0.0022554-9.9776e-06i,0.0012182-0.00047409i,0.0002943-0.00037786i,0.00036444-0.0005238i,-0.00025864-0.00045197i,-0.00081683+0.00020292i,-0.00049984+0.0003329i,-0.00059996-0.00023332i,-0.0009285+4.3167e-05i,-0.00074479-0.0003706i,0.00041347-0.0006012i,0.00029761-0.00028098i
-0.0018655-0.0002219i,-0.0027742-0.00071137i,-0.0033315-0.00010858i,-0.0022034-0.00037221i,-0.00088338-0.00089675i,-0.0010088-0.00079025i,-0.0016073+1.4379e-05i,-0.00067527+0.00058457i,0.0011134+0.00099702i,0.0021289+0.0013091i,0.0018546+0.0007914i,0.001284-0.00037539i,0.0014855-0.00052847i,0.0011414+0.00031606i,0.00076312+0.00059944i,0.00033874+0.00043703i,0.00010984-8.3339e-05i,0.00067284+0.00036557i,0.00043928+0.00061228i,-0.00021527+4.7365e-05i,-0.00032005-0.00029861i,0.00035889-0.00097697i,0.00088314-0.00070438i
0.0020474-0.0010216i,0.0036892-0.00076814i,0.0041869-0.00024324i,0.0024554+6.4591e-05i,0.00032387+0.00018654i,-0.00063573+0.00025308i,-0.0012573-0.00050234i,-0.00071522-0.0011918i,0.00050771-0.00022809i,0.00078396+0.0010384i,0.00049022+0.00097536i,0.0007979+9.6872e-05i,0.0017486-0.00011792i,0.0014124-8.6227e-05i,0.00059084-0.0007365i,0.00056407-0.00054204i,0.00078323+0.00030711i,0.00056409+0.00023191i,-7.7871e-06+0.00012824i,0.0002521+9.6418e-05i,0.00052016+0.00032687i,0.00067504-0.00019686i,0.00029718-0.00071799i
-0.00066718+0.0023651i,-0.0007669+0.0026806i,-0.0014351+0.002463i,-0.0014609+0.0018049i,-0.0010332+0.0015909i,-0.00056814+0.0011349i,-0.00078427+0.00039047i,-0.00086087+0.000362i,-4.7504e-05+0.00096625i,0.00097891+0.0011496i,0.0019223+0.0012019i,0.0021556+0.0003296i,0.0014256-0.00032078i,0.00093878+0.00048091i,0.00086428+0.0013926i,0.00068116+0.0010709i,0.00079094-0.00057771i,0.0012081-0.00089036i,0.00086452-3.4816e-05i,-0.00036349+0.00010793i,-0.00081844-0.00059962i,-0.00035523-0.00053155i,0.0004573+0.00021701i
-0.0023802-0.00041612i,-0.0017722-0.0012708i,-0.00034029-0.00059773i,0.00029508+0.00055322i,0.00061304+0.0010206i,0.00025586+0.0002924i,0.00031964-0.00026705i,0.00039959+0.00030139i,-5.9726e-05+0.0008578i,9.7907e-05+0.00053404i,0.00059573+0.00051908i,0.0011413+0.00092866i,0.0012666+0.00028451i,0.00043919-0.00049728i,-0.00015421-0.00071548i,-1.823e-05-0.00026952i,0.0004774+0.00015282i,0.00084121+0.00040481i,0.00098696+0.00044706i,0.0013486+0.0005926i,0.0014384+0.00042303i,0.0010041+0.00021758i,-7.07e-05+0.00047525i
-0.00042926-0.0031745i,0.00028743-0.0031762i,-0.00041076-0.0018628i,-0.0017083-0.00078486i,-0.002513-0.00027176i,-0.0015724-9.5988e-05i,-0.00066049-0.00034459i,0.00040561+0.00049242i,0.0017103+0.00047007i,0.0023957-1.3242e-05i,0.0015625+0.00050269i,0.00020456+0.00040375i,-3.4781e-06-0.00033454i,0.00067929-0.00090971i,0.00092731-0.00074141i,0.00059986-4.0268e-05i,0.00023227-4.2397e-05i,0.00040168-0.00035436i,-4.5777e-05-0.00029689i,-0.00049313-0.00027639i,-0.00025307+0.00053237i,-0.00011023+0.0006002i,-0.00028717+2.192e-05i
0.0026918+0.0017525i,0.001634+0.00071014i,0.0008199+0.00011127i,-2.1849e-05-4.2773e-05i,-0.00027241-0.00084852i,-0.0003508-0.00071967i,-0.0010504+0.00013338i,-0.0012816+0.0007373i,-0.00056944+0.0010583i,0.00076608+0.00087943i,0.0013564-0.00010172i,0.0015268+0.00021577i,0.0010464+0.00030658i,-0.00017578-9.1334e-05i,-0.00065636-0.00011891i,-0.00034391+0.00025836i,-9.2057e-05+0.00021112i,-7.4604e-05-0.0005249i,-0.00027429-0.00052467i,-0.00050257+0.00016814i,0.00012478+0.00036292i,0.0005051+0.00048075i,0.00064728-0.00014734i
-0.001238+0.00035149i,-0.001758+0.00074476i,-0.0019411+0.0011103i,-0.00081419+0.001692i,-0.00052305+0.0012565i,-0.00015981+0.0001617i,-9.8832e-05+0.00021486i,-0.00031161+0.0010215i,0.00028041+0.0013285i,0.00086426+0.00066646i,0.0021121+0.00021763i,0.0020263+0.00021959i,0.001313+3.8596e-05i,0.0013771-0.00024533i,0.00087978-0.00010488i,0.00040743+0.00010465i,-6.0463e-05+9.941e-05i,-0.00072295+0.00010884i,-0.00097482-0.00031156i,-0.00042877-0.00047636i,0.00014099-0.00042025i,-5.6666e-05-0.0001638i,-0.00024119+0.00028453i
0.00085463-0.00085322i,0.001655-0.0001624i,0.0015051-0.00060321i,0.00055132-0.0010084i,-0.00038014-0.00059504i,-0.00059615-0.0003572i,-0.00083329+0.00010166i,-0.0014126+0.00065043i,-0.0003425+0.00049949i,0.0012011+0.00050454i,0.0016056+0.00024183i,0.0011656+0.00038991i,0.001343+0.00018195i,0.0011991-0.00021299i,0.0008792-8.0883e-05i,0.00027647+2.9785e-06i,-0.00029783-0.00014216i,-5.0824e-05+0.00028507i,-0.00019634+0.00018388i,-6.7639e-05-0.0002715i,0.00011027-0.00012049i,-5.4882e-05+0.00022951i,-0.00016486+0.00016816i
0.00028485+0.00070483i,-8.0882e-06-0.00080541i,0.00017287-0.0015152i,-9.7599e-05-0.00080694i,-0.00013515-0.0003344i,-0.00028297+7.1954e-05i,-0.00034711+0.00017237i,0.00046844+9.6365e-05i,0.0013971+0.00023908i,0.0016372-8.7486e-06i,0.0016437+0.00016351i,0.0012086+0.00052172i,0.0007299+0.00063798i,7.7855e-05+0.0008527i,-0.00040003+0.00080657i,6.593e-05+0.00032184i,0.00042495+0.00024017i,0.00027553+0.00057029i,-0.0003438+1.2062e-06i,-0.00021789-0.00074299i,-3.8513e-05-0.00065133i,-0.0001378-0.00015835i,0.00032656+5.467e-06i
0.0005601+0.0021117i,0.00012717+0.0018182i,0.00030928+0.0013847i,3.8812e-05+0.00059792i,-0.00053517-0.00016554i,-0.0013297-0.00034466i,-0.0015079+0.00035829i,-0.0016104+0.0010097i,-0.00070045+0.0010577i,0.0010344+0.0010851i,0.001886+0.00034827i,0.0015302-0.0001544i,0.0012334-0.00021311i,0.00076219-0.00059049i,-4.4197e-05-0.00057113i,-9.0943e-05-0.00047185i,0.0002289+8.9021e-06i,0.00043831+0.00038319i,0.00011521+0.00021883i,2.4908e-05+0.0003303i,0.00032499+0.00043348i,0.00058782+0.00056762i,0.00053011-5.0395e-06i
-2.8553e-05-0.00098352i,0.00058776-0.0010085i,0.00062846-0.0012588i,0.00044885-0.00094699i,0.0003875-0.00093194i,0.0001579-0.0006398i,-0.00086751+0.00036125i,-0.00058331+0.00099512i,0.00059496+0.0010604i,0.00071832+0.00034936i,0.0010437-0.00036702i,0.00095574+7.0918e-06i,-0.00019566+0.00017098i,-0.00015541-0.00059507i,0.00018369-0.000613i,-0.00025368-0.00070824i,-0.00039218-0.00017141i,-0.00043987+0.00089861i,-0.00021157+0.00078324i,9.435e-05+0.00047844i,0.00060518+0.00011802i,0.00062374-0.00086712i,0.00029759-0.0012627i
0.00097859+0.00026053i,0.00073653-0.00012909i,0.00089514-4.9918e-05i,0.00032472-0.00012832i,-0.00058193-0.00086133i,-0.0015762-0.0008807i,-0.0019298+9.2932e-05i,-0.00063274+0.0017124i,0.00061947+0.0014538i,0.0014628-0.00013123i,0.0016777-0.0010323i,0.0013105-0.00088327i,0.00066122-0.00062032i,0.00023713-0.00046994i,0.0010975-0.0006243i,0.0010681-0.00063779i,0.00047446-0.00011078i,0.00046735+9.2656e-05i,-0.00018434+0.00042953i,0.00028345+7.6449e-05i,0.001299-0.00038821i,0.00088943-0.00077262i,-0.00032338-0.0011958i
-0.0025542+0.0015192i,-0.0020185+0.0013947i,-0.00075639+0.0011159i,-0.00027311+0.00077609i,-0.00036164+0.00085266i,4.1061e-06+8.7949e-05i,-7.3197e-06-7.9615e-05i,-0.00046735-2.1764e-06i,0.00074031+0.00040614i,0.0024504+0.0011621i,0.0031754+0.0012933i,0.0029985+0.0010749i,0.0014389+9.444e-05i,-0.00010127+1.8212e-05i,-0.00013947+0.00041733i,0.0002767+0.00017925i,0.00030196+0.00029096i,0.00037629+0.00022424i,0.00027426-4.6492e-05i,0.00034086-0.00049083i,0.00054814-9.9065e-05i,0.0010094+0.00058292i,0.00096148+0.00025502i
-0.00035702+0.0011708i,-2.0862e-05+0.0010572i,0.0018669+0.0012994i,0.0013919+0.0012041i,0.00036172+0.00041081i,-0.00080308-0.00091335i,-0.0018682-0.00028337i,-0.0014859+0.00083708i,-0.00048022+0.0014799i,0.00047551+0.001692i,0.0012386+0.00069107i,0.0014999-9.8169e-05i,0.00071802-0.00097184i,0.00027653-0.0012819i,0.00042967-0.00079853i,0.00045601-0.00058873i,-0.00077907-0.00062014i,-0.0011942-0.0003669i,-0.00043228-0.00030192i,0.00039517+0.0002293i,0.00047957+2.5929e-05i,0.00042153-0.00021271i,0.00047832+8.5966e-05i
-0.0036875+0.0013785i,-0.0039593+0.00099184i,-0.0030147+0.002787i,-0.0014253+0.0028642i,0.00013818+0.0017947i,0.00073338+0.00074735i,-0.0003744+0.00020423i,-0.00069458+0.00046554i,0.00027563+0.0012536i,0.0017108+0.0011662i,0.0022173+0.00068693i,0.0016096+0.00056281i,0.00088066+0.00058704i,0.00077172+0.0007948i,0.00068455+0.001369i,0.00011848+0.00092848i,-0.00037174+4.6262e-06i,-0.00050804+2.6128e-05i,-0.0003727+0.00016064i,-1.3043e-05-0.00031015i,0.00024763-0.00046958i,0.00025478-0.0006633i,-0.00042952-0.00096896i
0.00049704-0.0013141i,0.00015693-0.0011814i,-0.00083746-0.00066194i,-0.00066574-0.00035603i,0.00034569+0.00014266i,-3.1363e-05-9.398e-05i,-0.00065806+0.00051316i,-0.00088268+0.0013048i,-5.136e-05+0.0018607i,0.0011122+0.0016685i,0.0011858+0.00079231i,0.0011127+0.00024531i,0.00093426-3.0503e-06i,0.00043604+0.00020969i,0.00015573+0.00046889i,-2.8399e-05+0.00068719i,-7.23e-05+0.00021603i,-8.7475e-06+8.0406e-05i,1.4546e-05+2.3238e-05i,-0.00011108-0.00058458i,-0.00042429-0.0011647i,-6.6269e-05-0.0019924i,0.00040732-0.001569i
0.0011797-0.0016554i,0.00087469-0.001558i,-0.00026603-0.0010215i,-0.00095902+0.00016935i,-0.00141-9.7948e-05i,-0.00099463-0.00022175i,-0.00042312+0.00010357i,-0.00025005+0.00024563i,-5.2131e-05+0.00027008i,-6.5854e-05+0.00013923i,0.00032925+0.00027138i,0.00098599-2.2331e-05i,0.00098276-0.00098984i,0.00071727-0.00055675i,-2.1364e-05+0.00058803i,-0.00010246+0.00049071i,-6.1894e-05-0.00020765i,-0.00077796-0.0005923i,-0.00039328+0.00028217i,-0.00011085+0.0016091i,-0.00031032+0.001878i,-0.00062458+0.0010167i,-0.0010546-6.6293e-05i
0.0010457+0.00098476i,0.0024276+0.0025627i,0.0021508+0.0022297i,0.0015757+0.00083282i,0.00089107+0.00032041i,-0.00039318+0.00067918i,-0.0014849+0.0011838i,-0.0017183+0.001564i,-0.00086613+0.00083908i,0.00051426-0.00044361i,0.001749-0.00079745i,0.0020283-0.00075718i,0.0014737+7.169e-06i,0.00050617+0.000187i,0.00055536-0.00047651i,0.00063615-0.00038603i,-0.00037495+0.00013293i,-0.0012052+0.00045191i,-0.00069839+0.00040718i,-0.00025326+0.0001925i,-0.00061389-0.0002368i,-0.00027668-0.00016385i,9.8772e-06-0.00028329i
-0.0016289-0.00090739i,-0.0030271-0.00064937i,-0.0034445-0.0013874i,-0.0030632-0.00063422i,-0.0017484-0.00032939i,-0.00085529-0.0011888i,-0.00055299-0.00079675i,-0.0003058+9.6737e-05i,0.00025115+0.00063263i,0.00090642+0.00012745i,0.0016297-0.00017647i,0.0020125+0.00020718i,0.0015504+0.00014174i,0.00086738+0.00049498i,0.00046377+0.00062429i,-0.00033019+0.00026626i,-0.00084309+0.00071331i,-0.00078339+0.0012468i,-0.00048919+0.000342i,-0.00029298-0.00067998i,-3.1032e-05-0.00031922i,-0.00023055+0.00010152i,-0.00043121-0.0004796i
0.0019026-0.00058068i,0.0022536-0.0011269i,0.0015567-0.001764i,0.0013788-0.0015956i,0.0010904-0.0021583i,0.00039134-0.0018719i,-9.894e-05+0.00015027i,-0.00023519+0.00071552i,0.00032721+0.00017089i,0.0014423+0.00064081i,0.0019733+0.00098077i,0.0017566+0.00092515i,0.0012909+0.00050843i,0.00089618+0.00014791i,0.0010199+0.0011926i,0.00076146+0.0012405i,0.0002732+0.00081964i,7.274e-05+0.0010509i,8.4488e-05+0.00086502i,-0.00018083+0.00016484i,-0.00067375+0.00012107i,-0.00075913-0.00037171i,-0.00041775-0.00066967i
-0.0010858+0.0014708i,-0.00046556+0.0016459i,0.00021294+0.0026811i,0.0001797+0.0020546i,0.00097355+0.00077561i,0.0010443+0.00064701i,0.00072767+0.0004114i,0.0010384+6.426e-05i,0.0011625+0.0005222i,0.00054289+0.0010547i,0.00054956+0.00070304i,0.00088388+0.00051118i,0.0002683+0.00016153i,0.00052383-0.00021241i,0.0005001-1.0148e-05i,0.00010641-0.00014309i,0.00041184-0.00077316i,0.00040654-0.00052299i,-0.00023801-0.00014124i,-0.00071772+5.8641e-06i,-1.8824e-05+0.00023399i,0.00033525-3.4254e-05i,0.00032838-0.000788i
0.00074902+2.8878e-05i,-7.1505e-05+0.00012277i,-0.0011196+0.0010742i,-0.0011027+0.0011826i,-0.0013505-3.5689e-05i,-0.0014827-0.00049657i,-0.001082+0.00081894i,-0.00026577+0.0012067i,0.00066677+0.0011515i,0.00079103+0.00062938i,0.0011876+0.00031735i,0.00097914-0.0001912i,0.00023628-0.0012921i,-0.00037413-0.0012286i,-0.00081562-0.0007266i,-0.00041373-3.8996e-05i,-1.7218e-05+0.00030076i,0.00011598-0.0003625i,0.00023615-0.0013923i,0.00029011-0.0016935i,0.00025963-0.0012827i,0.00061022-0.0010097i,0.00031996-0.00073964i
0.00033688-0.00097847i,0.00067077-0.0003676i,0.00027795-0.00064058i,-0.00041163-0.00092763i,-0.00083792+0.00081239i,-0.0010595+0.001167i,-0.00081744-9.3024e-05i,-0.00013047-0.00028562i,0.00054159+0.0002989i,0.001361+0.0010506i,0.0017933+0.0016619i,0.0012336+0.0014102i,0.00051735+0.00015101i,0.00063826+0.00011249i,0.00027868+0.00039994i,-0.00048899+0.00034224i,-0.00049362-0.0001414i,0.00028277-0.00024364i,0.00027188+0.00022383i,-0.00056587-0.00055659i,-0.000558-0.0012029i,-0.00025397-0.00031197i,5.4764e-05+0.00079536i
0.0011695+0.0011913i,0.001453+0.0010744i,0.0019034+0.00050577i,0.0020654+0.00029768i,0.0010971-0.00024093i,-0.00028389+0.00031916i,-0.00086994+0.000898i,-0.00020961+0.001019i,0.00017751+0.0011537i,0.00075884+0.00031654i,0.0015943-0.00053691i,0.0010509-0.00024248i,0.00051535-0.00013304i,0.00046756+0.00037939i,0.00067554+0.00098027i,0.00098532+0.00034319i,0.00062201+0.00046236i,7.6918e-05+0.00092464i,8.2329e-05+0.0002277i,0.00051295-0.00043932i,0.00017508-0.0003483i,-0.00057793+0.00022347i,0.00017818-0.000258i
