0.0008938-0.00046986i,0.0021813+0.00037946i,0.0018715+0.0010182i,0.00046822+0.00082228i,-0.00059793+0.00035263i,-0.00033864+0.00081405i,-8.2767e-05+0.00082958i,-0.00053781+0.00012102i,6.9257e-05-0.00049426i,0.00085302-0.00052806i,0.0010335-0.00039934i,0.00070438-0.00063456i,7.0289e-05-0.00033665i,-1.1767e-05-1.3893e-05i,-0.00016897+1.2955e-05i,5.5214e-05-1.5733e-06i,0.00018823-4.9167e-06i,0.00011766+4.9773e-05i,0.00065225-0.00013657i,0.00093634-0.00041286i,0.00031434-0.00070215i,-0.00012785-0.00044843i,-6.1026e-05+0.00046118i
0.0004314+0.0007894i,0.0014502+0.00071469i,0.0017954+0.00047222i,0.0010513+0.00045518i,0.0007114+0.0004744i,0.0013014-0.00010463i,0.00075373-0.00055194i,0.00012839+0.00012327i,0.00043817+0.00097259i,0.00073556+0.00062523i,0.00096618+0.00039444i,0.00030589+0.00027216i,0.00050457+3.8345e-05i,0.00084288+4.9338e-05i,0.00033016-0.00032898i,0.00049701-0.00020688i,0.00051048-0.00055111i,0.00059994-0.00081143i,0.0009326-3.7982e-06i,0.00065657+0.00023577i,-9.2285e-07+0.00011946i,-0.00077005+0.00022709i,-0.00089035-8.4267e-05i
6.3145e-05+6.5874e-05i,-0.00016502+0.0022632i,-0.00098257+0.0017022i,-0.0012494-0.00024555i,-0.0011408-0.0014727i,-0.0010329-0.0011762i,-0.00020576-0.00058442i,0.00042621+8.7001e-05i,0.00016406+0.00032423i,-5.5342e-05+4.9172e-05i,-0.0001014-0.00048735i,-0.00012167-0.00031918i,0.00033916+0.00036205i,-0.00018234+0.00036791i,-0.00011564+9.3333e-05i,0.00058695+0.00071812i,0.0011078+0.0011547i,0.00088855+4.704e-05i,2.9119e-05-0.00047727i,-0.00057923-0.00030313i,8.725e-05-0.00075638i,0.00014784-0.0011805i,-0.00011639-0.00087084i
-0.00014807+0.0012542i,0.00076442+0.0035204i,0.0014295+0.0032581i,0.00029161+0.001721i,-0.00055999+0.0010209i,-0.00031805+0.0008576i,-0.00077206+0.00042728i,-0.0011364-0.00014158i,-0.00035306-2.6236e-06i,0.00054901+0.00056406i,-0.00011114+0.00082091i,-0.00048988+0.001093i,-0.00036823+0.0011332i,-0.00024684+0.00057973i,0.00015401-0.00023243i,0.00010419-0.00012576i,-0.00047858-6.0336e-06i,-0.00089775+0.00019871i,-0.00071794+0.00010501i,-3.1971e-05+0.00033158i,5.4797e-06+0.00044823i,-9.3414e-05-3.7958e-05i,0.00027749+0.00031914i
-0.000253+0.00056594i,-0.0013686+0.00062948i,0.00030506+7.0065e-05i,0.0012069+0.00025062i,0.00026491+0.00055438i,-3.5774e-05+0.0007497i,1.0011e-05+0.00065843i,0.00016027-0.00016597i,0.00089276-0.00052164i,0.0012998-0.00021718i,0.0004925-2.0245e-05i,-0.00056284-4.8158e-05i,-0.0007676+0.00036949i,-0.00056007+0.00097327i,-0.00075678+0.00061808i,-0.0008312+0.00010546i,-0.00016459-0.00038853i,0.00030904-0.00017197i,-0.00042171+0.00050149i,-0.00078144+0.00035131i,-0.00091134-0.00052965i,-0.00093015-0.00055818i,-0.00085265-9.4243e-05i
0.0011301-0.0010041i,0.00097009-0.0011072i,0.0017416-0.00096593i,0.0021768-0.00054474i,0.0003286-9.6122e-05i,-0.00082302-8.4588e-06i,-0.00077214-0.0002356i,0.00014783-4.2177e-05i,0.0017486+0.00012034i,0.002061-0.00017979i,0.00078386-0.00049117i,-0.00036064-0.00018991i,-0.00024595+0.0010046i,-0.00028324+0.0011439i,-0.0009332+8.7872e-05i,-0.0010298-0.00065384i,-9.346e-05-0.00055894i,0.00055503+0.00014757i,0.00030075+0.00035571i,-0.0004863+0.00014845i,-0.00018356-0.00046807i,-0.00020176-2.8912e-05i,-0.00024968+0.00062199i
0.00078396+0.0012567i,0.0010396+0.0017725i,0.00053581+0.001901i,1.225e-05+0.0012254i,0.00033105+0.00073516i,0.00049569-0.00013497i,0.00030912-0.00065326i,0.00031813-0.00012274i,0.00040959+0.00028144i,0.00050555+0.00043579i,0.00067931+0.00014263i,0.0007347-0.00014809i,0.00052905+0.00014781i,0.00011774+0.00063159i,-0.00035601-0.00024176i,0.00037607-0.0011305i,0.00023088-0.00039434i,-0.00013459+0.00032087i,0.00013635+0.00070612i,-0.00028587+0.00040734i,3.4784e-05-6.2993e-05i,0.00031263-2.5852e-05i,0.00018242-0.00013574i
-0.00067611+0.001214i,0.0001957+0.0014904i,0.00075439+0.0011689i,-0.00066647+0.00065097i,-0.0019614+0.00033452i,-0.0012477+0.001046i,-0.00025184+0.0018756i,3.4889e-05+0.0012388i,9.4663e-05+0.00053698i,0.00044951+0.00019304i,0.0004316+0.00019991i,6.6256e-05+0.0004136i,0.0001519+0.00094965i,4.3612e-05+0.00075581i,-0.00034811+0.00028056i,-0.00047344+2.0747e-05i,-2.3401e-05+0.00027079i,-9.9342e-05-0.00037017i,-0.0002613-0.00112i,0.00037963-0.0010035i,0.00096779-0.00057392i,0.00081817-3.8018e-05i,0.00088095+0.00064749i
-0.00027326-0.00055795i,-0.00010652+0.0001307i,-0.0003579+0.00077385i,4.4662e-05+0.00041981i,0.00023874+3.1097e-05i,-0.00061944+0.00013504i,-0.00046376+0.00041656i,-0.00048873+0.0004312i,-0.0007693-0.00038891i,5.3666e-05-0.0010044i,0.00019765-0.00061488i,-0.00024544+7.824e-05i,0.00031594-5.0997e-05i,0.0013063-0.00026167i,0.00094284+5.9386e-05i,-0.00034757+0.00011111i,-0.00032724+0.00018449i,0.00066399+0.00048043i,0.00067803+0.00038018i,9.8068e-05+0.00029251i,-0.00040041+0.00012933i,-0.00097761-0.00032769i,-0.00070037-0.0010632i
-0.00024026-0.0019087i,-0.00011171-0.0024563i,0.00055845-0.0022148i,0.00090066-0.0013021i,0.00049723-0.0010079i,-0.00021394-0.0012812i,-0.00052885-0.00042342i,-0.00038465+0.00048035i,9.0038e-05+0.00065117i,0.00076054+0.00047583i,0.0012285-0.00064606i,0.00075703-0.000695i,0.00065504+0.0004706i,0.00072262+0.00050949i,0.00045297-1.569e-05i,0.00071273-0.0010103i,0.00079217-0.0012942i,0.00053658-0.00042848i,0.00091416+0.00044469i,0.0003248+0.00078149i,-0.00010878+0.00019151i,-4.5719e-05-0.00019136i,-0.00034049-0.00021469i
