2.623e-05+0.00042126i,0.00018809-0.00029883i,0.00047286-0.00042401i,0.00084133-0.0003693i,0.0008763-0.0010783i,3.4863e-05-0.00088842i,-0.00054178-0.00022592i,-0.000283-0.00042934i,-0.00060883-0.00026325i,-0.0007884-7.8742e-05i,0.00010062-0.00022929i,8.7823e-06-0.00044848i,-0.00076118-0.00049785i,-0.00032723-0.00018182i,1.9795e-06-8.0427e-05i,1.301e-05-0.00028088i,0.00033067+0.00045141i,-0.00057726+0.00086784i,-0.0016338-0.00037959i,-0.0010052-0.00060092i,-0.00034756+0.00029476i,-0.00038408+0.00075194i,-0.00047934+0.00045399i
-0.00048188-0.0013849i,-0.0011965-0.0019375i,-0.00089012-0.0023199i,-0.0003461-0.0011788i,-0.00016399+0.00018957i,0.00050921+0.00046674i,0.0014301+0.00015032i,0.001247-0.00011436i,0.00034573-0.00051621i,0.00012526-0.00083536i,0.00028408-0.00054838i,0.00034598-0.00040261i,0.00018082+0.00013955i,0.00037626+0.00064106i,0.00050356+0.00034082i,-0.00029544-7.8306e-05i,-0.00063539+0.00052369i,-0.0002834+0.0016025i,0.00017607+0.0014528i,0.00045768+0.00033451i,0.00046182-0.0010044i,0.0007374-0.0010567i,0.00048446-0.00011033i
-0.00078678-0.0011981i,-0.00040802-0.0019744i,-0.00098122-0.0018299i,-0.0008357-0.0012947i,-0.00041419-0.0005691i,-0.00031953-0.00078994i,0.00062733-0.0013738i,0.00028988-0.00097027i,-0.00033887-0.00085686i,-5.6639e-05-0.00067503i,-0.00047441-0.0001602i,-0.00062138+0.00015885i,8.0827e-05-9.4564e-05i,0.00024156+0.0002412i,-3.8922e-05+0.00069924i,-6.3581e-05+0.00023775i,-0.00028044-9.8033e-05i,-0.00017158-0.00027725i,0.00031401-0.00029557i,0.00024256-0.00026533i,0.00039959-0.00025832i,0.00014719-1.968e-05i,-0.0005059+8.1098e-05i
-0.0009843-0.0023717i,-0.00064277-0.0030733i,-0.00014797-0.001868i,0.00033811-0.00065242i,0.0003762-0.0003051i,0.00015727-0.00015399i,0.00028824-0.00062617i,7.5196e-05-0.00088503i,0.00018699-5.2424e-05i,0.00025585+0.00059238i,-0.00059759+0.00026894i,-0.00045189-0.00016136i,0.00012189-4.258e-05i,-8.1276e-05+0.00010916i,0.00025572+0.00050018i,3.3259e-05+0.00080156i,-0.00075695+9.0351e-05i,-0.00047343+2.5402e-05i,0.00056452+0.00035969i,0.00051399+1.3384e-05i,-0.00030805-4.4842e-05i,-0.00031693+0.00039325i,5.6859e-05+0.00077775i
-0.0020416-0.0017348i,-0.0028603-0.0014802i,-0.0034524-0.0010116i,-0.00232-3.9323e-05i,0.000141+0.00059418i,0.00168+9.7328e-05i,0.0008919-0.00055677i,-7.2603e-05-0.00065278i,-0.00039523-0.00054824i,0.00057265-0.00051793i,0.0012005-0.00090976i,0.00035074-0.00012503i,-0.00030009+0.00034626i,5.7023e-05-0.00061869i,0.00071048-0.001219i,0.00015508-0.00082803i,-0.00062664-5.8571e-05i,-0.00062682-0.00036932i,-9.1106e-05-0.00068995i,0.00025541+0.00035952i,-0.0002068+0.00060757i,-0.00035969+0.0003482i,0.00021185+0.00078532i
0.00071079-0.00057562i,0.00025185-0.002062i,0.00020804-0.0022401i,0.0006054-0.00089412i,0.00097647-0.00014916i,0.0007395-0.00038008i,-7.1862e-05-0.00040522i,-0.00076357-0.0008593i,-0.00035308-0.00074483i,0.00033788+0.00012976i,-0.00024434-0.00061533i,-0.00079247-0.00095932i,-0.00044315-0.00014396i,0.00036683+0.00050646i,0.00074918+0.00054619i,0.00031768-1.5809e-05i,-0.00021983-0.00045231i,-0.00018744+0.00017396i,0.00024724+0.00025119i,-0.00015692+2.702e-05i,-0.00018011-0.0001806i,-0.00030461-0.00015875i,-0.00077108+0.00030392i
-0.00061182-0.0010256i,-0.00089863-0.000761i,-0.00046864-0.00029812i,-0.00041834+0.00056483i,-0.00044267+0.00082693i,0.00054173+3.2908e-05i,0.0013374-0.00054322i,0.00076762-4.6433e-05i,7.6031e-05-0.0002319i,0.00051671-0.00060457i,0.00049262-0.00063434i,-7.7665e-05-0.00059541i,-0.00033288-0.0002423i,0.00056975+6.2682e-05i,0.0012343-0.00026118i,0.0011737-0.00036007i,0.0014819-0.00043108i,0.00057333-0.00070808i,-0.00088917-0.00084081i,-0.0005264-0.0012265i,0.00048828-0.00081843i,0.00080425-0.00013404i,0.00023468+0.00029002i
-0.00065214-0.0013655i,-0.0012968-0.00090961i,-0.0017679-0.00096065i,-0.0017691-0.00062562i,-0.00061493+4.8648e-05i,0.00074065+0.00038472i,0.00092102-0.0004135i,0.00097269-0.00034659i,0.0009309-0.00021882i,0.00093276-0.00038837i,0.00069653-0.00020548i,-0.00023666+0.00031115i,0.00070764+0.00024363i,0.0018596+0.00032479i,0.0012809+0.00085967i,0.00066738+0.00049408i,0.00081971-0.00032794i,0.0012597+2.6841e-05i,0.0012586-7.8496e-05i,0.00075821-0.00052648i,0.00015573-0.00033074i,-0.00037596+0.00046954i,-0.00061009+0.00059415i
0.0018754-0.0013451i,0.0015264-0.0014928i,0.0010349-0.002331i,0.00071925-0.0023915i,0.00034305-0.00097539i,0.0006792-0.00010378i,0.00071535-0.00023987i,0.00020522+0.00013202i,-6.4458e-05+7.6216e-05i,0.00014478-0.00043344i,0.00059157-0.0004222i,4.3663e-05-4.8346e-06i,-0.00056841+0.00019882i,-0.00036084+0.00010968i,-0.00043652-0.00024838i,4.5668e-05-0.00065533i,0.00036856-1.3985e-05i,-0.00015176+0.00032266i,0.00012154+0.00039759i,0.00075767-9.6984e-06i,0.00094965-0.00013489i,0.00042574+0.00035944i,0.00018811+0.0008587i
-0.00076833-0.00060401i,-0.00052219+7.21e-05i,0.00061539-0.00061929i,0.00079046-0.00033168i,0.00039005+0.00027529i,0.00051056+0.00068368i,0.00055308+0.00035809i,0.00011623-0.00042959i,-4.0653e-06-4.3762e-05i,-0.00059366+0.00019478i,-0.00098093+9.2013e-05i,-0.00053615+0.00020511i,-8.6733e-05-0.00058758i,1.5853e-05-0.0011449i,0.00029275-0.00077479i,0.00031775-0.00027136i,8.1124e-05+0.00016863i,0.00032243+0.0005172i,0.00067357+0.00052243i,0.00028628+4.1902e-05i,-0.00062127-0.00031322i,-0.0010292+0.00021906i,-0.0008452+0.00066401i
9.4123e-05-0.0021727i,-0.00034309-0.0027274i,-0.00032357-0.0032008i,-5.1272e-05-0.0022784i,-5.9117e-05-0.0010657i,-0.00034749-0.00059314i,-0.00025547-0.00054567i,-0.00026153-0.00092507i,-0.00028543-0.00092447i,0.00010049-0.00078553i,7.4883e-05-0.00080409i,-0.00024786-0.00028614i,5.5232e-05+0.00028065i,1.4804e-06+0.00053436i,-0.00047814+0.00068509i,-0.00056594+0.00024452i,-0.00092808-5.3602e-05i,-0.0010264+0.00016685i,-0.00056073-0.00016819i,-0.00029579-0.00034472i,-5.6121e-05-7.8634e-05i,-0.00019516+8.5961e-05i,9.8937e-05-0.00020281i
0.00075284-0.00017931i,7.8648e-05-0.00066213i,-0.00010093-0.00095875i,4.8916e-05-0.0015595i,0.00023613-0.0010015i,0.00014706-0.00071728i,-0.00013276-0.0010074i,-0.00010553+0.00015421i,-0.00044277+0.00071223i,-0.00063077+0.00013444i,-0.00022128-0.00019552i,-0.00048243+0.00045621i,-0.00075678+0.00034648i,1.1071e-05-0.00094049i,0.0002156-0.00077578i,4.637e-05-0.00013741i,7.9866e-05-0.00026685i,0.0010915-0.00022541i,0.0016558+0.00044139i,0.00093143+0.00025065i,0.0002122-0.00030009i,-1.7559e-05-0.0004281i,-0.00023908-0.0010395i
0.0021362-0.00047555i,0.002038-0.0014501i,0.0019962-0.0014054i,0.0017323-9.9987e-05i,0.0012084-8.0698e-05i,0.0011732-0.0011109i,0.00079028-0.00078019i,0.00021652+0.00011734i,0.00011728+0.00025467i,0.00042452+0.00072692i,0.00040183+0.00069155i,-0.00045923+0.00058872i,-0.00098343-9.0231e-05i,-0.00037493-0.00066934i,-0.00039041-9.36e-05i,-0.00067548+0.0010886i,-0.00074782+0.0016351i,-0.00029448+0.0011674i,0.00041918-3.9672e-05i,0.00035671-0.00067619i,0.0001175-0.00032644i,0.00029121-0.00016152i,-0.00011422-0.00024454i
0.00017235+0.0020258i,0.00058835-0.00050167i,0.00064251-0.0020758i,0.00054465-0.0018525i,0.00038806-0.00071202i,0.00039497-0.00023031i,0.0011448-0.00040881i,0.0012872-1.0029e-05i,0.00045754+0.00018169i,-2.9515e-05-0.00039469i,-0.00052413-0.00027032i,-0.00028828-0.00039877i,0.00014529-0.00090613i,5.1953e-05-0.00094949i,9.6678e-05-0.00054809i,7.7903e-05-0.00088915i,3.7284e-06-0.00059739i,6.1231e-05+0.0003645i,4.8348e-05+0.00076744i,0.00017841+0.0015196i,0.0002655+0.0013409i,0.00026951+0.00051241i,0.00027455+0.00029483i
6.0414e-05-0.0032406i,0.00057362-0.0033581i,-0.00026075-0.0019408i,-0.00061815-0.0013115i,-0.00038664-0.00065073i,-0.00033607+6.356e-05i,-0.00017938-0.0002734i,0.00023207-0.0011076i,0.00054179-0.0007812i,0.0010965-0.00036088i,0.00083064-6.424e-05i,2.8217e-05+0.0002239i,-0.00048349+0.00044371i,-0.00083171+0.00046405i,-0.00091832+0.00069499i,-0.00076508+0.00095021i,-0.00023822+0.00051066i,8.1442e-05+0.0005187i,-0.00044384+0.000215i,-0.00048636+0.00030644i,0.00047241+0.00051694i,0.0014358+1.3108e-05i,0.0013004+0.00013439i
0.00056443-0.0017681i,-0.00060068-0.0020364i,-0.00013681-0.00039172i,0.00080912+0.00070896i,0.0007695+0.00059483i,0.0010017+0.00015594i,0.0010146+8.7111e-05i,0.00069855+0.00045507i,0.00069849+0.00010265i,0.00036875-0.00045473i,-0.00047065-0.00060213i,-0.0013183-0.00059101i,-0.00043654-0.00046032i,0.00045586-3.1486e-05i,0.00021264+0.00013917i,-0.0001694-0.0002355i,-0.00060073-0.00023583i,-0.0004907+1.4847e-05i,-6.8754e-05-0.00034307i,0.00056864-0.0008776i,0.0010424-0.0011837i,7.4259e-05-0.00065543i,-0.00083604-0.00055844i
-0.00011963+0.00041813i,-0.00057404+0.00042439i,0.00025367-0.00058736i,0.0007674-0.00087244i,0.00054475-0.00035972i,0.00093991+0.00053466i,0.00080513+0.00043455i,0.00013053-0.00028115i,0.00029711-0.00016957i,0.00063491-0.00016362i,0.00015391-0.00052339i,-5.0058e-05-0.00053379i,-0.00061548-6.7478e-05i,-0.0010906+0.00014235i,-0.00050032+0.00047132i,-0.00049318+0.00074964i,-6.0149e-05-0.00047052i,0.00089894-0.00063338i,0.00060829+0.00078179i,-4.4476e-05+0.0015164i,0.00022019+0.0009791i,-0.00019208-0.00024583i,-0.0010827+0.00011525i
0.00094023-0.0019948i,0.00055162-0.0022681i,0.00025772-0.0019019i,0.00038757-0.0015169i,0.00044825-0.0011253i,-8.3422e-05-0.00038881i,-0.00088134-0.00047077i,-0.00037855-0.00046252i,0.00032623+0.00013294i,-0.00013658+0.00041598i,-0.00061168+0.00057152i,-0.00056383+0.00056465i,6.9983e-05+0.00013299i,0.00054776-0.00054483i,0.00026044-7.7441e-05i,-0.00023211+0.00050755i,-0.00044967+9.6504e-05i,-0.00016602-0.0002384i,0.00046183-0.00072338i,0.00081542-0.00096472i,0.00067729-7.8877e-05i,0.00028399+0.0003267i,-0.00032811-7.2625e-06i
-0.00062909+3.4645e-05i,-1.2305e-05-0.00061227i,0.0012003+0.00017655i,0.0013754+0.00056499i,0.0011283+0.00031824i,0.001056-0.0001287i,0.00053346-0.00056592i,-0.00065914-0.00060058i,-0.0014178+7.0008e-05i,-0.0002953-0.00018283i,0.0010953-0.00088099i,0.00067255-0.00078611i,-0.00047943-0.00028777i,-0.00062668+0.00029801i,-0.00020469+0.00052869i,-0.00018945+9.8336e-05i,-0.00021112+0.00017827i,-0.00018917+0.00027121i,7.1988e-05+0.00034532i,0.00022425+0.00045619i,0.0002428+0.00011121i,0.00022221-6.5351e-05i,0.00059399-0.00041265i
0.0005089+0.0009437i,0.00066539+0.00018682i,0.00074066-0.00064462i,0.00046749-0.00048207i,0.00042598-0.00035742i,0.0010038-0.00068341i,0.0006776-0.00090861i,-5.918e-06-0.00066371i,-0.0003968-0.00014775i,0.00051876+0.00027713i,0.0013186+0.00040232i,0.00027617+0.00016489i,-0.00047184-0.0004067i,8.5848e-05-0.0002006i,0.00018815+0.00025262i,0.00036219-2.0661e-05i,0.00083958-9.8866e-05i,0.00045123-0.00069812i,2.0728e-05-0.0015326i,-0.00020415-0.0013622i,-0.00016264-0.00097921i,-5.422e-05-0.00095174i,-0.00026315-0.0010553i
-0.0013878-0.0010878i,-0.0019204-0.00063543i,-0.0019205-0.0011779i,-0.00084217-0.00081007i,0.00072894-0.00057511i,0.001554-0.0011743i,0.0020888-0.0016748i,0.0011255-0.0017001i,-0.00064988-0.00084542i,-0.00064458-0.00057562i,0.00010892-0.0006919i,-9.6374e-05-0.00047535i,-0.00021429-0.00027007i,0.00037748+0.0001891i,0.00014675+0.0012485i,0.00021335+0.00055514i,0.00066462-1.6416e-05i,0.00012938+6.7377e-05i,0.00010647-0.00020963i,0.00038634-0.0003248i,0.00050457-0.0001059i,0.0010728+0.00054571i,0.00076117-1.3744e-05i
-0.0010892+0.00028749i,-0.0005187-0.00014195i,0.00027038-0.00069757i,0.00089306-0.0016102i,0.0016795-0.0010498i,0.00093714-0.0007408i,4.9159e-05-0.00061789i,-0.00064662+0.00020027i,-0.00037578+0.00042318i,0.00020242+0.00020388i,0.00016974-2.9971e-05i,0.00038531-0.00014118i,0.0010113+0.00016435i,0.00062728-0.00013752i,-0.00059062-0.00081814i,-0.00084796-0.00072667i,-0.00026498-0.00014035i,0.00045953+0.00026201i,1.8822e-05+7.0374e-05i,-0.00069032+0.00021863i,-0.00025789+0.00079226i,0.0003705+4.2631e-05i,0.00059562-0.00032483i
0.0019732-0.00082894i,0.0013416-0.00065798i,2.8116e-05-0.0013332i,-0.00020862-0.0018772i,-0.00060889-0.0015809i,-0.00082957-0.00053982i,-0.0001066-0.00012616i,0.00091673-0.00018741i,0.00090248+0.00016514i,0.00036116-0.00043133i,-2.8208e-05-0.00078762i,0.00037685-0.0011254i,0.00052692-0.00027512i,0.0001001+0.00032201i,0.00048802+0.00042058i,0.0003778+0.00017694i,0.00027483-0.00023487i,0.00056782+0.00013373i,0.00022569-0.00055852i,0.00025908-0.0013385i,0.00094765-0.00077778i,0.00073805-0.00033008i,2.2424e-05+0.0005284i
-0.0011179-0.0019393i,-0.00080747-0.0031475i,-0.00048032-0.0025108i,0.00029087-0.00055842i,0.00025441-1.282e-05i,-0.00056142-0.00072841i,0.00029292-0.00047477i,0.0006425-0.00069024i,-0.00016862-0.00025549i,0.00010022+0.00051684i,0.0002409+0.00057197i,-0.00043477+0.00023042i,-1.0541e-05-4.8636e-05i,9.5663e-05+0.00049749i,-0.00032651+0.00081941i,0.00023802+0.00028454i,0.00038926-0.00020984i,-0.00017092-0.00051197i,5.4543e-05-0.00072402i,0.00058911-0.00028128i,0.00024396+0.00047297i,-0.00033226+0.00053749i,3.3289e-05+0.00034709i
0.0012942-0.0010785i,0.0015095-0.0029374i,0.00072554-0.003335i,-0.0008898-0.0023586i,-0.001013-0.0016457i,-0.00019415-0.0014923i,1.5736e-05-0.0010084i,0.0003124-0.00075219i,0.00067641-0.00094746i,0.00064723-0.00071706i,0.00015456-0.00036895i,-0.0002752-4.0832e-05i,-0.00013859+0.00029215i,0.00033273+0.00022339i,0.00070508+0.00059646i,0.0011576+0.00073191i,0.00070412+7.9543e-05i,-0.00012099+2.2517e-05i,-0.0003251-4.9297e-05i,0.00010029-0.00012961i,0.00050433+0.00049441i,0.00014328+0.00018763i,-0.00044044-0.0010125i
-0.00017013+0.00025647i,0.00036925+0.00040949i,-0.00078421-1.6587e-05i,-0.001237-0.00025257i,0.00039078-0.00013085i,0.0012527-0.0006592i,0.00085144-0.00073696i,0.00016461-0.00038415i,0.000164-0.00020125i,-3.5846e-05-0.00015242i,-0.00088677-0.0001571i,-0.0010835-0.00020748i,-2.4712e-05-0.00029056i,0.00025672-0.00075813i,0.00058545-0.00072001i,0.0012797-0.00011175i,0.00069841+0.00032421i,0.00054306+0.00057343i,0.00033304+0.00057354i,-0.00059529+0.00064182i,-0.00046479+0.00021686i,0.00038663-0.00041389i,0.00089647-0.00060005i
-6.3258e-05-0.0020743i,0.00016716-0.0024869i,0.00083313-0.0026779i,0.00077454-0.001606i,-3.9608e-05-0.00043454i,-7.7617e-05-0.0010604i,0.00048105-0.0009891i,0.0012236-0.00045387i,0.00094916+0.00014067i,-0.00027443+0.00018278i,-0.00050399-0.00040506i,-8.4058e-05-0.00049172i,-0.00023819-0.00090471i,-0.00011317-0.00063992i,7.8115e-05+5.0066e-05i,-0.00036403+0.0004152i,-0.00043258+0.00011915i,9.4997e-06-0.00016029i,-0.00036571+0.0003659i,-0.00043057+0.00012274i,6.365e-05-0.00058592i,-0.00056051-0.00017335i,-0.0013016-0.00050791i
0.00018731-0.0013932i,-0.00053994-0.0016415i,-0.00092404-0.00096761i,-0.00069564-0.00029018i,0.00049795-6.4106e-05i,0.0011014+0.00027957i,0.00039952+0.00047358i,-2.0362e-07+0.00016178i,-0.00037832+0.0002418i,-0.00026226-0.00022548i,0.00077418-0.00058513i,0.0005344-2.501e-05i,0.00035298+0.00026902i,0.00095992+0.00049169i,0.00011966+0.00028259i,-0.00025133+0.00070852i,0.00033984+0.00059317i,0.00030606-0.00027643i,0.00018074+8.8941e-05i,0.00048559+0.00045096i,0.00048645+2.7526e-05i,0.00076693-0.00053578i,0.00042334-0.00065265i
-0.00075096+0.00016946i,-0.00079666-0.0013245i,-0.00059374-0.00092916i,-0.00021492-0.00047805i,-6.1545e-05-0.00060794i,-9.3673e-05-0.00023618i,2.5146e-05+0.00074239i,-0.00075207+0.0010116i,-0.00083765+0.00034355i,0.00041381+0.00016192i,0.00032835-6.4376e-05i,-8.3522e-05-0.00052052i,-0.00054951-0.00030103i,-0.00085687+3.4511e-05i,-0.00066453-4.2105e-05i,-0.00097125-0.0002994i,-0.0014356-0.00051581i,-0.0017342-0.00025455i,-0.0013119+0.00014645i,-0.00028803+0.00028694i,0.00031803+0.00038517i,0.00099645-0.00026069i,0.0015132-0.0010775i
0.0014073-0.0010096i,0.00122-0.0023818i,0.00095609-0.0028643i,-1.8957e-07-0.0021697i,-0.00058944-0.00098752i,0.00029947+0.00011402i,0.0013949-0.00037853i,0.0010585-0.0013267i,-8.6574e-05-0.00112i,-0.00014795-7.0694e-05i,-0.00033808+0.00046022i,-0.0011443+0.00014576i,-0.0015474-0.0003533i,-0.0016523-0.00061144i,-0.00112-0.00043731i,-0.00023311-0.00016842i,-2.7692e-05+0.00014171i,6.0318e-05+0.00092811i,-0.00036443+0.0010793i,-0.00067899+0.00043223i,-2.2983e-05-3.386e-05i,3.7497e-05-5.2212e-05i,0.00080997+0.00011438i
-0.00017095-0.0016487i,-0.00099996-0.003054i,-0.0009594-0.0024668i,-1.2545e-05-0.0012803i,0.0011439-0.00063327i,0.0011731-0.00014806i,0.00092388-5.9624e-05i,6.57e-05-0.00021181i,-0.00048763+8.1552e-05i,-0.00059975+0.00025042i,-0.00017682-0.00054673i,-6.3424e-05-0.00063165i,-0.00025254-0.0002928i,-0.00062516-0.0005848i,-0.00076948-0.00062754i,-0.00035253-3.0502e-05i,-5.2785e-05+0.00070408i,0.00020674+0.0012255i,0.00015969+0.0012138i,2.8177e-05+0.0002229i,-0.0005688+0.00016643i,-0.0013267+7.1795e-05i,-0.00096758-0.0006012i
