-0.00026261+0.0016713i,-0.0005717+0.0008461i,-0.00042029+6.9511e-05i,0.00095847-0.00062921i,0.00078685+0.00016541i,-0.00086356+0.001187i,-0.0010115+0.00093552i,-7.7417e-05+0.00069362i,0.00025472+0.0012438i,0.0004008+0.00091668i,0.0002695-0.00030297i,0.00053186-0.0014216i,0.0010556-0.0011312i,0.00063596-0.00081858i,0.00042384-8.4834e-06i,-0.00029387+0.0004036i,-0.00092345+0.00069338i,-0.00073238+0.0010238i,-0.00039723-0.0001538i,4.194e-05-0.00059182i,5.7272e-05-0.00012694i,-0.00049202-9.9425e-05i,-0.0003539-0.00040569i
-3.4916e-05+0.0014254i,-3.8447e-05+0.0013026i,3.9811e-05+0.0009805i,-6.5343e-05+0.00026906i,-9.9082e-05-0.001027i,-0.0010855-0.0017372i,-0.0019964-0.0012854i,-0.00051782-0.00076806i,0.00092171-0.00020898i,0.0010581+6.4932e-05i,0.0014924+0.00014623i,0.0018681+0.00027427i,0.002237+0.00010378i,0.0021522+1.4904e-05i,0.00072319-5.3252e-05i,-3.1355e-05-6.8876e-05i,7.1705e-05-0.00028793i,9.9601e-05-0.00047237i,0.00040205+4.136e-05i,0.00010899+0.00025913i,-7.8057e-05-1.2396e-06i,-0.00029825+0.00024993i,-0.000396+0.00036603i
-0.00067558+0.00028592i,-0.0012893+0.00043347i,-0.00018015+0.00048033i,0.00023877+0.00021322i,-3.9031e-05-0.00041248i,0.00059555-0.0011327i,0.00086021-0.0011249i,0.00071296-2.5678e-05i,0.00033225+0.0011741i,0.00097347+0.0013022i,0.0012572+0.00070363i,0.00095924+7.9074e-05i,0.00044372-4.6416e-05i,9.1314e-05-0.00037325i,0.00030799-0.00020643i,0.00025788+0.00070767i,0.00027663+0.0008641i,0.00018188+6.4458e-05i,-0.00038633-0.00024373i,0.00011954-0.00014872i,0.00063539+2.3068e-05i,8.4391e-05+0.00015933i,0.00014426-0.00056503i
0.0023706-0.00042934i,0.002073-0.00078127i,0.0016074-0.0015149i,0.0012971-0.0014022i,0.00051175-0.00040956i,-0.00011584-7.3504e-05i,-0.001112-5.4286e-06i,-0.0017446+0.00073813i,-0.0012322+0.00060464i,-0.001096+0.00055929i,-0.00087777+3.4388e-05i,0.00046571-0.00028178i,0.0010777+0.00041611i,0.0010615+0.0001776i,0.0011057-0.00030846i,0.00091749-0.00040033i,0.0005446-0.00068503i,-0.00019091-0.00029442i,-7.3443e-05-3.7463e-05i,0.00013081+0.00050647i,8.068e-05+0.0010233i,0.00042939+0.0005082i,0.00035651-4.5952e-05i
-0.001935+0.0018031i,-0.0004946+0.0027165i,0.00035108+0.0029337i,0.00051963+0.0017291i,0.00027824+0.00057425i,-0.00045453-4.0395e-06i,-0.00076186+0.00038751i,-0.0006731+0.00051133i,-0.0002353+0.00063103i,0.00020846+0.0010163i,0.00015638+0.0010906i,0.00033886+0.00075214i,0.001463+0.00013453i,0.0017145-0.00031809i,0.00062042-0.00013316i,9.5366e-05-8.015e-05i,-0.00030162-0.00058459i,-0.00031253-0.00094928i,0.00021789-0.00056167i,0.0008331+0.00018508i,0.00032865+0.0011142i,-0.00053035+0.0009254i,-4.3229e-05+0.00014534i
0.00047123-0.0016937i,0.0010016-0.0014439i,0.0019295-0.0018337i,0.00086336-0.0017199i,-0.0012265-0.0012865i,-0.0014471-0.0003777i,-0.00089854+0.00012371i,-0.001079-0.00022648i,0.00012123+0.00023163i,0.0016689+0.00068809i,0.0016592+0.0005968i,0.0015356+0.0011517i,0.0014089+0.00092938i,0.0012968+0.00063396i,0.00088668+0.0012693i,0.00087573+0.0012588i,0.0007724+0.00084896i,0.00057946+0.00031217i,0.0011215+0.00010555i,0.0009827+0.00059717i,-0.0003955+0.001047i,-0.00063146+0.00088111i,-5.6909e-05-0.00017665i
-0.00051896-0.00078095i,-0.00020855-0.00067807i,-0.00084751-0.00068065i,-0.0012855+1.5399e-05i,-0.00073421+0.0010002i,-0.00023553+0.00088921i,0.00016217+0.00033958i,-7.0031e-06+0.00086816i,-0.0001345+0.0015112i,0.00055739+0.0013138i,0.00057543+0.00075834i,0.00079875+0.00047991i,0.0012828+0.00079976i,0.00077307+0.00129i,0.00094624+0.00065689i,0.00098914+9.0641e-05i,0.00061482+2.6066e-05i,0.00075868+0.00029285i,0.00080485+6.3692e-05i,0.00034408+0.00018499i,-0.00042325+0.00053132i,-5.9391e-06-0.0003115i,0.00063167-0.00033989i
0.0031269-0.0010276i,0.0039335+0.00039296i,0.0029447-0.00060673i,0.0014764-0.0012527i,0.00033961+0.00021869i,0.00045796+0.00083093i,1.2515e-05+0.00012249i,-0.00045877-0.0010441i,-2.4656e-05-0.0013113i,0.00024614-0.0012073i,0.00047679-0.0014156i,0.00093302-0.0011663i,0.00074846-0.0001677i,0.00039804+0.00057103i,0.00045588+0.0011348i,0.0006461+0.0010796i,0.0012354+0.00039474i,0.0013078+0.00041274i,0.00084789+0.0003736i,0.00041459+0.00055972i,-6.913e-05+0.0017318i,3.5254e-05+0.001453i,0.00027592+3.7575e-05i
-0.0023635+0.0011894i,-0.0025601+0.00019085i,-0.0011689+0.00022373i,2.3724e-05+0.0011568i,-0.00039774+0.00031128i,-0.0014992-0.00096534i,-0.0008073-0.00083642i,-0.00076449-0.00014693i,-0.0015341+0.00014918i,-0.00038126+8.1958e-05i,0.0001465-0.00030907i,-0.00012635+0.0001964i,0.00051675+0.0008189i,0.0010509+0.00051369i,0.00084213+0.00012691i,5.1238e-05-3.8662e-06i,-0.00093828+7.3696e-05i,-0.00027531-0.00013262i,0.00054206-0.00024826i,0.00021921+4.7926e-05i,-0.00084538-0.00014545i,-0.00057791-0.00083134i,0.0002203-0.00071388i
0.00058152-0.00059216i,0.00077023-0.0011653i,0.00042871-0.001305i,5.1304e-05-0.00020508i,-0.00035477+0.00072181i,-0.00091972+0.00084347i,-0.00092576+0.00025657i,-0.00046028-0.00025086i,-6.6611e-05+0.00030342i,0.00048518+0.00044253i,0.0010652-0.00034738i,0.00066376-0.00025334i,0.00034833+0.00031259i,0.00033782+0.00047788i,0.00030806+0.00059291i,0.0010971+0.0011378i,0.0019657+0.0012585i,0.0013208+0.00068908i,0.00019096+0.00099752i,0.00022877+0.0012948i,0.0002982+0.00037337i,6.3116e-06-0.00033946i,-0.00078276-0.00053073i
0.00019927+0.0013123i,0.00091059+0.0012344i,0.00072677+0.00078794i,0.00082597+0.00030784i,0.0007057+0.00033525i,0.00046673+0.00015488i,-0.00022082+0.00011818i,-0.00088451-0.00031068i,-0.00057659-0.00046738i,-0.00038552-9.1874e-05i,-0.00014966-0.00039274i,0.00061262-6.5341e-05i,0.0012673+0.00074024i,0.0012905+0.0011786i,0.00066079+0.0010263i,9.1526e-05+0.0003992i,3.4512e-07-7.8148e-06i,-1.4182e-05-0.00049857i,0.00019993-0.0010045i,0.00050146-0.00081157i,0.00020961-0.00035627i,8.5849e-05+0.0001438i,1.5534e-05+0.00036564i
-0.0004281+0.00077122i,2.5588e-05+0.00099207i,0.00046184+0.0019003i,0.00055925+0.0014521i,0.0006048+0.00062979i,0.00045538-0.00032571i,5.4335e-05-0.00075692i,-0.00018794-0.00062991i,-0.0005696-6.6442e-05i,-0.00064823+0.0007438i,0.00039443+0.00089149i,0.0012169+0.00070873i,0.00055066+0.00070178i,6.6769e-05+0.0001123i,0.00027819-0.0007845i,-1.1086e-05-0.0010195i,-0.00012167-0.00049708i,0.00053704+0.00026995i,0.00054442+6.7453e-05i,0.00060562-0.00028897i,0.00048593-0.00013652i,0.0002562-3.7691e-05i,0.00014166-9.4338e-05i
-0.0018683-0.00028035i,-0.0010434-3.2138e-05i,-0.0012476-0.00042796i,-0.0011693-0.00067126i,-0.00066623-0.00078197i,-0.00031129-0.00050523i,-0.00091095+0.00031171i,-0.0012632+0.00059498i,-0.00058897+0.0010586i,-7.0547e-05+0.0013863i,0.00048329+0.00065503i,0.00080577+0.00044584i,0.0012305+0.00066098i,0.0016581+9.444e-05i,0.00079138-0.00022786i,6.651e-05+5.3936e-06i,0.00028138+7.569e-05i,-0.00030171+0.00031401i,-0.001182+0.00015695i,-0.0010321-0.0001169i,0.00010168+0.00040367i,0.00089015+0.00029403i,0.00097403-6.0318e-05i
5.8588e-05-0.0013362i,4.0183e-05-0.00085947i,0.0006349-0.00051364i,0.00074591-0.00040576i,-0.00035015+6.7434e-05i,-0.00034557+0.00010264i,0.00018089+0.00018651i,-0.00068242+0.00059096i,-0.0013133+0.00074724i,-0.00042332+0.0010609i,0.00054859+0.0010219i,0.00061159+0.00097116i,0.00096664+0.00061836i,0.0010772-7.4679e-05i,0.00093154+0.000457i,0.00091626+0.00087665i,0.00056008-0.00016403i,1.6034e-05-0.00055425i,-3.7738e-05-0.00070946i,0.00069589-0.00019084i,0.00089122+0.0002732i,-1.7359e-05-1.7758e-05i,-0.00025627-3.939e-05i
0.00062854+0.0011246i,0.00056939+0.00010722i,0.00017654+0.00018724i,0.00016525+0.0012172i,-8.5698e-05+0.0010686i,-0.00064492-0.00012282i,-0.00065753-0.00030308i,-0.00031423+0.00060229i,-0.00028568+0.0013392i,-0.00021153+0.0017824i,-0.00043145+0.0012012i,0.00051353+0.00096918i,0.0011312+0.0016967i,-0.00018497+0.0012342i,-0.00074427+0.0010234i,-0.00046301+0.0013504i,0.00018521+0.00052076i,0.00016125+2.6138e-05i,-0.00018384+6.6597e-05i,0.00057021-4.1258e-06i,0.00074553+0.00015889i,0.00060195+0.0003196i,0.0005478+0.00097434i
-0.0020054+0.0017871i,-0.0015528+0.0026603i,-0.0007649+0.0024764i,0.00036689+0.0021296i,0.00076019+0.0011717i,-0.00051436+5.3719e-05i,-0.0009961-0.00024544i,-0.00050918-0.00033814i,-8.466e-05-6.1249e-06i,0.00091594+0.00067373i,0.0017986+0.00050818i,0.0014307+0.00038292i,0.0010089+0.00085176i,0.0017626+0.00035832i,0.0021164+0.00011403i,0.0011275+0.00032105i,0.0008189-0.00073122i,9.3587e-05-0.0012529i,-0.0008214-0.0005144i,-0.00032783+0.00023044i,0.00025083+0.00037949i,0.000528+0.00026387i,0.00066444+0.00020066i
-0.0013932-0.0022177i,-0.0015822-0.002463i,-0.0012999-0.0030932i,-0.00026818-0.0017633i,0.0006298+0.00012106i,0.00085561+0.0001031i,0.00069107-0.00088107i,2.2489e-05-0.00087253i,-0.00066572-0.00015757i,-0.00051711+0.00032877i,0.00061213+0.00041358i,0.0012261+0.00045062i,0.0013247+0.0017348i,0.00079508+0.0020481i,0.00026869+0.00057166i,0.00031448+0.00022378i,-0.00011507+0.00054821i,-0.00025851+0.00091936i,3.204e-05+0.00065728i,0.00011476-0.00020195i,0.00030622-0.00010479i,-0.00010855+0.00047321i,-0.0005094+0.0003152i
-0.0010946-0.001028i,-0.0020306-0.00065807i,-0.0029163-0.00095361i,-0.0023138-0.0001737i,-0.0014414+7.9336e-05i,-0.00062773-0.00045441i,-0.00030915-0.00010242i,-0.00044214-0.0001265i,-0.00021189+0.0004216i,-0.00035022+0.001176i,5.7522e-05+0.00090209i,0.00054462+0.0011048i,0.00026251+0.0018984i,0.00056889+0.001047i,0.00040396+0.00029906i,-0.00050859+0.00030005i,-0.00015433-3.4646e-05i,0.0012153-0.00015408i,0.0016507-0.00045396i,0.00054042-0.00030176i,-0.00059387+8.6771e-06i,-0.00046894+9.4349e-05i,-1.8905e-05+0.00035169i
8.7822e-05+0.00079478i,0.00086091+0.00084508i,0.0015632+0.00051318i,0.00095182+0.00063627i,-4.0527e-05+0.00050267i,-0.00023968-0.00038059i,2.5753e-05-0.00035682i,-8.3707e-05+0.00065176i,0.00019529+0.0013931i,0.00095206+0.0013782i,0.00098822+0.00051651i,0.00090248-0.00031351i,0.0018496-0.00045982i,0.0020376-0.00047504i,0.0010918-0.00029884i,0.0004177+4.6642e-05i,0.00025552-0.00043675i,0.00073539-0.00018175i,0.0016876+0.00039448i,0.0014699+0.00013543i,0.00080115-0.00061818i,0.00037431-0.00063322i,4.088e-05-0.00032633i
0.00052283-0.00070764i,0.00018004-0.00074057i,0.00013952-0.00045976i,-0.00038611-0.00062839i,-0.00013922-0.00025386i,0.00076045-8.5483e-05i,0.00042366-0.00010769i,-9.107e-05+0.00025471i,-0.00052282+0.0006542i,-0.00067176+0.00086227i,-0.00020632+0.0001893i,9.0484e-05-0.00071366i,0.00049466-0.00016395i,0.00031083+0.00035503i,0.00032565-0.00015165i,0.00038022+0.00019871i,0.00051469+0.00035417i,0.00017943+3.9702e-05i,0.00045269+0.00027087i,0.00079728+0.00019376i,-0.00094865+0.00023609i,-0.0012005-0.00022245i,-0.00010495-0.00065187i
-0.000335-0.0010353i,-0.00025829-0.0016318i,-0.00012885-0.001332i,2.5211e-05-0.00027311i,-1.6774e-07+0.00026302i,-0.00028618+0.0002623i,-0.0012273-0.0002197i,-0.0018976-0.00085567i,-0.0016629-0.00050847i,-0.00024662+0.00015514i,0.00073886+4.8786e-05i,0.0011303-0.00072136i,0.0010192-0.00091274i,0.00050327+3.3439e-05i,0.00034321+0.00076052i,0.00077557+0.0010306i,0.0011129+0.00084613i,0.00043692+0.00033242i,0.00040038+0.00055622i,0.0012589+0.0011777i,0.0010203+0.0006091i,0.00063808-3.1329e-05i,0.00025532+0.00042616i
0.0015963-4.1215e-05i,0.0022112-0.00032967i,0.0029152+0.00021352i,0.00085613+0.00023597i,-0.00048389-7.1896e-05i,-0.00089585-0.00071561i,-0.0011589-0.00081405i,-0.00036333-0.00037895i,0.00042704+0.00036438i,0.0011016+0.0004877i,0.0016284-7.788e-05i,0.0012214-0.00039413i,0.00050503-0.00015549i,-0.00020517-0.00023247i,-0.00058348-0.0001009i,-0.00029669-0.00029554i,0.00021401+0.00010663i,0.00074177+0.00038705i,0.00068157-8.135e-05i,0.00012042+4.1277e-06i,-0.00057522+0.00039254i,-0.00048273+0.00053623i,-2.3164e-05+0.00019812i
-0.0006629+0.0011311i,-0.0013179+0.0020474i,-0.000504+0.0023289i,-0.00032617+0.0017917i,0.00044546+0.0012333i,0.00097526+0.001095i,0.00063135+0.00024059i,-0.00020755-0.00060982i,-4.5858e-05-0.00016416i,0.00056778+0.00062952i,0.00093842+0.00063734i,0.00091155+0.00077604i,0.0012209+0.0012195i,0.001485+0.001499i,0.0010672+0.00084421i,0.00087403+0.0001259i,5.258e-05-0.00031027i,-0.00069461-0.001024i,-0.00035711-0.0005029i,8.4075e-05+9.0874e-05i,0.00023948-0.00037611i,0.00034907-0.00026522i,0.00023834-0.00054293i
