0.00090892-0.00079819i,-0.00018606-0.0014019i,-0.0012084-0.0019495i,-0.0018507-0.0010332i,-0.0015747-0.00059874i,-0.000774+0.00053963i,0.00059546+0.0016635i,0.0012385+0.0021584i,0.0010506+0.0013772i,0.00018301-0.00010538i,-0.00014925-0.0007144i,-0.00015442-0.0003436i,-0.00017916-3.2954e-06i,0.00070631+0.00093615i,0.00044852+0.0018585i,-0.00071446+0.0009435i,-0.0011751-0.00045239i,-0.00066619-0.0008677i,0.00012284-0.00094527i,0.00021745-0.0010347i,-0.00031341-0.00091623i,-0.0008136-0.00051702i,-0.00079872+1.1569e-05i
0.0014667+0.0011279i,0.0015127-0.00014333i,0.0013274-0.00075251i,0.0005643-0.00029485i,3.5821e-05+0.00054247i,-0.00014582+0.00099008i,-0.0001521+0.00077287i,-0.00031505+0.00093533i,-0.0004258+0.00061973i,0.00012724+0.00020627i,0.00042831+0.0010785i,0.00029651+0.0010523i,-0.00011894+3.0471e-05i,-0.0002113-0.00021401i,-0.00031924+0.0002404i,-0.00025508+3.3837e-05i,0.0003452+9.0313e-05i,0.00057622+0.00051187i,0.00038296+0.0004834i,-0.0001516+0.00020911i,-0.00044716-0.00011084i,-0.00033771-0.0010668i,-0.00021583-0.0013603i
-0.0014592-0.00092914i,-0.0016709-0.0010708i,-0.0016166-0.00091942i,-0.00046977-0.00082135i,0.00048366-0.00095534i,-2.9483e-05-0.0010798i,-0.000384-0.00026059i,-0.00030885-0.00016124i,-0.0008582-0.00029193i,-0.00080379+0.00016065i,-0.00040634+0.00062461i,5.0405e-06+0.00010422i,0.00018879-0.00022169i,2.6142e-05+0.00045685i,-0.00019184+0.00073698i,-5.0144e-05+0.00072859i,0.00047514+0.00075581i,0.00042149+0.00074374i,0.00032047+0.0005151i,-4.3963e-05+0.00039998i,-0.00060865+0.00039833i,-0.00064176+0.00014024i,-0.00038207-0.00015315i
-0.00070973-0.00014746i,0.0011163-0.0013977i,0.0011523-0.0006214i,9.2144e-05+3.1401e-05i,0.00027172-0.00034582i,0.00029858-0.00022682i,1.0536e-05-0.00036107i,8.8166e-05-0.00046837i,0.00038584+1.6856e-05i,0.00063292+0.00017291i,0.00040349-0.000344i,0.000324-0.00064304i,0.00077922-0.0001355i,0.0013168+0.00015204i,0.0011445-0.00030159i,0.00034334-0.0001246i,-6.3041e-05+0.00052561i,-8.8233e-05+0.00015459i,-0.00016041-6.0121e-05i,-0.0003128+0.0010758i,-0.00055635+0.00081848i,-0.00097618-0.00060438i,-0.0011007-0.0017054i
-0.00072331-5.2073e-05i,0.00024768+0.00019919i,1.8137e-05+0.00077938i,0.00044872+0.00065792i,0.0013273-0.00096812i,0.0016156-0.0016611i,0.00073917-0.00086561i,-0.00012229-0.00062416i,-4.3869e-06+0.0003244i,0.00076909+0.0009597i,0.00089733-0.00015529i,0.00078682-0.0018502i,0.0010274-0.0017727i,0.00094004-0.0008294i,0.00047283-6.1936e-05i,-0.0001117+0.0010226i,-0.00055404+0.0015406i,-0.00072001+0.00079353i,-8.291e-05+0.0002067i,0.00022615-0.00038097i,-0.00025279-0.00040125i,-0.00076957-0.00034348i,-0.00039671-0.00070644i
0.001978-0.001386i,0.0013089-0.00090546i,0.0014546-0.00072619i,0.00062698-0.00074757i,-8.819e-05-0.00078217i,-0.00016504-0.00064697i,0.00033262+0.00023523i,0.0011219+0.00069374i,0.0013396+0.00068374i,0.00021624+0.0006074i,-0.00090831-3.2727e-06i,-0.00077314-0.00058547i,-0.00064115+0.00010164i,-9.4018e-05+0.0008687i,-6.5078e-05+0.00050415i,-0.00057342+0.00034137i,-0.00041736-9.434e-05i,0.00049173-0.00028969i,0.0010181+0.00056229i,3.4982e-05+0.00107i,-0.00012321+0.0011133i,0.00044378+0.00047169i,7.5231e-05-0.00021573i
0.0015682-0.0013227i,-0.0001362-0.0013215i,-0.00089575-0.0015149i,-0.00050098-0.0014899i,-0.00031802-0.0010378i,-0.00022053-0.00037322i,-0.0001204+0.0004316i,0.00021006+0.00065985i,5.92e-05+0.00022549i,-0.00014587+0.00040394i,-0.00078621+0.00078982i,-0.0012796+0.00027366i,-0.00082295+5.9146e-05i,0.00039347+0.00048372i,0.0011999+0.00052739i,0.0003322+0.0008829i,-1.6185e-05+0.0011569i,3.6068e-05+0.00073382i,-5.69e-05-0.00025598i,0.00044141-0.00068279i,0.00074878+0.00040633i,0.00053497+0.0010681i,-8.3414e-05+1.4744e-05i
-0.0003239-0.0019737i,-6.283e-05-0.0028659i,-0.00036081-0.0017141i,-0.00046043+0.00018788i,-0.00040267+0.00076473i,0.00033268-0.00017637i,0.00081379-0.00081976i,0.00021348-0.00048772i,-0.00057442+0.00023092i,-0.00028249+0.0003866i,0.00026621-0.00014985i,0.00038375-0.00073321i,0.00026729-0.00080624i,0.00031816-0.00071194i,0.00089584-0.0003107i,0.0011522-0.00010849i,0.0007686-4.658e-05i,-1.2952e-05-3.7648e-05i,-1.2581e-05-0.0002651i,0.00031465-2.8575e-05i,0.00042899+0.00047877i,0.00069649+0.00083518i,0.00051528+0.00043226i
0.00043373-0.0014142i,-0.00067733-0.00090943i,-0.00061-0.00022683i,-0.00089692+0.00047568i,-0.0011285+0.0011983i,-0.0013671+0.0010752i,-0.00080438+0.0012048i,-4.4726e-05+0.00090668i,-6.417e-05+0.00016967i,-0.00036085+0.0001766i,-0.00053958+0.0007987i,-0.00034494+0.00056289i,-0.00053112-6.5532e-05i,-0.00071124-0.00071829i,-0.00018335-0.00041617i,0.00035883+0.00036361i,-0.00013206+0.00025484i,0.00045951-0.00011635i,0.00065289-2.0977e-05i,-6.7065e-05-3.0141e-05i,-0.00043744-0.00071177i,-0.00013824-0.0010119i,0.0006033-0.00044809i
0.00096499+0.00055884i,0.0017071+0.00010198i,0.0016265-0.00047601i,0.00066482-0.00099281i,-0.00025838-0.0010926i,-0.00076148-0.00098753i,0.00022338-0.00083791i,0.00044403-0.00035754i,-0.00049536-0.00018642i,-0.00020161+0.00027044i,0.00010006-0.00035492i,0.00058533-0.00053717i,0.00076303-0.00026301i,-2.8419e-05-0.00081026i,-0.00036433-0.001142i,0.00032699-0.0005614i,0.000581-0.00038704i,0.00074152-0.00034142i,0.00079963+0.00028384i,0.00041534+0.00041767i,0.00031688-7.8562e-05i,0.00027402-0.00032432i,0.00023122-3.1959e-05i
-7.6771e-05-0.002912i,-0.00068274-0.0039667i,-0.0011579-0.0034217i,-0.00028289-0.001631i,0.00027391-0.00078121i,0.00029588-0.00059505i,-0.00014463-0.00053681i,-0.00019368-0.00097135i,0.00011647-0.00027614i,0.00078918+0.00031333i,0.00052132+0.00015321i,-0.00064212+5.3544e-05i,-0.001187-6.8354e-05i,-0.00085188-0.00047406i,0.00018527-0.00038425i,-0.0001563-0.00021141i,-0.00014647-0.00022099i,0.00022312+0.00023745i,-0.00037514+0.00068963i,-0.00020242+0.00047746i,0.00040269+0.00028809i,0.00048015-0.00018729i,0.00025383-0.00030011i
