0.00090892-0.00079819i,-0.00018606-0.0014019i,-0.0012084-0.0019495i,-0.0018507-0.0010332i,-0.0015747-0.00059874i,-0.000774+0.00053963i,0.00059546+0.0016635i,0.0012385+0.0021584i,0.0010506+0.0013772i,0.00018301-0.00010538i,-0.00014925-0.0007144i,-0.00015442-0.0003436i,-0.00017916-3.2954e-06i,0.00070631+0.00093615i,0.00044852+0.0018585i,-0.00071446+0.0009435i,-0.0011751-0.00045239i,-0.00066619-0.0008677i,0.00012284-0.00094527i,0.00021745-0.0010347i,-0.00031341-0.00091623i,-0.0008136-0.00051702i,-0.00079872+1.1569e-05i
-0.0014896-3.923e-05i,-0.00052624-0.00098302i,-0.00067761-0.00049243i,0.00042083+0.00054033i,0.0013894+1.4695e-05i,0.0012956-0.0013433i,0.00081778-0.0018338i,0.00033674-0.0010514i,0.00048662+0.00022315i,0.00095156+0.0011141i,0.0010647+0.00085877i,6.6235e-05-0.00086606i,-0.00025363-0.0016021i,-0.00011864-0.0019804i,-4.8393e-05-0.0019457i,-0.00067429-0.0014234i,-0.0010629-0.0010233i,-0.00052529-0.00025119i,-0.00045432-0.00032269i,-0.00066549+0.00016276i,-0.00035972+0.00038495i,0.00080088+4.9798e-05i,0.0011224-0.00038029i
0.0026188-0.00010429i,0.002255+0.0001239i,0.0027852-0.00088526i,0.0025652-0.0014011i,0.0013484-0.0011838i,0.00092062+0.00039989i,0.00060829+0.00084917i,-0.00021242+0.00054528i,0.00036532+0.00077761i,0.0010051+0.00029485i,0.00050782+0.00042777i,9.1555e-05+0.0007071i,0.00030731+0.00036941i,-0.00013342+0.00040045i,-0.00050377+0.00051303i,-0.00047421+3.5873e-05i,-0.00043308-9.5048e-06i,-0.00062776-2.869e-06i,-0.00035258+0.00060109i,0.00012477+0.0011765i,0.00061384+0.00044241i,0.0011284+3.5234e-05i,8.7416e-06+0.00011208i
0.0015573+0.00092971i,0.0014931+0.00033015i,0.00022765+0.00039451i,-0.00048221+0.0011305i,1.9124e-05+0.00082062i,0.00051266+0.00045762i,0.00063292+0.00038862i,0.00058661+0.00075525i,-9.7873e-05+0.00067609i,-0.0003413+0.00016429i,4.9023e-05-0.00010046i,0.00050387+0.00017074i,0.00011655+0.00038232i,-8.087e-05-0.00013695i,0.00039638+0.00021702i,0.00059373+0.0007777i,0.00065387+0.0011674i,0.0003712+0.0010921i,-0.00047123+0.00058999i,-0.00055675+0.00034294i,-0.00031945-0.00019489i,-0.00022534-0.00062496i,0.00014494-0.00024309i
0.00014378-0.0013671i,0.0004767-0.0021204i,-0.00057456-0.0017237i,-0.00082895-0.0009453i,-0.00067613-0.0007815i,0.00019615-0.00069268i,0.0014821+0.00029384i,0.0011688+0.00088055i,0.00080647+0.00045602i,0.00052563-0.00012393i,0.00016123+7.9278e-05i,0.00049786+0.00076268i,-5.5273e-05+0.00043231i,-0.00026646+0.00051338i,0.00038797+0.00083339i,-8.9804e-05+0.00048685i,-0.000628-0.00013772i,-0.00025839-0.00057769i,-7.7831e-05+2.2095e-05i,3.0471e-05+0.00029569i,0.00066015+2.4915e-06i,0.00069652-0.00014384i,-4.5449e-05+1.7072e-05i
0.00085174+0.00097092i,0.00037657-0.00055772i,0.00063832-0.0018258i,0.00012255-0.0014177i,-5.6324e-05-0.0015302i,-0.00035778-0.0012866i,-0.00083077-0.00017322i,-0.00011867+0.00024947i,0.00042125+0.00020134i,0.00031412-0.0002555i,0.00036951-0.00032954i,0.00019721+2.1171e-05i,-0.0001453-0.0001447i,-0.00081001-0.00039732i,-0.00088997-0.00018671i,-0.00019257+0.00025909i,0.00023871+0.00028824i,-0.00028226+0.00018632i,-0.00075792+0.00068549i,-3.5049e-05+0.00069329i,0.00077544+0.00059128i,0.00053948+0.0010924i,0.00015962+0.00090887i
0.001832+0.00031585i,0.0010041+0.00055823i,-0.00028595+0.00090181i,-0.00073759+0.0008083i,0.00018405+0.00031289i,0.0006671-0.00026395i,0.00097754-0.00034174i,0.00056436+0.00014527i,-0.00055975+0.00067385i,-0.00067725+0.0013042i,-0.00039745+0.0011069i,6.2713e-05+9.3968e-05i,0.00059646-0.00044091i,0.0006772-0.00046673i,0.00052782-7.5677e-05i,-3.7998e-05+0.00013361i,-0.00012116-0.00015732i,0.0001683+5.0463e-07i,-2.5233e-06+5.6179e-05i,-0.00028321-0.00043635i,0.00018184-0.00051153i,7.8899e-05+9.2635e-05i,0.00059906-0.00019655i
0.0031352+0.0013552i,0.0040776+0.00093869i,0.0040558+0.00037393i,0.0012115+0.00031875i,-0.00047285+0.00039464i,0.00018136-0.00020315i,0.00089166-3.1006e-05i,0.00072747-0.0002738i,0.00028291-0.00054748i,0.00044823+0.00013502i,0.0002898+7.7521e-05i,-4.1145e-05-0.00022281i,-0.00028585+0.00039167i,-0.00096243+0.00082563i,-0.0011122+8.0094e-05i,-0.00028531-0.00088988i,0.00088403-0.00046078i,0.00041042-0.00034531i,-0.00028877-0.00053248i,0.00010369+0.0001247i,0.00042477+0.00029557i,0.00026851+4.7271e-05i,0.00012681+0.00018555i
0.0010058-0.0005437i,0.00074187-0.00080054i,6.8909e-05-0.001547i,-0.00060169-0.0012034i,-0.00071519-0.00066317i,0.00072921-0.0011949i,0.00094062-0.0006442i,0.00021031-9.635e-05i,0.00035885-0.00028748i,0.0004636-0.00042792i,0.00060463+9.0907e-05i,0.0011199+0.00062931i,0.00031057+0.00042537i,-0.00060029+0.00087945i,-0.00049932+0.0011121i,-0.00046773+0.00024537i,-0.00053344-0.00013232i,-5.2097e-05-0.00055562i,0.00040938-0.00056604i,5.2525e-05+0.00028814i,-0.00080506+0.00080964i,-0.0015499-8.2771e-05i,-0.0014778-0.00068016i
-0.0028941-0.00082381i,-0.0023754-0.00018254i,-0.0010374+0.0011434i,-0.00029677+0.00064172i,0.00057112+0.00027221i,0.00070564+0.00044075i,0.00023534+0.00022536i,0.00012142+0.00020923i,-0.00022438+0.00062159i,-0.00030267+0.0010869i,-0.00025732+0.0010411i,-0.00012695+0.00021371i,-0.0003981-0.00087672i,-0.00097441-0.0011081i,-0.0004912-0.00077493i,0.00013592-0.00041173i,-0.00036485-0.00034706i,-0.00020525+0.00046763i,0.00061687+0.0013306i,-7.0119e-05+0.001404i,-0.0010044+0.001167i,-0.00072636+0.00030985i,-0.00022594-0.00032063i
0.0012579+0.00059633i,0.0012596+0.0013406i,0.00083202+0.00089264i,-0.00030755+0.0008432i,-0.00054145-0.00012778i,-0.00058295-0.0015351i,-0.00025531-0.00077399i,0.00030938-0.00018581i,-0.00016953-0.00046478i,-0.00064367-0.00017113i,-0.00049698+8.8208e-05i,-0.00054431+0.0001436i,-0.00095049-0.00048872i,-0.0013304-0.00045234i,-0.0014552+0.00087683i,-0.001008+0.00085624i,-0.0010231+0.00010298i,-0.00090318-4.615e-05i,-6.2919e-05-0.00015047i,0.00040265+7.5234e-05i,0.00019424+0.00021096i,0.000371-3.7983e-05i,-0.00011407-0.00015626i
0.0029842-0.0029682i,0.003355-0.0039228i,0.0026127-0.0033372i,0.001544-0.0017954i,0.00085946-0.0011533i,0.00081233-0.00091951i,0.00082598-7.8273e-05i,0.00045481+0.00024229i,0.00035067+7.7607e-05i,4.4615e-05-0.00033734i,-0.00068701-0.0002109i,-0.00086653+0.00041363i,-0.0004881+0.00080916i,-0.00045927+0.0006037i,-0.00035575+0.00013813i,0.00014569+0.00041064i,0.00035055+0.00019599i,0.00036557+0.00022182i,-5.8159e-05+0.00062671i,-0.00029495+0.00044287i,-0.00011723+6.88e-05i,0.00032834-4.5299e-05i,0.00072885-0.00035205i
0.00037933+0.00052153i,0.0010662-0.00034058i,0.0022834-0.0014136i,0.0017303-0.0017722i,0.00061709-0.0018964i,-0.0004414-0.0015578i,-0.0011933-0.00077786i,-0.000667+0.00020216i,0.00027321+0.00072476i,0.00010698+0.00014026i,-0.00044512-0.00059564i,-0.00074874-0.00041393i,-0.00095283+0.00047401i,-0.00076842+0.00065828i,-0.00093934+0.00053077i,-0.0009819+0.00033665i,-0.00022304-3.9573e-05i,0.00080965+9.018e-05i,0.0008896+0.00017654i,0.00030778-0.00017387i,0.00092244-0.00058984i,0.00073259-0.00079414i,-0.00063179-0.00038488i
-0.00065869+2.3449e-06i,-0.0017222-0.00028103i,-0.0028013-0.00078752i,-0.0019246-0.00057177i,-0.00088151-0.00024626i,-0.00052328-0.00038455i,0.00050159-1.9189e-05i,0.00076655+0.00016654i,0.00026628+0.00010891i,0.00016472+0.00085073i,-0.00031542+0.00081484i,-0.00089341-0.00010346i,-0.00032517-0.00027301i,0.00097078+0.00045275i,0.0015147+0.00044902i,0.0012253+0.00020786i,0.00017172+0.00030341i,-0.00063477-6.3139e-05i,-0.00058955-0.0006637i,-0.00017694-0.0013059i,0.00023375-0.00071632i,-4.3563e-05-0.00014185i,8.5042e-05-0.00040219i
0.0011738-0.00099473i,0.0022895-0.00056756i,0.0022809-0.00052846i,0.0011161-0.00045368i,-0.0003022-7.6961e-05i,-0.00015052+0.00030149i,0.00090213+0.00039331i,0.0011041+0.00028127i,0.00039978+0.00029929i,0.0001648+0.00061385i,-0.00010642+8.759e-05i,-0.00024188-0.0003244i,-0.00079515-0.00027083i,-0.0010893-0.00013232i,-0.00061342+0.00053246i,0.00031845+0.00048488i,0.00083205-0.00040966i,0.00040028-0.00071299i,6.4607e-05+0.00051134i,-0.00033457+0.0007346i,-0.00074067+0.00058705i,-0.00041574+0.00082167i,-0.00010231+0.0001651i
0.0009294-0.0019707i,0.0017148-0.0031815i,0.00057936-0.0032645i,-0.00088089-0.0019354i,-0.00041402-0.0010941i,5.7629e-05-0.00093753i,-1.1742e-05-0.0011068i,0.00061542-0.00066552i,0.00050778-1.8043e-05i,-0.00050072+0.00014826i,-0.00067453+0.00082013i,0.00018249+0.0012177i,0.00055603+0.00050316i,0.0003779-0.00035479i,0.00074938-0.00011152i,0.0007504-0.00032827i,0.00077377-0.00048319i,0.00077857+0.00075079i,0.00018144+0.00081438i,-0.00016946-0.00044971i,-0.00057985-0.00095822i,-0.00036317-0.00067792i,8.6775e-05+2.0284e-05i
0.00052338-0.0016659i,-0.00092643-0.0012915i,-0.0016728-0.0010879i,-0.0012245-0.00021217i,-0.00061811+0.00026209i,-0.00059467+0.00061716i,-0.00098422+0.0010108i,-0.00045607+0.00089567i,8.7725e-06+0.00012882i,-0.0006069+0.00025196i,-0.0004925+0.00051021i,-2.9566e-05+0.00080045i,1.4624e-05+0.0013787i,0.00021529+0.0016056i,-0.00020887+0.00097608i,-0.00022137+0.00042525i,-0.00027297+0.00027749i,-0.0006024+0.00013848i,0.00043398+0.00023269i,0.00085422+0.00058262i,-6.3365e-05+0.00054011i,-0.00010474-0.00060638i,-0.00018706-0.00026092i
-0.00026925+0.001516i,0.0013128+0.0022011i,0.0015643+0.0024151i,0.00079992+0.00082501i,0.00055103-0.0012646i,0.00051532-0.0015861i,-0.00012511-0.0012468i,-0.00020874-0.0010249i,-0.00021338-0.00023803i,0.00025295+0.00023898i,0.00028649-0.00022108i,-0.00046917-0.0005433i,-0.00086938-0.00070055i,-0.00062414-0.00024412i,-0.00024042+0.00052823i,-5.4564e-05-0.00017415i,0.00039881-0.000594i,2.0888e-05-4.4129e-05i,-0.00020191-0.00022602i,0.00039046-0.00046258i,0.00054507+7.1645e-05i,0.00013267+0.00016002i,4.5707e-05-0.00022129i
0.0035971-0.0034271i,0.0035255-0.0044929i,0.0009928-0.0050655i,-7.9126e-05-0.0039471i,0.00051836-0.0024182i,0.0016124-0.00074319i,0.0023728+0.0001922i,0.0014646+0.00037747i,0.00013087+0.00051164i,-0.00038617+0.00037806i,-0.00081073+0.00034668i,-0.00056412+0.00052769i,0.00044127+0.00093809i,0.00053937+0.0013002i,6.4705e-06+0.00054137i,0.00037445-0.00020583i,0.00086235-0.00017225i,0.00068965+0.00012451i,0.00059141+0.00039613i,0.00030774+0.00072453i,0.0002189+0.00038733i,0.00082941-0.00038646i,0.00061208-0.00050646i
0.0025478+0.00067768i,0.0030264+0.00038383i,0.0021574-0.00064816i,0.0009996-0.0013411i,-0.00010128-0.0011681i,-0.00065319-2.9953e-05i,-0.00069701+0.0012103i,-0.00041104+0.00085942i,-0.00045574-0.00015033i,-0.00022169-0.00075461i,0.0001496-0.0006912i,-0.00054074-4.4276e-05i,-0.0011376+0.00037662i,-0.00098154+0.0003881i,-0.00079797+0.00067026i,-0.00028701+0.00092219i,3.897e-05+0.0006396i,0.00041999-0.00014879i,0.00067811-0.00064841i,-0.00060258-0.00057674i,-0.0010671-0.00023878i,-0.00017852+0.00036973i,0.00037733+0.00018137i
-0.00097817+0.0012552i,-0.00050104+5.706e-05i,0.00072874-0.00038466i,0.0011842+0.0002654i,0.00027002+0.00041925i,-0.00056375-0.00012671i,-0.00066854-0.00021476i,-0.00097811+0.00016803i,-0.0010016+0.00017022i,-0.00039414+0.00027716i,-0.00038637+3.4947e-05i,-0.00090282-0.00015473i,-0.00079266-0.00012575i,-0.00071689+0.00023203i,-0.0012195+0.00024654i,-0.00072412-0.00013636i,-0.00012225-0.00030104i,0.00024516-0.00038871i,0.00065595-7.1987e-05i,0.0003803-0.000126i,0.00016446-0.0003633i,0.00038958-7.8273e-05i,0.00052486+0.00020959i
0.0011624-0.00038231i,0.00028856-0.00042843i,0.00041135-0.00070183i,0.00059226-0.00088113i,0.00094016-0.00040554i,0.0011111+0.00058069i,0.00054619+0.00023799i,-0.00020162-0.00031371i,-0.00067385-0.00038261i,-0.00065684+0.00052913i,-2.0085e-06+0.0011702i,2.8102e-05+0.0007439i,0.00065696+0.00093455i,0.0007672+0.0012374i,0.00043989+0.00046306i,0.00098682-0.00012664i,0.00097535-0.0006446i,0.00077517-0.00044994i,0.00062435+0.00044022i,0.00024767+0.00016094i,0.00017329+0.00015944i,0.00053878+0.00069035i,0.00064097+0.00040872i
0.0041137-0.00087017i,0.0034937-0.0023598i,0.0018778-0.0028785i,0.0012649-0.0029476i,0.0014962-0.0025495i,0.00050058-0.0011172i,9.1076e-05+0.00045988i,0.00010257+0.001466i,0.00064849+0.0014867i,0.0010376+0.0011423i,0.001256+0.00092569i,0.00069751+0.00037554i,-0.00046799-0.00039693i,-0.00086484-0.00022542i,-0.00064039-0.00025106i,-0.00030317-0.00035171i,-0.00024754+9.2401e-05i,0.00018218+0.00035343i,0.00042641+0.00039664i,0.00054359+0.00062121i,0.00062908+0.000832i,0.00034949+0.00059094i,0.00036281+0.00033015i
0.0022789-0.00053543i,0.0013532-0.0024415i,0.0003614-0.0028261i,-0.00050721-0.002171i,-0.00036282-0.0021757i,-0.0012634-0.0020439i,-0.0012767-0.00034611i,-0.00029346+0.00099473i,3.4977e-05+0.00054213i,-0.00022448-0.00062869i,-0.00032382-0.00071061i,-0.0010249+0.0001572i,-0.0010552+0.0006203i,-0.0004628+0.00029154i,-0.00036686+0.00017263i,-0.00039123+0.00036279i,0.00015543-0.00023231i,0.00060157+8.1065e-06i,-0.00010101+0.00030815i,-0.00045852-3.64e-05i,-0.0002784-0.00015429i,-0.00043235+0.00013615i,-0.00031534+0.00061099i
0.00029557+0.0005406i,0.0012185+0.00098288i,0.0017961+0.0017066i,0.0019572+0.0018864i,0.0022067+0.00049615i,0.0013871-0.00011692i,-0.0003177+0.00078115i,-0.00056231+0.0014169i,-0.00054693+0.00086673i,-0.0010084-0.00020258i,-0.00089118-0.00025461i,-0.00017339-6.5657e-05i,-0.0007568-0.00027324i,-0.0012598-0.00068222i,-0.00040926-0.00034518i,0.00019181+0.00069714i,0.0001858+0.00057148i,0.00014102-0.00045637i,-7.7485e-05-0.0004408i,-0.00041009+0.0001882i,-0.00031189+0.00086796i,-0.00022112+0.00020049i,-0.00025323-0.00061828i
-0.00027919-0.0012612i,0.00090858-0.0026501i,-0.0005922-0.0020019i,-0.0015985+0.001037i,-0.0015142+0.0029807i,-0.000366+0.0018764i,0.00089521+0.0003171i,0.00018709-5.6319e-05i,-9.5294e-05-0.00010596i,0.00087997+6.7724e-05i,0.00032454+0.00088058i,-0.00064497+0.00098377i,4.249e-05+0.00052499i,0.0016936+9.6661e-05i,0.0021714+0.00014242i,0.0014269+0.00042034i,0.00073451+0.0011854i,0.00015669+0.001469i,0.00046137+0.00020606i,0.00089144-0.00024563i,0.00028478-0.00058883i,-0.00014166-0.00035357i,-0.00045003+0.0001043i
0.00071288+0.0002029i,0.0013179+0.00054735i,0.00064393+0.0013316i,0.00030026+0.00024841i,-0.00041054-0.00041092i,-0.00058504+0.00021688i,-0.00059551+0.00026488i,-0.00047472-0.00024921i,-0.00044504+8.7719e-05i,-0.00025701+0.00075778i,6.8216e-05+0.00055222i,0.00048644+0.00019926i,0.00073187-0.00021562i,0.00062054-0.00042781i,0.00050622-0.00031878i,0.00054869-0.00046373i,0.00022258-0.00019645i,-0.00049394+0.00039837i,-0.00084887+0.00016734i,-0.00068298-0.0005037i,-0.0004255-0.00052537i,7.4851e-05-7.2878e-05i,0.0003406+8.4424e-05i
0.00055633-0.0018963i,0.00066022-0.0037013i,-0.00013347-0.0043752i,-0.00058982-0.0029014i,0.00044622-0.0019197i,0.00072084-0.0011984i,0.00034216-0.00091659i,0.00024308-0.00089214i,8.6702e-05+0.00014808i,0.00061214+0.00078859i,0.0012732+0.00020409i,0.00065218-0.0003359i,0.00079851+1.6199e-05i,0.0011915-0.00038017i,0.00026646-0.00058014i,-0.00018376-0.00048414i,-0.00027697-0.00035051i,0.00021619-0.00026356i,-0.00032271-8.8923e-05i,-0.0010073-4.8965e-05i,-0.00010067-0.00027747i,0.00091078-0.00080558i,0.0013525-0.001067i
0.00036565-0.0029903i,-0.0004778-0.0024264i,-0.002018-0.001725i,-0.0024233-0.00070984i,-0.0011888+0.00026218i,0.00059576+0.00059023i,0.0014674+9.5512e-05i,0.0011117-0.00085719i,0.00013578-0.0010585i,-0.00039978-0.00058837i,0.00014537+0.00020073i,0.0002847+0.00021907i,6.1027e-05-0.00018743i,0.00054242+0.00025584i,0.00053916+0.0006654i,0.00078407+0.00048295i,0.00038717+0.00029016i,0.00012948+0.00015785i,0.0002087-0.00028318i,0.00021166-0.00089864i,0.00087792-0.00097228i,0.00094654-5.847e-05i,0.00049267+0.00075306i
0.001061+0.0022963i,0.0023071+0.0025284i,0.0028914+0.0022968i,0.0017757+0.0012142i,0.00018665+0.00026478i,-0.0008022-0.00052298i,-0.00063255-0.00079612i,0.00050618-6.2675e-07i,0.00039412+0.00082742i,-0.00048746+0.0010426i,-0.00065438+0.00091674i,-0.00068733+0.00022622i,-0.00032608+0.00028558i,0.00057779-0.00012324i,0.0012782-0.00072916i,0.0011866-0.00035272i,0.00020644+9.8131e-06i,-0.00061171-0.0004409i,-0.00078321-0.00069956i,-0.00070488-0.00021864i,4.7569e-05+9.4356e-05i,0.00086977+0.00021965i,0.00062934+0.00039246i
0.00091584-0.0017954i,0.00041767-0.0025716i,-0.00064576-0.0022182i,-0.00075292-0.0020541i,0.00038028-0.002268i,0.00093068-0.0022266i,0.00083051-0.00066537i,0.0010166+0.00094111i,-7.4648e-05+0.0011031i,-0.00099054+0.00045736i,-0.00098972+0.00022251i,-0.00098377+0.00012053i,-0.0008863-0.00010723i,-0.0005703-0.00018325i,-0.00028436-0.00096093i,0.00050723-0.0014223i,0.00050904-0.0010661i,3.5416e-05-0.00075351i,-0.00022633-0.00078076i,0.00010894-0.00025405i,0.00066912+0.00076177i,0.0004398+0.00048283i,0.00041798-0.00051332i
-0.00077038-0.001565i,-0.0005638-0.0023052i,2.0946e-05-0.0015667i,0.00039046-0.00047596i,0.00039768+0.0001896i,0.00010121+0.00021808i,5.0513e-05+0.00042521i,-6.6993e-05+0.00055017i,-0.00013825+0.000103i,-0.00044587+4.5824e-06i,-0.0010953+0.00053398i,-0.0011888+0.00089024i,-0.00098638+0.0010741i,-0.00061154+0.00033311i,-0.00058219-0.0010332i,-0.0002549-0.00090763i,0.00064906+0.00027929i,0.0003541+0.00066852i,-0.00070788+9.6281e-05i,-0.0014768-8.4319e-05i,-0.0011531-0.00031283i,-0.00045897-0.00089786i,-0.00018791-0.00050569i
-0.00084957-0.002166i,-0.00039037-0.0013372i,-0.00065389-0.00049678i,-0.0018048-9.1449e-05i,-0.001604-0.00027721i,0.00041338-0.00052793i,0.0017458-0.00014828i,0.0015032-0.00029483i,0.00033849-0.00091442i,-4.0336e-05+2.1105e-05i,0.00026092+7.6459e-05i,0.00022862-7.8192e-05i,-0.00012279+0.000305i,9.7059e-05-6.7616e-05i,0.00030544+0.00052399i,0.00017513+0.00072333i,0.0003939-0.0002328i,0.0008266-0.00066848i,0.0011605-0.00025333i,0.00085931+0.00084645i,0.00037928+0.0013564i,-0.00031304+0.00095643i,-0.00050954+0.00079027i
-0.00040506+0.0018936i,0.0021572+0.0021916i,0.002299+0.0020681i,0.002417+0.0019114i,0.0030366+0.0017649i,0.0023942+0.00060261i,0.0011007+0.0005763i,0.00045734+0.00041809i,0.0002414+0.00014771i,-0.00011901+0.00065381i,-0.00062134+0.00069558i,-0.00033559+0.00052823i,-0.00042004-0.00027048i,-0.00079601-0.0015134i,0.00048283-0.0011134i,0.0004419-0.00035832i,0.00026973+0.00037676i,0.0010363+0.00062372i,0.0013007+5.5384e-05i,0.00079449-0.00013764i,0.0005105-8.6871e-05i,0.0010008-0.00040242i,5.0239e-05-0.00081122i
-0.00087091-0.0023074i,-0.00099754-0.0023431i,-0.0017502-0.0016207i,-0.0020492-0.00085186i,-0.001239+6.1407e-05i,-0.0012698+0.00029829i,-0.00060165-1.085e-05i,0.0004147-0.00015923i,-7.4075e-06+3.1066e-05i,-0.0002388-0.00053949i,6.128e-06-0.00049317i,-0.00016553-0.00021313i,-0.00097067-3.7427e-05i,-0.0020913+0.00010414i,-0.0013862+0.00020365i,-0.00015687+0.0001498i,0.00013882+0.00016292i,0.000191+0.00038417i,0.00010622+0.00042091i,-0.00018395-6.2848e-05i,-8.9073e-06-0.00058089i,0.00041299-0.00084579i,0.00048331-0.001352i
-0.00060321-0.00077893i,-0.00042249-0.0026641i,0.00068927-0.0023818i,0.0021562-0.00078995i,0.0015634-0.00048737i,0.00050821-0.00095614i,-0.00067153-0.00012262i,-0.0011237+0.00061766i,-0.00054572+0.00017617i,-7.67e-05+0.00020467i,-0.0002523+0.00019421i,-5.9837e-05-0.0001623i,-0.0005316+0.00016358i,-0.0010323+2.7968e-05i,-0.00063442-0.0003452i,-0.00067418+4.1093e-05i,-0.00080828+0.0002164i,-0.00064151-6.0162e-05i,-0.00031582+0.00031152i,-8.3459e-05-3.1183e-05i,-0.00015877-0.00034596i,-0.00015698-4.7319e-05i,-0.00046061-0.00013504i
0.0025794+0.00075307i,0.0018808+0.00055258i,0.00044258+0.00021023i,-0.00014905+0.00023799i,-0.0009183-0.00050897i,-0.00092121-0.00074862i,6.8911e-05+0.0003215i,0.00085871+0.00081412i,0.00069023+0.0009778i,-0.00011325+0.0010743i,-0.00032544+0.00011698i,0.00045381-0.00090886i,0.00065481-0.00069798i,0.00058703-3.2822e-05i,0.00044122-0.00014311i,-5.7007e-05-0.00047407i,0.00023879-0.00022664i,0.00061819+0.00053776i,0.00039655+0.00061057i,0.00018674-0.00033331i,-0.00063872-0.00083379i,-0.00059307-0.00042283i,0.00044196+5.7653e-05i
0.0013004+0.001927i,0.0022168+0.00098739i,0.0030541-0.0003431i,0.0029974-0.00057363i,0.0023037-0.00081666i,0.0016485-0.001001i,0.0012598-7.1789e-05i,0.0010522+0.00043164i,-5.7515e-05+0.00045106i,-0.00034862-1.6664e-05i,-6.7131e-05+7.5493e-05i,7.0607e-06+0.000346i,-0.00032593+2.3492e-05i,-0.00048108+0.00028892i,-0.00014699+0.00099158i,0.00034391+0.0013805i,0.00040413+0.00044292i,0.00041467-0.0005028i,0.0006012-0.0004435i,0.00014019+0.00011306i,0.00015842+0.00067222i,0.00056026+0.00058632i,0.00091255+0.00019819i
0.00041209-0.00095982i,0.0010139-0.0016032i,-0.00012493-0.00087816i,-0.001411+0.00013678i,-0.0011857+0.00029711i,-0.0012701-0.00067321i,-0.0012375-0.00098943i,-0.00039521-0.0010683i,-0.00022467-0.00098217i,-0.00035461-0.00052304i,-0.00040445-0.00019895i,-0.00036291-0.00038361i,0.00010117-0.00093751i,-6.8465e-05-0.001009i,-0.00030126-0.0008953i,-1.0918e-05-0.00076341i,0.00038845-0.00018257i,-0.00028601-0.00010557i,-0.0011434+9.0181e-05i,-0.00081473+0.00022622i,-7.9819e-05+0.00019292i,-0.00021054+7.15e-05i,-0.00016016-7.4766e-05i
-0.00076758+0.0007358i,-0.0013431+0.00021256i,-0.00074855-1.5801e-05i,0.0016467-0.00065796i,0.0028697-0.0018785i,0.0012474-0.0020179i,-6.4243e-06-0.00087494i,-0.00012415+0.00055677i,-0.00040826+0.0012616i,-0.00019458+0.0012316i,0.00011806+0.00072653i,9.9542e-05+4.116e-05i,0.00056409-0.00023351i,-1.9403e-05-0.00032674i,-0.00040539-0.00019204i,-0.00031155-0.00024614i,-0.0011533-0.00068295i,-0.001671-0.00070975i,-0.00069043-0.00078973i,-1.9675e-05-0.00096237i,0.00014581-0.00096162i,0.00030023-0.00094403i,0.00046385-9.4305e-05i
0.0020096+0.0026863i,0.0031585+0.0017692i,0.0033794+0.00071507i,0.0016693+0.00056994i,0.00095391+0.00019618i,0.00041198-0.00012552i,0.00019674-0.00016707i,0.0006246+0.00035755i,0.00055473+0.00022778i,0.00033172-0.00047884i,7.3368e-05-0.0004628i,0.00017458-0.00042327i,-7.0184e-05-0.00012498i,-0.00027865+0.00074402i,-0.00035241+0.00066152i,0.00019472+2.6874e-05i,0.00096115+0.00023798i,0.00075438+0.00059022i,7.8473e-05+0.00041454i,-2.0637e-05+5.873e-06i,0.00053072-0.00014315i,0.00056163-0.00065632i,0.0001479-0.00078517i
0.0028171-0.0027432i,0.0018859-0.0040951i,3.6662e-05-0.0038514i,-0.0003859-0.0031841i,-4.6595e-05-0.0023127i,0.00072895-0.00083457i,0.0011308+0.00079711i,0.00091451+0.0010584i,0.00039246+7.4012e-05i,-0.00022466-0.00066092i,-0.00050381-0.00055415i,-0.00011929+0.00056877i,-0.00015065+0.0014497i,-0.00053919+0.001562i,-0.00041863+0.00095431i,0.00029482+0.00029416i,0.0011277+0.00044496i,0.00086085-8.2402e-05i,0.0005598-0.00017848i,0.00098577-7.4753e-05i,0.00079724-0.00050046i,0.00018752-0.0011063i,-0.00044529-0.00074496i
5.8578e-05+0.00025086i,-0.00029993+0.00022749i,-0.0010709+0.00029872i,-0.0013032+0.00033172i,-0.00015736+0.00039176i,0.00052056-0.00012037i,0.00019805-0.00055836i,0.00047932-0.00059701i,0.00096433-0.00017126i,0.00051638+0.00075613i,0.0009142+0.00052328i,0.0010964-0.00037696i,0.00022006-4.831e-05i,-0.00033192+0.0002945i,-1.0718e-05-0.00020749i,0.00029627+8.1392e-05i,-0.00018689+6.8026e-05i,-0.00011153-0.000713i,-0.00010209-0.00029076i,-1.5292e-05+0.00066697i,0.00013741+0.00045368i,2.1587e-05-0.00042662i,0.00037869-0.00011459i
0.00018749+0.00050687i,0.0007432-6.1579e-05i,0.0012018-0.00066011i,0.00076115-0.00086873i,0.00082478-0.00046537i,0.00080152-0.00047966i,0.00015499-0.00097559i,-0.00042741-0.0001116i,-0.00034586+0.00045486i,0.00017757+0.00014948i,0.00040735+0.00043705i,-9.8057e-05+0.00075024i,-0.00018358+0.00019128i,-0.00033855+8.8862e-06i,-0.00014216-4.3277e-05i,-0.00018712+0.0001406i,-0.00039289+0.00067787i,0.00046539+0.0011013i,0.00087217+0.001358i,0.00030515+0.001378i,-7.8865e-05+0.0011675i,0.00069582+0.00073584i,0.0016249+0.00052252i
