-0.0036235+0.00030553i,-0.0032767+0.0029046i,-0.0039781+0.0035961i,-0.0041529+0.0037631i,-0.0024766+0.003444i,-0.0014438+0.0021454i,-0.0014465+0.0010592i,-0.0012476+0.00034366i,-4.1727e-05+7.3654e-05i,0.00041753-0.00046318i,-0.00032989-0.00063208i,-0.00015499-0.00031684i,9.8973e-05+0.00063211i,-0.00039527+0.00054678i,-0.00091708-0.00057723i,-0.00067631-0.00051476i,8.6659e-05-0.00024382i,0.00013946+1.9123e-05i,-6.0769e-05+2.6276e-05i,0.00032794-0.00049401i,0.0010164-0.00056573i,0.00084026-0.00068112i,-0.00021909-0.00037442i
-0.001312+0.00074621i,-0.0012806+0.0016639i,-0.0017127+0.0020496i,-0.0020541+0.0017361i,-0.001847+0.0014279i,-0.00027551-0.00021956i,0.00025909-0.0018281i,-0.00052569-0.0016037i,-0.00047379-0.00042684i,0.00013406+0.00042478i,-0.00024035+0.00047898i,-0.00036446-8.144e-05i,0.00050021-5.2781e-05i,0.00062936+0.0002424i,-0.00016162+0.00048583i,-0.00088948+0.00029861i,-0.0005613-0.00011566i,-0.00019198-0.00049536i,0.00013861-0.00028251i,0.00047916-0.00032758i,0.00033101-0.00044816i,0.0005019-6.594e-05i,0.00023036+0.00017948i
-0.00088063-0.00018643i,-0.00077842+0.00062674i,-0.00094428-5.9442e-05i,-0.00042108-0.00015508i,-0.00058145-0.00015569i,-0.000253-0.00055563i,-8.4355e-05-0.00066018i,-0.00087244+3.2636e-05i,-0.0013623+0.00043557i,-0.001016+0.0002327i,0.00027373-0.00019441i,0.00097944-0.00019423i,0.0008246-0.00032109i,0.00063218-0.0001838i,-1.1628e-05+0.00045909i,-0.00092797+0.00050493i,-0.0005402-0.00020415i,0.00045115-0.00047i,0.00043227-6.9105e-05i,0.00029598+6.1089e-05i,0.00058163+0.00015693i,0.00053416-0.00011016i,0.00072316-0.00054237i
-0.00062322-0.00038279i,-0.00031935+0.0001554i,-0.00069439-5.8148e-05i,-0.0012031-0.00088068i,-0.00068744-0.00040934i,0.00055124+0.00017561i,-2.5199e-05-0.00028963i,-0.00047441-0.00018352i,-0.00056434+1.0043e-05i,-0.0010258+8.0844e-05i,-0.0013261+0.00038863i,-0.0015088+0.00036696i,-0.00041061+0.00042706i,0.00072526+0.0010533i,-0.00013131+0.00092336i,-0.0010624-8.3303e-05i,-0.00013766+2.4178e-05i,-6.1992e-05+0.00070727i,-0.00080243+0.00019399i,-0.00059252-0.0001183i,-0.00045554+0.0009084i,-6.6273e-05+0.0012458i,8.4575e-05+0.000699i
0.0024914-0.00022867i,0.0012304+0.00061998i,0.00041833+0.00060636i,0.0010073-0.00035676i,-8.2646e-05-0.0012562i,-0.0013889-0.0010445i,-0.0014311+0.00051122i,-0.0014693+0.00077965i,-0.0010193+1.2379e-05i,-0.0003366-0.00054389i,-0.00090959-0.00075434i,-0.0012906-0.00095809i,-0.00055658-0.00042173i,0.00033961+0.00023859i,-1.5051e-05-0.00035061i,-0.00060573-0.00084751i,-0.000854-0.00035398i,-0.0012985+0.00017408i,-0.00084168-0.00021199i,-0.00068727-0.00086945i,-0.00083729-0.00065356i,-0.00063407-0.0010115i,-1.5598e-05-0.0010483i
-0.001444+0.00021999i,-0.00071357+0.00085607i,-0.00011754+0.0015275i,0.00013693+0.00085495i,0.00021883-0.00013008i,0.00019581+0.00018689i,-0.00043609+0.00031037i,-0.00068228+0.00031543i,0.00032309+0.0011953i,0.0011163+0.00069566i,0.0013307-0.00067205i,0.001024+0.00028425i,0.00036505+0.00081872i,0.00021598-2.4855e-05i,0.00032616-0.000599i,-6.4199e-05-0.00025821i,-0.00050053+0.00014269i,-0.00063296-0.0003104i,-0.00019862-0.00034169i,0.0005049+1.9355e-05i,0.00076848-7.9977e-05i,0.00092886-0.00031507i,0.00090795+0.00031962i
-0.00017374+0.00088804i,0.00042258+0.00083657i,0.0015764+0.00067713i,0.0013055+0.00031911i,0.00051716+0.00034842i,0.00013785-0.00056737i,-0.0003524-0.0011949i,-0.00095549-0.00049095i,-2.927e-05-0.00029446i,0.0010556-0.00051632i,-0.00013462-0.0006742i,-0.00050267-0.00055291i,-0.00016938+7.3561e-05i,-0.00011892+0.0001176i,0.00015746-0.00011582i,0.00025579-0.00052212i,0.00052894-0.00085525i,0.00081307-0.00047175i,0.00089221-0.00025376i,0.00043982-0.00032391i,6.7377e-05-0.0001645i,-0.00072503-0.00051097i,-0.0011734-0.0011167i
-0.0021119-0.00088423i,-0.0022291+0.0001916i,-0.00078951+0.0001363i,-7.893e-05+0.00014148i,-0.00016031+0.00017579i,0.00035885+5.2763e-06i,0.00018873-0.0010262i,-0.00012172-0.0011896i,-3.9507e-05-0.00043173i,0.00072028-0.00037192i,0.0012818-0.00030942i,-0.00014564-0.00025997i,-0.00086105-0.00057677i,-0.00043079-0.00050167i,-0.00041938-2.1478e-06i,4.5201e-05+0.00014259i,0.00048336-0.00038889i,-0.00010052-0.0010779i,-0.00087576-0.0011i,-0.00072608-0.00073581i,7.0208e-06-0.0010074i,4.0646e-05-0.0011044i,0.0002634+9.0884e-05i
-0.00010052-0.00042543i,-0.00061847-6.4859e-05i,-2.0209e-05-0.00041738i,0.00068917-0.00091686i,0.00022923-0.001316i,-0.00096956-0.001439i,-0.0012055-0.0012257i,-0.0010877-0.0011653i,-0.00084427-0.00071047i,-6.1024e-05-0.00048852i,0.00010335-0.00030315i,-0.0003567-0.00032101i,-0.0011157-0.00026358i,-0.0011325-0.00026584i,-0.0010121-0.00035263i,-0.00056224-0.00012804i,9.1476e-05+9.1696e-05i,0.00023784+0.00028118i,0.00035071+0.00033769i,-0.00043766+2.1075e-05i,-0.0014581-0.00054797i,-0.0012495-7.9238e-05i,-0.0014317+0.00064733i
-0.0013225-0.0019538i,-0.0022023-0.0010618i,-0.0030062-0.00093363i,-0.0032975-0.0013873i,-0.0027626-0.0015615i,-0.0011376+5.6463e-05i,-0.00034391+0.0012049i,-0.0013463+0.001274i,-0.0022803+0.0017796i,-0.0015716+0.0016055i,-0.00061372+5.139e-05i,-0.00044038-6.3968e-05i,-0.0008159+0.00095668i,-0.0004349+0.0012849i,0.00027672+0.0010841i,0.00021491+0.00014545i,0.00055291-0.0010035i,0.00054012-0.00074061i,0.00013463+0.00064478i,-2.2043e-05+0.00066236i,0.00025965+0.00027535i,0.0004646+0.00024902i,0.00047082+0.00085195i
0.0022915-0.00032228i,0.0014943-0.001277i,0.00090416-0.0016618i,-0.00016052-0.0013482i,-0.001852-0.00089916i,-0.002254-3.6446e-05i,-0.0017815+0.00042473i,-0.0016448+0.000701i,-0.001321+0.0010173i,-0.00071176+0.00055989i,-0.00032999-0.00028389i,-0.0002211-0.00090105i,-5.6132e-05-0.00026173i,-0.00028818+0.00023462i,-0.00069364-0.00027591i,-0.00062059-0.00031877i,-0.00071031-8.3748e-05i,-0.00022718-0.0002672i,0.00028183-0.00080367i,0.00012326-0.0014332i,-0.00018098-0.0014678i,-0.00032699-0.0013138i,-9.5442e-05-0.0008988i
-0.0028082+0.00012043i,-0.0044259+0.00091327i,-0.0039127+0.00029908i,-0.0023645-7.4471e-05i,-0.0012422+1.5048e-05i,6.8125e-05+0.00051169i,0.00044171+0.001533i,0.00021502+0.0018734i,0.00039263+0.0016519i,0.00058348+0.0010033i,-0.00023613+0.00029697i,-0.00064686+4.4157e-05i,-0.00056572+0.0002753i,-0.0011032+0.00011965i,-0.0011217-0.00026368i,-0.00096571-0.00031328i,-0.00056959-0.00072126i,-0.0004816-0.0012643i,-0.00061819-0.00076198i,-0.00044844-0.00044372i,-0.00018156-0.00067554i,-0.00015758-0.00051621i,-0.0001464-0.00052873i
0.0027242-0.0010254i,0.0017928-0.0021437i,0.0018812-0.0014575i,0.00084692-0.0010255i,-3.1531e-05-0.0012984i,-1.9973e-05-0.0010306i,-0.00016918-0.00039251i,-8.736e-05+0.00023393i,1.8761e-05+0.00025072i,0.00032695-0.00038167i,0.00060072-0.00056229i,0.0003257-0.00047401i,0.00044589-0.00074932i,0.0004744-0.00098i,-4.0955e-06-0.00099797i,-0.00045491-0.0002493i,-0.00097076+0.00014314i,-0.00027728-0.00014461i,0.00074641+0.00013185i,0.00086694+0.00025546i,-3.2613e-05-0.00059774i,-0.0005653-0.0011958i,-0.00072097-0.00046229i
0.00042211-0.0011712i,-0.00014408-0.00075189i,0.00035348-0.0017312i,-0.00041568-0.0016415i,-0.0022269-0.00077196i,-0.001926-0.00018932i,-2.2151e-05+0.00021104i,0.00025674-0.00017425i,0.00013662-0.00038264i,-0.00023387-0.00046852i,-0.00054407-0.0011635i,-0.00053001-0.00089186i,-0.00096431-9.0638e-06i,-0.0011153+0.00038473i,-0.0010239-0.00034629i,-0.0012566-0.00061398i,-0.0014669+0.00017387i,-0.0017732+0.0007457i,-0.0010853+0.00072724i,-0.00030934+0.00018268i,-5.3541e-05-0.00089242i,0.00060828-0.00052223i,0.0010173-0.00016021i
0.00021838-0.0013913i,0.00063823+4.6657e-05i,0.00068233-0.00039191i,-8.6975e-06-0.0007953i,-0.0012966-0.000297i,-0.0018222+3.5438e-05i,-0.0019433-0.00074189i,-0.0010394-0.0016709i,-5.6523e-05-0.00095452i,0.00029732-0.00014369i,-0.00032391+0.00059904i,-0.00043841+0.00015148i,0.00025518-0.00064337i,-0.00027041-0.00031914i,9.265e-05-0.00026045i,0.00087351-0.0003923i,0.0011768-0.0007922i,0.0014142-0.00089693i,0.0005912+0.00012381i,-0.00040519+0.00051633i,-0.00022242-3.2883e-05i,-0.0003314-0.00027175i,-0.00028647-0.00075017i
5.6928e-05-0.00077107i,0.00025931-0.00084055i,0.0009022-6.4426e-05i,0.0010196-0.00042177i,-2.7686e-05-0.00044631i,-0.00060648+0.00041897i,-0.00098548+0.00074198i,-0.0012472+0.00064667i,-0.00090635+0.00077002i,-5.9292e-06-0.00012066i,0.00018169-0.0011239i,-0.00061058-0.0011762i,-0.00038732-0.0010256i,0.00021066-0.00076401i,9.0014e-05-0.000525i,-0.0003399-0.00059969i,1.3553e-05-0.00041564i,0.00061617+0.00014794i,0.00010133+0.00030729i,-0.00045895+0.00012495i,-0.00069354-9.9005e-05i,-0.00038746-0.00012665i,-0.00045075-0.00026201i
0.00010332-0.0018049i,-0.00051641-0.00014159i,2.0601e-05-0.00055516i,0.00036984-0.0015302i,0.00010217-0.0016045i,-0.00064711-0.001359i,-0.0012508-0.0006861i,-0.001161-0.0001509i,-0.00047509+9.6111e-05i,-5.9306e-05-8.7246e-06i,-0.00014637-0.00079614i,-0.00011225-0.00083214i,0.00032069-0.00021825i,0.00012003-0.00044486i,-0.00010072-0.00053997i,-0.00069491-0.00085123i,-0.00105-0.00093975i,-0.00011096-0.0005073i,0.00030673-0.00010665i,0.00058768-8.8349e-05i,0.00091689+9.5957e-05i,0.00077377-0.00071579i,-2.8869e-05-0.001409i
0.001586+0.0008152i,0.0010932-0.00034253i,0.0020196-0.0012675i,0.002004-0.0013891i,0.0004362-0.0014173i,-0.00080672-0.0011348i,-0.0016321-0.00050463i,-0.0016929+0.00041911i,-0.00041381+0.0013751i,0.00064192+0.0015416i,0.00045925+0.00072445i,-0.00023893-0.00042722i,-0.00020512-0.00072928i,-0.00015619-0.0011282i,0.00017459-0.0010254i,0.00016881-0.00089791i,-0.00017953-0.0007959i,0.00034514+6.1075e-05i,0.00044182+0.00053264i,0.00038953+9.7714e-05i,-0.00020715-0.00039387i,-0.00043973-0.00078452i,-0.00039113-0.00073711i
-0.00017327+6.4664e-05i,0.001284+5.4655e-05i,0.0022218-0.0010971i,0.00045496-0.0017435i,-0.0015077-0.0020295i,-0.00072804-0.0012242i,-0.00024155+0.0002153i,-0.00071994+0.00083118i,-0.00078973+0.0010782i,-0.00092254+0.00079858i,-0.0011499+0.00048242i,-0.001368+0.00016517i,-0.00035378+0.00019058i,9.1048e-05+0.00054973i,-0.00039983+0.00022509i,-0.00062475-0.00019684i,-0.00050051-0.0005211i,9.7247e-05-0.0010888i,9.0224e-05-0.00036509i,-0.00064907+0.0005315i,-0.00069383+0.00040429i,-0.00036179+0.00017411i,-0.0001527-0.00031732i
-0.00030469+0.00012393i,0.00063701+8.2331e-05i,0.0010997+0.00074305i,0.0017011+0.00062139i,0.0010088+0.00081418i,-0.00062488+0.00047441i,-0.0013616-6.9908e-05i,-0.001369+2.7494e-05i,-0.00055953+0.00062047i,0.00030744+0.00066646i,-4.5085e-05+0.00024589i,-0.00047132-0.00031822i,-8.4564e-05-0.00053831i,0.00037521-5.9971e-05i,0.00044627+0.00021025i,1.5408e-05-0.00019022i,0.00028328-0.00031045i,0.00011866-0.00064988i,7.4594e-05-0.0003066i,0.00027327+0.00083693i,0.00026043+0.00095068i,0.00016032+0.00028746i,0.00016487+9.7061e-07i
0.00023759-0.0014319i,0.00075842-0.0016426i,0.00097087-0.0027319i,-0.00010514-0.0026853i,-0.00098181-0.0015772i,-0.00034115-0.00039335i,0.00015587+0.00020655i,5.3025e-05-0.00054523i,0.00013922-0.0015903i,0.00079008-0.0010462i,0.0014558-0.00024841i,0.00060764-0.00015382i,-0.00018064-9.9794e-05i,0.0004964-0.00031293i,0.00050422-0.00035147i,0.00013912-0.00024576i,6.8369e-05-3.3386e-05i,0.00050639-0.00030875i,0.00064194-0.00034287i,0.00024196-0.00084437i,-0.00062885-0.00092458i,-0.001014-0.00029092i,-0.00039719-0.00030559i
-0.00029613+0.00038014i,-0.001123+0.00043215i,6.0483e-05+0.0013149i,0.00071972+0.0010089i,-0.00045277+0.00013107i,-0.0012464+5.1002e-05i,-0.001421-4.425e-05i,-0.00088717-0.00053i,-0.00033923-0.00034147i,-0.00041576-8.6349e-05i,-0.00035586+1.6391e-05i,-0.00083923+0.0003213i,-0.0011483-0.00063228i,-0.00018637-0.00084583i,0.00014375-3.2993e-05i,-0.00023877+0.00025048i,-0.00032643-0.00050472i,-0.0013886-0.00064599i,-0.0013459-0.00025787i,0.00028994+1.1426e-06i,0.0009793+0.00019911i,0.00056458-0.00014879i,3.3257e-05-0.00029961i
-0.0019741-0.0005148i,-0.00097908+2.6161e-05i,9.4831e-05+0.00093276i,0.00021523+0.00097556i,0.00037405+0.00085841i,0.00032497+0.00037745i,-0.00078095+0.00026822i,-0.0013077+0.00031793i,-0.00091272-0.00038747i,-0.00083177-0.0002015i,-0.00059693+0.00046023i,-0.00078128+0.00064293i,-0.00048379+0.00019918i,0.000408-4.5339e-05i,0.00033569+3.461e-05i,-0.00026682+0.00032489i,-8.8941e-05+0.00065807i,0.00041483+0.00041793i,0.00037278-0.00061305i,0.0002249-0.0009021i,0.0002351-0.00017945i,-0.00033665+0.00015713i,-0.00078251+4.1392e-05i
-0.00087993-0.0025892i,-0.001252-0.0018721i,-0.0012327-0.0013981i,-0.001816-0.0010578i,-0.0023827-0.00012914i,-0.0015711+0.00058701i,-0.0014873+0.00033813i,-0.0019131+0.0001438i,-0.0015998+0.00017669i,-0.0011901+1.5233e-05i,-0.0010548-0.00025229i,-0.0014348+0.00014802i,-0.0013713+0.0010973i,-0.00076085+0.0011185i,-0.00016914+0.00029983i,2.9949e-05-8.2025e-05i,0.0002592-0.0005191i,0.00015536-0.0015368i,0.00058857-0.0013985i,0.0015692-0.00088317i,0.0011652-0.00090108i,0.00035916-0.00050851i,0.00023475-0.00011182i
0.0012643-0.00049245i,0.0010903-0.00027117i,0.00097047-0.00058751i,0.0005678-0.0010043i,-8.1075e-05-0.00093121i,-0.00088312-0.00019203i,-0.0013631+0.00018442i,-0.0010045+0.00056479i,-0.00079826+0.00028214i,-0.00043149-0.00082343i,0.00034599-0.00080195i,0.00032104+0.00061944i,-0.00019464+0.00080188i,5.3255e-05-8.9134e-05i,0.0001749+0.00016141i,-0.00032189+0.00056139i,-0.00084325+0.00054405i,-0.0010084-0.0001988i,-0.00034419-0.00068993i,0.00055024-0.00042202i,0.001301-0.00051764i,0.00096732-0.00059945i,0.00027531-0.00017041i
-0.0022485-0.0013303i,-0.002693-0.00086555i,-0.0021247-0.00013925i,-0.001726+7.6721e-05i,-0.001875-4.4749e-05i,-0.0011358+0.00055022i,1.9888e-05+0.0010014i,-1.0396e-05+0.0011804i,-7.1721e-06+0.0014557i,0.00086481+0.0010973i,0.00079963-0.00015534i,-8.065e-05-0.00035553i,-0.00068031+2.1938e-05i,-9.9803e-05-0.00023022i,0.00028013-0.00034098i,0.00057194-0.00022752i,0.00024046-6.5221e-05i,-0.00095634+0.00036841i,-0.0014772+0.00042583i,-0.00097542-0.00097781i,-0.00072358-0.0015728i,-0.00040559-0.00067154i,-1.8585e-05-0.00063215i
0.0010943-0.00029221i,0.0012486+2.9668e-05i,0.0018022+0.00026584i,0.0014248+0.00015218i,-0.00030399-0.00063789i,-0.0011517-0.00093525i,-0.0002842-0.00078256i,0.00038539-0.0010789i,0.00022226-0.00049522i,-8.6411e-05+0.00035837i,-0.00024028+0.00013401i,0.00019417-0.00060054i,0.00089344-0.00097782i,0.00075218-0.00074584i,-0.00015335+0.00013424i,-0.00096828+0.00059526i,-0.00099652+0.00029647i,-0.00016026+0.00029929i,0.0001626-5.3075e-05i,-0.00060363-0.00032266i,-0.00038243+0.00028031i,0.00013714-0.00012811i,-0.00028341-0.00030021i
0.0013041+0.00027325i,0.00042694-0.00095462i,0.0013841-0.0020372i,0.0016255-0.0021994i,0.00020455-0.0015028i,-0.00077404-0.0016872i,-0.00076452-0.001561i,-0.00048107-0.0010661i,-0.00014813-0.00037551i,1.5498e-06-0.00067311i,-0.00010171-0.00090863i,-0.00037449-0.00044655i,-0.000428-5.8048e-05i,0.00012884-0.00034065i,5.6142e-05-0.0001877i,-0.00025202-6.4592e-05i,0.00012908-0.00064087i,0.0004702-0.00094159i,0.00076579-0.00076274i,0.00034182-0.00044781i,-0.00046047+0.00020058i,-0.00044964-2.3581e-05i,0.00026014-0.0002548i
