-0.00041208+0.00047352i,-0.00022231+0.0021502i,-0.0013426+0.0029967i,-0.0016776+0.0027872i,-0.00048033+0.0027211i,-0.00015794+0.0024744i,-0.0012295+0.0016537i,-0.00060287+0.00076539i,0.00091731+0.00098531i,0.00076154+0.00027133i,0.0002259-0.00039218i,0.00023587-0.00033543i,0.00020582-8.3175e-05i,-0.00054756+0.00018198i,-0.00081529+0.00080625i,-0.0008102+0.0013675i,-0.0010132+0.00079924i,-0.00096975+0.00028438i,-0.00038783-8.9971e-05i,-0.00038492-0.00030411i,-6.8163e-05-0.00037992i,-0.00045572-0.00067624i,-0.0006687-0.00057212i
-6.4772e-05+0.0006406i,0.0011311+0.0014075i,0.0011797+0.0019112i,0.0003741+0.0019298i,5.9455e-05+0.0019787i,0.00057944+0.0013134i,0.00072948+0.00073635i,-9.8862e-05+0.00089744i,-0.00018566+0.00049682i,0.00061951+0.00018849i,0.001202-0.00014626i,0.00060341-0.00034449i,-9.4922e-05-0.00048658i,-9.0818e-05-0.0003611i,-0.00073961+0.00021914i,-0.001362+0.00014153i,-0.00081684+0.00023249i,-0.00016676+0.00056892i,6.4881e-05-0.00030029i,-0.00025957-0.00063862i,-0.0002782-0.00051989i,-0.00029033+0.0003578i,-0.00031225+0.00096848i
-0.0019777+0.00028916i,-0.0016964+0.00022361i,-0.0011078-0.0004694i,-0.00051794-0.00088016i,0.0003509+0.00010709i,0.0010266+0.00062172i,0.00043947+0.00050362i,0.00048014+0.00057188i,0.00084885-2.2096e-05i,0.00064502-0.00025307i,0.0004798-0.00020443i,0.00010756-0.00059693i,0.00032863+0.00014649i,0.00053432+0.0010981i,0.00042879+0.00066274i,0.00045459-6.0326e-05i,0.00015097-3.3242e-05i,0.0001215+0.00020989i,0.00051383-8.5353e-08i,0.00054508-6.8777e-05i,0.0006054-0.00020029i,0.00081517-0.00019503i,0.00051561+0.00023714i
0.0013016-0.00031598i,0.0014275-0.0019218i,0.0020823-0.00096604i,0.0028998+4.071e-05i,0.0024386-9.8388e-05i,0.00031784-0.00041828i,-0.00068547-3.8796e-05i,-0.00013797+0.00042956i,-4.5413e-07+0.00044617i,0.00013702+0.00048884i,0.0002953-0.00029125i,-8.99e-05-0.00047711i,-0.0010598-0.00015349i,-0.0015518-0.00010526i,-0.0012089+4.4999e-06i,-0.00013786+0.000102i,0.00042668+0.00054825i,0.00039448+0.0010019i,0.00093946+0.00015334i,0.0010759-0.00013764i,0.0012345+0.00020704i,0.0013568+0.00071833i,0.0015208+0.00077597i
0.0017068+0.0023029i,0.0017207+0.0020673i,0.0019076+0.0019844i,0.0015236+0.0029046i,0.0011185+0.0021118i,0.0009+7.697e-05i,0.00056706-0.00092141i,0.00065189+3.7285e-05i,0.0010923+0.00081638i,0.00099116+9.8197e-05i,-0.0003134-0.00035938i,-0.000498-0.00014595i,0.00030073+0.00014306i,7.4758e-05-0.00029143i,0.00053599-0.00073712i,0.0010642-0.00054746i,-6.3842e-05-7.1592e-05i,-0.00090334+0.000139i,-0.00030298-2.2255e-05i,0.00046608-0.000126i,-4.3316e-05+0.00036518i,-0.00022118+0.00070959i,0.00029583+0.0003891i
-0.0010516+0.0014076i,-0.0016491+0.00042506i,-0.0010437-0.00014806i,2.0247e-05-0.00013799i,0.00048338-0.00049581i,-1.2669e-05+0.00012257i,8.7021e-05+0.00096696i,0.00044699+0.00091709i,0.00087025+0.00051518i,0.00091237+0.00065573i,0.00088737+0.00018482i,0.001147-0.00032315i,0.00088394-0.00011931i,-0.00024363+1.3433e-05i,-0.0007792-0.00038029i,0.00031274-0.00038145i,0.00070427-6.8582e-05i,0.00052365-0.0003468i,0.00095497+0.00027157i,0.0011931+0.0010926i,0.00061463+0.0013908i,-2.4427e-05+0.0010735i,-0.00012412+0.00029011i
-0.0011956-0.0018186i,-0.0019501-0.0023839i,-0.0011318-0.00024483i,0.0015556+0.0010803i,0.0025435+0.00058414i,0.001507-0.00021822i,4.2914e-05-0.00013746i,-0.00091354+0.00027153i,-6.9682e-05+0.00044032i,0.0013097+3.489e-05i,0.0011244-0.00043865i,4.2171e-05-0.00029313i,-0.0010927+0.00028325i,-0.00049105+0.00029213i,4.1116e-05+4.8159e-05i,0.00035618+0.00047954i,0.00022288+0.00021152i,-0.0004169-0.00038972i,-0.00032653-0.0001974i,-0.00013067+7.658e-06i,0.00018901+0.0002531i,0.00023207+0.00053547i,-0.00024435+0.00083589i
0.0036122-0.00017856i,0.0041927-0.00039976i,0.0025412-0.001581i,0.00089809-0.0020347i,-0.000153-0.00048954i,-0.00022204+0.00012563i,0.00064345+0.00033966i,0.00094633+0.0010197i,0.00089632+0.00033154i,0.00094178-0.00065419i,0.0004615-0.00075759i,-0.00028065-0.00033376i,0.00010169+8.5169e-05i,0.00084327-7.3848e-05i,0.00044375+0.00025908i,-7.2758e-05+0.00061976i,0.00035977+0.0011619i,0.0010601+0.00074082i,0.0011881-3.5326e-06i,0.0013388-0.00034508i,0.0011636+0.00017439i,0.00044371+0.00067033i,7.4214e-05-0.0002373i
-0.0011122+0.00040181i,-0.0014414+0.00062718i,-0.00051554+0.00071952i,0.00021444+0.0011505i,0.0010081+0.00050978i,0.00031323+1.7602e-05i,-0.0001708-0.0004387i,0.00028221-0.00057841i,-0.00028584-2.1716e-05i,-0.0005734-0.00021965i,-0.00019134-0.00058682i,0.00015229-0.0001788i,0.00060243+0.00078006i,0.00095745+0.0012411i,0.00057665+0.00071224i,0.00011798+0.00012873i,-3.6517e-05-9.2775e-05i,0.00021125+7.323e-05i,-0.00045035+0.00019265i,-0.0010386+0.00048275i,-0.00061141+0.00079896i,-0.00021424+0.00030011i,0.00027038-0.00017541i
0.00019375-0.0013243i,-5.1831e-05-8.4885e-05i,-0.00079258+0.00055814i,-0.00066551+0.00037537i,-0.00013323+0.00058532i,5.9826e-05+0.00080617i,0.00086908+0.00031409i,0.0010442-0.0002592i,0.0013539-0.00032156i,0.0014087-0.00015273i,0.00047049+0.00011192i,-0.00032577-5.6707e-05i,-5.0041e-05-0.00093541i,0.00086563-0.0005789i,0.00096952-0.00011022i,0.00027653-8.1604e-05i,-0.00012882+4.3598e-05i,-0.00014401-0.00018486i,-0.00021895+5.3147e-05i,-0.00044383+0.00039586i,-5.3134e-05+0.00046502i,0.00028204+0.0001345i,-0.00018031-0.0002652i
0.0033222-0.00030452i,0.002897-0.00014688i,0.0028985-0.00057212i,0.0027415-0.0011291i,0.0016374+4.6144e-05i,0.00015866+0.00071027i,-0.00010124+0.00054163i,1.87e-05+0.00057513i,-0.00041854+0.00089707i,0.00062557+0.00012508i,0.0017263-0.00039347i,0.0010282+2.2498e-05i,0.00024023+0.00046661i,0.00050121+0.00073703i,0.0002911+0.00047806i,-0.00035362-0.00029857i,-0.00053066-0.0009049i,-0.00026415-0.00073478i,-7.5394e-05-0.00013561i,0.00047678+0.00046054i,0.00082667+0.0011852i,0.0010061+0.0011359i,0.00101+0.00022929i
